amplitude_max,amplitude_max_diff,avg_prominence,avg_prominence_diff,avg_variance_across_levels,correlation,dominant_frequency,dominant_frequency_diff,dynamic_cutoff,dynamic_cutoff_diff,emd_value,frequency_max,frequency_max_diff,htid,is_complex,kl_divergence,lower_envelope,lower_envelope_diff,max_autocorrelation,max_autocorrelation_diff,num_fft_peaks,num_fft_peaks_diff,positive_amplitudes,positive_frequencies,prominence_max,prominence_max_diff,prominence_min,prominence_min_diff,relative_left_bases,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,relative_num_peaks,relative_num_peaks_diff,relative_peaks,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,relative_prominences,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,relative_right_bases,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,scales_used,signal_length,signal_type,smoothness,spectral_bandwidth,spectral_bandwidth_diff,spectral_centroid,spectral_centroid_diff,spectral_magnitude,spectral_magnitude_diff,upper_envelope,upper_envelope_diff,variance_ratio_across_levels,wavelet,wavelet_adaptive_threshold,wavelet_energy_entropy,wavelet_entropy,wavelet_psnr,wavelet_sparsity,wavelet_type,emd_value_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,spectral_centroid_diff_normalized,dynamic_cutoff_diff_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,amplitude_max_diff_normalized,frequency_max_diff_normalized,spectral_bandwidth_diff_normalized,num_fft_peaks_diff_normalized,relative_num_peaks_diff_normalized,dominant_frequency_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,smoothness_normalized,across_emd_value_normalized,across_smoothness_normalized,across_wavelet_psnr_normalized,across_wavelet_entropy_normalized,across_wavelet_energy_entropy_normalized,across_wavelet_sparsity_normalized,across_correlation_normalized,across_avg_variance_across_levels_normalized,across_kl_divergence_normalized,across_prominence_min_diff_normalized,across_avg_prominence_diff_normalized,across_relative_prominences_avg_diff_normalized,across_relative_prominences_wasserstein_normalized,across_spectral_centroid_diff_normalized,across_dynamic_cutoff_diff_normalized,across_relative_prominences_total_diff_normalized,across_prominence_max_diff_normalized,across_amplitude_max_diff_normalized,across_frequency_max_diff_normalized,across_spectral_bandwidth_diff_normalized,across_num_fft_peaks_diff_normalized,across_relative_num_peaks_diff_normalized,across_dominant_frequency_diff_normalized,across_max_autocorrelation_diff_normalized,across_relative_right_bases_global_alignment_score_normalized,across_relative_left_bases_global_alignment_score_normalized,across_upper_envelope_diff_normalized,across_lower_envelope_diff_normalized,across_relative_peaks_global_alignment_score_normalized,across_reconstruction_weighted_score,across_reconstruction_normalized_weighted_score,across_reconstruction_normalized_weighted_rank,across_signal_weighted_score,across_signal_normalized_weighted_score,across_signal_normalized_weighted_rank,across_rank_variability,across_normalized_rank_stability,across_average_rank,across_harmonic_average_rank,across_stability_score_weighted,across_stability_rank,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,across_normalized_family_mean_rank,across_normalized_family_std_dev,across_final_family_stability_score,across_final_family_stability_rank,across_family_informed_rank,across_top_wavelet_rank
,,83261.48895236218,83066.13895236218,933791.3267667186,0.34921213479617974,,,222888.42021947424,222343.82021947423,201060.04336880552,,,inu.32000013032893,False,,-285656.4690864185,284679.6690864185,14800832637981.033,14800736260162.152,,,[],[],289609.0219349689,288632.2219349689,9333.410186123452,9324.610186123453,"[0, 72, 0, 177]",0.0,-29.5,4,32.0,"[57, 82, 142, 205]",0.0,-25.0,"[15587.074070593982, 9333.410186123452, 289609.0219349689, 18516.44961776241]",83066.13895236218,326013.35580944875,83066.13895236218,"[72, 95, 329, 329]",0.0,-34.0,127,330,smoothed,2.3200955155074765e-06,,,,,0.0,0.0,285656.4690864185,284679.6690864185,0.02595608889682483,mexh,1908.5937084583732,14345024063.273258,14.11845533468366,-46.70076575611921,0.6559055118110236,CWT,1.0,0.06790505980233286,0.5061139591721235,0.9765482359948897,0.7602663706992231,0.8209520125547007,0.13379625911903226,,0.052256525087399544,0.4196343995595559,0.4196343995595559,0.4196343995595557,,1.0,0.7869294270179872,1.0,,,,,0.3333333333333333,,0.7971191985286403,0.06896551724137928,0.5,0.538545920269147,0.538545920269147,0.9090909090909091,2.772838664886445,1.0,1,1.8332862814949167,0.9855149928705689,3,0.0,0.5559778535369009,0.6970056690351774,2,0,0.5603670251181326,1.0,1,0.9574271077563381,0.9042572892243662,1.75,1.411764705882353,0.8646286446121831,1,mexh,0.125,,,2,1.25,0.21735430360275937,0.9999999999999999,0.33833150820054797,0.06409518669562086,0.4906462534512532,0.9765482359948898,0.7424669412529808,0.820952012554701,0.13379625911903228,,0.0506872829560806,0.4103992300929895,0.4103992300929895,0.41039923009298945,,1.0,0.7811299263254114,1.0,,,,,0.1333333333333333,,0.7971191985286407,0.42553191489361697,0.7250000000000001,0.5377368796208466,0.5377368796208466,0.8837209302325582,2.7339155171150864,1.0,1,1.852439894371294,1.0,1,0.0,1.0,1.0,1.0,0.975,1,2.0,2.0,1.4142135623730951,2,0.11764705882352941,0.2688664289689325,0.8369871301328495,1,1.0,1
,,92690.58968588003,92495.23968588002,389929.40373036696,0.4594022053866285,,,124390.15524742608,123845.55524742608,119709.99420498656,,,inu.32000013032893,False,,-190466.82149158927,189490.0214915893,5244145611400.682,5244049233581.802,,,[],[],203140.2773988928,202163.4773988928,4288.307498332681,4279.50749833268,"[0, 105, 177, 177]",0.0,-25.0,4,32.0,"[47, 142, 238, 276]",0.0,-25.0,"[203140.2773988928, 65057.191318640354, 4288.307498332681, 98276.58252765427]",92495.23968588002,363729.7587435201,92495.23968588002,"[329, 177, 252, 329]",0.0,-29.5,127,330,smoothed,5.9519329563798894e-06,,,,,0.0,0.0,190466.82149158927,189490.0214915893,0.02276473418775923,gaus2,1206.5387998265128,5203961406.034375,14.300367080043491,-42.18010625564482,0.6177046051061799,CWT,0.49529040284711034,0.3865105637322527,0.8647810325720057,0.3090562301936063,0.4048834628190893,1.0,0.015314957257455217,,0.0,0.5173808708359879,0.5173808708359879,0.5173808708359877,,0.5559124830349611,0.9702308310862113,0.5864957344557249,,,,,0.3333333333333333,,0.25663235669763146,0.3793103448275862,0.9090909090909091,0.2831221853747272,0.2831221853747272,0.9090909090909091,2.207519001082909,0.796122410235257,3,1.7923656031550128,0.9635173690245405,4,0.0,0.5013202774910491,0.6284838023505155,4,0,0.5415104747810667,0.9663496431948495,3,0.5773502691896257,0.9422649730810374,3.5,3.428571428571429,0.7961324865405187,2,gaus,0.71875,1.0,0.196875,1,1.75,0.8562471488270137,0.49542832111961577,0.8784676991576744,0.3648250485952339,0.8383518494159152,0.3090562301936064,0.3954042922176453,1.0000000000000002,0.015314957257455214,,0.0,0.5059945306647696,0.5059945306647696,0.5059945306647695,,0.5559124830349611,0.963066399594136,0.586495734455725,,,,,0.1333333333333333,,0.2566323566976315,0.6170212765957447,0.9500000000000001,0.2826968597937826,0.2826968597937826,0.8837209302325582,2.136306955446452,0.7814092798671227,6,1.7690555748351287,0.9549867610876166,4,1.4142135623730951,0.9292893218813453,5.0,4.800000000000001,0.8396446609406727,2,10.75,10.5,5.259911279353167,16,0.6323529411764706,1.0,0.2573529411764706,2,2.0,2
,,125629.23754689463,125433.88754689462,411019.2128266515,0.24020474517654242,,,30462.604917465607,29918.00491746561,53707.635123746586,,,inu.32000013032893,False,,-141017.016647556,140040.21664755602,1539981310248.0728,1539884932429.1929,,,[],[],153074.62975149753,152097.82975149754,72552.43264918451,72543.63264918451,"[0, 107, 177]",0.0,-30.0,3,33.0,"[44, 142, 280]",0.0,-30.0,"[153074.62975149753, 72552.43264918451, 151260.6502400018]",125433.88754689462,369855.1126406839,125433.88754689462,"[177, 177, 329]",0.0,-25.5,127,330,smoothed,4.482253500097432e-06,,,,,0.0,0.0,141017.016647556,140040.21664755602,0.011515294537430585,gaus4,677.2275292740461,1641756621.6491628,14.287182381121234,-36.852296049340566,0.6568360773085182,CWT,0.08580049589019155,0.7620021607977713,0.8387853643607494,0.048939512284309546,0.768923418423973,0.6438257649402135,0.0199094102461652,,0.7070710328944666,0.8588383107365138,0.8588383107365138,0.8588383107365136,,0.13243240841153592,1.0,0.34707559518450776,,,,,0.5,,0.04714008608285019,0.6551724137931034,0.45454545454545453,0.1504328209091185,0.1504328209091185,0.45454545454545453,2.210453840477243,0.7971808343807002,2,1.6791800903501735,0.9026725239117768,7,0.0,0.5125259299632252,0.6425318498557502,3,0,0.47073691975866466,0.8400510712767711,6,2.3804761428476167,0.7619523857152384,4.5,3.5,0.6559761928576192,4,gaus,0.71875,1.0,0.196875,1,3.25,0.5977092311259443,0.08605031245211817,0.6598931962047945,0.7192493593404016,0.813150653158301,0.04893951228430956,0.7509213093431605,0.6438257649402137,0.019909410246165195,,0.6858379782128273,0.8399372927257023,0.8399372927257023,0.8399372927257021,,0.13243240841153592,0.992613896144134,0.34707559518450776,,,,,0.2,,0.047140086082850204,0.7872340425531914,0.7000000000000001,0.15020683039953828,0.15020683039953828,0.6511627906976745,2.1403646443831637,0.7828934840831306,5,1.6522403447344356,0.8919265611558183,11,4.242640687119285,0.7878679656440357,8.0,6.875,0.6939339828220179,4,10.75,10.5,5.259911279353167,16,0.6323529411764706,1.0,0.2573529411764706,2,3.5,3
,,91710.396398812,91515.04639881199,452869.3849506894,0.2553782407033203,,,7841.2506883462465,7296.650688346246,49283.94589640206,,,inu.32000013032893,False,,-121831.62069877694,120854.82069877694,1238764428747.4395,1238668050928.5596,,,[],[],131098.23986433126,130121.43986433126,10564.60737970595,10555.807379705951,"[0, 0, 99, 177]",0.0,-29.5,4,32.0,"[23, 43, 142, 292]",0.0,-29.5,"[10564.60737970595, 131098.23986433126, 99335.54088048721, 125843.19747072355]",91515.04639881199,359808.985595248,91515.04639881202,"[34, 177, 177, 329]",0.0,-20.5,127,330,smoothed,3.7363330272244758e-06,,,,,0.0,0.0,121831.62069877694,120854.82069877694,0.013757922714027803,gaus6,713.4910439109715,1470381584.920849,14.35349120471733,-35.915850110655256,0.6816750178954903,CWT,0.05835517249073583,0.8280006794136173,0.9695234409635377,0.03642548942948717,1.0,0.6684811973400846,0.029026545802749593,,0.06500910734695968,0.5072197284654152,0.5072197284654152,0.5072197284654153,,0.03044217505212585,0.951175906247076,0.2419817718803432,,,,,0.3333333333333333,,0.030104500368297572,1.0,0.5,0.098952375162289,0.098952375162289,0.5,1.525766947995132,0.5502544981489632,6,1.836231824451309,0.9870984208244953,2,0.0,0.38368648071064,0.48101133972546367,6,0,0.5070379417643066,0.9048318673951531,5,1.8929694486000912,0.8107030551399909,4.75,3.8709677419354844,0.6678515275699954,3,gaus,0.71875,1.0,0.196875,1,2.5,0.46649100867424015,0.05861248883394847,0.5489579879159137,0.7815449730197186,0.9398931511789212,0.03642548942948719,0.9765879037502712,0.6684811973400848,0.029026545802749593,,0.06305691037255956,0.4960570112189729,0.4960570112189729,0.49605701121897317,,0.030442175052125854,0.9441533648508638,0.2419817718803432,,,,,0.1333333333333333,,0.030104500368297586,1.0,0.7250000000000001,0.09880372211203073,0.09880372211203073,0.6744186046511628,1.488947832393037,0.5446210108073206,11,1.808995705898236,0.9765475853737199,3,5.656854249492381,0.717157287525381,7.0,4.714285714285714,0.6835786437626905,5,10.75,10.5,5.259911279353167,16,0.6323529411764706,1.0,0.2573529411764706,2,4.25,4
,,139246.38167903153,139051.03167903153,481330.45905648795,-0.12903572631321333,,,0.0,544.5999999999999,48720.5073235624,,,inu.32000013032893,False,,-159906.47069530768,158929.6706953077,1178812895863.6045,1178716518044.7246,,,[],[],177659.52334933504,176682.72334933505,100833.24000872805,100824.44000872805,"[2, 122]",0.0,-35.0,2,34.0,"[67, 166]",0.0,-35.0,"[177659.52334933504, 100833.24000872805]",139051.03167903153,271460.1633580631,139051.03167903156,"[258, 258]",0.0,-35.0,127,330,smoothed,3.101701937484597e-06,,,,,0.0,0.0,159906.47069530768,158929.6706953077,0.016169410903315102,gaus7,694.7857651166696,1404921511.5387185,14.368948559066396,-35.73447886607187,0.658005249343832,CWT,0.05485950336648433,0.8407833003504128,1.0,0.031645511726661135,0.7798002219755822,0.043846447844425485,0.03522684218240337,,0.9999999999999998,1.0,1.0,1.0,,0.0,0.5218013661521996,0.4646436069001925,,,,,0.6666666666666666,,0.02671388868653085,0.0,0.0,0.2011191615449182,0.2011191615449182,0.0,2.0536937621540954,0.7406466839058591,4,1.4867550524032913,0.7992310909972707,8,0.0,0.4344331322496734,0.5446302475331133,5,0,0.39262650364691426,0.700659542848981,8,2.0615528128088303,0.793844718719117,6.25,5.714285714285714,0.5844223593595586,6,gaus,0.71875,1.0,0.196875,1,4.75,0.35485020172934467,0.05511777494543964,0.45457402248360435,0.7936104137657867,0.9694382945963955,0.03164551172666115,0.7615434641231299,0.043846447844425485,0.03522684218240337,,0.9699704079309828,0.9779923441065378,0.9779923441065378,0.9779923441065379,,0.0,0.5179761081443808,0.4646436069001926,,,,,0.26666666666666666,,0.026713888686530858,0.3829787234042553,0.45,0.20081702653522282,0.20081702653522282,0.41860465116279066,2.02986331379447,0.7424747769588893,8,1.465862392309697,0.7913144155250451,14,4.242640687119285,0.7878679656440357,11.0,10.181818181818182,0.6189339828220178,9,10.75,10.5,5.259911279353167,16,0.6323529411764706,1.0,0.2573529411764706,2,7.25,5
,,,,4857400.159815469,-0.08557752193610474,,,32718.747259162425,32146.747259162425,194119.71681260318,,,inu.32000013032893,False,,-458292.0565713897,457212.0565713897,18117196205722.13,18117091700314.13,,,[],[],,,,,[],,,0,45.0,[],,,[],,,,[],,,127,330,raw,8.101318991319447e-07,,,,,0.0,0.0,458292.0565713897,457212.0565713897,0.021859712787553803,gaus1,1332.5785507966993,14514750526.910053,14.035731198161736,-46.7355002918665,0.5756382724886662,CWT,0.9577462020285978,0.0,0.319121975852096,0.9999999999999999,0.0,0.056017336714020316,1.0,,,,,,,0.14278741839097153,,,,,,,1.0,,1.0,,,1.0,1.0,,1.3713937091954858,0.5167824578054778,7,1.3692917832202354,0.7751749758513987,8,0.6428571428571429,0.7964146265353371,1.0,1,0,0.4761265020849592,0.7922341217261198,6,3.1091263510296048,0.6890873648970395,5.5,2.788381742738589,0.5695436824485197,6,gaus,0.8392857142857143,1.0,0.11249999999999998,1,4.75,,0.9569527952541346,0.1137658415067729,0.061784525576964566,0.3325275726969058,0.9889418779486255,0.013223498807717116,0.11446174003920379,0.9885615273691628,,,,,,,0.14248087629835463,,,,,,,1.0,,0.9846785978530543,,,1.0,1.0,,1.3635797370757043,0.4987644016573696,13,1.4655197381836502,0.7911294410343274,15,1.4142135623730951,0.9292893218813453,14.0,13.928571428571429,0.6146446609406726,10,10.75,10.5,5.259911279353167,16,0.6323529411764706,1.0,0.2573529411764706,2,8.0,6
,,89115.81473722511,88920.4647372251,403664.8170056834,0.3225726334661784,,,7525.056317313478,6980.4563173134775,45962.40113061164,,,inu.32000013032893,False,,-104214.34472310318,103237.54472310317,988158838016.0336,988062460197.1536,,,[],[],116123.69153732406,115146.89153732406,16583.72695249271,16574.92695249271,"[0, 34, 97, 97]",0.0,-34.0,4,32.0,"[21, 43, 142, 293]",0.0,-29.5,"[116123.69153732406, 16583.72695249271, 113966.55967269375, 109789.28078638992]",88920.4647372251,349430.65894890047,88920.4647372251,"[97, 97, 177, 329]",0.0,-29.5,127,330,smoothed,3.2563450374669937e-06,,,,,0.0,0.0,104214.34472310318,103237.54472310317,0.015178075922311116,gaus8,661.9666779799777,1263128723.6887732,14.339908324826785,-34.933883008068335,0.6804819852063947,CWT,0.037747741543872046,0.8972074231485698,0.9427426975373947,0.021291622258989104,0.988901220865705,0.7776654525758877,0.018307241838402984,,0.12735437411835296,0.4803230806273937,0.4803230806273937,0.4803230806273935,,0.029016586762320825,0.900737325201065,0.17037162371596282,,,,,0.3333333333333333,,0.01593128072608445,0.3793103448275862,0.09090909090909094,0.05167968803641754,0.05167968803641754,0.5,1.3295526451244448,0.47949152684615115,8,1.8602317516804014,1.0,1,0.0,0.29223518411062954,0.36636275837402305,8,0,0.5082396955202308,0.9069764506808503,4,3.4034296427770228,0.6596570357222977,5.25,2.6666666666666665,0.5673285178611489,7,gaus,0.71875,1.0,0.196875,1,5.5,0.3820541643930258,0.03801068912788731,0.47757294144464385,0.8468688115260116,0.9139308729438576,0.02129162225898911,0.9657489703013227,0.7776654525758879,0.01830724183840298,,0.12352997421537386,0.46975229555125825,0.46975229555125825,0.4697522955512582,,0.029016586762320825,0.8940903683406217,0.17037162371596284,,,,,0.1333333333333333,,0.015931280726084452,0.6170212765957447,0.5,0.05160205126165179,0.05160205126165179,0.6744186046511628,1.3351009904610405,0.4883475667418871,14,1.835096289575035,0.9906374264293496,2,8.48528137423857,0.5757359312880715,8.0,3.5,0.5878679656440358,11,10.75,10.5,5.259911279353167,16,0.6323529411764706,1.0,0.2573529411764706,2,8.75,7
,,43131.14349238631,42757.943492386315,330209.7114673178,0.32257923782362846,,,7076.235386454469,6504.235386454469,39834.0915985237,,,inu.32000013032893,False,,-87275.25032664831,86195.25032664831,710020687886.5607,709916182478.5607,,,[],[],123823.34708492937,122744.34708492937,5639.037246170488,5632.037246170488,"[0, 34, 74, 96, 177, 200, 218, 252, 252]",0.0,-27.0,9,36.0,"[18, 42, 78, 143, 189, 207, 228, 294, 310]",0.0,-22.5,"[99988.79999686158, 22730.276908423824, 10400.082853754684, 123823.34708492937, 33290.402170415386, 5639.037246170488, 7638.4001345182005, 9866.834463714324, 74803.11057268898]",42757.943492386315,371386.2914314768,42757.943492386315,"[96, 96, 96, 252, 252, 252, 252, 300, 329]",0.0,-36.0,127,330,raw,4.517844925387344e-08,,,,,0.0,0.0,87275.25032664831,86195.25032664831,0.016212858666977373,morl,576.2138308499925,1001548557.1718229,14.321731573220076,-32.631970063270884,0.6645192078262945,CWT,0.0,1.0,0.8767614761103029,0.0,0.8183216168717052,1.0,0.0,,0.0018323832345358143,0.0,0.0,0.0,,0.026830445423329137,0.9999999999999999,0.19667221901006296,,,,,0.0,,0.0,0.5333333333333333,1.0,0.0,0.0,1.0,0.96563438052039,0.3638801207565287,9,1.7657093848038334,0.9995924510019162,2,0.0,0.2684763129286616,0.3371062057167646,8,0,0.5278690132831442,0.8783292723541423,3,3.5118845842842465,0.6488115415715754,5.5,3.74025974025974,0.5494057707857877,7,morl,1.0,,,3,6.0,,0.0,0.0,0.9999999999999999,0.8791878812936428,0.00219070625247169,0.8207240407543901,0.7776761840048039,0.0023049144756481094,,0.013588634816309696,0.0017415893059806176,0.0017415893059806176,0.001741589305980673,,0.02686950558508414,1.0,0.20670359884840037,,,,,0.4,,0.00020047330369606098,0.3404255319148936,0.8500000000000001,0.005940918873904494,0.005940918873904494,1.0,1.1039497304299168,0.40379804113143897,17,1.6809713494669942,0.9074363786780272,10,4.949747468305833,0.7525126265847084,13.5,12.592592592592593,0.5387563132923542,14,17.0,17.0,4.242640687119285,2,1.0,0.8065992869067974,0.05802021392796078,3,11.25,8
,,123112.6135663845,122917.2635663845,555710.7240027789,-0.13904998777485536,,,0.0,544.5999999999999,54863.8921174179,,,inu.32000013032893,False,,-183162.67543244807,182185.87543244808,1514858024832.634,1514761647013.7542,,,[],[],167098.70301931625,166121.90301931626,79126.52411345276,79117.72411345276,"[2, 122]",0.0,-35.0,2,34.0,"[67, 154]",0.0,-35.0,"[167098.70301931625, 79126.52411345276]",122917.2635663845,239192.627132769,122917.2635663845,"[258, 258]",0.0,-35.0,127,330,smoothed,3.5158012701715297e-06,,,,,0.0,0.0,183162.67543244807,182185.87543244808,0.013430624342738885,gaus5,744.7086338086943,1624728227.9900699,14.346975003950073,-36.82350635021879,0.6554521593891672,CWT,0.09297411173283086,0.7640311914283068,0.9566757457569695,0.04769607735061716,0.7560488346281905,0.027574261513568787,0.05143071719252526,,0.7751646271756619,0.8327498087068259,0.8327498087068259,0.8327498087068257,,0.0,0.36498140889759023,0.41414045367946417,,,,,0.6666666666666666,,0.045719216575159684,0.0,0.0,0.26352286639645683,0.26352286639645683,0.0,1.7665205687901984,0.6370801847075881,5,1.4508272681394332,0.7799174843827167,9,0.0,0.3779976808505668,0.4738795345155024,7,0,0.3905159019816647,0.6968930798512616,9,1.9148542155126762,0.8085145784487324,7.5,7.078651685393258,0.5292572892243662,9,gaus,0.71875,1.0,0.196875,1,7.0,0.42769627625030887,0.09322196801361717,0.5161599386697868,0.7211645494227588,0.9274381034483714,0.04769607735061717,0.73834814654238,0.0275742615135689,0.05143071719252526,,0.751886749635245,0.8144229374714596,0.8144229374714596,0.8144229374714593,,0.0,0.3623238909336687,0.4141404536794642,,,,,0.26666666666666666,,0.0457192165751597,0.3829787234042553,0.45,0.263126984257818,0.263126984257818,0.41860465116279066,1.7485747121518107,0.6395862275938072,10,1.4300216421575607,0.7719665542200497,17,4.949747468305833,0.7525126265847084,13.5,12.592592592592593,0.5387563132923542,15,10.75,10.5,5.259911279353167,16,0.6323529411764706,1.0,0.2573529411764706,2,11.75,9
,,42781.51076975992,42586.160769759925,852681.7362226896,-0.156019794953436,,,0.0,544.5999999999999,59208.88703046022,,,inu.32000013032893,False,,-239517.89860721616,238541.09860721618,2477115839724.828,2477019461905.948,,,[],[],80496.92384751241,79520.12384751241,9372.441991173397,9363.641991173397,"[2, 77, 121, 222]",0.0,-34.0,4,32.0,"[68, 90, 154, 249]",0.0,-34.0,"[80496.92384751241, 9372.441991173397, 71473.17602375361, 9783.501216600283]",42586.160769759925,164093.4430790397,42586.160769759925,"[121, 121, 222, 257]",0.0,-29.5,127,330,smoothed,4.316952113561279e-06,,,,,0.0,0.0,239517.89860721616,238541.09860721618,0.02288072732072628,gaus3,667.2254339251664,2580894020.2515006,13.861760253110537,-38.95893077022928,0.6568599379623001,CWT,0.11993120216773473,0.6135314748780328,0.0,0.11751651798064977,0.7691453940066588,0.0,0.11612638837782635,,0.0526608115065313,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,0.3333333333333333,,0.10014055379712283,0.3793103448275862,0.09090909090909094,0.41474163805718667,0.41474163805718667,0.09090909090909094,0.4303022706622147,0.15518474843535,10,0.9875543139345548,0.5308770334892243,10,0.0,0.13405332152836638,0.16805691892917335,10,0,0.28811016234856934,0.5141454608037151,10,0.0,1.0,10.0,10.0,0.5,10,gaus,0.71875,1.0,0.196875,1,7.75,0.5686303213776522,0.12017169208305954,0.6353091494964369,0.5791087518429088,0.0,0.1175165179806498,0.7511380880121393,0.0,0.11612638837782635,,0.05107942881896678,0.0,0.0,0.0,,0.0,6.02700900296238e-05,0.0,,,,,0.1333333333333333,,0.10014055379712286,0.6170212765957447,0.5,0.4141185846997994,0.4141185846997994,0.46511627906976744,0.4891303912760473,0.178912035947692,20,0.9797735531259054,0.5289097671147026,19,0.7071067811865476,0.9646446609406726,19.5,19.487179487179485,0.4948223304703363,18,10.75,10.5,5.259911279353167,16,0.6323529411764706,1.0,0.2573529411764706,2,14.0,10
