signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,scales_used,emd_value,kl_divergence,is_complex,change_point_indices,change_point_prominences,num_change_points,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,wavelet_type,htid,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,max_autocorrelation_diff,prominence_min_diff,prominence_max_diff,avg_prominence_diff,upper_envelope_diff,prominence_threshold_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,distance_factor_diff,lower_envelope_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,relative_num_peaks_diff,emd_value_normalized,smoothness_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,relative_num_peaks_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_right_bases_array_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,reconstruction_signal_num_missing_metrics,reconstruction_signal_missing_metrics_count,reconstruction_signal_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,across_emd_value_normalized,across_smoothness_normalized,across_wavelet_psnr_normalized,across_wavelet_entropy_normalized,across_wavelet_energy_entropy_normalized,across_wavelet_sparsity_normalized,across_correlation_normalized,across_avg_variance_across_levels_normalized,across_kl_divergence_normalized,across_prominence_min_diff_normalized,across_avg_prominence_diff_normalized,across_relative_prominences_avg_diff_normalized,across_relative_prominences_wasserstein_normalized,across_relative_prominences_total_diff_normalized,across_prominence_max_diff_normalized,across_relative_num_peaks_diff_normalized,across_max_autocorrelation_diff_normalized,across_relative_right_bases_global_alignment_score_normalized,across_relative_right_bases_array_alignment_score_normalized,across_relative_left_bases_global_alignment_score_normalized,across_upper_envelope_diff_normalized,across_lower_envelope_diff_normalized,across_relative_peaks_global_alignment_score_normalized,across_reconstruction_signal_weighted_score,across_reconstruction_signal_normalized_weighted_score,across_reconstruction_signal_normalized_weighted_rank,across_wavelet_signal_weighted_score,across_wavelet_signal_normalized_weighted_score,across_wavelet_signal_normalized_weighted_rank,across_rank_variability,across_normalized_rank_stability,across_average_rank,across_harmonic_average_rank,across_stability_score_weighted,across_stability_rank,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,across_normalized_family_mean_rank,across_normalized_family_std_dev,across_final_family_stability_score,across_final_family_stability_rank,across_family_informed_rank
smoothed,gaus1,20.921234547170087,0.6992071176717759,489.47728513070064,-31.940966504507372,862,127,38897.65774989313,,False,"[5, 43, 84, 122, 161, 221, 265, 308, 384, 432, 473, 505, 548, 594, 642, 690, 742, 790, 842]","[1491.7185783473833, 11830.530877073601, 6008.368518748168, 11479.031931356134, 33958.211759580045, 21369.654371620854, 10547.762204200284, 65578.75195401894, 47666.36136970813, 15718.776602938731, 9390.809031445428, 19258.41785709963, 140.18221489123698, 954.0559938071638, 86982.11669299548, 14360.43547095656, 4471.76319062825, 41697.58609519902, 14031.550861811273]",19,15.946784035647497,177337.03492766246,0.012989690245515178,3.7158016117335e-06,0.013881089385928455,17,23035.727481497514,388.41905499776476,118885.38315249095,"[36, 79, 122, 161, 221, 265, 308, 410, 466, 505, 549, 577, 630, 681, 742, 790, 842]","[6826.086376292653, 6008.368518748168, 11479.031931356134, 33958.211759580045, 21369.654371620854, 10547.762204200284, 118885.38315249095, 15718.776602938731, 9390.809031445428, 67937.68599827158, 14095.386195046874, 440.4563698732236, 388.41905499776476, 14360.43547095656, 4471.76319062825, 41697.58609519902, 14031.550861811273]","[28, 43, 43, 43, 188, 240, 43, 384, 384, 384, 529, 575, 628, 642, 642, 642, 825]","[43, 84, 128, 240, 240, 272, 642, 432, 473, 642, 642, 642, 642, 690, 747, 861, 861]",0.05,30,1721532156111.8516,87674.31134450788,-87674.31134450788,CWT,uc1.c2693407,0.0,-14.5,,344.9640541000797,117859.75370366954,22513.326336440183,86573.97801117455,0.0,22511.379655410557,379547.3671854577,22511.37965541056,0.0,86573.97801117455,0.0,-14.5,0.0,-14.5,6.0,1.0,0.08096636096774552,0.29833711615581704,0.6488590879174646,0.9999999999999999,0.24465366509751124,0.0,0.9999999999999999,,0.2601431906829468,0.3697124738704208,0.3697124738704208,0.3697019311516686,0.23885577804592023,0.9360831658867173,1.0,,0.0,,0.0,1.0,1.0,0.0,1.7982504928389558,0.73136653212726,7,1.8255831879815505,0.8773263311299874,4,0,0,0.4620174177923412,0.6656526917310117,7,1,0.11111111111111112,0.5285464732117616,0.9514431359588857,3,2.0615528128088303,0.8527462276565121,5.25,4.602739726027397,0.738873113828256,3,gaus,0.44642857142857145,1.0,0.3875,1,2.5,0.9999999999999999,0.08712870662338949,0.27074965072624996,0.6488590879174647,0.9979601137785561,0.24465366509751119,0.0017688835012557025,0.8067121643916073,,0.2601431906829467,0.4766245698842484,0.4766169903144972,0.4763120228012624,0.2080205328696812,0.9380631395032439,1.0,,0.0,0.0,0.0,0.9914618260910584,0.9914618260910584,0.0,1.8765355987277719,0.7844131552041481,10,1.7332518884669268,0.8232051503832313,9,0.7071067811865476,0.9747461863861947,9.5,9.473684210526315,0.8177302360502402,1,11.75,11.5,8.06225774829855,16,0.42727272727272725,1.0,0.4009090909090909,4,1.75
smoothed,gaus4,20.34708269522581,0.6803898642600069,331.67397270991006,-27.340334872625984,862,127,21623.884481380854,,False,"[1, 57, 91, 126, 178, 210, 246, 298, 343, 397, 451, 483, 521, 565, 616, 660, 724, 770, 803, 860]","[54.29936509169784, 768.3227129026673, 48365.00120779788, 6855.736735964727, 40142.44676948988, 3558.904487883537, 19899.703078924103, 26315.411434854643, 57312.85521070252, 23031.867510824915, 46144.277833842396, 16521.934743150232, 23593.001230596437, 7768.933253472902, 55951.3703701095, 9717.669735349891, 26233.45089130333, 47812.84338866745, 29728.60402069126, 582.0572217372319]",20,15.802595318776888,98747.92070545319,0.013097232031652016,2.5386225471541162e-06,0.49609403176606093,17,33129.40776391578,533.9336348190773,102747.02732260906,"[15, 57, 91, 147, 210, 246, 298, 337, 397, 451, 483, 541, 572, 660, 724, 770, 832]","[651.9812079834519, 768.3227129026673, 81272.00951952908, 9500.464050435876, 25269.87496615643, 19899.703078924103, 67506.54592445328, 533.9336348190773, 24452.19475372528, 102747.02732260906, 16521.934743150232, 32738.877868845877, 7768.933253472902, 19309.00436330829, 26233.45089130333, 98297.06967425797, 29728.60402069126]","[1, 1, 1, 126, 178, 178, 178, 334, 343, 343, 470, 521, 565, 616, 616, 343, 803]","[18, 59, 343, 178, 229, 267, 343, 343, 418, 616, 616, 616, 616, 684, 745, 860, 860]",0.05,30,600451580116.5605,57504.30413645726,-57504.30413645726,CWT,uc1.c2693407,0.0,-14.5,,490.4786339213922,101721.39787378766,32607.006618858446,56403.97080312392,0.0,32605.05993782882,551139.9319865683,32605.059937828817,0.0,56403.97080312392,0.0,-1.0,0.0,-5.5,6.0,0.31378774583325864,0.05297902264724967,0.677877773173208,0.4562156655565652,0.9469888291734215,0.10611970410221876,0.8266539186501146,0.41161379926850783,,0.3704232021268054,0.9788664322386693,0.9788664322386694,0.9788660787408576,0.7086902898013991,0.7122971128350943,1.0,,0.6923076923076924,,0.0,0.4865383479108665,0.4865383479108665,0.4615384615384615,2.4587541456245563,1.0,1,1.7561139106214072,0.843941259097191,6,0,0,0.6545776998041152,0.9430843752681705,2,1,0.11111111111111112,0.46847400174501247,0.8433059265857656,7,2.943920288775949,0.7897199793731465,4.0,2.2105263157894735,0.7520028468294304,2,gaus,0.44642857142857145,1.0,0.3875,1,1.75,0.3137877458332585,0.05932903026148521,0.6151938876618908,0.4562156655565652,0.9450570797089296,0.10611970410221874,0.8269605476734218,0.33205385890135064,,0.3704232021268054,0.9824511993996009,0.9824509452563025,0.9824407196825145,0.6172014465386463,0.7212093835050635,1.0,,0.627906976744186,0.0,0.0,0.4823841988830344,0.4823841988830344,0.36000000000000004,2.3922796121890544,1.0,1,1.6877413823291014,0.801590009907404,10,6.363961030678928,0.7727156774757526,5.5,1.8181818181818181,0.7881435530235906,2,11.75,11.5,8.06225774829855,16,0.42727272727272725,1.0,0.4009090909090909,4,2.5
raw,gaus4,20.364920373233478,0.6809927471363063,333.9216142643266,-25.991871519076682,862,127,21425.567303449665,,False,"[1, 56, 91, 126, 178, 210, 246, 298, 344, 397, 451, 487, 521, 565, 616, 661, 725, 769, 804, 860]","[896.4542300130634, 1277.4896899825653, 48660.71426808147, 6518.375246538762, 40850.514221776146, 4797.720715010799, 26535.141310897394, 21687.54474563064, 57663.90163810813, 23832.57772469567, 46414.07126561124, 17559.56665228602, 24210.06884962407, 8151.3226669453, 56756.31364625286, 10171.813512537668, 27173.716873756242, 48013.756003261115, 30700.90742687875, 450.07247654825187]",20,15.804542280988144,100545.8424567047,0.012917184584620154,6.708068771979403e-07,0.3619325284015514,19,30145.259341842862,15.3869610197562,103645.86464191665,"[23, 56, 91, 146, 210, 246, 298, 338, 368, 397, 451, 487, 541, 572, 630, 661, 725, 769, 832]","[15.3869610197562, 1277.4896899825653, 77722.95109748041, 10649.656854466515, 26883.35644145627, 68884.96877893206, 21687.54474563064, 1561.104202806513, 891.67447538134, 25807.08441591298, 103645.86464191665, 17559.56665228602, 33768.66013293507, 8151.3226669453, 653.899840850725, 20634.375241389927, 27173.716873756242, 95090.39635498656, 30700.90742687875]","[1, 1, 1, 126, 178, 178, 267, 334, 344, 344, 344, 470, 521, 565, 616, 616, 616, 344, 804]","[24, 60, 344, 178, 229, 344, 344, 344, 369, 418, 616, 616, 616, 616, 631, 684, 744, 860, 860]",0.05,30,593066267047.6346,57835.12168134056,-57835.12168134056,CWT,uc1.c2693407,0.0,-9.0,,123.73492129142085,102369.54605276254,29383.917039544147,56550.12168134056,0.0,29382.259341842862,555210.9274950144,29398.236915740094,0.0,56550.12168134056,0.0,-13.5,0.0,-13.5,4.0,0.30918397438040685,0.12430089097487228,0.6579646361864623,0.41621901829563024,0.9462319821667399,0.10191082802547707,0.7745939795776303,0.32041345377837427,,0.2331507444944728,0.8451696388183294,0.8451696388183294,0.8459015795134384,0.5937477233707265,0.7558623232807398,1.0,,0.0,0.0,0.22857142857142854,0.46987237122388287,0.46987237122388287,0.0,2.1164285951658,0.9196674700651232,3,1.6848170461022387,0.7819690710996228,7,0,0,0.4836398322550176,0.8020991840124647,3,1,0.11111111111111112,0.45079678986764354,0.8075134884287941,8,2.6299556396765835,0.8121460257373869,5.25,4.280254777070064,0.7185730128686935,2,gaus,0.5089285714285714,1.0,0.34375,1,1.75,0.3059094626352142,0.015219622703317144,0.7161518577871849,0.4588169055961753,0.9467006645622519,0.1105581708137184,0.5973753488963915,0.34291285000080685,,0.09248197537508691,0.8209318632491982,0.8209437520578057,0.8216405841634896,0.6269091728822616,0.7299186577666852,0.6666666666666666,,0.04651162790697677,0.0,0.2894736842105263,0.48485029515486566,0.48485029515486566,0.040000000000000036,1.9474186837185108,0.8140430883564344,8,1.6491271732374506,0.7832502544375063,12,2.8284271247461903,0.8989847455447789,10.0,9.600000000000001,0.7709209442009608,3,11.75,11.5,8.06225774829855,16,0.42727272727272725,1.0,0.4009090909090909,4,3.25
smoothed,gaus2,20.625939729946953,0.6675192283099184,363.39085380483823,-29.721206806931114,862,127,27108.429849945285,,False,"[16, 57, 90, 131, 178, 229, 282, 343, 418, 451, 479, 521, 565, 616, 675, 724, 769, 804, 860]","[41.75013393393965, 156.86186853298568, 67999.95806014043, 6836.32820203184, 22668.093052261862, 19632.71829414514, 6787.020872264264, 71206.67217220025, 7496.592136551772, 37477.81596558615, 13112.391755126371, 22759.637876532717, 6181.074947227888, 58174.46164185034, 5393.856578579793, 70079.74914730855, 21355.777382011467, 12791.649215407602, 131.25306768196606]",19,15.75545046033975,128646.74935011638,0.013310928761375854,3.277183911743227e-06,0.4724753353511886,17,29274.460891511633,41.75013393393965,120950.9589730828,"[15, 57, 90, 131, 201, 246, 282, 336, 398, 451, 479, 540, 572, 675, 724, 769, 828]","[41.75013393393965, 156.86186853298568, 93154.21716254714, 6836.32820203184, 28599.19590953939, 39049.03252337965, 13749.395748382718, 473.5865634285292, 15054.634120112922, 97415.75829869893, 13112.391755126371, 22759.637876532717, 6181.074947227888, 5393.856578579793, 120950.9589730828, 21355.777382011467, 13381.37711254868]","[0, 0, 0, 126, 178, 178, 267, 334, 343, 343, 470, 521, 565, 616, 343, 745, 804]","[16, 59, 343, 343, 229, 343, 343, 343, 418, 616, 616, 616, 616, 684, 860, 860, 860]",0.05,30,1037157602761.144,71293.86228677286,-71293.86228677286,CWT,uc1.c2693407,0.0,3.5,,1.7048669637454168,119925.3295242614,28752.059746454303,70193.52895343953,0.0,28750.113065424677,485605.8351556978,28751.046127246605,0.0,70193.52895343953,0.0,3.5,0.0,-10.0,6.0,0.5316649971980671,0.07053826015253797,0.48146176543235336,0.39322774893476453,0.9727355682176949,0.01136516476126434,0.7861645700059418,0.6354623356295879,,0.0,0.7462202535485628,0.7462202535485629,0.7462723198707972,0.5292525593638561,0.9647259263414854,1.0,,0.9230769230769231,,1.0,0.7212220607987732,0.7212220607987732,0.23076923076923075,2.345553453724096,0.9539601419272011,2,1.7257165231995408,0.8293330897415953,7,0,0,0.6940817990097471,1.0,1,1,0.11111111111111112,0.4797719957359709,0.8636435872790296,6,2.943920288775949,0.7897199793731465,4.0,2.2105263157894735,0.7520028468294304,1,gaus,0.44642857142857145,1.0,0.3875,1,1.0,0.5316649971980671,0.07677052877838234,0.4369406210951323,0.39322774893476453,0.9707512983349794,0.01136516476126434,0.786542819970042,0.512635196165091,,0.0,0.7892674716739028,0.7892644198265952,0.7891884139690042,0.4609283489903517,0.9658186233775665,1.0,,0.8372093023255813,0.0,0.9473684210526316,0.7150641414167079,0.7150641414167079,0.18000000000000002,2.324173006729314,0.9715306667695841,2,1.6509018264434452,0.7840931230759539,11,6.363961030678928,0.7727156774757526,6.5,3.3846153846153846,0.7702864101664477,4,11.75,11.5,8.06225774829855,16,0.42727272727272725,1.0,0.4009090909090909,4,4.0
raw,gaus2,20.635774797592823,0.6702230666642308,366.7052509223098,-28.37497471046632,862,127,26850.99618225358,,False,"[1, 57, 90, 131, 178, 229, 276, 315, 344, 418, 450, 479, 521, 566, 615, 672, 724, 769, 805, 860]","[144.16729298522114, 771.365228439623, 67648.44556063104, 8263.695671604684, 23845.527250530104, 20263.56937660034, 8209.625810515588, 149.95107200009807, 71918.29147805193, 8188.49239575516, 38665.998261561435, 14191.422901872193, 23443.936862937775, 6415.608221877053, 59055.07189760318, 6326.3128455472015, 69830.43771060168, 22191.747417703016, 13081.719860960566, 101.11872703941481]",20,15.758771169111725,129988.06839029133,0.013545499232070645,7.14610722446728e-07,0.34244742396260436,20,25284.087184044638,149.95107200009807,117605.20326821823,"[23, 57, 90, 131, 201, 246, 276, 316, 368, 398, 450, 479, 513, 541, 571, 607, 672, 724, 769, 828]","[378.62965466884066, 771.365228439623, 89206.52153157003, 8263.695671604684, 29742.242052413632, 41670.19627810431, 15518.321132094241, 149.95107200009807, 149.99393872395012, 15741.161431792794, 98565.871366804, 14191.422901872193, 205.37622829538668, 23443.936862937775, 6415.608221877053, 550.3098523041408, 6326.3128455472015, 117605.20326821823, 22191.747417703016, 14593.876723921525]","[1, 1, 1, 126, 178, 178, 267, 315, 344, 344, 344, 470, 512, 521, 566, 606, 615, 344, 745, 805]","[24, 59, 344, 344, 229, 344, 344, 344, 369, 418, 615, 615, 521, 615, 615, 615, 684, 860, 860, 860]",0.05,30,1024865293873.8958,72024.23694558718,-72024.23694558718,CWT,uc1.c2693407,0.0,-4.0,,10.82918968892102,116328.88467906413,24522.744881745923,70739.23694558718,0.0,24521.087184044638,488132.74368089275,24588.128501873372,0.0,70739.23694558718,0.0,-13.0,0.0,-8.5,3.0,0.5270914365545074,0.13274939472994476,0.442969188207472,0.34549213825795094,0.9714082863236908,0.01657498552403,0.7313579776366017,0.5043259038284007,,0.0,0.5943682588733092,0.5943682588733092,0.5975858470984122,0.4195752843252152,0.9501032482134149,0.75,,0.024390243902439046,0.0,0.5142857142857142,0.7162554612585028,0.7162554612585028,0.20833333333333334,1.9027724227117073,0.8268258632027569,5,1.6230875213962528,0.753318732354871,9,0,0,0.4681170085709347,0.7763551418964153,4,1,0.11111111111111112,0.45344060832726923,0.8122493674658467,7,2.217355782608345,0.841617444099404,6.25,5.682074408117249,0.6975944363354163,4,gaus,0.5089285714285714,1.0,0.34375,1,3.25,0.5214382717073978,0.016254072565673763,0.537731539453327,0.39766438389747916,0.9716575131577386,0.031271015467383964,0.5640312713210784,0.520736422766667,,0.006914980036951943,0.5773229654762009,0.5773313263189803,0.5804467048994001,0.46695403396274904,0.9174925992681433,0.5,,0.06976744186046507,0.0,0.5526315789473684,0.7242722177646927,0.7242722177646927,0.24000000000000002,1.8147768988215667,0.7585973184635202,12,1.6150230593035781,0.7670525612883284,15,2.1213203435596424,0.9242385591585842,13.5,13.333333333333334,0.7210478510078635,5,11.75,11.5,8.06225774829855,16,0.42727272727272725,1.0,0.4009090909090909,4,4.75
raw,fbsp,13.78953131231404,0.7824140891901273,561.3529364031285,-33.28503813751926,862,127,30917.188211475936,-745659.4602512743,True,"[26, 69, 116, 145, 175, 211, 244, 299, 330, 372, 419, 451, 507, 535, 588, 624, 652, 700, 731, 778, 808, 858]","[8428.452390550228, 33565.525411958326, 12598.316554711484, 1105.9764770843394, 17639.79922015097, 3.943737055784368, 22067.25210050047, 1577.576550031532, 65430.22610991758, 8309.374673744853, 4573.7616992933945, 33051.656555326954, 34519.20427326076, 5675.135028573412, 6805.7958155374345, 42978.42334598396, 2270.9816943533006, 35238.27024950537, 10752.47159474693, 54608.613185110524, 1886.5346267592904, 7702.346460888279]",22,16.091972450311733,209339.6768591084,0.01563757102145518,2.6330985324112308e-08,0.24689033562233467,24,27543.756175740942,10.55307146420455,93182.85491516898,"[26, 54, 92, 134, 163, 201, 244, 282, 311, 339, 367, 395, 451, 485, 539, 574, 603, 631, 660, 697, 727, 770, 801, 831]","[7469.214824053313, 13159.235161085082, 73973.09823321005, 13658.823862422525, 9625.610335586829, 31103.75429954109, 25982.85410913269, 61250.312074070505, 8609.10216615201, 5894.471536000849, 1020.3727741636467, 38896.61887822154, 88452.09434615934, 24545.271229960625, 43187.66882639881, 16489.88256459975, 4922.818592704622, 2630.66056222278, 25463.764161339783, 10.55307146420455, 33649.7141369168, 93182.85491516898, 1264.1966919561637, 36607.20086525053]","[2, 2, 2, 126, 162, 178, 178, 178, 309, 333, 345, 345, 345, 468, 520, 566, 601, 614, 614, 614, 345, 345, 800, 803]","[27, 55, 345, 178, 178, 232, 266, 345, 345, 345, 368, 419, 614, 614, 614, 614, 614, 634, 685, 698, 745, 859, 803, 859]",0.05,30,1020086101174.3267,68084.69665091146,-68084.69665091146,CWT,uc1.c2693407,0.0,-12.5,,128.5688108469725,91906.53632601487,26782.413873442227,66799.69665091146,0.0,26780.756175740942,643501.1482177826,26791.46008645225,0.0,66799.69665091146,0.0,-12.5,0.0,-3.5,1.0,0.6904063754457049,0.0,0.0,0.8603646435941166,0.33504021249357097,0.9055442964678632,0.5193238841112496,1.0,0.0,0.24313274392607623,0.7109508613691431,0.7109508613691431,0.7113300393500058,0.8229984605368343,0.6102719954500367,0.25,,0.04878048780487809,0.0,0.028571428571428567,0.6478483694108605,0.6478483694108605,0.4166666666666667,1.8797524525330542,0.8168228242230657,6,1.7747716129092006,0.8237194137910988,4,0,0,0.4499500218358409,0.7462258509150625,7,0,0.0,0.47896437912361156,0.8579701659650171,5,1.2909944487358056,0.9077861108045853,5.5,5.266457680250784,0.7574644839737212,1,fbsp,0.07142857142857142,,,4,1.75,0.6829704832789014,0.0,0.1701204838937172,0.8428381571200227,0.3408365010436566,0.8572293207800943,0.400508259346851,1.0,0.0,0.09614539794180973,0.6905622120056396,0.6905722127893071,0.6909286413683684,0.8374466936964681,0.5893254658574116,0.16666666666666669,,0.09302325581395346,0.0,0.10526315789473686,0.657797860908432,0.657797860908432,0.44,1.801463071409386,0.7530319876617424,14,1.8018957964525186,0.8558074622411769,6,5.656854249492381,0.7979694910895578,10.0,8.4,0.7204133169733503,6,7.5,7.5,2.1213203435596424,2,0.2727272727272727,0.26311740579210874,0.7301556873532764,1,4.75
smoothed,gaus6,20.21238654617415,0.6723970988545226,300.0139779479533,-25.841352999913525,862,127,18213.76509966829,,False,"[1, 57, 91, 126, 178, 210, 246, 298, 343, 396, 451, 484, 521, 565, 616, 660, 704, 732, 770, 803, 832, 860]","[430.68103115788836, 1145.662008111196, 39563.205919097105, 14838.232780938182, 43669.592521266575, 3496.8089129775863, 20615.568793577797, 35411.622858670504, 51572.226151892544, 26980.48036331703, 38382.70982925938, 19977.01045670601, 27507.835519898625, 4803.206392127311, 46927.979219965964, 11147.688426238434, 28997.33214994026, 182.50532964399827, 39348.933580608566, 36464.23217596543, 5296.316162371222, 716.8310470309152]",22,15.746742161919686,86265.98868691649,0.016520494970032402,2.1186711143270667e-06,0.5266057845489314,19,31528.30487489979,120.18926609316622,85799.1997789859,"[13, 57, 91, 147, 201, 246, 298, 337, 396, 451, 484, 542, 573, 631, 660, 704, 732, 770, 832]","[1825.8293500576583, 1145.662008111196, 71177.5342476131, 14838.232780938182, 28496.390880697945, 20615.568793577797, 80370.75315595255, 758.1984822015584, 33881.59245470384, 85799.1997789859, 19977.01045670601, 43504.34101583608, 10026.839990189887, 120.18926609316622, 31743.656246425096, 30823.092215372046, 182.50532964399827, 80549.71824297955, 43201.47792701034]","[1, 1, 1, 126, 178, 178, 178, 335, 343, 343, 470, 521, 565, 616, 616, 616, 731, 343, 803]","[18, 59, 343, 178, 229, 267, 343, 343, 418, 616, 616, 616, 616, 632, 685, 744, 744, 860, 860]",0.05,30,425849028726.62054,51587.782935462805,-51587.782935462805,CWT,uc1.c2693407,0.0,-13.5,,76.73426519548116,84773.5703301645,31005.90372984246,50487.44960212947,0.0,31003.957048812834,586977.792623096,31003.957048812834,0.0,50487.44960212947,0.0,0.0,0.0,4.5,4.0,0.17831846118262049,0.042994710844263956,0.8015400461715332,0.3815930215650314,0.9345523969945825,0.04727639542703439,0.8789599805288109,0.31816324150538067,,0.05686195091778548,0.8822398168407364,0.8822398168407366,0.8822378470849668,0.8068172906655703,0.4772863426075323,0.5,,0.7435897435897436,,0.05555555555555555,0.3858454070861009,0.3858454070861009,0.9743589743589742,2.082250133762584,0.8468720378033829,4,1.7031505355752825,0.8184884811469003,8,0,0,0.5860731793861502,0.8443863248140294,4,1,0.11111111111111112,0.4423692262218516,0.7963143927357083,8,2.309401076758503,0.8350427802315354,6.0,5.333333333333333,0.7032356758300534,4,gaus,0.44642857142857145,1.0,0.3875,1,3.25,0.17831846118262046,0.049411665714672315,0.7274210139870771,0.38159302156503144,0.9326460164367361,0.04727639542703438,0.879174086222245,0.2566661571846553,,0.05686195091778547,0.9022148083907688,0.9022133922568853,0.9021564134516141,0.7026606771072459,0.49347862223141037,0.6666666666666666,,0.6744186046511628,0.0,0.052631578947368446,0.38255099189843333,0.38255099189843333,0.76,2.0714957009603374,0.8659086882677632,5,1.6351378209958918,0.7766060344643998,14,6.363961030678928,0.7727156774757526,9.5,7.368421052631578,0.7167149815950191,7,11.75,11.5,8.06225774829855,16,0.42727272727272725,1.0,0.4009090909090909,4,6.25
raw,gaus6,20.23966403902268,0.6775946800153461,306.61247939702497,-24.51165908666966,862,127,18067.420551575266,,False,"[1, 56, 91, 126, 177, 210, 246, 298, 343, 396, 451, 487, 521, 550, 588, 616, 659, 705, 733, 769, 802, 860]","[931.0223656853377, 2262.3724937124025, 39055.795958892326, 15392.701173285457, 43922.3393269822, 4698.408900763192, 22475.183715642408, 35722.41367022736, 51497.4094185086, 27109.54212507363, 38204.74560554151, 21600.116794283265, 27825.694845945294, 261.43861791555537, 1409.573260239169, 48132.2506024058, 11596.31536631168, 29966.796996710633, 696.7630221513064, 39530.49954569049, 38010.45577959115, 533.5380517949307]",22,15.750793643488915,88675.48265238215,0.016186440154004937,5.28526709342608e-07,0.38614914381805726,20,30543.505466955026,357.55977206143507,87438.99796704928,"[24, 56, 91, 148, 201, 246, 298, 338, 368, 396, 451, 487, 541, 572, 630, 659, 705, 733, 769, 833]","[357.55977206143507, 2262.3724937124025, 67899.48609710857, 15874.18690484632, 29857.38192421922, 22475.183715642408, 81352.48236758987, 2025.810611679488, 1159.2192243525424, 35116.17210881026, 87438.99796704928, 21600.116794283265, 44141.3396348059, 10849.944386609712, 1098.6211408619638, 32798.41036406092, 32128.917221176507, 696.7630221513064, 77796.15875115628, 43940.984836923]","[1, 1, 1, 126, 177, 177, 177, 334, 343, 343, 343, 470, 521, 565, 616, 616, 616, 731, 343, 802]","[25, 60, 343, 177, 229, 267, 343, 343, 369, 418, 616, 616, 616, 616, 631, 684, 744, 744, 802, 860]",0.05,30,422454730734.711,51908.155409319916,-51908.155409319916,CWT,uc1.c2693407,0.0,-13.0,,218.43788975025802,86162.67937789517,29782.16316465631,50623.155409319916,0.0,29780.505466955026,593321.1093391005,29780.50546695503,0.0,50623.155409319916,0.0,-13.0,0.0,-8.5,3.0,0.1743070360487641,0.09685913270979418,0.7915043570677252,0.33316502898332023,0.934589227668139,0.07498552403010923,0.8283288535391155,0.2462646119240665,,0.42871271720060944,0.8657162630673103,0.8657162630673103,0.865635707542761,0.692703046052779,0.5303475723701635,0.75,,0.024390243902439046,0.0,0.0,0.3669551535231389,0.3669551535231389,0.20833333333333334,2.0101473469410345,0.873484288221194,4,1.6499611889912487,0.7657915269143248,8,0,0,0.4588819579679217,0.7610391442076957,6,1,0.11111111111111112,0.42944491594082373,0.7692658198857231,9,2.217355782608345,0.841617444099404,6.75,6.127659574468086,0.6797372934782734,5,gaus,0.5089285714285714,1.0,0.34375,1,4.0,0.17250482563982997,0.011859604896248063,0.8269737367330954,0.3870060059653909,0.9351593970495706,0.08554135843981106,0.6388162714015589,0.27121888925265114,,0.164253783108942,0.8408892513917492,0.8409014292250353,0.840808724848717,0.7177869976011135,0.5121443102151693,0.5,,0.06976744186046507,0.0,0.07894736842105265,0.3848408418758118,0.3848408418758118,0.24000000000000002,1.837829428258951,0.7682335371228809,11,1.61080688034577,0.7650500939862013,16,3.5355339059327378,0.8737309319309736,13.5,13.037037037037036,0.6957940373940582,8,11.75,11.5,8.06225774829855,16,0.42727272727272725,1.0,0.4009090909090909,4,7.0
