amplitude_max,amplitude_max_diff,avg_prominence,avg_prominence_diff,avg_variance_across_levels,correlation,dominant_frequency,dominant_frequency_diff,dynamic_cutoff,dynamic_cutoff_diff,emd_value,frequency_max,frequency_max_diff,htid,is_complex,kl_divergence,lower_envelope,lower_envelope_diff,max_autocorrelation,max_autocorrelation_diff,num_fft_peaks,num_fft_peaks_diff,positive_amplitudes,positive_frequencies,prominence_max,prominence_max_diff,prominence_min,prominence_min_diff,relative_left_bases,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,relative_num_peaks,relative_num_peaks_diff,relative_peaks,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,relative_prominences,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,relative_right_bases,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,scales_used,signal_length,signal_type,smoothness,spectral_bandwidth,spectral_bandwidth_diff,spectral_centroid,spectral_centroid_diff,spectral_magnitude,spectral_magnitude_diff,upper_envelope,upper_envelope_diff,variance_ratio_across_levels,wavelet,wavelet_adaptive_threshold,wavelet_energy_entropy,wavelet_entropy,wavelet_psnr,wavelet_sparsity,wavelet_type,emd_value_normalized,smoothness_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,spectral_centroid_diff_normalized,dynamic_cutoff_diff_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,amplitude_max_diff_normalized,frequency_max_diff_normalized,spectral_bandwidth_diff_normalized,num_fft_peaks_diff_normalized,relative_num_peaks_diff_normalized,dominant_frequency_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,across_emd_value_normalized,across_smoothness_normalized,across_wavelet_psnr_normalized,across_wavelet_entropy_normalized,across_wavelet_energy_entropy_normalized,across_wavelet_sparsity_normalized,across_correlation_normalized,across_avg_variance_across_levels_normalized,across_kl_divergence_normalized,across_prominence_min_diff_normalized,across_avg_prominence_diff_normalized,across_relative_prominences_avg_diff_normalized,across_relative_prominences_wasserstein_normalized,across_spectral_centroid_diff_normalized,across_dynamic_cutoff_diff_normalized,across_relative_prominences_total_diff_normalized,across_prominence_max_diff_normalized,across_amplitude_max_diff_normalized,across_frequency_max_diff_normalized,across_spectral_bandwidth_diff_normalized,across_num_fft_peaks_diff_normalized,across_relative_num_peaks_diff_normalized,across_dominant_frequency_diff_normalized,across_max_autocorrelation_diff_normalized,across_relative_right_bases_global_alignment_score_normalized,across_relative_left_bases_global_alignment_score_normalized,across_upper_envelope_diff_normalized,across_lower_envelope_diff_normalized,across_relative_peaks_global_alignment_score_normalized,across_reconstruction_weighted_score,across_reconstruction_normalized_weighted_score,across_reconstruction_normalized_weighted_rank,across_signal_weighted_score,across_signal_normalized_weighted_score,across_signal_normalized_weighted_rank,across_rank_variability,across_normalized_rank_stability,across_average_rank,across_harmonic_average_rank,across_stability_score_weighted,across_stability_rank,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,across_normalized_family_mean_rank,across_normalized_family_std_dev,across_final_family_stability_score,across_final_family_stability_rank,across_family_informed_rank
,,71846.0285155598,71740.84669737797,410848.6460140378,0.7158416455059471,,,62630.4332034609,62149.0332034609,52674.79990972095,,,mdp.39015035518102,False,,-73638.04059973941,73096.84059973941,330321648674.3316,330300835628.6516,,,[],[],71846.0285155598,71304.8285155598,71846.0285155598,71843.8285155598,[0],0.0,-10.5,1,10.0,[50],0.0,-6.0,[71846.0285155598],71740.84669737797,70689.0285155598,71740.84669737799,[100],0.0,-10.5,49,101,smoothed,3.349844073386311e-05,,,,,0.0,0.0,73638.04059973941,73096.84059973941,0.044019255699308965,mexh,1293.243515857471,958523635.2648203,11.097569193342576,-40.41254026858975,0.6500303091533643,CWT,1.0,1.0,0.0182367987276032,0.6510075099726105,1.0,1.0,0.8204869694508385,0.18064465650866895,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,0.6666666666666666,,0.946026131666702,0.0,0.0,0.7000247506576427,0.7000247506576427,0.47368421052631576,3.8144264748683376,1.0,1,2.2368984846066704,1.0,1,0.0,0.7490304650124983,0.9740093191101008,2,0,0.7087969918324651,1.0,1,0.5,0.95,1.25,1.1428571428571428,0.9125,1,mexh,0.14285714285714285,,,2,1.25,0.998766796486782,0.9999999999999998,0.024810731514848916,0.6503450097875578,0.9999999999999999,0.9259259259259269,0.8204869694508385,0.18303311940207334,,1.0,1.0,1.0,1.0,,1.0000000000000002,1.0,1.0,,,,,0.2857142857142857,,0.9461405685212237,0.8,0.2758620689655173,0.7014833864445248,0.7014833864445248,0.6296296296296297,3.8014614859466143,1.0,1,2.211467388660258,1.0,1,0.0,1.0,1.0,1.0,0.975,1,1.5,1.5,0.7071067811865476,2,0.1111111111111111,0.12727412975020377,0.884039983297161,1,1.0
,,64078.95081675359,63889.284150086925,383074.77231415245,0.5448330508184308,,,62373.669963518594,61881.669963518594,52731.49264636897,,,mdp.39015035518102,False,,-72292.45320223378,71710.45320223378,326305301099.22864,326283601350.22864,,,[],[],64078.95081675359,63655.95081675359,64078.95081675359,64068.95081675359,[0],0.0,-10.0,1,14.0,[50],0.0,-10.0,[64078.95081675359],63889.284150086925,61233.95081675359,63889.284150086925,[100],0.0,-14.5,49,101,raw,1.1336209433464626e-05,,,,,0.0,0.0,72292.45320223378,71710.45320223378,0.04547305663728924,mexh,1305.6869830369221,952083574.8934643,11.10671255692877,-40.688798286470494,0.6548797736916548,CWT,1.0,1.0,0.00840593331166739,0.673139332808435,1.0000000000000002,1.0,0.7512871757662657,0.1748110934381532,,1.0,1.0,1.0,1.0,,0.9999999999999999,1.0,0.9999999999999999,,,,,0.6666666666666666,,0.9830614237451327,0.0,0.3103448275862069,0.6952189903612,0.6952189903612,0.45,3.8573194574423333,1.0,1,2.2120525340729853,1.0,1,0.0,0.7714650641943152,1.0,1,0,0.7009554419155652,1.0,1,0.0,1.0,1.0,1.0,0.95,1,mexh,0.125,,,2,1.25,1.0,0.2612319738004302,0.008405933311667502,0.6731393328084349,0.9930083210785653,1.0,0.5848230961120631,0.1677569887999156,,0.8897079270466786,0.8791187687057475,0.8791187687057475,0.8791187687057471,,0.9956896074318754,0.855439115368414,0.8822392678295796,,,,,0.8571428571428572,,0.9343798601932187,0.0,0.31034482758620696,0.6845497650649596,0.6845497650649596,0.33333333333333337,3.606371393669134,0.9486802396923666,2,1.9175190130354212,0.8670799410689409,2,0.0,1.0,2.0,2.0,0.95,2,1.5,1.5,0.7071067811865476,2,0.1111111111111111,0.12727412975020377,0.884039983297161,1,1.75
,,31220.143139079228,31114.961320897408,113796.03767431644,0.6446951948473262,,,10939.63012780819,10458.23012780819,12477.75202224635,,,mdp.39015035518102,False,,-25895.676220524972,25354.47622052497,24237587077.01317,24216774031.333168,,,[],[],35017.29363211237,34476.09363211237,27422.992646046085,27420.792646046084,"[0, 0]",0.0,-10.0,2,9.0,"[17, 86]",0.0,-1.0,"[27422.992646046085, 35017.29363211237]",31114.961320897408,61283.286278158455,31114.961320897408,"[59, 100]",0.0,-10.0,49,101,smoothed,1.438456215155527e-05,,,,,0.0,0.0,25895.676220524972,25354.47622052497,0.03902057840339125,gaus4,391.7019529858288,87467750.6597305,11.219688442933041,-28.929616285940234,0.6160840573853303,CWT,0.11513729081607883,0.262046533927055,0.7087790936857028,1.0,0.051781425760941455,0.3707865168539315,0.7224413234576981,0.016782707510028735,,0.36737966441274955,0.37453124557703366,0.37453124557703366,0.3745312455770335,,0.16664813956561098,0.8551909004041859,0.4329914850825816,,,,,0.3333333333333333,,0.048041682975572014,0.5,0.1,0.11404031207242002,0.11404031207242002,1.0,1.6376775825194316,0.42933782924101566,3,1.5083175356434957,0.6742896676013949,3,0.0,0.368232826189284,0.4788352691430621,4,0,0.40596936150142954,0.5727583019954273,4,0.5773502691896257,0.9422649730810374,3.5,3.428571428571429,0.7961324865405187,3,gaus,0.8392857142857143,1.0,0.11249999999999998,1,2.5,0.12438422815906885,0.3628474424858159,0.7066915766860377,0.9547871984844298,0.054334475671590395,0.40740740740740744,0.722441323457698,0.019648836397721345,,0.3698281950234783,0.37453124557703366,0.37453124557703366,0.3745312455770335,,0.16664813956561098,0.8561934167260109,0.4329914850825816,,,,,0.1428571428571428,,0.05006005073019076,0.9,0.31034482758620696,0.11834830918011206,0.11834830918011206,1.0,1.6264897891520935,0.4278590734550283,5,1.534544311188229,0.6939032061051013,5,0.0,1.0,5.0,5.0,0.875,3,11.25,11.0,5.555777773333512,16,0.8333333333333334,1.0,0.11666666666666663,2,2.75
,,28694.966212442505,28589.784394260685,225411.78766258902,0.8461045943720186,,,38923.9634941798,38442.5634941798,33335.24032329104,,,mdp.39015035518102,False,,-43858.11517292055,43316.915172920555,128332334517.88638,128311521472.20639,,,[],[],50205.29099675727,49664.09099675727,7184.641428127739,7182.4414281277395,"[0, 0]",0.0,-10.0,2,9.0,"[27, 75]",0.0,-5.5,"[7184.641428127739, 50205.29099675727]",28589.784394260685,56232.93242488501,28589.784394260685,"[59, 100]",0.0,-10.0,49,101,smoothed,1.9481242821632707e-05,,,,,0.0,0.0,43858.11517292055,43316.915172920555,0.06645795026843533,gaus2,811.406288123196,409468124.5475005,11.011308010164234,-36.26522982663101,0.6166902404526167,CWT,0.5742758239864522,0.45882047228575,0.267641329735661,0.40449023107451865,0.40230627821714277,0.3820224719101114,1.0,0.07835285979465909,,0.07916900324092685,0.3356540801352325,0.3356540801352325,0.33565408013523235,,0.6178076280291678,0.7774365695205836,0.6668231346776776,,,,,0.3333333333333333,,0.3534331623767781,0.5,0.1,0.3345092779898983,0.3345092779898983,0.5263157894736842,1.9659898228201205,0.5154090230269757,2,1.4580620740507961,0.6518230863333869,4,0.0,0.40216424407411755,0.5229583305860911,3,0,0.44598868337553693,0.6292192101754194,3,0.816496580927726,0.9183503419072274,3.0,2.823529411764706,0.8091751709536137,2,gaus,0.8392857142857143,1.0,0.11249999999999998,1,1.75,0.5780848143460328,0.5327430034411295,0.27108698951526217,0.4352966575051285,0.40391555053520267,0.4166666666666668,1.0,0.0810395085273234,,0.08273304118918462,0.33565408013523246,0.33565408013523246,0.33565408013523235,,0.6178076280291678,0.7789773806458496,0.6668231346776776,,,,,0.1428571428571428,,0.3548040308622215,0.9,0.31034482758620696,0.3377452402404175,0.3377452402404175,0.6666666666666667,1.982723440916901,0.5215687304071625,3,1.5145891131430675,0.6848796961282028,6,2.1213203435596424,0.8939339828220179,4.5,4.0,0.834466991411009,4,11.25,11.0,5.555777773333512,16,0.8333333333333334,1.0,0.11666666666666663,2,3.5
,,28618.859836942658,28429.19317027599,108158.14753120064,0.4587793083329216,,,10752.049964774993,10260.049964774993,12250.086987477142,,,mdp.39015035518102,False,,-25998.770172933982,25416.770172933982,23894730314.81536,23873030565.81536,,,[],[],29619.66353202867,29196.66353202867,27618.056141856647,27608.056141856647,"[0, 0]",0.0,-5.0,2,13.0,"[17, 86]",0.0,-14.0,"[29619.66353202867, 27618.056141856647]",28429.19317027599,54392.719673885316,28429.19317027599,"[58, 100]",0.0,-9.5,49,101,raw,6.727062357938179e-06,,,,,0.0,0.0,25998.770172933982,25416.770172933982,0.04097165608347537,gaus4,390.3657151888476,85007728.55184548,11.237824409622144,-29.199379361395273,0.6207314609011921,CWT,0.11943196553577436,0.41184899642195416,0.6906724622022006,1.0,0.05202750179929232,0.47839506172839513,0.5662992346271273,0.017243726736950724,,0.4186594805339798,0.3662230561693327,0.3662230561693327,0.3662230561693327,,0.1619906694050389,0.8777269193066984,0.3841103849865989,,,,,0.33333333333333337,,0.05160943829821923,1.0,0.6551724137931034,0.1209655869204197,0.1209655869204197,0.05,1.5501541101916825,0.4018734064664534,3,1.5245767260452743,0.6892136161152183,4,0.0,0.3766573558575579,0.48823643913275916,4,0,0.4169898686314618,0.5948878397918067,4,0.5,0.95,3.75,3.6923076923076925,0.7875,3,gaus,0.71875,1.0,0.196875,1,2.5,0.11943196553577437,0.10758812624303336,0.6906724622022006,1.0,0.051663742211627305,0.47839506172839513,0.46623397895985297,0.016547895309074773,,0.3724846585643265,0.3331816468108595,0.3331816468108595,0.3331816468108594,,0.1634531068375802,0.7508419393867654,0.35171033789866923,,,,,0.7142857142857143,,0.04905371991714205,1.0,0.6551724137931035,0.1191091803523607,0.1191091803523607,0.03703703703703709,1.5754210383610978,0.4144250952390741,6,1.3928121503597053,0.629813560670905,7,0.7071067811865476,0.9646446609406726,6.5,6.461538461538462,0.8198223304703363,5,11.25,11.0,5.555777773333512,16,0.8333333333333334,1.0,0.11666666666666663,2,4.25
,,33848.253390940634,33743.07157275882,121128.75049081577,0.3852839961204744,,,5471.228348060974,4989.828348060974,11598.582907273685,,,mdp.39015035518102,False,,-23856.222556416742,23315.02255641674,19149671776.307556,19128858730.627556,,,[],[],36941.79224900843,36400.592249008434,30754.71453287284,30752.51453287284,"[0, 0]",0.0,-10.0,2,9.0,"[16, 88]",0.0,-10.0,"[36941.79224900843, 30754.71453287284]",33743.07157275882,66539.50678188127,33743.07157275882,"[59, 100]",0.0,-10.0,49,101,smoothed,1.2313020498438642e-05,,,,,0.0,0.0,23856.222556416742,23315.02255641674,0.047718519654598696,gaus6,330.0924380892509,63826794.9045338,11.158209402409295,-27.97191679131651,0.6265912305516266,CWT,0.09578402967403488,0.1820679290379935,0.7663717423783999,0.8243051483788986,0.02604623040088214,0.5655430711610479,0.3649514090406214,0.02082762271974386,,0.41482610693682287,0.41499315380339874,0.41499315380339874,0.4149931538033986,,0.07848733482660425,0.9361147168569159,0.46262071633856217,,,,,0.3333333333333333,,0.033114839701053334,0.5,0.1,0.08900828598987137,0.08900828598987137,0.05263157894736842,1.492573437884429,0.39129694797327247,5,1.348883163599104,0.6030149212767193,5,0.0,0.3095803328807572,0.40256590796214586,6,0,0.3557371478489528,0.5018886253019491,5,0.5,0.95,5.25,5.217391304347826,0.7124999999999999,5,gaus,0.8392857142857143,1.0,0.11249999999999998,1,4.0,0.10526018325666353,0.29379353191519353,0.7635618426392716,0.8015205045045611,0.02866857154880436,0.5679012345679015,0.3649514090406214,0.023681960471927176,,0.41709099807162087,0.41499315380339874,0.41499315380339874,0.4149931538033986,,0.07848733482660428,0.9365569959626774,0.46262071633856217,,,,,0.1428571428571428,,0.03516485575224635,0.9,0.31034482758620696,0.09343800183650014,0.09343800183650014,0.33333333333333337,1.5372552965873347,0.40438534028828593,7,1.3755615997939832,0.6220130610324397,8,0.7071067811865476,0.9646446609406726,7.5,7.466666666666667,0.7948223304703363,6,11.25,11.0,5.555777773333512,16,0.8333333333333334,1.0,0.11666666666666663,2,5.0
,,17459.226812011595,17269.560145344927,201244.94427381307,0.6605306968252886,,,38011.06289959973,37519.06289959973,33017.07440166668,,,mdp.39015035518102,False,,-43268.04996687641,42686.04996687641,124940690873.65002,124918991124.65002,,,[],[],41945.081025666965,41522.081025666965,1741.8631257093803,1731.8631257093803,"[0, 43, 0]",0.0,-4.5,3,12.0,"[25, 50, 75]",0.0,-4.5,"[8690.73628465844, 1741.8631257093803, 41945.081025666965]",17269.560145344927,49532.68043603479,17269.560145344927,"[59, 59, 100]",0.0,-13.5,49,101,raw,9.086082111975172e-06,,,,,0.0,0.0,43268.04996687641,42686.04996687641,0.06842809834423898,gaus2,812.3844750275454,399286684.24683183,11.03666722460618,-36.47683292168297,0.6162861184077592,CWT,0.57116393954739,0.7128721169824581,0.258521540374182,0.49851695057301515,0.39562813145482684,0.41049382716049443,1.0,0.07059605291570961,,0.006083771025486406,0.16676733235747282,0.16676733235747282,0.16676733235747282,,0.6045050109299239,0.7908636110084845,0.6044021331099357,,,,,0.0,,0.36284016128446783,0.2,0.6896551724137931,0.33518364104166964,0.33518364104166964,1.0,1.7562601622538245,0.45530586243389476,2,1.5798322342278663,0.7141929090259755,3,0.0,0.38778708135198936,0.5026631786067688,3,0,0.4897240698760095,0.6986522118120598,3,0.5,0.95,2.75,2.666666666666667,0.8374999999999999,2,gaus,0.71875,1.0,0.196875,1,1.75,0.57116393954739,0.1862249901866187,0.258521540374182,0.4985169505730151,0.39286202658740754,0.41049382716049443,0.7442639443570142,0.06774730954067798,,0.005412779307712223,0.16136996312108207,0.16136996312108207,0.161369963121082,,0.6029190812701012,0.6765356677781674,0.541470227585948,,,,,0.5714285714285714,,0.3448721829424188,0.20000000000000007,0.6896551724137931,0.33003972260522174,0.33003972260522174,0.7407407407407408,1.8274563633926502,0.48072468184893086,4,1.3170211241481975,0.5955417343712537,9,3.5355339059327378,0.8232233047033631,6.5,5.538461538461538,0.7491116523516816,7,11.25,11.0,5.555777773333512,16,0.8333333333333334,1.0,0.11666666666666663,2,5.75
,,30585.93117342821,30396.26450676154,122228.33828437173,0.271186495635082,,,4959.5601242255525,4467.5601242255525,11532.29637672576,,,mdp.39015035518102,False,,-23950.24788089368,23368.24788089368,19180510047.714375,19158810298.714375,,,[],[],37524.06103591271,37101.06103591271,23647.801310943712,23637.801310943712,"[0, 59]",0.0,-9.5,2,13.0,"[16, 89]",0.0,-14.0,"[37524.06103591271, 23647.801310943712]",30396.26450676154,58326.86234685642,30396.26450676154,"[59, 100]",0.0,-14.0,49,101,raw,5.878228267869557e-06,,,,,0.0,0.0,23950.24788089368,23368.24788089368,0.04784490989437862,gaus6,329.80818987011406,64490523.44511577,11.17426260358935,-28.31255447429795,0.6344716104263488,CWT,0.10381829162849526,0.3035333766848481,0.7433340407728216,0.8415409903758467,0.029596077532100952,0.6882716049382729,0.16303486527890332,0.025308000433425473,,0.35535686477550005,0.40138045214568574,0.40138045214568574,0.40138045214568574,,0.06795719014043827,0.9480417112594046,0.5253854002054428,,,,,0.33333333333333337,,0.0370892123145989,0.1,0.3448275862068966,0.09555454115238447,0.09555454115238447,0.05,1.4831241317386865,0.3844960595309623,4,1.3544202471719105,0.6122911758691633,5,0.0,0.29694583835553157,0.38491158205025006,5,0,0.36230465595558936,0.5168725917377661,5,0.5,0.95,4.75,4.705882352941176,0.7375,5,gaus,0.71875,1.0,0.196875,1,4.0,0.10381829162849529,0.07929262310569231,0.7433340407728216,0.8415409903758466,0.02938915126066262,0.6882716049382729,0.20771569260312883,0.024286753556406734,,0.3161638195212171,0.3634663199273011,0.3634663199273011,0.36346631992730094,,0.07006739994298442,0.8109919628121024,0.47340500659087564,,,,,0.7142857142857143,,0.035252540868876824,0.10000000000000009,0.34482758620689663,0.09408810691832543,0.09408810691832543,0.03703703703703709,1.4920669834080686,0.3924982507185718,9,1.3045083901413272,0.5898836206359882,10,0.7071067811865476,0.9646446609406726,9.5,9.473684210526315,0.7448223304703363,8,11.25,11.0,5.555777773333512,16,0.8333333333333334,1.0,0.11666666666666663,2,6.5
,,33137.32881576786,33032.146997586045,131962.83890209597,0.3362207729731761,,,3446.3378862507016,2964.9378862507015,11087.871458518473,,,mdp.39015035518102,False,,-22366.672304196658,21825.472304196657,16949789484.05406,16928976438.37406,,,[],[],37417.8551298406,36876.655129840605,28856.80250169512,28854.60250169512,"[0, 59]",0.0,-5.5,2,9.0,"[15, 89]",0.0,-10.0,"[37417.8551298406, 28856.80250169512]",33032.146997586045,65117.65763153572,33032.14699758604,"[59, 100]",0.0,-10.0,49,101,smoothed,1.1439520902424902e-05,,,,,0.0,0.0,22366.672304196658,21825.472304196657,0.05082135517932589,gaus8,313.4721494804828,64312481.58144934,11.088341753932099,-27.46658164574375,0.6271974136189129,CWT,0.08454167383183889,0.148343635367513,0.7967608045784164,0.6246373261789928,0.02657494174587299,0.5767790262172278,0.29733826230665167,0.026803987824290113,,0.38779828854085624,0.4040478881334617,0.4040478881334617,0.40404788813346143,,0.04584233546267955,0.9142241855170419,0.4699500940085314,,,,,0.3333333333333333,,0.026660860761132138,0.5,1.0,0.07072571285715748,0.07072571285715748,0.05263157894736842,1.5304712580227349,0.40123233941101516,4,1.2338967200085562,0.5516105127254002,6,0.0,0.3631454119061175,0.472219798673653,5,0,0.32272245725635046,0.45531013953940536,6,0.9574271077563381,0.9042572892243662,5.25,5.1063829787234045,0.6896286446121831,6,gaus,0.8392857142857143,1.0,0.11249999999999998,1,4.75,0.09415097967815655,0.2646758152157207,0.7935697358099055,0.6273410864944301,0.029195859354445998,0.5771604938271608,0.2973382623066516,0.029640904165356707,,0.3901677897189313,0.4040478881334617,0.4040478881334617,0.40404788813346143,,0.04584233546267956,0.9148180132134851,0.46995009400853144,,,,,0.1428571428571428,,0.028724560712920764,0.9,0.6206896551724139,0.07524432808967269,0.07524432808967269,0.33333333333333337,1.5163371584972378,0.3988826834371175,8,1.273714216998212,0.5759588513624198,11,2.1213203435596424,0.8939339828220179,9.5,9.263157894736842,0.709466991411009,9,11.25,11.0,5.555777773333512,16,0.8333333333333334,1.0,0.11666666666666663,2,7.25
,,,,1822828.1536758675,0.22509867249817814,,,61.0,431.0,48403.597612287216,,,mdp.39015035518102,False,,-96862.50427903791,96280.50427903791,331804676905.5425,331782977156.5425,,,[],[],,,,,[],,,0,15.0,[],,,[],,,,[],,,49,101,raw,9.567950516963432e-06,,,,,0.0,0.0,96862.50427903791,96280.50427903791,0.0471750073793879,gaus1,1145.95159282049,814073707.1770269,11.1406328673125,-40.83035482659719,0.5894120024247322,CWT,0.9058578633449268,0.7743610174975338,0.0,0.7577023609070463,0.8491140542923682,0.0,0.0639608300605483,1.0,,,,,,,0.0024289279958000995,,,,,,,1.0,,1.0,,,1.0,1.0,,1.3012144639979,0.33733645303536625,6,1.7330582038766646,0.7834615937830541,2,0.6428571428571429,0.7683429284563029,0.9959529784524036,2,0,0.5438745157628029,0.7759045486208183,2,2.0,0.8,3.0,2.4000000000000004,0.75,4,gaus,0.71875,1.0,0.196875,1,3.25,0.9058578633449268,0.2022878570349902,0.0,0.7577023609070462,0.8431773214570782,0.0,0.14420289119076754,0.9596472712372041,,,,,,,0.004990545084386209,,,,,,,1.0,,0.9504796319171455,,,0.9846534323081464,0.9846534323081464,,1.2715964614240245,0.3345019977513675,11,1.5744236222672259,0.7119361697759589,4,4.949747468305833,0.7525126265847084,7.5,5.866666666666666,0.6887563132923542,10,11.25,11.0,5.555777773333512,16,0.8333333333333334,1.0,0.11666666666666663,2,8.0
