amplitude_max,amplitude_max_diff,avg_prominence,avg_prominence_diff,avg_variance_across_levels,correlation,dominant_frequency,dominant_frequency_diff,dynamic_cutoff,dynamic_cutoff_diff,emd_value,frequency_max,frequency_max_diff,htid,is_complex,kl_divergence,lower_envelope,lower_envelope_diff,max_autocorrelation,max_autocorrelation_diff,num_fft_peaks,num_fft_peaks_diff,positive_amplitudes,positive_amplitudes_dtw,positive_amplitudes_euclidean,positive_amplitudes_wasserstein,positive_frequencies,positive_frequencies_dtw,positive_frequencies_euclidean,positive_frequencies_wasserstein,prominence_max,prominence_max_diff,prominence_min,prominence_min_diff,relative_left_bases,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,relative_num_peaks,relative_num_peaks_diff,relative_peaks,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,relative_prominences,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,relative_right_bases,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,scales_used,signal_length,signal_type,smoothness,spectral_bandwidth,spectral_bandwidth_diff,spectral_centroid,spectral_centroid_diff,spectral_magnitude,spectral_magnitude_diff,upper_envelope,upper_envelope_diff,variance_ratio_across_levels,wavelet,wavelet_adaptive_threshold,wavelet_energy_entropy,wavelet_entropy,wavelet_psnr,wavelet_sparsity,wavelet_type,emd_value_normalized,smoothness_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,positive_amplitudes_dtw_normalized,positive_amplitudes_euclidean_normalized,positive_amplitudes_wasserstein_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,spectral_centroid_diff_normalized,spectral_magnitude_diff_normalized,dynamic_cutoff_diff_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,amplitude_max_diff_normalized,spectral_bandwidth_diff_normalized,num_fft_peaks_diff_normalized,relative_num_peaks_diff_normalized,dominant_frequency_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,top_wavelet_rank
,,,,1789604.5816915347,0.05220061163403156,,,388.11892413103595,91.7989241310359,29303.221478336483,0.4745762711864407,0.0,mdp.39015061285097,False,,-49763.85335348467,49086.85335348467,64022137036.34917,64005572969.78917,0.0,2.0,"[90891.05431841842, 1142311.017095022, 485834.44945783226, 341682.75644746074, 247225.5318928438, 192294.8929804175, 149101.2339008457, 126465.46432710766, 111003.41274577731, 98103.14643676371, 89693.09911951426, 82071.90225825479, 75664.128844785, 70631.29872417447, 66092.92180403606, 62710.6501351382, 59633.20321632011, 56594.99219296935, 54790.75683675027, 53203.14471526789, 51340.11978410282, 49915.30171312258, 48561.985916663616, 47568.37115903151, 46810.165189133375, 46151.36424344352, 45528.66622751973, 45228.37126819699, 44964.24378059771]",4031196.715826972,1366760.0185689959,139006.7833043783,"[0.0, 0.01694915254237288, 0.03389830508474576, 0.05084745762711865, 0.06779661016949153, 0.0847457627118644, 0.1016949152542373, 0.11864406779661017, 0.13559322033898305, 0.15254237288135594, 0.1694915254237288, 0.1864406779661017, 0.2033898305084746, 0.22033898305084745, 0.23728813559322035, 0.2542372881355932, 0.2711864406779661, 0.288135593220339, 0.3050847457627119, 0.3220338983050847, 0.3389830508474576, 0.3559322033898305, 0.3728813559322034, 0.3898305084745763, 0.4067796610169492, 0.423728813559322, 0.4406779661016949, 0.4576271186440678, 0.4745762711864407]",0.0,0.0,0.0,,,,,[],,,0,7.0,[],,,[],,,,[],,,28,59,smoothed,8.873489939705083e-06,0.12716815295326578,0.03590655107709265,0.11718896115746838,0.0721085329937653,4082067.646731511,4031196.7158269715,49763.85335348467,49086.85335348467,0.07692501024821909,gaus1,1374.7698255410476,304316502.77692276,9.734182276440041,-33.747955676594025,0.6331719128329297,CWT,0.9999999999999999,0.32678502074289506,0.0,1.0,0.935410147261472,0.6760563380281683,0.0,1.0,,,1.0,0.795690306289537,1.0,,,,0.9493503654666948,1.0,0.0,,,,1.0,1.0,1.0,,1.0,,,1.0,1.0,,4.348101826481355,0.7343493605352899,2,2.0361631150648716,1.0,1,0.4782608695652172,0.8715070125014253,1.0,1,0,0.6172814382540669,1.0,1,0.5,0.95,1.25,1.1428571428571428,0.9125,1,gaus,5.625,5.5,3.020761493398643,8,0.703125,1.0,0.20781249999999998,1,1.0,1
,,47817.14568785712,47653.20283071426,457555.259755511,0.8351309211692652,,,29872.664059558778,29576.344059558778,27059.73737050089,0.4745762711864407,0.0,mdp.39015061285097,False,,-44438.313359751795,43761.313359751795,55797394501.69317,55780830435.13317,0.0,2.0,"[1575233.7624106903, 603027.7993065986, 156827.43983622623, 100259.98726226386, 63923.317226876155, 40966.542891580735, 21620.47702326952, 15919.2036891534, 10428.97377458233, 8444.156620303092, 8052.980666584199, 6866.653889041957, 5987.831648729301, 5712.294322374646, 4925.56489358093, 4289.3577979053525, 4094.736595055891, 3848.5366209971053, 3702.952899397761, 3595.571319570698, 3708.1609056277157, 3535.1164964623813, 3436.3339293436175, 3266.632914966174, 3179.3963078694906, 3115.0109371934345, 3225.9910307687437, 3096.373365138529, 2975.021065635416]",2477635.5881664893,1669343.91964394,90565.35333597404,"[0.0, 0.01694915254237288, 0.03389830508474576, 0.05084745762711865, 0.06779661016949153, 0.0847457627118644, 0.1016949152542373, 0.11864406779661017, 0.13559322033898305, 0.15254237288135594, 0.1694915254237288, 0.1864406779661017, 0.2033898305084746, 0.22033898305084745, 0.23728813559322035, 0.2542372881355932, 0.2711864406779661, 0.288135593220339, 0.3050847457627119, 0.3220338983050847, 0.3389830508474576, 0.3559322033898305, 0.3728813559322034, 0.3898305084745763, 0.4067796610169492, 0.423728813559322, 0.4406779661016949, 0.4576271186440678, 0.4745762711864407]",0.0,0.0,0.0,47817.14568785712,47140.14568785712,47817.14568785712,47806.345687857116,[0],0.0,-6.5,1,6.0,[28],0.0,-6.5,[47817.14568785712],47653.20283071426,46669.54568785712,47653.20283071426,[58],0.0,-6.5,28,59,smoothed,1.8130212276129045e-05,0.05634764626296519,0.03491395561320794,0.022056726217771185,0.023023701945931906,2677266.1776477876,2626395.246743248,44438.313359751795,43761.313359751795,0.07098373349858665,mexh,971.8716253149718,324780576.7793678,9.440488297681561,-33.00176774372017,0.5968523002421308,CWT,0.915329573992029,1.0,0.03924995182892843,0.38634978669966147,1.0,0.25352112676056343,0.9356618926107799,0.2368139332404187,,1.0,0.5757513817387166,1.0,0.5998464706826252,1.0,1.0,1.0,0.2313715729313262,0.647063696543347,1.0,1.0,1.0,,0.967065891698975,1.0,0.6666666666666666,,0.8697787472886336,0.0,0.0,0.8685420871333003,0.8685420871333003,0.0,5.921026231046064,1.0,1,1.8617225176895014,0.9143287705760191,2,0.08695652173913042,0.7239678216186101,0.8307079704851211,2,0,0.5958657831415476,0.965306497514178,2,0.5,0.95,1.75,1.6,0.8875,2,mexh,2.0,2.0,,1,0.25,,,2,2.0,2
,,35088.57643765502,34924.63358051216,280571.4626394048,0.888426850768929,,,18767.734229213944,18471.414229213944,17289.744452472078,0.4745762711864407,0.0,mdp.39015061285097,False,,-27930.89417935932,27253.89417935932,22122238002.488483,22105673935.928482,0.0,2.0,"[945711.860053532, 402770.6205688169, 149650.373591701, 110218.75844697276, 72874.09280597395, 45779.73541781765, 21612.217964632666, 16049.019412410946, 9817.395560301804, 7764.40316845818, 7905.061972184982, 6562.7191207103815, 5599.555319280386, 5403.977613025255, 4762.732970777136, 4207.769762485748, 4002.754475487308, 3673.6859432315437, 3290.8465942496587, 3587.847771446456, 3799.3946809947734, 3352.5439316042, 3290.141914512146, 3227.8422655661498, 3237.854319249023, 3137.361619640754, 3034.44342768006, 3138.140138995974, 3119.135235188648]",1660774.9021642865,1019267.1655160397,62403.8398331858,"[0.0, 0.01694915254237288, 0.03389830508474576, 0.05084745762711865, 0.06779661016949153, 0.0847457627118644, 0.1016949152542373, 0.11864406779661017, 0.13559322033898305, 0.15254237288135594, 0.1694915254237288, 0.1864406779661017, 0.2033898305084746, 0.22033898305084745, 0.23728813559322035, 0.2542372881355932, 0.2711864406779661, 0.288135593220339, 0.3050847457627119, 0.3220338983050847, 0.3389830508474576, 0.3559322033898305, 0.3728813559322034, 0.3898305084745763, 0.4067796610169492, 0.423728813559322, 0.4406779661016949, 0.4576271186440678, 0.4745762711864407]",0.0,0.0,0.0,35088.57643765502,34411.57643765502,35088.57643765502,35077.77643765502,[0],0.0,-6.5,1,6.0,[26],0.0,-6.5,[35088.57643765502],34924.63358051216,33940.97643765502,34924.63358051216,[58],0.0,-6.5,28,59,smoothed,1.0528283100715854e-05,0.06546404339706058,0.025797558479112553,0.030207958640824675,0.014872469522878417,1860582.2860669289,1809711.355162389,27930.89417935932,27253.89417935932,0.10791518407074326,gaus2,677.6241908200466,145046624.1261655,9.255580668564876,-28.900931229517898,0.6610169491525424,CWT,0.5466042241777926,0.447133401419833,0.2549565165556472,0.0,0.43271366529475885,1.0,0.9993546245823836,0.1354126068954591,,0.7270206288631672,0.3526819374933695,0.5610573396260525,0.3672164879094137,0.7248400178055887,0.7248400178055887,0.7248400178055887,0.1121410104979771,0.44188353398618235,0.6233643836342762,0.7248400178055889,0.7248400178055887,,0.664585756081183,1.0,0.6666666666666666,,0.33660448121281905,0.0,0.0,0.46106587348664196,0.46106587348664196,0.0,4.039421793465619,0.6822165002893387,3,1.5213589228511928,0.7471694736021788,3,0.08695652173913042,0.49086903400696447,0.5632416342790606,3,0,0.4770218798657343,0.7727785906133092,3,0.0,1.0,3.0,3.0,0.85,3,gaus,5.625,5.5,3.020761493398643,8,0.703125,1.0,0.20781249999999998,1,2.5,3
121070.63629697806,118267.40505114659,10494.81555720613,10330.872700063272,97633.9210699316,0.8889668791482734,0.01694915254237288,0.03389830508474577,0.0,296.32000000000005,6186.450865323719,0.4745762711864407,0.0,mdp.39015061285097,False,,-13066.065141993096,12389.065141993096,2970639962.5202193,2954075895.9602194,2.0,0.0,"[284966.08809703146, 113917.9436911869, 121070.63629697806, 105793.55660961353, 72593.8713430124, 45196.24273806622, 19071.553640506816, 13982.872092453199, 7656.1466443058025, 5809.863360653172, 6456.772326694957, 5221.044102436159, 4419.1967263086735, 4411.002430884494, 3861.9160329159877, 3254.138472380018, 3124.1080363049136, 2916.3488982342433, 2594.8628427116464, 2855.8789143373915, 3157.5472708540533, 2805.748007035127, 2686.226257362688, 2671.807758918618, 2676.3448995564163, 2662.306406770689, 2558.9998186709677, 2619.377730508823, 2536.1177687805775]",654337.533030989,330804.2030570916,27678.537527963243,"[0.0, 0.01694915254237288, 0.03389830508474576, 0.05084745762711865, 0.06779661016949153, 0.0847457627118644, 0.1016949152542373, 0.11864406779661017, 0.13559322033898305, 0.15254237288135594, 0.1694915254237288, 0.1864406779661017, 0.2033898305084746, 0.22033898305084745, 0.23728813559322035, 0.2542372881355932, 0.2711864406779661, 0.288135593220339, 0.3050847457627119, 0.3220338983050847, 0.3389830508474576, 0.3559322033898305, 0.3728813559322034, 0.3898305084745763, 0.4067796610169492, 0.423728813559322, 0.4406779661016949, 0.4576271186440678, 0.4745762711864407]",0.0,0.0,0.0,15978.57155214069,15301.57155214069,5011.059562271568,5000.259562271568,"[0, 36]",0.0,-6.0,2,5.0,"[23, 52]",0.0,3.0,"[15978.57155214069, 5011.059562271568]",10330.872700063272,19842.03111441226,10330.872700063272,"[58, 58]",0.0,-6.0,28,59,smoothed,7.812576099108262e-06,0.08155271458278437,0.009708887293388757,0.052286344564045704,0.007205916400342613,853548.5192154739,802677.588310934,13066.065141993096,12389.065141993096,0.14223999088296893,gaus4,316.1311946399488,26937755.787934627,9.335608584511958,-19.842804857405827,0.612590799031477,CWT,0.12755931325912007,0.24962778697986082,0.7314196273921634,0.16721196634164903,0.05993186181960374,0.4366197183098586,1.0,0.03060013447878142,,0.0819723535537258,0.0778426308068576,0.09619567153569647,0.0803659080832024,0.19318412837005947,0.19318412837005947,0.19318412837005947,0.0,0.18888068415260267,0.006936551841975604,0.4200559161641684,0.3117292823669026,0.5385354978353191,0.13076703684537405,0.0,0.3333333333333333,1.0,0.0333797811470526,0.5,0.5,0.09413605929464083,0.09413605929464083,1.0,2.0925170958913335,0.3534044630505968,6,1.2524677617030746,0.6151117032012297,6,0.0,0.26381822397242055,0.3027149755401298,5,0,0.3503713010726296,0.5676038179013253,5,0.5773502691896257,0.9422649730810374,5.5,5.454545454545454,0.6961324865405187,4,gaus,5.625,5.5,3.020761493398643,8,0.703125,1.0,0.20781249999999998,1,3.25,4
133990.2797405616,131187.04849473012,4328.395874634076,4164.453017491219,75669.87533340183,0.13987241525457822,0.03389830508474576,0.016949152542372885,0.0,296.32000000000005,4183.425276646616,0.4745762711864407,0.0,mdp.39015061285097,False,,-13272.625790849012,12595.625790849012,1860217813.382845,1843653746.822845,1.0,1.0,"[29014.94816433461, 50234.427909502454, 125351.19187385842, 133990.2797405616, 94518.49888112124, 64764.82315644332, 34648.899231928495, 26841.388799650977, 23056.092699314486, 18560.1746388038, 17958.545920535722, 15956.635416859977, 14231.55644231245, 13192.712618052043, 11775.831678286846, 11482.740655364109, 10965.760395642274, 9449.771328747505, 9859.850007176308, 10105.854533584712, 9456.642842976513, 9007.57297101766, 8525.469638446199, 8435.258657472947, 8287.999208676172, 8219.19864190601, 8041.773072912851, 8134.039676980275, 8017.067696056188]",598362.5578358355,227351.16771695515,25903.933641171945,"[0.0, 0.01694915254237288, 0.03389830508474576, 0.05084745762711865, 0.06779661016949153, 0.0847457627118644, 0.1016949152542373, 0.11864406779661017, 0.13559322033898305, 0.15254237288135594, 0.1694915254237288, 0.1864406779661017, 0.2033898305084746, 0.22033898305084745, 0.23728813559322035, 0.2542372881355932, 0.2711864406779661, 0.288135593220339, 0.3050847457627119, 0.3220338983050847, 0.3389830508474576, 0.3559322033898305, 0.3728813559322034, 0.3898305084745763, 0.4067796610169492, 0.423728813559322, 0.4406779661016949, 0.4576271186440678, 0.4745762711864407]",0.0,0.0,0.0,7265.270798369551,6588.270798369551,1391.5209508986009,1380.720950898601,"[4, 4]",0.0,-6.0,2,5.0,"[27, 57]",0.0,-6.0,"[7265.270798369551, 1391.5209508986009]",4164.453017491219,7509.191749268151,4164.453017491219,"[45, 58]",0.0,-6.0,28,59,smoothed,4.380187957539481e-06,0.11814325024088586,0.026881648364712726,0.12065163829995422,0.07557121013625112,802085.0064985261,751214.0755939862,13272.625790849012,12595.625790849012,0.05953315379115873,gaus7,254.83775376620068,13124737.444342138,9.596873289343948,-18.44445708936579,0.6404358353510896,CWT,0.051963934934030745,0.0,0.8049735943188031,0.7131037906335083,0.016334442235379,0.7605633802816902,0.10477454341101824,0.018016025617537016,,0.00434702469577973,0.06255690727725646,0.02634245763808757,0.06570667921850873,0.05988148478874314,0.05988148478874314,0.05988148478874314,1.0,0.17595121166773903,0.006936551841975604,0.15345062900153567,0.12336940993079598,1.0,0.7005556300121694,0.5,0.3333333333333333,0.0,0.015798615209052264,0.5,0.5,0.09923489092691565,0.09923489092691565,0.05263157894736842,2.298489309657432,0.38819103648040404,5,1.216634033230033,0.5975130500246152,8,0.0,0.24343888108668107,0.2793309492576033,6,0,0.3087162139289959,0.5001223020769521,8,1.5,0.85,6.75,6.486486486486486,0.5874999999999999,5,gaus,5.625,5.5,3.020761493398643,8,0.703125,1.0,0.20781249999999998,1,4.0,5
105993.23255062856,103190.00130479709,12404.26531822441,12240.322461081552,55513.69837949988,0.5170431345917269,0.03389830508474576,0.016949152542372885,0.0,296.32000000000005,3632.482753189456,0.4745762711864407,0.0,mdp.39015061285097,False,,-10024.63421332595,9347.63421332595,1384715542.4477687,1368151475.8877687,2.0,0.0,"[127018.1909633688, 45527.47757507052, 105519.98302007011, 105993.23255062856, 74091.26296692422, 45913.90950396154, 18040.604418942257, 13081.68909680779, 6780.951093918855, 4789.834012847254, 5709.20546107503, 4490.692179377977, 3747.4084670171296, 3821.3797256876674, 3338.834391400248, 2673.3239008584283, 2601.6745006507795, 2443.2001571201386, 2168.236866144453, 2394.7820350836037, 2714.0538657044485, 2451.4430064742596, 2308.4476108483177, 2340.9549531713583, 2312.3518524094334, 2372.570790212811, 2290.874883823238, 2250.6396641997057, 2114.790216336123]",399175.97302821046,200456.0379299417,18980.38168364122,"[0.0, 0.01694915254237288, 0.03389830508474576, 0.05084745762711865, 0.06779661016949153, 0.0847457627118644, 0.1016949152542373, 0.11864406779661017, 0.13559322033898305, 0.15254237288135594, 0.1694915254237288, 0.1864406779661017, 0.2033898305084746, 0.22033898305084745, 0.23728813559322035, 0.2542372881355932, 0.2711864406779661, 0.288135593220339, 0.3050847457627119, 0.3220338983050847, 0.3389830508474576, 0.3559322033898305, 0.3728813559322034, 0.3898305084745763, 0.4067796610169492, 0.423728813559322, 0.4406779661016949, 0.4576271186440678, 0.4745762711864407]",0.0,0.0,0.0,14283.556119732673,13606.556119732673,10524.974516716147,10514.174516716148,"[0, 0]",0.0,-6.0,2,5.0,"[9, 52]",0.0,-1.5,"[10524.974516716147, 14283.556119732673]",12240.322461081552,23660.930636448822,12240.322461081552,"[36, 58]",0.0,-6.0,28,59,smoothed,6.451032481434572e-06,0.08549387996707149,0.005767721909101645,0.06646784726632957,0.021387419102626475,601301.9997301351,550431.0688255952,10024.63421332595,9347.63421332595,0.05740037720636662,gaus6,244.2803783151344,11226970.77281325,9.640578944580355,-16.5735942524681,0.6301452784503632,CWT,0.0311710360656592,0.15060660809853116,0.9033821493110489,0.8044232816616422,0.010344605127113486,0.6408450704225348,0.5555225407670771,0.006467719442206546,,0.2002248458157576,0.008162759614669862,0.008182417696878413,0.008514235621670752,0.23446167904485904,0.23446167904485904,0.23446167904485904,0.20743716478519425,0.1255073491253909,0.006936551841975604,0.5026110175137676,0.2750872680891992,0.0,0.0,0.0,0.3333333333333333,0.0,0.008270051107822925,0.5,0.5,0.019060074045948366,0.019060074045948366,0.5263157894736842,1.2222234328809103,0.20642087793368563,8,1.4850806584829919,0.7293525000504086,4,0.0,0.17182991170633996,0.19716411829337857,8,0,0.3878453763619767,0.6283120669543661,4,2.309401076758503,0.7690598923241497,6.0,5.333333333333333,0.5845299461620749,6,gaus,5.625,5.5,3.020761493398643,8,0.703125,1.0,0.20781249999999998,1,4.75,6
106622.24578868931,103819.01454285784,13062.741710129641,12898.798852986783,55418.792258265355,0.3026697909024857,0.03389830508474576,0.016949152542372885,0.0,296.32000000000005,3524.355493172141,0.4745762711864407,0.0,mdp.39015061285097,False,,-10324.188720146096,9647.188720146096,1304271214.731759,1287707148.1717591,2.0,0.0,"[83192.21951223446, 84389.13452908031, 89676.60892330453, 106622.24578868931, 75369.74172485109, 46595.15465479115, 17242.899923857894, 12319.340754656407, 6355.255017992728, 3996.5275549252224, 5089.738245399231, 3874.325842924803, 3126.163046030079, 3243.509880808521, 2830.3375436368406, 2134.805022854461, 2112.0346821247667, 1956.094355337498, 1717.972850845993, 1970.6758413396467, 2281.2250499885045, 2028.6076635398338, 1882.7653341095142, 1946.4021683889796, 1908.560562337959, 1994.1145961949442, 1959.3382393476234, 1867.5884589728425, 1728.0578788607959]",369284.6652291174,188337.82747217067,17949.672922168484,"[0.0, 0.01694915254237288, 0.03389830508474576, 0.05084745762711865, 0.06779661016949153, 0.0847457627118644, 0.1016949152542373, 0.11864406779661017, 0.13559322033898305, 0.15254237288135594, 0.1694915254237288, 0.1864406779661017, 0.2033898305084746, 0.22033898305084745, 0.23728813559322035, 0.2542372881355932, 0.2711864406779661, 0.288135593220339, 0.3050847457627119, 0.3220338983050847, 0.3389830508474576, 0.3559322033898305, 0.3728813559322034, 0.3898305084745763, 0.4067796610169492, 0.423728813559322, 0.4406779661016949, 0.4576271186440678, 0.4745762711864407]",0.0,0.0,0.0,13854.137916755628,13177.137916755628,12271.345503503655,12260.545503503656,"[0, 0]",0.0,-6.0,2,5.0,"[9, 53]",0.0,-6.0,"[12271.345503503655, 13854.137916755628]",12898.798852986783,24977.883420259284,12898.798852986783,"[36, 58]",0.0,-6.0,28,59,smoothed,5.741325710993304e-06,0.08027843262422983,0.0109831692519433,0.06509739022722455,0.020016962063521458,571411.4456474261,520540.51474288624,10324.188720146096,9647.188720146096,0.06286167850055621,gaus8,233.45630545855906,10218483.52975854,9.643758877696898,-16.507428491844834,0.6283292978208233,CWT,0.027090248893258312,0.0989916615357263,0.9068625096904852,0.8110674990320378,0.007161561393504781,0.6197183098591549,0.29932991922883784,0.0064133438059717565,,0.23767785757018517,0.0,0.0,0.0,0.2486962995045943,0.2486962995045943,0.2486962995045943,0.18739107174273592,0.11799777435743221,0.006936551841975604,0.531080258433238,0.2658043154837252,0.02246712782935656,0.1730474436737819,0.0,0.3333333333333333,0.0,0.006996386785254483,0.5,0.5,0.02645440594519824,0.02645440594519824,0.05263157894736842,1.2359707880098438,0.20874266381885045,7,1.3612412383133434,0.668532510112764,5,0.0,0.16236353958272032,0.18630204605778178,9,0,0.34707938167987207,0.562270886779877,6,1.707825127659933,0.8292174872340067,6.75,6.445012787723785,0.5771087436170033,7,gaus,5.625,5.5,3.020761493398643,8,0.703125,1.0,0.20781249999999998,1,5.5,7
,,8054.412474232711,7890.469617089854,44225.07339969183,0.298876493543536,,,0.0,296.32000000000005,2806.5541812522715,,,mdp.39015061285097,False,,-9252.484523728064,8575.484523728064,862381133.1708636,845817066.6108637,,,[],,,,[],,,,12668.639658843602,11991.639658843602,1188.8264958482382,1178.0264958482383,"[0, 19, 0]",0.0,-5.5,3,4.0,"[8, 27, 53]",0.0,-5.5,"[10305.771268006294, 1188.8264958482382, 12668.639658843602]",7890.469617089854,23015.637422698135,7890.469617089855,"[36, 36, 58]",0.0,-5.5,28,59,smoothed,5.47307066810336e-06,,,,,0.0,50870.93090453984,9252.484523728064,8575.484523728064,0.08391948813781723,morl,190.76753686494723,7949478.165664942,9.56797422744951,-14.736774818942923,0.6131961259079903,CWT,0.0,0.0794822383758507,1.0,0.6527214989342778,0.0,0.443661971830986,0.29479663734808237,0.0,,0.0,,,,0.14042868856699675,0.14042868856699675,0.14042868856699678,,0.0,0.006936551841975604,0.488661384549089,0.2401767941868285,,,,0.0,,0.0,1.0,1.0,0.0,0.0,0.10526315789473684,0.7153258165781909,0.12081112102281884,9,1.2455888646515214,0.6117333407308271,7,0.3478260869565216,0.2000969592637487,0.22959879426491875,7,0,0.30883279331114966,0.5003111614447042,7,1.0,0.9,7.5,7.411764705882353,0.575,8,morl,8.0,8.0,,1,1.0,,,3,6.75,8
,,2803.105104526201,2639.162247383344,127975.98017695782,0.13197333066513453,,,0.0,296.32000000000005,4724.749898354392,,,mdp.39015061285097,False,,-15758.94571179981,15081.94571179981,2953487184.7927775,2936923118.2327776,,,[],,,,[],,,,4169.10610105068,3492.10610105068,1437.1041080017221,1426.3041080017222,"[4, 4]",0.0,-6.0,2,5.0,"[32, 57]",0.0,-6.0,"[4169.10610105068, 1437.1041080017221]",2639.162247383344,4458.610209052402,2639.1622473833436,"[45, 58]",0.0,-6.0,28,59,smoothed,5.013837992123908e-06,,,,,0.0,50870.93090453984,15758.94571179981,15081.94571179981,0.13255600361133238,gaus5,269.7077954906177,22652423.512626052,9.386863206906048,-20.43187885384942,0.6216707021791767,CWT,0.07239384846384833,0.04608355737434984,0.7004339668561679,0.2743044239320947,0.046406256870913154,0.5422535211267604,0.09533453023636043,0.047984353190459315,,0.005324609946395706,,,,0.0269084952174668,0.0269084952174668,0.0269084952174668,,0.0,0.006936551841975604,0.08750464985898293,0.056438036400994235,,,,0.3333333333333333,,0.03310820350267829,0.5,0.5,0.160608278022257,0.160608278022257,0.05263157894736842,0.42591170981366416,0.07193207616282062,10,0.8903879040880962,0.4372871198286728,9,0.3478260869565216,0.11442329602075017,0.13129360335532933,10,0,0.22814930725636925,0.36960338205158416,9,0.5773502691896257,0.9422649730810374,9.5,9.473684210526315,0.4961324865405187,9,gaus,5.625,5.5,3.020761493398643,8,0.703125,1.0,0.20781249999999998,1,7.0,9
,,1558.3505364281991,1394.4076792853418,450564.2305073807,0.07863524568074774,,,2138.9872529003296,1842.6672529003295,11595.327320078923,0.4745762711864407,0.0,mdp.39015061285097,False,,-24868.785945088523,24191.785945088523,11327173728.78649,11310609662.22649,0.0,2.0,"[49338.97880036747, 429812.0863316151, 241116.72169235128, 191854.25515902042, 135518.83118248888, 100451.39400350505, 68482.42639821986, 56557.92339207241, 49266.264260482756, 42469.14338098933, 39421.626077792316, 35774.54683422953, 32704.010460645415, 30464.319616765395, 28167.454724132254, 26859.456360535503, 25528.750265992236, 23833.916000686913, 23374.05531714954, 23056.806885953527, 22084.411583897334, 21389.61981371791, 20573.62047276692, 20235.7949027965, 19883.60678922304, 19667.429282108005, 19321.906786236603, 19313.751781032242, 19152.351170542428]",1753516.7823344034,570196.509561127,61544.98375250952,"[0.0, 0.01694915254237288, 0.03389830508474576, 0.05084745762711865, 0.06779661016949153, 0.0847457627118644, 0.1016949152542373, 0.11864406779661017, 0.13559322033898305, 0.15254237288135594, 0.1694915254237288, 0.1864406779661017, 0.2033898305084746, 0.22033898305084745, 0.23728813559322035, 0.2542372881355932, 0.2711864406779661, 0.288135593220339, 0.3050847457627119, 0.3220338983050847, 0.3389830508474576, 0.3559322033898305, 0.3728813559322034, 0.3898305084745763, 0.4067796610169492, 0.423728813559322, 0.4406779661016949, 0.4576271186440678, 0.4745762711864407]",0.0,0.0,0.0,1558.3505364281991,881.3505364281991,1558.3505364281991,1547.5505364281992,[4],0.0,-6.5,1,6.0,[57],0.0,-6.5,[1558.3505364281991],1394.4076792853418,410.75053642819876,1394.407679285342,[58],0.0,-6.5,28,59,smoothed,6.151205905242254e-06,0.12407443702208966,0.03281283514591653,0.11540490223257317,0.07032447406887007,1835675.4597273164,1784804.5288227766,24868.785945088523,24191.785945088523,0.1420098149657535,gaus3,386.53165052860794,80485128.97167502,9.27321969606168,-26.23777820336519,0.5750605326876513,CWT,0.33169353112547095,0.128801077486708,0.39504003088826245,0.03685534525284073,0.22894107025285848,0.0,0.031591419340128046,0.23280848387257758,,0.007924884426099787,0.3780080182098563,0.25783734726505625,0.36012185234472327,0.0,0.0,0.0,0.9232543915096905,0.4356260496280024,0.05938257893168251,0.0,0.0,,0.8973511574078729,1.0,0.6666666666666666,,0.16568766686903896,0.0,0.0,0.38547948075972926,0.38547948075972926,0.0,2.548363416822174,0.4303921849662125,4,0.613830570154543,0.3014643402647958,10,0.08695652173913042,0.2776912012834316,0.3186333526868523,4,0,0.17321636977735577,0.2806116611367498,10,3.4641016151377544,0.6535898384862245,7.0,5.714285714285714,0.4767949192431123,10,gaus,5.625,5.5,3.020761493398643,8,0.703125,1.0,0.20781249999999998,1,7.75,10
