signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,scales_used,emd_value,kl_divergence,is_complex,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,wavelet_type,htid,avg_prominence_diff,prominence_max_diff,upper_envelope_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,lower_envelope_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,prominence_threshold_diff,relative_num_peaks_diff,prominence_min_diff,distance_factor_diff,emd_value_normalized,smoothness_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,relative_num_peaks_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,relative_left_bases_array_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_array_alignment_score_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,reconstruction_signal_num_missing_metrics,reconstruction_signal_missing_metrics_count,reconstruction_signal_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank
smoothed,cgau8,7.67414555053671,0.8719211822660099,98.93749337372354,-8.91804134472521,58,28,1095.4672277026455,-3744.557729846863,True,10.1010543126716,5076.26859202618,0.04935909125415113,1.8227553926689917e-05,0.39816676711279053,2,2258.5450153301117,1528.6688971378835,2988.4211335223404,"[7, 42]","[2988.4211335223404, 1528.6688971378835]","[0, 17]","[51, 51]",0.05,10,96731610.69648209,2736.4547195247533,-2736.4547195247533,CWT,mdp.39015061285097,2157.925967711064,2340.4211335223404,2088.4547195247533,0.0,-6.0,0.0,-6.0,2157.925967711064,3812.7566973268904,2157.9259677110645,2088.4547195247533,0.0,-6.0,0.0,5.0,1527.0688971378836,10.0,0.21728756460217657,0.3323282152978231,0.3719568998940534,0.9983330749189867,0.0,1.0,0.6565660243418626,0.322728032525565,0.5711794775613033,1.0,0.9999999999999998,0.9999999999999998,1.0,0.5401728691730485,0.308735841004032,1.0,0.16666666666666669,0.0,0.0,0.22658051665768655,0.22658051665768655,0.0,0.0,2.131753228418281,1.0,1,1.9074148251374174,0.7560747683249212,5,0,0,0.4620526007256516,0.8634540169526109,2,0,0.0,0.49670880990464106,0.6622603100823223,5,2.0615528128088303,0.8527462276565121,3.25,2.1052631578947367,0.8103016852568274,1,cgau,1.0,1.0,,1,0.07692307692307693,,,2,1.25
smoothed,gaus2,14.223681475544478,0.6527093596059114,112.48481346122504,-7.7596070428408,58,28,1712.2280477179454,,False,9.809073917610831,9082.007734664272,0.0603143391985594,1.5145013211127618e-05,0.4772961270214408,2,1797.6873800680683,0.3935226207411233,3594.981237515395,"[7, 41]","[3594.981237515395, 0.3935226207411233]","[0, 40]","[51, 51]",0.05,10,260463076.1937612,4544.6636273038785,-4544.6636273038785,CWT,mdp.39015061285097,1697.0683324490208,2946.981237515395,3896.6636273038785,0.0,-6.0,0.0,-6.0,1697.0683324490208,2891.0414268028035,1701.7795717330414,3896.6636273038785,0.0,-6.0,0.0,5.0,1.2064773792587857,10.0,0.6838808911420952,0.25671619065588175,0.4829116329752412,0.452008869394496,0.9810074072945855,0.0,0.8190953003493168,0.8233260427498053,,0.00011333138772521775,0.7617403248853516,0.7617403248853516,0.7641759975428302,0.3186085869676326,0.5003608528163648,1.0,0.16666666666666669,0.0,0.0,0.9999999999999999,0.9999999999999999,0.0,0.0,1.9124823801690427,0.8971406045849252,5,1.9454027799087275,0.7711327062859448,4,0,0,0.4481004346537089,0.8373811113546574,6,1,0.11111111111111112,0.5568127362646221,0.7423966880055726,2,1.707825127659933,0.8780124908814334,4.25,3.582089552238806,0.7872205311550025,2,gaus,7.375,6.5,4.274091382136927,8,0.5673076923076923,1.0,0.30288461538461536,1,1.75
smoothed,gaus1,14.202076258451342,0.7025862068965517,111.48416928993089,-8.413436789518805,58,28,2130.086318961409,,False,9.857941546550165,5984.380826447602,0.04607629333382187,1.7421468911077683e-05,0.07850959198603906,4,1325.8224086490463,25.093342823738112,5176.513680532327,"[24, 26, 43, 45]","[5176.513680532327, 25.093342823738112, 39.53213862857342, 62.150472611546775]","[0, 25, 41, 44]","[57, 57, 57, 57]",0.05,20,290504531.4424687,2968.2105884063994,-2968.2105884063994,CWT,mdp.39015061285097,1225.2033610299989,4528.513680532327,2320.2105884063994,0.0,-0.5,0.0,-5.0,1225.2033610299989,4598.956301262852,1225.2033610299989,2320.2105884063994,0.0,4.0,0.0,3.0,23.493342823738203,0.0,1.0,0.31255565568287125,0.42028787873627416,0.5434450377392603,0.9777713187766729,0.22752808988764023,0.0,0.43621499745864933,,0.014717754010975678,0.5177899458830519,0.5177899458830519,0.5177899458830518,0.72916154765855,1.0,0.6,0.5,0.7857142857142858,0.0,0.3257087222543192,0.3257087222543192,0.0,0.5263157894736842,1.9391251266952074,0.9096386489978486,4,1.6720448371431083,0.6627771244153872,8,0,0,0.4543354756439493,0.8490327527055171,4,1,0.11111111111111112,0.48416981672961545,0.6455421095136495,6,1.9148542155126762,0.8632246988919516,5.5,5.052631578947369,0.7351837780174044,3,gaus,7.375,6.5,4.274091382136927,8,0.5673076923076923,1.0,0.30288461538461536,1,2.5
smoothed,morl,13.556124084795353,0.6822660098522167,74.69078016169897,-2.3608927669156214,58,28,826.9303901874792,,False,9.728432747430205,4619.260837337255,0.047659819546397565,7.34742505915902e-06,0.5364484708574957,5,1245.807781864536,36.73892068360169,3838.074349696981,"[7, 17, 23, 34, 42]","[3838.074349696981, 95.12119382360902, 36.73892068360169, 44.54744877306439, 2214.556996345424]","[0, 16, 16, 16, 16]","[51, 18, 24, 35, 51]",0.05,10,77959425.92152265,3373.315725760273,-3373.315725760273,CWT,mdp.39015061285097,1145.1887342454886,3190.074349696981,2725.315725760273,0.0,-4.5,0.0,-4.5,1145.1887342454886,5524.705575989347,1145.1887342454884,2725.315725760273,0.0,-4.5,0.0,2.0,35.13892068360178,10.0,0.01413345323757531,0.06544818095278546,1.0000000000000002,0.30112126194973254,0.881018835185431,0.13483146067415713,0.9405923986313794,0.2656156833415749,,0.02234901741951146,0.4764230301081677,0.4764230301081677,0.47642303010816744,0.9516955341469513,0.5771590467408145,0.39999999999999997,0.6666666666666666,0.2142857142857143,0.0,0.4989830627819136,0.4989830627819136,0.0,0.07894736842105265,1.663390659659301,0.7802923140843578,8,1.7513603558835347,0.6942167785828641,6,0,0,0.38130989739778876,0.7125672750133493,8,1,0.11111111111111112,0.4447896036910239,0.5930365940526847,8,1.0,0.9285714285714286,7.5,7.384615384615385,0.6964285714285714,4,morl,4.0,4.0,,1,0.3076923076923077,,,6,4.5
smoothed,gaus4,13.805686483511769,0.6631773399014779,83.24307223439642,-4.560064590962125,58,28,947.5398979231875,,False,9.70533278054082,5914.925479966652,0.06547286995412743,1.1610785475643172e-05,0.5519932865826702,5,844.1303708212579,10.111106832139285,3904.0350260763125,"[7, 31, 35, 37, 42]","[3904.0350260763125, 36.644298291203114, 14.085305386137861, 10.111106832139285, 255.77611752049683]","[0, 29, 34, 29, 29]","[51, 34, 36, 39, 51]",0.05,20,127610849.7256536,3890.3569172867274,-3890.3569172867274,CWT,mdp.39015061285097,743.5113232022103,3256.0350260763125,3242.3569172867274,0.0,-4.5,0.0,-4.5,743.5113232022103,3516.3185207729566,743.5113232022102,3242.3569172867274,0.0,-4.5,0.0,2.0,8.511106832139376,0.0,0.10537723786278891,0.1700246789179952,0.7893635207971458,0.2578989385610043,0.9183989739504105,0.04775280898876404,0.9725209729102384,0.4275351491186248,,0.004900002528261768,0.26875905291996816,0.26875905291996816,0.26875905291996793,0.468914299518334,0.5979974027538959,0.39999999999999997,0.6666666666666666,0.2142857142857143,0.0,0.7201354581145061,0.7201354581145061,0.0,0.07894736842105265,1.3287478945478157,0.6233122468559461,9,1.723511216175281,0.6831777368518923,7,0,0,0.334161394940203,0.6244592029532273,10,1,0.11111111111111112,0.4555534795828159,0.6073880362732371,7,1.5,0.8928571428571429,8.25,8.05111821086262,0.6517857142857143,5,gaus,7.375,6.5,4.274091382136927,8,0.5673076923076923,1.0,0.30288461538461536,1,4.0
smoothed,gaus8,13.594806949250657,0.6773399014778325,70.9914062968756,-2.96574125798555,58,28,871.7167435937403,,False,9.60257271697517,4738.573797263882,0.053469113722997216,8.81393006283452e-06,0.5429232208462079,3,1922.7010088360828,7.314391821705044,3986.600244630652,"[7, 20, 42]","[3986.600244630652, 7.314391821705044, 1774.188390055891]","[0, 17, 17]","[51, 21, 51]",0.05,10,89280018.54825674,3521.630398128077,-3521.630398128077,CWT,mdp.39015061285097,1822.0819612170353,3338.600244630652,2873.630398128077,0.0,-5.5,0.0,-5.5,1822.0819612170353,5063.769693174915,1822.0819612170349,2873.630398128077,0.0,-5.5,0.0,4.0,5.714391821705135,10.0,0.048015329227852,0.1014202646030139,0.942067666010878,0.06562469331427845,0.8868128604416525,0.11235955056179761,0.9538913363355328,0.280526247461309,,0.003067335297828636,0.8263713612318238,0.8263713612318238,0.8263713612318234,0.8408945836967867,0.6240814806162676,0.8,0.33333333333333337,0.07142857142857142,0.0,0.5624212290144204,0.5624212290144204,0.0,0.02631578947368421,2.067850297831212,0.9700232983184064,2,1.6250009083772077,0.6441295145331426,9,0,0,0.45021983111219893,0.8413417023841729,5,1,0.11111111111111112,0.4182841879389837,0.5576970057369933,10,3.696845502136472,0.735939606990252,6.5,4.390243902439025,0.6358269463522688,6,gaus,7.375,6.5,4.274091382136927,8,0.5673076923076923,1.0,0.30288461538461536,1,4.75
smoothed,gaus6,13.603839111794679,0.666256157635468,70.33964129418368,-3.1319719948932834,58,28,808.248253704524,,False,9.604533629313588,4782.725927457546,0.05403229354022694,9.965104183444876e-06,0.5653717860009878,4,1278.2278778476468,3.261305346291749,3957.0153978243716,"[7, 24, 26, 42]","[3957.0153978243716, 37.9911980242332, 3.261305346291749, 1114.6436101956908]","[0, 21, 25, 21]","[51, 27, 27, 51]",0.05,20,92925361.96798591,3597.6952616411527,-3597.6952616411527,CWT,mdp.39015061285097,1177.6088302285993,3309.0153978243716,2949.6952616411527,0.0,-5.0,0.0,-5.0,1177.6088302285993,4408.578178057254,1178.1671219401082,2949.6952616411527,0.0,-0.5,0.0,3.0,1.6613053462918401,0.0,0.0,0.12965755779927834,0.926146101004141,0.06929375429752255,0.8881657224552407,0.061797752808988554,1.0,0.2860439478744103,,0.00041137688308535373,0.49318395787652203,0.49318395787652203,0.4934725901820878,0.6833979658187065,0.6147350092914994,0.6,0.5,0.14285714285714285,0.0,0.5949562127686164,0.5949562127686164,0.0,0.2894736842105263,1.693304988635834,0.7943250494768727,7,1.6124513465920094,0.6391550292275461,10,0,0,0.39290200789523755,0.734229861390444,7,1,0.11111111111111112,0.4145825489743921,0.5527616220280275,11,2.0615528128088303,0.8527462276565121,8.75,8.392370572207085,0.613873113828256,7,gaus,7.375,6.5,4.274091382136927,8,0.5673076923076923,1.0,0.30288461538461536,1,5.5
smoothed,fbsp,10.290784909152459,0.8041871921182266,120.71784946488218,-12.801495612012467,58,28,1700.1811408860203,-4286.856320736057,True,9.8751571047463,8482.869345501244,0.04403054550054293,1.3256491904853332e-05,0.41557375418123094,7,614.9568970637321,30.664363251735892,3622.012549672116,"[7, 18, 24, 31, 35, 39, 42]","[3622.012549672116, 30.664363251735892, 101.64853303417067, 98.62838747898141, 95.25111933108705, 68.78366359728153, 287.7096630807522]","[0, 17, 23, 28, 28, 36, 28]","[51, 51, 51, 34, 36, 40, 51]",0.05,20,231476741.4563311,3921.6187515100155,-3921.6187515100155,CWT,mdp.39015061285097,514.3378494446845,2974.012549672116,3273.6187515100155,0.0,-3.5,0.0,-3.5,514.3378494446845,3600.3649461127916,514.3378494446846,3273.6187515100155,0.14285714285714285,1.0,0.0,0.0,29.064363251735983,0.0,0.6747671372348919,0.21039241662560276,0.0,0.5756570503033454,0.39192740102689916,0.6910112359550562,0.6923194413917516,0.7484516001603052,0.0,0.01836840362681903,0.15027821800591407,0.15027821800591407,0.150278218005914,0.48911759493706275,0.5089006091854942,0.0,1.0,0.3571428571428572,0.0,0.7335069836994592,0.7335069836994592,0.3333333333333333,0.3684210526315789,1.2092379757416987,0.5672504488894006,12,1.602053002826116,0.6350332591489296,11,0,0,0.35665231944812914,0.6664887880715621,9,0,0.0,0.4427251425219835,0.5902840544022926,9,1.5,0.8928571428571429,10.25,10.089171974522293,0.5803571428571429,8,fbsp,8.0,8.0,,1,0.6153846153846154,,,4,7.0
smoothed,mexh,14.350482422518162,0.8097290640394089,141.05118697684597,-8.961914793202778,58,28,2095.6642042897715,,False,9.985518837642974,10495.736458285965,0.05194555718900927,2.4829954012559034e-05,0.4242638520810986,3,940.670177097791,0.07693020143619833,2746.9106052858187,"[7, 18, 41]","[2746.9106052858187, 0.07693020143619833, 75.02299580611839]","[0, 17, 40]","[51, 51, 51]",0.05,10,340802120.342317,4483.683940147814,-4483.683940147814,CWT,mdp.39015061285097,840.0511294787434,2098.9106052858187,3835.6839401478137,0.0,-5.5,0.0,-5.5,840.0511294787434,2117.67719796004,842.9141283920719,3835.6839401478137,0.0,-5.5,0.0,4.0,1.5230697985637107,10.0,0.9739589019439021,0.4942793082609622,0.3677547049510505,0.7821547709209675,0.9999999999999999,0.7162921348314607,0.7101686356949775,1.0,,0.0003207921229445689,0.31866935301947547,0.31866935301947547,0.3201495003334184,0.13270530888755644,0.23243761841823513,0.8,0.33333333333333337,0.07142857142857142,0.0,0.9739173510694923,0.9739173510694923,0.0,0.02631578947368421,1.2252204520002141,0.5747477877208628,11,2.5227859797031487,1.0,1,0,0,0.3215617372982629,0.6009137776356875,11,1,0.11111111111111112,0.7500205015198594,1.0,1,5.773502691896258,0.5876069505788387,6.0,1.8333333333333335,0.579517761003705,9,mexh,9.0,9.0,,1,0.6923076923076923,,,5,8.0
smoothed,gaus3,13.862140689553023,0.6674876847290641,83.153712863349,-5.455498893963497,58,28,1451.2629777013462,,False,9.6678179077529,5725.822351671905,0.04885121902864212,7.206775869408602e-06,0.1211156440915733,10,517.4831384238043,0.5664703266536435,4173.780023529505,"[12, 15, 18, 20, 24, 31, 34, 38, 40, 47]","[4173.780023529505, 59.26098535782921, 5.489731376673944, 88.08753788033141, 111.75018183062093, 26.417143637483605, 0.5664703266536435, 29.43470212308557, 13.832508109136143, 666.2121000667235]","[3, 14, 17, 19, 22, 30, 33, 36, 39, 41]","[55, 55, 19, 41, 41, 41, 41, 41, 41, 55]",0.05,20,145772099.20525417,2622.003634949537,-2622.003634949537,CWT,mdp.39015061285097,416.86409080475676,3525.7800235295053,1974.0036349495372,0.0,1.0,0.0,-6.5,416.86409080475676,4470.49805090471,417.2472083916156,1974.0036349495372,0.0,7.0,0.0,3.0,1.0335296733462656,0.0,0.48645499089319943,0.061998179482378984,0.7035989039175861,0.18770490013268068,0.9268548393633999,0.06741573033707855,0.08751152303320153,0.4039028939016299,,0.0,0.09988507207800157,0.09988507207800157,0.10008314077599273,0.6982824237640506,0.6832154841657877,0.6,0.0,1.0,0.0,0.17762671584445455,0.17762671584445455,0.0,0.6842105263157894,1.3285977310454578,0.6232418055401521,10,1.3675072221200293,0.5420623204354977,12,0,0,0.3086296536333239,0.5767471360660432,12,1,0.11111111111111112,0.36012468957708876,0.4801531276109433,12,1.0,0.9285714285714286,11.5,11.428571428571429,0.5535714285714286,10,gaus,7.375,6.5,4.274091382136927,8,0.5673076923076923,1.0,0.30288461538461536,1,7.75
