wavelet,wavelet_level,wavelet_mode,wavelet_mse,wavelet_psnr,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,signal_length,signal_type,emd_value,kl_divergence,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,dynamic_cutoff,dominant_frequency,amplitude_max,num_fft_peaks,positive_frequencies,positive_amplitudes,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,max_autocorrelation,upper_envelope,lower_envelope,spectral_magnitude,spectral_centroid,spectral_bandwidth,frequency_max,wavelet_type,htid,max_autocorrelation_diff,frequency_max_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_num_peaks_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,spectral_centroid_diff,lower_envelope_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,spectral_bandwidth_diff,spectral_magnitude_diff,avg_prominence_diff,num_fft_peaks_diff,amplitude_max_diff,prominence_min_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,prominence_max_diff,upper_envelope_diff,dominant_frequency_diff,dynamic_cutoff_diff,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,avg_variance_across_levels_normalized,spectral_centroid_diff_normalized,amplitude_max_diff_normalized,frequency_max_diff_normalized,spectral_bandwidth_diff_normalized,num_fft_peaks_diff_normalized,dominant_frequency_diff_normalized,max_autocorrelation_diff_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,top_wavelet_rank
coif8,1,symmetric,1.2025065068905012e-26,316.35783094373033,4038758.7721856795,0.631578947368421,453.08473379304473,105,raw,8.262596955838882e-14,-1.1360312690555953e-10,6.378616706477659,24799.608019797433,0.5133312744544134,7.355511509768724e-06,0.9999999999999997,395.00000000000017,,,,[],[],15,367.8666666666667,79.99999999999994,711.0000000000001,"[1, 7, 15, 25, 30, 38, 44, 49, 55, 61, 69, 76, 85, 95, 101]","[162.0, 519.0000000000001, 207.00000000000006, 134.00000000000006, 337.9999999999999, 711.0000000000001, 79.99999999999994, 430.0000000000001, 256.0, 394.9999999999999, 318.99999999999994, 294.0, 697.0000000000002, 374.0, 602.0000000000002]","[0, 0, 10, 22, 22, 0, 43, 43, 50, 50, 67, 67, 50, 90, 90]","[2, 22, 22, 26, 33, 104, 47, 50, 60, 67, 73, 77, 104, 97, 104]",18460484.000000004,726.0000000000001,-726.0000000000001,0.0,,,,DWT,inu.30000003214412,3.725290298461914e-09,,1.0,60,0.0,1.0,60,,1.1368683772161603e-13,0.0,0.0,8.337034766251842e-14,,0.0,0.0,,,5.684341886080802e-14,1.0,60,1.1368683772161603e-13,1.1368683772161603e-13,,1.7053025658242404e-13,0.8808805251478662,0.9757683557870841,0.0011758027217693683,0.28318186357734937,0.00011803590037326548,,,,,,,3.9483555099301135e-05,1.9741777549650567e-05,3.948355509930114e-05,244,1.1303203541342355,0.7046056136994049,107,0,3.9483555099301135e-05,3.948355509930114e-05,226,0,0.4282249166268885,0.6561383676076002,111,73.13457914466089,0.9032611386975385,172.0,148.82091338001553,0.8378739555921555,1,coif,255.45833333333334,237.0,159.08638254946922,72,0.48988320193784973,0.7307020006474584,0.43787115844926766,2,1.25,1
rbio3.1,1,zero,1.0397938026913147e-26,316.9892330478618,3293311.4485826427,0.7685185185185185,567.9471413442022,105,raw,8.005448156230461e-14,-9.877709761241271e-11,6.042972115062197,40212.27563443071,0.7161735734036422,7.355511509768729e-06,1.0,394.9999999999999,,,,[],[],15,367.8666666666666,79.99999999999983,710.9999999999998,"[1, 7, 15, 25, 30, 38, 44, 49, 55, 61, 69, 76, 85, 95, 101]","[162.0, 518.9999999999998, 207.0, 134.0, 337.9999999999999, 710.9999999999998, 79.99999999999983, 429.99999999999983, 255.99999999999986, 394.9999999999999, 318.9999999999999, 293.9999999999998, 696.9999999999998, 374.0, 601.9999999999999]","[0, 0, 10, 22, 22, 0, 43, 43, 50, 50, 67, 67, 50, 90, 90]","[2, 22, 22, 26, 33, 104, 47, 50, 60, 67, 73, 77, 104, 97, 104]",18460483.999999996,725.9999999999998,-725.9999999999998,0.0,,,,DWT,inu.30000003214412,3.725290298461914e-09,,1.0,60,0.0,1.0,60,,2.2737367544323206e-13,5.684341886080802e-14,9.094947017729282e-13,1.2316074086508405e-13,,0.0,5.684341886080802e-14,,,1.7053025658242404e-13,1.0,60,2.2737367544323206e-13,2.2737367544323206e-13,,1.1368683772161603e-13,0.8872041465519932,0.8693318512952133,0.00021347781013732282,0.6825672921498347,0.0010599795983751038,,,,,,,3.9483555099301135e-05,1.9741777549650567e-05,3.948355509930114e-05,229,1.2405460611831551,0.7733167995827579,28,0,3.9483555099301135e-05,3.948355509930114e-05,241,0,0.4880753494811107,0.747842899008779,26,120.19151384353223,0.8410165160799838,131.0,48.372264825729616,0.8338680463997803,2,rbio,245.05925925925925,152.0,217.71718485580496,135,0.4699412738820169,1.0,0.37104110828258813,3,2.25,2
rbio3.1,1,symmetric,1.0528723652037788e-26,316.93494802552885,3333230.1475482346,0.7685185185185185,577.2513054040635,105,raw,8.140789629708577e-14,-9.869149941721411e-11,6.075799002702059,40017.72424232681,0.7789343874555444,7.355511509768729e-06,1.0,394.9999999999999,,,,[],[],15,367.8666666666666,79.99999999999983,710.9999999999998,"[1, 7, 15, 25, 30, 38, 44, 49, 55, 61, 69, 76, 85, 95, 101]","[162.0, 518.9999999999998, 207.0, 134.0, 337.9999999999999, 710.9999999999998, 79.99999999999983, 429.99999999999983, 255.99999999999986, 394.9999999999999, 318.9999999999999, 293.9999999999998, 696.9999999999998, 374.0, 601.9999999999999]","[0, 0, 10, 22, 22, 0, 43, 43, 50, 50, 67, 67, 50, 90, 90]","[2, 22, 22, 26, 33, 104, 47, 50, 60, 67, 73, 77, 104, 97, 104]",18460483.999999996,725.9999999999998,-725.9999999999998,0.0,,,,DWT,inu.30000003214412,3.725290298461914e-09,,1.0,60,0.0,1.0,60,,2.2737367544323206e-13,5.684341886080802e-14,9.094947017729282e-13,1.2316074086508405e-13,,0.0,5.684341886080802e-14,,,1.7053025658242404e-13,1.0,60,2.2737367544323206e-13,2.2737367544323206e-13,,1.1368683772161603e-13,0.8866604709340283,0.8797416099002893,0.00026501030242511575,0.6825672921498347,0.0010480896087696856,,,,,,,3.9483555099301135e-05,1.9741777549650567e-05,3.948355509930114e-05,230,1.245445745365216,0.7763711062378641,26,0,3.9483555099301135e-05,3.948355509930114e-05,242,0,0.4900564945790694,0.750878465740411,24,121.92210628101861,0.8387273726441553,130.5,45.1425169811615,0.8330541625125538,3,rbio,245.05925925925925,152.0,217.71718485580496,135,0.4699412738820169,1.0,0.37104110828258813,3,3.0,3
rbio3.1,1,reflect,1.0555169274765197e-26,316.9240532689637,3347876.4935675077,0.7777777777777778,588.1280042346053,105,raw,8.174624998078105e-14,-9.859768557163327e-11,6.102508497327885,36763.615912208494,0.8094750576440684,7.355511509768729e-06,1.0,394.9999999999999,,,,[],[],15,367.8666666666666,79.99999999999983,710.9999999999998,"[1, 7, 15, 25, 30, 38, 44, 49, 55, 61, 69, 76, 85, 95, 101]","[162.0, 518.9999999999998, 207.0, 134.0, 337.9999999999999, 710.9999999999998, 79.99999999999983, 429.99999999999983, 255.99999999999986, 394.9999999999999, 318.9999999999999, 293.9999999999998, 696.9999999999998, 374.0, 601.9999999999999]","[0, 0, 10, 22, 22, 0, 43, 43, 50, 50, 67, 67, 50, 90, 90]","[2, 22, 22, 26, 33, 104, 47, 50, 60, 67, 73, 77, 104, 97, 104]",18460483.999999996,725.9999999999998,-725.9999999999998,0.0,,,,DWT,inu.30000003214412,3.725290298461914e-09,,1.0,60,0.0,1.0,60,,2.2737367544323206e-13,5.684341886080802e-14,9.094947017729282e-13,1.2316074086508405e-13,,0.0,5.684341886080802e-14,,,1.7053025658242404e-13,1.0,60,2.2737367544323206e-13,2.2737367544323206e-13,,1.1368683772161603e-13,0.8865513577154353,0.8882114774847141,0.0002839178002354305,0.709572000843348,0.0008492150913396174,,,,,,,3.9483555099301135e-05,1.9741777549650567e-05,3.948355509930114e-05,233,1.260346998645611,0.7856600716839169,22,0,3.9483555099301135e-05,3.948355509930114e-05,240,0,0.4970935937870145,0.7616609088158027,19,124.74640943396594,0.8349915219127435,128.5,37.54295034520088,0.8325089884695993,4,rbio,245.05925925925925,152.0,217.71718485580496,135,0.4699412738820169,1.0,0.37104110828258813,3,3.75,4
rbio3.1,1,periodic,1.044938678385556e-26,316.96779724561344,3309235.3310884126,0.7685185185185185,570.56803262867,105,raw,8.106954261339048e-14,-9.87078196956761e-11,6.068808092183832,39121.3368966478,0.764648351827778,7.355511509768729e-06,1.0,394.9999999999999,,,,[],[],15,367.8666666666666,79.99999999999983,710.9999999999998,"[1, 7, 15, 25, 30, 38, 44, 49, 55, 61, 69, 76, 85, 95, 101]","[162.0, 518.9999999999998, 207.0, 134.0, 337.9999999999999, 710.9999999999998, 79.99999999999983, 429.99999999999983, 255.99999999999986, 394.9999999999999, 318.9999999999999, 293.9999999999998, 696.9999999999998, 374.0, 601.9999999999999]","[0, 0, 10, 22, 22, 0, 43, 43, 50, 50, 67, 67, 50, 90, 90]","[2, 22, 22, 26, 33, 104, 47, 50, 60, 67, 73, 77, 104, 97, 104]",18460483.999999996,725.9999999999998,-725.9999999999998,0.0,,,,DWT,inu.30000003214412,3.725290298461914e-09,,1.0,60,0.0,1.0,60,,2.2737367544323206e-13,5.684341886080802e-14,9.094947017729282e-13,1.2316074086508405e-13,,0.0,5.684341886080802e-14,,,1.7053025658242404e-13,1.0,60,2.2737367544323206e-13,2.2737367544323206e-13,,1.1368683772161603e-13,0.8869894626017414,0.8775247170981809,0.00023403452600443122,0.6825672921498347,0.0009933069824040013,,,,,,,3.9483555099301135e-05,1.9741777549650567e-05,3.948355509930114e-05,231,1.244497293026033,0.7757798713370059,27,0,3.9483555099301135e-05,3.948355509930114e-05,244,0,0.489661762671633,0.7502736463118077,25,122.227588266043,0.8383232959443876,131.75,46.803112235906966,0.8320254045859504,5,rbio,245.05925925925925,152.0,217.71718485580496,135,0.4699412738820169,1.0,0.37104110828258813,3,4.5,5
coif8,1,reflect,1.8717730936956067e-26,314.43617329336286,4101481.479814287,0.618421052631579,447.2378909720481,105,raw,1.0150610510858578e-13,-1.1473455518995504e-10,6.401057150417188,23434.712448416532,0.5414664576923965,7.3555115097687225e-06,0.9999999999999997,395.0000000000003,,,,[],[],15,367.8666666666668,79.99999999999994,711.0000000000002,"[1, 7, 15, 25, 30, 38, 44, 49, 55, 61, 69, 76, 85, 95, 101]","[161.99999999999994, 519.0000000000002, 207.00000000000006, 134.00000000000006, 338.00000000000017, 711.0000000000002, 79.99999999999994, 430.0, 256.00000000000006, 394.9999999999999, 318.9999999999998, 294.0000000000001, 697.0000000000001, 374.0, 602.0000000000005]","[0, 0, 10, 22, 22, 0, 43, 43, 50, 50, 67, 67, 50, 90, 90]","[2, 22, 22, 26, 33, 104, 47, 50, 60, 67, 73, 77, 104, 97, 104]",18460484.000000004,726.0000000000002,-726.0000000000002,0.0,,,,DWT,inu.30000003214412,3.725290298461914e-09,,1.0,60,0.0,1.0,60,,2.2737367544323206e-13,1.1368683772161603e-13,1.8189894035458565e-12,1.2884508275116483e-13,,0.0,1.1368683772161603e-13,,,5.684341886080802e-14,1.0,60,2.2737367544323206e-13,2.2737367544323206e-13,,2.8421709430404007e-13,0.8616347301627764,0.9828844615526997,0.001256773733623406,0.24480675122340972,3.4620438881562674e-05,,,,,,,3.9483555099301135e-05,1.9741777549650567e-05,3.948355509930114e-05,252,1.106988004405744,0.6900609719618994,147,0,3.9483555099301135e-05,3.948355509930114e-05,245,0,0.41812346742227813,0.6406606405201803,151,57.5405654009992,0.9238881410039693,198.75,186.2620188105311,0.830495657803572,6,coif,255.45833333333334,237.0,159.08638254946922,72,0.48988320193784973,0.7307020006474584,0.43787115844926766,2,5.0,6
rbio3.1,1,antireflect,1.0424383649640556e-26,316.9782014305668,3396971.01562724,0.7962962962962963,596.907990037573,105,raw,8.039283524599991e-14,-9.873990514108777e-11,6.096928603371014,55476.852537722894,0.6067897223932704,7.355511509768729e-06,1.0,394.9999999999999,,,,[],[],15,367.8666666666666,79.99999999999983,710.9999999999998,"[1, 7, 15, 25, 30, 38, 44, 49, 55, 61, 69, 76, 85, 95, 101]","[162.0, 518.9999999999998, 207.0, 134.0, 337.9999999999999, 710.9999999999998, 79.99999999999983, 429.99999999999983, 255.99999999999986, 394.9999999999999, 318.9999999999999, 293.9999999999998, 696.9999999999998, 374.0, 601.9999999999999]","[0, 0, 10, 22, 22, 0, 43, 43, 50, 50, 67, 67, 50, 90, 90]","[2, 22, 22, 26, 33, 104, 47, 50, 60, 67, 73, 77, 104, 97, 104]",18460483.999999996,725.9999999999998,-725.9999999999998,0.0,,,,DWT,inu.30000003214412,3.725290298461914e-09,,1.0,60,0.0,1.0,60,,2.2737367544323206e-13,5.684341886080802e-14,9.094947017729282e-13,1.2316074086508405e-13,,0.0,5.684341886080802e-14,,,1.7053025658242404e-13,1.0,60,2.2737367544323206e-13,2.2737367544323206e-13,,1.1368683772161603e-13,0.8870936626451575,0.8864420331873991,0.0003472956944297464,0.7635814182303745,0.001992872746805113,,,,,,,3.9483555099301135e-05,1.9741777549650567e-05,3.948355509930114e-05,236,1.2818805784188807,0.7990834176723303,16,0,3.9483555099301135e-05,3.948355509930114e-05,243,0,0.5078914565008332,0.778205700441903,15,129.35867449331207,0.8288906422046136,127.5,29.08685149845621,0.83011992427691,7,rbio,245.05925925925925,152.0,217.71718485580496,135,0.4699412738820169,1.0,0.37104110828258813,3,6.0,7
coif7,1,antisymmetric,2.0110213180930193e-26,314.1245385502258,3919813.752204324,0.636986301369863,452.9924356874733,105,raw,1.0340088573727933e-13,-1.1407197408885873e-10,6.3164757614038525,136660.7115658513,0.9077647220705234,7.3555115097687225e-06,1.0,395.00000000000006,,,,[],[],15,367.86666666666673,79.99999999999983,711.0000000000005,"[1, 7, 15, 25, 30, 38, 44, 49, 55, 61, 69, 76, 85, 95, 101]","[162.00000000000006, 519.0, 206.99999999999994, 134.00000000000006, 338.0000000000002, 711.0000000000005, 79.99999999999983, 430.00000000000006, 256.0000000000001, 395.00000000000034, 319.0000000000002, 294.0, 696.9999999999998, 374.0000000000002, 602.0000000000002]","[0, 0, 10, 22, 22, 0, 43, 43, 50, 50, 67, 67, 50, 90, 90]","[2, 22, 22, 26, 33, 104, 47, 50, 60, 67, 73, 77, 104, 97, 104]",18460484.000000004,726.0000000000005,-726.0000000000005,0.0,,,,DWT,inu.30000003214412,3.725290298461914e-09,,1.0,60,0.0,1.0,60,,4.547473508864641e-13,5.684341886080802e-14,9.094947017729282e-13,1.6295113406764962e-13,,0.0,5.684341886080802e-14,,,1.7053025658242404e-13,1.0,60,4.547473508864641e-13,4.547473508864641e-13,,5.684341886080802e-14,0.858513644377543,0.9560627947602109,0.0010222522934314117,0.29895245769540696,0.00695441647843088,,,,,,,3.9483555099301135e-05,1.9741777549650567e-05,3.948355509930114e-05,245,1.1160134598228821,0.6956871526546996,135,0,3.9483555099301135e-05,3.948355509930114e-05,250,0,0.42430111312100466,0.6501262045428181,123,68.62154666478064,0.9092307583799197,188.25,169.3543099599429,0.8301114109359916,8,coif,255.45833333333334,237.0,159.08638254946922,72,0.48988320193784973,0.7307020006474584,0.43787115844926766,2,6.5,8
rbio3.1,1,smooth,1.0424383649640556e-26,316.9782014305668,3522134.2628924893,0.7777777777777778,601.4945497853918,105,raw,8.039283524599991e-14,-9.873990514108777e-11,6.096067138527306,64813.44744513031,0.5963053538017035,7.355511509768729e-06,1.0,394.9999999999999,,,,[],[],15,367.8666666666666,79.99999999999983,710.9999999999998,"[1, 7, 15, 25, 30, 38, 44, 49, 55, 61, 69, 76, 85, 95, 101]","[162.0, 518.9999999999998, 207.0, 134.0, 337.9999999999999, 710.9999999999998, 79.99999999999983, 429.99999999999983, 255.99999999999986, 394.9999999999999, 318.9999999999999, 293.9999999999998, 696.9999999999998, 374.0, 601.9999999999999]","[0, 0, 10, 22, 22, 0, 43, 43, 50, 50, 67, 67, 50, 90, 90]","[2, 22, 22, 26, 33, 104, 47, 50, 60, 67, 73, 77, 104, 97, 104]",18460483.999999996,725.9999999999998,-725.9999999999998,0.0,,,,DWT,inu.30000003214412,3.725290298461914e-09,,1.0,60,0.0,1.0,60,,2.2737367544323206e-13,5.684341886080802e-14,9.094947017729282e-13,1.2316074086508405e-13,,0.0,5.684341886080802e-14,,,1.7053025658242404e-13,1.0,60,2.2737367544323206e-13,2.2737367544323206e-13,,1.1368683772161603e-13,0.8870936626451575,0.8861688534340171,0.0005088734572714458,0.709572000843348,0.0025634778460468985,,,,,,,3.9483555099301135e-05,1.9741777549650567e-05,3.948355509930114e-05,232,1.2604492525084967,0.7857238134767177,21,0,3.9483555099301135e-05,3.948355509930114e-05,248,0,0.4971813736451681,0.7617954076051106,18,127.47908325159334,0.8313768740058289,129.75,35.86890436985434,0.8298749449394224,9,rbio,245.05925925925925,152.0,217.71718485580496,135,0.4699412738820169,1.0,0.37104110828258813,3,7.5,9
coif6,1,periodization,2.6288782153529216e-26,312.96100061866264,3166681.1617623027,0.7169811320754716,506.251885412784,105,raw,1.2470025012589764e-13,-1.1526424259500368e-10,5.8296077366142125,24572.232823068713,0.5168751625750785,7.355511509768726e-06,0.9999999999999997,394.99999999999994,,,,[],[],15,367.86666666666673,80.00000000000057,711.0000000000003,"[1, 7, 15, 25, 30, 38, 44, 49, 55, 61, 69, 76, 85, 95, 101]","[161.99999999999997, 519.0000000000001, 206.99999999999983, 133.99999999999994, 338.0000000000003, 711.0000000000003, 80.00000000000057, 430.0000000000002, 255.99999999999977, 395.0000000000004, 318.9999999999998, 293.99999999999994, 697.0, 374.0000000000002, 602.0000000000002]","[0, 0, 10, 22, 22, 0, 43, 43, 50, 50, 67, 67, 50, 90, 90]","[2, 22, 22, 26, 33, 104, 47, 50, 60, 67, 73, 77, 104, 97, 104]",18460484.000000004,726.0000000000003,-726.0000000000003,0.0,,,,DWT,inu.30000003214412,3.725290298461914e-09,,1.0,60,0.0,1.0,60,,3.410605131648481e-13,5.684341886080802e-14,9.094947017729282e-13,2.1032064978498964e-13,,0.0,5.684341886080802e-14,,,5.684341886080801e-13,1.0,60,3.410605131648481e-13,3.410605131648481e-13,,5.684341886080802e-14,0.8468605736633302,0.8016717155268585,5.000619287357037e-05,0.5322580645161288,0.00010413988710706082,,,,,,,3.9483555099301135e-05,1.9741777549650567e-05,3.948355509930114e-05,242,1.1219220868191586,0.6993704020411279,120,0,3.9483555099301135e-05,3.948355509930114e-05,251,0,0.4361888999572596,0.6683410088345628,90,82.68968093621679,0.8906221151637344,175.75,145.1339862014953,0.8290742850950947,10,coif,255.45833333333334,237.0,159.08638254946922,72,0.48988320193784973,0.7307020006474584,0.43787115844926766,2,8.0,10
