wavelet,wavelet_level,wavelet_mode,wavelet_mse,wavelet_psnr,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,signal_length,signal_type,emd_value,kl_divergence,change_point_indices,change_point_prominences,num_change_points,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,fft_frequency_max,fft_amplitude_max,fft_spectral_centroid,fft_spectral_bandwidth,fft_spectral_magnitude,fft_variance_magnitude,fft_num_peaks,fft_peak_amplitude,fft_dominant_frequency,fft_positive_frequencies,fft_positive_amplitudes,fft_snr_threshold,fft_stationarity_threshold,fft_dynamic_cutoff,fft_dynamic_cutoff_percentile,stft_frequency_max,stft_amplitude_max,stft_spectral_centroid,stft_spectral_bandwidth,stft_spectral_magnitude,stft_variance_magnitude,stft_peak_freq_over_time,stft_num_peaks,stft_peak_amplitude,stft_dominant_frequency,stft_positive_frequencies,stft_positive_amplitudes,stft_snr_threshold,stft_stationarity_threshold,stft_window,stft_nperseg,stft_noverlap,stft_dynamic_cutoff,stft_dynamic_cutoff_percentile,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,wavelet_type,htid,stft_amplitude_max_diff,stft_frequency_max_diff,avg_prominence_diff,fft_variance_magnitude_diff,stft_noverlap_diff,prominence_max_diff,stft_spectral_magnitude_diff,upper_envelope_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,stft_num_peaks_diff,fft_peak_amplitude_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,stft_window_diff,stft_nperseg_diff,prominence_threshold_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,stft_dominant_frequency_diff,relative_num_peaks_diff,stft_variance_magnitude_diff,fft_amplitude_max_diff,fft_dominant_frequency_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,fft_snr_threshold_diff,stft_stationarity_threshold_diff,stft_dynamic_cutoff_percentile_diff,lower_envelope_diff,fft_stationarity_threshold_diff,stft_dynamic_cutoff_diff,fft_frequency_max_diff,fft_num_peaks_diff,fft_dynamic_cutoff_percentile_diff,fft_dynamic_cutoff_diff,prominence_min_diff,fft_spectral_centroid_diff,stft_peak_amplitude_diff,fft_spectral_bandwidth_diff,stft_spectral_bandwidth_diff,fft_spectral_magnitude_diff,distance_factor_diff,stft_snr_threshold_diff,stft_spectral_centroid_diff,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,avg_variance_across_levels_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,kl_divergence_normalized,across_smoothness_normalized,across_wavelet_psnr_normalized,across_wavelet_entropy_normalized,across_wavelet_energy_entropy_normalized,across_wavelet_sparsity_normalized,across_avg_variance_across_levels_normalized,across_prominence_min_diff_normalized,across_avg_prominence_diff_normalized,across_relative_prominences_avg_diff_normalized,across_relative_prominences_wasserstein_normalized,across_relative_prominences_total_diff_normalized,across_prominence_max_diff_normalized,across_relative_num_peaks_diff_normalized,across_relative_right_bases_global_alignment_score_normalized,across_relative_right_bases_array_alignment_score_normalized,across_relative_left_bases_global_alignment_score_normalized,across_relative_left_bases_array_alignment_score_normalized,across_relative_peaks_array_alignment_score_normalized,across_relative_peaks_global_alignment_score_normalized,across_reconstruction_signal_weighted_score,across_reconstruction_signal_normalized_weighted_score,across_reconstruction_signal_normalized_weighted_rank,across_wavelet_signal_weighted_score,across_wavelet_signal_normalized_weighted_score,across_wavelet_signal_normalized_weighted_rank,across_rank_variability,across_normalized_rank_stability,across_average_rank,across_harmonic_average_rank,across_stability_score_weighted,across_stability_rank,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,across_normalized_family_mean_rank,across_normalized_family_std_dev,across_final_family_stability_score,across_final_family_stability_rank,across_family_informed_rank,across_top_wavelet_rank
db17,1,reflect,5.6416852249958365e-28,331.66610298168075,158713.05843601475,0.5847457627118644,21.165168996742267,85,smoothed,8.72635297355373e-15,,"[7, 10, 12, 16, 22, 26, 29, 33, 35, 37, 43, 48, 50, 52, 54, 59, 61, 65, 69, 73, 76, 78]","[404.26666666666654, 15.26666666666665, 7.199999999999964, 20.19999999999994, 27.266666666666644, 19.733333333333352, 2.933333333333279, 34.60000000000002, 0.9333333333332803, 9.333333333333314, 14.733333333333414, 31.26666666666671, 2.1333333333333226, 1.8666666666666725, 20.39999999999998, 11.466666666666647, 7.733333333333343, 6.533333333333416, 6.7999999999999545, 2.533333333333408, 5.933333333333309, 505.5333333333333]",22,4.386817603939567,5778.659706193379,0.5087916686787423,3.424415393018397e-05,0.9999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,31.847222222222204,2.0000000000000013,404.39999999999986,"[7, 10, 12, 16, 20, 22, 24, 26, 28, 30, 34, 36, 39, 44, 48, 50, 52, 54, 59, 61, 63, 68, 73, 77]","[404.39999999999986, 15.26666666666665, 7.199999999999964, 27.266666666666772, 14.866666666666674, 39.0666666666666, 2.0000000000000013, 30.59999999999991, 5.599999999999903, 2.933333333333279, 27.53333333333336, 8.866666666666557, 9.333333333333314, 5.000000000000066, 68.13333333333338, 5.199999999999989, 4.133333333333324, 23.066666666666663, 19.33333333333338, 11.866666666666559, 4.600000000000133, 9.266666666666646, 12.866666666666669, 5.933333333333309]","[5, 9, 11, 14, 17, 21, 23, 25, 27, 29, 33, 35, 37, 43, 33, 49, 51, 49, 56, 60, 62, 65, 69, 76]","[78, 33, 21, 21, 21, 33, 25, 33, 33, 33, 43, 43, 43, 46, 78, 53, 53, 78, 78, 78, 69, 69, 78, 78]",0.05,30,431035.59999999986,505.5333333333333,-505.5333333333333,DWT,inu.32000013032919,,,13.854738562091516,,,178.4666666666668,,5.684341886080802e-14,0.0,-15.5,,,0.0,-15.5,,,0.0,0.0,-15.5,,7.0,,,,13.854738562091516,12.600000000000364,26.07859477124185,,,,5.684341886080802e-14,,,,,,,1.0666666666666642,,,,,,0.0,,,0.8232032850269889,0.9056641337017695,0.18945776937211162,0.31397183343223944,0.3084402466790679,0,,322,1.290447754597657,0.6745269200922879,157,0,0,0.5081474536424356,0.6367983257386577,191,87.12251909428086,0.8758938474440443,223.33333333333334,203.93431566497466,0.7788775979860297,150,db,0.441467481934408,0.6784246763345256,0.4874453597455567,2,113.0,,0.9999999999624907,0.8347565727063665,0.5745194086061846,0.0014662010812205584,0.3707410192630298,0.0021879878975775043,0.9999999996952966,0.9999999999705758,0.9999999999705758,0.9999999999930094,0.9999999992234917,0.9999999999676077,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5999999994843868,0.9999999998016875,119,1.2380183513205125,0.7353025926308696,117,1.4142135623730951,0.9989991411448174,118.0,117.9915254237288,0.9577444396453032,1,493.8630490956072,509.0,343.5205710729191,387,0.5265245032987754,0.6921231878593278,0.42379589133305884,1,1.0,1
rbio3.9,1,periodization,2.3528988993004433e-28,335.4641588285572,219195.59928967335,0.686046511627907,13.83352778236501,85,smoothed,5.212394196300382e-15,,"[7, 10, 12, 16, 22, 26, 29, 33, 35, 37, 43, 48, 50, 52, 54, 59, 61, 65, 69, 73, 76, 78]","[404.2666666666666, 15.266666666666632, 7.199999999999996, 20.199999999999932, 27.266666666666655, 19.73333333333335, 2.933333333333279, 34.60000000000002, 0.9333333333332829, 9.333333333333314, 14.733333333333402, 31.26666666666671, 2.133333333333322, 1.866666666666674, 20.39999999999998, 11.466666666666644, 7.733333333333349, 6.533333333333416, 6.7999999999999545, 2.533333333333414, 5.933333333333335, 505.53333333333325]",22,2.5965998136285764,6558.0367257400085,0.7372578664272305,3.424415393018396e-05,0.9999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,31.84722222222221,2.000000000000004,404.3999999999999,"[7, 10, 12, 16, 20, 22, 24, 26, 28, 30, 34, 36, 39, 44, 48, 50, 52, 54, 59, 61, 63, 68, 73, 77]","[404.3999999999999, 15.266666666666632, 7.199999999999996, 27.26666666666676, 14.86666666666667, 39.066666666666606, 2.000000000000004, 30.59999999999991, 5.59999999999991, 2.933333333333279, 27.53333333333336, 8.866666666666564, 9.333333333333314, 5.000000000000054, 68.13333333333338, 5.1999999999999895, 4.133333333333326, 23.06666666666667, 19.33333333333337, 11.86666666666656, 4.600000000000138, 9.266666666666652, 12.866666666666672, 5.933333333333335]","[6, 9, 11, 14, 17, 21, 23, 25, 27, 29, 33, 35, 37, 43, 33, 49, 51, 49, 56, 60, 62, 65, 69, 76]","[78, 33, 21, 21, 21, 33, 25, 33, 33, 33, 43, 43, 43, 46, 78, 53, 53, 78, 78, 78, 69, 69, 78, 78]",0.05,30,431035.59999999986,505.53333333333325,-505.53333333333325,DWT,inu.32000013032919,,,13.854738562091509,,,178.46666666666675,,1.1368683772161603e-13,0.0,-15.5,,,0.0,-15.5,,,0.0,0.0,-15.5,,7.0,,,,13.854738562091509,12.60000000000025,26.078594771241843,,,,1.1368683772161603e-13,,,,,,,1.0666666666666669,,,,,,0.0,,,0.856649051347644,0.16440899029878198,0.44624440214458205,0.9261017218437828,0.40920113726358404,0,,429,1.3534372706732152,0.7074520223485952,101,0,0,0.560521060579675,0.7024316866292089,93,191.72202099219936,0.7268917079883199,207.66666666666666,130.52171800602468,0.7155351227500955,272,rbio,0.6564060527453525,0.5212063912111188,0.3841538457149176,4,205.0,,0.9999999999624904,0.8660167296393203,0.1042949062031644,0.003453455759990176,0.932216842606556,0.0029027571649534456,0.9999999996952991,0.9999999999705752,0.9999999999705752,0.9999999999930091,0.9999999992234827,0.9999999999676074,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5999999994843823,0.9999999998016859,123,1.2475320586625205,0.7409531176547097,104,13.435028842544403,0.9904918408757648,113.5,112.70484581497796,0.9550831461986751,2,758.7185185185185,903.5,431.3551422709557,270,0.808896093437453,0.8690917555115334,0.1730452079403229,3,2.25,2
db21,1,symmetric,7.373227661396167e-28,330.5036150570257,150936.5939070154,0.5873015873015873,24.74834443037966,85,smoothed,1.3254756769289518e-14,,"[7, 10, 12, 16, 22, 26, 29, 33, 35, 37, 43, 48, 50, 52, 54, 59, 61, 65, 69, 73, 76, 78]","[404.26666666666654, 15.266666666666566, 7.199999999999953, 20.19999999999994, 27.266666666666655, 19.73333333333335, 2.9333333333332767, 34.60000000000002, 0.9333333333332732, 9.333333333333314, 14.733333333333404, 31.2666666666667, 2.1333333333333284, 1.866666666666676, 20.399999999999974, 11.466666666666644, 7.733333333333355, 6.533333333333408, 6.799999999999985, 2.533333333333463, 5.933333333333426, 505.5333333333334]",22,4.614649744619471,5504.597569973546,0.5005632231288542,3.424415393018393e-05,0.9999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,31.847222222222204,2.0000000000000036,404.39999999999986,"[7, 10, 12, 16, 20, 22, 24, 26, 28, 30, 34, 36, 39, 44, 48, 50, 52, 54, 59, 61, 63, 68, 73, 77]","[404.39999999999986, 15.266666666666566, 7.199999999999953, 27.266666666666783, 14.866666666666667, 39.066666666666606, 2.0000000000000036, 30.599999999999902, 5.599999999999904, 2.9333333333332767, 27.533333333333367, 8.86666666666656, 9.333333333333314, 5.0000000000000515, 68.13333333333338, 5.199999999999982, 4.1333333333333275, 23.066666666666656, 19.333333333333375, 11.86666666666656, 4.600000000000132, 9.266666666666627, 12.866666666666701, 5.933333333333426]","[5, 9, 11, 14, 17, 21, 23, 25, 27, 29, 33, 35, 37, 43, 33, 49, 51, 49, 56, 60, 62, 65, 69, 76]","[78, 33, 21, 21, 21, 33, 25, 33, 33, 33, 43, 43, 43, 46, 78, 53, 53, 78, 78, 78, 69, 69, 78, 78]",0.05,30,431035.6,505.5333333333334,-505.5333333333334,DWT,inu.32000013032919,,,13.854738562091516,,,178.4666666666668,,5.684341886080802e-14,0.0,-15.5,,,0.0,-15.5,,,0.0,0.0,-15.5,,7.0,,,,13.854738562091516,12.600000000000364,26.078594771241846,,,,5.684341886080802e-14,,,,,,,1.0666666666666664,,,,,,0.0,,,0.8129663898769156,1.0,0.15644175990736528,0.3294159109701381,0.27300842840827894,0,,354,1.306970449631199,0.6831634592724999,129,0,0,0.5143664978325396,0.6445918842807018,171,119.63695081370136,0.8295769931428756,218.0,182.6511823731668,0.7595178413007825,186,db,0.441467481934408,0.6784246763345256,0.4874453597455567,2,140.0,,0.999999999962489,0.8251886367879763,0.6343625492354663,0.0012106923790162205,0.384907091391733,0.0019366445972126972,0.9999999996952986,0.9999999999705758,0.9999999999705758,0.9999999999930093,0.9999999992234917,0.9999999999676077,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5999999994843876,0.9999999998016879,118,1.267637297264352,0.7528943251930473,72,32.526911934581186,0.9769802463307988,95.0,89.43157894736844,0.9548737041986619,3,493.8630490956072,509.0,343.5205710729191,387,0.5265245032987754,0.6921231878593278,0.42379589133305884,1,2.5,3
db15,1,symmetric,2.551367582263225e-28,335.1124611634999,168016.03606910305,0.5877192982456141,20.37682471238456,85,smoothed,7.249103278434848e-15,,"[7, 10, 12, 16, 22, 26, 29, 33, 35, 37, 43, 48, 50, 52, 54, 59, 61, 65, 69, 73, 76, 78]","[404.2666666666666, 15.266666666666644, 7.199999999999985, 20.199999999999932, 27.266666666666648, 19.73333333333335, 2.9333333333332785, 34.600000000000016, 0.9333333333332847, 9.33333333333331, 14.73333333333341, 31.26666666666671, 2.133333333333322, 1.8666666666666742, 20.399999999999977, 11.466666666666642, 7.7333333333333485, 6.5333333333334185, 6.79999999999995, 2.533333333333421, 5.933333333333239, 505.5333333333333]",22,4.123483048443448,6040.116618301892,0.5055431918572088,3.424415393018395e-05,0.9999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,31.84722222222221,2.0000000000000018,404.4,"[7, 10, 12, 16, 20, 22, 24, 26, 28, 30, 34, 36, 39, 44, 48, 50, 52, 54, 59, 61, 63, 68, 73, 77]","[404.4, 15.266666666666644, 7.199999999999985, 27.26666666666677, 14.86666666666667, 39.066666666666606, 2.0000000000000018, 30.599999999999902, 5.599999999999902, 2.9333333333332785, 27.533333333333363, 8.86666666666656, 9.33333333333331, 5.000000000000059, 68.13333333333338, 5.199999999999987, 4.13333333333332, 23.066666666666663, 19.33333333333337, 11.86666666666656, 4.600000000000138, 9.266666666666657, 12.866666666666667, 5.933333333333239]","[6, 9, 11, 14, 17, 21, 23, 25, 27, 29, 33, 35, 37, 43, 33, 49, 51, 49, 56, 60, 62, 65, 69, 76]","[78, 33, 21, 21, 21, 33, 25, 33, 33, 33, 43, 43, 43, 46, 78, 53, 53, 78, 78, 78, 69, 69, 78, 78]",0.05,30,431035.59999999986,505.5333333333333,-505.5333333333333,DWT,inu.32000013032919,,,13.854738562091509,,,178.4666666666667,,5.684341886080802e-14,0.0,-15.5,,,0.0,-15.5,,,0.0,0.0,-15.5,,7.0,,,,13.854738562091509,12.60000000000025,26.07859477124184,,,,5.684341886080802e-14,,,,,,,1.0666666666666647,,,,,,0.0,,,0.8535519936962408,0.7966281858111338,0.228954792272297,0.33194001228519654,0.3422424125792843,0,,300,1.2945956552052524,0.6766950594932997,148,0,0,0.5106634793288306,0.6399513493996583,184,79.43131204590124,0.8868499828405966,210.66666666666666,193.23829948278035,0.7933775080394816,127,db,0.441467481934408,0.6784246763345256,0.4874453597455567,2,95.75,,0.9999999999624899,0.8631220580900104,0.5053510867439754,0.0017718659155167293,0.38722232201664586,0.0024277709048143477,0.999999999695297,0.9999999999705752,0.9999999999705752,0.999999999993009,0.9999999992234827,0.999999999967607,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.599999999484382,0.9999999998016856,139,1.2272947483410834,0.7289334680821844,135,2.8284271247461903,0.9979982822896347,137.0,136.97080291970804,0.9505207264243645,4,493.8630490956072,509.0,343.5205710729191,387,0.5265245032987754,0.6921231878593278,0.42379589133305884,1,3.25,4
db21,1,antireflect,1.0622983754444866e-27,328.91772632101237,168372.86646241354,0.5793650793650794,23.198646618186885,85,smoothed,1.4634372145478136e-14,,"[7, 10, 12, 16, 22, 26, 29, 33, 35, 37, 43, 48, 50, 52, 54, 59, 61, 65, 69, 73, 76, 78]","[404.2666666666666, 15.266666666666644, 7.19999999999996, 20.199999999999925, 27.266666666666666, 19.73333333333335, 2.933333333333276, 34.600000000000016, 0.9333333333332732, 9.333333333333314, 14.733333333333404, 31.2666666666667, 2.1333333333333284, 1.8666666666666774, 20.399999999999974, 11.466666666666647, 7.733333333333354, 6.53333333333341, 6.799999999999963, 2.5333333333334416, 5.933333333333412, 505.5333333333336]",22,4.454057247757128,5938.38950502528,0.5510161092690178,3.424415393018392e-05,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,31.84722222222221,2.0000000000000018,404.4,"[7, 10, 12, 16, 20, 22, 24, 26, 28, 30, 34, 36, 39, 44, 48, 50, 52, 54, 59, 61, 63, 68, 73, 77]","[404.4, 15.266666666666644, 7.19999999999996, 27.26666666666677, 14.86666666666666, 39.06666666666659, 2.0000000000000018, 30.599999999999895, 5.599999999999903, 2.933333333333276, 27.533333333333367, 8.86666666666656, 9.333333333333314, 5.0000000000000515, 68.13333333333337, 5.199999999999981, 4.1333333333333275, 23.066666666666656, 19.33333333333338, 11.866666666666559, 4.600000000000132, 9.266666666666627, 12.86666666666669, 5.933333333333412]","[1, 9, 11, 14, 17, 21, 23, 25, 27, 29, 33, 35, 37, 43, 33, 49, 51, 49, 56, 60, 62, 65, 69, 76]","[78, 33, 21, 21, 21, 33, 25, 33, 33, 33, 43, 43, 43, 46, 78, 53, 53, 78, 78, 78, 69, 69, 78, 78]",0.05,30,431035.6000000002,505.5333333333336,-505.5333333333336,DWT,inu.32000013032919,,,13.854738562091509,,,178.4666666666667,,2.2737367544323206e-13,0.0,-15.5,,,0.0,-15.5,,,0.0,0.0,-15.5,,7.0,,,,13.854738562091509,12.60000000000025,26.078594771241846,,,,2.2737367544323206e-13,,,,,,,1.0666666666666647,,,,,,0.0,,,0.7990010175354629,0.9335052891690567,0.23046976293781155,0.28145798598403227,0.3290907359538868,0,,360,1.3056076253498794,0.6824511005878261,131,0,0,0.5147049583160501,0.6450160349237548,169,122.723265927859,0.8251805328662978,220.0,183.72755284734018,0.7558951097379922,194,db,0.441467481934408,0.6784246763345256,0.4874453597455567,2,146.0,,0.9999999999624887,0.8121358716985025,0.5921807949620739,0.0017835901727755177,0.34091770951839223,0.002334476629508038,0.999999999695297,0.9999999999705752,0.9999999999705752,0.9999999999930093,0.9999999992234827,0.999999999967607,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.599999999484382,0.9999999998016856,136,1.221564590034433,0.7255301257532348,141,3.5355339059327378,0.9974978528620434,138.5,138.4548736462094,0.9497397261479361,5,493.8630490956072,509.0,343.5205710729191,387,0.5265245032987754,0.6921231878593278,0.42379589133305884,1,4.0,5
db11,1,periodization,1.4669942904172804e-28,337.5159072585975,129920.2832911544,0.627906976744186,14.481396159451918,85,smoothed,5.9797326414018486e-15,,"[7, 10, 12, 16, 22, 26, 29, 33, 35, 37, 43, 48, 50, 52, 54, 59, 61, 65, 69, 73, 76, 78]","[404.26666666666665, 15.266666666666646, 7.199999999999957, 20.199999999999932, 27.26666666666665, 19.733333333333356, 2.9333333333332816, 34.60000000000002, 0.9333333333332785, 9.333333333333314, 14.733333333333398, 31.26666666666671, 2.133333333333328, 1.8666666666666758, 20.399999999999984, 11.466666666666644, 7.733333333333348, 6.533333333333417, 6.799999999999947, 2.5333333333333945, 5.933333333333309, 505.5333333333333]",22,3.317692888908186,4951.901234300823,0.5410390170855379,3.424415393018395e-05,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,31.84722222222221,2.000000000000005,404.4,"[7, 10, 12, 16, 20, 22, 24, 26, 28, 30, 34, 36, 39, 44, 48, 50, 52, 54, 59, 61, 63, 68, 73, 77]","[404.4, 15.266666666666646, 7.199999999999957, 27.266666666666772, 14.866666666666678, 39.06666666666661, 2.000000000000005, 30.599999999999916, 5.599999999999907, 2.9333333333332816, 27.53333333333336, 8.86666666666656, 9.333333333333314, 5.000000000000055, 68.13333333333338, 5.1999999999999895, 4.133333333333327, 23.06666666666667, 19.33333333333337, 11.866666666666564, 4.600000000000137, 9.266666666666653, 12.866666666666662, 5.933333333333309]","[6, 9, 11, 14, 17, 21, 23, 25, 27, 29, 33, 35, 37, 43, 33, 49, 51, 49, 56, 60, 62, 65, 69, 76]","[78, 33, 21, 21, 21, 33, 25, 33, 33, 33, 43, 43, 43, 46, 78, 53, 53, 78, 78, 78, 69, 69, 78, 78]",0.05,30,431035.6,505.5333333333333,-505.5333333333333,DWT,inu.32000013032919,,,13.854738562091509,,,178.4666666666667,,5.684341886080802e-14,0.0,-15.5,,,0.0,-15.5,,,0.0,0.0,-15.5,,7.0,,,,13.854738562091509,12.60000000000025,26.078594771241843,,,,5.684341886080802e-14,,,,,,,1.0666666666666678,,,,,,0.0,,,0.8747167947686197,0.462983808299241,0.06721423143092523,0.5747820388060294,0.201553697759975,0,,267,1.1004633913526567,0.5752206390369191,304,0,0,0.43625011421295806,0.5466982867724646,322,28.04163571073081,0.9600546499847139,297.6666666666667,295.84683998037957,0.7680140296457283,163,db,0.441467481934408,0.6784246763345256,0.4874453597455567,2,122.75,,0.9999999999624899,0.8829037846210817,0.29369958888745096,0.0005201664683588125,0.6099690451623144,0.0014297649420235217,0.9999999996953,0.9999999999705752,0.9999999999705752,0.9999999999930091,0.9999999992234827,0.999999999967607,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5999999994843828,0.999999999801686,122,1.221411672481036,0.7254393026460073,142,14.142135623730951,0.9899914114481734,132.0,131.24242424242425,0.9482865762124094,6,493.8630490956072,509.0,343.5205710729191,387,0.5265245032987754,0.6921231878593278,0.42379589133305884,1,4.75,6
rbio3.9,1,reflect,5.326115531264164e-29,341.9160856673016,318037.1594064438,0.625,12.204617081339032,85,smoothed,3.365445177440939e-15,,"[7, 10, 12, 16, 22, 26, 29, 33, 35, 37, 43, 48, 50, 52, 54, 59, 61, 65, 69, 73, 76, 78]","[404.26666666666665, 15.266666666666623, 7.199999999999989, 20.199999999999935, 27.26666666666665, 19.73333333333334, 2.933333333333277, 34.60000000000002, 0.9333333333332856, 9.333333333333314, 14.733333333333402, 31.26666666666671, 2.1333333333333275, 1.8666666666666747, 20.399999999999974, 11.466666666666637, 7.73333333333335, 6.533333333333417, 6.7999999999999545, 2.533333333333424, 5.933333333333328, 505.53333333333336]",22,3.4590722770064857,10358.605198678693,0.7259399767525281,3.4244153930183933e-05,0.9999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,31.84722222222221,2.0000000000000013,404.4,"[7, 10, 12, 16, 20, 22, 24, 26, 28, 30, 34, 36, 39, 44, 48, 50, 52, 54, 59, 61, 63, 68, 73, 77]","[404.4, 15.266666666666623, 7.199999999999989, 27.26666666666676, 14.866666666666678, 39.066666666666606, 2.0000000000000013, 30.5999999999999, 5.599999999999908, 2.933333333333277, 27.533333333333356, 8.866666666666562, 9.333333333333314, 5.000000000000053, 68.13333333333338, 5.19999999999999, 4.133333333333328, 23.066666666666663, 19.33333333333337, 11.866666666666559, 4.600000000000136, 9.266666666666652, 12.866666666666667, 5.933333333333328]","[6, 9, 11, 14, 17, 21, 23, 25, 27, 29, 33, 35, 37, 43, 33, 49, 51, 49, 56, 60, 62, 65, 69, 76]","[78, 33, 21, 21, 21, 33, 25, 33, 33, 33, 43, 43, 43, 46, 78, 53, 53, 78, 78, 78, 69, 69, 78, 78]",0.05,30,431035.6,505.53333333333336,-505.53333333333336,DWT,inu.32000013032919,,,13.854738562091509,,,178.4666666666667,,0.0,0.0,-15.5,,,0.0,-15.5,,,0.0,0.0,-15.5,,7.0,,,,13.854738562091509,12.60000000000025,26.07859477124184,,,,0.0,,,,,,,1.0666666666666642,,,,,,0.0,,,0.9134648660871977,0.5215231654468575,0.8658893284676119,0.5572160546541417,0.9005534025427181,0,,430,1.8248929494882973,0.9538855147996762,11,0,0,0.7517293634397054,0.9420493925840562,11,241.90976279045321,0.6553991983041977,150.66666666666666,16.29161882893226,0.7203871585063248,267,rbio,0.6564060527453525,0.5212063912111188,0.3841538457149176,4,201.25,,0.9999999999624892,0.9191197522462573,0.3308347647182184,0.006701059945042526,0.5938566552901023,0.006388271203582305,0.9999999996952966,0.9999999999705752,0.9999999999705752,0.999999999993009,0.9999999992234827,0.999999999967607,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.599999999484382,0.9999999998016856,135,1.2603377342656055,0.7485588582814903,77,41.012193308819754,0.970975093199703,106.0,98.06603773584905,0.9479787001738076,7,758.7185185185185,903.5,431.3551422709557,270,0.808896093437453,0.8690917555115334,0.1730452079403229,3,6.0,7
