wavelet,wavelet_level,wavelet_mode,wavelet_mse,wavelet_psnr,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,signal_length,signal_type,emd_value,kl_divergence,change_point_indices,change_point_prominences,num_change_points,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,wavelet_type,htid,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,max_autocorrelation_diff,prominence_min_diff,prominence_max_diff,avg_prominence_diff,upper_envelope_diff,prominence_threshold_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,distance_factor_diff,lower_envelope_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,relative_num_peaks_diff,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,max_autocorrelation_diff_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,reconstruction_signal_num_missing_metrics,reconstruction_signal_missing_metrics_count,reconstruction_signal_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,across_smoothness_normalized,across_wavelet_psnr_normalized,across_wavelet_entropy_normalized,across_wavelet_energy_entropy_normalized,across_wavelet_sparsity_normalized,across_avg_variance_across_levels_normalized,across_kl_divergence_normalized,across_prominence_min_diff_normalized,across_relative_prominences_avg_diff_normalized,across_relative_prominences_wasserstein_normalized,across_relative_prominences_total_diff_normalized,across_max_autocorrelation_diff_normalized,across_relative_right_bases_global_alignment_score_normalized,across_relative_right_bases_array_alignment_score_normalized,across_relative_left_bases_global_alignment_score_normalized,across_relative_left_bases_array_alignment_score_normalized,across_upper_envelope_diff_normalized,across_lower_envelope_diff_normalized,across_relative_peaks_array_alignment_score_normalized,across_relative_peaks_global_alignment_score_normalized,across_reconstruction_signal_weighted_score,across_reconstruction_signal_normalized_weighted_score,across_reconstruction_signal_normalized_weighted_rank,across_wavelet_signal_weighted_score,across_wavelet_signal_normalized_weighted_score,across_wavelet_signal_normalized_weighted_rank,across_rank_variability,across_normalized_rank_stability,across_average_rank,across_harmonic_average_rank,across_stability_score_weighted,across_stability_rank,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,across_normalized_family_mean_rank,across_normalized_family_std_dev,across_final_family_stability_score,across_final_family_stability_rank,across_family_informed_rank,across_top_wavelet_rank
db15,1,periodic,1.2215072861288912e-26,322.05708754073447,2697985.6141207833,0.74,445.4636030848837,72,raw,7.835707391576661e-14,,"[3, 5, 8, 10, 12, 15, 18, 20, 23, 27, 31, 34, 36, 39, 42, 44, 48, 51, 56, 59, 62, 65, 67]","[111.62327159302853, 498.9040131198145, 150.76000064312814, 14.623271593028448, 162.62327159302862, 212.1090745385556, 59.22543250369796, 660.8087658370309, 507.6232715930282, 324.802222007846, 385.06259244967544, 258.75345681394293, 455.493086372114, 173.6232715930284, 539.8437037751623, 26.623271593028704, 587.753456813943, 247.37672840697155, 589.5361116470508, 132.91284005402258, 256.4362338414048, 126.62327159302862, 47.62327159302873]",23,5.797620036501313,156278.4940403716,0.5054122276664341,1.16076094711991e-06,1.0,23,638.1664492613813,14.623271593028448,1164.6232715930282,"[2, 5, 8, 11, 15, 18, 20, 23, 26, 30, 33, 35, 39, 41, 44, 47, 50, 55, 58, 62, 65, 67, 69]","[548.3767284069712, 916.1163579651422, 420.24654318605684, 14.623271593028448, 1036.8698147790858, 938.6232715930284, 1164.6232715930282, 507.6232715930282, 628.2465431860571, 886.8698147790856, 918.2465431860572, 500.6232715930284, 422.3767284069714, 988.1163579651425, 225.75345681394322, 1046.1163579651425, 247.37672840697155, 959.3629011511996, 473.37672840697155, 1048.390555662743, 126.62327159302862, 47.62327159302873, 611.6232715930286]","[0, 0, 6, 10, 12, 17, 19, 22, 24, 27, 31, 34, 36, 36, 42, 42, 48, 48, 56, 56, 64, 66, 68]","[3, 12, 12, 12, 19, 19, 56, 56, 27, 31, 36, 36, 40, 42, 46, 56, 51, 56, 59, 71, 71, 71, 71]",0.05,30,10748281.313348126,706.0145990095823,-706.0145990095823,DWT,mdp.39015038717792,0.8695652173913043,78.5,25509693.686651874,0.0,2.2737367544323206e-13,0.0,515.9854009904177,0.0,7.485724651662167,172.17166698822984,12.355289869053541,0.0,515.9854009904177,0.9130434782608695,83.0,1.0,92.0,0.0,0.8838462082531812,0.9383744355114348,0.0040732183533811785,0.8685446009389669,0.0114678895478131,,0.7755102040816325,0.38775510204081626,0.7755102040816326,167,1.3535365480790287,0.8504815575224188,6,0,0,0.7755102040816325,0.7755102040816326,272,0,0,0.5412612705209555,0.8322337417670607,7,130.23312430663202,0.7990229563169259,113.0,12.531787503079071,0.8123201201337715,29,db,0.4147093951770858,0.8898546899184091,0.44274701640051717,3,22.5,8.863465517094937e-13,0.8670472984535533,0.9554265650786584,0.005345532971494805,0.868544600938967,0.013447032438875297,,0.0,1.3103412799253533e-10,5.4475701727341175e-11,2.3929747072770624e-09,0.9999999999419223,1.0,1.0,1.0,1.0,0.9999999999868536,0.9999999999868536,1.0,1.0,1.700000001217843,0.9999999997384357,238,1.3534110814486113,0.7039828696945356,244,4.242640687119285,0.9967263574945068,241.0,240.96265560165975,0.905384783685525,1,440.3179012345679,383.0,342.64504852117284,324,0.4653896267128742,0.8004157149061285,0.4341025468291495,1,1.0,1
db15,1,reflect,1.0689240568168093e-26,322.6365796464496,2563791.6666752314,0.74,408.7857159803171,72,raw,7.283063041541024e-14,,"[3, 5, 8, 10, 12, 15, 18, 20, 23, 27, 31, 34, 36, 39, 42, 44, 48, 51, 56, 59, 62, 65, 67]","[111.62327159302856, 498.9040131198144, 150.76000064312808, 14.623271593028448, 162.6232715930285, 212.10907453855566, 59.22543250369807, 660.808765837031, 507.62327159302805, 324.80222200784607, 385.06259244967544, 258.75345681394293, 455.493086372114, 173.6232715930284, 539.8437037751623, 26.623271593028704, 587.753456813943, 247.37672840697147, 589.5361116470508, 132.91284005402258, 256.43623384140494, 126.6232715930285, 47.623271593028505]",23,5.670504172849181,144316.01928314887,0.5338722908640174,1.16076094711991e-06,1.0,23,638.1664492613813,14.623271593028448,1164.6232715930282,"[2, 5, 8, 11, 15, 18, 20, 23, 26, 30, 33, 35, 39, 41, 44, 47, 50, 55, 58, 62, 65, 67, 69]","[548.3767284069713, 916.1163579651422, 420.2465431860569, 14.623271593028448, 1036.8698147790856, 938.6232715930286, 1164.6232715930282, 507.62327159302805, 628.2465431860569, 886.8698147790856, 918.2465431860572, 500.6232715930284, 422.3767284069714, 988.1163579651425, 225.75345681394322, 1046.1163579651425, 247.37672840697147, 959.3629011511996, 473.37672840697155, 1048.3905556627433, 126.6232715930285, 47.623271593028505, 611.6232715930287]","[0, 0, 6, 10, 12, 17, 19, 22, 24, 27, 31, 34, 36, 36, 42, 42, 48, 48, 56, 56, 64, 66, 68]","[3, 12, 12, 12, 19, 19, 56, 56, 27, 31, 36, 36, 40, 42, 46, 56, 51, 56, 59, 71, 71, 71, 71]",0.05,30,10748281.313348126,706.0145990095823,-706.0145990095823,DWT,mdp.39015038717792,0.8695652173913043,78.5,25509693.686651874,0.0,2.2737367544323206e-13,0.0,515.9854009904177,0.0,7.485724651662167,172.17166698822984,12.355289869053546,0.0,515.9854009904177,0.9130434782608695,83.0,1.0,92.0,0.0,0.8896683133264065,0.8912773396911813,0.0033583851745942438,0.8685446009389669,0.008974652540447029,,0.7755102040816325,0.38775510204081626,0.7755102040816326,161,1.3321265518204972,0.8370287941002952,8,0,0,0.7755102040816325,0.7755102040816326,276,0,0,0.5323646583343192,0.8185544684615672,8,130.28526394032443,0.7989424939192524,113.25,15.39442231075697,0.8120869877003669,31,db,0.4147093951770858,0.8898546899184091,0.44274701640051717,3,24.0,8.863465517094937e-13,0.8727587451146525,0.9213614923616726,0.004959144359259133,0.868544600938967,0.012007702438134916,,0.0,1.3103412799253533e-10,5.447581274964364e-11,2.3929747072770624e-09,0.9999999999419223,1.0,1.0,1.0,1.0,0.9999999999868536,0.9999999999868536,1.0,1.0,1.700000001217843,0.9999999997384357,245,1.339036486780364,0.6965058595355695,271,18.384776310850235,0.9858142158095291,258.0,257.34496124031006,0.8933700708677275,2,440.3179012345679,383.0,342.64504852117284,324,0.4653896267128742,0.8004157149061285,0.4341025468291495,1,1.75,2
db11,1,periodic,5.550775933981804e-27,325.4825111921073,2386690.2263985802,0.717391304347826,400.1206757963502,72,raw,5.190909430691844e-14,,"[3, 5, 8, 10, 12, 15, 18, 20, 23, 27, 31, 34, 36, 39, 42, 44, 48, 51, 56, 59, 62, 65, 67]","[111.62327159302856, 498.9040131198147, 150.76000064312797, 14.623271593028392, 162.62327159302856, 212.1090745385556, 59.22543250369796, 660.8087658370312, 507.6232715930287, 324.8022220078462, 385.0625924496752, 258.75345681394293, 455.49308637211413, 173.6232715930283, 539.8437037751623, 26.623271593028704, 587.7534568139429, 247.37672840697164, 589.536111647051, 132.9128400540226, 256.4362338414049, 126.62327159302873, 47.623271593028505]",23,5.569489578522487,144378.81987318004,0.5686019223221697,1.16076094711991e-06,1.0,23,638.1664492613813,14.623271593028392,1164.6232715930287,"[2, 5, 8, 11, 15, 18, 20, 23, 26, 30, 33, 35, 39, 41, 44, 47, 50, 55, 58, 62, 65, 67, 69]","[548.3767284069716, 916.1163579651425, 420.2465431860569, 14.623271593028392, 1036.8698147790858, 938.6232715930287, 1164.6232715930287, 507.6232715930287, 628.246543186057, 886.8698147790857, 918.2465431860571, 500.6232715930284, 422.3767284069712, 988.1163579651424, 225.75345681394307, 1046.1163579651425, 247.37672840697164, 959.3629011511994, 473.37672840697155, 1048.3905556627435, 126.62327159302873, 47.623271593028505, 611.6232715930286]","[0, 0, 6, 10, 12, 17, 19, 22, 24, 27, 31, 34, 36, 36, 42, 42, 48, 48, 56, 56, 64, 66, 68]","[3, 12, 12, 12, 19, 19, 56, 56, 27, 31, 36, 36, 40, 42, 46, 56, 51, 56, 59, 71, 71, 71, 71]",0.05,30,10748281.313348126,706.0145990095826,-706.0145990095826,DWT,mdp.39015038717792,0.8695652173913043,78.5,25509693.686651874,5.684341886080802e-14,2.2737367544323206e-13,0.0,515.9854009904174,0.0,7.485724651662167,172.17166698822984,12.355289869053513,0.0,515.9854009904174,0.9130434782608695,83.0,1.0,92.0,0.0,0.9182611316350844,0.8538509013886586,0.002414989530226086,0.770361298224127,0.00898774153401465,,0.7755102040816325,0.38775510204081626,0.7755102040816326,317,1.2908292403437496,0.8110800291141708,15,0,0,0.7755102040816325,0.7755102040816326,240,0,0,0.5107752124624222,0.7853589189197482,16,155.06342788248514,0.7607045866011032,147.0,29.306625577812017,0.7669263673746256,109,db,0.4147093951770858,0.8898546899184091,0.44274701640051717,3,82.5,8.863465517094937e-13,0.9008081112127541,0.8942911535199952,0.004449210930546198,0.7703612982241271,0.012015258631575699,,4.3298697960381105e-15,1.3103412799253533e-10,5.447492457122394e-11,2.3929747072770624e-09,0.9999999999419223,1.0,1.0,1.0,1.0,0.9999999999868503,0.9999999999868503,1.0,1.0,1.7000000012178424,0.9999999997384353,261,1.3028056716954703,0.6776602378878323,333,50.91168824543142,0.9607162899340806,297.0,292.6363636363637,0.865774811633707,3,440.3179012345679,383.0,342.64504852117284,324,0.4653896267128742,0.8004157149061285,0.4341025468291495,1,2.5,3
db14,1,reflect,1.0425585723400892e-26,322.745043523214,2515335.706188816,0.7244897959183674,379.6461542646308,72,raw,7.875181988007774e-14,,"[3, 5, 8, 10, 12, 15, 18, 20, 23, 27, 31, 34, 36, 39, 42, 44, 48, 51, 56, 59, 62, 65, 67]","[111.62327159302848, 498.90401311981475, 150.7600006431281, 14.623271593028392, 162.62327159302848, 212.10907453855555, 59.2254325036979, 660.808765837031, 507.6232715930288, 324.80222200784624, 385.06259244967526, 258.753456813943, 455.493086372114, 173.62327159302853, 539.8437037751625, 26.62327159302879, 587.753456813943, 247.3767284069715, 589.5361116470508, 132.91284005402258, 256.43623384140494, 126.62327159302862, 47.62327159302839]",23,5.543750772920198,141485.71255810946,0.5472200535397032,1.16076094711991e-06,1.0,23,638.1664492613813,14.623271593028392,1164.6232715930282,"[2, 5, 8, 11, 15, 18, 20, 23, 26, 30, 33, 35, 39, 41, 44, 47, 50, 55, 58, 62, 65, 67, 69]","[548.3767284069714, 916.1163579651425, 420.24654318605707, 14.623271593028392, 1036.8698147790853, 938.6232715930281, 1164.6232715930282, 507.6232715930288, 628.2465431860569, 886.8698147790853, 918.2465431860571, 500.62327159302856, 422.37672840697144, 988.1163579651425, 225.75345681394333, 1046.1163579651427, 247.3767284069715, 959.3629011511996, 473.37672840697155, 1048.3905556627437, 126.62327159302862, 47.62327159302839, 611.6232715930287]","[0, 0, 6, 10, 12, 17, 19, 22, 24, 27, 31, 34, 36, 36, 42, 42, 48, 48, 56, 56, 64, 66, 68]","[3, 12, 12, 12, 19, 19, 56, 56, 27, 31, 36, 36, 40, 42, 46, 56, 51, 56, 59, 71, 71, 71, 71]",0.05,30,10748281.31334813,706.0145990095824,-706.0145990095824,DWT,mdp.39015038717792,0.8695652173913043,78.5,25509693.68665187,5.684341886080802e-14,2.2737367544323206e-13,0.0,515.9854009904176,0.0,7.485724651662167,172.17166698822984,12.355289869053511,0.0,515.9854009904176,0.9130434782608695,83.0,1.0,92.0,0.0,0.8907580401422575,0.84431453858608,0.0031002667651948,0.8011880808661491,0.008384755749667624,,0.7754875031213819,0.38774375156069096,0.775487503121382,541,1.2819913614073184,0.8055268336325134,16,0,0,0.7754875031213819,0.775487503121382,392,0,0,0.5095491364218698,0.7834737261182427,17,266.83390589153646,0.5882192810315796,241.5,31.815981794093666,0.6077670479231972,419,db,0.4147093951770858,0.8898546899184091,0.44274701640051717,3,315.0,8.863465517094937e-13,0.8738277599307067,0.88739355428022,0.004819623675328965,0.8011880808661493,0.011667158741005119,,4.3298697960381105e-15,1.3103412799253533e-10,5.4474869060072706e-11,2.3929747072770624e-09,0.9999999999419165,1.0,1.0,1.0,1.0,0.9999999999868525,0.9999999999868525,1.0,1.0,1.7000000012178405,0.9999999997384342,319,1.2955453407793263,0.6738837440617226,344,17.67766952966369,0.986359822893778,331.5,331.02865761689293,0.8652863929283705,4,440.3179012345679,383.0,342.64504852117284,324,0.4653896267128742,0.8004157149061285,0.4341025468291495,1,3.25,4
db15,1,antisymmetric,8.24622599591031e-27,323.7634958300497,2633169.9505146076,0.72,416.1953222682215,72,raw,6.671206796858719e-14,,"[3, 5, 8, 10, 12, 15, 18, 20, 23, 27, 31, 34, 36, 39, 42, 44, 48, 51, 56, 59, 62, 65, 67]","[111.6232715930285, 498.90401311981486, 150.76000064312802, 14.623271593028278, 162.62327159302856, 212.1090745385556, 59.2254325036979, 660.808765837031, 507.6232715930281, 324.8022220078462, 385.06259244967544, 258.75345681394293, 455.493086372114, 173.6232715930284, 539.8437037751623, 26.623271593028676, 587.753456813943, 247.37672840697147, 589.5361116470509, 132.91284005402255, 256.4362338414049, 126.62327159302862, 47.62327159302839]",23,5.666934314280891,148508.20720831852,0.5099313405486053,1.16076094711991e-06,0.9999999999999999,23,638.1664492613813,14.623271593028278,1164.6232715930287,"[2, 5, 8, 11, 15, 18, 20, 23, 26, 30, 33, 35, 39, 41, 44, 47, 50, 55, 58, 62, 65, 67, 69]","[548.3767284069712, 916.1163579651427, 420.2465431860569, 14.623271593028278, 1036.8698147790856, 938.6232715930284, 1164.6232715930287, 507.6232715930281, 628.2465431860569, 886.8698147790856, 918.2465431860572, 500.6232715930284, 422.3767284069714, 988.1163579651425, 225.7534568139432, 1046.1163579651425, 247.37672840697147, 959.3629011511996, 473.37672840697144, 1048.3905556627433, 126.62327159302862, 47.62327159302839, 611.6232715930287]","[0, 0, 6, 10, 12, 17, 19, 22, 24, 27, 31, 34, 36, 36, 42, 42, 48, 48, 56, 56, 64, 66, 68]","[3, 12, 12, 12, 19, 19, 56, 56, 27, 31, 36, 36, 40, 42, 46, 56, 51, 56, 59, 71, 71, 71, 71]",0.05,30,10748281.313348126,706.0145990095824,-706.0145990095824,DWT,mdp.39015038717792,0.8695652173913043,78.5,25509693.686651874,1.7053025658242404e-13,2.2737367544323206e-13,0.0,515.9854009904176,0.0,7.485724651662167,172.17166698822984,12.35528986905351,0.0,515.9854009904176,0.9130434782608695,83.0,1.0,92.0,0.0,0.9009903388810793,0.8899546883223823,0.003727953997329754,0.78169014084507,0.009848394662289782,,0.7755102040816325,0.38775510204081626,0.7755102040816326,158,1.3040509386914474,0.8193877549896195,11,0,0,0.7755102040816325,0.7755102040816326,284,0,0,0.5172423033416303,0.7953026032989591,10,131.97064067435605,0.7963416038975987,115.75,19.924354042457,0.808857530343861,35,db,0.4147093951770858,0.8898546899184091,0.44274701640051717,3,27.0,8.863465517094937e-13,0.8838655774781727,0.920404825835369,0.0051589073092451285,0.7816901408450703,0.012512108254815538,,1.3211653993039363e-14,1.3103412799253533e-10,5.4474758037770243e-11,2.3929747072770624e-09,0.9999999999419223,1.0,1.0,1.0,1.0,0.9999999999868525,0.9999999999868525,1.0,1.0,1.700000001217846,0.9999999997384375,170,1.310782112699431,0.6818092196014348,319,105.35891039679558,0.918704544446917,244.5,221.79959100204502,0.8650235685197547,5,440.3179012345679,383.0,342.64504852117284,324,0.4653896267128742,0.8004157149061285,0.4341025468291495,1,4.0,5
db18,1,smooth,1.0218728863809604e-26,322.8320793984328,189660972.45071697,0.5943396226415094,384.3111631974656,72,raw,7.510041971019942e-14,,"[3, 5, 8, 10, 12, 15, 18, 20, 23, 27, 31, 34, 36, 39, 42, 44, 48, 51, 56, 59, 62, 65, 67]","[111.62327159302856, 498.90401311981475, 150.76000064312802, 14.623271593028335, 162.62327159302873, 212.1090745385555, 59.22543250369807, 660.808765837031, 507.6232715930283, 324.8022220078463, 385.0625924496751, 258.75345681394276, 455.49308637211413, 173.6232715930285, 539.8437037751623, 26.623271593028676, 587.7534568139431, 247.37672840697144, 589.5361116470508, 132.91284005402252, 256.4362338414049, 126.62327159302845, 47.623271593028335]",23,3.6002683197961023,4899225.266870831,0.99023093495885,1.1607609471199103e-06,1.0,23,638.1664492613812,14.623271593028335,1164.6232715930282,"[2, 5, 8, 11, 15, 18, 20, 23, 26, 30, 33, 35, 39, 41, 44, 47, 50, 55, 58, 62, 65, 67, 69]","[548.3767284069714, 916.1163579651425, 420.24654318605707, 14.623271593028335, 1036.8698147790856, 938.6232715930284, 1164.6232715930282, 507.6232715930283, 628.2465431860567, 886.8698147790853, 918.2465431860569, 500.6232715930284, 422.3767284069713, 988.1163579651424, 225.75345681394293, 1046.1163579651422, 247.37672840697144, 959.3629011511994, 473.37672840697184, 1048.3905556627437, 126.62327159302845, 47.623271593028335, 611.6232715930284]","[0, 0, 6, 10, 12, 17, 19, 22, 24, 27, 31, 34, 36, 36, 42, 42, 48, 48, 56, 56, 64, 66, 68]","[3, 12, 12, 12, 19, 19, 56, 56, 27, 31, 36, 36, 40, 42, 46, 56, 51, 56, 59, 71, 71, 71, 71]",0.05,30,10748281.313348126,706.0145990095826,-706.0145990095826,DWT,mdp.39015038717792,0.8695652173913043,78.5,25509693.686651874,1.1368683772161603e-13,2.2737367544323206e-13,1.1368683772161603e-13,515.9854009904174,0.0,7.485724651662281,172.17166698823166,12.35528986905361,0.0,515.9854009904174,0.9130434782608695,83.0,1.0,92.0,0.0,0.8916324817535694,0.12424407145495409,1.0,0.2359819293117191,1.0,,0.7755102040816325,0.38775510204081626,0.7755102040816326,200,1.5914942965043064,1.0,1,0,0,0.7755102040816325,0.7755102040816326,183,0,0,0.6503716965040486,1.0,1,110.20397754467244,0.8299321334187153,96.25,1.9895899868176072,0.8406990914007157,13,db,0.4147093951770858,0.8898546899184091,0.44274701640051717,3,10.5,8.863465517094937e-13,0.8746855813816148,0.36657050995086776,0.5436736051264581,0.23598192931171913,0.5841203856200672,,8.770761894538737e-15,1.3103784723966783e-10,5.4477478084180575e-11,2.393022113800214e-09,0.9999999999419223,1.0,1.0,1.0,1.0,0.9999999999868503,0.9999999999868503,1.0,1.0,1.7000000012178693,0.9999999997384512,125,1.3079743323406123,0.6803487400017278,326,142.12846301849606,0.8903329760659753,225.5,180.70953436807096,0.8581680312428641,6,440.3179012345679,383.0,342.64504852117284,324,0.4653896267128742,0.8004157149061285,0.4341025468291495,1,4.75,6
db14,1,periodization,8.067768128906979e-27,323.8585140798792,2026364.0732909772,0.7361111111111112,451.4856760276479,72,raw,6.463965165595355e-14,,"[3, 5, 8, 10, 12, 15, 18, 20, 23, 27, 31, 34, 36, 39, 42, 44, 48, 51, 56, 59, 62, 65, 67]","[111.62327159302856, 498.9040131198147, 150.7600006431281, 14.623271593028164, 162.6232715930285, 212.10907453855555, 59.22543250369796, 660.808765837031, 507.6232715930281, 324.8022220078461, 385.06259244967526, 258.75345681394305, 455.493086372114, 173.62327159302845, 539.8437037751621, 26.623271593028676, 587.7534568139431, 247.37672840697172, 589.536111647051, 132.9128400540226, 256.43623384140494, 126.6232715930285, 47.62327159302845]",23,5.304220231210504,148971.8086500026,0.5258440464547949,1.16076094711991e-06,1.0,23,638.1664492613813,14.623271593028164,1164.6232715930282,"[2, 5, 8, 11, 15, 18, 20, 23, 26, 30, 33, 35, 39, 41, 44, 47, 50, 55, 58, 62, 65, 67, 69]","[548.3767284069716, 916.1163579651425, 420.24654318605695, 14.623271593028164, 1036.8698147790856, 938.6232715930283, 1164.6232715930282, 507.6232715930281, 628.246543186057, 886.8698147790856, 918.2465431860572, 500.6232715930288, 422.3767284069716, 988.1163579651426, 225.75345681394305, 1046.1163579651425, 247.37672840697172, 959.3629011511995, 473.37672840697167, 1048.3905556627437, 126.6232715930285, 47.62327159302845, 611.6232715930287]","[0, 0, 6, 10, 12, 17, 19, 22, 24, 27, 31, 34, 36, 36, 42, 42, 48, 48, 56, 56, 64, 66, 68]","[3, 12, 12, 12, 19, 19, 56, 56, 27, 31, 36, 36, 40, 42, 46, 56, 51, 56, 59, 71, 71, 71, 71]",0.05,30,10748281.31334813,706.0145990095825,-706.0145990095825,DWT,mdp.39015038717792,0.8695652173913043,78.5,25509693.68665187,2.8421709430404007e-13,2.2737367544323206e-13,0.0,515.9854009904175,0.0,7.485724651662167,172.17166698822984,12.355289869053529,0.0,515.9854009904175,0.9130434782608695,83.0,1.0,92.0,0.0,0.9019449786922615,0.7555672135027914,0.0004955803889868055,0.8516562336984872,0.009945019173064791,,0.7754875031213819,0.38774375156069096,0.775487503121382,531,1.2638388853098668,0.7941209013980572,19,0,0,0.7754875031213819,0.775487503121382,389,0,0,0.5039218050911184,0.7748212411454185,18,261.4094808278129,0.5965903073644863,239.25,35.51102701247643,0.6136886722007616,394,db,0.4147093951770858,0.8898546899184091,0.44274701640051717,3,296.25,8.863465517094937e-13,0.8848020728339855,0.8232030977404325,0.0034117131528766465,0.8516562336984874,0.012567888975522974,,2.19824158875781e-14,1.3103412799253533e-10,5.4475313149282556e-11,2.3929747072770624e-09,0.9999999999419165,1.0,1.0,1.0,1.0,0.9999999999868514,0.9999999999868514,1.0,1.0,1.7000000012178456,0.9999999997384372,176,1.289878298216916,0.6709360063488788,350,123.03657992645927,0.9050643673406951,263.0,234.22053231939165,0.8510661342876314,7,440.3179012345679,383.0,342.64504852117284,324,0.4653896267128742,0.8004157149061285,0.4341025468291495,1,5.5,7
db10,1,reflect,6.235156594866877e-27,324.97757450718143,2415179.309276553,0.7,412.49352960191123,72,raw,5.6646045878652413e-14,,"[3, 5, 8, 10, 12, 15, 18, 20, 23, 27, 31, 34, 36, 39, 42, 44, 48, 51, 56, 59, 62, 65, 67]","[111.62327159302862, 498.90401311981464, 150.76000064312802, 14.623271593028448, 162.62327159302848, 212.10907453855555, 59.22543250369813, 660.808765837031, 507.6232715930282, 324.8022220078463, 385.0625924496752, 258.7534568139432, 455.493086372114, 173.62327159302836, 539.8437037751622, 26.623271593028733, 587.7534568139429, 247.37672840697167, 589.536111647051, 132.91284005402258, 256.43623384140494, 126.62327159302862, 47.62327159302845]",23,5.582988910679192,149087.0480089616,0.5172906403275305,1.16076094711991e-06,1.0,23,638.1664492613813,14.623271593028448,1164.6232715930284,"[2, 5, 8, 11, 15, 18, 20, 23, 26, 30, 33, 35, 39, 41, 44, 47, 50, 55, 58, 62, 65, 67, 69]","[548.3767284069716, 916.1163579651425, 420.246543186057, 14.623271593028448, 1036.8698147790856, 938.6232715930288, 1164.6232715930284, 507.6232715930282, 628.2465431860567, 886.8698147790855, 918.2465431860571, 500.6232715930288, 422.37672840697144, 988.1163579651427, 225.7534568139432, 1046.1163579651425, 247.37672840697167, 959.3629011511995, 473.37672840697155, 1048.3905556627435, 126.62327159302862, 47.62327159302845, 611.6232715930287]","[0, 0, 6, 10, 12, 17, 19, 22, 24, 27, 31, 34, 36, 36, 42, 42, 48, 48, 56, 56, 64, 66, 68]","[3, 12, 12, 12, 19, 19, 56, 56, 27, 31, 36, 36, 40, 42, 46, 56, 51, 56, 59, 71, 71, 71, 71]",0.05,30,10748281.313348128,706.0145990095825,-706.0145990095825,DWT,mdp.39015038717792,0.8695652173913043,78.5,25509693.68665187,0.0,0.0,0.0,515.9854009904175,0.0,7.485724651662167,172.17166698822984,12.355289869053514,0.0,515.9854009904175,0.9130434782608695,83.0,1.0,92.0,0.0,0.9131880781698664,0.8588524749281632,0.0025667470577602435,0.6948356807511733,0.009969037533838194,,0.7754875031213819,0.38774375156069096,0.775487503121382,422,1.260544345208886,0.7920508090903329,21,0,0,0.7754875031213819,0.775487503121382,366,0,0,0.4958824036881603,0.7624599999564609,21,216.56176947928736,0.6657997384578899,207.5,39.86445927510048,0.6727918445375869,235,db,0.4147093951770858,0.8898546899184091,0.44274701640051717,3,177.0,8.863465517094937e-13,0.8958314792366765,0.8979087644014141,0.004531240391685294,0.6948356807511734,0.012581754623725544,,0.0,1.3103412799253533e-10,5.447492457122394e-11,2.3929747072770624e-09,0.9999999999419165,1.0,1.0,1.0,1.0,0.9999999999868514,0.9999999999868514,1.0,1.0,1.7000000012178387,0.9999999997384331,339,1.2716858640887811,0.6614731297995418,380,28.991378028648448,0.977630109545796,359.5,358.33101529902643,0.850119067118577,8,440.3179012345679,383.0,342.64504852117284,324,0.4653896267128742,0.8004157149061285,0.4341025468291495,1,6.25,8
