signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,scales_used,emd_value,kl_divergence,is_complex,change_point_indices,change_point_prominences,num_change_points,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,stft_frequency_max,stft_amplitude_max,stft_spectral_centroid,stft_spectral_bandwidth,stft_spectral_magnitude,stft_variance_magnitude,stft_peak_freq_over_time,stft_num_peaks,stft_peak_amplitude,stft_dominant_frequency,stft_positive_frequencies,stft_positive_amplitudes,stft_snr_threshold,stft_stationarity_threshold,stft_window,stft_nperseg,stft_noverlap,stft_dynamic_cutoff,stft_dynamic_cutoff_percentile,fft_frequency_max,fft_amplitude_max,fft_spectral_centroid,fft_spectral_bandwidth,fft_spectral_magnitude,fft_variance_magnitude,fft_num_peaks,fft_peak_amplitude,fft_dominant_frequency,fft_positive_frequencies,fft_positive_amplitudes,fft_snr_threshold,fft_stationarity_threshold,fft_dynamic_cutoff,fft_dynamic_cutoff_percentile,wavelet_type,htid,stft_amplitude_max_diff,stft_frequency_max_diff,avg_prominence_diff,fft_variance_magnitude_diff,stft_noverlap_diff,prominence_max_diff,stft_spectral_magnitude_diff,upper_envelope_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,stft_num_peaks_diff,fft_peak_amplitude_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,stft_window_diff,stft_nperseg_diff,prominence_threshold_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,stft_dominant_frequency_diff,relative_num_peaks_diff,max_autocorrelation_diff,stft_variance_magnitude_diff,fft_amplitude_max_diff,fft_dominant_frequency_diff,fft_snr_threshold_diff,stft_stationarity_threshold_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,stft_dynamic_cutoff_percentile_diff,lower_envelope_diff,fft_stationarity_threshold_diff,stft_dynamic_cutoff_diff,fft_frequency_max_diff,fft_num_peaks_diff,fft_dynamic_cutoff_percentile_diff,fft_dynamic_cutoff_diff,prominence_min_diff,fft_spectral_centroid_diff,stft_peak_amplitude_diff,fft_spectral_bandwidth_diff,stft_spectral_bandwidth_diff,fft_spectral_magnitude_diff,distance_factor_diff,stft_snr_threshold_diff,stft_spectral_centroid_diff,emd_value_normalized,smoothness_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,relative_num_peaks_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,reconstruction_signal_num_missing_metrics,reconstruction_signal_missing_metrics_count,reconstruction_signal_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,across_emd_value_normalized,across_smoothness_normalized,across_wavelet_psnr_normalized,across_wavelet_entropy_normalized,across_wavelet_energy_entropy_normalized,across_wavelet_sparsity_normalized,across_correlation_normalized,across_avg_variance_across_levels_normalized,across_kl_divergence_normalized,across_prominence_min_diff_normalized,across_avg_prominence_diff_normalized,across_relative_prominences_avg_diff_normalized,across_relative_prominences_wasserstein_normalized,across_relative_prominences_total_diff_normalized,across_prominence_max_diff_normalized,across_relative_num_peaks_diff_normalized,across_max_autocorrelation_diff_normalized,across_relative_right_bases_global_alignment_score_normalized,across_relative_left_bases_global_alignment_score_normalized,across_upper_envelope_diff_normalized,across_lower_envelope_diff_normalized,across_relative_peaks_global_alignment_score_normalized,across_reconstruction_signal_weighted_score,across_reconstruction_signal_normalized_weighted_score,across_reconstruction_signal_normalized_weighted_rank,across_wavelet_signal_weighted_score,across_wavelet_signal_normalized_weighted_score,across_wavelet_signal_normalized_weighted_rank,across_rank_variability,across_normalized_rank_stability,across_average_rank,across_harmonic_average_rank,across_stability_score_weighted,across_stability_rank,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,across_normalized_family_mean_rank,across_normalized_family_std_dev,across_final_family_stability_score,across_final_family_stability_rank,across_family_informed_rank
smoothed,fbsp,17.74905793723059,0.738420245398773,1192.6715497162913,-38.61115731120413,163,80,63387.637672696954,-310227.1951664787,True,"[5, 18, 24, 33, 43, 57, 67, 97, 116, 159]","[5030.81279212443, 3004.2926993406872, 897.1458665479586, 233.53924635445583, 1422.2902382880857, 13667.464202661446, 1798.1095386204543, 183.73062539985403, 1549.6353048945857, 4223.158802596445]",10,12.938205069189497,779639.0044389549,0.02223849246181297,9.096639701786482e-06,0.39089824868597733,6,26088.803921173672,393.28107874085254,102453.74475611043,"[27, 38, 45, 55, 122, 151]","[4011.74208604006, 393.28107874085254, 769.0883495746093, 102453.74475611043, 2436.595109330283, 46468.372147245784]","[0, 32, 0, 0, 104, 104]","[32, 41, 47, 104, 125, 162]",0.05,30,741202010824.4615,93707.97050508938,-93707.97050508938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015067403918,,,25798.613444983195,,,101667.07808944376,,92921.30383842271,0.0,-13.5,,,0.0,-4.5,,,0.0,0.0,-18.0,,15.0,,,,,,,25798.613444983195,150438.82352704203,25798.613444983195,,92921.30383842271,,,,,,,379.61441207418585,,,,,,0.0,,,0.6316145799783497,0.047264865794542386,0.23128789401884003,0.9446008390250665,0.47744362496446807,0.7381209503239744,0.5849250006942316,0.31831764004590646,0.19422190694262625,0.06325225397728756,0.3287816040990946,0.3287816040990946,0.3287816040990947,0.7818767072629116,0.5991339924586594,0.5,,0.16000000000000003,0.7209302325581396,0.3762275661777067,0.3762275661777067,0.3023255813953488,1.5044336357491233,0.5096213621961682,6,1.7876930013406347,0.7401019171473227,4,0,0,0.4055265593587537,0.529855729032885,6,0,0.0,0.46308858908755607,0.7504075103512691,4,1.1547005383792515,0.9175213901157677,5.0,4.800000000000001,0.7801892664864553,1,fbsp,0.07142857142857142,,,4,1.75,0.6308409287770197,0.054702084931641116,0.22540592163706152,0.9240466881154181,1.3566639765804148e-09,0.7381209503239743,0.5945100620635052,0.3183176400459065,0.18494402623458356,0.06325225397728758,0.3651189981944801,0.3651189981944801,0.36499569823016476,0.7851063805622831,0.6028403536984741,0.6666666666666665,,0.11428571428571424,0.7045454545454546,0.37652675884033854,0.37652675884033854,0.3023255813953488,1.601144755074291,0.5394896060889481,7,1.537286873298064,0.6474306509639146,7,0.0,1.0,7.0,7.0,0.875,1,4.0,4.0,4.242640687119285,2,0.1509433962264151,0.2857142857142857,0.8086253369272237,1,1.0
raw,mexh,2662741623.621958,0.6357361963190185,1429.6748576569257,-41.67396655894662,163,80,91256.50949555595,-326758.3566597374,False,"[38, 45, 55, 121, 131, 136, 143, 148]","[181.35059961106163, 595.5640182230854, 146512.73964430552, 18536.542344542126, 458.3673729259972, 265.2566919042438, 654.8702728608841, 7911.164159796077]",8,12.627346018088527,614720.8603033915,0.018403072605016422,6.516094528185744e-07,0.37200386342900515,8,21889.481888021124,181.35059961106163,146512.73964430552,"[38, 45, 55, 121, 131, 136, 143, 148]","[181.35059961106163, 595.5640182230854, 146512.73964430552, 18536.542344542126, 458.3673729259972, 265.2566919042438, 654.8702728608841, 7911.164159796077]","[0, 0, 0, 108, 130, 133, 133, 133]","[39, 46, 162, 162, 133, 138, 146, 162]",0.05,30,1663826925204.1204,165189.3131884399,-165189.3131884399,0.5,125838845286.76797,0.01640609723560493,0.009962089607623102,141788635234.11102,4.2381561170358755e+19,"[0.015625, 0.015625, 0.015625, 0.03125]",5.0,125838845286.76797,0.015625,"[0.0, 0.015625, 0.03125, 0.046875, 0.0625, 0.078125, 0.09375, 0.109375, 0.125, 0.140625, 0.15625, 0.171875, 0.1875, 0.203125, 0.21875, 0.234375]","[7619633358.070144, 125838845286.76797, 4443990728.16514, 2808746551.4547024, 700979881.543281, 207424740.32583034, 30259321.893035, 29605125.583819386, 31388158.86902229, 14799320.01066963, 15258703.280881334, 1278317.6411406668, 8582026.863306625, 3481512.5334102185, 4493693.344860311, 2493859.611542772]",3.0,0.7,tukey,64.0,32.0,53401.16088080075,15.0,0.49079754601226994,14937708.04777562,0.014784950973171361,0.05024682802977082,24994807.30956902,2956253885214.6167,11.0,575239.1164738612,0.03067484662576687,"[0.0, 0.006134969325153374, 0.012269938650306749, 0.018404907975460124, 0.024539877300613498, 0.03067484662576687, 0.03680981595092025, 0.04294478527607362, 0.049079754601226995, 0.05521472392638037, 0.06134969325153374, 0.06748466257668712, 0.0736196319018405, 0.07975460122699386, 0.08588957055214724, 0.09202453987730061, 0.09815950920245399, 0.10429447852760737, 0.11042944785276074, 0.11656441717791412, 0.12269938650306748, 0.12883435582822086, 0.13496932515337423, 0.1411042944785276, 0.147239263803681, 0.15337423312883436, 0.15950920245398773, 0.16564417177914112, 0.17177914110429449, 0.17791411042944785, 0.18404907975460122, 0.1901840490797546, 0.19631901840490798, 0.20245398773006135, 0.20858895705521474, 0.2147239263803681, 0.22085889570552147, 0.22699386503067484, 0.23312883435582823, 0.2392638036809816]","[14937708.04777562, 4436510.012458787, 1759403.0411580373, 678565.1989652261, 446284.15424087236, 575239.1164738612, 357258.2604959556, 122851.69798743569, 173181.6225057735, 154606.87451047252, 157649.84483101408, 104693.73312845119, 54850.50106599742, 96206.05022200623, 44359.14656917172, 30156.635854368113, 59396.75815229623, 36996.53977192217, 25462.740319246837, 17942.836029290225, 37305.55692549131, 50534.334962944406, 12867.694077848628, 22335.635855330056, 14960.323562403224, 14430.24467337577, 13745.598405200932, 14784.873844516773, 14407.082980188208, 15803.44141948658, 17624.23720773512, 16615.90438298507, 16082.316939175262, 16264.237936834865, 12295.649621380928, 3506.843802412854, 21683.484525913627, 18323.864281636026, 16709.45057374735, 18095.7557182547]",3.0,0.7,53401.16088080075,15.0,CWT,mdp.39015067403918,125834554896.08365,0.0,21391.02734256658,2956206300388.694,16.0,145683.73964430552,141771087284.51727,164359.3131884399,0.0,-13.5,3.0,564589.2124842063,0.0,-4.5,,32.0,0.0,0.0,-9.0,0.015625,14.0,,4.238156114293966e+19,14874811.04777562,0.0,0.0,0.39999999999999997,21391.02734256658,164149.855104169,21395.85540659745,0.0,164359.3131884399,0.0,53359.16088080075,0.0,2.0,0.0,53359.16088080075,176.35059961106163,0.14377361063253377,125834554896.08365,0.10363670045860349,0.12741638038325684,24707217.569372896,0.0,0.0,0.15790172502531682,1.0,0.17246960892914662,0.0,0.2757952648115181,1.0000000000000002,0.0,0.7074983644642279,0.2244259464981726,0.0,0.35792971154347364,0.7172438248433672,0.7172438248433672,0.717352728845384,0.8928501276247568,1.0,0.6363636363636364,,0.5806451612903227,0.7045454545454545,0.851198549513653,0.851198549513653,0.3939393939393939,2.501687905557428,0.8786318726422854,2,1.3624082394694632,0.6331327101153287,6,0,0,0.7017092469055385,0.9090942243677743,2,0,0.0,0.37557657607811834,0.7137707184153256,6,2.309401076758503,0.8350427802315354,4.0,2.9999999999999996,0.7746642472586249,1,mexh,0.07692307692307693,,,5,2.0,1.0000000000000002,0.0034236329678892534,0.030258118259674893,0.31093750035248235,1.0,0.015118790496760959,0.5610124538899484,0.2318206853351939,0.04750781439108104,0.029254261328708606,0.2766668615477334,0.2766668615477334,0.2766232925036873,0.8741400554737913,0.9747485071288382,0.5833333333333333,,0.6285714285714286,0.7045454545454546,0.8494279508665445,0.8494279508665445,0.3023255813953488,1.949088982650383,0.6567259107272752,5,1.3168346086676068,0.554586852141928,10,3.5355339059327378,0.8737309319309736,7.5,6.666666666666666,0.8029368945369154,2,12.5,12.5,14.849242404917497,2,0.4716981132075472,1.0,0.36981132075471695,5,2.75
raw,gaus6,538814284.3585263,0.6562883435582823,690.0327920203399,-33.963003397811114,163,80,35795.51007645243,,False,"[27, 34, 44, 56, 65, 102, 122, 152]","[11099.949311946679, 1157.9056893622255, 2918.86025171628, 50739.73931512552, 307.47073206722416, 72496.33866161857, 2446.1901712055733, 47301.28510501306]",8,12.661087866103678,491628.23854956904,0.02523059624201868,6.600704815459328e-07,0.4677949725295436,8,18402.19403792081,81.9061957696249,81903.98484628579,"[27, 34, 44, 56, 65, 104, 122, 152]","[11099.949311946679, 1157.9056893622255, 2918.86025171628, 81903.98484628579, 307.47073206722416, 81.9061957696249, 2446.1901712055733, 47301.28510501306]","[0, 31, 41, 0, 64, 102, 102, 102]","[41, 41, 48, 102, 102, 105, 125, 162]",0.05,30,282722809409.0524,76775.94108824109,-76775.94108824109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015067403918,,,17903.739492466266,,,81074.98484628579,,75945.94108824109,0.0,-18.0,,,0.0,-9.0,,,0.0,0.0,-4.5,,14.0,,,,,,,17903.739492466266,136251.55230336648,17913.42903675164,,75945.94108824109,,,,,,,76.9061957696249,,,,,,0.0,,,0.26421772445290825,0.1750577160330154,0.5066361714603871,0.3457385322974647,0.2020029130452677,0.17391304347826084,0.9216686282323825,0.15861912528555236,,0.15256435936429621,0.5358155403362311,0.5358155403362311,0.5360861198376226,0.7078127367983157,0.43996213477047474,0.6363636363636364,,0.870967741935484,0.49999999999999994,0.26470485576721886,0.26470485576721886,0.1212121212121212,1.6237384990350245,0.5702823261523606,5,1.2113153764918538,0.5629174610844291,8,0,0,0.46383413687407093,0.6009168851006934,4,1,0.11111111111111112,0.3379261762300993,0.6422173930488491,8,2.0615528128088303,0.8527462276565121,6.25,5.714285714285714,0.7031588281139703,4,gaus,0.6153846153846154,1.0,0.26923076923076916,1,3.25,0.2653476909725102,0.0034750085630462745,0.5215644325293847,0.3774867513938167,0.20235319428010742,0.15982721382289472,0.7308392566950945,0.16726055470268286,,0.012621147594522193,0.20668341612519478,0.20668341612519478,0.20672383553025037,0.6929802055983709,0.4288524340607369,0.5833333333333333,,0.8857142857142857,0.5,0.26415423680790295,0.26415423680790295,0.09302325581395346,1.2469009722328164,0.4201307297231827,13,1.1066762523035287,0.4660783480821785,12,0.7071067811865476,0.9747461863861947,12.5,12.48,0.7641588074788117,3,13.5,13.5,7.607014306984487,16,0.5094339622641509,0.5122829905763635,0.4897113292421853,3,3.0
smoothed,gaus6,20.085772771357096,0.6569018404907976,681.365405526993,-34.36620273259783,163,80,35684.49806315654,,False,"[26, 34, 44, 55, 103, 122, 152]","[9630.352585225985, 574.0956298579258, 1841.618528430321, 50436.132812328455, 71449.93711225715, 1430.2297495374155, 48732.27538743429]",7,12.650182412152947,481450.65603691526,0.025289669538491533,1.7646606398181352e-06,0.58331387981629,6,24190.0605299327,574.0956298579258,82931.79129911025,"[26, 34, 44, 55, 122, 152]","[9630.352585225985, 574.0956298579258, 1841.618528430321, 82931.79129911025, 1430.2297495374155, 48732.27538743429]","[0, 32, 41, 0, 103, 103]","[41, 41, 47, 103, 125, 162]",0.05,20,278674929717.2549,75259.4628973604,-75259.4628973604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015067403918,,,23899.870053742223,,,82145.12463244358,,74472.79623069373,0.0,-13.5,,,0.0,-9.0,,,0.0,0.0,-18.0,,15.0,,,,,,,23899.870053742223,139046.3631795962,23899.87005374222,,74472.79623069373,,,,,,,560.4289631912592,,,,,,10.0,,,0.26420080792074185,0.002394625688600883,0.5088143217300028,0.3638960976786995,0.7862786132460982,0.1641468682505405,0.9341198872516465,0.16192257386209127,,0.09349537352297452,0.2884964232553611,0.2884964232553611,0.2884964232553611,0.7067870333359699,0.4326486561748131,0.5,,0.16000000000000003,0.5116279069767442,0.2540446001345381,0.2540446001345381,0.3023255813953488,1.286658984772668,0.43585099995140675,7,1.4644303103289147,0.6062717029100015,6,0,0,0.34003858512008417,0.4442899934914553,8,1,0.11111111111111112,0.3926661688979971,0.6362921677307961,7,0.816496580927726,0.9416788156480196,7.0,6.927835051546392,0.7208394078240098,3,gaus,0.5089285714285714,1.0,0.34375,1,2.5,0.2638771939971253,0.010182109864135935,0.495874466833726,0.355977858568474,2.2342237164627195e-09,0.1641468682505405,0.935641214541326,0.1619225738620913,,0.09349537352297455,0.32701471480746463,0.32701471480746463,0.3268840146267803,0.7111285324834531,0.43789432178514454,0.6666666666666665,,0.11428571428571424,0.5,0.25440239789889707,0.25440239789889707,0.3023255813953488,1.3871553859975707,0.46738804246419896,10,1.0624156643215459,0.44743793568618667,14,2.8284271247461903,0.8989847455447789,12.0,11.666666666666666,0.7352066584866752,4,13.5,13.5,7.607014306984487,16,0.5094339622641509,0.5122829905763635,0.4897113292421853,3,3.75
raw,gaus2,1334117639.3783157,0.6694785276073619,1015.4381056607243,-38.50103909312958,163,80,58399.66164130633,,False,"[28, 39, 45, 56, 105, 122, 127, 150]","[1108.966915337296, 511.44278932861926, 834.1276886776031, 125504.45034206222, 11106.476782887356, 4224.163045536334, 492.2613563785926, 44935.32073414925]",8,12.532943687052665,506477.29002088297,0.01892762727953843,9.349483711376929e-07,0.48448174955726164,7,27324.42372657319,492.2613563785926,139164.68355660464,"[28, 39, 45, 56, 122, 127, 150]","[1108.966915337296, 511.44278932861926, 834.1276886776031, 139164.68355660464, 4224.163045536334, 492.2613563785926, 44935.32073414925]","[0, 0, 0, 0, 105, 126, 105]","[30, 41, 47, 105, 126, 129, 162]",0.05,30,803990297906.5486,126722.74776063704,-126722.74776063704,0.5,217520491950.1942,0.03260687140708362,0.05266377007623389,299676859109.5239,9.633860066213652e+19,"[0.015625, 0.015625, 0.015625, 0.015625]",1.0,217520491950.1942,0.015625,"[0.0, 0.015625, 0.03125, 0.046875, 0.0625, 0.078125, 0.09375, 0.109375, 0.125, 0.140625, 0.15625, 0.171875, 0.1875, 0.203125, 0.21875, 0.234375]","[1.5081570518373077e-21, 217520491950.1942, 37920375566.94902, 12676992057.577862, 8481346929.110957, 4403672198.418737, 3245513574.1547027, 2352129097.0033593, 1802929789.5153368, 1375827407.753961, 1071300022.199918, 970878962.4174552, 843670652.499083, 670099214.3222083, 597467464.4077108, 505746565.1029545]",3.0,0.3,boxcar,64.0,32.0,12710.766041174005,15.0,,,,,,,,,,,,,,,,CWT,mdp.39015067403918,217516201559.5099,0.0,26825.969181118646,,16.0,138335.68355660464,299659311159.9302,125892.74776063704,0.0,-18.5,1.0,,0.0,-9.5,,32.0,0.0,0.0,-5.0,0.015625,15.0,,9.633860063471742e+19,,,,0.0,26825.969181118646,180304.96608601234,26825.96918111865,0.0,125892.74776063704,,12668.766041174005,,,,,487.2613563785926,,217516201559.5099,,0.08471469991464604,,0.0,0.0,0.14170095085383813,0.5640993394508299,0.2591389125013089,0.2084719885195681,0.08010925828415039,0.500812457429781,0.285528877352368,0.9589770117663472,0.1665576098301746,,1.0000000000000002,1.0,1.0,0.9999999999999999,1.0,0.9363060059305005,0.7272727272727273,,0.838709677419355,0.4772727272727272,0.5960290258592074,0.5960290258592074,0.0909090909090909,2.8472537628690513,1.0,1,1.226940926133904,0.5701789017490608,7,0,0,0.7718773567102345,1.0,1,1,0.11111111111111112,0.37240637633626045,0.7077458598607939,7,3.4641016151377544,0.7525641703473033,4.0,1.75,0.7334249423165088,3,gaus,0.6153846153846154,1.0,0.26923076923076916,1,2.5,0.5647687673083123,0.005144074539340579,0.2324221366967883,0.12474721154044507,0.5010315760602703,0.2526997840172786,0.760423025150739,0.175048647027779,,0.08125732815529534,0.3857361359760083,0.3857361359760083,0.38561684005708974,0.9790445545427207,0.9126628814965205,0.6666666666666665,,0.8571428571428572,0.4772727272727273,0.5947892114969453,0.5947892114969453,0.06976744186046507,1.9693350481480374,0.6635476186743957,4,1.0985851108510452,0.4626707518367334,13,6.363961030678928,0.7727156774757526,8.5,6.117647058823529,0.734572124452162,5,13.5,13.5,7.607014306984487,16,0.5094339622641509,0.5122829905763635,0.4897113292421853,3,4.5
raw,gaus4,606113217.886565,0.6566717791411043,716.5275084811085,-34.821458961019445,163,80,39899.32381419449,,False,"[27, 34, 39, 44, 56, 105, 122, 152]","[5532.494975789516, 367.650237558184, 2328.9447964436913, 2659.0616906462383, 69978.95494477982, 63054.34376864879, 2124.7150562669062, 44059.49498033422]",8,12.599497282475989,485158.0569999063,0.022672607562836813,7.647491870386317e-07,0.48869267220420337,7,22797.82273723995,367.650237558184,102512.39742364088,"[27, 34, 39, 44, 56, 122, 152]","[5532.494975789516, 367.650237558184, 2328.9447964436913, 2659.0616906462383, 102512.39742364088, 2124.7150562669062, 44059.49498033422]","[0, 31, 31, 31, 0, 105, 105]","[31, 36, 41, 48, 105, 125, 162]",0.05,30,345057437003.68567,72283.5201606725,-72283.5201606725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015067403918,,,22299.368191785405,,,101683.39742364088,,71453.5201606725,0.0,-18.5,,,0.0,-14.0,,,0.0,0.0,-5.0,,15.0,,,,,,,22299.368191785405,148618.75916067965,22299.368191785405,,71453.5201606725,,,,,,,362.650237558184,,,,,,0.0,,,0.31866162993610436,0.2070774278244948,0.4502327584464552,0.21806779347626148,0.22728831331190746,0.17715768981181024,0.9683918146898237,0.1551600870882558,,0.7426621779260816,0.7645008133987531,0.7645008133987531,0.7643822081142967,0.7898390774337135,0.6185987827243368,0.7272727272727273,,0.838709677419355,0.27272727272727265,0.23490419913478672,0.23490419913478672,0.0909090909090909,2.129229017689877,0.7478184928428534,3,1.1708232624260932,0.5441001336681348,9,0,0,0.5703259199661628,0.7388815269784694,3,1,0.11111111111111112,0.3346991337675836,0.6360845068053057,9,3.4641016151377544,0.7525641703473033,6.0,4.5,0.6619963708879373,5,gaus,0.6153846153846154,1.0,0.26923076923076916,1,4.0,0.3197079850499455,0.004110620492546598,0.46686768065667766,0.25601127056713063,0.22762749550719727,0.16252699784017313,0.7678885147635519,0.16386704695127846,,0.060414818855436384,0.29489558971095037,0.29489558971095037,0.2947586516888958,0.7732876477265234,0.6029782399722639,0.6666666666666665,,0.8571428571428572,0.2727272727272727,0.23441556924059134,0.23441556924059134,0.06976744186046507,1.4589957345612725,0.49159392467759444,9,1.0567985969159195,0.44507229940183407,15,4.242640687119285,0.8484771183171684,12.0,11.250000000000002,0.7099528448728699,6,13.5,13.5,7.607014306984487,16,0.5094339622641509,0.5122829905763635,0.4897113292421853,3,5.25
raw,fbsp,55177666.79129509,0.7328220858895705,1199.4871680003773,-38.14823808239898,163,80,63455.19746387355,-304764.4278982859,True,"[1, 6, 12, 18, 24, 32, 38, 44, 50, 56, 61, 66, 71, 86, 92, 98, 108, 115, 125, 131, 143, 158]","[276.2234366282937, 5527.62990578734, 1911.42575421714, 5426.622588774408, 2463.2470264352887, 4381.005083480908, 2343.693706119084, 6024.399349473373, 428.8531431561423, 17894.672185778167, 1307.267794313273, 3194.9806727730756, 1994.8537408549746, 759.799181561044, 618.0663354064818, 634.4436713584728, 95.02640027131565, 3033.1705452601927, 740.9865161928756, 311.04587099341006, 290.6417207870836, 3506.4554061460803]",22,12.930151147099053,808039.5565720275,0.02236661503043999,8.777254144639485e-08,0.3100614635953539,15,11935.43099452404,44.257718152104644,101056.77240470739,"[15, 27, 32, 38, 44, 50, 56, 64, 71, 80, 89, 104, 122, 131, 152]","[2175.689468293349, 8493.88874924356, 2413.123120154094, 3110.7051718242, 6397.082839538198, 135.8502838785207, 101056.77240470739, 44.257718152104644, 1642.6766650404388, 892.8810178525455, 1901.4655974693194, 201.11174179908994, 4263.31622813359, 396.7336774289579, 45905.91023434527]","[0, 0, 31, 31, 0, 0, 0, 63, 70, 79, 88, 103, 103, 103, 103]","[16, 31, 34, 40, 48, 51, 103, 103, 103, 103, 103, 105, 126, 132, 162]",0.05,30,741746212515.2594,93918.4864226088,-93918.4864226088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015067403918,,,11436.976449069494,,,100227.77240470739,,93088.4864226088,0.0,-14.5,,,0.0,-1.0,,,0.0,0.0,-5.5,,7.0,,,,,,,11436.976449069494,168065.4649178606,11449.502713791046,,93088.4864226088,,,,,,,39.257718152104644,,,,,,0.0,,,0.6311694191572743,0.0,0.23165219955530364,0.9034781387605102,0.020292077260681496,0.8215444516547694,0.5690072222760537,0.3277764861255562,0.19197257944631657,0.07481546082134706,0.19937823555685258,0.19937823555685258,0.19962703039793586,0.9188206760338543,0.6059812182669083,0.0,,0.806451612903226,0.8636363636363635,0.37842062629540135,0.37842062629540135,0.3333333333333333,1.3494043506890638,0.47393188773217354,8,1.5543475492920387,0.722329950623031,5,0,0,0.413188618258123,0.5353034580767414,5,0,0.0,0.4107658415818294,0.7806467402944622,5,1.5,0.8928571428571429,5.75,5.517241379310344,0.7410714285714286,2,fbsp,0.15384615384615385,,,4,2.5,0.6317358451525836,0.0,0.25490095816572034,0.9081618888352008,0.020722120561051174,0.6987041036717061,0.4511955844476476,0.3332132798464267,0.23036019616488498,0.006324047044453282,0.07690739018141468,0.07690739018141468,0.07697954465203263,0.8995663794722063,0.5906792878537835,0.0,,0.8285714285714285,0.8636363636363636,0.377633464417201,0.377633464417201,0.25581395348837205,1.1876953009661233,0.4001819748284899,16,1.4922925987955995,0.6284812453996276,9,4.949747468305833,0.8232233047033631,12.5,11.52,0.6883973666373959,7,4.0,4.0,4.242640687119285,2,0.1509433962264151,0.2857142857142857,0.8086253369272237,1,5.5
