signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,scales_used,emd_value,kl_divergence,is_complex,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,dynamic_cutoff,dominant_frequency,amplitude_max,num_fft_peaks,positive_frequencies,positive_amplitudes,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,max_autocorrelation,upper_envelope,lower_envelope,spectral_magnitude,spectral_centroid,spectral_bandwidth,frequency_max,wavelet_type,htid,max_autocorrelation_diff,frequency_max_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_num_peaks_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,spectral_centroid_diff,lower_envelope_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,spectral_bandwidth_diff,spectral_magnitude_diff,avg_prominence_diff,num_fft_peaks_diff,amplitude_max_diff,prominence_min_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,prominence_max_diff,upper_envelope_diff,dominant_frequency_diff,dynamic_cutoff_diff,emd_value_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,spectral_centroid_diff_normalized,spectral_magnitude_diff_normalized,dynamic_cutoff_diff_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,amplitude_max_diff_normalized,frequency_max_diff_normalized,spectral_bandwidth_diff_normalized,num_fft_peaks_diff_normalized,relative_num_peaks_diff_normalized,dominant_frequency_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,smoothness_normalized,across_emd_value_normalized,across_smoothness_normalized,across_wavelet_psnr_normalized,across_wavelet_entropy_normalized,across_wavelet_energy_entropy_normalized,across_wavelet_sparsity_normalized,across_correlation_normalized,across_avg_variance_across_levels_normalized,across_kl_divergence_normalized,across_prominence_min_diff_normalized,across_avg_prominence_diff_normalized,across_relative_prominences_avg_diff_normalized,across_relative_prominences_wasserstein_normalized,across_spectral_centroid_diff_normalized,across_spectral_magnitude_diff_normalized,across_dynamic_cutoff_diff_normalized,across_relative_prominences_total_diff_normalized,across_prominence_max_diff_normalized,across_amplitude_max_diff_normalized,across_frequency_max_diff_normalized,across_spectral_bandwidth_diff_normalized,across_num_fft_peaks_diff_normalized,across_relative_num_peaks_diff_normalized,across_dominant_frequency_diff_normalized,across_max_autocorrelation_diff_normalized,across_relative_right_bases_global_alignment_score_normalized,across_relative_left_bases_global_alignment_score_normalized,across_upper_envelope_diff_normalized,across_lower_envelope_diff_normalized,across_relative_peaks_global_alignment_score_normalized,across_reconstruction_weighted_score,across_reconstruction_normalized_weighted_score,across_reconstruction_normalized_weighted_rank,across_signal_weighted_score,across_signal_normalized_weighted_score,across_signal_normalized_weighted_rank,across_rank_variability,across_normalized_rank_stability,across_average_rank,across_harmonic_average_rank,across_stability_score_weighted,across_stability_rank,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,across_normalized_family_mean_rank,across_normalized_family_std_dev,across_final_family_stability_score,across_final_family_stability_rank,across_family_informed_rank
raw,mexh,2662741623.621958,0.6357361963190185,1429.6748576569257,-41.67396655894662,163,80,91256.50949555595,-326758.3566597374,False,12.627346018088527,614720.8603033915,0.018403072605016422,6.516094528185744e-07,0.37200386342900515,75942.17519803985,,,,[],[],3,57653.482049547914,7911.164159796077,146512.73964430552,"[55, 121, 148]","[146512.73964430552, 18536.542344542126, 7911.164159796077]","[0, 108, 133]","[162, 162, 162]",1663826925204.1204,165189.3131884399,-165189.3131884399,0.0,,,,CWT,mdp.39015067403918,1663791330315.1204,,0.0,-11.5,19.0,0.0,-20.5,,164359.3131884399,57155.02750409337,161994.44614864374,57155.02750409336,,0.0,57155.02750409337,,,7906.164159796077,0.0,-11.5,145683.73964430552,164359.3131884399,,75573.17519803985,1.0,0.0,0.5811061085456247,1.0,0.0,0.7720930622350111,0.1914507493435842,0.0,0.10535956116749924,0.7740400315601553,0.7740400315601553,0.7740400315601551,,0.0,1.0,0.8967677153265445,1.0,,,,,0.6000000000000001,,1.0000000000000002,0.625,0.625,0.8243317964200664,0.8243317964200664,0.08695652173913043,3.388751777333514,1.0,1,1.4759705789042503,0.746939389551946,2,0,0.6606578323835849,1.0,1,0.0,0.4430812400155275,0.6633696516169735,2,0.5773502691896257,0.9422649730810374,1.5,1.3333333333333333,0.8961324865405187,1,mexh,0.1,,,2,1.25,,1.0,0.030064299956722496,0.06897007724334692,0.635079445560021,0.9983985151925333,0.09523809523809645,0.6158228865479108,0.1948335324843039,1.0,0.039708762704591484,0.46037627765635936,0.46037627765635936,0.46037627765635925,,0.0,0.9999999999999999,0.866831344603004,0.9352352466381227,,,,,0.7142857142857143,,0.9943891377836582,0.6249999999999999,0.6249999999999999,0.8244773266056395,0.8244773266056395,0.07142857142857142,3.079270073856749,0.9334993755451859,2,1.9294981224174266,0.8856624450669176,3,0.7071067811865476,0.9646446609406726,2.5,2.4000000000000004,0.9198223304703363,1,1.5,1.5,0.7071067811865476,2,0.08333333333333333,0.1391328895748428,0.8999267997942137,1,1.0
smoothed,mexh,2666571149.0047655,0.6299079754601227,1398.382468656607,-42.580092327690124,163,80,90979.78147467315,-331716.5658407311,False,12.60542144645071,624800.212719633,0.018763045895388908,8.958686472398211e-06,0.5318908754602708,75121.9432126538,,,,[],[],2,85283.48752891249,16502.327417322245,154064.64764050272,"[56, 120]","[154064.64764050272, 16502.327417322245]","[0, 108]","[162, 162]",1672663948119.8591,165719.23478238596,-165719.23478238596,0.0,,,,CWT,mdp.39015067403918,1672634545362.6592,,0.0,-17.0,16.0,0.0,-17.0,,164969.43478238597,85077.33197335694,166856.175057825,85077.33197335692,,0.0,85077.33197335694,,,16496.327417322245,0.0,-17.0,153314.84764050273,164969.43478238597,,74735.1432126538,1.0,0.0,0.5589875530699966,0.9999999999999999,0.0,0.8186224605171779,0.20029240438479678,0.0,0.1262537558447299,0.8086855568581537,0.8086855568581537,0.8086855568581536,,0.0,1.0,0.8957021269243279,0.9999999999999999,,,,,0.6666666666666666,,1.0,0.3333333333333333,0.3333333333333333,0.8291454150345445,0.8291454150345445,0.04999999999999999,3.388535690735072,1.0,1,1.787059722495788,0.8310619193952473,2,0,0.6326424477830627,1.0,1,0.0,0.5086558242191078,0.7746115594268338,2,0.5773502691896257,0.9422649730810374,1.5,1.3333333333333333,0.8961324865405187,1,mexh,0.1,,,2,1.25,1.0,0.9961989545342365,1.0,0.0,0.5589875530699965,1.0,0.0,0.818622460517178,0.20029240438479678,0.0,0.13140756607830192,0.8323300094138828,0.8323300094138828,0.8323300094138826,,0.0,0.9888565763379596,0.8984078818691965,1.0,,,,,0.28571428571428575,,1.0,0.28124999999999994,0.28124999999999994,0.8291454150345448,0.8291454150345448,0.3214285714285714,3.2986311019848102,1.0,1,1.7859194088560593,0.8197581184262653,4,2.1213203435596424,0.8939339828220179,2.5,1.6,0.8844669914110089,2,1.5,1.5,0.7071067811865476,2,0.08333333333333333,0.1391328895748428,0.8999267997942137,1,1.75
smoothed,gaus2,1335343849.0334272,0.6646472392638036,983.3922054930213,-39.38020317534069,163,80,58033.23338434555,,False,12.492151321104325,506231.0032903692,0.02009187128166578,5.216225080179341e-06,0.674888773680146,51188.25221733646,,,,[],[],2,93104.3789315663,49145.882408078614,137062.875455054,"[55, 150]","[137062.875455054, 49145.882408078614]","[0, 105]","[105, 162]",803239473262.39,127110.53031364664,-127110.53031364664,0.0,,,,CWT,mdp.39015067403918,803210070505.1901,,0.0,-17.0,16.0,0.0,-12.5,,126360.73031364664,92898.22337601075,182497.95786313261,92898.22337601075,,0.0,92898.22337601075,,,49139.882408078614,0.0,-17.0,136313.075455054,126360.73031364664,,50801.45221733646,0.5457303057422389,0.25751724819677246,0.16586980634410609,0.4432886368215891,0.5741444866920145,0.9999999999999999,0.1360765600638761,,0.47678681197809686,0.9275594087463576,0.9275594087463576,0.9275594087463577,,0.0,0.6780870970202884,1.0,0.8557069847715262,,,,,0.6666666666666666,,0.44836567812536543,0.3333333333333333,0.3333333333333333,0.5337471724975495,0.5337471724975495,0.5,3.1157515937560936,0.9194979419208055,2,1.432000314245907,0.6659435690653622,4,0,0.6094968317641855,0.9634143802712176,2,0.11111111111111112,0.4368991721436723,0.6653362311658547,3,0.9574271077563381,0.9042572892243662,2.75,2.5263157894736845,0.8146286446121831,2,gaus,0.55,1.0,0.31499999999999995,1,1.75,0.41701077773322603,0.5436559600380677,0.5630295828736116,0.24356067294468486,0.16586980634410603,0.4432886368215892,0.5676691729323303,1.0,0.1360765600638761,,0.4798729957537697,0.9365123037545813,0.9365123037545813,0.9365123037545812,,0.0,0.6706070784571406,1.0,0.8557069847715263,,,,,0.28571428571428575,,0.44836567812536543,0.28124999999999994,0.28124999999999994,0.5337471724975495,0.5337471724975495,0.6428571428571428,2.9867688546384334,0.905457070613708,3,1.4642195814216448,0.6720940951069775,6,2.1213203435596424,0.8939339828220179,4.5,4.0,0.834466991411009,3,10.6875,10.5,5.082240319649069,16,0.59375,1.0,0.284375,2,2.75
smoothed,gaus3,792177529.8022847,0.6797546012269938,917.8242987114977,-37.09640346942808,163,80,44109.76714377204,,False,12.637036177698866,763238.8504919754,0.029438215168412895,3.7080161349624105e-06,0.0650341611694375,0.0,,,,[],[],1,97870.35553903409,97870.35553903409,97870.35553903409,[75],[97870.35553903409],[5],[116],469419876884.1259,109231.86914229815,-109231.86914229815,0.0,,,,CWT,mdp.39015067403918,469390474126.9259,,0.0,-17.5,17.0,0.0,-17.5,,108482.06914229815,97664.19998347854,94159.55553903409,97664.19998347854,,0.0,97664.19998347854,,,97864.35553903409,0.0,-17.5,97120.55553903409,108482.06914229815,,386.8,0.35375241674541036,0.44131043217859967,0.6687103230732326,0.21613970288800788,0.823827629911279,0.22646465132402926,0.2752693233840977,,1.0,1.0,1.0,1.0,,0.0,0.0,0.41096820049309707,0.5230824317896536,,,,,1.0,,0.23656309837077966,0.0,0.0,0.3969561259809036,0.3969561259809036,0.0,2.3440893157191263,0.6917705846004016,3,1.398181615512266,0.6502163763323865,5,0,0.4643017321743559,0.7339085984530207,3,0.11111111111111112,0.392887077862985,0.5983119775131167,5,1.1547005383792515,0.8845299461620748,4.0,3.75,0.7422649730810373,3,gaus,0.55,1.0,0.31499999999999995,1,2.5,0.18206658784366794,0.35240778772573733,0.3869308545673052,0.4173928798617714,0.6687103230732325,0.21613970288800793,0.8145363408521296,0.22646465132402938,0.27526932338409776,,0.9999999999999999,1.0,1.0,1.0,,0.0,0.00023668898639106484,0.4262491995892558,0.5230824317896536,,,,,0.4285714285714286,,0.23656309837077966,0.24999999999999994,0.24999999999999994,0.3969561259809036,0.3969561259809036,0.2857142857142857,2.2304195883318294,0.6761652089528197,6,1.4411704598096984,0.6615142758439739,7,0.7071067811865476,0.9646446609406726,6.5,6.461538461538462,0.8198223304703363,4,10.6875,10.5,5.082240319649069,16,0.59375,1.0,0.284375,2,3.5
smoothed,gaus4,586433660.1774879,0.655521472392638,691.754439614251,-35.543058409840576,163,80,39236.279849913284,,False,12.558119323899788,464694.6881965113,0.022676124711066167,3.825438806448742e-06,0.6689334667682882,26857.323655192613,,,,[],[],2,76643.91044228166,47691.26936990357,105596.55151465976,"[54, 151]","[105596.55151465976, 47691.26936990357]","[0, 104]","[104, 162]",332529283981.32324,72343.00944957935,-72343.00944957935,0.0,,,,CWT,mdp.39015067403918,332499881224.1232,,0.0,-17.0,16.0,0.0,-17.0,,71593.20944957934,76437.7548867261,149577.02088456333,76437.7548867261,,0.0,76437.7548867261,,,47685.26936990357,0.0,-17.0,104846.75151465976,71593.20944957934,,26470.523655192614,0.28655637615018187,0.5663188703463178,0.39481978353937053,0.13009883659350807,0.42332065906210375,0.9924463301350279,0.11358092602388414,,0.4611668847395554,0.6773680696182233,0.6773680696182233,0.6773680696182234,,0.0,0.3508312697780906,0.7804864222153806,0.5886541910985613,,,,,0.6666666666666666,,0.1497084588124285,0.3333333333333333,0.3333333333333333,0.11471655145060748,0.11471655145060748,0.04999999999999999,2.072041452944074,0.6114857986030502,5,1.3600642112585881,0.6324900951439856,6,0,0.3983811914488823,0.6297098666788952,5,0.11111111111111112,0.3828819588636176,0.5830755829584117,6,0.5773502691896257,0.9422649730810374,5.5,5.454545454545455,0.6961324865405187,4,gaus,0.55,1.0,0.31499999999999995,1,3.25,0.20035833350299093,0.28546716233593056,0.4006411452990035,0.5356262779626566,0.3948197835393704,0.1300988365935081,0.418546365914787,0.992446330135028,0.11358092602388414,,0.4643452029780522,0.7172419821446248,0.7172419821446248,0.7172419821446248,,0.0,0.3470754593938148,0.786181168724023,0.5886541910985614,,,,,0.28571428571428575,,0.14970845881242847,0.28124999999999994,0.28124999999999994,0.11471655145060748,0.11471655145060748,0.3214285714285714,2.001339032989663,0.6067180509470862,8,1.3994970179639932,0.6423856734521876,10,1.4142135623730951,0.9292893218813453,9.0,8.88888888888889,0.7396446609406726,5,10.6875,10.5,5.082240319649069,16,0.59375,1.0,0.284375,2,4.25
raw,gaus1,2125443097.452324,0.6911042944785276,1523.2798669945284,-41.44675550095074,163,80,85960.40115791796,,False,12.723254792162948,2065443.4731055852,0.026867885269426343,9.903746785835175e-07,-0.07120295507024324,50584.00405201765,,,,[],[],1,39497.458363946425,39497.458363946425,39497.458363946425,[98],[39497.458363946425],[4],[115],1566577696097.555,187620.99174044598,-187620.99174044598,0.0,,,,CWT,mdp.39015067403918,1566542101208.555,,0.0,-21.5,21.0,0.0,-21.5,,186790.99174044598,38999.00381849188,28531.458363946425,38999.00381849188,,0.0,38999.00381849188,,,39492.458363946425,0.0,-21.5,38668.458363946425,186790.99174044598,,50215.00405201765,0.9272291221791946,0.01857539492692495,1.0,0.7734211736321777,1.0,0.0,1.0,,1.0,0.367401163899284,0.367401163899284,0.3674011638992839,,0.0,0.6628089985796007,0.0,0.0,,,,,1.0,,0.9377937459865849,0.0,0.0,0.9999999999999999,0.9999999999999999,0.0,2.2309624197924487,0.6583434156242368,4,1.9760245604260018,1.0,1,0,0.4468537490842692,0.6763769793995589,4,0.125,0.6679250986768996,1.0,1,1.7320508075688772,0.8267949192431123,2.5,1.6,0.7883974596215562,2,gaus,0.55,1.0,0.31499999999999995,1,1.75,,0.9272543903622352,0.06961858428900695,0.08626432574733611,0.967942511086607,0.7737034575235024,1.0,0.0536624406803905,0.9805297339262311,,0.37688807987215334,0.21851942192400836,0.21851942192400836,0.21851942192400833,,0.0,0.6628089985796008,0.0,0.02700300807876932,,,,,1.0,,0.932686236493899,0.0,0.0,0.9961038681484299,0.9961038681484299,0.0,1.9194245725287602,0.58188518606213,9,2.035320341991478,0.934236094681533,2,4.949747468305833,0.7525126265847084,5.5,3.2727272727272725,0.7387563132923542,6,10.6875,10.5,5.082240319649069,16,0.59375,1.0,0.284375,2,5.0
raw,gaus6,538814284.3585263,0.6562883435582823,690.0327920203399,-33.963003397811114,163,80,35795.51007645243,,False,12.661087866103678,491628.23854956904,0.02523059624201868,6.600704815459328e-07,0.4677949725295436,0.0,0.024539877300613498,1110041.5155564817,9.0,"[0.0, 0.006134969325153374, 0.012269938650306749, 0.018404907975460124, 0.024539877300613498, 0.03067484662576687, 0.03680981595092025, 0.04294478527607362, 0.049079754601226995, 0.05521472392638037, 0.06134969325153374, 0.06748466257668712, 0.0736196319018405, 0.07975460122699386, 0.08588957055214724, 0.09202453987730061, 0.09815950920245399, 0.10429447852760737, 0.11042944785276074, 0.11656441717791412, 0.12269938650306748, 0.12883435582822086, 0.13496932515337423, 0.1411042944785276, 0.147239263803681, 0.15337423312883436, 0.15950920245398773, 0.16564417177914112, 0.17177914110429449, 0.17791411042944785, 0.18404907975460122, 0.1901840490797546, 0.19631901840490798, 0.20245398773006135, 0.20858895705521474, 0.2147239263803681, 0.22085889570552147, 0.22699386503067484, 0.23312883435582823, 0.2392638036809816, 0.24539877300613497, 0.25153374233128833, 0.25766871165644173, 0.2638036809815951, 0.26993865030674846, 0.27607361963190186, 0.2822085889570552, 0.2883435582822086, 0.294478527607362, 0.3006134969325153, 0.3067484662576687, 0.3128834355828221, 0.31901840490797545, 0.32515337423312884, 0.33128834355828224, 0.3374233128834356, 0.34355828220858897, 0.34969325153374237, 0.3558282208588957, 0.3619631901840491, 0.36809815950920244, 0.37423312883435583, 0.3803680981595092, 0.38650306748466257, 0.39263803680981596, 0.39877300613496935, 0.4049079754601227, 0.4110429447852761, 0.4171779141104295, 0.4233128834355828, 0.4294478527607362, 0.43558282208588955, 0.44171779141104295, 0.44785276073619634, 0.4539877300613497, 0.4601226993865031, 0.46625766871165647, 0.4723926380368098, 0.4785276073619632, 0.4846625766871166, 0.49079754601226994]","[1922927.4751883578, 3288257.744703636, 2715100.4983831984, 615324.0505724188, 747588.4065214958, 1110041.5155564817, 518182.79920732626, 123283.32015481222, 347758.0764679489, 270503.7360985762, 259111.3953161023, 233116.86048061846, 165796.01180524376, 184932.11196926396, 116396.95375281852, 90903.34022544895, 136435.80762291682, 107508.2533441566, 91352.6279650761, 55064.33867497191, 71612.86970979322, 107383.56981941196, 63951.32150645882, 65931.28991606037, 69793.94625565724, 60729.27634285696, 43534.077998312176, 42925.692698237515, 54757.45756422352, 58272.31054551755, 42798.131122570354, 53584.36905523959, 54405.905169364916, 55412.50539925735, 48674.670866480315, 32259.52418461893, 61367.91350014255, 56064.04391235598, 48921.70947480162, 43897.17478914671, 44433.46417462516, 31251.685602640777, 34503.65072797456, 42627.21116156316, 38638.505134283696, 39568.01592561058, 39223.28771485713, 35239.597597839354, 38747.67339958389, 36972.99701043458, 34412.975916191725, 36268.701322774934, 36526.14394688945, 37052.68863508159, 32628.527446232863, 25203.37385833329, 36495.38440336713, 29758.897497133374, 34262.16737122737, 32367.253203372744, 30885.174937758078, 36861.14446549663, 31132.934958652644, 31418.619405298516, 29717.758259103284, 32167.345218291488, 28410.296755964166, 25057.601510336994, 31798.797697224018, 25478.483819316472, 31429.52394334793, 28432.256212206903, 29039.8287242071, 26088.999713500783, 31564.96931576632, 29930.100099795272, 29275.073957917055, 25166.79535501065, 31171.3560671475, 26980.3983110553, 30086.70609982563]",3,46768.40642108184,11099.949311946679,81903.98484628579,"[27, 56, 152]","[11099.949311946679, 81903.98484628579, 47301.28510501306]","[0, 0, 102]","[41, 102, 162]",282722809409.0524,76775.94108824109,-76775.94108824109,15574139.450718617,0.06247017923315152,0.10488857300602684,0.49079754601226994,CWT,mdp.39015067403918,282687214520.0524,,0.0,-11.5,19.0,0.0,-20.5,,75945.94108824109,46269.951875627296,129339.21926324553,46269.951875627296,,15574139.450718617,46269.951875627296,,,11094.949311946679,0.0,-11.5,81074.98484628579,75945.94108824109,,369.0,0.23794126644559246,0.630401474507715,0.7284779643151611,0.10433969128568657,0.3711911357340722,0.9389669632520554,0.12284600974547247,,0.19567772668017674,0.5302479488546984,0.5302479488546984,0.5302479488546984,,0.7239400793492959,0.0,0.6773499299647351,0.3962660843851129,,,,,0.6000000000000001,,0.11656560946125749,0.625,0.625,0.13194409956190312,0.13194409956190312,0.08695652173913043,2.000550275660999,0.5903501959164326,5,1.4392337359313707,0.7283481009067484,3,0,0.39342586648450745,0.5955062472582331,5,0.125,0.44148778646939363,0.6609839746162283,3,1.1547005383792515,0.8845299461620748,4.0,3.75,0.7422649730810373,3,gaus,0.55,1.0,0.31499999999999995,1,2.5,,0.23820587558792647,0.031052211083875153,0.6558927133599451,0.7521846330180546,0.11018469599073509,0.43107769423558984,0.7373236630577251,0.1281678553355235,,0.07374860268223984,0.31537590689800665,0.31537590689800665,0.31537590689800665,,0.7239400793492959,0.0,0.654738278958092,0.3869046409650101,,,,,0.7142857142857143,,0.11810321026847415,0.6249999999999999,0.6249999999999999,0.1480196444703935,0.1480196444703935,0.07142857142857142,1.8044078675064013,0.5470171752217688,11,1.4241254035734379,0.6536903935571148,8,2.1213203435596424,0.8939339828220179,9.5,9.263157894736842,0.709466991411009,7,10.6875,10.5,5.082240319649069,16,0.59375,1.0,0.284375,2,5.75
raw,gaus2,1334117639.3783157,0.6694785276073619,1015.4381056607243,-38.50103909312958,163,80,58399.66164130633,,False,12.532943687052665,506477.29002088297,0.01892762727953843,9.349483711376929e-07,0.48448174955726164,54384.5451760562,,,,[],[],3,62774.72244543008,4224.163045536334,139164.68355660464,"[56, 122, 150]","[139164.68355660464, 4224.163045536334, 44935.32073414925]","[0, 105, 105]","[105, 126, 162]",803990297906.5486,126722.74776063704,-126722.74776063704,0.0,,,,CWT,mdp.39015067403918,803954703017.5486,,0.0,-16.0,19.0,0.0,-20.5,,125892.74776063704,62276.26789997554,177358.16733629024,62276.26789997553,,0.0,62276.26789997554,,,4219.163045536334,0.0,-16.0,138335.68355660464,125892.74776063704,,54015.5451760562,0.5485323357556608,0.2593992619545262,0.1687918005836438,0.43971917217018036,0.6094182825484755,0.9680363372697873,0.13112201601582243,,0.000930080661874208,0.8887400028568521,0.8887400028568521,0.888740002856852,,0.0,0.7133453034327601,1.0,0.931336384862173,,,,,0.6000000000000001,,0.44999856411098327,0.34375,0.34375,0.5230902985568672,0.5230902985568672,0.08695652173913043,2.8828625767432605,0.8507151795613902,2,1.3078853986099601,0.6618770964709059,6,0,0.5454978306994143,0.8256888875915006,2,0.125,0.44018131518544235,0.65902795995749,4,1.9148542155126762,0.8085145784487324,3.5,2.8235294117647056,0.7292572892243663,4,gaus,0.55,1.0,0.31499999999999995,1,3.25,,0.5486890985695585,0.06314699937573741,0.31047855206400227,0.30744467382297364,0.4427758432147766,0.646616541353383,0.75848905497511,0.13620994638247527,,0.00035053631477999225,0.528596451910694,0.528596451910694,0.5285964519106939,,0.0,0.7133453034327601,0.9666174749470774,0.8728727377539163,,,,,0.7142857142857143,,0.44883813417287666,0.34374999999999994,0.34374999999999994,0.5301666010798025,0.5301666010798025,0.07142857142857142,2.5574954331992945,0.7753202325838834,4,1.3614744362252524,0.6249328590030608,11,4.949747468305833,0.7525126265847084,7.5,5.866666666666666,0.6887563132923542,8,10.6875,10.5,5.082240319649069,16,0.59375,1.0,0.284375,2,6.5
raw,gaus4,606113217.886565,0.6566717791411043,716.5275084811085,-34.821458961019445,163,80,39899.32381419449,,False,12.599497282475989,485158.0569999063,0.022672607562836813,7.647491870386317e-07,0.48869267220420337,28834.62415749105,,,,[],[],3,50701.46245992154,5532.494975789516,102512.39742364088,"[27, 56, 152]","[5532.494975789516, 102512.39742364088, 44059.49498033422]","[0, 0, 105]","[31, 105, 162]",345057437003.68567,72283.5201606725,-72283.5201606725,0.0,,,,CWT,mdp.39015067403918,345021842114.68567,,0.0,-16.0,19.0,0.0,-20.5,,71453.5201606725,50203.007914466994,141138.3873797646,50203.007914467,,0.0,50203.007914466994,,,5527.494975789516,0.0,-11.5,101683.39742364088,71453.5201606725,,28465.62415749105,0.29432948758265476,0.5602193660554953,0.45947317823866063,0.13271965629935362,0.3781163434903043,0.975372019000319,0.11923990310770127,,0.03798687006094467,0.6183362594768568,0.6183362594768568,0.6183362594768569,,0.0,0.3736045782498439,0.7566311839680854,0.588840568428799,,,,,0.6000000000000001,,0.15643845692346542,0.34375,0.625,0.09676280395617165,0.09676280395617165,0.08695652173913043,1.898627514262846,0.5602734100981592,7,1.3096181894164305,0.662754003995829,5,0,0.37451617104754553,0.5668837220870144,6,0.125,0.4108171362534984,0.6150646787600746,6,0.816496580927726,0.9183503419072274,6.0,5.91549295774648,0.6591751709536138,5,gaus,0.55,1.0,0.31499999999999995,1,4.0,,0.2945745170808277,0.04327451421798317,0.590551070348776,0.5384270214571325,0.13832871093518095,0.43734335839599037,0.7638301599714954,0.12466367264660115,,0.01431679851762243,0.3677682469524689,0.3677682469524689,0.367768246952469,,0.0,0.37360457824984383,0.7313729245134484,0.5618069956974195,,,,,0.7142857142857143,,0.157653419650503,0.34374999999999994,0.6249999999999999,0.11364777768541331,0.11364777768541331,0.07142857142857142,1.6898395319422814,0.5122850902986674,15,1.3243980942007003,0.6079143797674028,13,1.4142135623730951,0.9292893218813453,14.0,13.928571428571429,0.6146446609406726,9,10.6875,10.5,5.082240319649069,16,0.59375,1.0,0.284375,2,7.25
smoothed,gaus1,2162337078.4560413,0.6904141104294479,1550.6086845421164,-42.44792629476788,163,80,87582.63124692693,,False,12.732491606877502,2101393.6981654167,0.026651512353611122,6.036494136792904e-06,-0.11351037776725982,53010.75107985631,,,,[],[],1,36236.54516078041,36236.54516078041,36236.54516078041,[96],[36236.54516078041],[4],[114],1609950211699.129,188050.01820684812,-188050.01820684812,0.0,,,,CWT,mdp.39015067403918,1609920808941.929,,0.0,-17.5,17.0,0.0,-17.5,,187300.21820684813,36030.38960522486,32525.745160780414,36030.38960522485,,0.0,36030.38960522486,,,36230.54516078041,0.0,-17.5,35486.74516078041,187300.21820684813,,52623.951079856306,0.9531598153750436,0.010636316285590919,1.0,0.7891323016120364,1.0,0.0,1.0,,0.3381637533304365,0.06319522046757131,0.06319522046757131,0.06319522046757109,,0.0,0.7026000691158072,0.0,0.0,,,,,1.0,,0.9602092528297579,0.0,0.0,1.0,1.0,0.0,1.7897294853927277,0.5281719446798813,7,2.1503328221273903,1.0,1,0,0.34603724911191436,0.5469712794715489,7,0.11111111111111112,0.6566592223274885,1.0,1,3.4641016151377544,0.6535898384862245,4.0,1.75,0.6267949192431123,5,gaus,0.55,1.0,0.31499999999999995,1,4.0,0.5447897897916821,0.9495368115806642,0.6588043349043295,0.010059863447249628,1.0,0.7891323016120365,0.9887218045112787,0.0,1.0,,0.3420676080752797,0.17897443608702043,0.17897443608702043,0.1789744360870203,,0.0,0.6948410901688648,0.025942570687950806,0.0,,,,,0.4285714285714286,,0.9602092528297579,0.24999999999999994,0.24999999999999994,1.0,1.0,0.2857142857142857,1.7827651603156174,0.5404560574363453,13,2.1785931346243776,1.0,1,8.48528137423857,0.5757359312880715,7.0,1.8571428571428572,0.6128679656440358,10,10.6875,10.5,5.082240319649069,16,0.59375,1.0,0.284375,2,8.0
