signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,decomposition_levels,original_level,padded,emd_value,kl_divergence,change_point_indices,change_point_prominences,num_change_points,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,wavelet_type,htid,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,max_autocorrelation_diff,prominence_min_diff,prominence_max_diff,avg_prominence_diff,upper_envelope_diff,prominence_threshold_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,distance_factor_diff,lower_envelope_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,relative_num_peaks_diff,emd_value_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,relative_num_peaks_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_right_bases_array_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,relative_left_bases_array_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_array_alignment_score_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,reconstruction_signal_num_missing_metrics,reconstruction_signal_missing_metrics_count,reconstruction_signal_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,smoothness_normalized,across_emd_value_normalized,across_smoothness_normalized,across_wavelet_psnr_normalized,across_wavelet_entropy_normalized,across_wavelet_energy_entropy_normalized,across_wavelet_sparsity_normalized,across_correlation_normalized,across_avg_variance_across_levels_normalized,across_kl_divergence_normalized,across_prominence_min_diff_normalized,across_avg_prominence_diff_normalized,across_relative_prominences_avg_diff_normalized,across_relative_prominences_wasserstein_normalized,across_relative_prominences_total_diff_normalized,across_prominence_max_diff_normalized,across_relative_num_peaks_diff_normalized,across_max_autocorrelation_diff_normalized,across_relative_right_bases_global_alignment_score_normalized,across_relative_right_bases_array_alignment_score_normalized,across_relative_left_bases_global_alignment_score_normalized,across_relative_left_bases_array_alignment_score_normalized,across_upper_envelope_diff_normalized,across_lower_envelope_diff_normalized,across_relative_peaks_array_alignment_score_normalized,across_relative_peaks_global_alignment_score_normalized,across_reconstruction_signal_weighted_score,across_reconstruction_signal_normalized_weighted_score,across_reconstruction_signal_normalized_weighted_rank,across_wavelet_signal_weighted_score,across_wavelet_signal_normalized_weighted_score,across_wavelet_signal_normalized_weighted_rank,across_rank_variability,across_normalized_rank_stability,across_average_rank,across_harmonic_average_rank,across_stability_score_weighted,across_stability_rank,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,across_normalized_family_mean_rank,across_normalized_family_std_dev,across_final_family_stability_score,across_final_family_stability_rank,across_family_informed_rank,across_top_wavelet_rank
raw,rbio1.5,3624544.990493858,0.6299303944315545,160.78349001684404,22.042310940605027,862,1,False,False,75.00680096133217,,"[9, 37, 79, 125, 176, 213, 245, 278, 331, 370, 417, 457, 508, 564, 615, 652, 683, 733, 768, 801, 851]","[303.5693236640256, 821.9660563261589, 907.1058309577611, 633.0960892497545, 847.7693698379596, 419.0440692349857, 1053.5211509955047, 732.6109700717643, 801.0590954605685, 635.5153066840036, 796.5260095365621, 725.9257445760888, 730.3743637915079, 672.5136127941455, 703.236497093028, 418.0486484454368, 718.5199782744646, 920.7278283342869, 309.0376421171503, 614.130531662252, 464.63212578693134]",21,9.464451626428358,49707.279530713044,1.0,2.2545930713079824e-06,0.9854617026196308,20,1177.3689366147478,463.71390491997386,1858.8381026175182,"[14, 69, 108, 156, 189, 245, 300, 341, 393, 449, 492, 532, 568, 601, 658, 691, 733, 776, 826, 854]","[1287.9850758545049, 1535.8495178554278, 1052.0843750657682, 1166.0205075574959, 1449.0006030557238, 1858.8381026175182, 1258.8016630278455, 926.0988458348014, 1193.956181009985, 1366.0440398969279, 1242.8272859956105, 1199.3553959264666, 1019.9062972569955, 1081.329064586962, 463.71390491997386, 946.3297923988936, 1672.5063078927376, 1139.297404360765, 1061.3067700611393, 626.127597119415]","[0, 37, 100, 125, 176, 79, 278, 331, 331, 331, 457, 508, 564, 564, 640, 508, 331, 743, 801, 853]","[37, 79, 176, 176, 228, 331, 331, 342, 417, 457, 508, 683, 589, 683, 667, 696, 743, 851, 851, 861]",0.05,30,85695349.91094929,1056.5291029642037,-1056.5291029642037,SWT,uc1.c2693407,0.0,18.5,191272849.0890507,324.5920226087968,582.5195134634112,416.0266343160324,228.47089703579627,0.0,414.3689366147478,5998.378732294957,414.36893661474784,0.0,228.47089703579627,0.0,30.5,0.0,41.0,3.0,0.19882768754411245,0.9233863670289219,0.797663395263653,0.20330688376880846,0.014705882352940902,0.9860987828310565,0.02356798602150384,,0.4795874763646656,0.3668372761748085,0.3668372761748085,0.3196954379668058,0.04316202690002896,0.0901013199047099,1.0,0.923374598641793,0.6330935251798562,0.0,0.36571428571428577,0.0,0.7162554347296903,0.7162554347296903,0.0,0.5165876777251184,1.8779067032539063,0.7038732919218679,18,1.523914326479018,0.9106465491548404,10,0,0,0.40859386063789127,0.7383552184413779,10,0,0,0.44965099783014245,0.7810414248297809,14,3.8297084310253524,0.9638706751790062,13.0,12.233009708737866,0.920614582872522,2,rbio,0.4467563104505779,1.0,0.38727058268459547,2,2.0,,0.47118727520667114,0.018804247118298756,0.8184085462688483,0.922349974280213,0.35865127967020327,0.013888888888888618,0.9862214565037901,0.5484871786654161,,0.4798234554044277,0.6067572022471743,0.6069638734956627,0.5891997480409136,0.293898833710986,0.37748060770133146,1.0,0.5670897244437868,0.4559585492227979,0.0,0.34782608695652184,0.0,0.5857732820767578,0.5857732820767578,0.0,0.5165876777251185,2.122063178678164,0.8199753586071358,10,1.8979822210572461,0.9659316855589763,9,0.7071067811865476,0.9966645906547804,9.5,9.473684210526315,0.9759266349500317,1,81.93333333333334,53.5,69.8618998988094,30,0.5651721106377223,1.0,0.30437952255359435,5,2.0,1
raw,bior1.1,3544486.022591705,0.6368909512761021,161.44690312322504,23.089094249050028,862,1,False,False,75.21769285817473,,"[9, 37, 68, 96, 125, 176, 213, 245, 278, 310, 342, 370, 417, 457, 495, 527, 564, 615, 652, 683, 733, 771, 801, 851]","[319.415010274325, 777.7156369327918, 760.3650663268204, 76.02279713318754, 738.6170704645814, 766.9855810361224, 393.0512555607409, 1046.7802396604018, 748.4989823528615, 748.1895197404364, 740.9813569336259, 692.1028074754176, 735.5976719147956, 637.1913914054156, 704.4304102782907, 595.5792295884829, 606.7288953853994, 679.1669112490198, 434.3828564491084, 669.3892161607841, 948.8391205659517, 340.3083656794765, 628.4009958231225, 447.9256914147769]",24,9.449089034721988,49251.29999834406,1.0,2.537287145801205e-06,1.0,23,1076.7006095192,196.74805278734016,1804.9870586906327,"[14, 52, 88, 118, 156, 189, 245, 300, 329, 367, 395, 449, 492, 533, 571, 601, 629, 670, 702, 733, 776, 826, 854]","[1302.768876430704, 1433.8401846288384, 1326.6694165009085, 196.74805278734016, 724.284984175039, 1365.0648184201896, 1804.9870586906327, 1262.5832485867488, 425.8506498917815, 948.4201974999075, 1133.2356165634126, 1301.6328483534148, 1235.7444680290018, 1197.8468783203975, 943.006256112964, 1065.8624774315574, 971.0828871204117, 1015.992985881391, 689.6543882081655, 1613.3082120552763, 1149.2465143472732, 1015.4718875337583, 640.811111372492]","[0, 0, 79, 117, 125, 176, 0, 267, 328, 342, 310, 267, 469, 495, 564, 538, 615, 615, 615, 267, 743, 801, 853]","[37, 53, 176, 125, 163, 228, 267, 310, 342, 370, 417, 495, 495, 615, 589, 615, 640, 683, 713, 743, 861, 861, 861]",0.05,30,84909241.19714516,1048.8967639749887,-1048.8967639749887,SWT,uc1.c2693407,0.8260869565217391,74.0,192058957.80285484,57.62617047616311,528.6684695365257,315.3583072204847,236.10323602501126,0.0,313.70060951920004,7215.1140189416,313.7006095192003,0.0,236.10323602501126,0.6521739130434783,56.0,1.0,92.0,0.0,0.20247502525124728,1.0,0.7551499072725477,0.19308546007681188,0.10294117647058781,0.9999999999999999,0.004139212650215742,,0.08433036140848386,0.07190505856142992,0.07190505856142992,0.0028041782906545465,0.18008438874522384,0.020775855770636564,0.0,0.9417476502797851,1.0,0.9999999999999999,1.0,1.0,0.7402946020855068,0.7402946020855068,1.0,0.9999999999999999,1.736705185278625,0.6509484170548612,37,1.5776923468983752,0.942782718402896,5,0,0,0.5533838597367912,1.0,2,0,0,0.46539868310305876,0.8083950715528684,8,16.186414056238647,0.8472979806015222,13.0,4.694686756542427,0.86232823558378,6,bior,0.5012974758197687,0.7563572050469867,0.42218460541206587,1,4.75,,0.4735946956344179,0.02713078753793302,0.8863121391992724,0.9060347186187436,0.3504228955267305,0.09722222222222188,1.0,0.5395031017871935,,0.0847455682535166,0.4235815887160297,0.42388452907092616,0.3978457331133415,0.3949410604076445,0.3300506611065668,0.0,0.5783735184813379,0.7202072538860103,0.7142857142857144,0.9510869565217391,0.9500000000000001,0.6054331705433958,0.6054331705433958,1.0,1.0,2.026431106430623,0.7830226686385146,18,1.964923865147772,1.0,3,10.606601717798213,0.9499688598217065,10.5,5.142857142857143,0.950220278967457,3,70.3,81.0,38.30742252735958,30,0.4849259484682491,0.5483306721237969,0.4960526344350865,3,3.0,2
raw,db1,3544486.022591705,0.6368909512761021,161.44690312322504,23.089094249050028,862,1,False,False,75.21769285817473,,"[9, 37, 68, 96, 125, 176, 213, 245, 278, 310, 342, 370, 417, 457, 495, 527, 564, 615, 652, 683, 733, 771, 801, 851]","[319.415010274325, 777.7156369327918, 760.3650663268204, 76.02279713318754, 738.6170704645814, 766.9855810361224, 393.0512555607409, 1046.7802396604018, 748.4989823528615, 748.1895197404364, 740.9813569336259, 692.1028074754176, 735.5976719147956, 637.1913914054156, 704.4304102782907, 595.5792295884829, 606.7288953853994, 679.1669112490198, 434.3828564491084, 669.3892161607841, 948.8391205659517, 340.3083656794765, 628.4009958231225, 447.9256914147769]",24,9.449089034721988,49251.29999834406,1.0,2.537287145801205e-06,1.0,23,1076.7006095192,196.74805278734016,1804.9870586906327,"[14, 52, 88, 118, 156, 189, 245, 300, 329, 367, 395, 449, 492, 533, 571, 601, 629, 670, 702, 733, 776, 826, 854]","[1302.768876430704, 1433.8401846288384, 1326.6694165009085, 196.74805278734016, 724.284984175039, 1365.0648184201896, 1804.9870586906327, 1262.5832485867488, 425.8506498917815, 948.4201974999075, 1133.2356165634126, 1301.6328483534148, 1235.7444680290018, 1197.8468783203975, 943.006256112964, 1065.8624774315574, 971.0828871204117, 1015.992985881391, 689.6543882081655, 1613.3082120552763, 1149.2465143472732, 1015.4718875337583, 640.811111372492]","[0, 0, 79, 117, 125, 176, 0, 267, 328, 342, 310, 267, 469, 495, 564, 538, 615, 615, 615, 267, 743, 801, 853]","[37, 53, 176, 125, 163, 228, 267, 310, 342, 370, 417, 495, 495, 615, 589, 615, 640, 683, 713, 743, 861, 861, 861]",0.05,30,84909241.19714516,1048.8967639749887,-1048.8967639749887,SWT,uc1.c2693407,0.8260869565217391,74.0,192058957.80285484,57.62617047616311,528.6684695365257,315.3583072204847,236.10323602501126,0.0,313.70060951920004,7215.1140189416,313.7006095192003,0.0,236.10323602501126,0.6521739130434783,56.0,1.0,92.0,0.0,0.20247502525124728,1.0,0.7551499072725477,0.19308546007681188,0.10294117647058781,0.9999999999999999,0.004139212650215742,,0.08433036140848386,0.07190505856142992,0.07190505856142992,0.0028041782906545465,0.18008438874522384,0.020775855770636564,0.0,0.9417476502797851,1.0,0.9999999999999999,1.0,1.0,0.7402946020855068,0.7402946020855068,1.0,0.9999999999999999,1.736705185278625,0.6509484170548612,36,1.5776923468983752,0.942782718402896,7,0,0,0.5533838597367912,1.0,4,0,0,0.46539868310305876,0.8083950715528684,7,15.066519173319364,0.8578630266667985,13.5,7.098591549295775,0.8652522680503804,5,db,0.7073043543040191,0.9070578915267123,0.23276958452917296,4,4.75,,0.4735946956344179,0.02713078753793302,0.8863121391992724,0.9060347186187436,0.3504228955267305,0.09722222222222188,1.0,0.5395031017871935,,0.0847455682535166,0.4235815887160297,0.42388452907092616,0.3978457331133415,0.3949410604076445,0.3300506611065668,0.0,0.5783735184813379,0.7202072538860103,0.7142857142857144,0.9510869565217391,0.9500000000000001,0.6054331705433958,0.6054331705433958,1.0,1.0,2.026431106430623,0.7830226686385146,17,1.964923865147772,1.0,4,9.192388155425117,0.9566396785121457,10.5,6.476190476190476,0.9535556883126766,2,129.19736842105263,132.5,55.83022353214361,76,0.891197104141974,0.7991512342637432,0.13641665682149526,7,3.25,3
raw,haar,3544486.022591705,0.6368909512761021,161.44690312322504,23.089094249050028,862,1,False,False,75.21769285817473,,"[9, 37, 68, 96, 125, 176, 213, 245, 278, 310, 342, 370, 417, 457, 495, 527, 564, 615, 652, 683, 733, 771, 801, 851]","[319.415010274325, 777.7156369327918, 760.3650663268204, 76.02279713318754, 738.6170704645814, 766.9855810361224, 393.0512555607409, 1046.7802396604018, 748.4989823528615, 748.1895197404364, 740.9813569336259, 692.1028074754176, 735.5976719147956, 637.1913914054156, 704.4304102782907, 595.5792295884829, 606.7288953853994, 679.1669112490198, 434.3828564491084, 669.3892161607841, 948.8391205659517, 340.3083656794765, 628.4009958231225, 447.9256914147769]",24,9.449089034721988,49251.29999834406,1.0,2.537287145801205e-06,1.0,23,1076.7006095192,196.74805278734016,1804.9870586906327,"[14, 52, 88, 118, 156, 189, 245, 300, 329, 367, 395, 449, 492, 533, 571, 601, 629, 670, 702, 733, 776, 826, 854]","[1302.768876430704, 1433.8401846288384, 1326.6694165009085, 196.74805278734016, 724.284984175039, 1365.0648184201896, 1804.9870586906327, 1262.5832485867488, 425.8506498917815, 948.4201974999075, 1133.2356165634126, 1301.6328483534148, 1235.7444680290018, 1197.8468783203975, 943.006256112964, 1065.8624774315574, 971.0828871204117, 1015.992985881391, 689.6543882081655, 1613.3082120552763, 1149.2465143472732, 1015.4718875337583, 640.811111372492]","[0, 0, 79, 117, 125, 176, 0, 267, 328, 342, 310, 267, 469, 495, 564, 538, 615, 615, 615, 267, 743, 801, 853]","[37, 53, 176, 125, 163, 228, 267, 310, 342, 370, 417, 495, 495, 615, 589, 615, 640, 683, 713, 743, 861, 861, 861]",0.05,30,84909241.19714516,1048.8967639749887,-1048.8967639749887,SWT,uc1.c2693407,0.8260869565217391,74.0,192058957.80285484,57.62617047616311,528.6684695365257,315.3583072204847,236.10323602501126,0.0,313.70060951920004,7215.1140189416,313.7006095192003,0.0,236.10323602501126,0.6521739130434783,56.0,1.0,92.0,0.0,0.20247502525124728,1.0,0.7551499072725477,0.19308546007681188,0.10294117647058781,0.9999999999999999,0.004139212650215742,,0.08433036140848386,0.07190505856142992,0.07190505856142992,0.0028041782906545465,0.18008438874522384,0.020775855770636564,0.0,0.9417476502797851,1.0,0.9999999999999999,1.0,1.0,0.7402946020855068,0.7402946020855068,1.0,0.9999999999999999,1.736705185278625,0.6509484170548612,34,1.5776923468983752,0.942782718402896,4,0,0,0.5533838597367912,1.0,1,0,0,0.46539868310305876,0.8083950715528684,5,15.427248620541512,0.8544599186741366,11.0,2.7037773359840958,0.8753431668842382,3,haar,0.036093418259023353,,,7,4.0,,0.4735946956344179,0.02713078753793302,0.8863121391992724,0.9060347186187436,0.3504228955267305,0.09722222222222188,1.0,0.5395031017871935,,0.0847455682535166,0.4235815887160297,0.42388452907092616,0.3978457331133415,0.3949410604076445,0.3300506611065668,0.0,0.5783735184813379,0.7202072538860103,0.7142857142857144,0.9510869565217391,0.9500000000000001,0.6054331705433958,0.6054331705433958,1.0,1.0,2.026431106430623,0.7830226686385146,19,1.964923865147772,1.0,2,12.020815280171307,0.9432980411312675,10.5,3.6190476190476195,0.9468848696222375,4,6.0,6.0,2.8284271247461903,2,0.041387705416920266,0.04048597488535225,0.95888281374255,1,3.25,4
raw,rbio1.1,3544486.022591705,0.6368909512761021,161.44690312322504,23.089094249050028,862,1,False,False,75.21769285817473,,"[9, 37, 68, 96, 125, 176, 213, 245, 278, 310, 342, 370, 417, 457, 495, 527, 564, 615, 652, 683, 733, 771, 801, 851]","[319.415010274325, 777.7156369327918, 760.3650663268204, 76.02279713318754, 738.6170704645814, 766.9855810361224, 393.0512555607409, 1046.7802396604018, 748.4989823528615, 748.1895197404364, 740.9813569336259, 692.1028074754176, 735.5976719147956, 637.1913914054156, 704.4304102782907, 595.5792295884829, 606.7288953853994, 679.1669112490198, 434.3828564491084, 669.3892161607841, 948.8391205659517, 340.3083656794765, 628.4009958231225, 447.9256914147769]",24,9.449089034721988,49251.29999834406,1.0,2.537287145801205e-06,1.0,23,1076.7006095192,196.74805278734016,1804.9870586906327,"[14, 52, 88, 118, 156, 189, 245, 300, 329, 367, 395, 449, 492, 533, 571, 601, 629, 670, 702, 733, 776, 826, 854]","[1302.768876430704, 1433.8401846288384, 1326.6694165009085, 196.74805278734016, 724.284984175039, 1365.0648184201896, 1804.9870586906327, 1262.5832485867488, 425.8506498917815, 948.4201974999075, 1133.2356165634126, 1301.6328483534148, 1235.7444680290018, 1197.8468783203975, 943.006256112964, 1065.8624774315574, 971.0828871204117, 1015.992985881391, 689.6543882081655, 1613.3082120552763, 1149.2465143472732, 1015.4718875337583, 640.811111372492]","[0, 0, 79, 117, 125, 176, 0, 267, 328, 342, 310, 267, 469, 495, 564, 538, 615, 615, 615, 267, 743, 801, 853]","[37, 53, 176, 125, 163, 228, 267, 310, 342, 370, 417, 495, 495, 615, 589, 615, 640, 683, 713, 743, 861, 861, 861]",0.05,30,84909241.19714516,1048.8967639749887,-1048.8967639749887,SWT,uc1.c2693407,0.8260869565217391,74.0,192058957.80285484,57.62617047616311,528.6684695365257,315.3583072204847,236.10323602501126,0.0,313.70060951920004,7215.1140189416,313.7006095192003,0.0,236.10323602501126,0.6521739130434783,56.0,1.0,92.0,0.0,0.20247502525124728,1.0,0.7551499072725477,0.19308546007681188,0.10294117647058781,0.9999999999999999,0.004139212650215742,,0.08433036140848386,0.07190505856142992,0.07190505856142992,0.0028041782906545465,0.18008438874522384,0.020775855770636564,0.0,0.9417476502797851,1.0,0.9999999999999999,1.0,1.0,0.7402946020855068,0.7402946020855068,1.0,0.9999999999999999,1.736705185278625,0.6509484170548612,35,1.5776923468983752,0.942782718402896,6,0,0,0.5533838597367912,1.0,3,0,0,0.46539868310305876,0.8083950715528684,6,15.066519173319364,0.8578630266667985,12.5,5.7534246575342465,0.8699692491824558,4,rbio,0.4467563104505779,1.0,0.38727058268459547,2,3.5,,0.4735946956344179,0.02713078753793302,0.8863121391992724,0.9060347186187436,0.3504228955267305,0.09722222222222188,1.0,0.5395031017871935,,0.0847455682535166,0.4235815887160297,0.42388452907092616,0.3978457331133415,0.3949410604076445,0.3300506611065668,0.0,0.5783735184813379,0.7202072538860103,0.7142857142857144,0.9510869565217391,0.9500000000000001,0.6054331705433958,0.6054331705433958,1.0,1.0,2.026431106430623,0.7830226686385146,20,1.964923865147772,1.0,1,13.435028842544403,0.9366272224408283,10.5,1.9047619047619047,0.9435494602770179,5,81.93333333333334,53.5,69.8618998988094,30,0.5651721106377223,1.0,0.30437952255359435,5,5.0,5
smoothed,db1,470611.78461409605,0.6519721577726219,60.75750269762962,24.713223762306193,862,1,False,False,50.29779092628666,,"[5, 38, 82, 125, 177, 214, 246, 275, 331, 370, 417, 469, 521, 564, 615, 654, 683, 733, 771, 801, 830, 860]","[137.3507794697973, 475.1615868923334, 615.0372197905111, 580.4120717103103, 617.5425202699205, 319.8739034919869, 788.3394214883348, 349.35553714418467, 648.2424504336755, 417.1482136620331, 618.9776679391149, 612.5877707731643, 488.74982855172635, 450.93144530440696, 579.4715397116785, 92.9939672774102, 543.0957101567853, 574.7303568049731, 345.02332198100527, 557.0941219909625, 2.1849586843482314, 0.1720639196068987]",22,8.896010529980481,25152.921885200692,1.0,3.289514702485963e-05,1.0,23,738.7867843393102,61.45465162244125,1450.4590764924724,"[13, 51, 89, 117, 146, 190, 246, 275, 325, 366, 396, 452, 487, 533, 561, 596, 628, 660, 705, 733, 777, 827, 858]","[408.6181450497643, 587.9616290754801, 1172.3263629471892, 61.45465162244125, 960.0931149967512, 951.654897903493, 1450.4590764924724, 758.1244910160161, 1026.158067286016, 441.96058934435064, 884.0413703377649, 1079.4196931028891, 337.7872752820458, 950.8558126514646, 172.79569300518483, 700.8277135941971, 845.1928806157532, 499.7477493415504, 486.5271676618614, 1238.422694120446, 963.5720955944086, 918.0556232028025, 96.03924555979344]","[0, 0, 0, 116, 125, 177, 0, 267, 267, 331, 331, 267, 480, 469, 554, 564, 615, 635, 469, 267, 744, 801, 856]","[19, 64, 177, 125, 177, 229, 860, 310, 331, 370, 417, 469, 521, 615, 564, 615, 683, 683, 713, 860, 860, 860, 860]",0.05,30,43363637.330085956,809.9228493937765,-809.9228493937765,SWT,uc1.c2693407,0.8695652173913043,78.5,212483692.22546926,17.99965072475618,424.8296276710678,216.3856392819805,290.4104839395568,0.0,214.4389582523537,4932.096039804135,214.43895825235376,0.0,290.4104839395568,0.9130434782608695,83.0,1.0,92.0,0.0,0.4253232728917288,0.9899433387762524,0.3620737056845605,0.14529534738628108,0.1034482758620704,1.0,0.31043674770288165,,0.05757781371455814,0.4037644943714198,0.4037644943714198,0.3576819919969963,0.4206249721340805,0.41348676836554876,0.0,0.5842324080664874,1.0000000000000002,1.0,1.0,1.0,0.7139827984710533,0.7139827984710533,1.0,1.0,2.1616018320077983,0.8556829232875864,12,1.7810546222446935,0.8254112539565664,11,0,0,0.6293186587476636,1.0,4,0,0,0.517170544850481,0.8204897490890077,16,4.9916597106239795,0.9529088706544908,10.75,8.217898832684826,0.9257468881574341,7,db,1.0,0.9705353742502205,0.008839387724933844,5,6.5,0.8008436705000724,0.18912344820160662,0.9212986182210456,0.9916674963631749,0.3186587485876632,0.034493041550629044,0.27777777777777823,1.0,0.06469740056602263,,0.026103005643105595,0.24349138859536468,0.243363420150514,0.2091655787265134,0.20535075039344333,0.23859336770984566,0.0,0.8715498851204768,1.0,1.0,1.0,1.0,0.7453214064352665,0.7453214064352665,1.0,1.0,1.9725125821206388,0.7621882930408066,26,1.6416930841513673,0.8354995902235143,30,2.8284271247461903,0.9866583626191218,28.0,27.857142857142858,0.9272914454605043,6,129.19736842105263,132.5,55.83022353214361,76,0.891197104141974,0.7991512342637432,0.13641665682149526,7,6.25,6
smoothed,haar,470611.78461409605,0.6519721577726219,60.75750269762962,24.713223762306193,862,1,False,False,50.29779092628666,,"[5, 38, 82, 125, 177, 214, 246, 275, 331, 370, 417, 469, 521, 564, 615, 654, 683, 733, 771, 801, 830, 860]","[137.3507794697973, 475.1615868923334, 615.0372197905111, 580.4120717103103, 617.5425202699205, 319.8739034919869, 788.3394214883348, 349.35553714418467, 648.2424504336755, 417.1482136620331, 618.9776679391149, 612.5877707731643, 488.74982855172635, 450.93144530440696, 579.4715397116785, 92.9939672774102, 543.0957101567853, 574.7303568049731, 345.02332198100527, 557.0941219909625, 2.1849586843482314, 0.1720639196068987]",22,8.896010529980481,25152.921885200692,1.0,3.289514702485963e-05,1.0,23,738.7867843393102,61.45465162244125,1450.4590764924724,"[13, 51, 89, 117, 146, 190, 246, 275, 325, 366, 396, 452, 487, 533, 561, 596, 628, 660, 705, 733, 777, 827, 858]","[408.6181450497643, 587.9616290754801, 1172.3263629471892, 61.45465162244125, 960.0931149967512, 951.654897903493, 1450.4590764924724, 758.1244910160161, 1026.158067286016, 441.96058934435064, 884.0413703377649, 1079.4196931028891, 337.7872752820458, 950.8558126514646, 172.79569300518483, 700.8277135941971, 845.1928806157532, 499.7477493415504, 486.5271676618614, 1238.422694120446, 963.5720955944086, 918.0556232028025, 96.03924555979344]","[0, 0, 0, 116, 125, 177, 0, 267, 267, 331, 331, 267, 480, 469, 554, 564, 615, 635, 469, 267, 744, 801, 856]","[19, 64, 177, 125, 177, 229, 860, 310, 331, 370, 417, 469, 521, 615, 564, 615, 683, 683, 713, 860, 860, 860, 860]",0.05,30,43363637.330085956,809.9228493937765,-809.9228493937765,SWT,uc1.c2693407,0.8695652173913043,78.5,212483692.22546926,17.99965072475618,424.8296276710678,216.3856392819805,290.4104839395568,0.0,214.4389582523537,4932.096039804135,214.43895825235376,0.0,290.4104839395568,0.9130434782608695,83.0,1.0,92.0,0.0,0.4253232728917288,0.9899433387762524,0.3620737056845605,0.14529534738628108,0.1034482758620704,1.0,0.31043674770288165,,0.05757781371455814,0.4037644943714198,0.4037644943714198,0.3576819919969963,0.4206249721340805,0.41348676836554876,0.0,0.5842324080664874,1.0000000000000002,1.0,1.0,1.0,0.7139827984710533,0.7139827984710533,1.0,1.0,2.1616018320077983,0.8556829232875864,11,1.7810546222446935,0.8254112539565664,10,0,0,0.6293186587476636,1.0,3,0,0,0.517170544850481,0.8204897490890077,15,4.9916597106239795,0.9529088706544908,9.75,6.76923076923077,0.9304638692895095,5,haar,0.06687785990848294,,,7,5.5,0.8008436705000724,0.18912344820160662,0.9212986182210456,0.9916674963631749,0.3186587485876632,0.034493041550629044,0.27777777777777823,1.0,0.06469740056602263,,0.026103005643105595,0.24349138859536468,0.243363420150514,0.2091655787265134,0.20535075039344333,0.23859336770984566,0.0,0.8715498851204768,1.0,1.0,1.0,1.0,0.7453214064352665,0.7453214064352665,1.0,1.0,1.9725125821206388,0.7621882930408066,25,1.6416930841513673,0.8354995902235143,31,4.242640687119285,0.9799875439286826,28.0,27.678571428571427,0.9239560361152848,8,6.0,6.0,2.8284271247461903,2,0.041387705416920266,0.04048597488535225,0.95888281374255,1,6.25,7
