wavelet,error,signal_length,signal_type,decomposition_levels,wavelet_type,htid
bior1.1,Max level too low for wavelet bior1.1 and signal length 619.,619,smoothed,0,SWT,txu.059172014718840
bior1.1,Max level too low for wavelet bior1.1 and signal length 619.,619,smoothed,0,SWT,txu.059172014718840
bior1.3,Max level too low for wavelet bior1.3 and signal length 619.,619,smoothed,0,SWT,txu.059172014718840
bior1.3,Max level too low for wavelet bior1.3 and signal length 619.,619,smoothed,0,SWT,txu.059172014718840
bior1.5,Max level too low for wavelet bior1.5 and signal length 619.,619,smoothed,0,SWT,txu.059172014718840
bior1.5,Max level too low for wavelet bior1.5 and signal length 619.,619,smoothed,0,SWT,txu.059172014718840
bior2.2,Max level too low for wavelet bior2.2 and signal length 619.,619,smoothed,0,SWT,txu.059172014718840
bior2.2,Max level too low for wavelet bior2.2 and signal length 619.,619,smoothed,0,SWT,txu.059172014718840
bior2.4,Max level too low for wavelet bior2.4 and signal length 619.,619,smoothed,0,SWT,txu.059172014718840
bior2.4,Max level too low for wavelet bior2.4 and signal length 619.,619,smoothed,0,SWT,txu.059172014718840
bior2.6,Max level too low for wavelet bior2.6 and signal length 619.,619,smoothed,0,SWT,txu.059172014718840
bior2.6,Max level too low for wavelet bior2.6 and signal length 619.,619,smoothed,0,SWT,txu.059172014718840
bior2.8,Max level too low for wavelet bior2.8 and signal length 619.,619,smoothed,0,SWT,txu.059172014718840
bior2.8,Max level too low for wavelet bior2.8 and signal length 619.,619,smoothed,0,SWT,txu.059172014718840
bior3.1,Max level too low for wavelet bior3.1 and signal length 619.,619,smoothed,0,SWT,txu.059172014718840
bior3.1,Max level too low for wavelet bior3.1 and signal length 619.,619,smoothed,0,SWT,txu.059172014718840
bior3.3,Max level too low for wavelet bior3.3 and signal length 619.,619,smoothed,0,SWT,txu.059172014718840
bior3.3,Max level too low for wavelet bior3.3 and signal length 619.,619,smoothed,0,SWT,txu.059172014718840
bior3.5,Max level too low for wavelet bior3.5 and signal length 619.,619,smoothed,0,SWT,txu.059172014718840
bior3.5,Max level too low for wavelet bior3.5 and signal length 619.,619,smoothed,0,SWT,txu.059172014718840
bior3.7,Max level too low for wavelet bior3.7 and signal length 619.,619,smoothed,0,SWT,txu.059172014718840
bior3.7,Max level too low for wavelet bior3.7 and signal length 619.,619,smoothed,0,SWT,txu.059172014718840
bior3.9,Max level too low for wavelet bior3.9 and signal length 619.,619,smoothed,0,SWT,txu.059172014718840
bior3.9,Max level too low for wavelet bior3.9 and signal length 619.,619,smoothed,0,SWT,txu.059172014718840
bior4.4,Max level too low for wavelet bior4.4 and signal length 619.,619,smoothed,0,SWT,txu.059172014718840
bior4.4,Max level too low for wavelet bior4.4 and signal length 619.,619,smoothed,0,SWT,txu.059172014718840
bior5.5,Max level too low for wavelet bior5.5 and signal length 619.,619,smoothed,0,SWT,txu.059172014718840
bior5.5,Max level too low for wavelet bior5.5 and signal length 619.,619,smoothed,0,SWT,txu.059172014718840
bior6.8,Max level too low for wavelet bior6.8 and signal length 619.,619,smoothed,0,SWT,txu.059172014718840
bior6.8,Max level too low for wavelet bior6.8 and signal length 619.,619,smoothed,0,SWT,txu.059172014718840
coif1,Max level too low for wavelet coif1 and signal length 619.,619,smoothed,0,SWT,txu.059172014718840
coif1,Max level too low for wavelet coif1 and signal length 619.,619,smoothed,0,SWT,txu.059172014718840
