wavelet,wavelet_level,wavelet_mode,wavelet_mse,wavelet_psnr,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,signal_length,signal_type,emd_value,kl_divergence,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,dynamic_cutoff,dominant_frequency,amplitude_max,num_fft_peaks,positive_frequencies,positive_amplitudes,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,max_autocorrelation,upper_envelope,lower_envelope,spectral_magnitude,spectral_centroid,spectral_bandwidth,frequency_max,wavelet_type,htid,positive_frequencies_dtw,positive_frequencies_euclidean,positive_frequencies_wasserstein,max_autocorrelation_diff,frequency_max_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_num_peaks_diff,positive_amplitudes_dtw,positive_amplitudes_euclidean,positive_amplitudes_wasserstein,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,spectral_centroid_diff,lower_envelope_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,spectral_bandwidth_diff,spectral_magnitude_diff,avg_prominence_diff,num_fft_peaks_diff,amplitude_max_diff,prominence_min_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,prominence_max_diff,upper_envelope_diff,dominant_frequency_diff,dynamic_cutoff_diff,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,avg_variance_across_levels_normalized,max_autocorrelation_diff_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank
bior2.6,1,reflect,1.4194086962056698e-26,320.96900988001727,4909471.380327687,0.65,676.3824230964312,28,raw,8.729525039338373e-14,-3.0558000574387766e-11,4.194346396865381,102178.36840651275,0.7427581440679509,1.823084768813919e-06,1.0,329.5,0.03571428571428571,2859.3121716792625,2,"[0.0, 0.03571428571428571, 0.07142857142857142, 0.10714285714285714, 0.14285714285714285, 0.17857142857142855, 0.21428571428571427, 0.25, 0.2857142857142857, 0.3214285714285714, 0.3571428571428571, 0.39285714285714285, 0.42857142857142855, 0.46428571428571425]","[18408.0, 1912.1617371756986, 2859.3121716792625, 580.3012218021028, 2220.722238010349, 1877.8759617088024, 1038.4958324004986, 403.38567153531835, 1248.9817958941874, 3520.1786120880397, 721.1395918777586, 299.3923231488761, 1163.8948471108715, 1541.2127144329847]",9,509.22222222222234,69.99999999999989,1097.0000000000002,"[4, 6, 8, 10, 14, 17, 20, 23, 25]","[1097.0000000000002, 69.99999999999989, 249.0, 640.0, 664.0000000000002, 111.0, 1031.0000000000002, 460.0000000000001, 261.0]","[0, 5, 7, 9, 12, 15, 0, 22, 24]","[15, 7, 9, 12, 15, 18, 27, 27, 27]",15053850.000000006,1377.0000000000002,-1377.0000000000002,37795.05471886475,0.11611431226918029,0.14926336006712504,0.46428571428571425,DWT,inu.32000013032851,0.0,0.0,0.0,5.587935447692871e-09,0.0,0.0,11,5.0,4.490630090003833e-12,1.7138078682911936e-12,3.20759292143131e-13,0.0,11,0.0,2.2737367544323206e-13,254.02777777777766,1530.000000000001,254.02777777777774,0.0,0.0,254.02777777777766,0.0,4.547473508864641e-13,191.0000000000001,0.0,11,2.2737367544323206e-13,2.2737367544323206e-13,0.0,0.0,0.9109102950533899,0.7340475085154063,0.13589921257907314,0.33179190751445087,0.017500256477021112,0.00012079239813174428,6.039619906587214e-05,0.00012079239813174425,109,1.1212364031758624,0.689884330078887,44,0,0.00012079239813174428,0.00012079239813174425,96,0,0.4260298360278683,0.647793440415734,48,33.089525029330154,0.9032470028382159,74.25,63.339661576557994,0.8430708698401606,1,bior,155.21212121212122,160.0,73.65352877192367,99,0.6085424051008892,0.6809460648996837,0.3697364969594724,2,1.25
rbio1.3,1,periodization,1.8032909515692204e-26,319.92942646148157,3757553.6585659706,0.7142857142857143,892.216915514998,28,raw,1.1089541983112993e-13,-3.09974268475344e-11,4.018086187194212,104030.14883609695,0.5671845850018336,1.823084768813919e-06,1.0,329.50000000000006,0.03571428571428571,2859.3121716792625,2,"[0.0, 0.03571428571428571, 0.07142857142857142, 0.10714285714285714, 0.14285714285714285, 0.17857142857142855, 0.21428571428571427, 0.25, 0.2857142857142857, 0.3214285714285714, 0.3571428571428571, 0.39285714285714285, 0.42857142857142855, 0.46428571428571425]","[18408.000000000004, 1912.161737175699, 2859.3121716792625, 580.3012218021026, 2220.7222380103494, 1877.8759617088028, 1038.4958324004976, 403.38567153531864, 1248.9817958941871, 3520.1786120880397, 721.1395918777589, 299.3923231488768, 1163.894847110872, 1541.2127144329847]",9,509.22222222222223,69.99999999999989,1097.0000000000002,"[4, 6, 8, 10, 14, 17, 20, 23, 25]","[1097.0000000000002, 69.99999999999989, 248.9999999999999, 640.0, 664.0000000000002, 111.0, 1031.0000000000002, 460.00000000000006, 261.00000000000006]","[0, 5, 7, 9, 12, 15, 0, 22, 24]","[15, 7, 9, 12, 15, 18, 27, 27, 27]",15053850.000000006,1377.0000000000002,-1377.0000000000002,37795.054718864754,0.11611431226918029,0.14926336006712504,0.46428571428571425,DWT,inu.32000013032851,0.0,0.0,0.0,5.587935447692871e-09,0.0,0.0,11,5.0,9.265477274311706e-12,4.064602567433384e-12,6.61819805307979e-13,0.0,11,0.0,2.2737367544323206e-13,254.02777777777777,1530.0,254.02777777777774,0.0,7.275957614183426e-12,254.02777777777777,0.0,4.547473508864641e-13,191.0000000000001,0.0,11,2.2737367544323206e-13,2.2737367544323206e-13,0.0,5.684341886080802e-14,0.8998136545289677,0.6012106566874085,0.002521928983148569,0.5086705202312138,0.019358640267650738,0.00012079239813174428,6.039619906587214e-05,0.00012079239813174425,99,1.0529661497522051,0.6478783999163534,89,0,0.00012079239813174428,0.00012079239813174425,117,0,0.4063150801396779,0.6178164564963922,76,17.289206652321173,0.9494467641744995,95.25,92.9327686013275,0.8354689961223375,2,rbio,129.57575757575756,101.0,108.16352802152434,99,0.5080295439694263,1.0,0.3443793192214015,3,2.25
bior2.6,1,antisymmetric,1.2701111351718417e-26,321.4516672612978,4816030.101050659,0.625,622.4852271312692,28,raw,8.171241461241152e-14,-3.033573392485781e-11,4.193862687072967,417333.5381174279,0.932968985442817,1.823084768813919e-06,1.0,329.5000000000001,0.03571428571428571,2859.312171679262,2,"[0.0, 0.03571428571428571, 0.07142857142857142, 0.10714285714285714, 0.14285714285714285, 0.17857142857142855, 0.21428571428571427, 0.25, 0.2857142857142857, 0.3214285714285714, 0.3571428571428571, 0.39285714285714285, 0.42857142857142855, 0.46428571428571425]","[18408.0, 1912.1617371756988, 2859.312171679262, 580.3012218021023, 2220.7222380103494, 1877.8759617088024, 1038.4958324004979, 403.38567153531864, 1248.9817958941874, 3520.1786120880392, 721.1395918777589, 299.39232314887624, 1163.8948471108713, 1541.2127144329845]",9,509.22222222222223,69.99999999999989,1097.0000000000002,"[4, 6, 8, 10, 14, 17, 20, 23, 25]","[1097.0000000000002, 69.99999999999989, 249.0, 640.0, 664.0000000000002, 111.0, 1031.0, 459.9999999999999, 261.0000000000001]","[0, 5, 7, 9, 12, 15, 0, 22, 24]","[15, 7, 9, 12, 15, 18, 27, 27, 27]",15053850.000000006,1377.0000000000002,-1377.0000000000002,37795.05471886475,0.11611431226918029,0.14926336006712504,0.46428571428571425,DWT,inu.32000013032851,0.0,0.0,0.0,5.587935447692871e-09,0.0,0.0,11,5.0,3.0127011996228248e-12,1.061922699379318e-12,2.1519294283020181e-13,0.0,11,0.0,2.2737367544323206e-13,254.02777777777777,1530.0,254.02777777777777,0.0,0.0,254.02777777777777,0.0,0.0,191.0000000000001,0.0,11,2.2737367544323206e-13,2.2737367544323206e-13,0.0,1.1368683772161603e-13,0.9160622389580679,0.7336829651726828,0.1250799120593819,0.26300578034682076,0.3337792545520798,0.00012079239813174428,6.039619906587214e-05,0.00012079239813174425,108,1.2177327959504332,0.7492574909000599,17,0,0.00012079239813174428,0.00012079239813174425,104,0,0.4743220302178067,0.721223430463376,18,51.12321716532845,0.8505169088733087,61.75,30.017921710422893,0.8349806766588765,3,bior,155.21212121212122,160.0,73.65352877192367,99,0.6085424051008892,0.6809460648996837,0.3697364969594724,2,2.75
rbio3.1,1,periodization,3.708818276455084e-26,316.79772895247004,4238362.970558155,0.8571428571428571,1131.176678376362,28,raw,1.5809575870662232e-13,-2.3887114508625044e-11,4.3052211583230715,216491.41613520405,0.8351264975759242,1.82308476881392e-06,1.0,329.4999999999999,0.03571428571428571,2859.312171679261,2,"[0.0, 0.03571428571428571, 0.07142857142857142, 0.10714285714285714, 0.14285714285714285, 0.17857142857142855, 0.21428571428571427, 0.25, 0.2857142857142857, 0.3214285714285714, 0.3571428571428571, 0.39285714285714285, 0.42857142857142855, 0.46428571428571425]","[18407.999999999993, 1912.1617371756984, 2859.312171679261, 580.3012218021016, 2220.7222380103485, 1877.875961708802, 1038.4958324004979, 403.3856715353179, 1248.9817958941867, 3520.178612088039, 721.139591877759, 299.3923231488771, 1163.8948471108713, 1541.212714432984]",9,509.22222222222223,69.99999999999989,1096.9999999999998,"[4, 6, 8, 10, 14, 17, 20, 23, 25]","[1096.9999999999998, 69.99999999999989, 249.0, 639.9999999999999, 663.9999999999998, 111.00000000000023, 1031.0, 459.9999999999997, 261.0]","[0, 5, 7, 9, 12, 15, 0, 22, 24]","[15, 7, 9, 12, 15, 18, 27, 27, 27]",15053849.999999994,1376.9999999999998,-1376.9999999999998,37795.05471886474,0.11611431226918031,0.14926336006712507,0.46428571428571425,DWT,inu.32000013032851,0.0,0.0,0.0,5.587935447692871e-09,0.0,0.0,11,5.0,1.34718902700115e-11,7.563593088680677e-12,9.622778764293925e-13,0.0,11,2.7755575615628914e-17,2.2737367544323206e-13,254.02777777777777,1530.0,254.02777777777783,2.7755575615628914e-17,7.275957614183426e-12,254.02777777777777,0.0,9.094947017729282e-13,191.0000000000001,0.0,11,2.2737367544323206e-13,2.2737367544323206e-13,0.0,1.1368683772161603e-13,0.8663855323897374,0.8176072313064828,0.05819347457154836,0.9017341040462425,0.13222093910361696,0.00012079239813174428,6.039619906587214e-05,0.00012079239813174425,104,1.371313689632802,0.8437541123537243,4,0,0.00012079239813174428,0.00012079239813174425,108,0,0.5552282562835257,0.844244210000368,4,58.912364293641,0.8277416248723948,55.0,7.7089910775566235,0.8334614557110511,4,rbio,129.57575757575756,101.0,108.16352802152434,99,0.5080295439694263,1.0,0.3443793192214015,3,3.75
rbio1.3,1,antisymmetric,2.100984518316624e-26,319.26585597469386,3779347.6826147623,0.65625,785.0224619802593,28,raw,1.1825461245150238e-13,-3.137012871690107e-11,4.101913952902573,193003.08116149902,0.7298865018228597,1.823084768813919e-06,1.0,329.50000000000006,0.03571428571428571,2859.312171679262,2,"[0.0, 0.03571428571428571, 0.07142857142857142, 0.10714285714285714, 0.14285714285714285, 0.17857142857142855, 0.21428571428571427, 0.25, 0.2857142857142857, 0.3214285714285714, 0.3571428571428571, 0.39285714285714285, 0.42857142857142855, 0.46428571428571425]","[18408.000000000004, 1912.1617371756995, 2859.312171679262, 580.3012218021024, 2220.7222380103494, 1877.8759617088028, 1038.4958324004976, 403.38567153531864, 1248.9817958941876, 3520.1786120880397, 721.1395918777591, 299.392323148877, 1163.8948471108713, 1541.2127144329847]",9,509.22222222222234,69.99999999999989,1097.0,"[4, 6, 8, 10, 14, 17, 20, 23, 25]","[1097.0, 69.99999999999989, 249.0, 640.0000000000002, 664.0000000000002, 111.0, 1031.0000000000002, 460.00000000000017, 261.0]","[0, 5, 7, 9, 12, 15, 0, 22, 24]","[15, 7, 9, 12, 15, 18, 27, 27, 27]",15053850.000000006,1377.0000000000002,-1377.0000000000002,37795.054718864754,0.11611431226918029,0.14926336006712504,0.46428571428571425,DWT,inu.32000013032851,0.0,0.0,0.0,5.587935447692871e-09,0.0,0.0,11,5.0,8.29913915367797e-12,4.091146869415429e-12,5.927956538341406e-13,0.0,11,0.0,2.2737367544323206e-13,254.02777777777766,1530.000000000001,254.02777777777766,0.0,7.275957614183426e-12,254.02777777777766,0.0,0.0,191.0000000000001,0.0,11,0.0,2.2737367544323206e-13,0.0,5.684341886080802e-14,0.892730622014972,0.6643866651197594,0.00504539717131609,0.3489884393063583,0.10864884584317917,0.00012079239813174428,6.039619906587214e-05,0.00012079239813174425,97,1.053409318414336,0.6481510766816816,87,0,0.00012079239813174428,0.00012079239813174425,116,0,0.40395999389111703,0.6142354645225548,112,13.4412301024373,0.9606981575952126,103.0,101.64462965452344,0.8297642834759689,5,rbio,129.57575757575756,101.0,108.16352802152434,99,0.5080295439694263,1.0,0.3443793192214015,3,4.5
rbio2.6,1,periodization,1.4432097566603378e-26,320.8967899346084,3842752.84183206,0.7142857142857143,836.6304732141439,28,raw,8.780278091892664e-14,-3.0132452089048943e-11,3.9946185096562044,113035.76229650149,0.5715530707169745,1.8230847688139182e-06,1.0,329.50000000000006,0.03571428571428571,2859.3121716792625,2,"[0.0, 0.03571428571428571, 0.07142857142857142, 0.10714285714285714, 0.14285714285714285, 0.17857142857142855, 0.21428571428571427, 0.25, 0.2857142857142857, 0.3214285714285714, 0.3571428571428571, 0.39285714285714285, 0.42857142857142855, 0.46428571428571425]","[18408.0, 1912.161737175698, 2859.3121716792625, 580.3012218021028, 2220.7222380103494, 1877.8759617088028, 1038.495832400498, 403.3856715353191, 1248.9817958941876, 3520.1786120880397, 721.1395918777589, 299.39232314887676, 1163.8948471108715, 1541.2127144329854]",9,509.2222222222224,70.0,1097.0000000000002,"[4, 6, 8, 10, 14, 17, 20, 23, 25]","[1097.0000000000002, 70.0, 249.0000000000001, 640.0000000000002, 664.0000000000002, 111.0, 1031.0000000000002, 460.0000000000001, 261.0]","[0, 5, 7, 9, 12, 15, 0, 22, 24]","[15, 7, 9, 12, 15, 18, 27, 27, 27]",15053850.000000006,1377.0000000000002,-1377.0000000000002,37795.054718864754,0.11611431226918031,0.14926336006712504,0.46428571428571425,DWT,inu.32000013032851,0.0,0.0,0.0,5.587935447692871e-09,0.0,0.0,11,5.0,6.139089236967266e-12,1.8818520126441e-12,4.3850637406909046e-13,0.0,11,2.7755575615628914e-17,2.2737367544323206e-13,254.0277777777776,1530.0000000000018,254.0277777777777,0.0,7.275957614183426e-12,254.0277777777776,0.0,4.547473508864641e-13,191.0,0.0,11,2.2737367544323206e-13,2.2737367544323206e-13,0.0,5.684341886080802e-14,0.9101394105254084,0.5835244618866683,0.012386900598693355,0.5086705202312138,0.028396367317854863,0.00012079239813174428,6.039619906587214e-05,0.00012079239813174425,123,1.0588660825775533,0.6515085631836153,73,0,0.00012079239813174428,0.00012079239813174425,105,0,0.40862353211196784,0.6213265394030419,68,26.247222075234298,0.923253736622122,92.25,86.84625849234305,0.8267584472584294,6,rbio,129.57575757575756,101.0,108.16352802152434,99,0.5080295439694263,1.0,0.3443793192214015,3,5.25
rbio2.6,1,antisymmetric,1.3508904918664732e-26,321.18388304721816,4484167.9945350615,0.675,778.6596341158188,28,raw,7.968229251023979e-14,-2.9905300458210636e-11,4.443081276587495,410266.3740702129,0.8541138992785946,1.8230847688139182e-06,1.0,329.50000000000006,0.03571428571428571,2859.3121716792625,2,"[0.0, 0.03571428571428571, 0.07142857142857142, 0.10714285714285714, 0.14285714285714285, 0.17857142857142855, 0.21428571428571427, 0.25, 0.2857142857142857, 0.3214285714285714, 0.3571428571428571, 0.39285714285714285, 0.42857142857142855, 0.46428571428571425]","[18408.0, 1912.1617371756981, 2859.3121716792625, 580.3012218021028, 2220.7222380103494, 1877.8759617088026, 1038.4958324004979, 403.3856715353191, 1248.9817958941874, 3520.1786120880397, 721.1395918777591, 299.3923231488767, 1163.8948471108718, 1541.2127144329852]",9,509.22222222222234,70.0,1097.0000000000002,"[4, 6, 8, 10, 14, 17, 20, 23, 25]","[1097.0000000000002, 70.0, 249.0000000000001, 640.0000000000002, 664.0000000000002, 111.0, 1031.0000000000002, 460.0, 261.0]","[0, 5, 7, 9, 12, 15, 0, 22, 24]","[15, 7, 9, 12, 15, 18, 27, 27, 27]",15053850.000000006,1377.0000000000002,-1377.0000000000002,37795.05471886475,0.11611431226918034,0.14926336006712507,0.46428571428571425,DWT,inu.32000013032851,0.0,0.0,0.0,5.587935447692871e-09,0.0,0.0,11,5.0,5.8548721426632255e-12,1.7288250917028506e-12,4.182051530473733e-13,0.0,11,5.551115123125783e-17,2.2737367544323206e-13,254.02777777777766,1530.000000000001,254.0277777777777,2.7755575615628914e-17,0.0,254.02777777777766,0.0,4.547473508864641e-13,191.0,0.0,11,2.2737367544323206e-13,2.2737367544323206e-13,0.0,5.684341886080802e-14,0.9132038775136901,0.9215042148460244,0.08665454064676295,0.400578034682081,0.326686889333589,0.00012079239813174428,6.039619906587214e-05,0.00012079239813174425,121,1.3429076738608756,0.8262762057271483,7,0,0.00012079239813174428,0.00012079239813174425,109,0,0.5297255114044296,0.8054663840168522,7,62.545983084447556,0.8171170085250071,61.0,13.194654852079463,0.819377217712796,7,rbio,129.57575757575756,101.0,108.16352802152434,99,0.5080295439694263,1.0,0.3443793192214015,3,6.0
rbio2.6,1,periodic,1.399213857032012e-26,321.03124352166833,4417925.969187266,0.725,778.6596341158188,28,raw,8.425006724012616e-14,-3.003663984202379e-11,4.450294022659442,110087.99385051728,0.523773348164218,1.8230847688139182e-06,1.0,329.50000000000006,0.03571428571428571,2859.3121716792625,2,"[0.0, 0.03571428571428571, 0.07142857142857142, 0.10714285714285714, 0.14285714285714285, 0.17857142857142855, 0.21428571428571427, 0.25, 0.2857142857142857, 0.3214285714285714, 0.3571428571428571, 0.39285714285714285, 0.42857142857142855, 0.46428571428571425]","[18408.0, 1912.161737175698, 2859.3121716792625, 580.3012218021028, 2220.7222380103494, 1877.8759617088026, 1038.495832400498, 403.3856715353191, 1248.9817958941876, 3520.1786120880397, 721.139591877759, 299.39232314887676, 1163.8948471108718, 1541.2127144329854]",9,509.2222222222224,70.0,1097.0000000000002,"[4, 6, 8, 10, 14, 17, 20, 23, 25]","[1097.0000000000002, 70.0, 249.0000000000001, 640.0000000000002, 664.0000000000002, 111.0, 1031.0000000000002, 460.0000000000001, 261.0]","[0, 5, 7, 9, 12, 15, 0, 22, 24]","[15, 7, 9, 12, 15, 18, 27, 27, 27]",15053850.000000006,1377.0000000000002,-1377.0000000000002,37795.054718864754,0.11611431226918031,0.14926336006712504,0.46428571428571425,DWT,inu.32000013032851,0.0,0.0,0.0,5.587935447692871e-09,0.0,0.0,11,5.0,6.252776074688882e-12,1.878414837149001e-12,4.466268624777773e-13,0.0,11,2.7755575615628914e-17,2.2737367544323206e-13,254.0277777777776,1530.0000000000018,254.0277777777777,0.0,7.275957614183426e-12,254.0277777777776,0.0,4.547473508864641e-13,191.0,0.0,11,2.2737367544323206e-13,2.2737367544323206e-13,0.0,5.684341886080802e-14,0.9115745845539865,0.92694003319107,0.07898456454181249,0.5381502890173409,0.02543808726962226,0.00012079239813174428,6.039619906587214e-05,0.00012079239813174425,120,1.2753424001136184,0.7847040417448733,9,0,0.00012079239813174428,0.00012079239813174425,113,0,0.4962175117147664,0.7545162848341359,9,62.13091018164791,0.8183306719834856,62.75,16.70808091179793,0.8174255699098715,8,rbio,129.57575757575756,101.0,108.16352802152434,99,0.5080295439694263,1.0,0.3443793192214015,3,6.75
rbio2.6,1,reflect,1.3963288800072034e-26,321.04020729124676,4621330.663794761,0.725,836.6304732141439,28,raw,8.323500618904029e-14,-2.991751291148151e-11,4.547236737659832,106303.948357811,0.5882507550761745,1.8230847688139182e-06,1.0,329.5,0.03571428571428571,2859.3121716792625,2,"[0.0, 0.03571428571428571, 0.07142857142857142, 0.10714285714285714, 0.14285714285714285, 0.17857142857142855, 0.21428571428571427, 0.25, 0.2857142857142857, 0.3214285714285714, 0.3571428571428571, 0.39285714285714285, 0.42857142857142855, 0.46428571428571425]","[18408.0, 1912.1617371756984, 2859.3121716792625, 580.3012218021029, 2220.7222380103494, 1877.8759617088028, 1038.495832400498, 403.3856715353191, 1248.9817958941874, 3520.1786120880397, 721.1395918777591, 299.3923231488767, 1163.8948471108715, 1541.2127144329854]",9,509.2222222222224,70.0,1097.0000000000002,"[4, 6, 8, 10, 14, 17, 20, 23, 25]","[1097.0000000000002, 70.0, 249.0000000000001, 640.0000000000002, 664.0000000000002, 111.0, 1031.0000000000002, 460.0000000000001, 261.0]","[0, 5, 7, 9, 12, 15, 0, 22, 24]","[15, 7, 9, 12, 15, 18, 27, 27, 27]",15053850.000000006,1377.0000000000002,-1377.0000000000002,37795.05471886475,0.11611431226918034,0.14926336006712507,0.46428571428571425,DWT,inu.32000013032851,0.0,0.0,0.0,5.587935447692871e-09,0.0,0.0,11,5.0,6.195932655828074e-12,1.9167277173536793e-12,4.425666182734339e-13,0.0,11,5.551115123125783e-17,2.2737367544323206e-13,254.0277777777776,1530.0000000000018,254.0277777777777,2.7755575615628914e-17,0.0,254.0277777777776,0.0,4.547473508864641e-13,191.0,0.0,11,2.2737367544323206e-13,2.2737367544323206e-13,0.0,0.0,0.9116702649265108,1.0,0.10253621682120871,0.5381502890173409,0.021640548050445258,0.00012079239813174428,6.039619906587214e-05,0.00012079239813174425,122,1.3221866021936253,0.8135267600213301,8,0,0.00012079239813174428,0.00012079239813174425,111,0,0.5147994637631012,0.7827708004315918,8,62.803264246374965,0.8163647244258042,62.25,14.969738842061625,0.8171735902830775,9,rbio,129.57575757575756,101.0,108.16352802152434,99,0.5080295439694263,1.0,0.3443793192214015,3,7.5
rbio1.3,1,reflect,2.111803182159655e-26,319.243550097107,3872558.3637847872,0.65625,819.2906155246776,28,raw,1.1977720402813118e-13,-3.141353843716391e-11,4.166756098652369,97587.0182952881,0.5422338045951501,1.823084768813919e-06,1.0,329.5000000000001,0.03571428571428571,2859.312171679262,2,"[0.0, 0.03571428571428571, 0.07142857142857142, 0.10714285714285714, 0.14285714285714285, 0.17857142857142855, 0.21428571428571427, 0.25, 0.2857142857142857, 0.3214285714285714, 0.3571428571428571, 0.39285714285714285, 0.42857142857142855, 0.46428571428571425]","[18408.000000000004, 1912.1617371756993, 2859.312171679262, 580.3012218021023, 2220.722238010349, 1877.8759617088026, 1038.4958324004976, 403.38567153531864, 1248.9817958941878, 3520.1786120880397, 721.1395918777591, 299.392323148877, 1163.8948471108715, 1541.2127144329847]",9,509.22222222222223,69.99999999999989,1097.0,"[4, 6, 8, 10, 14, 17, 20, 23, 25]","[1097.0, 69.99999999999989, 249.0, 640.0000000000002, 664.0000000000002, 111.0, 1031.0, 460.00000000000017, 261.0]","[0, 5, 7, 9, 12, 15, 0, 22, 24]","[15, 7, 9, 12, 15, 18, 27, 27, 27]",15053850.000000006,1377.0000000000002,-1377.0000000000002,37795.054718864754,0.11611431226918029,0.14926336006712504,0.46428571428571425,DWT,inu.32000013032851,0.0,0.0,0.0,5.587935447692871e-09,0.0,0.0,11,5.0,7.73070496506989e-12,3.9871515393202074e-12,5.521932117907064e-13,0.0,11,0.0,2.2737367544323206e-13,254.02777777777777,1530.0,254.0277777777777,0.0,7.275957614183426e-12,254.02777777777777,0.0,0.0,191.0000000000001,0.0,11,0.0,2.2737367544323206e-13,0.0,1.1368683772161603e-13,0.8924925263501606,0.7132543393568677,0.015837997390687853,0.3489884393063583,0.012892533829406087,0.00012079239813174428,6.039619906587214e-05,0.00012079239813174425,98,1.04479407343818,0.6428502119469958,127,0,0.00012079239813174428,0.00012079239813174425,103,0,0.3966931672466961,0.6031859974786875,124,14.628738838327793,0.9572259098294509,113.0,111.57180543335939,0.8134082765521523,10,rbio,129.57575757575756,101.0,108.16352802152434,99,0.5080295439694263,1.0,0.3443793192214015,3,8.25
