signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,scales_used,emd_value,kl_divergence,is_complex,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,fft_frequency_max,fft_amplitude_max,fft_spectral_centroid,fft_spectral_bandwidth,fft_spectral_magnitude,fft_variance_magnitude,fft_num_peaks,fft_peak_amplitude,fft_dominant_frequency,fft_positive_frequencies,fft_positive_amplitudes,fft_snr_threshold,fft_stationarity_threshold,fft_dynamic_cutoff,fft_dynamic_cutoff_percentile,stft_frequency_max,stft_amplitude_max,stft_spectral_centroid,stft_spectral_bandwidth,stft_spectral_magnitude,stft_variance_magnitude,stft_peak_freq_over_time,stft_num_peaks,stft_peak_amplitude,stft_dominant_frequency,stft_positive_frequencies,stft_positive_amplitudes,stft_snr_threshold,stft_stationarity_threshold,stft_window,stft_nperseg,stft_noverlap,stft_dynamic_cutoff,stft_dynamic_cutoff_percentile,wavelet_type,htid,fft_frequency_max_diff,fft_snr_threshold_diff,lower_envelope_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,stft_dynamic_cutoff_percentile_diff,prominence_threshold_diff,prominence_min_diff,stft_window_diff,fft_peak_amplitude_diff,avg_prominence_diff,stft_spectral_bandwidth_diff,stft_num_peaks_diff,stft_variance_magnitude_diff,stft_noverlap_diff,fft_spectral_centroid_diff,stft_dominant_frequency_diff,stft_nperseg_diff,fft_variance_magnitude_diff,stft_snr_threshold_diff,stft_dynamic_cutoff_diff,distance_factor_diff,fft_stationarity_threshold_diff,fft_amplitude_max_diff,fft_spectral_magnitude_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,max_autocorrelation_diff,stft_spectral_centroid_diff,stft_amplitude_max_diff,fft_dynamic_cutoff_diff,fft_num_peaks_diff,stft_peak_amplitude_diff,prominence_max_diff,upper_envelope_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,stft_stationarity_threshold_diff,fft_dominant_frequency_diff,fft_dynamic_cutoff_percentile_diff,stft_frequency_max_diff,stft_spectral_magnitude_diff,relative_num_peaks_diff,fft_spectral_bandwidth_diff,emd_value_normalized,smoothness_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,relative_num_peaks_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,reconstruction_signal_num_missing_metrics,reconstruction_signal_missing_metrics_count,reconstruction_signal_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,top_wavelet_rank
smoothed,gaus4,20.568456481642226,0.6477446927114786,660.2961433067487,-34.8072325913459,209,103,35597.27997693115,,False,13.263451640695259,402120.49165430706,0.026283835886467558,2.08388598018485e-06,0.7117084873966426,4,76279.41021656331,20113.30011809424,134630.90851782585,"[26, 96, 160, 186]","[134630.90851782585, 100950.28708898669, 20113.30011809424, 49423.14514134642]","[0, 62, 133, 133]","[133, 133, 169, 208]",0.05,10,458405940034.7989,105844.92301498598,-105844.92301498598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,uc1.b3747696,,,105000.25634831931,0.0,-16.5,,0.0,20096.30011809424,,,75953.93195569374,,,,,,,,,,,20.0,,,,0.0,-21.0,75953.93195569374,297631.64086625323,75953.93195569373,,,,,,,133786.2418511592,105000.25634831931,0.0,-16.5,,,,,,19.0,,0.005291603889064009,0.05780289012332556,0.9520200387963074,0.2538334363366796,0.7736614183820649,0.09791827293754812,1.0,0.056727659084440774,,0.683081143650172,0.9825115816204942,0.9825115816204942,0.9825082153520535,0.9897234920523009,0.5432490719939008,0.857142857142857,,0.3448275862068966,0.14285714285714285,0.1651154719606719,0.1651154719606719,0.5,2.413341843243881,0.9309782942311867,3,1.5657461716496692,0.62750648932502,6,0,0,0.6115536347014713,0.8704908938738694,3,1,0.11111111111111112,0.3941013593881232,0.6225009430177022,7,2.0615528128088303,0.8527462276565121,4.75,4.097560975609757,0.7567302566853988,1,gaus,8.125,8.5,4.54933276112317,8,0.6770833333333334,1.0,0.2260416666666666,1,1.0,1
smoothed,fbsp,18.406305639406387,0.8107957448785247,1441.0808943828395,-40.26669759897361,209,103,78345.98809179918,-424446.67848200194,True,13.865187965475883,825993.5204979046,0.01923763990315048,4.2900969104594497e-07,0.3971943947687271,10,30789.120494434872,182.90174998553175,121163.5041189502,"[27, 34, 59, 95, 106, 117, 152, 161, 185, 200]","[121163.5041189502, 907.7688743950712, 182.90174998553175, 105761.03131299131, 530.0509255599609, 562.9003364081727, 1412.587954483759, 23234.394815384243, 53427.862041234606, 708.2028149559083]","[0, 33, 58, 61, 105, 116, 135, 135, 135, 199]","[135, 135, 61, 135, 135, 135, 154, 170, 208, 208]",0.05,30,1600317934831.8098,157509.35506166288,-157509.35506166288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,uc1.b3747696,,,156664.68839499622,0.0,-13.5,,0.0,165.90174998553175,,,30463.642233565308,,,,,,,,,,,0.0,,,,0.0,-18.0,30463.642233565308,300405.2049443487,30463.642233565308,,,,,,,120318.83745228352,156664.68839499622,0.0,-9.0,,,,,,13.0,,0.40563152284027226,0.0,0.45974196903423936,0.9797453044355451,0.5239901357992894,1.0,0.5573515276025897,0.2015398291641159,0.0,0.004843429450662077,0.33174273881475247,0.33174273881475247,0.3316141089249797,1.0,0.48002599278793073,0.0,,0.8620689655172414,0.9999999999999999,0.40379029240571873,0.40379029240571873,0.8,1.5477189147095212,0.5970528871404497,9,1.852958901096725,0.7426131744366243,4,0,0,0.49580154659347964,0.7057283400643758,7,0,0.0,0.4586666987640057,0.7244848202368683,4,2.449489742783178,0.8250364469440588,6.0,5.305263157894737,0.6982325091863151,2,fbsp,2.0,2.0,,1,0.16666666666666666,,,4,2.5,2
smoothed,gaus2,21.745561171440528,0.6413341385237145,1162.2188098939414,-41.40568687748796,209,103,87186.83385064921,,False,13.24072464899935,593630.5433881482,0.023001301061894287,2.9152018104379013e-06,0.611427692473448,4,72257.31538089423,15751.29283531192,186192.27894830157,"[33, 95, 148, 185]","[67735.21365427026, 186192.27894830157, 19350.47608569316, 15751.29283531192]","[0, 0, 136, 173]","[60, 208, 208, 208]",0.05,10,2078405294383.4402,171839.731670342,-171839.731670342,0.492822966507177,18137594.954432145,0.012576971145746341,0.03813083136507622,34712165.58176193,3558592386918.9395,15.0,3756750.874651421,0.014354066985645932,"[0.0, 0.004784688995215311, 0.009569377990430622, 0.014354066985645932, 0.019138755980861243, 0.023923444976076555, 0.028708133971291863, 0.03349282296650718, 0.03827751196172249, 0.043062200956937795, 0.04784688995215311, 0.05263157894736842, 0.057416267942583726, 0.06220095693779904, 0.06698564593301436, 0.07177033492822966, 0.07655502392344497, 0.08133971291866028, 0.08612440191387559, 0.09090909090909091, 0.09569377990430622, 0.10047846889952153, 0.10526315789473684, 0.11004784688995214, 0.11483253588516745, 0.11961722488038277, 0.12440191387559808, 0.1291866028708134, 0.1339712918660287, 0.13875598086124402, 0.14354066985645933, 0.14832535885167464, 0.15311004784688995, 0.15789473684210525, 0.16267942583732056, 0.16746411483253587, 0.17224880382775118, 0.1770334928229665, 0.18181818181818182, 0.18660287081339713, 0.19138755980861244, 0.19617224880382775, 0.20095693779904306, 0.20574162679425836, 0.21052631578947367, 0.21531100478468898, 0.2200956937799043, 0.2248803827751196, 0.2296650717703349, 0.23444976076555024, 0.23923444976076555, 0.24401913875598086]","[18137594.954432145, 5745439.410466806, 1379661.13142696, 3756750.874651421, 1284484.8498246262, 815195.8150011947, 1008887.70598097, 248592.2754682891, 289833.9233046125, 113632.35051836945, 214750.86156209285, 207743.47119543204, 187068.41848499878, 104412.36587175245, 104024.58095714546, 123400.09960494257, 96338.42918925793, 9289.77700833964, 13756.24527557333, 30767.34529812132, 71728.83035144141, 47271.67877499887, 23930.59851325264, 11002.127911167645, 31077.929782499377, 19585.56240899407, 23064.220390454535, 7240.8355093579785, 32157.154155548596, 21969.588276368297, 20374.941120511878, 17796.228403929883, 20959.01752509039, 31479.491148244866, 17524.921614844036, 6438.5628368083935, 20186.650383989145, 10872.58549241324, 18829.160775485292, 7187.589700658654, 18518.362824032833, 11632.887010234497, 11612.895923710117, 11535.893154096784, 13458.293455794377, 11461.425422376913, 9012.634297222081, 8929.355856617829, 8318.713376497382, 8773.31118631785, 7546.189275439112, 5579.8105323316095]",3.0,0.7,33589.49522127427,15.0,0.5,142914098534.58868,0.018586754053592572,0.015378788276179315,358895146885.36127,5.631256000614206e+19,"[0.015625, 0.015625, 0.015625, 0.03125, 0.03125]",1.0,142914098534.58868,0.015625,"[0.0, 0.015625, 0.03125, 0.046875, 0.0625, 0.078125, 0.09375, 0.109375, 0.125, 0.140625, 0.15625, 0.171875, 0.1875, 0.203125, 0.21875, 0.234375]","[95239714264.82979, 142914098534.58868, 84155009584.5317, 31846364520.896008, 4090427767.1783323, 410037043.7778, 111597333.52756958, 54602864.32212812, 31670346.35900931, 15414709.771573424, 8590819.63518329, 6361572.8000730425, 5184559.312428752, 3644629.1103949985, 1363200.2167535108, 372583.1946126898]",3.0,0.7,flattop,64.0,32.0,33589.49522127427,15.0,CWT,uc1.b3747696,0.0,0.0,170995.06500367535,0.0,-16.5,0.0,0.0,15734.29283531192,,3740268.012618485,71931.83712002466,0.0409115581388334,0.0,5.631255991283942e+19,0.0,0.06767541557116655,0.0,0.0,3558522284415.388,0.0,33472.69522127427,20.0,0.0,18054376.621098813,34413881.88582456,0.0,-21.0,71931.83712002466,281543.2615235769,71931.83712002466,,0.03167720114189886,142908763897.20862,33472.69522127427,1.0,142908763897.20862,185347.6122816349,170995.06500367535,0.0,-7.5,0.39999999999999997,0.0,0.0,0.0,358873465471.937,19.0,0.06922423138162599,0.48842568506495876,0.08683977820328095,0.3570397000896902,0.22641645597695367,0.909585902416785,0.062451811873554586,0.8588643824743826,0.12215523832747258,,0.5346406662370434,0.9249728405429655,0.9249728405429655,0.924958398896295,0.9301134186862872,0.7853052626408886,0.857142857142857,,0.9655172413793104,0.14285714285714285,0.4699925117758315,0.4699925117758315,0.5,2.59226435052049,1.0,1,1.3721932113013193,0.549935973205736,9,0,0,0.7025388077064514,1.0,1,1,0.11111111111111112,0.3834168137478292,0.6056242193567507,8,4.349329450233296,0.6893336106976218,4.75,1.7888198757763976,0.6750239482059537,4,gaus,8.125,8.5,4.54933276112317,8,0.6770833333333334,1.0,0.2260416666666666,1,3.25,3
smoothed,morl,20.466800818990645,0.6420773911831653,576.9757637361047,-34.718021040250875,209,103,37574.69522537774,,False,13.136965375749199,462418.04480931436,0.025147085803819937,9.912432586974702e-07,0.611557786744488,5,59396.20504695554,2259.601095262118,120225.94678537044,"[23, 96, 160, 186, 200]","[111782.10052707906, 120225.94678537044, 22435.990527150672, 40277.38629991546, 2259.601095262118]","[0, 60, 133, 133, 197]","[60, 133, 169, 208, 208]",0.05,20,445936678732.9615,89410.65969437503,-89410.65969437503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,uc1.b3747696,,,88565.99302770836,0.0,-20.5,,0.0,2242.601095262118,,,59070.72678608597,,,,,,,,,,,10.0,,,,0.0,-20.5,59070.72678608597,289495.0252347777,59070.72678608599,,,,,,,119381.28011870377,88565.99302770836,0.0,-11.5,,,,,,18.0,,0.023810017548929863,0.019638159872069204,0.9600642134749949,0.10124520608596918,0.761922875825165,0.06656386533024916,0.8590474777050681,0.07732774195994987,,0.0755141602110563,0.7409861053443345,0.7409861053443345,0.7409362489033285,0.9595760020899822,0.47562460557140074,0.7142857142857142,,0.6896551724137931,0.2857142857142857,0.08919390093382597,0.08919390093382597,0.10000000000000003,1.8460558816722317,0.7121402882007654,8,1.4218326562649708,0.5698300495286975,7,0,0,0.4751388501454901,0.6763168737918632,8,1,0.11111111111111112,0.3531468891697439,0.557811502790159,9,0.816496580927726,0.9416788156480196,8.0,7.937007874015748,0.6851251221097241,3,morl,3.0,3.0,,1,0.25,,,6,3.75,4
smoothed,gaus8,20.476137092934966,0.6416593115622242,568.9369899501702,-34.71125390093315,209,103,37135.48859433154,,False,13.097467259866367,458666.50479515013,0.02687185736059582,1.4853360871611488e-06,0.5834267894207427,5,59359.67645849376,724.8634047697997,120543.70947408635,"[25, 96, 160, 186, 199]","[120543.70947408635, 113201.56075312273, 18980.39826772619, 43347.850392763736, 724.8634047697997]","[0, 61, 133, 61, 197]","[61, 133, 168, 208, 208]",0.05,20,445590176164.04236,98515.75754651244,-98515.75754651244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,uc1.b3747696,,,97671.09087984577,0.0,-16.0,,0.0,707.8634047697997,,,59034.198197624195,,,,,,,,,,,10.0,,,,0.0,-20.5,59034.198197624195,289312.3822924688,59034.1981976242,,,,,,,119699.04280741968,97671.09087984577,0.0,-11.5,,,,,,18.0,,0.01969686524960422,0.036896243549895055,0.9606744040846033,0.0535961779217724,0.7630009687337118,0.06425083526085855,0.8194557923585454,0.07604606416111942,,0.023286554727718296,0.7404635395970551,0.7404635395970551,0.7404135825696756,0.9588992801555398,0.47711635075424125,0.7142857142857142,,0.6896551724137931,0.2857142857142857,0.1312568349273732,0.1312568349273732,0.55,1.9371499459003845,0.7472810192029343,6,1.3855822251305632,0.5553019087677312,8,0,0,0.5152343074724854,0.7333891050866628,6,1,0.11111111111111112,0.3436466133594582,0.5428053869523121,10,1.9148542155126762,0.8632246988919516,7.5,7.164179104477612,0.663755206588833,5,gaus,8.125,8.5,4.54933276112317,8,0.6770833333333334,1.0,0.2260416666666666,1,4.0,5
smoothed,cgau8,15.664533166083448,0.7309425372787662,790.619483622027,-35.26834427668928,209,103,45295.14315222483,-370526.0398825453,True,13.55798995540995,505098.5792633354,0.025583002150823562,2.1702511407585967e-05,0.42086860526321057,5,44965.677460635125,792.3504405493877,89102.27154085526,"[23, 96, 160, 187, 199]","[87705.16927065935, 89102.27154085526, 15630.744035060256, 31597.8520160514, 792.3504405493877]","[0, 61, 133, 133, 197]","[61, 133, 168, 208, 208]",0.05,20,509319869764.69464,72397.14741592867,-72397.14741592867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,uc1.b3747696,,,71552.480749262,0.0,-16.0,,0.0,775.3504405493877,,,44640.19919976556,,,,,,,,,,,10.0,,,,0.0,-20.5,44640.19919976556,217342.38730317564,44640.199199765564,,,,,,,88257.60487418859,71552.480749262,0.0,-11.5,,,,,,18.0,,0.09611169948504442,0.7430584934535405,0.9104417577580693,0.6091532823492689,0.20738787263026137,0.5582112567463378,0.5906707121994954,0.09190913873178291,0.930015767054547,0.02558315974483075,0.5345478127814732,0.5345478127814732,0.5344582199449807,0.6922386930270827,0.3295137049936212,0.7142857142857142,,0.6896551724137931,0.2857142857142857,0.01059636627924787,0.01059636627924787,0.55,1.4971070786249716,0.577528707025722,10,2.074609439919047,0.8314444000795729,2,0,0,0.4093114423538125,0.5826175548793869,10,0,0.0,0.5263288867120386,0.8313603100085507,2,4.618802153517006,0.670085560463071,6.0,3.3333333333333335,0.6207570659458213,7,cgau,7.0,7.0,,1,0.5833333333333334,,,2,5.75,6
smoothed,mexh,22.52854636387943,0.6516003158823803,1729.782886403651,-45.36533056000195,209,103,141813.26512313736,,False,13.27948935530852,864066.5256241282,0.017598087459711496,2.939083599989535e-06,0.435180964479672,5,51458.78506099316,607.7537716598599,231925.27529455553,"[36, 43, 94, 143, 183]","[607.7537716598599, 19336.76311772247, 231925.27529455553, 3395.419429747417, 2028.7136912805436]","[0, 0, 0, 138, 180]","[40, 57, 208, 208, 208]",0.05,30,5155668344874.047,246173.77229485454,-246173.77229485454,0.492822966507177,29640644.91128599,0.015500748366436176,0.0555443739263007,49741889.05237973,9175576720110.816,15.0,3143819.3410952697,0.014354066985645932,"[0.0, 0.004784688995215311, 0.009569377990430622, 0.014354066985645932, 0.019138755980861243, 0.023923444976076555, 0.028708133971291863, 0.03349282296650718, 0.03827751196172249, 0.043062200956937795, 0.04784688995215311, 0.05263157894736842, 0.057416267942583726, 0.06220095693779904, 0.06698564593301436, 0.07177033492822966, 0.07655502392344497, 0.08133971291866028, 0.08612440191387559, 0.09090909090909091, 0.09569377990430622, 0.10047846889952153, 0.10526315789473684, 0.11004784688995214, 0.11483253588516745, 0.11961722488038277, 0.12440191387559808, 0.1291866028708134, 0.1339712918660287, 0.13875598086124402, 0.14354066985645933, 0.14832535885167464, 0.15311004784688995, 0.15789473684210525, 0.16267942583732056, 0.16746411483253587, 0.17224880382775118, 0.1770334928229665, 0.18181818181818182, 0.18660287081339713, 0.19138755980861244, 0.19617224880382775, 0.20095693779904306, 0.20574162679425836, 0.21052631578947367, 0.21531100478468898, 0.2200956937799043, 0.2248803827751196, 0.2296650717703349, 0.23444976076555024, 0.23923444976076555, 0.24401913875598086]","[29640644.91128599, 9220425.436407812, 1470223.6761408641, 3143819.3410952697, 943165.2890968521, 631333.0707252448, 868819.817410668, 321337.1746937519, 240329.49440660683, 178513.07178257647, 97143.12092400552, 189834.89971521345, 159822.26317505186, 65840.30885725153, 95288.30471982183, 107379.01795869188, 118426.80806844086, 60154.31452801146, 43511.45580911022, 68003.93080407758, 85741.33651006946, 69957.8148231041, 57906.90649753928, 27289.993176571435, 65785.99990459078, 52985.5615326216, 38651.90140719125, 35455.0986145121, 38926.25456940034, 24435.842972574846, 42681.9557658687, 37581.93818126208, 44100.09633719319, 37486.26944215026, 35542.97730398007, 27371.964878993087, 29969.771447115603, 28272.609436910156, 29133.699775961108, 27557.377169642292, 33415.36305052554, 28980.879496749516, 27973.884662593955, 26928.940638230128, 31664.761347690295, 29091.4593399728, 26450.320586667105, 27822.256264822427, 19435.683734327, 26534.98148414156, 26233.283939435816, 8951.351772833817]",3.0,0.7,64895.204190570075,15.0,0.5,306514974172.7442,0.036793080508859176,0.06073170096156399,419255532376.1306,1.2753024184911143e+20,"[0.015625, 0.015625, 0.015625, 0.015625, 0.015625]",1.0,306514974172.7442,0.015625,"[0.0, 0.015625, 0.03125, 0.046875, 0.0625, 0.078125, 0.09375, 0.109375, 0.125, 0.140625, 0.15625, 0.171875, 0.1875, 0.203125, 0.21875, 0.234375]","[2.7925617479790214e-20, 306514974172.7442, 33252269609.46208, 22688435074.689987, 13665086944.809587, 8496328148.672215, 5569771109.970949, 4246284576.910592, 3217601984.5249968, 2603880509.026657, 2057343775.3237143, 1784689996.13301, 1536422760.7677946, 1329491363.6987715, 1193737173.3467321, 1050450598.8620209]",3.0,0.5,boxcar,64.0,32.0,64895.204190570075,15.0,CWT,uc1.b3747696,0.0,0.0,245329.10562818788,0.0,-11.5,0.0,0.0,590.7537716598599,,3127336.4790623337,51133.306800123595,0.004441354546551278,0.0,1.275302417558088e+20,0.0,0.0647516383504767,0.0,0.0,9175506617607.266,0.0,64778.40419057007,0.0,0.0,29557426.577952657,49443605.35644236,0.0,-20.5,51133.306800123595,249807.92530496581,51133.306800123595,,0.013470874686632259,306509639535.36414,64778.40419057007,1.0,306509639535.36414,231080.60862788887,245329.10562818788,0.0,-7.0,0.2,0.0,0.0,0.0,419233850962.70636,18.0,0.05181068882040152,1.0,0.08767394113525441,0.0,0.27318072666221155,1.0,0.1192495502441534,0.6108139874678142,0.21454710756733175,,0.019301277142984997,0.627436034534053,0.627436034534053,0.6273643213412533,0.8125288142961828,1.0,0.7142857142857142,,1.0,0.2857142857142857,0.8133944054225362,0.8133944054225362,1.0,2.4163691838685235,0.9321461306148622,2,1.3407368037834018,0.5373291406260027,11,0,0,0.6950712743911333,0.9893706465274181,2,1,0.11111111111111112,0.40762760857904007,0.6438662661160827,6,4.272001872658765,0.6948570090958025,5.25,3.180722891566265,0.6599285045479013,6,mexh,6.0,6.0,,1,0.5,,,5,5.75,7
smoothed,gaus6,20.40792819046908,0.6300459887583035,542.7863361802667,-34.275124956761445,209,103,35032.23707362611,,False,13.053039322340839,412099.7046881605,0.028352992954406072,1.6935918617588759e-06,0.6136729641637713,5,59443.20561303869,346.10822981840465,124656.99638737278,"[26, 96, 160, 186, 199]","[124656.99638737278, 110049.39544406025, 17944.058471611996, 44219.46953233, 346.10822981840465]","[0, 63, 133, 133, 197]","[63, 133, 168, 208, 208]",0.05,20,404008104212.9679,100491.5077708517,-100491.5077708517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,uc1.b3747696,,,99646.84110418503,0.0,-11.5,,0.0,329.10822981840465,,,59117.727352169124,,,,,,,,,,,10.0,,,,0.0,-20.5,59117.727352169124,289730.02806519344,59117.727352169124,,,,,,,123812.32972070611,99646.84110418503,0.0,-11.5,,,,,,18.0,,0.0,0.044170373788889654,1.0000000000000002,0.0,0.7551246430724498,0.0,0.8620243874062269,0.06013696186329939,,0.010397397202833017,0.7416584796947284,0.7416584796947284,0.7416087526760924,0.9604467259624075,0.4964262828401374,0.7142857142857142,,0.6896551724137931,0.2857142857142857,0.14038423285584353,0.14038423285584353,1.0,2.038438361851218,0.7863543551960387,5,1.3596779733807023,0.5449202221518091,10,0,0,0.5552183130163673,0.7903026949201069,5,1,0.11111111111111112,0.3346264902108027,0.5285576939859856,11,3.2015621187164243,0.7713169915202553,7.75,6.769230769230769,0.6088727814744134,8,gaus,8.125,8.5,4.54933276112317,8,0.6770833333333334,1.0,0.2260416666666666,1,6.25,8
smoothed,gaus3,21.112206046124754,0.6592186556417522,892.1028482787455,-38.03929503908882,209,103,54647.8012194865,,False,13.331376828972392,908442.200548309,0.03181054497830362,1.7779881002775464e-06,0.13239030577246177,4,41806.02339813566,274.82933048409177,79832.35365061954,"[48, 125, 164, 195]","[79832.35365061954, 61853.3421041925, 25263.568507246495, 274.82933048409177]","[6, 6, 142, 142]","[76, 142, 180, 197]",0.05,10,949115449622.573,167198.3162446083,-167198.3162446083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,uc1.b3747696,,,166353.64957794163,0.0,-21.0,,0.0,257.82933048409177,,,41480.54513726609,,,,,,,,,,,20.0,,,,0.0,-21.0,41480.54513726609,159738.09359254263,41480.54513726609,,,,,,,78987.68698395287,166353.64957794163,0.0,-21.0,,,,,,19.0,,0.1836989632349787,0.04711823553174844,0.6605860867694372,0.3357758059139144,0.8364501232754723,0.16139809817527606,0.1846651258601546,0.22970763288325602,,0.007971753878386566,0.48934686043583425,0.48934686043583425,0.48924856706759196,0.4788053756524924,0.28599583505751525,0.857142857142857,,0.034482758620689724,0.14285714285714285,0.4485505071033129,0.4485505071033129,0.050000000000000044,1.3751861537465488,0.5304961098857186,11,1.2820181190538484,0.5137963634878007,12,0,0,0.35185825211291416,0.5008381718607273,11,1,0.11111111111111112,0.3243694533999741,0.51235623987981,12,0.5773502691896257,0.9587606950578839,11.5,11.478260869565219,0.5686660618146562,9,gaus,8.125,8.5,4.54933276112317,8,0.6770833333333334,1.0,0.2260416666666666,1,7.0,9
smoothed,cmor,18.400714185393955,0.7970455706786825,822.1102445494606,-35.66599126743669,209,103,46993.18673715098,-384724.2806650735,True,13.881977863263923,236075.57524915074,0.018676829952512443,2.9058655814416904e-05,0.41246577289902464,6,28134.45682394819,313.659326599256,65259.36316972776,"[26, 32, 96, 150, 160, 186]","[65259.36316972776, 382.35675952624297, 60108.17139494744, 313.659326599256, 12660.069048211732, 30083.121244676688]","[0, 31, 61, 134, 134, 134]","[134, 61, 134, 152, 169, 208]",0.05,30,558602704268.642,85677.0235136117,-85677.0235136117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,uc1.b3747696,,,84832.35684694503,0.0,-15.5,,0.0,296.659326599256,,,27808.978563078625,,,,,,,,,,,0.0,,,,0.0,-20.0,27808.978563078625,161320.74094368913,27808.97856307862,,,,,,,64414.696503061095,84832.35684694503,0.0,-11.0,,,,,,17.0,,0.11201380883857878,1.0,0.8745860662611307,1.0,0.5233444706275927,0.923927011051143,0.5788445301714018,0.0,0.685126460563263,0.009293150838001077,0.29376600981536133,0.29376600981536133,0.293630069952695,0.48466934260061867,0.2175825533179257,0.5714285714285714,,0.7241379310344828,0.42857142857142855,0.07194557534987837,0.07194557534987837,0.6,1.1108831147576688,0.4285377432801632,12,2.4951872184363717,1.0,1,0,0,0.3383946848395168,0.4816740102148372,12,0,0.0,0.6330935941681233,1.0,1,6.3508529610858835,0.5463676456367226,6.5,1.8461538461538458,0.5410409656755042,10,cmor,10.0,10.0,,1,0.8333333333333334,,,3,8.25,10
