signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,decomposition_levels,original_level,padded,emd_value,kl_divergence,change_point_indices,change_point_prominences,num_change_points,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,fft_frequency_max,fft_amplitude_max,fft_spectral_centroid,fft_spectral_bandwidth,fft_spectral_magnitude,fft_variance_magnitude,fft_num_peaks,fft_peak_amplitude,fft_dominant_frequency,fft_positive_frequencies,fft_positive_amplitudes,fft_snr_threshold,fft_stationarity_threshold,fft_dynamic_cutoff,fft_dynamic_cutoff_percentile,stft_frequency_max,stft_amplitude_max,stft_spectral_centroid,stft_spectral_bandwidth,stft_spectral_magnitude,stft_variance_magnitude,stft_peak_freq_over_time,stft_num_peaks,stft_peak_amplitude,stft_dominant_frequency,stft_positive_frequencies,stft_positive_amplitudes,stft_snr_threshold,stft_stationarity_threshold,stft_window,stft_nperseg,stft_noverlap,stft_dynamic_cutoff,stft_dynamic_cutoff_percentile,wavelet_type,htid,stft_amplitude_max_diff,stft_frequency_max_diff,avg_prominence_diff,fft_variance_magnitude_diff,stft_noverlap_diff,prominence_max_diff,stft_spectral_magnitude_diff,upper_envelope_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,stft_num_peaks_diff,fft_peak_amplitude_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,stft_window_diff,stft_nperseg_diff,prominence_threshold_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,stft_dominant_frequency_diff,relative_num_peaks_diff,max_autocorrelation_diff,stft_variance_magnitude_diff,fft_amplitude_max_diff,fft_dominant_frequency_diff,fft_snr_threshold_diff,stft_stationarity_threshold_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,stft_dynamic_cutoff_percentile_diff,lower_envelope_diff,fft_stationarity_threshold_diff,stft_dynamic_cutoff_diff,fft_frequency_max_diff,fft_num_peaks_diff,fft_dynamic_cutoff_percentile_diff,fft_dynamic_cutoff_diff,prominence_min_diff,fft_spectral_centroid_diff,stft_peak_amplitude_diff,fft_spectral_bandwidth_diff,stft_spectral_bandwidth_diff,fft_spectral_magnitude_diff,distance_factor_diff,stft_snr_threshold_diff,stft_spectral_centroid_diff,emd_value_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,relative_num_peaks_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_right_bases_array_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,relative_left_bases_array_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_array_alignment_score_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,reconstruction_signal_num_missing_metrics,reconstruction_signal_missing_metrics_count,reconstruction_signal_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,top_wavelet_rank
raw,bior2.2,84271753.3297385,0.6486191860465116,399.65336249999996,2.2945340808147456,688,4,False,False,870.0542896339416,,"[4, 29, 51, 80, 106, 132, 156, 187, 216, 238, 269, 292, 316, 350, 378, 403, 433, 470, 512, 539, 568, 596, 620, 650, 675]","[2366.6650421478025, 751.2462552491127, 4289.76873111637, 3477.5996969670255, 3912.4172844697046, 3373.1106014656866, 3703.605929368905, 3846.7005741121407, 4420.814684210844, 680.8290477012129, 5624.722777855332, 3108.1189458369477, 3747.543588644587, 2599.949620513448, 3755.3457446042853, 3189.6301864126126, 3788.616956090795, 2820.448946492099, 3560.484236895262, 4170.034239898651, 4063.888555903457, 3495.1025713000427, 2672.2294647084473, 4684.925990168455, 3296.092613462108]",25,11.110441368825654,1160009.2488259044,0.49515433742308973,4.656658898536938e-07,0.8118680284597338,24,5167.6577934801,680.8290477012129,7460.730102670847,"[4, 51, 80, 106, 132, 156, 187, 216, 238, 269, 292, 316, 350, 378, 403, 433, 470, 512, 539, 568, 596, 620, 650, 675]","[4383.759556815951, 5990.726818392334, 5047.737167776293, 5563.030824336623, 4660.262589213291, 5068.132735871261, 5526.105901790942, 5998.444666548971, 680.8290477012129, 7460.730102670847, 4154.770487002272, 5333.001356986239, 4047.1446268062246, 5785.485145739109, 4593.739624282162, 6283.385187463307, 5039.335813150053, 4828.090832223138, 6270.885506115783, 5537.658906530602, 5239.869815174361, 4301.675838045656, 6809.436433283785, 5419.548059601989]","[0, 0, 56, 56, 109, 109, 109, 0, 237, 0, 272, 301, 328, 301, 396, 419, 436, 504, 504, 544, 578, 600, 504, 655]","[29, 109, 93, 109, 140, 165, 196, 246, 246, 504, 301, 328, 355, 419, 419, 504, 504, 517, 642, 642, 642, 642, 655, 687]",0.05,30,1931752368.7324712,5627.23806520552,-5627.23806520552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SWT,inu.32000013025087,,,4150.491126813433,,,5935.730102670847,,4102.23806520552,0.4166666666666667,33.0,,,0.16666666666666666,12.0,,,0.0,0.20833333333333334,10.5,,0.0,1563768107.7324712,,,,,,4150.491126813433,99611.7870435224,4150.491126813434,,4102.23806520552,,,,,,,530.8290477012129,,,,,,0.0,,,0.8346836804053215,0.5215818079871228,0.5960718839219429,0.21331366970561483,0.5594405594405588,0.9469035519544452,0.19118554048036374,,0.2100125595397897,1.0,1.0,1.0,1.0,0.7091748407107203,0.0,0.8511168693795625,0.6363636363636362,0.7142857142857143,0.7123287671232876,0.5714285714285714,1.0,1.0,0.9090909090909093,0.9126213592233011,3.2709327454900414,1.0,1,1.6470588264777961,0.9608559022557819,8,0,0,0.7641514516965934,0.9572448091905925,4,0,0,0.5518829562707672,1.0,1,3.3166247903554,0.9687110868834397,3.5,1.6842105263157894,0.9678461094794557,1,bior,38.666666666666664,16.0,39.216735980348766,15,0.5948717948717949,0.9788552272464018,0.28993317541582303,2,1.25,1
raw,coif1,58775134.302232586,0.653343023255814,378.1955531194185,3.6354071774428998,688,4,False,False,680.1930547395874,,"[22, 51, 80, 106, 133, 161, 187, 217, 246, 269, 294, 316, 351, 379, 403, 433, 459, 487, 512, 540, 568, 596, 620, 650, 675]","[2395.572015406729, 3864.8221279170402, 3367.0251475427413, 3637.566054442162, 3182.9664327113915, 3522.1019709190464, 3482.384567375818, 3665.9674917205093, 1150.0212061586235, 4927.426235454132, 3029.542101380449, 3436.630373022305, 2546.606772570547, 3751.3619380758464, 3233.401141042281, 3138.2939085843545, 1488.7208726969902, 2409.1752336485574, 3128.866109568881, 3980.7247171569984, 3595.057569679729, 3362.95182502992, 2373.08993403903, 4226.886522562577, 3137.3759941062217]",25,11.195585664264762,1002943.0764911505,0.4880056708769931,7.931895854886292e-07,0.731375188879649,24,4544.839082076839,1488.7208726969902,6686.737620902789,"[22, 51, 80, 106, 133, 161, 187, 217, 269, 294, 316, 351, 379, 403, 433, 459, 487, 512, 540, 568, 596, 620, 650, 675]","[3859.817841379315, 5247.499030807499, 4519.226724961785, 4880.1365836581235, 4284.3982204519525, 4585.282820756366, 4856.7649962167525, 4871.897990037651, 6686.737620902789, 3792.235315776844, 4838.046224017381, 3659.238609933949, 5525.169747888358, 4101.506933718632, 4985.004288153649, 1488.7208726969902, 3365.892604530535, 4131.035039646527, 5795.506683045314, 4686.665632380249, 4726.682669749416, 3703.6134303367357, 5840.594289332982, 4644.46379946434]","[0, 0, 56, 56, 110, 140, 140, 196, 0, 273, 301, 328, 301, 383, 419, 452, 481, 505, 419, 545, 578, 600, 419, 656]","[30, 196, 93, 196, 140, 166, 196, 246, 419, 301, 328, 358, 419, 419, 505, 465, 490, 519, 578, 578, 632, 632, 656, 687]",0.05,30,1548048718.1460302,4928.639102662309,-4928.639102662309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SWT,inu.32000013025087,,,3527.6724154101726,,,5161.737620902789,,3403.6391026623087,0.125,9.0,,,0.08333333333333333,0.0,,,0.0,0.16666666666666666,13.5,,0.0,1180064457.1460302,,,,,,3527.6724154101726,84664.13796984415,3527.672415410173,,3403.6391026623087,,,,,,,1338.7208726969902,,,,,,0.0,,,0.5531295882657795,0.7593143224076411,0.7144206885834761,0.07178720011456613,0.6503496503496505,0.9010197374597528,0.060114115253320055,,0.5311834965715745,0.7849247354377642,0.7849247354377642,0.7844214118100318,0.777656658746632,0.571171858953799,0.0,0.5366758989121727,0.7142857142857142,0.5714285714285714,0.3835616438356164,0.2857142857142857,0.7659428299583825,0.7659428299583825,0.27272727272727276,0.44660194174757284,2.4541305184881836,0.7502846158704841,15,1.6592248154984293,0.9679532579599814,6,0,0,0.5610727428453461,0.702850160756202,9,0,0,0.5300193289191695,0.9603835793383861,8,3.872983346207417,0.9634624212621942,9.5,8.520710059171599,0.9369198898763801,2,coif,46.470588235294116,49.0,19.020113193205578,17,0.7149321266968326,0.47474469143267944,0.35712410388241334,1,1.75,2
raw,bior6.8,62840518.465709165,0.6460755813953488,370.72069040911964,3.3431588548443303,688,4,False,False,720.5552183390535,,"[4, 50, 80, 106, 133, 161, 187, 216, 238, 269, 294, 316, 351, 379, 403, 433, 455, 487, 513, 539, 568, 596, 620, 650, 675]","[2626.830128683008, 4089.5434214482248, 3346.7553700723925, 3594.2168684166995, 3227.2210282088117, 3408.470363371621, 3325.6338001723616, 3898.011911283906, 339.55433586874597, 4910.42283575649, 2856.1184002822733, 3352.4231172084187, 2545.6380755567316, 3638.614468172607, 3209.9416151687415, 3427.000285725357, 1335.6914726662, 2544.2741517869126, 3168.5337829818545, 3982.6932521218973, 3557.824103666583, 3504.5395268809134, 2114.2663562460993, 4422.255590346765, 2803.359438782759]",25,11.200214063983998,1018526.1861369399,0.4855456155887689,9.13842219850882e-07,0.7614749239769912,25,4481.200659979981,339.55433586874597,6596.001427486412,"[4, 50, 80, 106, 133, 161, 187, 216, 238, 269, 294, 316, 351, 379, 403, 433, 455, 487, 513, 539, 568, 596, 620, 650, 675]","[4038.696122482789, 5598.566333111755, 4342.908560104457, 5037.640524767403, 4465.533153690673, 4694.026449703103, 4571.95528217041, 5111.873273915637, 339.55433586874597, 6596.001427486412, 3883.568349192531, 4848.443790937463, 3472.674224906493, 5558.1647689551355, 4413.3318705576785, 5116.806939892894, 1335.6914726662, 4603.125245809971, 4011.109590281175, 5843.454993596246, 5045.407242350617, 4816.574385685777, 3541.8429324556328, 6250.100950866614, 4492.9642780436925]","[0, 0, 56, 56, 109, 109, 166, 56, 237, 0, 273, 301, 328, 301, 383, 419, 452, 481, 481, 481, 545, 578, 600, 481, 656]","[30, 56, 86, 109, 140, 166, 196, 246, 246, 481, 301, 328, 358, 481, 419, 481, 465, 505, 519, 578, 578, 632, 632, 656, 687]",0.05,30,1633015012.4383113,4911.247309024728,-4911.247309024728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SWT,inu.32000013025087,,,3464.033993313314,,,5071.001427486412,,3386.2473090247277,0.0,18.5,,,0.0,11.0,,,0.0,0.0,24.5,,1.0,1265030751.4383113,,,,,,3464.033993313314,87618.01649949951,3464.0339933133137,,3386.2473090247277,,,,,,,189.55433586874597,,,,,,0.0,,,0.6129845256644473,0.707499628876055,0.720854068194434,0.0943533084902491,0.5104895104895103,0.9181776693795447,0.0731181909265321,,0.07434152587750621,0.7629487571663872,0.7629487571663872,0.7623940048951561,0.8215950211408024,0.5549935813352249,0.5,0.6063048534281109,1.0,0.0,0.684931506849315,0.0,0.7601159189278521,0.7601159189278521,0.0,0.6310679611650486,2.498989751972782,0.7639991239252432,12,1.6167129716855435,0.9431528346923199,10,0,0,0.5426098629299776,0.6797218974748112,10,0,0,0.519639557431539,0.9415756575323395,15,2.362907813126304,0.977708416857299,11.75,11.428571428571429,0.9334296801267628,3,bior,38.666666666666664,16.0,39.216735980348766,15,0.5948717948717949,0.9788552272464018,0.28993317541582303,2,2.75,3
raw,bior2.4,82873166.34156261,0.6417151162790697,387.95800826279924,2.2427928755561313,688,4,False,False,853.4407092448739,,"[4, 29, 51, 80, 106, 132, 156, 187, 216, 238, 269, 294, 316, 351, 378, 403, 433, 470, 512, 539, 568, 596, 620, 650, 675]","[2785.3049680554122, 863.7878278354857, 4499.800784771446, 3578.1659117007794, 3910.917093681348, 3210.607861300261, 3622.562323729651, 3762.1113534665055, 4547.649268244099, 478.88610283446405, 5454.534350704833, 3171.855781032184, 3806.817756938553, 2474.1702471002377, 3775.7812890218715, 3336.0198880343246, 3920.675162211374, 2780.7478009612373, 3396.4601682231346, 4340.249430478417, 4043.1111419011695, 3534.6751199562286, 2537.8221910501265, 4934.335700374809, 3242.829555418863]",25,11.131960690252622,1144665.6595728465,0.48578728944350075,6.754482825893636e-07,0.7778663379928829,24,5126.0022073004675,478.88610283446405,7337.094933472026,"[4, 51, 80, 106, 132, 156, 187, 216, 238, 269, 294, 316, 351, 378, 403, 433, 470, 512, 539, 568, 596, 620, 650, 675]","[4465.2268318655715, 6273.810232271726, 5029.299466527111, 5637.092048840818, 4420.375945056269, 5052.624498221568, 5369.00079319789, 5988.4288872265, 478.88610283446405, 7337.094933472026, 4168.724906665325, 5406.7181966658645, 3681.322074544662, 5897.761581698764, 4705.421291185431, 6137.520614667606, 4974.535357027312, 4543.779921424566, 6112.5672206176505, 5609.717916208485, 5218.8064119383625, 4154.994628510521, 7005.740285678184, 5354.602828864532]","[0, 0, 56, 56, 109, 109, 109, 109, 237, 109, 272, 301, 328, 301, 396, 419, 436, 504, 504, 545, 578, 600, 504, 656]","[29, 109, 93, 109, 140, 165, 196, 246, 246, 504, 301, 328, 355, 419, 419, 504, 504, 517, 578, 578, 642, 642, 656, 687]",0.05,30,1916315400.8626232,5464.685575433461,-5464.685575433461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SWT,inu.32000013025087,,,4108.8355406338005,,,5812.094933472026,,3939.685575433461,0.375,28.5,,,0.25,18.0,,,0.0,0.25,15.0,,0.0,1548331139.8626232,,,,,,4108.8355406338005,98612.05297521122,4108.835540633801,,3939.685575433461,,,,,,,328.88610283446405,,,,,,0.0,,,0.8100466261576018,0.512408257666656,0.6259832943678769,0.2055504020096519,0.4265734265734261,0.927521365091293,0.1783813441241273,,0.12973175606693518,0.9856152584146133,0.9856152584146133,0.9855815949418124,0.9851291522822436,0.6871306705135068,0.0,0.8384664420233199,0.7532467532467533,0.8571428571428571,0.8767123287671234,0.8571428571428571,0.9455387457193457,0.9455387457193457,0.8181818181818183,0.825242718446602,3.222651178004309,0.9852392050700819,2,1.5792162449515772,0.921278114361504,16,0,0,0.7797510598139841,0.9767862807962876,2,0,0,0.5266378165700905,0.9542563519785691,10,6.8068592855540455,0.9357843463626977,7.5,3.440860215053763,0.9325148146907828,4,bior,38.666666666666664,16.0,39.216735980348766,15,0.5948717948717949,0.9788552272464018,0.28993317541582303,2,3.5,4
raw,rbio2.2,56732563.367972,0.6715116279069767,424.0882361634561,3.295536345820478,688,4,False,False,625.6699666042821,,"[24, 52, 80, 106, 133, 161, 187, 217, 239, 269, 294, 316, 351, 379, 403, 434, 461, 488, 513, 540, 568, 596, 621, 651, 675]","[2713.6173916570347, 4134.141207311187, 3453.905905228565, 3666.4943506224477, 3517.4129407460673, 3894.1018078403213, 3642.9355796613195, 3776.5993479338536, 2711.6047088232444, 4832.132384695742, 3228.9891418260613, 3230.959369528171, 2730.028086515502, 4177.463083962348, 3047.226013537339, 3466.668475330712, 1837.3261816298607, 2547.9221731731736, 3423.809939404169, 4409.085118798869, 3349.070072363637, 3746.411522976937, 2397.6501925359958, 4577.753338534712, 2902.3631218888377]",25,11.262438529510604,956358.0876726762,0.48752446951600475,9.526525221333841e-07,0.5131487332764931,25,4554.968643592238,1837.3261816298607,6759.662980733623,"[24, 52, 80, 106, 133, 161, 187, 217, 239, 269, 294, 316, 351, 379, 403, 434, 461, 488, 513, 540, 568, 596, 621, 651, 675]","[4234.37569756519, 5641.352058094462, 4291.46819399973, 4802.172128305985, 4258.141966073471, 5410.321434811742, 4778.170692117355, 4809.64940121647, 2813.851094377991, 6759.662980733623, 4082.9991446308277, 4572.776874133328, 3889.227009776855, 5796.54102541112, 3856.6298372128786, 5298.701161616053, 1837.3261816298607, 3142.8628648305657, 4451.997546128835, 6367.687595206003, 4206.849605356509, 5221.400849350665, 3374.596390138176, 5869.394291179087, 4106.060065909162]","[0, 0, 56, 93, 110, 140, 166, 197, 227, 0, 281, 301, 328, 301, 383, 419, 452, 481, 481, 419, 545, 578, 600, 419, 656]","[30, 140, 93, 140, 140, 197, 197, 247, 247, 419, 301, 328, 358, 419, 419, 481, 467, 490, 519, 578, 578, 632, 632, 656, 687]",0.05,30,1461879984.2957728,4837.769007439651,-4837.769007439651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SWT,inu.32000013025087,,,3537.801976925571,,,5234.662980733623,,3312.7690074396514,0.0,5.0,,,0.0,0.5,,,0.0,0.0,14.0,,1.0,1093895723.2957728,,,,,,3537.801976925571,89462.21608980595,3537.8019769255707,,3312.7690074396514,,,,,,,1687.3261816298607,,,,,,0.0,,,0.47227475452827594,0.6990563102341016,0.8073447846634341,0.06044931045541832,1.0,0.7766228065157633,0.021239029753625453,,0.6697687505129795,0.788422732660608,0.788422732660608,0.7879275951190605,0.8490271274757636,0.5841744621307216,0.5,0.4660615582500236,0.7272727272727271,0.0,0.3972602739726028,0.0,0.7354978987895764,0.7354978987895764,0.0,0.36893203883495146,2.540432984621585,0.7766692813003665,10,1.7141579945661254,1.0,1,0,0,0.524891612279325,0.657526423756063,16,0,0,0.5481409994500885,0.9932196550406917,3,6.855654600401044,0.9353240132037637,7.5,2.6740947075208914,0.9322846481113158,5,rbio,47.4,23.0,40.06387756713379,15,0.7292307692307692,1.0,0.18953846153846152,3,4.5,5
raw,bior1.5,69222734.3497541,0.6359011627906976,388.6360127401827,1.9301272686414972,688,4,False,False,981.5325506953347,,"[3, 49, 78, 101, 132, 156, 182, 216, 264, 289, 314, 343, 375, 400, 448, 479, 507, 535, 568, 593, 617, 646, 674]","[1772.503568151734, 4032.2264182070116, 2783.4427094140005, 3644.7520842397826, 2327.91844664037, 4429.792775124099, 2907.460131040647, 3521.496556117181, 3441.933076301071, 617.6224848834986, 3587.7155298759913, 2677.0957795616314, 3663.0585791436865, 3460.1684840810785, 3005.992673732054, 1188.6078114467127, 3290.823936161956, 4359.7104525304, 2308.9391786074693, 3086.539262931361, 478.4285829449975, 3721.797321580458, 3094.859522111273]",23,11.211236865856778,1037296.5039961472,0.47797201557755764,9.86815231321054e-07,0.8966342019123649,23,4753.1791482196095,250.72789256782357,7062.87118930656,"[3, 49, 78, 101, 132, 156, 182, 216, 264, 289, 314, 343, 375, 400, 448, 482, 507, 535, 568, 593, 617, 646, 674]","[3192.6265931279013, 6117.397911790949, 4804.717891287801, 6029.846875049256, 4079.790137587858, 6775.71702535475, 5350.416767477521, 5652.694596478756, 5122.540970611354, 617.6224848834986, 5857.677802708029, 4560.141568232253, 6053.160928267314, 5582.996004212613, 5074.834992441398, 250.72789256782357, 5385.203609225307, 7062.87118930656, 4561.24338907932, 5404.776793870666, 478.4285829449975, 6091.670301492102, 5216.016101052978]","[0, 28, 54, 54, 109, 54, 163, 163, 243, 287, 271, 326, 271, 381, 436, 479, 436, 271, 542, 542, 615, 598, 653]","[28, 54, 85, 109, 139, 653, 189, 271, 271, 296, 326, 354, 436, 436, 479, 483, 517, 653, 574, 598, 628, 653, 685]",0.05,30,2113430349.9601889,4440.2528162531535,-4440.2528162531535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SWT,inu.32000013025087,,,3736.012481552943,,,5537.87118930656,,2915.2528162531535,0.0,28.0,,,0.0,17.5,,,0.0,0.0,10.0,,1.0,1745446088.9601889,,,,,,3736.012481552943,84911.12040905101,3736.0124815529425,,2915.2528162531535,,,,,,,100.72789256782357,,,,,,0.0,,,1.0,0.45697364488223197,0.7361755341709469,0.1297796715410661,0.3146853146853139,0.9952233205005128,0.08878198585576366,,0.03902928338971144,0.8568699002572544,0.8568699002572544,0.8565349442073946,0.781330473972925,0.6382365336131924,0.5,1.0,0.6233766233766234,0.0,0.863013698630137,0.0,0.6023148857256552,0.6023148857256552,0.0,0.8155339805825245,2.745246494833986,0.8392855214217195,6,1.5666380382019818,0.9139402803990173,20,0,0,0.5647140693586454,0.7074116137190732,8,0,0,0.5316599245194051,0.9633563031407693,7,6.551081335677848,0.9381973458898316,10.25,8.255528255528256,0.9207496163411422,6,bior,38.666666666666664,16.0,39.216735980348766,15,0.5948717948717949,0.9788552272464018,0.28993317541582303,2,5.0,6
raw,dmey,64966711.317844294,0.6515261627906976,408.75259240679594,3.1651748721557964,688,4,False,False,705.0288116103527,,"[22, 50, 80, 106, 133, 161, 187, 217, 239, 269, 293, 324, 351, 379, 403, 433, 459, 487, 513, 540, 568, 596, 624, 651, 675]","[2416.8623376279124, 4137.290297233636, 3618.5417132433745, 3845.831979204292, 3541.3717964723905, 3671.444440146477, 3133.343068618258, 3964.990255593731, 250.71658809212886, 4973.575349363439, 2991.3676306341827, 2908.980936043948, 3097.0937615924877, 3789.739187716476, 3266.7391838561484, 3366.6678470978577, 1378.0598639730545, 3188.315941318072, 3045.962199044702, 3968.0130512165256, 3472.9504342688338, 3602.23190660189, 1937.5588522284206, 4200.778412689663, 2621.70237989178]",25,11.243867461590714,1002321.6923324876,0.48248117695389514,1.038791803108809e-06,0.6944495604551918,25,4531.08376449479,250.71658809212886,6807.176730871398,"[22, 50, 80, 106, 133, 161, 187, 217, 239, 269, 293, 324, 351, 379, 403, 433, 459, 487, 513, 540, 568, 596, 624, 651, 675]","[4153.785729669738, 5719.323099741448, 4664.9126058781485, 5230.851422265717, 4616.880687364825, 5005.463615968783, 4366.066102390542, 5015.778925924296, 250.71658809212886, 6807.176730871398, 4099.897625793557, 4386.616476582356, 4127.60293933303, 5758.560093676374, 4465.544716834809, 4756.930139857612, 1378.0598639730545, 5032.672516947268, 4214.098338458131, 6212.743863904305, 4745.691862381891, 5344.661368968768, 3023.4123987413655, 5917.118113743085, 3982.5282850071026]","[0, 0, 56, 56, 109, 140, 166, 56, 237, 0, 279, 301, 301, 301, 383, 419, 452, 481, 505, 481, 545, 578, 600, 578, 656]","[30, 56, 86, 140, 140, 166, 197, 246, 246, 578, 301, 328, 358, 481, 419, 481, 465, 505, 519, 578, 578, 632, 632, 656, 687]",0.05,30,1624082271.0774274,4975.553404469179,-4975.553404469179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SWT,inu.32000013025087,,,3513.917097828123,,,5282.176730871398,,3450.5534044691794,0.0,0.5,,,0.0,8.0,,,0.0,0.0,20.0,,1.0,1256098010.0774274,,,,,,3513.917097828123,88865.09411236974,3513.9170978281227,,3450.5534044691794,,,,,,,100.71658809212886,,,,,,0.0,,,0.5899596920109578,0.6759436376062434,0.7815313854418862,0.10615536615553332,0.615384615384615,0.8799708007646815,0.05959557134231241,,0.039024789385762905,0.7801746717130709,0.7801746717130709,0.7796602318869658,0.8401450554559717,0.5926461712854252,0.5,0.5989845689894363,0.883116883116883,0.0,0.6027397260273972,0.0,0.7816609018481834,0.7816609018481834,0.0,0.28155339805825247,2.4471589085404286,0.7481532330233841,16,1.6483778609623867,0.9616253963682102,7,0,0,0.5150963732080377,0.6452560266574868,17,0,0,0.5297915812437471,0.9599709054682575,9,4.9916597106239795,0.9529088706544908,12.25,10.658373503343181,0.9186714164593208,7,dmey,7.0,7.0,,1,0.1076923076923077,,,6,6.75,7
raw,sym13,63471649.646138676,0.6366279069767442,385.99174713521217,2.797371624669007,688,4,False,False,860.7139712696425,,"[2, 26, 49, 78, 100, 122, 156, 181, 215, 253, 283, 314, 343, 372, 395, 421, 468, 507, 535, 580, 614, 644, 667]","[2223.9511047304613, 1521.5576955732652, 3279.5473463925155, 2584.429296120867, 3250.0508419456337, 2185.9978758196235, 3811.0924545378825, 2860.2889176884037, 2811.092475259146, 2069.593122244033, 3118.275349519045, 3213.67692737002, 2291.087624145465, 3170.8370572666104, 1130.0123704043885, 3831.1351605345594, 3073.41671680561, 3471.854567699942, 4091.9258428516714, 2786.746530954898, 1549.806704596559, 3637.060078268999, 2470.7726619925184]",23,11.227968626797058,1004744.9641156363,0.48430697862164906,9.76134657408389e-07,0.8423453760855822,22,4787.883128788911,1130.0123704043885,7061.027811805083,"[2, 49, 78, 100, 122, 156, 181, 215, 253, 283, 314, 343, 372, 395, 421, 468, 507, 535, 580, 614, 644, 667]","[2223.9511047304613, 5047.3869597976045, 4248.409823464022, 6041.451540045429, 3519.9770979754408, 6679.098836548363, 4930.332374821038, 5559.839746152047, 2146.3985640649344, 5396.673178084359, 5731.73604923895, 4172.108965651995, 5364.426260075651, 1130.0123704043885, 6341.391684590634, 4721.762533815363, 5435.328873965598, 7061.027811805083, 5306.848818398649, 3677.773039879481, 6434.0777473553735, 4163.415452491171]","[0, 26, 53, 53, 108, 108, 163, 163, 243, 271, 271, 325, 325, 381, 271, 435, 435, 271, 542, 598, 542, 653]","[26, 108, 84, 108, 134, 271, 189, 271, 257, 296, 381, 354, 381, 396, 435, 502, 517, 653, 598, 627, 653, 685]",0.05,30,1827012272.276599,4100.2352857887,-4100.2352857887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SWT,inu.32000013025087,,,3770.716462122244,,,5536.027811805083,,2575.2352857887,0.0,17.0,,,0.0,-8.5,,,0.0,0.0,0.5,,2.0,1459028011.276599,,,,,,3770.716462122244,80921.42883335604,3770.716462122245,,2575.2352857887,,,,,,,980.0123704043885,,,,,,0.0,,,0.8208324860906008,0.6107332973757281,0.7594323348403564,0.0978565874041576,0.328671328671329,0.9642767366010541,0.0616177870849412,,0.388581798871285,0.8688540742482512,0.8688540742482512,0.8685471638127531,0.7219845961604386,0.6379078591135043,1.0,0.7652834989487723,0.37662337662337664,0.0,0.1506849315068493,0.0,0.4883961065517927,0.4883961065517927,0.0,0.6019417475728156,2.7295167334138233,0.8344765685498359,7,1.5831605263178037,0.9235791165904291,14,0,0,0.5141284583881177,0.6440435295339781,18,0,0,0.5204886511525953,0.9431141970204837,13,4.546060565661952,0.9571126361730005,13.0,11.535211267605634,0.9172355633695191,8,sym,65.0,71.0,31.937438845342623,19,1.0,0.7971629503865685,0.06085111488402945,5,7.25,8
