signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,scales_used,emd_value,kl_divergence,is_complex,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,fft_frequency_max,fft_amplitude_max,fft_spectral_centroid,fft_spectral_bandwidth,fft_spectral_magnitude,fft_variance_magnitude,fft_num_peaks,fft_peak_amplitude,fft_dominant_frequency,fft_positive_frequencies,fft_positive_amplitudes,fft_snr_threshold,fft_stationarity_threshold,fft_dynamic_cutoff,fft_dynamic_cutoff_percentile,stft_frequency_max,stft_amplitude_max,stft_spectral_centroid,stft_spectral_bandwidth,stft_spectral_magnitude,stft_variance_magnitude,stft_peak_freq_over_time,stft_num_peaks,stft_peak_amplitude,stft_dominant_frequency,stft_positive_frequencies,stft_positive_amplitudes,stft_snr_threshold,stft_stationarity_threshold,stft_window,stft_nperseg,stft_noverlap,stft_dynamic_cutoff,stft_dynamic_cutoff_percentile,wavelet_type,htid,fft_frequency_max_diff,fft_snr_threshold_diff,lower_envelope_diff,stft_dynamic_cutoff_percentile_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,prominence_threshold_diff,prominence_min_diff,stft_window_diff,fft_peak_amplitude_diff,avg_prominence_diff,stft_spectral_bandwidth_diff,stft_num_peaks_diff,stft_variance_magnitude_diff,stft_noverlap_diff,fft_spectral_centroid_diff,stft_dominant_frequency_diff,stft_nperseg_diff,fft_variance_magnitude_diff,stft_snr_threshold_diff,stft_dynamic_cutoff_diff,distance_factor_diff,fft_stationarity_threshold_diff,fft_amplitude_max_diff,fft_spectral_magnitude_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,max_autocorrelation_diff,stft_spectral_centroid_diff,stft_amplitude_max_diff,fft_dynamic_cutoff_diff,fft_num_peaks_diff,stft_peak_amplitude_diff,prominence_max_diff,upper_envelope_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,stft_stationarity_threshold_diff,fft_dominant_frequency_diff,fft_dynamic_cutoff_percentile_diff,stft_frequency_max_diff,stft_spectral_magnitude_diff,relative_num_peaks_diff,fft_spectral_bandwidth_diff,emd_value_normalized,smoothness_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,relative_num_peaks_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,reconstruction_signal_num_missing_metrics,reconstruction_signal_missing_metrics_count,reconstruction_signal_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,top_wavelet_rank
raw,gaus2,18.376053123602244,0.6190958164642375,557.1291243215542,-30.989791397525725,78,38,15851.283735237464,,False,10.450747928949518,69817.604119482,0.07148834299715409,6.782597316511785e-06,0.5031245197733278,5,5295.075317447763,334.417367223823,16014.061858998812,"[16, 20, 40, 54, 67]","[510.39976766085965, 16014.061858998812, 385.1785601441461, 334.417367223823, 9231.319033211179]","[0, 0, 37, 45, 45]","[18, 77, 45, 56, 77]",0.05,20,22291023092.701107,22204.922540547115,-22204.922540547115,0.48717948717948717,1239633.0703090206,0.04719878287261188,0.0937780272220047,2232842.590462611,38713858937.81011,4.0,247289.42552155998,0.02564102564102564,"[0.0, 0.01282051282051282, 0.02564102564102564, 0.038461538461538464, 0.05128205128205128, 0.0641025641025641, 0.07692307692307693, 0.08974358974358974, 0.10256410256410256, 0.11538461538461538, 0.1282051282051282, 0.14102564102564102, 0.15384615384615385, 0.16666666666666666, 0.1794871794871795, 0.1923076923076923, 0.20512820512820512, 0.21794871794871795, 0.23076923076923075]","[1239633.0703090206, 63859.501248503744, 247289.42552155998, 131104.57534544016, 84478.11138944332, 55047.96061576907, 40925.181573757356, 44571.36132295005, 31860.961981787037, 26635.10583419294, 20940.22810894796, 21256.98306513143, 10066.698580210588, 19127.67317959438, 14766.950578841705, 12337.111321135355, 7228.0910329333765, 8719.840563946063, 11811.59477684455]",3.0,0.7,12671.543403115851,15.0,0.5,628146710.1586128,0.07524568125177095,0.08829647663547009,2209447018.7175803,1.8461901933727172e+16,[0.03125],2.0,628146710.1586128,0.03125,"[0.0, 0.015625, 0.03125, 0.046875, 0.0625, 0.078125, 0.09375, 0.109375, 0.125, 0.140625, 0.15625, 0.171875, 0.1875, 0.203125, 0.21875, 0.234375]","[5.169878828456423e-26, 482970793.0956818, 628146710.1586128, 230162364.4820242, 172919234.88756257, 114053515.05369344, 112428110.86826564, 111239131.69353312, 48769822.604785085, 47276202.48603251, 22472109.0681305, 30021520.45793619, 20106454.294023726, 16775337.310667975, 13874786.281412771, 15837273.26395767]",3.0,0.3,boxcar,64.0,32.0,12671.543403115851,15.0,CWT,inu.32000013032836,0.0,0.0,21736.922540547115,0.0,0.0,-8.0,0.0,329.417367223823,,245479.84383776516,5182.200317447763,0.03403374121298587,1.0,1.8461901459457388e+16,24.0,0.06516025855612814,0.09375,48.0,38698923568.01899,0.0,12420.643403115851,10.0,0.19999999999999996,1214558.0703090206,2177977.1524100145,0.0,-12.5,5182.200317447763,23766.376587238818,5182.200317447763,,0.14615761695358584,627777850.9619168,12420.643403115851,2.0,627777850.9619168,15555.061858998812,21736.922540547115,0.0,-12.5,0.39999999999999997,0.08974358974358973,0.0,0.0,2208172845.0300803,19.0,0.046739737056240016,0.5888269499117922,0.029372031978178056,0.21033302988310731,0.3481163941688574,0.8835371586227827,0.19101123595505612,1.0,0.07841808555840966,,0.6495684202177086,0.4875240813521518,0.4875240813521518,0.48602973023350354,0.8409189860101509,0.6488286569143189,0.5714285714285714,,0.3559322033898305,0.525,0.3838606285304519,0.3838606285304519,0.7317073170731707,1.994618079146116,0.8726478731608038,4,1.435258017498062,0.6569804644377625,3,0,0,0.5460152754193718,0.8891858129165037,2,1,0.11111111111111112,0.41064630520421735,0.7603290145834196,4,0.9574271077563381,0.9316123494459758,3.25,3.0,0.8497347461515593,1,gaus,7.5,8.5,4.6291004988627575,8,0.5357142857142857,1.0,0.325,1,1.0,1
raw,gaus4,17.116689286424872,0.6298920377867746,299.5251098555975,-25.36212989329759,78,38,7227.419183991227,,False,10.531709876759846,60919.76261628217,0.06099399702644107,5.504009583821995e-06,0.41270248011403476,5,6098.158455872379,3.941634821158459,18686.515478569436,"[11, 15, 38, 40, 69]","[25.300415703981344, 18686.515478569436, 3.941634821158459, 380.2492706078524, 11394.785479659464]","[0, 0, 37, 37, 0]","[12, 44, 39, 44, 77]",0.05,30,6193840058.536623,15940.862047682673,-15940.862047682673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,inu.32000013032836,,,15472.862047682673,,0.0,-12.5,0.0,1.058365178841541,,,5985.283455872379,,,,,,,,,,,0.0,,,,0.0,-8.0,5985.283455872379,27781.792279361893,5990.433413183384,,,,,,,18227.515478569436,15472.862047682673,0.0,-5.0,,,,,,19.0,,0.21265794453712705,0.01895855591281811,0.5014183663412312,0.45381777237076804,0.713200450290152,0.2359550561797752,0.7085214271148768,0.06388081206460319,,0.0,0.5634948539570296,0.5634948539570296,0.5627106301925813,1.0,0.7626373115773234,0.5714285714285714,,0.6101694915254238,0.75,0.22905702200664985,0.22905702200664985,0.5121951219512195,1.9468789681375287,0.8517619531324114,5,1.3571879994138845,0.6212443973931645,5,0,0,0.5295204065502065,0.8623239208694089,3,1,0.11111111111111112,0.3579957425458634,0.662844269400139,6,1.2583057392117916,0.9101210186277292,4.75,4.444444444444445,0.7854176521710075,2,gaus,7.5,8.5,4.6291004988627575,8,0.5357142857142857,1.0,0.325,1,1.75,2
raw,gaus6,17.018984341863902,0.6305668016194332,258.22036047628586,-24.833006956830303,78,38,7243.039085279825,,False,10.417034660445854,75184.37278425295,0.06286978943785737,4.940312105689482e-06,0.35660083676301313,4,7442.891891461797,409.78697185468627,18590.82590658789,"[10, 15, 41, 70]","[409.78697185468627, 18590.82590658789, 557.5772921447897, 10213.377395259826]","[0, 0, 37, 44]","[12, 44, 44, 77]",0.05,20,5396440101.034612,15112.068346146212,-15112.068346146212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,inu.32000013032836,,,14644.068346146212,,0.0,-17.5,0.0,404.78697185468627,,,7330.016891461797,,,,,,,,,,,10.0,,,,0.0,-8.5,7330.016891461797,27062.56756584719,7330.016891461797,,,,,,,18131.82590658789,14644.068346146212,0.0,-4.0,,,,,,20.0,,0.2133392774473167,0.014367513744528456,0.5287867373552968,0.30410140884665665,0.6999852553218421,0.2387640449438204,0.5276758390029375,0.08718630016750437,,0.7986665558180734,0.6907051428565634,0.6907051428565634,0.6898032563503956,0.9715060642570774,0.7585622917630419,0.7142857142857142,,0.6440677966101696,0.7250000000000001,0.20857505919543406,0.20857505919543406,0.2682926829268293,2.2857078330133804,1.0,1,1.2290778855006859,0.5626027865387025,9,0,0,0.6140620638429414,1.0,1,1,0.11111111111111112,0.3212202415481822,0.5947528727894399,7,4.123105625617661,0.7054924553130242,4.5,1.7746478873239437,0.6920319419422264,4,gaus,7.5,8.5,4.6291004988627575,8,0.5357142857142857,1.0,0.325,1,3.25,3
raw,mexh,19.23710704580778,0.6906207827260459,890.7171577887851,-35.056238404934895,78,38,25277.633701396328,,False,10.452342592699473,126537.92089347466,0.058268052711444356,1.1301396624538923e-05,0.31123925353542276,7,3865.7337639333855,46.18594776829195,24260.263606113203,"[26, 33, 39, 41, 47, 51, 60]","[24260.263606113203, 555.1557413016635, 439.14025707707697, 81.4639191930255, 46.18594776829195, 452.0951937834252, 1225.8316822970119]","[0, 31, 37, 40, 45, 45, 56]","[77, 77, 77, 77, 48, 77, 77]",0.05,30,56039611276.64843,32970.22845242564,-32970.22845242564,0.48717948717948717,1990695.2009821753,0.03134756850156062,0.07831045645788727,3187573.1525082216,100165002066.05414,2.0,37951.269840679204,0.08974358974358974,"[0.0, 0.01282051282051282, 0.02564102564102564, 0.038461538461538464, 0.05128205128205128, 0.0641025641025641, 0.07692307692307693, 0.08974358974358974, 0.10256410256410256, 0.11538461538461538, 0.1282051282051282, 0.14102564102564102, 0.15384615384615385, 0.16666666666666666, 0.1794871794871795, 0.1923076923076923, 0.20512820512820512, 0.21794871794871795, 0.23076923076923075]","[1990695.2009821753, 344914.12408938824, 236681.99265091118, 119848.95943753456, 75597.16772301466, 49598.53723801287, 36751.08042056361, 37951.269840679204, 28225.1880620085, 23115.66782085178, 18764.636035468662, 17868.049024253785, 10108.911660919517, 16716.61651706647, 13147.32060088049, 10840.750005350685, 7611.925995832032, 7668.629970298472, 11283.770011235802]",3.0,0.5,17104.86823960859,15.0,0.5,2019245718.1248171,0.05364712678678488,0.0753874138631056,4376977929.469176,1.4055699598012754e+17,[0.015625],2.0,2019245718.1248171,0.015625,"[0.0, 0.015625, 0.03125, 0.046875, 0.0625, 0.078125, 0.09375, 0.109375, 0.125, 0.140625, 0.15625, 0.171875, 0.1875, 0.203125, 0.21875, 0.234375]","[2.39055197027825e-22, 2019245718.1248171, 952239774.7931564, 347582658.60855067, 225077914.8642621, 144510002.04617178, 125818838.69715373, 118729955.99779439, 59820996.6296861, 52707100.934671916, 31326776.979390796, 35415850.98271131, 26056402.951670025, 22332180.808000155, 17654180.649983786, 20152057.97889901]",3.0,0.3,boxcar,64.0,32.0,17104.86823960859,15.0,CWT,inu.32000013032836,0.0,0.0,32502.22845242564,0.0,0.0,-16.0,0.0,41.18594776829195,,36141.68815688439,3752.8587639333855,0.04694280398535036,1.0,1.4055699550585776e+17,24.0,0.0810114729271794,0.109375,48.0,100150066696.26302,0.0,16853.96823960859,0.0,0.0,1965620.2009821753,3132707.714455625,0.0,-11.5,3752.8587639333855,24351.1363475337,3752.8587639333864,,0.1677561714185719,2018876858.928121,16853.96823960859,4.0,2018876858.928121,23801.263606113203,32502.22845242564,0.0,-11.5,0.39999999999999997,0.025641025641025633,0.0,0.0,4375703755.781676,17.0,0.06220730782035745,1.0,0.066175457535306,0.0,0.3501983371148669,1.0,0.4887640449438202,0.38145120623854134,0.17108761190391086,,0.07938144003195088,0.3523099585033548,0.3523099585033548,0.35042133056430635,0.8640857469984724,1.0,0.2857142857142857,,0.3898305084745763,0.5750000000000001,0.649903426550868,0.649903426550868,0.3414634146341463,1.8113924984604748,0.7924864553106123,6,1.411472951052534,0.6460929976481284,4,0,0,0.4908602913771819,0.7993659277781557,7,1,0.11111111111111112,0.4266540266615001,0.789967988384216,3,1.8257418583505538,0.8695898672606748,5.0,4.48,0.7562235050589088,3,mexh,3.0,3.0,,1,0.21428571428571427,,,5,3.5,4
raw,cgau8,12.160290515946867,0.667004048582996,265.2238933465629,-22.093003876007366,78,38,5580.413817891685,-69543.3474925136,True,10.651721852749247,64169.260305155556,0.0898963374617771,1.655871635192586e-05,0.3034001716198673,6,3265.743152027279,460.13203727214227,10249.501458229348,"[8, 14, 33, 41, 53, 70]","[976.8948362340361, 10249.501458229348, 460.13203727214227, 958.9186901688154, 584.6817875043357, 6364.330102754999]","[0, 0, 31, 37, 45, 0]","[12, 45, 45, 45, 56, 77]",0.05,20,3052854332.5378942,10836.006115078826,-10836.006115078826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,inu.32000013032836,,,10368.006115078826,,0.0,-12.0,0.0,455.13203727214227,,,3152.868152027279,,,,,,,,,,,10.0,,,,0.0,-9.0,3152.868152027279,16885.458912163675,3152.8681520272794,,,,,,,9790.501458229348,10368.006115078826,0.0,-7.5,,,,,,18.0,,0.1408163279705879,0.10899377320451416,0.6705107408474067,0.6105016418415572,0.042817017938017066,0.3904494382022474,0.3561816544999919,0.069189834101426,0.43719208170304985,0.8982604893033939,0.29555151325496287,0.29555151325496287,0.2934973808637765,0.5683137453923687,0.40334006952375107,0.42857142857142855,,0.5254237288135594,0.7000000000000001,0.1029008154930478,0.1029008154930478,0.5365853658536586,1.4631335201390672,0.6401227221635469,8,1.3051140081534478,0.5974078505518884,6,0,0,0.4292414054848298,0.699019579223863,8,0,0.0,0.31407250114542196,0.5815185289074802,9,1.2583057392117916,0.9101210186277292,7.75,7.578947368421054,0.6782747950281502,5,cgau,5.0,5.0,,1,0.35714285714285715,,,2,4.25,5
raw,fbsp,14.813875757676584,0.6177462887989204,477.18979069520583,-30.10691081514183,78,38,13292.32098490316,-88290.22387263444,True,10.586683356696286,137864.7363560133,0.05271536371093482,3.3354912177184704e-05,0.31641527942546577,8,3420.0732947819897,43.86852048271385,14138.992087841285,"[11, 15, 20, 33, 39, 42, 55, 68]","[354.8455684394248, 14138.992087841285, 171.16795643233672, 204.86381982178773, 731.900005394109, 43.86852048271385, 346.4228788332457, 11368.525521011017]","[0, 0, 18, 31, 37, 40, 45, 0]","[12, 45, 45, 45, 45, 45, 56, 77]",0.05,20,18192612572.24979,25230.414843708935,-25230.414843708935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,inu.32000013032836,,,24762.414843708935,,0.0,-15.5,0.0,38.86852048271385,,,3307.1982947819897,,,,,,,,,,,10.0,,,,0.0,-11.0,3307.1982947819897,24651.586358255918,3307.1982947819897,,,,,,,13679.992087841285,24762.414843708935,0.0,-6.5,,,,,,16.0,,0.4772061716790257,0.24579063019255737,0.255999172237703,0.5255894225223897,0.4017307504216878,0.1853932584269662,0.3981363047535817,0.18959333760531671,0.0,0.07479704438119249,0.31015097328633173,0.31015097328633173,0.3081394121041245,0.8759888464590616,0.5689772550071113,0.14285714285714285,,0.559322033898305,0.6000000000000001,0.4586295616486701,0.4586295616486701,0.36585365853658536,1.4531521885499534,0.6357558772654592,10,1.1434077906904814,0.5233878314639707,10,0,0,0.4194580385927939,0.6830873673708635,9,0,0.0,0.29771544975991415,0.5512327559592769,10,0.5,0.9642857142857143,9.75,9.72972972972973,0.6339285714285714,6,fbsp,6.0,6.0,,1,0.42857142857142855,,,4,5.5,6
raw,gaus8,16.981178521038107,0.6126855600539811,219.07827232869403,-23.86985619218477,78,38,6510.493228157045,,False,10.289512660577639,75682.35253492682,0.07078627812474235,4.5195562231975035e-06,0.36140192437230617,6,4659.6416636907115,73.00043403323753,16615.957235054873,"[10, 15, 33, 41, 54, 70]","[747.0062490080727, 16615.957235054873, 73.00043403323753, 874.2057712224578, 81.89140488558678, 9565.788887940042]","[0, 0, 32, 37, 44, 44]","[12, 44, 44, 44, 55, 77]",0.05,20,4317977978.395475,13929.763587648658,-13929.763587648658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,inu.32000013032836,,,13461.763587648658,,0.0,-12.0,0.0,68.00043403323753,,,4546.7666636907115,,,,,,,,,,,10.0,,,,0.0,-3.0,4546.7666636907115,25248.849982144267,4546.7666636907115,,,,,,,16156.957235054873,13461.763587648658,0.0,-3.0,,,,,,18.0,,0.18138596407745564,0.010940661445177741,0.5786047770821189,0.13761268788959222,0.694871785421267,0.16432584269662925,0.5431523109994344,0.08799989836739591,,0.13242656251555526,0.4274127637247365,0.4274127637247365,0.42574313136560193,0.899650980143949,0.6744608708824811,0.42857142857142855,,0.6779661016949152,1.0,0.17935678443034153,0.17935678443034153,0.5365853658536586,1.7292394604533357,0.75654439971603,7,1.1392943113868748,0.5215049118004739,11,0,0,0.4990786281114788,0.8127494882001506,6,1,0.11111111111111112,0.29430618544182835,0.5449203587781176,11,2.6299556396765835,0.8121460257373869,8.75,8.140969162995594,0.5935730128686935,8,gaus,7.5,8.5,4.6291004988627575,8,0.5357142857142857,1.0,0.325,1,6.25,7
raw,morl,16.352617372829823,0.6464237516869096,168.89635771593538,-19.634794594069582,78,38,3839.152001271042,,False,10.184108252002437,40775.74873288854,0.1129109502388887,3.882888465662445e-06,0.42372045761070914,7,3323.313239008749,67.86238367801229,10492.490399065966,"[8, 14, 24, 33, 40, 52, 70]","[10492.490399065966, 1328.172702170773, 67.86238367801229, 967.7822126415381, 1513.4979277806597, 1497.8781140724018, 7395.508933651892]","[0, 12, 23, 31, 37, 45, 0]","[56, 56, 56, 56, 56, 56, 77]",0.05,20,1665782353.3238015,9867.190570352466,-9867.190570352466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,inu.32000013032836,,,9399.190570352466,,0.0,-2.5,0.0,62.86238367801229,,,3210.438239008749,,,,,,,,,,,10.0,,,,0.0,-14.5,3210.438239008749,20554.192673061243,3210.438239008749,,,,,,,10033.490399065966,9399.190570352466,0.0,6.5,,,,,,17.0,,0.06486328838343272,0.005755311793237766,0.797659233232697,0.0,0.6098550223454361,0.3047752808988764,0.7440382587292915,0.03096956735647733,,0.12226233606993618,0.30099757951840345,0.30099757951840345,0.29895932755187093,0.7136600635549589,0.41368795517164003,0.2857142857142857,,1.0,0.42500000000000004,0.07895849556321888,0.07895849556321888,1.0,1.3590081686718858,0.5945677522923947,11,1.2366218739591956,0.5660560005119118,8,0,0,0.4182663431854947,0.681146691537803,10,1,0.11111111111111112,0.3141839397868756,0.5817248622687431,8,1.5,0.8928571428571429,9.25,9.072164948453608,0.6160714285714286,7,morl,7.0,7.0,,1,0.5,,,6,6.75,8
raw,gaus5,17.06942815364023,0.6224696356275303,266.03168295238123,-25.54526078700167,78,38,7401.863116552091,,False,10.436895027983073,90271.4305735891,0.05526477202686181,3.7782434182239863e-06,0.23390314014696628,2,10117.016755941208,134.04522793393153,20099.988283948485,"[28, 34]","[20099.988283948485, 134.04522793393153]","[3, 33]","[58, 58]",0.05,20,6099200055.660814,19387.7701979235,-19387.7701979235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,inu.32000013032836,,,18919.7701979235,,0.0,-23.0,0.0,129.04522793393153,,,10004.141755941208,,,,,,,,,,,10.0,,,,0.0,-23.0,10004.141755941208,17525.033511882415,10004.141755941208,,,,,,,19640.988283948485,18919.7701979235,0.0,-23.0,,,,,,22.0,,0.2202671086439059,0.004903028708551523,0.49194609837172387,0.33003048141786784,0.7068080912649395,0.20505617977528076,0.13215556937958395,0.1118355013497877,,0.2531869805020779,0.9436743838680713,0.9436743838680713,0.9435101415214313,0.5936521371421937,0.8228312237204192,1.0,,0.0,0.0,0.3142403968513529,0.3142403968513529,0.0,2.159151606099743,0.9446314944168559,3,1.0607568867720363,0.48555489231258614,12,0,0,0.5107508370270808,0.8317576790702308,5,1,0.11111111111111112,0.2698197018083996,0.49958259794678817,12,4.69041575982343,0.664970302869755,8.0,5.7142857142857135,0.5467708657205919,9,gaus,7.5,8.5,4.6291004988627575,8,0.5357142857142857,1.0,0.325,1,7.0,9
raw,cmor,15.270845793721387,0.6511470985155196,310.36233127677247,-25.45578067113827,78,38,8100.0787958879655,-78061.90490383447,True,10.739776392849897,38774.158782382285,0.051706958780721214,0.0001259582697940787,0.32588658799642906,5,2860.696266146321,12.89157940590485,7372.147971918472,"[15, 20, 40, 54, 69]","[7372.147971918472, 12.89157940590485, 397.36726415311296, 98.54218331405991, 6422.532331940054]","[0, 19, 37, 45, 0]","[45, 45, 45, 56, 77]",0.05,20,6420781320.273624,13787.387489187764,-13787.387489187764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,inu.32000013032836,,,13319.387489187764,,0.0,-8.0,0.0,7.891579405904849,,,2747.821266146321,,,,,,,,,,,10.0,,,,0.0,-12.5,2747.821266146321,11594.481330731604,2748.596564284943,,,,,,,6913.147971918472,13319.387489187764,0.0,-12.5,,,,,,19.0,,0.250722955448088,0.9999999999999999,0.49657437063238496,0.7254628859482208,0.4635387597107082,0.32443820224719094,0.42866739558078676,0.027699374184065803,0.23853254118826311,0.013517644233413298,0.257234527890359,0.257234527890359,0.2551422215173843,0.3586980684145403,0.28080558403488415,0.5714285714285714,,0.3559322033898305,0.525,0.17583824664648057,0.17583824664648057,0.7317073170731707,1.0880319136678047,0.4760153060478379,12,1.6753973371234445,0.766902750057369,2,0,0,0.3298647632637895,0.5371847288520318,12,0,0.0,0.43951516499330096,0.8137809303498723,2,5.773502691896258,0.5876069505788387,7.0,3.428571428571429,0.5438034752894194,10,cmor,10.0,10.0,,1,0.7142857142857143,,,3,8.25,10
