signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,scales_used,emd_value,kl_divergence,is_complex,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,fft_frequency_max,fft_amplitude_max,fft_spectral_centroid,fft_spectral_bandwidth,fft_spectral_magnitude,fft_variance_magnitude,fft_num_peaks,fft_peak_amplitude,fft_dominant_frequency,fft_positive_frequencies,fft_positive_amplitudes,fft_snr_threshold,fft_stationarity_threshold,fft_dynamic_cutoff,fft_dynamic_cutoff_percentile,wavelet_type,htid,fft_frequency_max_diff,fft_stationarity_threshold_diff,fft_amplitude_max_diff,fft_spectral_magnitude_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,fft_snr_threshold_diff,lower_envelope_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,max_autocorrelation_diff,prominence_threshold_diff,prominence_min_diff,fft_peak_amplitude_diff,fft_dynamic_cutoff_diff,avg_prominence_diff,fft_num_peaks_diff,prominence_max_diff,upper_envelope_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,fft_dominant_frequency_diff,fft_dynamic_cutoff_percentile_diff,fft_spectral_centroid_diff,relative_num_peaks_diff,fft_variance_magnitude_diff,fft_spectral_bandwidth_diff,distance_factor_diff,emd_value_normalized,smoothness_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,relative_num_peaks_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,reconstruction_signal_num_missing_metrics,reconstruction_signal_missing_metrics_count,reconstruction_signal_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank
smoothed,gaus8,20.131777709791024,0.6693703420851658,278.7026722862423,-32.685703953068305,598,127,19662.31688681191,,False,14.886910239986479,104910.79079455025,0.019615788100537945,2.8356462295039027e-06,0.38557002779897104,16,23173.593838629662,32.943353891419974,78329.62235947656,"[23, 54, 111, 141, 169, 226, 258, 291, 339, 360, 409, 432, 453, 494, 522, 567]","[78329.62235947656, 8044.4681215593155, 36.01851352879021, 11875.694551493436, 40905.745774524374, 22513.328346342976, 7771.478307029116, 3078.478299550952, 2147.334232585674, 73279.84648914472, 32.943353891419974, 16156.6976681761, 693.7322478862552, 8797.292051256025, 31915.758715044754, 65199.06238658416]","[0, 50, 100, 100, 100, 201, 251, 284, 299, 100, 400, 400, 450, 450, 100, 100]","[100, 100, 112, 150, 299, 299, 299, 299, 349, 450, 410, 450, 454, 499, 548, 597]",0.05,30,393644259810.86896,71482.08876172702,-71482.08876172702,,,,,,,,,,,,,,,,CWT,txu.059172014718829,,,,,0.0,-7.0,,70889.08876172702,0.0,6.5,22853.427171962994,363093.5014180746,22858.441106915318,,0.0,25.61002055808666,,,22853.427171962994,,77736.62235947656,70889.08876172702,0.0,-16.0,,,,8.0,,,0.0,0.1276734711598747,0.025717987506761648,0.7259649173476266,0.5881350435447774,0.7695390728112341,0.47846441947565527,0.833220668252066,0.057379118819152815,,0.016071725816262955,1.0,1.0,1.0,1.0,0.4044066571900393,0.75,,0.043478260869565244,0.49999999999999994,0.12275901678536456,0.12275901678536456,1.0,2.2104762791410013,0.8783340062879326,3,1.7080591288053222,0.7728302029374317,4,0,0,0.5799562231205497,0.8599685732437509,4,1,0.11111111111111112,0.445206281809088,0.7823881807436893,4,0.5,0.9642857142857143,3.75,3.6923076923076925,0.8482142857142858,1,gaus,7.625,8.5,5.0691644845505435,8,0.6354166666666666,1.0,0.25520833333333337,1,1.0
smoothed,gaus6,20.385631935215784,0.6513838780185922,296.0395172078812,-34.37720637027147,598,127,24170.53093456519,,False,14.811546424478863,132026.71987443438,0.019394175273886507,3.2998034687525253e-06,0.3494488829729744,16,22533.811060193744,322.46798305332777,84541.77238166991,"[23, 54, 116, 140, 169, 226, 270, 292, 339, 360, 408, 432, 453, 494, 527, 567]","[84541.77238166991, 7441.6184841959475, 494.19294429790534, 12433.804871288037, 29786.642214419262, 18466.18518050927, 9221.596764091411, 3774.632175917851, 3221.0244880822247, 68210.9137818182, 322.46798305332777, 11227.677929180329, 326.33269303126144, 6226.455745150666, 29071.25474263533, 75774.40458375897]","[0, 50, 100, 100, 100, 201, 251, 284, 100, 100, 401, 401, 450, 450, 450, 450]","[450, 450, 118, 150, 201, 299, 299, 299, 349, 450, 410, 450, 454, 498, 548, 597]",0.05,30,580483249746.201,79954.04947770442,-79954.04947770442,,,,,,,,,,,,,,,,CWT,txu.059172014718829,,,,,0.0,-7.0,,79361.04947770442,0.0,-2.5,22213.644393527076,352856.9769630999,22213.644393527076,,0.0,315.13464971999446,,,22213.644393527076,,83948.77238166991,79361.04947770442,0.0,-16.0,,,,8.0,,,0.0,0.21860186455074881,0.030716609168005157,0.6175476021011126,0.5378871230023864,0.7982505920058144,0.3718789013732835,0.7345566031536679,0.0951377009930553,,0.30705460778193383,0.9597983069518288,0.9597983069518288,0.9594960100709228,0.960912655138952,0.4684061222796388,0.75,,0.043478260869565244,0.49999999999999994,0.15878153276103074,0.15878153276103074,0.6086956521739131,2.210103127862401,0.8781857344152247,4,1.5940222430883968,0.7212329554858131,5,0,0,0.5696002489783871,0.8446125654063567,6,1,0.11111111111111112,0.42001656898795364,0.7381207604649376,5,0.816496580927726,0.9416788156480196,5.0,4.8979591836734695,0.7922679792525812,2,gaus,7.625,8.5,5.0691644845505435,8,0.6354166666666666,1.0,0.25520833333333337,1,1.75
smoothed,gaus4,20.72177111894975,0.6603376083006347,325.97922401388905,-36.54915870258638,598,127,30532.528392200504,,False,14.691025360159806,174501.81413091478,0.017713469365577914,4.231667908875707e-06,0.30547357201949615,15,23142.350947965544,155.38011611147522,92711.47605288247,"[29, 55, 105, 139, 168, 226, 270, 292, 336, 359, 408, 433, 494, 527, 567]","[92711.47605288247, 7398.51896770476, 995.3553022676515, 7287.235063128857, 20804.508318396314, 5322.007315627083, 12590.537413937018, 4379.894752883867, 4067.2203838603655, 58266.77215620931, 155.38011611147522, 12805.822738586234, 3801.9456912454007, 89865.65899712619, 26682.9309495162]","[0, 50, 102, 122, 150, 201, 201, 284, 201, 201, 402, 402, 449, 449, 548]","[449, 449, 122, 150, 201, 251, 299, 299, 349, 449, 410, 449, 498, 597, 597]",0.05,30,956353009698.6669,92068.06558981207,-92068.06558981207,,,,,,,,,,,,,,,,CWT,txu.059172014718829,,,,,0.0,-3.0,,91475.06558981207,0.0,1.5,22822.184281298876,339451.2642194832,22822.18428129888,,0.0,148.0467827781419,,,22822.184281298876,,92118.47605288247,91475.06558981207,0.0,-16.5,,,,9.0,,,0.0,0.3469201301548187,0.040752082886529345,0.4783357166683154,0.45753114815161267,0.8362687365124882,0.42493757802746573,0.6144390663608243,0.1542837229531637,,0.1391251670121549,0.9980368069558123,0.9980368069558123,0.9977224665245086,0.9097240198338074,0.5525729023847872,0.875,,0.0,0.7105263157894737,0.2102899560832618,0.2102899560832618,0.782608695652174,2.3327151884864707,0.9269057064155615,2,1.5276671831820257,0.691209876337942,7,0,0,0.6153277577729211,0.9124180633531431,3,1,0.11111111111111112,0.4136279671588467,0.7268936804195707,6,2.3804761428476167,0.8299659897965987,4.5,3.5,0.7542687091840137,3,gaus,7.625,8.5,5.0691644845505435,8,0.6354166666666666,1.0,0.25520833333333337,1,2.5
smoothed,mexh,21.84656714756641,0.5886287625418061,497.44421809406236,-42.2981179140797,598,127,62912.115600836085,,False,14.918185261228993,226144.17933038567,0.011612821327778413,7.026408684834113e-07,0.21068945347410267,20,16151.994257419152,132.505518186852,136141.2805127942,"[43, 64, 106, 127, 157, 184, 207, 226, 245, 270, 292, 317, 343, 363, 387, 417, 442, 494, 521, 559]","[1358.3732459360035, 129909.46726762633, 933.2495876307366, 1076.2873478589318, 2926.4660815483367, 237.13739863811497, 2964.377064602362, 3958.133899264438, 394.0301745618417, 4937.181128148145, 3602.1497498345434, 335.8416381760362, 689.8767330374794, 25362.322875175763, 182.8169407348505, 132.505518186852, 2458.2331988358856, 2927.822620890467, 136141.2805127942, 2512.3321649017016]","[0, 0, 103, 124, 151, 183, 203, 220, 244, 251, 283, 298, 298, 298, 386, 400, 298, 298, 298, 551]","[49, 597, 298, 298, 298, 298, 298, 298, 298, 298, 298, 318, 344, 400, 400, 418, 448, 498, 597, 597]",0.05,30,3592814888455.587,145049.48827799913,-145049.48827799913,0.4983277591973244,37785903.673683584,0.018977661632178136,0.06257386295887839,93406076.8919579,5882807105063.316,44.0,6671187.256627146,0.005016722408026756,"[0.0, 0.0016722408026755853, 0.0033444816053511705, 0.005016722408026756, 0.006688963210702341, 0.008361204013377926, 0.010033444816053512, 0.011705685618729096, 0.013377926421404682, 0.015050167224080268, 0.016722408026755852, 0.018394648829431436, 0.020066889632107024, 0.021739130434782608, 0.023411371237458192, 0.02508361204013378, 0.026755852842809364, 0.028428093645484948, 0.030100334448160536, 0.03177257525083612, 0.033444816053511704, 0.03511705685618729, 0.03678929765886287, 0.038461538461538464, 0.04013377926421405, 0.04180602006688963, 0.043478260869565216, 0.0451505016722408, 0.046822742474916385, 0.048494983277591976, 0.05016722408026756, 0.051839464882943144, 0.05351170568561873, 0.05518394648829431, 0.056856187290969896, 0.05852842809364548, 0.06020066889632107, 0.061872909698996656, 0.06354515050167224, 0.06521739130434782, 0.06688963210702341, 0.06856187290969899, 0.07023411371237458, 0.07190635451505016, 0.07357859531772575, 0.07525083612040134, 0.07692307692307693, 0.07859531772575251, 0.0802675585284281, 0.08193979933110368, 0.08361204013377926, 0.08528428093645485, 0.08695652173913043, 0.08862876254180602, 0.0903010033444816, 0.09197324414715718, 0.09364548494983277, 0.09531772575250835, 0.09698996655518395, 0.09866220735785954, 0.10033444816053512, 0.1020066889632107, 0.10367892976588629, 0.10535117056856187, 0.10702341137123746, 0.10869565217391304, 0.11036789297658862, 0.11204013377926421, 0.11371237458193979, 0.11538461538461538, 0.11705685618729096, 0.11872909698996656, 0.12040133779264214, 0.12207357859531773, 0.12374581939799331, 0.1254180602006689, 0.12709030100334448, 0.12876254180602006, 0.13043478260869565, 0.13210702341137123, 0.13377926421404682, 0.1354515050167224, 0.13712374581939799, 0.13879598662207357, 0.14046822742474915, 0.14214046822742474, 0.14381270903010032, 0.1454849498327759, 0.1471571906354515, 0.14882943143812707, 0.1505016722408027, 0.15217391304347827, 0.15384615384615385, 0.15551839464882944, 0.15719063545150502, 0.1588628762541806, 0.1605351170568562, 0.16220735785953178, 0.16387959866220736, 0.16555183946488294, 0.16722408026755853, 0.1688963210702341, 0.1705685618729097, 0.17224080267558528, 0.17391304347826086, 0.17558528428093645, 0.17725752508361203, 0.17892976588628762, 0.1806020066889632, 0.18227424749163879, 0.18394648829431437, 0.18561872909698995, 0.18729096989966554, 0.18896321070234112, 0.1906354515050167, 0.1923076923076923, 0.1939799331103679, 0.1956521739130435, 0.19732441471571907, 0.19899665551839466, 0.20066889632107024, 0.20234113712374582, 0.2040133779264214, 0.205685618729097, 0.20735785953177258, 0.20903010033444816, 0.21070234113712374, 0.21237458193979933, 0.2140468227424749, 0.2157190635451505, 0.21739130434782608, 0.21906354515050167, 0.22073578595317725, 0.22240802675585283, 0.22408026755852842, 0.225752508361204, 0.22742474916387959, 0.22909698996655517, 0.23076923076923075, 0.23244147157190634, 0.23411371237458192, 0.23578595317725753, 0.23745819397993312, 0.2391304347826087, 0.2408026755852843, 0.24247491638795987, 0.24414715719063546, 0.24581939799331104, 0.24749163879598662]","[37785903.673683584, 15674673.029849082, 3360402.724869981, 6671187.256627146, 5771738.890701247, 2871933.4460000354, 2546510.1926170797, 649687.8052066382, 902859.5678255685, 1434951.2132973229, 1019606.9819855441, 816929.491697274, 1708135.790568077, 857356.4403318055, 765472.6035382961, 575941.2795586772, 278773.5763978211, 166379.51269903383, 167696.25116030718, 353378.3689767984, 209447.8043843029, 153617.29864403568, 205275.0040944775, 215699.38595907638, 543870.3553058314, 201338.37886734004, 93069.61018341366, 156399.41741872684, 182415.6517185835, 113935.19804923753, 155201.90100459426, 82400.30495258895, 122006.56889963738, 85058.47816659318, 117874.51216080344, 124335.13478117305, 289638.953003481, 71757.87152227186, 139413.5091613633, 73286.04034829361, 111972.2846835801, 76451.01979186165, 59351.84755884443, 116905.27412901964, 88856.11083029356, 40185.847376049845, 46221.19134424424, 79100.69048902493, 156905.6225147666, 75969.36149953889, 52369.42417201662, 21091.088483890235, 52030.239934113684, 32050.94248392924, 72993.96987788072, 11534.304730786751, 61394.06589555995, 28468.619617090277, 59261.90473040708, 61501.95004142476, 66368.36398387312, 78892.79872640347, 62371.51554889081, 29622.16022938485, 23088.13251829809, 7565.931296089096, 2448.045214160955, 55392.3589471153, 73305.16073007826, 47007.10458724943, 50126.1913285812, 32217.769084078063, 64762.344491819946, 42084.519970552166, 32077.212245338196, 36471.39831129731, 36654.028497553525, 18980.00604496112, 29244.196463909633, 12810.468019120091, 15303.839821928786, 26585.756986209883, 20771.28288133669, 23366.80912769286, 32684.8538250414, 47091.48337925885, 35822.875830759935, 14971.868117558159, 31068.560073754, 23364.71683944335, 31109.04911111492, 49256.95814604302, 22186.54175960112, 29968.0391188292, 24282.886636163556, 18636.872359544523, 20718.83873112285, 17022.328106646237, 1917.0025723141482, 15125.315754589403, 21809.779511634893, 17662.90153699432, 45835.39541080259, 13184.404313744442, 39674.201437197364, 34844.366167133056, 17578.249084180537, 19008.206875065054, 19724.487009747452, 33765.03656834469, 12715.403211676114, 19679.78175225396, 15805.578018267466, 39704.70816572752, 24215.337231533573, 42115.53991125182, 25127.9904253275, 17053.36643224121, 4287.8483827646, 13576.709922529033, 10932.352871115037, 10805.568488655339, 9488.886125101904, 8445.38337374992, 11023.170088742749, 10035.463435919351, 8378.867927334917, 5794.864268504771, 4525.891980224484, 2235.106741290817, 46153.36244996744, 33347.675314230015, 22074.343238398265, 29783.343376769295, 20865.654018398578, 16424.539784902172, 6746.298537411607, 11857.030677740599, 28406.606932319948, 9280.25814311951, 22911.02617324517, 9150.223657747967, 18312.443919090496, 9657.520032805896, 43117.4891225794, 29147.911795790184, 21259.668191049528, 27538.690844709356, 12463.813954963487]",3.0,0.7,15105.58676971359,15.0,CWT,txu.059172014718829,0.0,0.0,37612210.673683584,92684256.91017586,0.0,2.5,0.0,144456.48827799913,0.0,4.0,15831.827590752486,315355.88514838304,15831.827590752486,,0.0,125.17218485351867,6654976.129527458,14928.920103046923,15831.827590752486,8.0,135548.2805127942,144456.48827799913,0.0,-5.0,0.05518394648829432,0.0,0.10248400979944619,4.0,5882704154283.07,0.07705286666424017,0.0,1.0,0.0027471364684252784,0.10985458602801679,0.6089872890391239,0.9634858537835443,0.0,0.3555384559979312,0.2261950516889164,,0.11613535627591323,0.5587874500762805,0.5587874500762805,0.5586114550760561,0.8177177538934111,0.9999999999999999,0.25,,1.0,0.9999999999999999,0.43556533319867097,0.43556533319867097,0.891304347826087,2.0990423932427507,0.8340556883702764,5,1.385666867043411,0.6269602661881207,8,0,0,0.6352062066351141,0.9418941524523122,2,1,0.11111111111111112,0.40279549107018914,0.7078571088206358,7,2.6457513110645907,0.8110177634953863,5.5,4.132841328413285,0.7090803103191218,4,mexh,4.0,4.0,,1,0.3333333333333333,,,5,4.25
smoothed,cgau8,15.136317111013023,0.719326890158797,319.67465933265515,-31.580757325024585,598,127,18833.902990485032,-674716.861820157,True,15.398063315085603,89302.27478313746,0.01907590840944746,9.330459543498436e-05,0.2993522587529551,14,19732.96480077563,166.6497461922081,53898.44410107062,"[22, 54, 141, 169, 226, 258, 291, 339, 360, 432, 467, 487, 522, 573]","[53898.44410107062, 6640.089124096297, 9913.290358592632, 36241.97583249441, 17527.854971144356, 6143.448478206341, 1796.523148659213, 1669.4991937723235, 45160.87763578856, 18181.32292965509, 166.6497461922081, 10029.310692659645, 26378.87847075774, 42513.34252776941]","[0, 50, 100, 100, 201, 251, 284, 299, 100, 400, 455, 455, 455, 100]","[100, 100, 150, 299, 299, 299, 299, 349, 455, 455, 468, 499, 547, 597]",0.05,30,309370955844.54974,63623.076733654896,-63623.076733654896,,,,,,,,,,,,,,,,CWT,txu.059172014718829,,,,,0.0,-8.0,,63030.076733654896,0.0,-3.5,19412.79813410896,268577.5072108588,19412.798134108965,,0.0,159.3164128588748,,,19412.79813410896,,53305.44410107062,63030.076733654896,0.0,-12.5,,,,10.0,,,0.0,0.11096478256217673,1.0,0.796786777065253,0.9289402287597418,0.20454054805713617,0.7745006242197252,0.5977188418627619,0.03564446120541778,0.6722190052089997,0.15045155899846446,0.7838030076230205,0.7838030076230205,0.7835561420026784,0.6390982821648132,0.15270920389921067,1.0,,0.34782608695652173,0.4473684210526315,0.08934273974806958,0.08934273974806958,0.5652173913043479,1.77468788286718,0.7051732392600577,9,2.210135062415006,1.0,1,0,0,0.4860432150934039,0.7207128289263971,8,0,0.0,0.5690350298823568,1.0,1,4.349329450233296,0.6893336106976218,4.75,1.7888198757763976,0.6750239482059537,5,cgau,5.0,5.0,,1,0.4166666666666667,,,2,4.25
smoothed,morl,19.671974985030474,0.6758486292892318,240.98718522545983,-29.89992931229321,598,127,13855.540065685836,,False,14.982447860874247,67713.6289496598,0.018145730625667704,4.4754989232293924e-07,0.4466283309414783,19,19259.081112318876,35.58263527400413,65724.41469173392,"[23, 55, 88, 140, 169, 191, 226, 259, 280, 313, 339, 361, 409, 433, 465, 488, 521, 544, 574]","[65724.41469173392, 10765.037252047254, 363.66984585882165, 14415.615235808653, 49755.49883940095, 301.8088753775912, 25298.148013453025, 9216.718967132872, 108.87410834328239, 611.190552846324, 2966.0286763317827, 50226.89362325214, 35.58263527400413, 29029.839998456606, 788.4055560651832, 17905.276663763416, 37738.020985207026, 168.93898169112435, 50502.577632014676]","[0, 50, 87, 100, 100, 190, 201, 251, 279, 300, 300, 100, 400, 400, 454, 400, 400, 543, 100]","[100, 100, 100, 150, 300, 201, 300, 300, 300, 315, 350, 400, 410, 454, 470, 500, 548, 548, 597]",0.05,30,207805894832.1118,56286.658085498384,-56286.658085498384,,,,,,,,,,,,,,,,CWT,txu.059172014718829,,,,,0.0,-5.5,,55693.658085498384,0.0,-5.5,18938.914445652208,358238.5411340587,18939.040557451757,,0.0,28.24930194067082,,,18938.914445652208,,65131.414691733924,55693.658085498384,0.0,-10.0,,,,5.0,,,0.0,0.010553724508205409,0.0,0.904519913404946,0.6518336069845823,0.7175342864595662,0.5168539325842696,1.0,0.005582549798097983,,0.01872430050479909,0.7540258282021433,0.7540258282021433,0.7537962630899682,0.9814617248517588,0.27454396147329757,0.375,,0.5652173913043478,0.5789473684210525,0.05814851366307483,0.05814851366307483,0.4782608695652174,1.6955025645130575,0.6737089079910564,11,1.8395366050704507,0.8323186380566246,3,0,0,0.4708583802450731,0.6981965074544112,9,1,0.11111111111111112,0.4703041961619027,0.8264942779693795,3,4.123105625617661,0.7054924553130242,6.5,4.604651162790698,0.6206033705136549,6,morl,6.0,6.0,,1,0.5,,,6,6.0
smoothed,fbsp,17.722700863933795,0.6972585784636453,427.07784953744857,-39.58266476538989,598,127,43121.75549754383,-791455.4212580919,True,14.764451193974933,238722.97125386732,0.0176427888248321,6.013410786321005e-07,0.22275813821725032,20,18052.556932921645,60.657002056510464,89037.02616609089,"[30, 57, 80, 108, 140, 168, 190, 228, 250, 270, 293, 315, 336, 361, 409, 431, 454, 494, 523, 565]","[89037.02616609089, 9536.01042601325, 330.546587001867, 3263.007335079874, 14440.644777383333, 20491.611441641897, 60.657002056510464, 8272.735701218415, 970.659608360882, 16561.242498112333, 3548.8898761286937, 1926.0541686916367, 3443.949856840165, 48603.799290910916, 1059.3580334495546, 16797.530257334496, 1146.0039731771358, 5236.416516715268, 87776.9899904333, 28548.005151792408]","[0, 50, 79, 102, 102, 102, 189, 202, 249, 202, 287, 202, 202, 202, 400, 400, 448, 400, 400, 549]","[400, 400, 400, 110, 151, 202, 202, 252, 252, 300, 300, 317, 350, 400, 411, 448, 456, 498, 597, 597]",0.05,30,1926119799098.2654,150033.2421922123,-150033.2421922123,,,,,,,,,,,,,,,,CWT,txu.059172014718829,,,,,0.0,-0.5,,149440.2421922123,0.0,-9.5,17732.390266254977,353367.1386584329,17732.390266254974,,0.0,53.32366872317715,,,17732.390266254977,,88444.02616609089,149440.2421922123,0.0,-5.0,,,,4.0,,,0.0,0.6008384629128201,0.0016562145113534245,0.2839023066014369,0.5064869426326984,0.4970667277663047,0.6437265917602997,0.38850378704948124,0.24371085751256966,0.0,0.04392495970591248,0.6782121046225508,0.6782121046225508,0.6779984957816774,0.9628606665180178,0.514717598437995,0.25,,1.0,0.8421052631578947,0.45675610131153044,0.45675610131153044,0.30434782608695654,1.890075963955607,0.751022758884697,8,1.363243116916556,0.6168143929751269,10,0,0,0.5721576017963846,0.8484046499922255,5,0,0.0,0.35176576563855155,0.6181794567397304,11,2.6457513110645907,0.8110177634953863,8.5,7.753303964757708,0.6019374531762647,7,fbsp,7.0,7.0,,1,0.5833333333333334,,,4,6.25
smoothed,gaus7,20.275435319499003,0.6755984515313512,293.0356726870967,-33.76710206891131,598,127,20579.609363708158,,False,14.866954220654828,125036.69054079865,0.01999854486058114,2.957244360388386e-06,0.08370324925855482,16,18795.067798168224,1011.9406982732471,100502.31223998097,"[47, 83, 145, 187, 214, 248, 273, 294, 314, 347, 391, 417, 444, 496, 536, 596]","[7960.2529881572045, 100502.31223998097, 9653.21263086596, 31623.998405029455, 4214.420166252464, 8070.284431187896, 17064.452885919407, 3738.115285558402, 1079.5299140032694, 5671.308769136449, 62385.83354822745, 1130.2631403985833, 7829.857592234952, 11780.800816918774, 27004.501258547094, 1011.9406982732471]","[2, 2, 134, 155, 206, 223, 223, 290, 305, 305, 155, 414, 429, 476, 476, 2]","[52, 476, 155, 305, 223, 255, 305, 305, 320, 353, 476, 429, 476, 503, 555, 597]",0.05,30,500433634541.5176,104951.06480272904,-104951.06480272904,,,,,,,,,,,,,,,,CWT,txu.059172014718829,,,,,0.0,-16.0,,104358.06480272904,0.0,-16.0,18474.901131501556,293037.0847706916,18474.901131501556,,0.0,1004.6073649399139,,,18474.901131501556,,99909.31223998097,104358.06480272904,0.0,-11.5,,,,8.0,,,0.0,0.1461747956999725,0.027027507211743185,0.6566524060322759,0.5748296068844228,0.7857870915774242,0.5153714107365792,0.008678599266477183,0.08540417513028589,,1.0,0.7248688682862275,0.7248688682862275,0.7246405644891052,0.7324952107260609,0.6328364740618523,0.75,,0.43478260869565216,0.02631578947368418,0.2650680718607092,0.2650680718607092,0.021739130434782705,2.091464227360599,0.8310444998484202,6,1.3700421577771407,0.6198906940465897,9,0,0,0.525223638181251,0.7788102011050188,7,1,0.11111111111111112,0.344435143511842,0.6052969069110756,12,2.6457513110645907,0.8110177634953863,8.5,7.937007874015748,0.6019374531762647,8,gaus,7.625,8.5,5.0691644845505435,8,0.6354166666666666,1.0,0.25520833333333337,1,6.25
smoothed,gaus2,21.323580720615848,0.610631237984884,302.38504311680805,-39.96685944391764,598,127,42836.802049137834,,False,14.558456279600914,208941.1896848518,0.012565099286903934,5.4294826304937145e-06,0.257869338880335,15,22860.72111049158,163.62757410157064,127038.60332393537,"[36, 55, 104, 127, 166, 226, 271, 292, 340, 359, 416, 440, 494, 522, 561]","[994.2757997733861, 114963.36282234047, 163.62757410157064, 1204.5052646413387, 8083.083563391985, 7318.9329993444135, 9300.561882674716, 4258.6839388511735, 2587.912271670404, 45211.98779354235, 338.0603879786304, 6349.361532260793, 2264.7987655457255, 127038.60332393537, 12833.058737321364]","[0, 0, 103, 123, 151, 201, 201, 283, 201, 201, 400, 400, 400, 400, 549]","[39, 400, 400, 400, 201, 250, 299, 299, 350, 400, 418, 448, 498, 597, 597]",0.05,30,2101779521455.519,122829.14074742474,-122829.14074742474,,,,,,,,,,,,,,,,CWT,txu.059172014718829,,,,,0.0,-7.5,,122236.14074742474,0.0,-7.5,22540.554443824913,335226.8166573737,22540.55444382491,,0.0,156.29424076823733,,,22540.554443824913,,126445.60332393537,122236.14074742474,0.0,-7.5,,,,9.0,,,0.0,0.5950910962216445,0.05365163956117816,0.2592772424251479,0.36914230290229266,0.9043348398078226,0.13038389513108561,0.4844092132089613,0.20224011006570797,,0.14741416509081826,0.9803401813807795,0.9803401813807795,0.9800314146566544,0.8935933067745188,0.9062214420306971,0.875,,0.7826086956521738,0.4736842105263157,0.34108510002249226,0.34108510002249226,0.39130434782608703,2.5166693573473804,1.0,1,1.313741024907295,0.5944166251413501,12,0,0,0.6743923454469841,1.0,1,1,0.11111111111111112,0.3692607368599245,0.6489244378088043,10,5.830951894845301,0.5835034360824785,6.0,1.8320610687022898,0.5774660037555249,9,gaus,7.625,8.5,5.0691644845505435,8,0.6354166666666666,1.0,0.25520833333333337,1,7.0
