signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,scales_used,emd_value,kl_divergence,is_complex,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,wavelet_type,htid,avg_prominence_diff,prominence_max_diff,upper_envelope_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,lower_envelope_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,max_autocorrelation_diff,prominence_threshold_diff,relative_num_peaks_diff,prominence_min_diff,distance_factor_diff,emd_value_normalized,smoothness_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,relative_num_peaks_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_right_bases_array_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_array_alignment_score_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,reconstruction_signal_num_missing_metrics,reconstruction_signal_missing_metrics_count,reconstruction_signal_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,top_wavelet_rank
smoothed,gaus2,14.373617408857758,0.6759259259259259,237.9506273081178,-2.750832424075332,27,12,1460.3926653254907,,False,7.5786051440496305,40860.10994018821,0.11691976955200228,2.530711894393713e-06,0.555684806987213,1,4145.1141746650155,4145.1141746650155,4145.1141746650155,[7],[4145.1141746650155],[0],[20],0.05,10,103803774.25946482,3966.769371953705,-3966.769371953705,CWT,inu.32000013032851,3882.4252857761267,3491.780841331682,3262.036038620372,0.0,-2.5,0.0,-2.5,3882.4252857761267,3357.047507998349,3882.4252857761267,3262.036038620372,0.0,-2.5,,0.0,2.0,4137.714174665016,0.0,0.6273414090660805,0.22844991892650796,0.4672876098604111,0.2746960692461692,1.0,0.0,0.8913930653206105,0.884398120735553,,0.900157831769099,0.8680648487333382,0.8680648487333382,0.8680648487333382,0.8014095952325178,0.8307031499534122,1.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.667362085983699,0.9259138497473232,2,1.884774473359573,0.7810788022883823,6,0,0,0.5811760802253605,0.9632215391658546,2,1,0.11111111111111112,0.541140218588861,0.7568548047939607,4,1.9148542155126762,0.8632246988919516,3.5,2.8235294117647056,0.8066123494459758,2,gaus,6.875,6.5,3.313931631332013,8,0.49107142857142855,1.0,0.35624999999999996,1,1.75,1
smoothed,mexh,14.371826843316242,0.8209876543209876,278.4835564014134,-3.1711280207862202,27,12,1687.217542984161,,False,7.74102004039901,41648.86974672673,0.1149822645351471,5.403836184936134e-06,0.5039664977060881,1,3197.1766883422993,3197.1766883422993,3197.1766883422993,[7],[3197.1766883422993],[0],[21],0.05,10,112738305.33486816,3682.337051888398,-3682.337051888398,CWT,inu.32000013032851,2934.4877994534104,2543.843355008966,2977.603718555065,0.0,-2.5,0.0,2.0,2934.4877994534104,2409.1100216756327,2934.4877994534104,2977.603718555065,0.0,-2.5,,0.0,2.0,3189.776688342299,0.0,0.819945199614229,0.6106747855091921,0.43315048754328767,0.6376676953908027,0.9997382452863096,0.5731707317073169,0.7803720621179672,0.9096093171411065,,0.6932937070252614,0.5947069071609441,0.5947069071609441,0.5947069071609441,0.4496116400653008,0.47993507943451663,1.0,,0.5294117647058824,0.0,0.0,0.8630394785361042,0.8630394785361042,0.0,0.0,2.006154656187367,0.696390786485189,5,2.4130401027881114,1.0,1,0,0,0.47588941927042877,0.7887229954898697,5,1,0.11111111111111112,0.7149855099832207,1.0,1,2.309401076758503,0.8350427802315354,3.0,1.6666666666666667,0.8103785329729105,1,mexh,1.0,1.0,,1,0.07142857142857142,,,5,2.0,2
smoothed,fbsp,9.331184145799561,0.904320987654321,303.6959288696497,-8.504068534530099,27,12,1753.3706635447504,-3046.6253023538748,True,7.800104187624001,44476.84095355769,0.12913450476817356,2.6910933186662834e-06,0.4613528401734469,1,3562.4409691623655,3562.4409691623655,3562.4409691623655,[7],[3562.4409691623655],[0],[20],0.05,10,103671247.04075572,3379.7517280720745,-3379.7517280720745,CWT,inu.32000013032851,3299.7520802734766,2909.107635829032,2675.0183947387413,0.0,-2.5,0.0,-2.5,3299.7520802734766,2774.374302495699,3299.7520802734766,2675.0183947387413,0.0,-2.5,,0.0,2.0,3555.0409691623654,0.0,0.8761177936792045,0.24978619341233982,0.0,0.7697114270906984,0.26286938708919616,0.9024390243902439,0.688895541033502,1.0,0.0,0.773003684573619,0.7000386335411602,0.7000386335411602,0.7000386335411602,0.5851682869351316,0.6150948857100841,1.0,,0.0,0.0,0.0,0.7173378799003016,0.7173378799003016,0.0,0.0,2.149002613841858,0.7459771936308219,4,1.890595429386909,0.7834910937462036,4,0,0,0.46486132268878005,0.7704454019603384,6,0,0.0,0.527757707410576,0.7381376266254143,5,0.9574271077563381,0.9316123494459758,4.75,4.615384615384615,0.7961633175801308,3,fbsp,3.0,3.0,,1,0.21428571428571427,,,4,3.25,3
smoothed,gaus3,14.292795684725847,0.7993827160493827,250.52850879113507,-2.5451442346453206,27,12,1682.4068301409243,,False,7.588150301044736,37300.729552274046,0.1183170761089843,1.320924744676843e-06,0.20571198337195673,3,1420.1107414447397,33.5713780975816,4132.265883831456,"[11, 13, 18]","[33.5713780975816, 4132.265883831456, 94.49496240518033]","[4, 4, 15]","[12, 23, 23]",0.05,10,84895710.81090303,2240.886905389139,-2240.886905389139,CWT,inu.32000013032851,1157.4218525558508,3478.932550498123,1536.1535720558056,0.0,-1.5,0.3333333333333333,3.0,1157.4218525558508,3472.2655576675525,1157.4218525558508,1536.1535720558056,0.6666666666666666,7.5,,0.0,0.0,26.171378097581623,0.0,0.8158602793955555,0.06750640060531574,0.4839939540065526,0.2960279866638086,0.9881850360851914,0.4878048780487804,0.1401246168447089,0.7706293443629489,,0.0029143803489305453,0.08225213425523682,0.08225213425523682,0.08225213425523682,0.8441692443199486,0.8259488594541136,0.0,,0.6470588235294118,1.0,1.0,0.16894900498014964,0.16894900498014964,1.0,0.9999999999999999,1.6422457711664247,0.5700681254345679,6,1.7569364234812683,0.72810079760019,7,0,0,0.4931961228841725,0.8174065395308656,4,1,0.11111111111111112,0.5007110064460522,0.7003093062093004,6,1.2583057392117916,0.9101210186277292,5.75,5.508196721311475,0.7497033664567218,4,gaus,6.875,6.5,3.313931631332013,8,0.49107142857142855,1.0,0.35624999999999996,1,3.25,4
smoothed,gaus1,14.32856155310441,0.7407407407407407,249.3480831251196,-3.79402457431397,27,12,1899.263775060518,,False,7.6215215041503575,35234.90492914939,0.10918719256637749,3.2850318253022705e-06,0.1404359719613408,1,4602.63252928068,4602.63252928068,4602.63252928068,[13],[4602.63252928068],[3],[24],0.05,10,115567723.08023253,2955.3255137104834,-2955.3255137104834,CWT,inu.32000013032851,4339.943640391791,3949.299195947346,2250.59218037715,0.0,-2.5,0.0,-2.5,4339.943640391791,3814.565862614013,4339.943640391791,2250.59218037715,0.0,2.0,,0.0,2.0,4595.23252928068,0.0,0.9999999999999999,0.3288005497367576,0.3825577713571164,0.37060735179540094,0.9934134873316017,0.25609756097560954,0.0,0.704599217217416,,1.0,1.0,1.0,1.0,0.9712035151139233,1.0,1.0,,0.0,0.0,0.0,0.512967168342051,0.512967168342051,0.0,0.45,2.880788624893782,1.0,1,1.6944639585760084,0.7022112714240286,9,0,0,0.6033669894141448,1.0,1,1,0.11111111111111112,0.49895393674618216,0.6978518162667263,7,4.123105625617661,0.7054924553130242,4.5,1.7746478873239437,0.6920319419422264,5,gaus,6.875,6.5,3.313931631332013,8,0.49107142857142855,1.0,0.35624999999999996,1,4.0,5
smoothed,gaus4,14.121850337827288,0.6975308641975309,203.8787462904612,-0.4501132759031262,27,12,1080.3419438441417,,False,7.496355892697655,31410.240952561977,0.1449892068074034,2.065918472508102e-06,0.597284616112552,1,4181.923135322658,4181.923135322658,4181.923135322658,[7],[4181.923135322658],[0],[20],0.05,10,63477326.846550174,3410.393991135398,-3410.393991135398,CWT,inu.32000013032851,3919.234246433769,3528.5898019893243,2705.6606578020646,0.0,-2.5,0.0,-2.5,3919.234246433769,3393.856468655991,3919.234246433769,2705.6606578020646,0.0,-2.5,,0.0,2.0,4174.523135322658,0.0,0.3046289697893893,0.1666163239603824,0.6541559272854176,0.09088199071371478,0.9631953055801293,0.08536585365853652,0.9806932107880333,0.5823511590637559,,0.90819048533438,0.8786794956504314,0.8786794956504314,0.8786794956504314,0.815070113228723,0.8443236769332806,1.0,,0.0,0.0,0.0,0.7320928146665864,0.7320928146665864,0.0,0.0,2.5858027126333387,0.8976023753664607,3,1.7202698820472344,0.7129056330475295,8,0,0,0.5477005994129182,0.9077404117595538,3,1,0.11111111111111112,0.47293053704936433,0.6614547154395661,9,3.2015621187164243,0.7713169915202553,5.75,4.430769230769231,0.6803013529029849,6,gaus,6.875,6.5,3.313931631332013,8,0.49107142857142855,1.0,0.35624999999999996,1,4.75,6
smoothed,gaus5,14.107360042505254,0.7160493827160493,211.97562565058982,-0.9043980192337135,27,12,1307.1077153288438,,False,7.615063456561103,31093.20477035925,0.13930785981771907,9.315423533993577e-07,0.2744066683544048,3,1412.4877623619332,50.66488875812877,3729.829600320166,"[9, 13, 19]","[456.96879800750503, 50.66488875812877, 3729.829600320166]","[5, 12, 5]","[15, 15, 22]",0.05,10,56451834.8658297,2288.962096132804,-2288.962096132804,CWT,inu.32000013032851,1149.7988734730443,3076.4962669868323,1584.2287627994708,0.0,-1.5,0.0,-1.5,1149.7988734730443,3449.396620419133,1149.7988734730445,1584.2287627994708,0.3333333333333333,3.0,,0.0,0.0,43.26488875812879,0.0,0.49718257151667944,0.015705079985251225,0.6172581487427914,0.356174636029301,0.9610770345560501,0.15853658536585347,0.2875879223442244,0.5722177047587546,,0.0066446201301535585,0.08005388605765895,0.08005388605765895,0.08005388605765902,0.8356821389180398,0.6770341886970238,0.0,,0.11764705882352941,0.0,1.0,0.1920982841908133,0.1920982841908133,0.5,0.5499999999999999,1.2290040668571494,0.4266207024829752,9,1.5901839049764626,0.6589960536250965,12,0,0,0.3079547309373822,0.5103937343943841,9,1,0.11111111111111112,0.42766190485680755,0.598140660034976,10,1.4142135623730951,0.8989847455447789,10.0,9.863013698630137,0.5923495156295323,7,gaus,6.875,6.5,3.313931631332013,8,0.49107142857142855,1.0,0.35624999999999996,1,5.5,7
smoothed,gaus6,13.903056670778032,0.6851851851851852,181.5916413354568,1.4206860393973029,27,12,824.9345035695128,,False,7.46518087987784,25121.534641447317,0.1397885119992425,1.9205769899768303e-06,0.6062785403871095,2,1947.8985651239498,119.44485663343266,3776.352273614467,"[7, 16]","[3776.352273614467, 119.44485663343266]","[1, 13]","[20, 20]",0.05,10,42598479.83988724,2891.041645600052,-2891.041645600052,CWT,inu.32000013032851,1685.209676235061,3123.0189402811334,2186.3083122667185,0.0,-2.0,0.0,-2.0,1685.209676235061,3107.730463581233,1685.209676235061,2186.3083122667185,0.0,-2.0,,0.0,1.0,112.04485663343269,0.0,0.08775487009244606,0.14728088171992262,0.8061054255837119,0.02121076379653447,0.9312108446107429,0.03658536585365871,1.0,0.38134470737583887,,0.021654162488931202,0.2344509819108992,0.2344509819108992,0.2344509819108992,0.7088832127655458,0.694249109071285,0.5,,0.058823529411764705,0.0,0.5,0.4820130485848467,0.4820130485848467,0.0,0.049999999999999996,1.377755865760019,0.4782564933276972,7,1.5975568143893755,0.6620514978360709,11,0,0,0.30007064690285135,0.497326920709091,11,1,0.11111111111111112,0.42088105182355134,0.5886567573004781,12,2.217355782608345,0.841617444099404,10.25,9.803713527851459,0.5547372934782735,9,gaus,6.875,6.5,3.313931631332013,8,0.49107142857142855,1.0,0.35624999999999996,1,7.0,8
smoothed,gaus8,13.77726621117494,0.7129629629629629,172.3666068746892,2.6115708744393613,27,12,761.2372619411507,,False,7.479182212403222,22190.719180412456,0.1337672109680662,1.7209098965087932e-06,0.5959640992334212,3,1409.9327881903807,20.216474797772776,3415.6665926016767,"[7, 16, 25]","[3415.6665926016767, 793.915297171692, 20.216474797772776]","[2, 11, 20]","[20, 20, 26]",0.05,10,32955511.887589738,2535.2397798889583,-2535.2397798889583,CWT,inu.32000013032851,1147.2438993014919,2762.333259268343,1830.506446555625,0.0,-1.5,0.0,-1.5,1147.2438993014919,3441.7316979044754,1147.2438993014916,1830.506446555625,0.0,-1.5,,0.0,0.0,12.816474797772798,0.0,0.03366763631227204,0.12071825496096515,0.9028311148309459,0.05250152929379054,0.9128221037492877,0.1463414634146339,0.9778585259210121,0.28766680492179897,,0.0,0.07931710489815912,0.07931710489815912,0.07931710489815906,0.8328375377644003,0.5607835354252411,0.0,,0.11764705882352941,0.0,1.0,0.31068649520852987,0.31068649520852987,0.0,0.09999999999999999,1.0242352349689288,0.35553987755928934,11,1.6354229705050558,0.6777438006999679,10,0,0,0.24789945979462208,0.41086016329021685,13,1,0.11111111111111112,0.42374537362003273,0.5926628829582534,11,1.2583057392117916,0.9101210186277292,11.25,11.15009746588694,0.5532747950281502,10,gaus,6.875,6.5,3.313931631332013,8,0.49107142857142855,1.0,0.35624999999999996,1,7.75,9
smoothed,shan,9.682990047641821,0.9166666666666666,214.2191707900646,-2.5908356656518414,27,12,871.9259749710761,-2127.204468075961,True,7.903148866616642,21779.736377873287,0.13091451508393293,2.289716070629112e-06,0.4684668683270825,3,1257.0514203314149,246.20154464787515,1900.1702301312143,"[6, 17, 25]","[1900.1702301312143, 1624.7824862151544, 246.20154464787515]","[3, 10, 21]","[21, 21, 26]",0.05,10,28800753.384867024,1967.533363334881,-1967.533363334881,CWT,inu.32000013032851,994.362531442526,1246.8368967978809,1262.8000300015476,0.0,-1.5,0.3333333333333333,6.0,994.362531442526,2983.087594327578,994.3625314425259,1262.8000300015476,0.0,1.5,,0.0,0.0,238.80154464787518,0.0,0.12765673451225504,0.1963891421307995,0.48028281836458925,1.0,0.3142983077157716,0.9512195121951218,0.7041668550692205,0.274530526845472,0.9885273760355441,0.049315703149438964,0.0352305099215032,0.0352305099215032,0.03523050992150317,0.6626258306466973,0.0,0.0,,1.0,1.0,1.0,0.03732316282846271,0.03732316282846271,0.0,0.39999999999999997,0.7727443503289182,0.26824055873152103,12,2.209910315927699,0.9158199705733405,2,0,0,0.3065913849441123,0.5081341709492682,10,0,0.0,0.5596745858743082,0.7827775221450888,3,4.9916597106239795,0.6434528778125729,6.75,3.934426229508197,0.5806550103348578,8,shan,8.0,8.0,,1,0.5714285714285714,,,7,7.75,10
