signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,decomposition_levels,original_level,padded,emd_value,kl_divergence,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,dynamic_cutoff,dominant_frequency,amplitude_max,num_fft_peaks,positive_frequencies,positive_amplitudes,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,max_autocorrelation,upper_envelope,lower_envelope,spectral_magnitude,spectral_centroid,spectral_bandwidth,frequency_max,wavelet_type,htid,max_autocorrelation_diff,frequency_max_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_num_peaks_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,spectral_centroid_diff,lower_envelope_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,spectral_bandwidth_diff,spectral_magnitude_diff,avg_prominence_diff,num_fft_peaks_diff,amplitude_max_diff,prominence_min_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,prominence_max_diff,upper_envelope_diff,dominant_frequency_diff,dynamic_cutoff_diff,emd_value_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,spectral_centroid_diff_normalized,spectral_magnitude_diff_normalized,dynamic_cutoff_diff_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,amplitude_max_diff_normalized,frequency_max_diff_normalized,spectral_bandwidth_diff_normalized,num_fft_peaks_diff_normalized,relative_num_peaks_diff_normalized,dominant_frequency_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,top_wavelet_rank
raw,rbio3.1,3304575.537253671,0.5776699029126213,216.22353096860493,6.042274109810207,206,1,False,False,163.5678825750273,,7.672951439409423,148765.13169095814,1.0,1.942913639431939e-06,0.19298705294237872,398.1895061556746,,,,[],[],13,1312.5125697482067,431.1583598284973,1752.033827084968,"[9, 31, 50, 62, 80, 99, 110, 126, 138, 151, 161, 174, 197]","[1517.9814825122207, 1348.2758550274496, 1354.2862626675349, 1604.0717331216829, 1752.033827084968, 1643.492936172833, 1099.9045981356749, 1444.0888238782265, 541.6437943888952, 1735.9471478129744, 431.1583598284973, 1502.4251333261168, 1087.3534527696133]","[8, 11, 36, 36, 36, 82, 106, 112, 137, 82, 159, 162, 186]","[36, 36, 58, 75, 82, 141, 112, 141, 141, 162, 162, 204, 204]",86043465.5625,1587.101170373206,-1587.101170373206,0.0,,,,SWT,mdp.39015067403892,48288852.5625,,0.0,-25.5,19.0,0.0,-25.5,,646.1011703732061,907.7000697482067,4108.663406726686,907.7000697482066,,0.0,907.7000697482067,,,428.1583598284973,0.0,-25.5,812.0338270849679,646.1011703732061,,71.18950615567462,0.6638518117939887,0.050228213297049795,0.9999999999999999,1.0,0.0,0.3260704022745043,0.9999999999999999,0.6146556332003454,1.0,1.0,1.0,,0.0,0.016648741757311097,1.0,0.5920132462024017,,,,,0.8,,1.0,0.008474576271186446,0.010000000000000009,0.5499269105415516,0.5499269105415516,0.008928571428571452,2.932331620069414,0.9858256571882182,2,1.759720632426228,1.0,1,0,0.543371639329528,0.904018192314458,2,0,0.5771643467665062,1.0,1,0.5773502691896257,0.9945532993472677,1.5,1.3333333333333333,0.9902011779755207,1,rbio,34.4,36.0,18.821719976058056,15,0.4644956314535345,0.6222068689729192,0.48819099729065013,2,1.25,1
raw,bior2.2,717059.2588658945,0.7475728155339806,149.91498147156608,13.301878075272848,206,1,False,False,150.66779721746482,,7.148109348375213,128859.08011328823,1.0,2.2926441236767153e-06,0.9627617588152183,418.6072144624361,,,,[],[],13,1057.7093607891006,148.1388706585817,1629.3508005491021,"[8, 23, 33, 52, 65, 82, 100, 111, 133, 153, 175, 192, 202]","[1522.22412319934, 659.9074035423455, 1157.8873541929715, 1251.9325560907823, 1123.4158986101272, 1629.3508005491021, 1160.8925580130144, 897.4952820210253, 1121.2945782665677, 1252.4628861766723, 1077.4539578330018, 747.765421104774, 148.1388706585817]","[0, 13, 13, 42, 61, 42, 99, 107, 126, 99, 164, 188, 201]","[42, 25, 42, 77, 77, 99, 126, 126, 151, 164, 188, 205, 205]",77559783.6875,1543.0837732443433,-1543.0837732443433,0.0,,,,SWT,mdp.39015067403892,39805170.6875,,0.0,1.5,19.0,0.0,6.0,,602.0837732443433,652.8968607891006,796.2216902583095,652.8968607891004,,0.0,652.8968607891006,,,145.1388706585817,0.0,10.5,689.3508005491021,602.0837732443433,,91.6072144624361,0.23537710355471492,0.8658141766503011,0.2699298502673851,0.047820683965637906,0.9999999999999999,0.9689026638380895,0.302208849118064,0.17295056951690138,0.48657478084557304,0.48657478084557304,0.4865747808455726,,0.0,0.0951356671846336,0.19366279784534424,0.4201783683837207,,,,,0.8,,0.3616371689785371,0.4661016949152542,0.73,0.47917618488101477,0.47917618488101477,0.5714285714285716,1.7706758325418495,0.5952865816184675,23,1.6574215093555682,0.9418662705968196,3,0,0.41527810337011417,0.6909064315164859,12,0,0.5271504753420276,0.9133455285228977,2,9.763879010584539,0.90788793386241,10.0,4.166037735849057,0.9067741556104503,2,bior,24.6,24.0,14.836249044630037,15,0.3321683876092137,0.4904554991310134,0.6203454789342464,1,1.75,2
raw,bior1.3,1082078.4793712017,0.6456310679611651,140.47977284748154,14.184933984267282,206,1,False,False,145.679012707604,,7.305365916438145,125901.42511480524,1.0,2.9756886727735818e-06,0.9960920114295952,471.5518347037789,,,,[],[],12,1049.8252334972651,508.1446106301827,1393.353912328092,"[8, 23, 33, 46, 63, 82, 100, 111, 133, 153, 175, 192]","[1269.6102256204463, 508.1446106301827, 959.9858438083866, 1130.1334130313999, 1192.8891398617059, 1393.353912328092, 1137.1160924956166, 929.3150871744201, 951.9425041723897, 1132.5198984179042, 1180.7799362338862, 812.1121381927499]","[0, 13, 13, 37, 37, 76, 92, 107, 107, 107, 164, 187]","[76, 25, 37, 61, 76, 164, 164, 126, 142, 164, 187, 205]",76623618.453125,1356.2308063157984,-1356.2308063157984,0.0,,,,SWT,mdp.39015067403892,38869005.453125,,0.0,14.5,20.0,0.0,14.5,,415.2308063157984,645.0127334972651,356.0971980328195,645.012733497265,,0.0,645.0127334972651,,,505.1446106301827,0.0,14.5,453.35391232809206,415.2308063157984,,144.55183470377892,0.06967525522716789,0.9650217928864453,0.48867817124505336,0.18214399416977645,0.40000000000000036,0.9967364722278975,0.19853055424122856,0.7348071355327253,0.47068836481812926,0.47068836481812926,0.47068836481812903,,0.0,0.2986580409117609,0.08652468583073901,0.08963144923683392,,,,,1.0,,0.29119451234373767,0.6864406779661016,0.81,0.17884077514933974,0.17884077514933974,0.7232142857142858,1.7928892481568726,0.60275454837134,21,1.5734335455950832,0.894138260699768,14,0,0.4326811621526168,0.7198602461850487,7,0,0.47154089142822436,0.8169958765990579,16,5.802298395176403,0.9452613358945623,14.5,12.3302752293578,0.9042344415321868,3,bior,24.6,24.0,14.836249044630037,15,0.3321683876092137,0.4904554991310134,0.6203454789342464,1,2.5,3
raw,coif1,982720.01802826,0.6990291262135923,167.0032351010423,13.331544451559893,206,1,False,False,147.7060034736631,,7.318039254237378,123196.58906353096,1.0,2.464266414794757e-06,0.9321798815066665,426.81324102515987,,,,[],[],12,1061.8882329049816,678.0651191413191,1554.390623363329,"[8, 27, 41, 52, 65, 82, 100, 111, 133, 153, 176, 195]","[1522.0252420246036, 1073.6614437229794, 678.0651191413191, 1258.4218425517736, 1024.2091564666425, 1554.390623363329, 1073.960479434659, 730.9817049559501, 1102.9732004555158, 1089.6257843733645, 930.6694399172995, 703.6747584523432]","[0, 13, 39, 42, 61, 42, 99, 107, 126, 126, 164, 188]","[42, 42, 42, 73, 73, 126, 126, 126, 151, 164, 188, 205]",73993386.23437314,1484.5187864048644,-1484.5187864048644,0.0,,,,SWT,mdp.39015067403892,36238773.23437314,,0.0,-12.5,20.0,0.0,-3.5,,543.5187864048644,657.0757329049816,211.34120514022106,657.0757329049816,,0.0,657.0757329049816,,,675.0651191413191,0.0,10.0,614.390623363329,543.5187864048644,,99.81324102515987,0.13700149788506794,0.8691470692155676,0.5063071415253644,0.14558110467070193,0.7142857142857144,0.9433640001185206,0.10371463086228583,0.9999999999999999,0.49499515490867535,0.49499515490867535,0.4949951549086754,,0.0,0.1266801375633117,0.05128719267762699,0.3151860703316477,,,,,1.0,,0.09328015037854402,0.2288135593220339,0.72,0.38504260162840637,0.38504260162840637,0.40178571428571436,1.767967954334082,0.5943762153435593,24,1.5930785520995026,0.9053019682465355,10,0,0.41280689950278127,0.6867950405433697,13,0,0.4884858797947462,0.8463549117880022,10,6.652067347825035,0.937244647662028,14.25,12.55533199195171,0.9014053426989386,4,coif,74.05882352941177,83.0,30.249939231830062,17,1.0,1.0,0.0,5,4.25,4
raw,db2,985619.0534269664,0.6796116504854369,158.3853407598122,10.473885353334406,206,1,False,False,160.7537555563024,,7.320911830378753,123196.58906353096,1.0,3.2806709345663995e-06,0.7514939242222001,437.1797024000814,,,,[],[],13,1116.8954550259068,104.05121193130651,1792.1306662770487,"[7, 22, 32, 47, 64, 81, 101, 111, 132, 158, 175, 191, 201]","[1309.2747565637426, 487.08410134055396, 1017.98708410047, 1412.7031494621992, 1492.5264187850034, 1792.1306662770487, 1214.3366241709298, 921.7674830534332, 1369.4508516271983, 1298.9147048053096, 1125.9051559797551, 104.05121193130651, 973.5087072398387]","[1, 19, 19, 41, 41, 76, 98, 108, 125, 125, 171, 187, 187]","[76, 24, 41, 60, 76, 125, 125, 125, 150, 171, 187, 193, 205]",77059655.2589253,1617.9109524887672,-1617.9109524887672,0.0,,,,SWT,mdp.39015067403892,39305042.258925304,,0.0,-7.5,19.0,0.0,-3.0,,676.9109524887672,712.0829550259068,1565.6409153367877,712.0829550259068,,0.0,712.0829550259068,,,101.05121193130651,0.0,-16.5,852.1306662770487,676.9109524887672,,110.1797024000814,0.5703809377745742,0.5481010921003562,0.5103029759477125,0.14664791981159822,0.6000000000000002,0.792474705279646,0.10371463086228583,0.10414349844592771,0.6058340065380712,0.6058340065380712,0.6058340065380712,,0.0,0.16652945212175527,0.3809600843603948,0.6481745234225413,,,,,0.8,,0.3240045226531162,0.3135593220338983,0.19,0.5994485675295258,0.5994485675295258,0.4107142857142858,2.0286061630550036,0.6820006271399919,14,1.4269261189290143,0.8108821892720717,27,0,0.4236323228950123,0.7048055125256005,9,0,0.4673746088251677,0.8097773388872298,18,7.615773105863909,0.9281530839069443,17.0,14.53846153846154,0.8838878627081892,5,db,69.47368421052632,71.5,24.935307478206813,38,0.9380878725805777,0.8243093411562624,0.09604568684671688,4,4.75,5
raw,sym13,980246.931792819,0.6844660194174758,140.03547353710985,13.674659360280923,206,1,False,False,148.06180093761483,,7.308014770785414,123196.58906352645,1.0,2.7897587873640264e-06,0.9631827866927244,446.8499147341476,,,,[],[],14,1006.7320085338134,131.09035187869574,1578.4129542693163,"[8, 21, 32, 51, 63, 79, 90, 100, 111, 127, 137, 157, 175, 198]","[1234.22315422743, 131.09035187869574, 997.0570082124535, 1124.4775058811122, 1292.588695421783, 1578.4129542693163, 871.8913528369377, 1293.7183886955486, 879.6842118442829, 1053.5018708302825, 480.23871440953246, 1214.9639303700187, 1095.4755694032378, 846.9244111927574]","[0, 19, 13, 42, 42, 76, 83, 92, 107, 113, 134, 113, 164, 187]","[76, 22, 42, 59, 76, 113, 92, 113, 113, 142, 142, 164, 187, 205]",75493748.07113408,1535.1022913856625,-1535.1022913856625,0.0,,,,SWT,mdp.39015067403892,37739135.071134076,,0.0,11.0,18.0,0.0,20.0,,594.1022913856625,601.9195085338134,1140.2481194733882,601.9195085338134,,0.0,601.9195085338134,,,128.09035187869574,0.0,15.5,638.4129542693163,594.1022913856625,,119.8499147341476,0.14881926577833426,0.9076945856780956,0.4923628023426088,0.14467103443082563,0.6285714285714288,0.969254260611293,0.1037146308621277,0.14634315426269282,0.3838560656437412,0.3838560656437412,0.3838560656437412,,0.0,0.20370234258169415,0.2774080625609149,0.34883273208027576,,,,,0.6000000000000001,,0.2061763249149418,0.6271186440677966,0.8299999999999998,0.46634726563131657,0.46634726563131657,0.8214285714285715,1.6439696213721087,0.552689000553171,29,1.5883955775450147,0.9026407648326555,11,0,0.40968483733938305,0.6816008036915325,14,0,0.4850125726106735,0.8403370293537674,11,8.616843969807043,0.9187090191527637,16.25,13.90194552529183,0.8827035661801554,6,sym,44.05263157894737,57.0,29.17471067020303,19,0.5948329919317754,0.9644551827563462,0.29428035082085335,3,5.25,6
raw,sym2,985619.0534263669,0.6796116504854369,158.38534075968602,10.473885353335774,206,1,False,False,160.75375555628776,,7.320911830378737,123196.58906350654,1.0,3.2806709345689618e-06,0.751493924222229,437.1797024001055,,,,[],[],13,1116.8954550256465,104.05121193123023,1792.1306662765305,"[7, 22, 32, 47, 64, 81, 101, 111, 132, 158, 175, 191, 201]","[1309.2747565635013, 487.08410134011933, 1017.9870841000579, 1412.703149462037, 1492.5264187847765, 1792.1306662765305, 1214.3366241707295, 921.7674830533049, 1369.4508516269675, 1298.9147048050784, 1125.9051559794302, 104.05121193123023, 973.508707239644]","[1, 19, 19, 41, 41, 76, 98, 108, 125, 125, 171, 187, 187]","[76, 24, 41, 60, 76, 125, 125, 125, 150, 171, 187, 193, 205]",77059655.25891699,1617.9109524883918,-1617.9109524883918,0.0,,,,SWT,mdp.39015067403892,39305042.25891699,,0.0,-7.5,19.0,0.0,-3.0,,676.9109524883918,712.0829550256465,1565.6409153334043,712.0829550256467,,0.0,712.0829550256465,,,101.05121193123023,0.0,-16.5,852.1306662765305,676.9109524883918,,110.1797024001055,0.570380937774088,0.54810109210051,0.5103029759476903,0.1466479198113776,0.6000000000000002,0.7924747052796701,0.10371463086142987,0.10414349844580865,0.6058340065375465,0.6058340065375465,0.605834006537547,,0.0,0.16652945212184792,0.3809600843595712,0.6481745234218155,,,,,0.8,,0.3240045226524906,0.3135593220338983,0.19,0.5994485675289224,0.5994485675289224,0.4107142857142858,2.028606163053213,0.6820006271393899,15,1.4269261189285065,0.8108821892717831,28,0,0.4236323228946803,0.7048055125250482,10,0,0.4673746088249667,0.8097773388868815,19,7.615773105863909,0.9281530839069443,18.0,15.685503685503685,0.8791708815761137,7,sym,44.05263157894737,57.0,29.17471067020303,19,0.5948329919317754,0.9644551827563462,0.29428035082085335,3,6.0,7
raw,rbio5.5,762024.9016922304,0.6941747572815534,148.9804499381236,9.818372877681774,206,1,False,False,162.37733582196395,,7.167563307368892,130989.65067350541,1.0,3.4339997146593564e-06,0.7210450879333805,425.1278476431454,,,,[],[],13,1173.7044123208848,183.83200885185772,1866.8702556698308,"[7, 22, 32, 47, 64, 81, 101, 111, 132, 148, 158, 175, 194]","[1248.6551535018014, 581.6475821776953, 1067.4603824879925, 1459.1986327615366, 1648.3864311082102, 1866.8702556698308, 1287.388726295619, 1044.8687820286927, 1324.2464694370697, 183.83200885185772, 1385.2025195230688, 1201.7128050252593, 958.6876113028667]","[1, 19, 19, 38, 60, 76, 98, 108, 125, 143, 150, 171, 187]","[38, 24, 38, 60, 76, 150, 150, 125, 150, 150, 187, 187, 205]",79983148.66259252,1602.11711503157,-1602.11711503157,0.0,,,,SWT,mdp.39015067403892,42228535.662592515,,0.0,-7.5,19.0,0.0,-3.0,,661.1171150315699,768.8919123208848,2304.157360171501,768.8919123208847,,0.0,768.8919123208848,,,180.83200885185772,0.0,-16.5,926.8702556698308,661.1171150315699,,98.1278476431454,0.6243079515384449,0.4744570232932012,0.29699085584988394,0.06436757698000889,0.6857142857142858,0.7670471429757806,0.3768943424942015,0.22865641481032448,0.7203033315840899,0.7203033315840899,0.7203033315840897,,0.0,0.1202013818331171,0.5607348048974017,0.7528578571661262,,,,,0.8,,0.5439856055290666,0.3135593220338983,0.19,0.574062571674524,0.574062571674524,0.4107142857142858,2.387883565597691,0.8027867207217732,4,1.384508124326108,0.7867772297567523,33,0,0.4819829873390359,0.8018846722994205,3,0,0.4699684541208296,0.8142714579543441,17,14.032699906527847,0.8676160386176618,14.25,5.94831013916501,0.8665910381767554,8,rbio,34.4,36.0,18.821719976058056,15,0.4644956314535345,0.6222068689729192,0.48819099729065013,2,6.5,8
raw,coif2,967725.5249512974,0.6747572815533981,161.83856510558252,9.735562537865079,206,1,False,False,165.8277316290857,,7.3103158938545025,123196.58906353099,1.0,3.1740273670563674e-06,0.6537842905825796,475.10491634815025,,,,[],[],12,1181.513266350502,650.0166420491258,1653.2299658122934,"[7, 18, 28, 48, 64, 81, 102, 112, 132, 154, 176, 194]","[1428.5647871637095, 650.0166420491258, 1090.3440118822964, 1469.1684273522383, 1306.0324777845237, 1653.2299658122934, 1026.293182889075, 1014.0654864251758, 1203.4475287903938, 1354.3434789523437, 1061.1003660692477, 921.5528410356023]","[6, 15, 21, 41, 61, 77, 98, 109, 125, 125, 173, 188]","[41, 21, 41, 77, 77, 125, 125, 125, 150, 173, 188, 205]",75835469.93468787,1379.6369705636748,-1379.6369705636748,0.0,,,,SWT,mdp.39015067403892,38080856.93468787,,0.0,-21.5,20.0,0.0,-21.5,,438.6369705636748,776.7007663505019,1224.159196206023,776.7007663505021,,0.0,776.7007663505019,,,647.0166420491258,0.0,-26.0,713.2299658122934,438.6369705636748,,148.10491634815025,0.7389124131205386,0.4651536300094457,0.49556372942582366,0.14006328579491106,0.5714285714285716,0.7108782273882531,0.10371463086228686,0.9562250840160592,0.7360380729473532,0.7360380729473532,0.7360380729473539,,0.0,0.31231630509445624,0.29783427036586757,0.4536245064622672,,,,,1.0,,0.23188951636345176,0.07627118644067796,0.0,0.2164623342028874,0.2164623342028874,0.08035714285714288,2.107417570897109,0.7084963711404719,11,1.3729879814238408,0.7802306548686784,34,0,0.40330379325651716,0.6709845338692996,15,0,0.460816355432833,0.798414451645361,22,10.082988974836116,0.9048774625015461,20.5,17.208588957055213,0.8557406180432259,9,coif,74.05882352941177,83.0,30.249939231830062,17,1.0,1.0,0.0,5,8.0,9
raw,sym17,968619.3073595455,0.6747572815533981,142.5972101357974,13.393805992941601,206,1,False,False,150.23949234507748,,7.299123268285712,123196.58906358434,1.0,2.8190433766925873e-06,0.9491971799389844,425.12316957884013,,,,[],[],16,963.3209599073621,100.37747450701647,1649.756114539261,"[8, 27, 41, 52, 63, 79, 90, 100, 111, 127, 137, 152, 162, 175, 190, 202]","[1251.9387068466287, 1208.684990394501, 646.2882546111082, 1077.9423083385448, 1213.6005893198708, 1649.756114539261, 948.1951164866388, 1254.88528076689, 893.9351116010812, 1156.3916099708829, 440.27241849045754, 1275.1919945156278, 327.2186769059863, 1131.8741402231103, 836.5825710001868, 100.37747450701647]","[0, 13, 37, 13, 13, 13, 84, 92, 107, 113, 134, 113, 161, 164, 187, 201]","[13, 37, 42, 59, 71, 113, 92, 113, 113, 142, 142, 164, 164, 205, 205, 205]",75520163.17932886,1586.7008758766037,-1586.7008758766037,0.0,,,,SWT,mdp.39015067403892,37765550.17932886,,0.0,12.0,16.0,0.0,16.5,,645.7008758766037,558.5084599073621,2459.135358517793,558.5084599073621,,0.0,558.5084599073621,,,97.37747450701647,0.0,10.5,709.756114539261,645.7008758766037,,98.12316957884013,0.2211510112346326,0.8761418914468138,0.4799944716157148,0.1403921885072447,0.5714285714285716,0.9575750002377639,0.1037146308641569,0.09840994127037199,0.29638335583836206,0.29638335583836206,0.296383355838362,,0.0,0.1201833990664542,0.5984606084823509,0.44875888791733126,,,,,0.20000000000000007,,0.20816395522656994,0.6440677966101694,0.73,0.5492835029809087,0.5492835029809087,0.7589285714285715,1.5729573231210852,0.5288152527435342,38,1.5553110493121545,0.8838397531134006,16,0,0.38631268223191495,0.6427160848703265,19,0,0.4786282521906999,0.8292754999025097,13,11.269427669584644,0.8936846446265599,21.5,18.31749710312862,0.8454272279736573,10,sym,44.05263157894737,57.0,29.17471067020303,19,0.5948329919317754,0.9644551827563462,0.29428035082085335,3,8.25,10
