signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,scales_used,emd_value,kl_divergence,is_complex,change_point_indices,change_point_prominences,num_change_points,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,fft_frequency_max,fft_amplitude_max,fft_spectral_centroid,fft_spectral_bandwidth,fft_spectral_magnitude,fft_variance_magnitude,fft_num_peaks,fft_peak_amplitude,fft_dominant_frequency,fft_positive_frequencies,fft_positive_amplitudes,fft_snr_threshold,fft_stationarity_threshold,fft_dynamic_cutoff,fft_dynamic_cutoff_percentile,wavelet_type,htid,max_autocorrelation_diff,fft_amplitude_max_diff,fft_dominant_frequency_diff,prominence_max_diff,fft_variance_magnitude_diff,avg_prominence_diff,upper_envelope_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,fft_snr_threshold_diff,lower_envelope_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,fft_peak_amplitude_diff,fft_stationarity_threshold_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,fft_frequency_max_diff,fft_num_peaks_diff,fft_dynamic_cutoff_percentile_diff,prominence_min_diff,fft_dynamic_cutoff_diff,fft_spectral_centroid_diff,fft_spectral_bandwidth_diff,prominence_threshold_diff,distance_factor_diff,fft_spectral_magnitude_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_num_peaks_diff,emd_value_normalized,smoothness_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,relative_num_peaks_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_right_bases_array_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,relative_left_bases_array_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_array_alignment_score_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,reconstruction_signal_num_missing_metrics,reconstruction_signal_missing_metrics_count,reconstruction_signal_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,across_emd_value_normalized,across_smoothness_normalized,across_wavelet_psnr_normalized,across_wavelet_entropy_normalized,across_wavelet_energy_entropy_normalized,across_wavelet_sparsity_normalized,across_correlation_normalized,across_avg_variance_across_levels_normalized,across_kl_divergence_normalized,across_prominence_min_diff_normalized,across_avg_prominence_diff_normalized,across_relative_prominences_avg_diff_normalized,across_relative_prominences_wasserstein_normalized,across_relative_prominences_total_diff_normalized,across_prominence_max_diff_normalized,across_relative_num_peaks_diff_normalized,across_max_autocorrelation_diff_normalized,across_relative_right_bases_global_alignment_score_normalized,across_relative_right_bases_array_alignment_score_normalized,across_relative_left_bases_global_alignment_score_normalized,across_relative_left_bases_array_alignment_score_normalized,across_upper_envelope_diff_normalized,across_lower_envelope_diff_normalized,across_relative_peaks_array_alignment_score_normalized,across_relative_peaks_global_alignment_score_normalized,across_reconstruction_signal_weighted_score,across_reconstruction_signal_normalized_weighted_score,across_reconstruction_signal_normalized_weighted_rank,across_wavelet_signal_weighted_score,across_wavelet_signal_normalized_weighted_score,across_wavelet_signal_normalized_weighted_rank,across_rank_variability,across_normalized_rank_stability,across_average_rank,across_harmonic_average_rank,across_stability_score_weighted,across_stability_rank,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,across_normalized_family_mean_rank,across_normalized_family_std_dev,across_final_family_stability_score,across_final_family_stability_rank,across_family_informed_rank
smoothed,gaus4,19.962338140592806,0.6482939632545932,437.8655630194858,-36.44325590283377,261,127,33561.36221603962,,False,"[30, 43, 56, 79, 114, 136, 148, 158, 194, 239]","[231.9321688760392, 61483.1696718859, 455.14057658852835, 14904.31107336207, 3844.7467745049435, 3738.0518705556497, 16945.135146928114, 2351.1789707576845, 102.97824591231984, 72805.09305667366]",10,14.028778037743045,120808.57666822207,0.016186224558753372,3.517434465427989e-06,0.2531611758611387,10,17767.820591435517,66.21539828522691,79178.55777883904,"[30, 43, 56, 79, 118, 141, 153, 163, 194, 239]","[231.9321688760392, 79178.55777883904, 455.14057658852835, 14904.31107336207, 3844.7467745049435, 3738.0518705556497, 2351.1789707576845, 66.21539828522691, 102.97824591231984, 72805.09305667366]","[0, 0, 53, 68, 114, 136, 148, 158, 148, 0]","[32, 148, 68, 148, 148, 148, 158, 164, 195, 260]",0.05,30,437263452865.01263,74113.50558635546,-74113.50558635546,,,,,,,,,,,,,,,,CWT,uc1.b4952553,,,,78565.22444550571,,17471.695591435517,73500.17225302213,17471.695591435517,170571.20591435517,17502.862418151562,,73500.17225302213,0.0,-19.0,,,0.0,-5.5,,,,83.45126838143975,,,,0.0,0.0,,0.0,-1.0,14.0,0.1636916800270446,0.03197572976658628,0.5787949665802868,0.4531936581245559,0.7303479454429722,0.3220385674931131,0.8191165235730955,0.04072090959675566,,0.20108530564903154,0.9518329328655721,0.9518329328655721,0.9535516584827168,0.9763304850167724,0.4762231476460597,0.5789473684210527,,0.6862745098039217,,0.5737704918032787,,0.18980259401563132,0.18980259401563132,,0.14035087719298245,2.105342325864274,0.810219632672041,3,1.4704984049352114,0.6731405367323808,5,0,0,0.5724837414815185,0.7846327233122522,3,1,0.11111111111111112,0.38692944201999574,0.7293790820443744,5,1.1547005383792515,0.9175213901157677,4.0,3.75,0.815903552200741,1,gaus,0.7159090909090909,1.0,0.19886363636363633,1,1.0,0.16365981990576317,0.034982763975998594,0.5262737063160214,0.4531936581245559,0.7512099655633907,0.32222528229138,0.821517131982956,0.040720909596755644,,0.04202041228512246,0.951832932865572,0.951832932865572,0.9535516584827166,0.6222942416807198,0.46500708510395944,0.6363636363636362,,0.6363636363636365,0.0,0.5737704918032787,0.0,0.1898025940156313,0.1898025940156313,0.0,0.10810810810810809,1.8865235709320547,0.851580112244945,5,1.4513441403465517,0.6790019771806552,9,2.8284271247461903,0.8989847455447789,7.0,6.428571428571429,0.8244923727723894,1,15.5625,16.5,8.793700396685496,16,0.6766304347826086,1.0,0.22635869565217392,6,2.25
raw,morl,19.286990002165737,0.6694723504389537,294.75425242637294,-29.141967573489296,261,127,17348.788977149892,,False,"[8, 20, 31, 43, 55, 67, 80, 89, 102, 113, 122, 135, 149, 159, 167, 182, 196, 213, 224, 234, 242]","[1221.3996016818473, 34553.61976250346, 3758.9019272657497, 4511.356841039849, 6860.07685962739, 2333.9039020298073, 24721.427947271088, 1600.9885629080454, 3172.01226070104, 19725.808808666035, 5627.0293263149415, 12016.666712783459, 9908.153093016641, 1213.116390375486, 16160.387780103993, 5872.9125163366625, 9115.069742142743, 2009.6960579749139, 4587.0944129731, 8654.177682860274, 56246.913522329465]",21,13.861763533201398,93880.50057873948,0.029176741139599182,2.5372404733563302e-08,0.21820078067581686,22,11201.74628332764,109.84150853371716,64203.85975846261,"[8, 20, 31, 43, 55, 64, 80, 89, 99, 108, 123, 132, 143, 154, 168, 177, 191, 204, 213, 224, 234, 242]","[1221.3996016818473, 50090.09744621496, 3758.9019272657497, 4511.356841039849, 6860.07685962739, 776.5676749208569, 31861.719947925165, 1600.9885629080454, 109.84150853371716, 4283.876313893186, 16160.387780103993, 6271.6463921327395, 12016.666712783459, 9908.153093016641, 978.4385774389757, 5872.9125163366625, 9115.069742142743, 1585.4888229711976, 2009.6960579749139, 4587.0944129731, 8654.177682860274, 64203.85975846261]","[0, 0, 30, 40, 54, 63, 67, 86, 98, 106, 113, 131, 135, 149, 167, 167, 167, 113, 113, 113, 113, 113]","[10, 113, 67, 67, 67, 67, 113, 113, 113, 113, 167, 135, 167, 167, 170, 182, 196, 206, 214, 226, 235, 260]",0.05,30,125215653292.59933,58484.04548684298,-58484.04548684298,,,,,,,,,,,,,,,,CWT,uc1.b4952553,,,,63443.85975846261,,10697.99628332764,57723.04548684298,10697.99628332764,234348.4182332081,10705.540994673058,,57723.04548684298,0.0,14.0,,,0.0,-8.5,,,,81.15849146628284,,,,0.0,0.0,,0.0,5.0,2.0,0.018747335585905744,0.0,0.886891397932384,0.2940946299144047,0.6759421010210573,0.5295961002785512,0.9999999999999998,0.007546758044559711,,0.027563623360536187,0.8789074914698609,0.8789074914698609,0.8749398732115051,0.8633995854047172,0.3724429332806899,0.125,,0.836734693877551,0.0,0.6571428571428573,0.0,0.10370827225722935,0.10370827225722935,0.0,1.0,1.8568878672011648,0.8331706765639336,6,1.6376345482321772,0.7372679203976739,4,0,0,0.44816367291546916,0.882661789912585,6,1,0.11111111111111112,0.42104673479155225,0.7355137943913033,4,1.1547005383792515,0.9175213901157677,5.0,4.800000000000001,0.7801892664864553,1,morl,0.1,,,6,2.25,0.019865711865371866,0.0,0.8976093894337263,0.25127274279444933,0.6759421010210575,0.4188928669787935,0.7080053705899425,0.02145497470734096,,0.040805715569507864,0.5782905562305823,0.5782905562305823,0.5787066168318578,0.8633995854047174,0.37494044764716655,0.09090909090909088,,0.8545454545454546,0.0,0.4754098360655737,0.0,0.11210473207859298,0.11210473207859298,0.0,1.0,1.5661991082408775,0.7069850771780978,10,1.4674740540380313,0.6865482530664372,8,1.4142135623730951,0.9494923727723894,9.0,8.88888888888889,0.814031900671909,2,7.0,7.0,7.0710678118654755,2,0.30434782608695654,0.8041060637602218,0.5457247026110639,2,2.0
smoothed,gaus2,21.308779272917068,0.6289558632757112,812.9413869440597,-42.62913411642798,261,127,79288.57239115197,,False,"[50, 62, 80, 118, 141, 153, 180, 190, 221]","[548.236743718895, 3951.7505535610835, 120435.61695399116, 3375.227657929834, 2306.163024120353, 3766.736103240255, 814.1730900230614, 1632.0072332755808, 30941.491206540464]",9,13.882260488642725,149264.0994755655,0.02417804377657077,4.1582220652407074e-06,0.30577885583987613,9,18641.266951822297,548.236743718895,120435.61695399116,"[50, 62, 80, 118, 141, 153, 180, 190, 221]","[548.236743718895, 3951.7505535610835, 120435.61695399116, 3375.227657929834, 2306.163024120353, 3766.736103240255, 814.1730900230614, 1632.0072332755808, 30941.491206540464]","[0, 0, 0, 114, 136, 148, 165, 165, 165]","[52, 68, 260, 165, 165, 165, 182, 196, 260]",0.05,30,1810300650570.146,125086.37854231706,-125086.37854231706,0.49425287356321834,20711221.61992456,0.01819332837082987,0.057956319817504036,34952526.18645975,3394799810911.1855,17.0,3314435.7715015854,0.007662835249042145,"[0.0, 0.0038314176245210726, 0.007662835249042145, 0.011494252873563218, 0.01532567049808429, 0.019157088122605363, 0.022988505747126436, 0.026819923371647507, 0.03065134099616858, 0.034482758620689655, 0.038314176245210725, 0.042145593869731796, 0.04597701149425287, 0.04980842911877394, 0.053639846743295014, 0.05747126436781609, 0.06130268199233716, 0.06513409961685823, 0.06896551724137931, 0.07279693486590037, 0.07662835249042145, 0.08045977011494253, 0.08429118773946359, 0.08812260536398467, 0.09195402298850575, 0.09578544061302681, 0.09961685823754789, 0.10344827586206896, 0.10727969348659003, 0.1111111111111111, 0.11494252873563218, 0.11877394636015325, 0.12260536398467432, 0.1264367816091954, 0.13026819923371646, 0.13409961685823754, 0.13793103448275862, 0.1417624521072797, 0.14559386973180075, 0.14942528735632182, 0.1532567049808429, 0.15708812260536398, 0.16091954022988506, 0.16475095785440613, 0.16858237547892718, 0.17241379310344826, 0.17624521072796934, 0.18007662835249041, 0.1839080459770115, 0.18773946360153257, 0.19157088122605362, 0.1954022988505747, 0.19923371647509577, 0.20306513409961685, 0.20689655172413793, 0.210727969348659, 0.21455938697318006, 0.21839080459770113, 0.2222222222222222, 0.2260536398467433, 0.22988505747126436, 0.23371647509578544, 0.2375478927203065, 0.24137931034482757, 0.24521072796934865]","[20711221.61992456, 2136711.3254314396, 3314435.7715015854, 1542815.5555076047, 1279171.8838880602, 1123913.1909226344, 295604.4841009147, 471227.9403674661, 573554.97061639, 235862.69440660588, 185848.01600656076, 168647.0228756298, 165667.39122592553, 39558.17066478784, 118938.00212593467, 124115.93009664414, 176507.67628265393, 43062.14815616565, 93948.90645028633, 95899.34027337593, 90079.25255414321, 74228.88156198933, 42146.927914855165, 88779.10500272019, 40043.62128581021, 63296.696809146044, 36022.24714568702, 34738.639557918745, 66867.58357179663, 51710.496140978095, 62355.42003402796, 35779.944852017245, 38641.52417516444, 39052.68581746428, 52033.32155008717, 42066.54094193678, 27858.6041818645, 26644.666216288857, 4265.506241477341, 20675.948334775843, 46228.983396858246, 19560.919934264246, 14753.504591960123, 4545.549243190185, 21473.935946205303, 9820.719470017197, 28669.99563975792, 18139.6638529465, 17659.10085961496, 11870.753389158253, 21756.496438309656, 21100.459134379864, 20329.123193271033, 16859.673464921467, 16882.522091242627, 14824.105311277606, 15759.284556092514, 18012.4742539391, 11518.11718279489, 13862.52694087122, 14650.23004562922, 14600.066592564493, 12706.152654764457, 14130.937685695766, 13915.425902309795]",3.0,0.7,65629.51648212095,15.0,CWT,uc1.b4952553,,20640620.953257892,0.022988505747126436,119822.28362065784,3394761557571.5083,18345.141951822297,124473.04520898373,18345.141951822297,160664.40256640068,18345.141951822305,0.0,124473.04520898373,0.0,-19.5,3308717.3727599327,0.0,0.0,-6.0,0.0,5.0,0.0,398.5700770522284,65474.51648212095,0.09658865945447842,0.07800545609188442,0.0,0.0,34706245.011388645,0.0,-1.5,15.0,0.5693387871433181,0.03841501171334419,0.23279056470550474,0.2760536084776522,0.8933021606611182,0.23374655647382903,0.9922569907826416,0.061079670015761416,,1.0,1.0,1.0,1.0,0.9172208785633482,0.7278877651416461,0.631578947368421,,0.6666666666666667,,0.5573770491803278,,0.44082949543829353,0.44082949543829353,,0.12280701754385963,2.5984834740686544,1.0,1,1.4215116499585796,0.6507161869832898,6,0,0,0.7087664429450714,0.9714185819166755,2,1,0.11111111111111112,0.4065673631910906,0.7663974305118781,3,2.160246899469287,0.8456966500379081,3.0,2.0,0.8157054678760969,2,gaus,0.7159090909090909,1.0,0.19886363636363633,1,1.75,0.5692279739193008,0.041402043179340486,0.2116665837762975,0.27605360847765226,0.9012714568085504,0.23395758744147604,0.9923597527010435,0.06107967001576141,,0.20896809018190352,1.0,1.0,1.0,0.5848422562525555,0.7107444684795402,0.6818181818181817,,0.6181818181818183,0.0,0.5573770491803278,0.0,0.4408294954382934,0.4408294954382934,0.0,0.09459459459459454,2.196017665978342,0.9912862999966577,2,1.4138102921017845,0.6614420088306883,10,5.656854249492381,0.7979694910895578,6.0,3.3333333333333335,0.7918418884019218,3,15.5625,16.5,8.793700396685496,16,0.6766304347826086,1.0,0.22635869565217392,6,3.75
raw,mexh,22.194630602158128,0.6658822819561347,1266.2023454275109,-44.92780970812028,261,127,127857.48190541725,-410141.27591319685,False,"[20, 29, 37, 53, 68, 80, 88, 97, 107, 118, 126, 139, 152, 161, 171, 180, 188, 201, 213, 221, 229, 238, 248]","[1212.794961391337, 2310.4629379225807, 2584.2187647213723, 244.66136707997066, 1320.6730476552912, 169145.6418559827, 1096.3374125923438, 1120.3302571237145, 3521.049979776435, 6628.912117519067, 3854.247730127041, 3511.4482709129516, 4302.705142920371, 2700.313015836611, 4421.959879141272, 421.175916040258, 3004.550144402776, 3417.8709380338405, 3332.180794083368, 1274.2518653496518, 1921.5685493848578, 1301.6053583541652, 1509.3340512541326]",23,13.889847026446635,291179.84103360574,0.019090301870069822,4.414646516429802e-08,0.11059942695324672,23,9746.01279815679,244.66136707997066,169145.6418559827,"[20, 29, 37, 53, 68, 80, 88, 97, 107, 118, 126, 139, 152, 161, 171, 180, 188, 201, 213, 221, 229, 238, 248]","[1212.794961391337, 2310.4629379225807, 2584.2187647213723, 244.66136707997066, 1320.6730476552912, 169145.6418559827, 1096.3374125923438, 1120.3302571237145, 3521.049979776435, 6628.912117519067, 3854.247730127041, 3511.4482709129516, 4302.705142920371, 2700.313015836611, 4421.959879141272, 421.175916040258, 3004.550144402776, 3417.8709380338405, 3332.180794083368, 1274.2518653496518, 1921.5685493848578, 1301.6053583541652, 1509.3340512541326]","[0, 0, 0, 0, 0, 0, 86, 95, 106, 114, 125, 138, 149, 160, 167, 178, 187, 200, 211, 220, 228, 237, 247]","[21, 30, 38, 54, 69, 260, 260, 260, 114, 260, 260, 260, 260, 260, 260, 260, 260, 260, 260, 260, 260, 260, 260]",0.05,30,4707186933035.949,182482.4367825052,-182482.4367825052,0.49425287356321834,33441453.7773139,0.019718475274249525,0.07274530234710869,51867807.47415499,8867375670080.648,17.0,455786.37045686063,0.03065134099616858,"[0.0, 0.0038314176245210726, 0.007662835249042145, 0.011494252873563218, 0.01532567049808429, 0.019157088122605363, 0.022988505747126436, 0.026819923371647507, 0.03065134099616858, 0.034482758620689655, 0.038314176245210725, 0.042145593869731796, 0.04597701149425287, 0.04980842911877394, 0.053639846743295014, 0.05747126436781609, 0.06130268199233716, 0.06513409961685823, 0.06896551724137931, 0.07279693486590037, 0.07662835249042145, 0.08045977011494253, 0.08429118773946359, 0.08812260536398467, 0.09195402298850575, 0.09578544061302681, 0.09961685823754789, 0.10344827586206896, 0.10727969348659003, 0.1111111111111111, 0.11494252873563218, 0.11877394636015325, 0.12260536398467432, 0.1264367816091954, 0.13026819923371646, 0.13409961685823754, 0.13793103448275862, 0.1417624521072797, 0.14559386973180075, 0.14942528735632182, 0.1532567049808429, 0.15708812260536398, 0.16091954022988506, 0.16475095785440613, 0.16858237547892718, 0.17241379310344826, 0.17624521072796934, 0.18007662835249041, 0.1839080459770115, 0.18773946360153257, 0.19157088122605362, 0.1954022988505747, 0.19923371647509577, 0.20306513409961685, 0.20689655172413793, 0.210727969348659, 0.21455938697318006, 0.21839080459770113, 0.2222222222222222, 0.2260536398467433, 0.22988505747126436, 0.23371647509578544, 0.2375478927203065, 0.24137931034482757, 0.24521072796934865]","[33441453.7773139, 6269808.6522220895, 3282345.0935070976, 1454719.6438760222, 1139356.6849620696, 936345.3686984042, 300472.4973559279, 412342.6575446702, 455786.37045686063, 209149.52995879654, 163133.28763234545, 153264.06001581662, 135781.5604974092, 23551.554739551975, 105584.65116225289, 102489.28855906769, 141099.67880071193, 44810.10179274334, 79824.99185281666, 79242.3595377917, 72044.23315378134, 65597.7747792553, 34312.029408813134, 68193.88208295536, 31286.367714595537, 64672.66426902439, 23873.32645035043, 25458.37263764529, 56590.297771088604, 46675.00036365183, 64583.41529253436, 29190.108539119745, 30597.375145358816, 35866.3824000894, 47118.654331601996, 35109.77754058246, 29559.401760047618, 18782.320082632614, 14861.295381039745, 12842.481751715299, 46866.8734207873, 8101.487015921575, 2918.579593182852, 10484.66850087567, 23590.244923781793, 10219.726681525299, 25079.095580111174, 14124.012078637064, 12409.086023132897, 8361.734616821663, 14711.946818454458, 24066.62211034088, 23909.10171019763, 18326.441368234286, 30411.51070369213, 9132.936768724388, 16599.300736199308, 17285.97149305428, 20364.111953270785, 20239.250561903264, 27261.88348873846, 12417.281263760386, 33138.673053513, 16803.30768698812, 13143.631448244867]",3.0,0.7,85751.70950874401,15.0,CWT,uc1.b4952553,,33370802.7773139,0.11494252873563217,168385.6418559827,8867338304829.723,9242.26279815679,181721.4367825052,9242.26279815679,212068.29435760615,9242.262798156782,0.0,181721.4367825052,0.0,10.0,449822.3612554642,0.0,0.0,-8.0,0.0,5.0,0.0,53.66136707997066,85732.70950874401,0.18680917041576106,0.08980218172099216,0.0,0.0,51438539.7764795,0.0,-3.5,1.0,1.0,0.005009666032519816,0.0,0.3358066450233459,0.9999999999999998,0.5088788300835652,0.5065470919213723,0.15072600470358555,0.0,0.012794730183249264,0.7563041705274504,0.7563041705274504,0.7505336676676406,0.7791711168039926,0.9999999999999999,0.0625,,0.48979591836734687,0.0,0.6857142857142858,0.0,0.7203227901087642,0.7203227901087642,0.0,0.8823529411764706,2.179517304760696,0.9779319147188679,2,1.435866993004838,0.6464315698780992,9,0,0,0.5077411054123611,1.0,1,0,0.0,0.3896631375293764,0.6806907384296433,9,4.349329450233296,0.6893336106976218,5.25,2.32258064516129,0.6571668053488109,7,mexh,0.7,,,5,6.5,1.0,0.00018807470013546077,0.0947584118751213,0.2852257499138465,1.0,0.4025061966400439,0.35863806153704886,0.16261456718236922,0.08467926933083769,0.026237936881534824,0.49801268721638303,0.49801268721638303,0.4980126872163824,0.7791711168039928,1.0000000000000002,0.04545454545454547,,0.5454545454545455,0.0,0.4918032786885245,0.0,0.7227615411471584,0.7227615411471584,0.0,0.8918918918918919,1.9350589533945683,0.8734890706497734,3,1.4028995823681565,0.6563375037890317,11,5.656854249492381,0.7979694910895578,7.0,4.714285714285714,0.7739847455447789,4,5.0,5.0,1.4142135623730951,2,0.21739130434782608,0.16082121275204436,0.7995797231309083,1,3.25
smoothed,gaus6,19.823596292514686,0.6432256312788488,394.07078500382806,-35.729600402666286,261,127,32887.025715514385,,False,"[24, 43, 55, 69, 79, 114, 136, 147, 158, 194, 239]","[2607.910826419269, 47710.58919192535, 12.380531074981263, 14.080503914748988, 16173.126712597405, 4815.490923288533, 34685.6090338413, 3782.6149428743556, 2518.9702928721927, 64.25017186141986, 70688.69023762239]",11,13.993022304678876,148016.10609723098,0.017295189441743776,2.931105505085784e-06,0.21672320588453253,11,15262.482421705748,12.380531074981263,70688.69023762239,"[24, 43, 55, 69, 79, 118, 141, 153, 163, 194, 239]","[2607.910826419269, 67065.50286585095, 12.380531074981263, 14.080503914748988, 16173.126712597405, 4815.490923288533, 3782.6149428743556, 2518.9702928721927, 144.28863038697818, 64.25017186141986, 70688.69023762239]","[0, 0, 54, 68, 68, 114, 136, 136, 158, 136, 136]","[33, 136, 68, 70, 136, 136, 147, 158, 164, 195, 260]",0.05,30,369952128049.5164,75423.57515276391,-75423.57515276391,,,,,,,,,,,,,,,,CWT,uc1.b4952553,,,,70075.35690428906,,14966.357421705748,74810.24181943058,14966.357421705748,160780.30663876323,15051.067047258408,,74810.24181943058,0.0,-18.5,,,0.0,-5.0,,,,137.2861355916854,,,,0.0,0.0,,0.0,-9.5,13.0,0.15770962580564246,0.02608370331305259,0.6187129759483738,0.4099648956381477,0.7135565919788532,0.29889807162534454,0.6992160044231369,0.06018678189818793,,0.3375718158136193,0.8136735709530889,0.8136735709530889,0.8183449673959342,0.9179124279827797,0.4244356642416368,0.5263157894736842,,0.3529411764705883,,0.5901639344262295,,0.1962543140155569,0.1962543140155569,,0.15789473684210523,1.921070723500727,0.7393045761775625,4,1.4114468712918011,0.6461088983992901,7,0,0,0.5121196902153224,0.7018991773558473,5,1,0.11111111111111112,0.3674855257732868,0.6927264414251078,9,2.217355782608345,0.841617444099404,6.25,5.682074408117249,0.6975944363354163,4,gaus,0.7159090909090909,1.0,0.19886363636363633,1,3.25,0.15767893000116065,0.029109040291985615,0.5625694586150123,0.4099648956381477,0.7357471219819768,0.299091159460204,0.7032078814237155,0.06018678189818792,,0.07054173764980932,0.8136735709530889,0.8136735709530889,0.818344967395934,0.5852804235883474,0.41443930648632216,0.5909090909090908,,0.3272727272727273,0.0,0.5901639344262294,0.0,0.19625431401555687,0.19625431401555687,0.0,0.12162162162162157,1.6856633715869902,0.7609114592053734,7,1.3914284041798564,0.6509707872027177,13,4.242640687119285,0.8484771183171684,10.0,9.1,0.7456671305871556,5,15.5625,16.5,8.793700396685496,16,0.6766304347826086,1.0,0.22635869565217392,6,5.25
