wavelet,wavelet_level,wavelet_mode,wavelet_mse,wavelet_psnr,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,signal_length,signal_type,emd_value,kl_divergence,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,dynamic_cutoff,dominant_frequency,amplitude_max,num_fft_peaks,positive_frequencies,positive_amplitudes,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,max_autocorrelation,upper_envelope,lower_envelope,spectral_magnitude,spectral_centroid,spectral_bandwidth,frequency_max,wavelet_type,htid,positive_frequencies_dtw,positive_frequencies_euclidean,positive_frequencies_wasserstein,max_autocorrelation_diff,frequency_max_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_num_peaks_diff,positive_amplitudes_dtw,positive_amplitudes_euclidean,positive_amplitudes_wasserstein,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,spectral_centroid_diff,lower_envelope_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,spectral_bandwidth_diff,spectral_magnitude_diff,avg_prominence_diff,num_fft_peaks_diff,amplitude_max_diff,prominence_min_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,prominence_max_diff,upper_envelope_diff,dominant_frequency_diff,dynamic_cutoff_diff,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,avg_variance_across_levels_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,top_wavelet_rank
sym12,1,antisymmetric,4.6866958228171975e-23,280.7344577775807,4339360.505996753,0.5487804878048781,306.6030503291225,59,raw,5.231160137832455e-12,-8.61418714138108e-11,5.235707141169984,211980.60107933992,0.9583302390940014,1.0369060324827287e-05,0.9999999999999997,195.79999999999117,0.05084745762711865,2993.835955477704,3,"[0.0, 0.01694915254237288, 0.03389830508474576, 0.05084745762711865, 0.06779661016949153, 0.0847457627118644, 0.1016949152542373, 0.11864406779661017, 0.13559322033898305, 0.15254237288135594, 0.1694915254237288, 0.1864406779661017, 0.2033898305084746, 0.22033898305084745, 0.23728813559322035, 0.2542372881355932, 0.2711864406779661, 0.288135593220339, 0.3050847457627119, 0.3220338983050847, 0.3389830508474576, 0.3559322033898305, 0.3728813559322034, 0.3898305084745763, 0.4067796610169492, 0.423728813559322, 0.4406779661016949, 0.4576271186440678, 0.4745762711864407]","[30072.000000000022, 4461.956743542084, 1631.5164666187416, 2578.9480056852767, 2993.835955477704, 2643.0758994467533, 893.3985151675043, 998.5535729582363, 983.284323296255, 694.8534930072058, 691.0066422783921, 1242.0187657897789, 985.1252049076417, 1483.0954398223198, 1126.5955117293074, 500.7909520567992, 493.7894703534748, 1831.5054310795374, 878.8902211728563, 1303.070355212205, 1643.624122052109, 603.0506772751835, 166.0822346975879, 582.4066522188541, 479.8299413041816, 918.8683793435134, 876.6316201389358, 550.5603577196098, 1157.8288859834397]",14,265.6428571428685,51.000000000001705,741.0000000000141,"[2, 5, 8, 11, 15, 17, 22, 28, 32, 35, 38, 45, 50, 54]","[159.00000000000392, 159.00000000000801, 440.0000000000284, 365.00000000001404, 230.00000000000404, 276.0000000000164, 741.0000000000141, 51.000000000001705, 135.00000000000932, 119.0000000000029, 329.0000000000215, 146.000000000003, 501.00000000002575, 68.00000000000534]","[0, 3, 3, 10, 12, 3, 3, 23, 23, 34, 34, 44, 48, 52]","[3, 6, 16, 16, 16, 19, 57, 29, 57, 36, 57, 48, 57, 57]",17672058.000000134,747.0000000000056,-747.0000000000056,65466.19384033551,0.10067187867245582,0.1398868578114225,0.4745762711864407,DWT,mdp.39015061285097,0.0,0.0,0.0,1.341104507446289e-07,0.0,0.0,26.0,6.0,1.2930740922456607e-09,2.836072035385542e-10,4.4588761801574507e-11,0.0,26,2.4980018054066022e-15,5.5706550483591855e-12,75.23214285713152,992.0000000001587,75.23214285713462,6.661338147750939e-16,1.2223608791828156e-09,75.23214285713152,0.0,7.185008144006133e-11,83.9999999999983,0.0,26,1.4097167877480388e-11,5.5706550483591855e-12,0.0,8.895995051716454e-12,0.5062659379774539,0.7917380998527814,0.6092964841445908,0.31402439024390316,0.8191408706214282,0.006929740134744947,1.0,0.10346487006737248,0.18009716870497572,63,1.457542959131291,0.6873509674525764,57,0,0.5034648700673725,0.516641975308642,57,0,0.6080931565680315,0.6942827483072487,40,9.912113800799505,0.983056215725129,54.25,52.658784712675285,0.9451605864950432,1,sym,349.968253968254,383.0,181.9035320826042,126,0.9907046548620078,1.0,0.006506741596594567,6,2.25,1
sym11,1,antisymmetric,1.753533204057853e-23,285.00398551610647,4327310.391603069,0.5625,300.46081509884164,59,raw,3.1359773535028993e-12,-7.346412367327956e-11,5.19328429049704,208348.75881724455,0.9613916259512042,1.0369060324827602e-05,1.0,195.7999999999953,0.05084745762711865,2993.8359554776675,3,"[0.0, 0.01694915254237288, 0.03389830508474576, 0.05084745762711865, 0.06779661016949153, 0.0847457627118644, 0.1016949152542373, 0.11864406779661017, 0.13559322033898305, 0.15254237288135594, 0.1694915254237288, 0.1864406779661017, 0.2033898305084746, 0.22033898305084745, 0.23728813559322035, 0.2542372881355932, 0.2711864406779661, 0.288135593220339, 0.3050847457627119, 0.3220338983050847, 0.3389830508474576, 0.3559322033898305, 0.3728813559322034, 0.3898305084745763, 0.4067796610169492, 0.423728813559322, 0.4406779661016949, 0.4576271186440678, 0.4745762711864407]","[30072.000000000015, 4461.956743542098, 1631.5164666187488, 2578.9480056852663, 2993.8359554776675, 2643.075899446705, 893.3985151674879, 998.5535729582065, 983.2843232962168, 694.853493007176, 691.0066422783784, 1242.0187657897493, 985.1252049076298, 1483.0954398223066, 1126.5955117293063, 500.79095205679874, 493.78947035347375, 1831.5054310795128, 878.8902211728343, 1303.0703552121722, 1643.6241220520608, 603.0506772751661, 166.08223469757564, 582.4066522188392, 479.82994130416836, 918.8683793434977, 876.631620138927, 550.5603577196072, 1157.8288859834356]",14,265.6428571428644,51.00000000000114,741.0000000000106,"[2, 5, 8, 11, 15, 17, 22, 28, 32, 35, 38, 45, 50, 54]","[159.00000000000176, 159.00000000000614, 440.00000000001745, 365.0000000000074, 230.00000000000176, 276.0000000000105, 741.0000000000106, 51.00000000000114, 135.00000000000693, 119.00000000000125, 329.0000000000108, 146.00000000000375, 501.0000000000174, 68.00000000000455]","[0, 3, 3, 10, 12, 3, 3, 23, 23, 34, 34, 44, 48, 52]","[3, 6, 16, 16, 16, 19, 57, 29, 57, 36, 57, 48, 57, 57]",17672058.00000008,747.0000000000044,-747.0000000000044,65466.19384033503,0.10067187867245486,0.13988685781142218,0.4745762711864407,DWT,mdp.39015061285097,0.0,0.0,0.0,7.82310962677002e-08,0.0,0.0,26.0,6.0,7.683240710321115e-10,1.7534181820872358e-10,2.649393348386591e-11,0.0,26,1.5404344466674047e-15,4.433786671143025e-12,75.23214285713561,992.0000000001014,75.23214285713782,3.608224830031759e-16,7.421476766467094e-10,75.23214285713561,0.0,3.54702933691442e-11,83.99999999999886,0.0,26,1.057287590811029e-11,4.433786671143025e-12,0.0,4.774847184307873e-12,0.5555767894937982,0.7356995391301262,0.5992156489945639,0.4375000000000002,0.8018626277064889,0.004042348411934553,1.0,0.10202117420596728,0.17758418495560396,70,1.4965487188412194,0.7057453801214294,42,0,0.5020211742059673,0.5151604938271604,62,0,0.6259709210649955,0.7146944620956331,29,18.679311193581704,0.9680695535152449,50.75,45.092255329312714,0.9406587083815541,2,sym,349.968253968254,383.0,181.9035320826042,126,0.9907046548620078,1.0,0.006506741596594567,6,3.0,2
sym11,1,antireflect,1.747535848914339e-23,285.0188645187945,4168706.572554813,0.575,360.97793284020497,59,raw,3.078336079451513e-12,-7.790001976817023e-11,5.215084371794175,193731.92828669213,0.9550823153031446,1.0369060324827583e-05,1.0,195.79999999999538,0.05084745762711865,2993.8359554776653,3,"[0.0, 0.01694915254237288, 0.03389830508474576, 0.05084745762711865, 0.06779661016949153, 0.0847457627118644, 0.1016949152542373, 0.11864406779661017, 0.13559322033898305, 0.15254237288135594, 0.1694915254237288, 0.1864406779661017, 0.2033898305084746, 0.22033898305084745, 0.23728813559322035, 0.2542372881355932, 0.2711864406779661, 0.288135593220339, 0.3050847457627119, 0.3220338983050847, 0.3389830508474576, 0.3559322033898305, 0.3728813559322034, 0.3898305084745763, 0.4067796610169492, 0.423728813559322, 0.4406779661016949, 0.4576271186440678, 0.4745762711864407]","[30072.000000000022, 4461.956743542094, 1631.5164666187475, 2578.948005685264, 2993.8359554776653, 2643.0758994467033, 893.3985151674877, 998.5535729582073, 983.2843232962134, 694.8534930071776, 691.0066422783738, 1242.0187657897443, 985.1252049076248, 1483.0954398223053, 1126.5955117293033, 500.79095205680005, 493.7894703534782, 1831.5054310795078, 878.8902211728339, 1303.0703552121768, 1643.6241220520637, 603.0506772751708, 166.08223469757166, 582.406652218844, 479.82994130416586, 918.8683793435002, 876.6316201389313, 550.5603577196043, 1157.828885983434]",14,265.6428571428644,51.00000000000114,741.0000000000105,"[2, 5, 8, 11, 15, 17, 22, 28, 32, 35, 38, 45, 50, 54]","[159.00000000000176, 159.00000000000614, 440.0000000000173, 365.0000000000075, 230.00000000000165, 276.0000000000105, 741.0000000000105, 51.00000000000114, 135.00000000000693, 119.00000000000125, 329.0000000000108, 146.00000000000375, 501.0000000000175, 68.000000000005]","[0, 3, 3, 10, 12, 3, 3, 23, 23, 34, 34, 44, 48, 52]","[3, 6, 16, 16, 16, 19, 57, 29, 57, 36, 57, 48, 57, 57]",17672058.00000008,747.0000000000044,-747.0000000000044,65466.19384033502,0.10067187867245488,0.1398868578114222,0.4745762711864407,DWT,mdp.39015061285097,0.0,0.0,0.0,7.82310962677002e-08,0.0,0.0,26.0,6.0,7.672440460737562e-10,1.730645030484734e-10,2.6456691243922626e-11,0.0,26,1.5543122344752192e-15,4.433786671143025e-12,75.23214285713561,992.0000000001014,75.23214285713779,3.885780586188048e-16,7.34871719032526e-10,75.23214285713561,0.0,3.319655661471188e-11,83.99999999999886,0.0,26,1.0459189070388675e-11,4.433786671143025e-12,0.0,4.689582056016661e-12,0.5557486343293849,0.7644964059165313,0.46653151822579697,0.5499999999999998,0.7323240491208431,0.004042348411934553,1.0,0.10202117420596728,0.17758418495560396,71,1.4618927623171323,0.6894022561705422,56,0,0.5020211742059673,0.5151604938271604,60,0,0.6138201215185114,0.700821438839007,35,15.066519173319364,0.9742452663703942,55.5,51.82706930262872,0.9396867357492997,3,sym,349.968253968254,383.0,181.9035320826042,126,0.9907046548620078,1.0,0.006506741596594567,6,3.75,3
sym10,1,antireflect,1.3156564630541525e-23,286.2517004199134,4154268.5263804826,0.5641025641025641,296.92557362358235,59,raw,2.6314167417556264e-12,-6.536449159712282e-11,5.159378683611671,187041.45948595254,0.9555105615271556,1.0369060324827653e-05,0.9999999999999996,195.79999999999575,0.05084745762711865,2993.8359554776553,3,"[0.0, 0.01694915254237288, 0.03389830508474576, 0.05084745762711865, 0.06779661016949153, 0.0847457627118644, 0.1016949152542373, 0.11864406779661017, 0.13559322033898305, 0.15254237288135594, 0.1694915254237288, 0.1864406779661017, 0.2033898305084746, 0.22033898305084745, 0.23728813559322035, 0.2542372881355932, 0.2711864406779661, 0.288135593220339, 0.3050847457627119, 0.3220338983050847, 0.3389830508474576, 0.3559322033898305, 0.3728813559322034, 0.3898305084745763, 0.4067796610169492, 0.423728813559322, 0.4406779661016949, 0.4576271186440678, 0.4745762711864407]","[30072.000000000004, 4461.9567435421, 1631.5164666187482, 2578.9480056852617, 2993.8359554776553, 2643.0758994466933, 893.3985151674851, 998.5535729582056, 983.2843232962107, 694.853493007173, 691.0066422783716, 1242.0187657897409, 985.1252049076204, 1483.0954398222987, 1126.5955117292976, 500.7909520567967, 493.7894703534743, 1831.5054310795015, 878.8902211728315, 1303.0703552121715, 1643.6241220520567, 603.0506772751692, 166.08223469757084, 582.4066522188406, 479.82994130416347, 918.8683793434969, 876.6316201389271, 550.560357719603, 1157.8288859834322]",14,265.6428571428634,51.000000000000796,741.0000000000093,"[2, 5, 8, 11, 15, 17, 22, 28, 32, 35, 38, 45, 50, 54]","[159.00000000000168, 159.0000000000059, 440.00000000001467, 365.0000000000068, 230.00000000000125, 276.0000000000091, 741.0000000000093, 51.000000000000796, 135.00000000000637, 119.0000000000008, 329.0000000000091, 146.00000000000318, 501.000000000015, 68.00000000000398]","[0, 3, 3, 10, 12, 3, 3, 23, 23, 34, 34, 44, 48, 52]","[3, 6, 16, 16, 16, 19, 57, 29, 57, 36, 57, 48, 57, 57]",17672058.000000056,747.0000000000038,-747.0000000000038,65466.193840334905,0.10067187867245468,0.13988685781142213,0.4745762711864407,DWT,mdp.39015061285097,0.0,0.0,0.0,5.587935447692871e-08,0.0,0.0,26.0,6.0,6.386926543200389e-10,1.5014177378562522e-10,2.2023884631725474e-11,0.0,26,1.3600232051658168e-15,3.751665644813329e-12,75.23214285713658,992.0000000000882,75.23214285713851,3.0531133177191805e-16,6.184563972055912e-10,75.23214285713658,0.0,2.319211489520967e-11,83.9999999999992,0.0,26,9.322320693172514e-12,3.751665644813329e-12,0.0,4.320099833421409e-12,0.5699872555041672,0.690911850887949,0.45445299692576746,0.4519230769230771,0.7004945981668507,0.0028873917228103953,1.0,0.1014436958614052,0.17657899145585526,74,1.3756418472453298,0.6487278804707634,79,0,0.5014436958614052,0.514567901234568,70,0,0.5735539556815623,0.654848048118987,61,7.615773105863909,0.9869815844344206,71.0,70.35948633534771,0.9328070315334496,4,sym,349.968253968254,383.0,181.9035320826042,126,0.9907046548620078,1.0,0.006506741596594567,6,4.5,4
sym10,1,antisymmetric,1.3420808966847694e-23,286.16533850882,4234186.440223157,0.5769230769230769,280.13971997851877,59,raw,2.726798071708508e-12,-6.421130294144438e-11,5.1263944573235545,193354.68800628438,0.9631755541555075,1.0369060324827665e-05,0.9999999999999994,195.79999999999578,0.05084745762711865,2993.835955477657,3,"[0.0, 0.01694915254237288, 0.03389830508474576, 0.05084745762711865, 0.06779661016949153, 0.0847457627118644, 0.1016949152542373, 0.11864406779661017, 0.13559322033898305, 0.15254237288135594, 0.1694915254237288, 0.1864406779661017, 0.2033898305084746, 0.22033898305084745, 0.23728813559322035, 0.2542372881355932, 0.2711864406779661, 0.288135593220339, 0.3050847457627119, 0.3220338983050847, 0.3389830508474576, 0.3559322033898305, 0.3728813559322034, 0.3898305084745763, 0.4067796610169492, 0.423728813559322, 0.4406779661016949, 0.4576271186440678, 0.4745762711864407]","[30072.000000000004, 4461.956743542103, 1631.5164666187502, 2578.948005685265, 2993.835955477657, 2643.0758994466933, 893.3985151674854, 998.5535729582052, 983.2843232962142, 694.8534930071726, 691.0066422783752, 1242.018765789745, 985.1252049076252, 1483.0954398222982, 1126.5955117292995, 500.7909520567964, 493.7894703534701, 1831.5054310795065, 878.8902211728324, 1303.0703552121668, 1643.6241220520535, 603.0506772751652, 166.08223469757436, 582.406652218836, 479.82994130416546, 918.8683793434944, 876.6316201389243, 550.5603577196051, 1157.8288859834336]",14,265.6428571428634,51.000000000000796,741.0000000000093,"[2, 5, 8, 11, 15, 17, 22, 28, 32, 35, 38, 45, 50, 54]","[159.00000000000176, 159.0000000000058, 440.0000000000151, 365.00000000000693, 230.0000000000013, 276.0000000000091, 741.0000000000093, 51.000000000000796, 135.00000000000637, 119.0000000000008, 329.0000000000091, 146.00000000000335, 501.0000000000151, 68.00000000000375]","[0, 3, 3, 10, 12, 3, 3, 23, 23, 34, 34, 44, 48, 52]","[3, 6, 16, 16, 16, 19, 57, 29, 57, 36, 57, 48, 57, 57]",17672058.000000056,747.0000000000038,-747.0000000000038,65466.19384033493,0.10067187867245465,0.1398868578114221,0.4745762711864407,DWT,mdp.39015061285097,0.0,0.0,0.0,5.587935447692871e-08,0.0,0.0,26.0,6.0,6.443769962061197e-10,1.520734949867998e-10,2.2219896420900673e-11,0.0,26,1.3322676295501878e-15,3.751665644813329e-12,75.23214285713658,992.0000000000882,75.23214285713847,2.7755575615628914e-16,6.402842700481415e-10,75.23214285713658,0.0,2.5011104298755527e-11,83.9999999999992,0.0,26,9.322320693172514e-12,3.751665644813329e-12,0.0,4.291678123991005e-12,0.5689898198074351,0.647341262433476,0.5213103966699832,0.5673076923076921,0.7305293541060811,0.0028873917228103953,1.0,0.1014436958614052,0.17657899145585526,80,1.4448545400017,0.681367337872721,63,0,0.5014436958614052,0.514567901234568,73,0,0.6070957050649335,0.6931439205414791,41,16.99754884289693,0.970944360952313,64.25,60.18486692553755,0.9305576505616265,5,sym,349.968253968254,383.0,181.9035320826042,126,0.9907046548620078,1.0,0.006506741596594567,6,5.25,5
sym9,1,antisymmetric,2.2088704345655346e-25,304.001423032347,4137287.7346233777,0.5657894736842105,311.6228127618747,59,raw,3.697230845395775e-13,-4.979139323069158e-11,5.1160446738962735,180949.38161815837,0.9500096935984609,1.036906032482807e-05,0.9999999999999997,195.79999999999978,0.05084745762711865,2993.835955477629,3,"[0.0, 0.01694915254237288, 0.03389830508474576, 0.05084745762711865, 0.06779661016949153, 0.0847457627118644, 0.1016949152542373, 0.11864406779661017, 0.13559322033898305, 0.15254237288135594, 0.1694915254237288, 0.1864406779661017, 0.2033898305084746, 0.22033898305084745, 0.23728813559322035, 0.2542372881355932, 0.2711864406779661, 0.288135593220339, 0.3050847457627119, 0.3220338983050847, 0.3389830508474576, 0.3559322033898305, 0.3728813559322034, 0.3898305084745763, 0.4067796610169492, 0.423728813559322, 0.4406779661016949, 0.4576271186440678, 0.4745762711864407]","[30071.999999999993, 4461.956743542108, 1631.5164666187538, 2578.9480056852544, 2993.835955477629, 2643.075899446658, 893.3985151674739, 998.5535729581838, 983.2843232961867, 694.8534930071485, 691.0066422783565, 1242.0187657897077, 985.1252049075964, 1483.0954398222514, 1126.5955117292633, 500.7909520567794, 493.7894703534557, 1831.5054310794465, 878.8902211728033, 1303.0703552121267, 1643.6241220520074, 603.0506772751484, 166.08223469756823, 582.4066522188253, 479.82994130415716, 918.8683793434838, 876.6316201389179, 550.5603577196023, 1157.828885983431]",14,265.6428571428576,51.0,741.0000000000011,"[2, 5, 8, 11, 15, 17, 22, 28, 32, 35, 38, 45, 50, 54]","[159.00000000000009, 159.00000000000063, 440.00000000000097, 365.00000000000034, 229.99999999999966, 276.00000000000114, 741.0000000000011, 51.0, 135.00000000000057, 118.99999999999977, 329.0, 146.00000000000068, 501.0000000000017, 68.00000000000057]","[0, 3, 3, 10, 12, 3, 3, 23, 23, 34, 34, 44, 48, 52]","[3, 6, 16, 16, 16, 19, 57, 29, 57, 36, 57, 48, 57, 57]",17672057.999999993,747.0000000000003,-747.0000000000003,65466.193840334316,0.10067187867245345,0.13988685781142185,0.4745762711864407,DWT,mdp.39015061285097,0.0,0.0,0.0,7.450580596923828e-09,0.0,0.0,26.0,6.0,7.79891706770286e-11,1.9841366143449422e-11,2.6892817474837435e-12,0.0,26,1.249000902703301e-16,3.410605131648481e-13,75.23214285714238,992.0000000000068,75.23214285714256,2.7755575615628914e-17,2.9103830456733704e-11,75.23214285714238,0.0,3.183231456205249e-12,84.0,0.0,26,1.1368683772161603e-12,3.410605131648481e-13,0.0,2.8421709430404007e-13,0.7749874311208341,0.6336696925635635,0.4402472759817378,0.4671052631578948,0.6715119514382053,0.000384985563041386,1.0,0.1001924927815207,0.17440107220639975,82,1.4573978287835914,0.6872825265985535,58,0,0.5001924927815207,0.5132839506172839,78,0,0.5975043228524471,0.6821930799825536,48,16.19670748434179,0.9723133205395866,66.5,63.40114080625521,0.9293190534321865,6,sym,349.968253968254,383.0,181.9035320826042,126,0.9907046548620078,1.0,0.006506741596594567,6,6.0,6
sym9,1,antireflect,2.348317510486691e-25,303.7355572901564,4119839.490366269,0.5526315789473685,307.3866537372377,59,raw,3.755037712033885e-13,-5.065936559134364e-11,5.124912544398357,179712.40864252578,0.9537230976724413,1.0369060324828068e-05,0.9999999999999999,195.79999999999976,0.05084745762711865,2993.835955477629,3,"[0.0, 0.01694915254237288, 0.03389830508474576, 0.05084745762711865, 0.06779661016949153, 0.0847457627118644, 0.1016949152542373, 0.11864406779661017, 0.13559322033898305, 0.15254237288135594, 0.1694915254237288, 0.1864406779661017, 0.2033898305084746, 0.22033898305084745, 0.23728813559322035, 0.2542372881355932, 0.2711864406779661, 0.288135593220339, 0.3050847457627119, 0.3220338983050847, 0.3389830508474576, 0.3559322033898305, 0.3728813559322034, 0.3898305084745763, 0.4067796610169492, 0.423728813559322, 0.4406779661016949, 0.4576271186440678, 0.4745762711864407]","[30071.999999999996, 4461.956743542108, 1631.5164666187536, 2578.9480056852544, 2993.835955477629, 2643.075899446657, 893.3985151674733, 998.553572958183, 983.2843232961872, 694.8534930071494, 691.0066422783555, 1242.0187657897072, 985.1252049075957, 1483.0954398222523, 1126.5955117292635, 500.7909520567791, 493.78947035345675, 1831.505431079445, 878.8902211728039, 1303.070355212128, 1643.6241220520083, 603.0506772751488, 166.0822346975682, 582.4066522188256, 479.82994130415625, 918.8683793434828, 876.6316201389183, 550.5603577196011, 1157.828885983431]",14,265.6428571428577,51.0,741.0000000000014,"[2, 5, 8, 11, 15, 17, 22, 28, 32, 35, 38, 45, 50, 54]","[159.0000000000001, 159.00000000000074, 440.00000000000097, 365.00000000000034, 229.99999999999983, 276.00000000000114, 741.0000000000014, 51.0, 135.00000000000057, 118.99999999999977, 329.0, 146.00000000000063, 501.0000000000017, 68.0000000000008]","[0, 3, 3, 10, 12, 3, 3, 23, 23, 34, 34, 44, 48, 52]","[3, 6, 16, 16, 16, 19, 57, 29, 57, 36, 57, 48, 57, 57]",17672057.999999993,747.0000000000003,-747.0000000000003,65466.19384033431,0.10067187867245346,0.13988685781142182,0.4745762711864407,DWT,mdp.39015061285097,0.0,0.0,0.0,7.450580596923828e-09,0.0,0.0,26.0,6.0,7.699441084696446e-11,1.9381042707336568e-11,2.654979684378084e-12,0.0,26,1.3877787807814457e-16,3.410605131648481e-13,75.23214285714232,992.0000000000077,75.23214285714255,0.0,2.1827872842550278e-11,75.23214285714232,0.0,3.183231456205249e-12,84.0,0.0,26,1.3642420526593924e-12,3.410605131648481e-13,0.0,3.126388037344441e-13,0.7719168184115768,0.6453837261970594,0.42565049554739515,0.3486842105263166,0.6656271365123874,0.000384985563041386,1.0,0.1001924927815207,0.17440107220639975,81,1.404391740734655,0.6622858116317248,74,0,0.5001924927815207,0.5132839506172839,82,0,0.5714524774389471,0.652448711645567,65,7.852812659593164,0.9865763886160801,75.5,74.85179831168863,0.9287582797781255,7,sym,349.968253968254,383.0,181.9035320826042,126,0.9907046548620078,1.0,0.006506741596594567,6,6.75,7
sym12,1,antireflect,4.8282427555484904e-23,280.605234479601,4197967.421952809,0.5365853658536586,311.60832707237944,59,raw,5.2797540351001155e-12,-9.254652599827263e-11,5.2608575262694615,199987.25505390638,0.9496310857693665,1.0369060324827251e-05,0.9999999999999997,195.79999999999117,0.05084745762711865,2993.8359554777057,3,"[0.0, 0.01694915254237288, 0.03389830508474576, 0.05084745762711865, 0.06779661016949153, 0.0847457627118644, 0.1016949152542373, 0.11864406779661017, 0.13559322033898305, 0.15254237288135594, 0.1694915254237288, 0.1864406779661017, 0.2033898305084746, 0.22033898305084745, 0.23728813559322035, 0.2542372881355932, 0.2711864406779661, 0.288135593220339, 0.3050847457627119, 0.3220338983050847, 0.3389830508474576, 0.3559322033898305, 0.3728813559322034, 0.3898305084745763, 0.4067796610169492, 0.423728813559322, 0.4406779661016949, 0.4576271186440678, 0.4745762711864407]","[30072.000000000025, 4461.956743542079, 1631.5164666187413, 2578.9480056852717, 2993.8359554777057, 2643.0758994467537, 893.3985151675059, 998.5535729582425, 983.2843232962449, 694.8534930072028, 691.0066422783862, 1242.0187657897693, 985.1252049076354, 1483.0954398223153, 1126.5955117293038, 500.79095205679914, 493.78947035347716, 1831.5054310795333, 878.8902211728523, 1303.070355212209, 1643.6241220521179, 603.0506772751918, 166.082234697577, 582.4066522188626, 479.8299413041823, 918.8683793435214, 876.6316201389425, 550.5603577196101, 1157.8288859834363]",14,265.64285714286825,51.000000000001705,741.0000000000126,"[2, 5, 8, 11, 15, 17, 22, 28, 32, 35, 38, 45, 50, 54]","[159.00000000000267, 159.00000000000807, 440.00000000002865, 365.00000000001404, 230.0000000000041, 276.0000000000165, 741.0000000000126, 51.000000000001705, 135.00000000000932, 119.0000000000029, 329.0000000000215, 146.00000000000307, 501.00000000002575, 68.00000000000489]","[0, 3, 3, 10, 12, 3, 3, 23, 23, 34, 34, 44, 48, 52]","[3, 6, 16, 16, 16, 19, 57, 29, 57, 36, 57, 48, 57, 57]",17672058.00000014,747.0000000000056,-747.0000000000056,65466.19384033549,0.10067187867245592,0.1398868578114226,0.4745762711864407,DWT,mdp.39015061285097,0.0,0.0,0.0,1.4156103134155273e-07,0.0,0.0,26.0,6.0,1.2899192824988859e-09,2.830423748678478e-10,4.447997525858228e-11,0.0,26,2.5951463200613034e-15,5.5706550483591855e-12,75.23214285713175,992.0000000001555,75.23214285713455,7.771561172376096e-16,1.2005330063402653e-09,75.23214285713175,0.0,7.366907084360719e-11,83.9999999999983,0.0,26,1.261923898709938e-11,5.5706550483591855e-12,0.0,8.895995051716454e-12,0.5047734752861752,0.8249605580383675,0.49101043929608745,0.20426829268292745,0.7620833414018615,0.007314725697786333,1.0,0.10365736284889317,0.18043223320489193,58,1.3473902374728484,0.6354049309223112,88,0,0.5036573628488932,0.5168395061728395,52,0,0.5574192213410839,0.6364264171893821,72,16.0312195418814,0.9725962059113138,67.5,64.80390667390125,0.9286057952633492,8,sym,349.968253968254,383.0,181.9035320826042,126,0.9907046548620078,1.0,0.006506741596594567,6,7.5,8
