wavelet,wavelet_level,wavelet_mode,wavelet_mse,wavelet_psnr,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,signal_length,signal_type,emd_value,kl_divergence,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,dynamic_cutoff,dominant_frequency,amplitude_max,num_fft_peaks,positive_frequencies,positive_amplitudes,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,max_autocorrelation,upper_envelope,lower_envelope,spectral_magnitude,spectral_centroid,spectral_bandwidth,frequency_max,wavelet_type,htid,max_autocorrelation_diff,frequency_max_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_num_peaks_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,spectral_centroid_diff,lower_envelope_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,spectral_bandwidth_diff,spectral_magnitude_diff,avg_prominence_diff,num_fft_peaks_diff,amplitude_max_diff,prominence_min_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,prominence_max_diff,upper_envelope_diff,dominant_frequency_diff,dynamic_cutoff_diff,emd_value_normalized,wavelet_mse_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,avg_variance_across_levels_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,spectral_centroid_diff_normalized,dynamic_cutoff_diff_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,amplitude_max_diff_normalized,frequency_max_diff_normalized,spectral_bandwidth_diff_normalized,num_fft_peaks_diff_normalized,dominant_frequency_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,relative_left_bases_global_alignment_score_normalized,across_emd_value_normalized,across_smoothness_normalized,across_wavelet_mse_normalized,across_wavelet_psnr_normalized,across_wavelet_entropy_normalized,across_wavelet_energy_entropy_normalized,across_wavelet_sparsity_normalized,across_avg_variance_across_levels_normalized,across_prominence_min_diff_normalized,across_avg_prominence_diff_normalized,across_relative_prominences_avg_diff_normalized,across_relative_prominences_wasserstein_normalized,across_spectral_centroid_diff_normalized,across_dynamic_cutoff_diff_normalized,across_relative_prominences_total_diff_normalized,across_prominence_max_diff_normalized,across_amplitude_max_diff_normalized,across_frequency_max_diff_normalized,across_spectral_bandwidth_diff_normalized,across_num_fft_peaks_diff_normalized,across_relative_num_peaks_diff_normalized,across_dominant_frequency_diff_normalized,across_max_autocorrelation_diff_normalized,across_relative_right_bases_global_alignment_score_normalized,across_relative_left_bases_global_alignment_score_normalized,across_upper_envelope_diff_normalized,across_lower_envelope_diff_normalized,across_relative_peaks_global_alignment_score_normalized,across_reconstruction_weighted_score,across_reconstruction_normalized_weighted_score,across_reconstruction_normalized_weighted_rank,across_signal_weighted_score,across_signal_normalized_weighted_score,across_signal_normalized_weighted_rank,across_rank_variability,across_normalized_rank_stability,across_average_rank,across_harmonic_average_rank,across_stability_score_weighted,across_stability_rank,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,across_normalized_family_mean_rank,across_normalized_family_std_dev,across_final_family_stability_score,across_final_family_stability_rank,across_family_informed_rank,across_top_wavelet_rank
db36,1,smooth,2.4750220523061924e-26,315.2259262421613,1211863344.0744512,0.5811965811965812,319.9885649109382,163,raw,1.0945300562280013e-13,-1.5854051405028816e-10,4.460625288653445,19422052.304466873,0.9996301551666379,7.772472971104555e-06,1.0,369.00000000000006,,,,[],[],13,544.3076923076923,140.0000000000001,891.9999999999998,"[3, 12, 30, 39, 54, 69, 82, 96, 116, 128, 136, 147, 155]","[140.0000000000001, 612.0000000000002, 891.9999999999998, 582.0000000000003, 692.0, 754.9999999999998, 755.9999999999999, 242.9999999999999, 293.0, 741.9999999999999, 419.00000000000006, 664.0, 285.9999999999999]","[2, 2, 23, 36, 36, 64, 73, 91, 113, 113, 131, 145, 154]","[4, 23, 162, 40, 64, 162, 162, 113, 118, 162, 139, 162, 162]",37088221.0,907.9999999999997,-907.9999999999997,0.0,,,,DWT,mdp.39015067403959,0.0,,0.0,35.5,12.0,0.0,35.5,,3.410605131648481e-13,114.82769230769225,3661.0,114.82769230769232,,0.0,114.82769230769225,,,132.0000000000001,0.0,40.0,2.2737367544323206e-13,3.410605131648481e-13,,5.684341886080802e-14,9.719311651806032e-14,1.1406698772755815e-26,0.9455426333248322,0.23469259627128947,0.8607551223827595,0.16349162759317493,0.8741853634539031,0.6190717507118009,5.201069715730251e-09,5.201069715730251e-09,4.4763234666567966e-09,,8.549283084606944e-14,0.9999999947989249,9.659948574728278e-14,,,,,,0.0,1.0,3.036135719416606e-13,3.036135719416606e-13,0.7857215270767541,0.27290890857620026,336,1.5301202357407842,0.932949447035865,3,0,0.23809743276272521,0.293573279946037,293,0,0.4398096204322939,0.9293144604766183,3,180.69933591466238,0.8031597647988427,158.75,5.9430434192058685,0.8151147407872209,64,db,0.7039503319688988,0.9890315854850842,0.2105252919762456,5,49.25,,9.719311651806031e-14,0.0002124091438257536,1.1406698772755815e-26,0.9455426333248321,0.23469259627128947,0.8608183071861679,0.3221614688807888,0.8743267103337253,0.7929399546165288,1.7329637724827762e-10,1.7329637724827762e-10,1.491483603288657e-10,,8.549283084606944e-14,0.999999999965963,9.659948574728281e-14,,,,,1.0,,0.0,1.0,1.0,3.036135719416606e-13,3.036135719416606e-13,1.0,1.537881986516875,0.44720137844623603,336,1.5937400261526107,0.9332027008806998,3,235.46655813512032,0.8717502406671458,169.5,5.946902654867257,0.8897149896146186,1,864.5438596491229,832.0,498.97068235615484,684,0.5761918495884261,0.8618846740642417,0.3381003030688292,3,1.5,1
rbio3.1,1,antireflect,1.4938605726158291e-26,317.4186163193848,6706761.787862944,0.7228915662650602,589.4384498768392,163,raw,8.753189039302338e-14,-1.5085321880548086e-10,6.458538905599368,105338.97313198575,0.5667271249268071,7.772472971104557e-06,0.9999999999999999,369.0,,,,[],[],13,544.3076923076922,139.99999999999997,891.9999999999997,"[3, 12, 30, 39, 54, 69, 82, 96, 116, 128, 136, 147, 155]","[139.99999999999997, 611.9999999999998, 891.9999999999997, 582.0, 691.9999999999997, 754.9999999999998, 756.0, 242.99999999999991, 292.9999999999999, 741.9999999999998, 419.00000000000006, 663.9999999999998, 286.0]","[2, 2, 23, 36, 36, 64, 73, 91, 113, 113, 131, 145, 154]","[4, 23, 162, 40, 64, 162, 162, 113, 118, 162, 139, 162, 162]",37088220.99999999,907.9999999999997,-907.9999999999997,0.0,,,,DWT,mdp.39015067403959,7.450580596923828e-09,,0.0,35.5,12.0,0.0,35.5,,3.410605131648481e-13,114.82769230769213,3661.000000000002,114.82769230769219,,0.0,114.82769230769213,,,131.99999999999997,0.0,40.0,3.410605131648481e-13,3.410605131648481e-13,,0.0,7.57456968618617e-14,6.734768154488958e-27,0.9535387331900343,0.9561010187835531,0.0005766470159569597,0.9658865529551768,0.0021577284043937895,0.6190717507116713,5.200999706311671e-09,5.200999706311671e-09,4.476244706060837e-09,,0.0,0.999999994799011,1.448992286209242e-13,,,,,,7.355854720687939e-14,1.0,3.036135719416606e-13,3.036135719416606e-13,0.7857215270767108,0.2729089085761852,453,1.4376797853576266,0.8765863815366625,5,0,0.23809743276270473,0.29357327994601173,420,0,0.4111800971927416,0.8688204905700115,5,249.49064778731352,0.7282236952207914,220.75,9.886589500759966,0.7438776428173675,160,rbio,0.76271894605587,0.8385802948276762,0.21452264931258816,4,121.0,,7.574569686186169e-14,0.0002124091438257536,6.734768154488958e-27,0.9535387331900343,0.9561010187835532,0.0010301528767174674,0.9723572296476306,0.003278757686174814,0.7929399546164583,1.7329393475762345e-10,1.7329393475762345e-10,1.491456957936066e-10,,0.0,0.9999999999659634,1.4489922862092421e-13,,,,,1.0,,7.355854720687939e-14,1.0,1.0,3.036135719416606e-13,3.036135719416606e-13,1.0,1.53788198651687,0.4472013784462346,350,1.4410069434208486,0.8437709723802903,7,242.5376259469858,0.8678988965430361,178.5,13.725490196078432,0.8853383371604069,2,777.0,667.5,545.3266269966325,270,0.5178465639810427,0.9419564691619748,0.3549204644646777,2,2.0,2
rbio3.1,1,smooth,1.492745520146118e-26,317.42185920540385,6783209.378516929,0.7289156626506024,613.6816942581677,163,raw,8.727034091973745e-14,-1.508678737494059e-10,6.487567860668267,112232.32514243721,0.5542623087051655,7.772472971104557e-06,0.9999999999999999,369.0,,,,[],[],13,544.3076923076922,139.99999999999997,891.9999999999997,"[3, 12, 30, 39, 54, 69, 82, 96, 116, 128, 136, 147, 155]","[139.99999999999997, 611.9999999999998, 891.9999999999997, 582.0, 691.9999999999997, 754.9999999999998, 756.0, 242.99999999999991, 292.9999999999999, 741.9999999999998, 419.00000000000006, 663.9999999999998, 286.0]","[2, 2, 23, 36, 36, 64, 73, 91, 113, 113, 131, 145, 154]","[4, 23, 162, 40, 64, 162, 162, 113, 118, 162, 139, 162, 162]",37088220.99999999,907.9999999999997,-907.9999999999997,0.0,,,,DWT,mdp.39015067403959,7.450580596923828e-09,,0.0,35.5,12.0,0.0,35.5,,3.410605131648481e-13,114.82769230769213,3661.000000000002,114.82769230769219,,0.0,114.82769230769213,,,131.99999999999997,0.0,40.0,3.410605131648481e-13,3.410605131648481e-13,,0.0,7.548979923732838e-14,6.729458684149924e-27,0.953550559047564,0.9665828196511232,0.0006312113546833383,1.0,0.0024689197208527147,0.6190717507116713,5.200999706311671e-09,5.200999706311671e-09,4.476244706060837e-09,,0.0,0.999999994799011,1.448992286209242e-13,,,,,,7.355854720687939e-14,1.0,3.036135719416606e-13,3.036135719416606e-13,0.7857215270767108,0.2729089085761852,455,1.4567249188198055,0.8881986367812066,4,0,0.23809743276270473,0.29357327994601173,423,0,0.4176047871106142,0.882395812635247,4,251.48691152158727,0.7260491159895563,221.5,7.927670025383455,0.7423818564697238,164,rbio,0.76271894605587,0.8385802948276762,0.21452264931258816,4,124.0,,7.548979923732837e-14,0.0002124091438257536,6.729458684149924e-27,0.9535505590475639,0.9665828196511232,0.0010846924559189388,1.0,0.003589599393694614,0.7929399546164583,1.7329393475762345e-10,1.7329393475762345e-10,1.491456957936066e-10,,0.0,0.9999999999659634,1.4489922862092421e-13,,,,,1.0,,7.355854720687939e-14,1.0,1.0,3.036135719416606e-13,3.036135719416606e-13,1.0,1.53788198651687,0.4472013784462346,351,1.4574636539827075,0.8534070776998088,6,243.9518395093589,0.8671286277182141,178.5,11.798319327731093,0.8849532027479959,3,777.0,667.5,545.3266269966325,270,0.5178465639810427,0.9419564691619748,0.3549204644646777,2,2.75,3
rbio3.1,1,reflect,1.4980729930569602e-26,317.4063872232389,6691346.289744643,0.7228915662650602,578.4307064820739,163,raw,8.753189039302337e-14,-1.508442259989814e-10,6.454446488398404,99323.9789292713,0.5877770481898075,7.772472971104557e-06,0.9999999999999999,369.0,,,,[],[],13,544.3076923076922,139.99999999999997,891.9999999999997,"[3, 12, 30, 39, 54, 69, 82, 96, 116, 128, 136, 147, 155]","[139.99999999999997, 611.9999999999998, 891.9999999999997, 582.0, 691.9999999999997, 754.9999999999998, 756.0, 242.99999999999991, 292.9999999999999, 741.9999999999998, 419.00000000000006, 663.9999999999998, 286.0]","[2, 2, 23, 36, 36, 64, 73, 91, 113, 113, 131, 145, 154]","[4, 23, 162, 40, 64, 162, 162, 113, 118, 162, 139, 162, 162]",37088220.99999999,907.9999999999997,-907.9999999999997,0.0,,,,DWT,mdp.39015067403959,7.450580596923828e-09,,0.0,35.5,12.0,0.0,35.5,,3.410605131648481e-13,114.82769230769213,3661.000000000002,114.82769230769219,,0.0,114.82769230769213,,,131.99999999999997,0.0,40.0,3.410605131648481e-13,3.410605131648481e-13,,0.0,7.574569686186169e-14,6.754826153547527e-27,0.9534941372505263,0.9546233251474678,0.0005656442302083545,0.9658865529551768,0.0018861893967241487,0.6190717507116713,5.200999706311671e-09,5.200999706311671e-09,4.476244706060837e-09,,0.0,0.999999994799011,1.448992286209242e-13,,,,,,7.355854720687939e-14,1.0,3.036135719416606e-13,3.036135719416606e-13,0.7857215270767108,0.2729089085761852,452,1.436800063979937,0.8760499952098298,7,0,0.23809743276270473,0.29357327994601173,422,0,0.41092226414002564,0.868275691245153,7,248.56253404995158,0.7292347123638871,222.0,13.779023028539289,0.743702323502205,161,rbio,0.76271894605587,0.8385802948276762,0.21452264931258816,4,121.75,,7.574569686186167e-14,0.0002124091438257536,6.754826153547527e-27,0.9534941372505262,0.954623325147468,0.0010191550836757134,0.9723572296476306,0.0030075237399236044,0.7929399546164583,1.7329393475762345e-10,1.7329393475762345e-10,1.491456957936066e-10,,0.0,0.9999999999659634,1.4489922862092421e-13,,,,,1.0,,7.355854720687939e-14,1.0,1.0,3.036135719416606e-13,3.036135719416606e-13,1.0,1.53788198651687,0.4472013784462346,352,1.4401273465640796,0.8432559309375498,9,242.5376259469858,0.8678988965430361,180.5,17.551246537396125,0.8847936748510388,4,777.0,667.5,545.3266269966325,270,0.5178465639810427,0.9419564691619748,0.3549204644646777,2,3.5,4
rbio3.1,1,antisymmetric,1.4973296247438195e-26,317.40854279832666,6700890.662745699,0.7228915662650602,578.4307064820739,163,raw,8.735752407749942e-14,-1.5085255267166608e-10,6.458528372856158,104136.40974742343,0.5708601825038679,7.772472971104557e-06,0.9999999999999999,369.0,,,,[],[],13,544.3076923076922,139.99999999999997,891.9999999999997,"[3, 12, 30, 39, 54, 69, 82, 96, 116, 128, 136, 147, 155]","[139.99999999999997, 611.9999999999998, 891.9999999999997, 582.0, 691.9999999999997, 754.9999999999998, 756.0, 242.99999999999991, 292.9999999999999, 741.9999999999998, 419.00000000000006, 663.9999999999998, 286.0]","[2, 2, 23, 36, 36, 64, 73, 91, 113, 113, 131, 145, 154]","[4, 23, 162, 40, 64, 162, 162, 113, 118, 162, 139, 162, 162]",37088220.99999999,907.9999999999997,-907.9999999999997,0.0,,,,DWT,mdp.39015067403959,7.450580596923828e-09,,0.0,35.5,12.0,0.0,35.5,,3.410605131648481e-13,114.82769230769213,3661.000000000002,114.82769230769219,,0.0,114.82769230769213,,,131.99999999999997,0.0,40.0,3.410605131648481e-13,3.410605131648481e-13,,0.0,7.557509844550615e-14,6.751286506654839e-27,0.9535019980028724,0.9560972156112841,0.0005724565103195449,0.9658865529551768,0.0021034402609477767,0.6190717507116713,5.200999706311671e-09,5.200999706311671e-09,4.476244706060837e-09,,0.0,0.999999994799011,1.448992286209242e-13,,,,,,7.355854720687939e-14,1.0,3.036135719416606e-13,3.036135719416606e-13,0.7857215270767108,0.2729089085761852,454,1.4376320321489977,0.876557265308706,6,0,0.23809743276270473,0.29357327994601173,421,0,0.411165951905811,0.8687906016838174,6,249.49064778731352,0.7282236952207914,221.75,11.837426906621113,0.7433329805079992,162,rbio,0.76271894605587,0.8385802948276762,0.21452264931258816,4,122.5,,7.557509844550613e-14,0.0002124091438257536,6.751286506654838e-27,0.9535019980028723,0.9560972156112841,0.0010259642725954218,0.9723572296476306,0.003224530532927542,0.7929399546164583,1.7329393475762345e-10,1.7329393475762345e-10,1.491456957936066e-10,,0.0,0.9999999999659634,1.4489922862092421e-13,,,,,1.0,,7.355854720687939e-14,1.0,1.0,3.036135719416606e-13,3.036135719416606e-13,1.0,1.53788198651687,0.4472013784462346,353,1.4409592155590567,0.8437430256833381,8,243.9518395093589,0.8671286277182141,180.5,15.645429362880886,0.8844085404386277,5,777.0,667.5,545.3266269966325,270,0.5178465639810427,0.9419564691619748,0.3549204644646777,2,4.25,5
rbio3.1,1,periodic,1.4923738359895477e-26,317.42294070573786,6694232.637760407,0.7228915662650602,578.4307064820739,163,raw,8.718315776197547e-14,-1.5089351990127475e-10,6.45274526221896,100711.1458620627,0.5848701894746029,7.772472971104557e-06,0.9999999999999999,369.0,,,,[],[],13,544.3076923076922,139.99999999999997,891.9999999999997,"[3, 12, 30, 39, 54, 69, 82, 96, 116, 128, 136, 147, 155]","[139.99999999999997, 611.9999999999998, 891.9999999999997, 582.0, 691.9999999999997, 754.9999999999998, 756.0, 242.99999999999991, 292.9999999999999, 741.9999999999998, 419.00000000000006, 663.9999999999998, 286.0]","[2, 2, 23, 36, 36, 64, 73, 91, 113, 113, 131, 145, 154]","[4, 23, 162, 40, 64, 162, 162, 113, 118, 162, 139, 162, 162]",37088220.99999999,907.9999999999997,-907.9999999999997,0.0,,,,DWT,mdp.39015067403959,7.450580596923828e-09,,0.0,35.5,12.0,0.0,35.5,,3.410605131648481e-13,114.82769230769213,3661.000000000002,114.82769230769219,,0.0,114.82769230769213,,,131.99999999999997,0.0,40.0,3.410605131648481e-13,3.410605131648481e-13,,0.0,7.54045000291506e-14,6.727688860703582e-27,0.9535545029631975,0.9540090448882814,0.0005677043562302096,0.9658865529551768,0.0019488112247272966,0.6190717507116713,5.200999706311671e-09,5.200999706311671e-09,4.476244706060837e-09,,0.0,0.999999994799011,1.448992286209242e-13,,,,,,7.355854720687939e-14,1.0,3.036135719416606e-13,3.036135719416606e-13,0.7857215270767108,0.2729089085761852,456,1.4365552220721585,0.8759007094758479,9,0,0.23809743276270473,0.29357327994601173,424,0,0.41085237376966993,0.868128013411831,9,249.18065735526102,0.7285613754299989,224.5,17.6387300814986,0.7420039992618404,165,rbio,0.76271894605587,0.8385802948276762,0.21452264931258816,4,124.75,,7.540450002915059e-14,0.0002124091438257536,6.727688860703582e-27,0.9535545029631974,0.9540090448882814,0.0010212142748792835,0.9723572296476306,0.0030700752152218523,0.7929399546164583,1.7329393475762345e-10,1.7329393475762345e-10,1.491456957936066e-10,,0.0,0.9999999999659634,1.4489922862092421e-13,,,,,1.0,,7.355854720687939e-14,1.0,1.0,3.036135719416606e-13,3.036135719416606e-13,1.0,1.53788198651687,0.4472013784462346,354,1.4398824760478102,0.8431125488153725,11,242.5376259469858,0.8678988965430361,182.5,21.336986301369862,0.8842490125416705,6,777.0,667.5,545.3266269966325,270,0.5178465639810427,0.9419564691619748,0.3549204644646777,2,5.0,6
rbio3.1,1,zero,1.4973296247438195e-26,317.40854279832666,6690433.113528934,0.7228915662650602,578.4307064820739,163,raw,8.735752407749942e-14,-1.5085255267166608e-10,6.443241839654567,101644.9766067281,0.5762664839739109,7.772472971104557e-06,0.9999999999999999,369.0,,,,[],[],13,544.3076923076922,139.99999999999997,891.9999999999997,"[3, 12, 30, 39, 54, 69, 82, 96, 116, 128, 136, 147, 155]","[139.99999999999997, 611.9999999999998, 891.9999999999997, 582.0, 691.9999999999997, 754.9999999999998, 756.0, 242.99999999999991, 292.9999999999999, 741.9999999999998, 419.00000000000006, 663.9999999999998, 286.0]","[2, 2, 23, 36, 36, 64, 73, 91, 113, 113, 131, 145, 154]","[4, 23, 162, 40, 64, 162, 162, 113, 118, 162, 139, 162, 162]",37088220.99999999,907.9999999999997,-907.9999999999997,0.0,,,,DWT,mdp.39015067403959,7.450580596923828e-09,,0.0,35.5,12.0,0.0,35.5,,3.410605131648481e-13,114.82769230769213,3661.000000000002,114.82769230769219,,0.0,114.82769230769213,,,131.99999999999997,0.0,40.0,3.410605131648481e-13,3.410605131648481e-13,,0.0,7.557509844550615e-14,6.751286506654839e-27,0.9535019980028724,0.950577540631793,0.0005649924522265434,0.9658865529551768,0.0019909677863451636,0.6190717507116713,5.200999706311671e-09,5.200999706311671e-09,4.476244706060837e-09,,0.0,0.999999994799011,1.448992286209242e-13,,,,,,7.355854720687939e-14,1.0,3.036135719416606e-13,3.036135719416606e-13,0.7857215270767108,0.2729089085761852,459,1.4348234736403644,0.8748448226872746,10,0,0.23809743276270473,0.29357327994601173,425,0,0.4103602931183557,0.8670882506514404,10,249.80125433365353,0.7278853438631225,226.0,19.55688112484022,0.74084899001435,167,rbio,0.76271894605587,0.8385802948276762,0.21452264931258816,4,126.25,,7.557509844550613e-14,0.0002124091438257536,6.751286506654838e-27,0.9535019980028723,0.950577540631793,0.0010185036014495835,0.9723572296476306,0.0031121844159076985,0.7929399546164583,1.7329393475762345e-10,1.7329393475762345e-10,1.491456957936066e-10,,0.0,0.9999999999659634,1.4489922862092421e-13,,,,,1.0,,7.355854720687939e-14,1.0,1.0,3.036135719416606e-13,3.036135719416606e-13,1.0,1.53788198651687,0.4472013784462346,355,1.4381507092869303,0.8420985255794438,12,242.5376259469858,0.8678988965430361,183.5,23.215258855585834,0.8839766813869865,7,777.0,667.5,545.3266269966325,270,0.5178465639810427,0.9419564691619748,0.3549204644646777,2,5.75,7
rbio3.1,1,symmetric,1.4973296247438195e-26,317.40854279832666,6697110.29311774,0.7228915662650602,578.4307064820739,163,raw,8.735752407749942e-14,-1.5085255267166608e-10,6.454088491445141,100861.63993322688,0.5856852166178029,7.772472971104557e-06,0.9999999999999999,369.0,,,,[],[],13,544.3076923076922,139.99999999999997,891.9999999999997,"[3, 12, 30, 39, 54, 69, 82, 96, 116, 128, 136, 147, 155]","[139.99999999999997, 611.9999999999998, 891.9999999999997, 582.0, 691.9999999999997, 754.9999999999998, 756.0, 242.99999999999991, 292.9999999999999, 741.9999999999998, 419.00000000000006, 663.9999999999998, 286.0]","[2, 2, 23, 36, 36, 64, 73, 91, 113, 113, 131, 145, 154]","[4, 23, 162, 40, 64, 162, 162, 113, 118, 162, 139, 162, 162]",37088220.99999999,907.9999999999997,-907.9999999999997,0.0,,,,DWT,mdp.39015067403959,7.450580596923828e-09,,0.0,35.5,12.0,0.0,35.5,,3.410605131648481e-13,114.82769230769213,3661.000000000002,114.82769230769219,,0.0,114.82769230769213,,,131.99999999999997,0.0,40.0,3.410605131648481e-13,3.410605131648481e-13,,0.0,7.557509844550615e-14,6.751286506654839e-27,0.9535019980028724,0.9544940592897615,0.0005697582778817888,0.9658865529551768,0.001955605081773018,0.6190717507116713,5.200999706311671e-09,5.200999706311671e-09,4.476244706060837e-09,,0.0,0.999999994799011,1.448992286209242e-13,,,,,,7.355854720687939e-14,1.0,3.036135719416606e-13,3.036135719416606e-13,0.7857215270767108,0.2729089085761852,457,1.4367699708003476,0.8760316467071425,8,0,0.23809743276270473,0.29357327994601173,429,0,0.41091542480107746,0.8682612397727674,8,251.40737194176836,0.7261357604120171,225.5,15.715907553720747,0.7402465294434813,168,rbio,0.76271894605587,0.8385802948276762,0.21452264931258816,4,127.0,,7.557509844550613e-14,0.0002124091438257536,6.751286506654838e-27,0.9535019980028723,0.9544940592897615,0.0010232672645279195,0.9723572296476306,0.0030768614396858513,0.7929399546164583,1.7329393475762345e-10,1.7329393475762345e-10,1.491456957936066e-10,,0.0,0.9999999999659634,1.4489922862092421e-13,,,,,1.0,,7.355854720687939e-14,1.0,1.0,3.036135719416606e-13,3.036135719416606e-13,1.0,1.53788198651687,0.4472013784462346,356,1.4400972212569652,0.8432382912864758,10,244.65894629054543,0.8667434933058031,183.0,19.453551912568305,0.8835351453457121,8,777.0,667.5,545.3266269966325,270,0.5178465639810427,0.9419564691619748,0.3549204644646777,2,6.5,8
rbio3.1,1,constant,1.4972057300249628e-26,317.408902164882,6690161.91722348,0.7228915662650602,578.4307064820739,163,raw,8.727034091973745e-14,-1.5086354387960987e-10,6.4425041719151315,101438.44278469298,0.5767432972008661,7.772472971104557e-06,0.9999999999999999,369.0,,,,[],[],13,544.3076923076922,139.99999999999997,891.9999999999997,"[3, 12, 30, 39, 54, 69, 82, 96, 116, 128, 136, 147, 155]","[139.99999999999997, 611.9999999999998, 891.9999999999997, 582.0, 691.9999999999997, 754.9999999999998, 756.0, 242.99999999999991, 292.9999999999999, 741.9999999999998, 419.00000000000006, 663.9999999999998, 286.0]","[2, 2, 23, 36, 36, 64, 73, 91, 113, 113, 131, 145, 154]","[4, 23, 162, 40, 64, 162, 162, 113, 118, 162, 139, 162, 162]",37088220.99999999,907.9999999999997,-907.9999999999997,0.0,,,,DWT,mdp.39015067403959,7.450580596923828e-09,,0.0,35.5,12.0,0.0,35.5,,3.410605131648481e-13,114.82769230769213,3661.000000000002,114.82769230769219,,0.0,114.82769230769213,,,131.99999999999997,0.0,40.0,3.410605131648481e-13,3.410605131648481e-13,,0.0,7.548979923732838e-14,6.750696565506058e-27,0.9535033085076695,0.9503111829095519,0.0005647988863215151,0.9658865529551768,0.0019816440884003967,0.6190717507116713,5.200999706311671e-09,5.200999706311671e-09,4.476244706060837e-09,,0.0,0.999999994799011,1.448992286209242e-13,,,,,,7.355854720687939e-14,1.0,3.036135719416606e-13,3.036135719416606e-13,0.7857215270767108,0.2729089085761852,458,1.4346872548199918,0.8747617669442198,11,0,0.23809743276270473,0.29357327994601173,426,0,0.41032106962102805,0.8670053716929919,11,249.18065735526102,0.7285613754299989,226.5,21.465099764964744,0.740914674643104,166,rbio,0.76271894605587,0.8385802948276762,0.21452264931258816,4,125.5,,7.548979923732837e-14,0.0002124091438257536,6.750696565506057e-27,0.9535033085076695,0.950311182909552,0.0010183101233784768,0.9723572296476306,0.0031028711927029856,0.7929399546164583,1.7329393475762345e-10,1.7329393475762345e-10,1.491456957936066e-10,,0.0,0.9999999999659634,1.4489922862092421e-13,,,,,1.0,,7.355854720687939e-14,1.0,1.0,3.036135719416606e-13,3.036135719416606e-13,1.0,1.53788198651687,0.4472013784462346,357,1.4380144947003706,0.8420187661343704,13,243.24473272817235,0.867513762130625,185.0,25.086486486486486,0.8833756174487548,9,777.0,667.5,545.3266269966325,270,0.5178465639810427,0.9419564691619748,0.3549204644646777,2,7.25,9
