signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,scales_used,emd_value,kl_divergence,is_complex,change_point_indices,change_point_prominences,num_change_points,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,fft_frequency_max,fft_amplitude_max,fft_spectral_centroid,fft_spectral_bandwidth,fft_spectral_magnitude,fft_variance_magnitude,fft_num_peaks,fft_peak_amplitude,fft_dominant_frequency,fft_positive_frequencies,fft_positive_amplitudes,fft_snr_threshold,fft_stationarity_threshold,fft_dynamic_cutoff,fft_dynamic_cutoff_percentile,wavelet_type,htid,max_autocorrelation_diff,fft_amplitude_max_diff,fft_dominant_frequency_diff,prominence_max_diff,fft_variance_magnitude_diff,avg_prominence_diff,upper_envelope_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,fft_snr_threshold_diff,lower_envelope_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,fft_peak_amplitude_diff,fft_stationarity_threshold_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,fft_frequency_max_diff,fft_num_peaks_diff,fft_dynamic_cutoff_percentile_diff,prominence_min_diff,fft_dynamic_cutoff_diff,fft_spectral_centroid_diff,fft_spectral_bandwidth_diff,prominence_threshold_diff,distance_factor_diff,fft_spectral_magnitude_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_num_peaks_diff,emd_value_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,relative_num_peaks_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,reconstruction_signal_num_missing_metrics,reconstruction_signal_missing_metrics_count,reconstruction_signal_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,top_wavelet_rank
raw,gaus8,20.86630367639316,0.6820131625337877,745.8569991561616,-35.61400154248269,268,127,43722.47181912549,,False,"[37, 83, 99, 112, 128, 149, 162, 196, 209, 254]","[105950.56488978786, 20140.127510753257, 373.21406461004153, 37597.26579521183, 5677.516234098115, 684.0527401538893, 57886.73871632786, 14476.115376589725, 29571.637943340014, 90775.6628745268]",10,14.179341514518242,446396.39842217753,0.01508901948834437,4.212405683249607e-07,0.28079811843274166,9,39017.246040687634,684.0527401538893,143997.67970110005,"[37, 90, 106, 123, 136, 150, 166, 196, 254]","[143997.67970110005, 20140.127510753257, 1014.4206550019626, 5677.516234098115, 38510.52477749984, 684.0527401538893, 778.6708483728289, 49576.55902468199, 90775.6628745268]","[0, 83, 105, 112, 112, 149, 162, 162, 162]","[162, 112, 112, 128, 162, 162, 167, 209, 267]",0.05,20,847414662251.4335,118354.32738471494,-118354.32738471494,,,,,,,,,,,,,,,,CWT,uva.x030718199,,,,143070.67970110005,,38463.55373299533,117426.32738471494,38463.55373299533,336759.21436618874,38463.55373299534,,117426.32738471494,0.0,-21.5,,,0.0,-12.5,,,,681.0527401538893,,,,0.0,10.0,,0.0,-17.0,17.0,0.05224383606968066,0.7994086578037707,0.513127374879154,0.734210272102941,0.39538714991762763,0.7458270335219995,0.05653151741457232,,1.0,0.8853525634693906,0.8853525634693906,0.8850140424104713,0.8208826159817795,0.5279256780303268,0.888888888888889,,0.14035087719298245,0.39999999999999997,0.12770237803531198,0.12770237803531198,0.023255813953488358,2.2364426550905057,1.0,1,1.598085449335894,0.7284955211612524,5,0,0,0.5593689832889452,0.9221734327163768,2,1,0.125,0.4647122631013923,0.7796632575185611,4,1.8257418583505538,0.8695898672606748,3.0,2.0512820512820515,0.8276520764874802,1,gaus,6.75,5.0,5.175491695067657,8,0.5625,1.0,0.30624999999999997,1,1.0,1
raw,gaus6,20.915771137828795,0.6880655776236926,767.8173237622443,-36.43943332458022,268,127,47870.80876043765,,False,"[43, 90, 112, 128, 149, 162, 196, 209, 254]","[119474.0328850633, 11139.225871026136, 26878.50527590754, 7409.184775156362, 317.5012793948554, 62037.331772957965, 19727.02697609921, 18288.76108379312, 90552.55178654456]",9,14.177283294178714,445422.87665828504,0.012638660267861694,5.041766503134569e-07,0.25639524014286147,9,37825.51442605903,292.7601554170251,158370.1221720272,"[43, 90, 106, 122, 135, 150, 166, 196, 254]","[158370.1221720272, 15195.809419078652, 343.33444695516664, 7409.184775156362, 26878.50527590754, 317.5012793948554, 292.7601554170251, 41069.86052404991, 90552.55178654456]","[0, 83, 105, 112, 112, 149, 162, 162, 162]","[162, 162, 112, 128, 162, 162, 167, 209, 267]",0.05,20,1024871121858.5126,123595.41682646595,-123595.41682646595,,,,,,,,,,,,,,,,CWT,uva.x030718199,,,,157443.1221720272,,37271.82211836673,122667.41682646595,37271.82211836673,326033.6298345313,37288.8817189913,,122667.41682646595,0.0,-17.0,,,0.0,-12.5,,,,289.7601554170251,,,,0.0,10.0,,0.0,-17.0,17.0,0.07600335020723892,0.7438735377696942,0.5107812641159248,0.7397982081275889,0.4196281477994823,0.6767074500206173,0.056276774664589566,,0.39502347240558505,0.8557673674418801,0.8557673674418801,0.8557925163189019,0.7940133222264318,0.588236207168949,0.888888888888889,,0.14035087719298245,0.39999999999999997,0.14343027190108992,0.14343027190108992,0.12790697674418605,2.0723741291642916,0.9266386171124185,3,1.5554598128396209,0.7090644042037162,6,0,0,0.5157172949693221,0.850209436742044,4,1,0.125,0.454188390386448,0.7620070053941063,5,1.2909944487358056,0.9077861108045853,4.5,4.2105263157894735,0.7931787696880069,2,gaus,6.75,5.0,5.175491695067657,8,0.5625,1.0,0.30624999999999997,1,1.75,2
raw,gaus4,21.040818219631664,0.6792807615465977,750.1236462260197,-37.12956829212177,268,127,51240.16598186144,,False,"[43, 89, 121, 135, 162, 171, 196, 246, 254]","[142071.37509196094, 12951.940355011, 8836.403176202091, 16888.796763563478, 34196.48651821002, 70.43075911455162, 37847.2972021796, 90987.99037723127, 2427.185115719447]",9,14.072529976983503,374036.8304747728,0.011149486014522628,5.915883639948326e-07,0.28185290570218774,8,43635.39947535157,70.43075911455162,179073.1520537912,"[43, 89, 121, 135, 170, 196, 246, 254]","[179073.1520537912, 12951.940355011, 8836.403176202091, 16888.796763563478, 70.43075911455162, 37847.2972021796, 90987.99037723127, 2427.185115719447]","[0, 83, 112, 112, 162, 162, 162, 250]","[162, 162, 128, 162, 171, 209, 267, 267]",0.05,30,1204592851091.4492,142431.55523486435,-142431.55523486435,,,,,,,,,,,,,,,,CWT,uva.x030718199,,,,178146.1520537912,,43081.70716765927,141503.55523486435,43081.70716765927,334687.1958028126,43085.85805620595,,141503.55523486435,0.0,-13.0,,,0.0,-13.0,,,,67.43075911455162,,,,0.0,0.0,,0.0,-17.5,18.0,0.09530127409082313,0.6974411988491599,0.39137573680876403,0.7539237579921703,0.3844433984466931,0.7488146506334166,0.03759709189871803,,0.051280525557553136,1.0,1.0,0.9999999999999999,0.8156918801965585,0.6751115374732872,0.9444444444444444,,0.12280701754385964,0.38,0.19995531102147132,0.19995531102147132,0.22093023255813954,2.2130125169545685,0.9895234791365625,2,1.488046905328741,0.6783338814957208,7,0,0,0.5508480216513987,0.908125809987746,3,1,0.125,0.437878158388535,0.7346427853808252,8,2.943920288775949,0.7897199793731465,5.0,3.632432432432433,0.7162885611151446,3,gaus,6.75,5.0,5.175491695067657,8,0.5625,1.0,0.30624999999999997,1,2.5,3
raw,gaus2,22.327729726519582,0.6532201198730756,1361.8440328468928,-43.274248663056056,268,127,128807.73403537589,,False,"[48, 72, 89, 121, 135, 165, 178, 196, 212, 241]","[184752.11250486923, 352.11496904614614, 14839.006952694588, 7978.50222310645, 11869.487917343358, 1413.1695236275264, 635.5785157007922, 36411.57739511573, 178.71625223166484, 52753.38057114184]",10,13.93823001395987,446040.50896466174,0.02261872177035721,6.893612581212158e-07,0.3151401076348779,10,31118.364682487736,178.71625223166484,184752.11250486923,"[48, 72, 89, 121, 135, 165, 178, 196, 212, 241]","[184752.11250486923, 352.11496904614614, 14839.006952694588, 7978.50222310645, 11869.487917343358, 1413.1695236275264, 635.5785157007922, 36411.57739511573, 178.71625223166484, 52753.38057114184]","[0, 71, 82, 112, 128, 162, 162, 162, 211, 211]","[267, 82, 267, 128, 267, 166, 179, 211, 213, 267]",0.05,20,4938406425055.244,205735.75567970995,-205735.75567970995,0.4962686567164179,34533367.596256554,0.023909760355501096,0.06890041425599402,62141458.55324737,9173174743509.79,19.0,3459658.7733926326,0.011194029850746268,"[0.0, 0.0037313432835820895, 0.007462686567164179, 0.011194029850746268, 0.014925373134328358, 0.018656716417910446, 0.022388059701492536, 0.026119402985074626, 0.029850746268656716, 0.033582089552238806, 0.03731343283582089, 0.041044776119402986, 0.04477611940298507, 0.048507462686567165, 0.05223880597014925, 0.055970149253731345, 0.05970149253731343, 0.06343283582089553, 0.06716417910447761, 0.0708955223880597, 0.07462686567164178, 0.07835820895522388, 0.08208955223880597, 0.08582089552238806, 0.08955223880597014, 0.09328358208955223, 0.09701492537313433, 0.10074626865671642, 0.1044776119402985, 0.10820895522388059, 0.11194029850746269, 0.11567164179104478, 0.11940298507462686, 0.12313432835820895, 0.12686567164179105, 0.13059701492537312, 0.13432835820895522, 0.13805970149253732, 0.1417910447761194, 0.1455223880597015, 0.14925373134328357, 0.15298507462686567, 0.15671641791044777, 0.16044776119402984, 0.16417910447761194, 0.16791044776119401, 0.17164179104477612, 0.17537313432835822, 0.1791044776119403, 0.1828358208955224, 0.18656716417910446, 0.19029850746268656, 0.19402985074626866, 0.19776119402985073, 0.20149253731343283, 0.20522388059701493, 0.208955223880597, 0.2126865671641791, 0.21641791044776118, 0.22014925373134328, 0.22388059701492538, 0.22761194029850745, 0.23134328358208955, 0.23507462686567163, 0.23880597014925373, 0.24253731343283583, 0.2462686567164179]","[34533367.596256554, 5067371.84092082, 3230744.282733035, 3459658.7733926326, 2707968.4808241115, 2606345.355169193, 500912.33127358556, 413396.4925222196, 863796.102148552, 760778.5066757953, 610117.9470591046, 289485.4559560087, 275716.1865955607, 506304.8370559506, 277372.2532209859, 299127.13317859743, 235265.4524485606, 362585.24292964267, 111476.52690283724, 244425.9095101013, 144073.92046649402, 149887.62909594656, 156559.18643995607, 69627.61726486312, 157452.59870418877, 114182.37074496668, 90237.07427995898, 83378.63916246116, 51645.217376224726, 99362.26429813718, 116166.24939636218, 107180.06492951146, 59945.182068185386, 55448.14232486793, 79948.54356321237, 31500.816154584372, 76405.14031193918, 32333.456305440457, 52090.33190208369, 64529.80526082396, 25190.468915861544, 48272.54584549519, 84304.45904802329, 49344.80497034959, 30181.10191109749, 46737.41969104556, 68829.4766352308, 51203.296089117655, 42695.97676491486, 40921.2966570794, 47615.23535188837, 33329.043965536584, 29732.41280165336, 62485.14302266199, 48956.626338563416, 45931.28208496835, 42254.98423869891, 40821.9951247812, 45149.46109967175, 36056.55581796448, 40126.433154031656, 36916.29907114263, 35976.717060480296, 43915.119415911264, 31456.790424360173, 29215.072750889598, 43817.186367300885]",3.0,0.3,92974.4576011164,15.0,CWT,uva.x030718199,,34411604.596256554,0.007462686567164178,183825.11250486923,9173065600509.79,30564.672374795427,204807.75567970995,30564.672374795427,296787.64682487736,30564.67237479542,0.0,204807.75567970995,0.0,-12.0,3446005.21457566,0.0,0.0,-12.0,0.0,1.0,0.0,175.71625223166484,92859.4076011164,0.14172263004644495,0.08868064685176688,0.0,10.0,61542255.29305468,0.0,-16.5,16.0,0.5395679177739515,0.28402658437463735,0.23829077175429042,0.8992956643154723,0.2800658978583198,0.8430985095365724,0.056438391341319526,,0.21870046697784415,0.6892597934934757,0.6892597934934757,0.6885188803983298,0.7207474870329387,0.6989419414185208,0.8333333333333334,,0.15789473684210525,0.42,0.3899237816839044,0.3899237816839044,0.2441860465116279,1.9914959235280985,0.8904748436071594,4,1.3729206634863338,0.6258529884463699,10,0,0,0.5117241702391216,0.8436263875388824,5,1,0.125,0.44243339099350903,0.7422852509956693,6,2.6299556396765835,0.8121460257373869,6.25,5.5813953488372094,0.6828587271544078,4,gaus,6.75,5.0,5.175491695067657,8,0.5625,1.0,0.30624999999999997,1,3.25,4
raw,cgau8,16.09515437961032,0.8329709719120931,880.809606363295,-34.709767308277264,268,127,43733.117526751346,-499700.5737071466,True,"[2, 21, 37, 48, 57, 69, 97, 112, 132, 142, 162, 173, 183, 193, 221, 232, 246, 263]","[792.4991540793562, 3563.0360651103547, 11641.6230018137, 1506.8643206960842, 926.6752057806298, 12.013634647693834, 4022.2950676033433, 14124.84100979436, 71.436141061733, 2513.929283784597, 28914.43527583761, 1645.5479799425339, 4715.134596503725, 642.7290770693253, 1573.7050450009701, 215.082545986661, 49.774682789007784, 6960.240409390113]",18,14.606470171651106,402936.66587934946,0.017008824447100005,2.8649493089629816e-06,0.24220898767478638,10,26981.57489235109,158.13612931574608,96296.1821877802,"[37, 92, 100, 124, 136, 150, 166, 177, 196, 255]","[96296.1821877802, 17871.207153319938, 888.4861222058753, 2906.1395497847143, 39771.13889464757, 446.11318828327603, 845.5926274515587, 158.13612931574608, 44427.511305141525, 66205.2417655805]","[0, 82, 99, 82, 82, 149, 162, 162, 162, 162]","[162, 111, 111, 128, 162, 162, 167, 178, 210, 267]",0.05,30,693280383230.5818,99155.3776340763,-99155.3776340763,,,,,,,,,,,,,,,,CWT,uva.x030718199,,,,95369.1821877802,,26427.882584658782,98227.3776340763,26427.882584658782,255419.7489235109,26427.88258465878,,98227.3776340763,0.0,-21.0,,,0.0,-12.0,,,,155.13612931574608,,,,0.0,0.0,,0.0,-16.5,16.0,0.05230480914019526,0.8602456134730957,1.0,0.19525241453922748,1.0,0.6365258021678132,0.045159350718258585,0.9788502238763228,0.1868815882543655,0.5865623947138534,0.5865623947138534,0.5856107414908838,0.6171143286281654,0.3277577134305415,0.8333333333333334,,0.15789473684210525,0.42,0.07008858468788035,0.07008858468788035,0.03488372093023254,1.482256141859983,0.6627740436295685,8,2.1936791688004873,1.0,1,0,0,0.3730648434760911,0.6150331849137116,9,0,0.0,0.596042276739364,1.0,1,4.349329450233296,0.6893336106976218,4.75,1.7888198757763976,0.6750239482059537,5,cgau,5.0,5.0,,1,0.4166666666666667,,,2,4.25,5
raw,gaus7,20.892714136204372,0.6664120343166059,754.3023578660727,-36.09974318671245,268,127,48393.99281277055,,False,"[3, 16, 28, 61, 95, 107, 125, 142, 153, 184, 193, 218, 266]","[6149.324132362381, 187.83180574249127, 230.7623515315645, 81422.82250566992, 21987.331981476807, 68.24211202804872, 3730.544913157062, 27831.610228769958, 3259.210646074902, 53705.577014946306, 602.4517930649381, 87400.28967918633, 86.70996178069618]",13,14.18755437762501,491072.8480333595,0.014060245794511508,2.6716515373621036e-07,0.12274155356968465,11,26035.953695363074,68.24211202804872,170545.55211905428,"[15, 27, 61, 95, 107, 125, 142, 153, 192, 203, 266]","[187.83180574249127, 230.7623515315645, 170545.55211905428, 21987.331981476807, 68.24211202804872, 3730.544913157062, 31991.275950136704, 3259.210646074902, 602.4517930649381, 53705.577014946306, 86.70996178069618]","[3, 3, 3, 86, 106, 119, 131, 151, 184, 184, 3]","[16, 28, 218, 218, 218, 131, 218, 218, 193, 218, 267]",0.05,30,939792112227.7402,140330.6249806964,-140330.6249806964,,,,,,,,,,,,,,,,CWT,uva.x030718199,,,,169618.55211905428,,25482.261387670766,139402.6249806964,25482.261387670766,271999.4906489938,25564.6538663873,,139402.6249806964,0.0,-16.0,,,0.0,-20.5,,,,65.24211202804872,,,,0.0,0.0,,0.0,-16.0,15.0,0.07899987605935947,0.7667279189433156,0.5224889996584223,0.7371936465378433,0.3329018592610024,0.29814197755365535,0.06822206410344434,,0.047896663541837775,0.5630869845315212,0.5630869845315212,0.5641367809187069,0.6586492164932422,0.6393274969118581,0.7777777777777778,,0.17543859649122806,0.08000000000000002,0.19365066607614176,0.19365066607614176,0.1511627906976744,1.6147983760898517,0.7220388022980643,6,1.3932843976491707,0.6351359020339443,8,0,0,0.38398871867063755,0.6330422411675807,7,1,0.125,0.3944180488738632,0.6617283106686968,10,1.707825127659933,0.8780124908814334,7.75,7.4832962138084635,0.6622205311550025,6,gaus,6.75,5.0,5.175491695067657,8,0.5625,1.0,0.30624999999999997,1,4.75,6
raw,morl,20.493339600254885,0.6785462451521918,609.8853236808757,-33.38289903668664,268,127,34600.861256343764,,False,"[8, 18, 27, 35, 44, 55, 64, 73, 82, 99, 112, 125, 136, 149, 162, 172, 194, 209, 222, 230, 238, 246, 255]","[918.7298473393239, 3758.719848419547, 1914.6628725999326, 83052.9591836508, 3859.4933700804686, 817.0380765664595, 2876.554887406015, 854.1270520649923, 36484.54447279911, 8041.275555466016, 17394.242753539715, 6754.539531418088, 34173.65411749477, 3375.243950971955, 35154.20043386869, 5248.434108720678, 10997.562370196378, 54230.6306999123, 944.5610147131883, 2406.428693733127, 1808.6127343579137, 9111.178729839376, 86769.72969766217]",23,14.149016767685373,315472.39429401304,0.014345377746990245,2.467568097297898e-08,0.37053465403290786,22,18305.72471091879,38.46065753525909,115732.55958492894,"[8, 18, 27, 35, 44, 55, 65, 74, 92, 107, 125, 136, 149, 170, 178, 194, 212, 222, 230, 238, 246, 255]","[918.7298473393239, 3758.719848419547, 1914.6628725999326, 115732.55958492894, 3859.4933700804686, 817.0380765664595, 2876.554887406015, 854.1270520649923, 17394.242753539715, 8041.275555466016, 7631.0242572182215, 77789.86470312347, 3375.243950971955, 5248.434108720678, 2221.9467802038052, 49213.05446372274, 38.46065753525909, 944.5610147131883, 2406.428693733127, 1808.6127343579137, 9111.178729839376, 86769.72969766217]","[0, 0, 0, 0, 43, 54, 64, 73, 82, 99, 82, 82, 148, 162, 162, 162, 209, 209, 209, 209, 209, 209]","[10, 19, 28, 209, 209, 209, 82, 82, 112, 112, 127, 209, 162, 172, 179, 209, 213, 223, 231, 239, 247, 267]",0.05,30,508113888417.94763,105387.68985024415,-105387.68985024415,,,,,,,,,,,,,,,,CWT,uva.x030718199,,,,114805.55958492894,,17752.03240322648,104459.68985024415,17752.03240322648,388329.94364021334,17752.032403226476,,104459.68985024415,0.0,-10.5,,,0.0,-6.0,,,,35.46065753525909,,,,0.0,0.0,,0.0,1.5,4.0,0.0,0.9495174228828843,0.47856100043883726,0.6920795595806447,0.3815015297717108,1.0,0.022272457075737877,,0.00185162811681161,0.3711810746479432,0.3711810746479432,0.3697874483325587,0.9500754884029844,0.4093178384914825,0.16666666666666674,,0.7894736842105263,0.6599999999999999,0.0887910216837907,0.0887910216837907,0.27906976744186046,1.3168414284204182,0.5888107282442828,10,1.716540328478451,0.7824937907474694,3,0,0,0.37884889286052975,0.6245687452239864,8,1,0.125,0.4971688528214022,0.8341167602089458,3,3.559026084010437,0.7457838511421117,6.0,4.4859813084112155,0.6586062112853415,7,morl,7.0,7.0,,1,0.5833333333333334,,,6,6.75,7
raw,fbsp,19.23281144893497,0.6514278998707251,1223.243751263707,-42.13889000695791,268,127,105207.59412785798,-627577.5079246573,True,"[5, 20, 33, 41, 49, 57, 73, 85, 93, 103, 114, 123, 138, 147, 161, 172, 180, 189, 197, 211, 229, 240, 248, 257, 265]","[5698.16045425029, 11846.441446151235, 7800.050278199458, 5173.475110637111, 11078.392825857474, 4541.68001658225, 2667.625454781548, 2016.61598764488, 23388.485307290233, 688.7639290446532, 4467.119377988522, 10861.796780644385, 29065.604046681023, 3198.2075894032387, 184.78464905475266, 7906.7771824751, 1549.9055655937773, 6655.013706206373, 46689.52245209117, 279.17945375425916, 3446.45725766143, 1690.064517961786, 3568.9549540370353, 2941.816953859816, 4843.1756805997575]",25,14.213821132639435,877107.1652241735,0.017142955189646893,2.7937509296714825e-08,0.14833599765433345,24,17610.609337352744,73.454518539329,144718.4408146779,"[15, 24, 33, 41, 49, 57, 70, 85, 93, 103, 114, 123, 134, 142, 151, 166, 176, 189, 197, 211, 226, 234, 244, 253]","[596.8133174872346, 6286.300639413443, 8220.755351934262, 144718.4408146779, 13522.3376367288, 4578.059013426013, 363.68819452905154, 1727.8661802384158, 21790.491459788696, 641.5062790978263, 4622.6922808475865, 10627.700262997343, 27918.626432345358, 1268.4779234893067, 3831.237246744611, 4987.989519635859, 7117.073466915586, 7072.260308349272, 46710.253732189805, 73.454518539329, 4066.480124778027, 5066.733057483623, 96733.93319841995, 111.45313640858512]","[0, 0, 0, 0, 47, 56, 69, 83, 83, 102, 112, 112, 112, 141, 150, 164, 164, 164, 164, 210, 164, 164, 164, 252]","[17, 26, 35, 164, 164, 164, 83, 87, 164, 112, 116, 128, 164, 164, 164, 170, 178, 191, 210, 212, 227, 235, 267, 267]",0.05,30,3803551589531.5713,204584.8040785854,-204584.8040785854,,,,,,,,,,,,,,,,CWT,uva.x030718199,,,,143791.4408146779,,17056.917029660435,203656.8040785854,17056.917029660435,408258.6240964659,17056.92404073212,,203656.8040785854,0.0,-9.5,,,0.0,-9.5,,,,70.454518539329,,,,0.0,0.0,,0.0,-9.5,2.0,0.40439860397089755,0.36041361067487765,0.5524297768779212,0.5496879659467531,0.2728877382913628,0.3706365945437328,0.16923618335200036,0.4004449718912739,0.05595555275826758,0.3539245679510921,0.3539245679510921,0.3524957048425097,1.0,0.5309501802490938,0.05555555555555547,,0.40350877192982454,0.52,0.3864699111044536,0.3864699111044536,0.3023255813953488,1.429991388311491,0.639404451107476,9,1.373908814239881,0.6263034420804297,9,0,0,0.3917983587368075,0.6459171820442706,6,0,0.0,0.38501693069360243,0.6459557412602155,12,2.449489742783178,0.8250364469440588,9.0,8.470588235294118,0.5910896520434579,8,fbsp,8.0,8.0,,1,0.6666666666666666,,,4,7.0,8
raw,gaus5,20.95774427604894,0.660712187096016,738.0421105158305,-36.89284550513209,268,127,51780.50199819947,,False,"[3, 16, 61, 69, 97, 107, 123, 142, 153, 184, 193, 218]","[6254.7240460605535, 285.1311528080405, 65523.809928272865, 508.08916422448965, 24088.972892348895, 62.97731901424413, 2360.9302901790943, 26596.642916824007, 2076.574692768074, 52256.3983545502, 240.78477861160354, 73193.72966465153]",12,14.079103290997425,520358.09539704316,0.01197288957271747,2.3735354609577276e-07,0.11207907530810036,10,25001.860119643068,62.97731901424413,141542.09963510203,"[15, 61, 69, 97, 107, 123, 142, 153, 192, 203]","[285.1311528080405, 141542.09963510203, 508.08916422448965, 24088.972892348895, 62.97731901424413, 2360.9302901790943, 26596.642916824007, 2076.574692768074, 240.78477861160354, 52256.3983545502]","[3, 3, 68, 86, 106, 119, 131, 151, 184, 184]","[16, 218, 218, 218, 218, 131, 218, 218, 193, 218]",0.05,30,1128153990937.48,157365.9819658922,-157365.9819658922,,,,,,,,,,,,,,,,CWT,uva.x030718199,,,,140615.09963510203,,24448.16781195076,156437.9819658922,24448.16781195076,235622.60119643068,24472.413260077985,,156437.9819658922,0.0,-16.5,,,0.0,-21.0,,,,59.97731901424413,,,,0.0,0.0,,0.0,-21.0,16.0,0.09839603746246826,0.7133679279567625,0.39886848307211364,0.7445395715273063,0.3100729583431396,0.2679411935404485,0.07588517418895617,,0.03975677967939062,0.537415213494382,0.537415213494382,0.5369658455469293,0.5675193274208299,0.5176214215741142,0.8333333333333334,,0.0,0.06,0.24477177164141617,0.24477177164141617,0.13953488372093023,1.5031853088960831,0.6721322835953741,7,1.2908033257415255,0.5884193751301117,11,0,0,0.3549254634622604,0.5851286767367533,10,1,0.125,0.36647447801302785,0.6148464501844035,13,2.5,0.8214285714285714,10.25,9.739722695207979,0.5446428571428572,11,gaus,6.75,5.0,5.175491695067657,8,0.5625,1.0,0.30624999999999997,1,8.5,9
raw,shan,14.366673372699946,0.7675108708426372,764.9429269387597,-32.63256440935373,268,127,36717.04464964928,-495024.66780760535,True,"[1, 10, 23, 37, 49, 62, 72, 83, 96, 105, 115, 124, 138, 146, 156, 164, 174, 183, 192, 214, 229, 240, 248, 262]","[835.4477130192026, 2042.0890345354346, 9047.176080765188, 6654.999249089175, 6134.993750446614, 21132.32195261588, 2362.282155992638, 5192.027340462577, 572.759251917365, 4936.397593129284, 9007.80016322239, 2376.5450179686413, 30302.425183409538, 728.371243482201, 9292.811897058036, 1706.4451184870704, 5030.617604904188, 2552.6460456037294, 1857.8401810172654, 12702.733827814758, 2744.116449590467, 826.339473354994, 4964.619018428748, 6780.92958278193]",24,14.460970152563021,359994.39422535565,0.014654406074770763,7.085782075959566e-08,0.26466610794182927,21,14866.446341404659,676.6330534034496,84549.21482256716,"[10, 20, 29, 37, 45, 53, 67, 82, 93, 107, 124, 138, 148, 162, 176, 189, 213, 229, 237, 248, 257]","[8990.809951874495, 6248.261001486426, 823.5882313166949, 65437.66933506285, 2974.5237898542327, 4778.373415409993, 676.6330534034496, 2496.261862962776, 8296.127442033448, 7215.219405486486, 5406.080139213773, 84549.21482256716, 3787.741602703458, 5852.46349569815, 5971.4456986843825, 30476.07476405499, 1106.0907068238448, 1341.3013114467794, 3016.598832446489, 4309.990803280212, 58440.903503687725]","[0, 0, 0, 0, 43, 52, 66, 72, 72, 100, 72, 72, 146, 160, 174, 174, 211, 211, 211, 211, 211]","[12, 21, 30, 211, 72, 72, 72, 83, 100, 112, 125, 211, 211, 174, 181, 211, 214, 230, 238, 249, 267]",0.05,30,432005228599.95605,75799.3870399249,-75799.3870399249,,,,,,,,,,,,,,,,CWT,uva.x030718199,,,,83622.21482256716,,14312.75403371235,74871.3870399249,14312.75403371235,297799.3731694978,14312.754033712356,,74871.3870399249,0.0,-11.0,,,0.0,-11.0,,,,673.6330534034496,,,,0.0,0.0,,0.0,-11.0,5.0,0.012120396670335196,1.0,0.8341483881599798,0.0,0.7378206636855731,0.7001341511936803,0.03392258870905025,1.0,0.9885284400951837,0.28579966535558116,0.28579966535558116,0.2842308321769085,0.7232820223091647,0.2784643647875934,0.2222222222222222,,0.3508771929824561,0.45999999999999996,0.0,0.0,0.2674418604651163,1.277645754723513,0.5712848267382954,11,2.009461274516412,0.9160233196795108,2,0,0,0.3455538554791506,0.5696786818996381,11,0,0.0,0.5397682735523273,0.9055872286528357,2,5.196152422706632,0.6288462555209549,6.5,3.3846153846153846,0.5822802706176202,9,shan,9.0,9.0,,1,0.75,,,7,8.5,10
