signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,scales_used,emd_value,kl_divergence,is_complex,change_point_indices,change_point_prominences,num_change_points,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,fft_frequency_max,fft_amplitude_max,fft_spectral_centroid,fft_spectral_bandwidth,fft_spectral_magnitude,fft_variance_magnitude,fft_num_peaks,fft_peak_amplitude,fft_dominant_frequency,fft_positive_frequencies,fft_positive_amplitudes,fft_snr_threshold,fft_stationarity_threshold,fft_dynamic_cutoff,fft_dynamic_cutoff_percentile,stft_frequency_max,stft_amplitude_max,stft_spectral_centroid,stft_spectral_bandwidth,stft_spectral_magnitude,stft_variance_magnitude,stft_peak_freq_over_time,stft_num_peaks,stft_peak_amplitude,stft_dominant_frequency,stft_positive_frequencies,stft_positive_amplitudes,stft_snr_threshold,stft_stationarity_threshold,stft_window,stft_nperseg,stft_noverlap,stft_dynamic_cutoff,stft_dynamic_cutoff_percentile,wavelet_type,htid,stft_amplitude_max_diff,stft_frequency_max_diff,avg_prominence_diff,fft_variance_magnitude_diff,stft_noverlap_diff,prominence_max_diff,stft_spectral_magnitude_diff,upper_envelope_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,stft_num_peaks_diff,fft_peak_amplitude_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,stft_window_diff,stft_nperseg_diff,prominence_threshold_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,stft_dominant_frequency_diff,relative_num_peaks_diff,max_autocorrelation_diff,stft_variance_magnitude_diff,fft_amplitude_max_diff,fft_dominant_frequency_diff,fft_snr_threshold_diff,stft_stationarity_threshold_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,stft_dynamic_cutoff_percentile_diff,lower_envelope_diff,fft_stationarity_threshold_diff,stft_dynamic_cutoff_diff,fft_frequency_max_diff,fft_num_peaks_diff,fft_dynamic_cutoff_percentile_diff,fft_dynamic_cutoff_diff,prominence_min_diff,fft_spectral_centroid_diff,stft_peak_amplitude_diff,fft_spectral_bandwidth_diff,stft_spectral_bandwidth_diff,fft_spectral_magnitude_diff,distance_factor_diff,stft_snr_threshold_diff,stft_spectral_centroid_diff,emd_value_normalized,smoothness_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,relative_num_peaks_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,reconstruction_signal_num_missing_metrics,reconstruction_signal_missing_metrics_count,reconstruction_signal_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,across_emd_value_normalized,across_smoothness_normalized,across_wavelet_psnr_normalized,across_wavelet_entropy_normalized,across_wavelet_energy_entropy_normalized,across_wavelet_sparsity_normalized,across_correlation_normalized,across_avg_variance_across_levels_normalized,across_kl_divergence_normalized,across_prominence_min_diff_normalized,across_avg_prominence_diff_normalized,across_relative_prominences_avg_diff_normalized,across_relative_prominences_wasserstein_normalized,across_relative_prominences_total_diff_normalized,across_prominence_max_diff_normalized,across_relative_num_peaks_diff_normalized,across_max_autocorrelation_diff_normalized,across_relative_right_bases_global_alignment_score_normalized,across_relative_left_bases_global_alignment_score_normalized,across_upper_envelope_diff_normalized,across_lower_envelope_diff_normalized,across_relative_peaks_global_alignment_score_normalized,across_reconstruction_signal_weighted_score,across_reconstruction_signal_normalized_weighted_score,across_reconstruction_signal_normalized_weighted_rank,across_wavelet_signal_weighted_score,across_wavelet_signal_normalized_weighted_score,across_wavelet_signal_normalized_weighted_rank,across_rank_variability,across_normalized_rank_stability,across_average_rank,across_harmonic_average_rank,across_stability_score_weighted,across_stability_rank,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,across_normalized_family_mean_rank,across_normalized_family_std_dev,across_final_family_stability_score,across_final_family_stability_rank,across_family_informed_rank,across_top_wavelet_rank
smoothed,morl,19.928343901529555,0.6522435897435898,536.6682713695425,-30.252467372510168,195,96,25454.476272140826,,False,"[12, 27, 37, 53, 69, 79, 96, 116, 154, 160, 180]","[2929.9210386774575, 40410.850958099065, 2165.259338666663, 4072.571288289426, 29288.927466916182, 1401.125448857134, 12126.479770987444, 66756.86919409668, 1865.868218699994, 16580.491578969253, 45494.56069879543]",11,13.105887907945357,301199.04266781366,0.0353473326635557,9.611065165407976e-07,0.5493214057102092,9,22691.212479202324,1401.125448857134,68682.29274991102,"[12, 27, 37, 53, 78, 96, 154, 160, 180]","[2929.9210386774575, 62244.72371876138, 2165.259338666663, 4072.571288289426, 1401.125448857134, 44278.65893198857, 1865.868218699994, 16580.491578969253, 68682.29274991102]","[0, 0, 34, 49, 69, 69, 116, 116, 116]","[16, 116, 116, 116, 79, 116, 156, 168, 194]",0.05,30,179037696058.70944,67138.83121806887,-67138.83121806887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015067403793,,,22337.502334274788,,,67758.62608324435,,66215.1645514022,0.0,-9.5,,,0.0,-9.5,,,0.0,0.0,-14.0,,14.0,,,,,,,22337.502334274788,196085.57897948756,22337.502334274788,,66215.1645514022,,,,,,,1384.125448857134,,,,,,0.0,,,0.04354905668587336,0.009524088667509303,0.8484785445395215,0.030524641327626167,0.6844161298343647,0.2240850059031879,1.0,0.03462179004019357,,1.0,0.42280262409573316,0.42280262409573316,0.4228026240957334,0.8022207469452608,0.3188727309242379,0.45454545454545453,,0.3488372093023256,0.631578947368421,0.10912615292901912,0.10912615292901912,0.6,1.6845793592777736,0.6552604709622588,6,1.3859621742880757,0.6315199174300379,4,0,0,0.47022627226924474,0.6749933537108895,5,1,0.11111111111111112,0.353844351569229,0.6719579216689193,9,2.160246899469287,0.8456966500379081,6.0,5.49618320610687,0.7085626107332397,3,morl,0.21428571428571427,,,6,3.75,0.043785891133087534,0.01850128568047476,0.7746470004459147,0.03451110398714999,0.6881351305266962,0.22408500590318794,1.0,0.03462179004019357,,1.0000000000000002,0.47889375608436274,0.47889375608436274,0.4788937560843629,0.5904315680303732,0.31887273092423807,0.6842105263157894,,0.2380952380952381,0.4444444444444445,0.10912615292901909,0.10912615292901909,0.3870967741935484,1.6486645247438334,0.668863846833232,9,1.348280188945893,0.6347175578405558,8,0.7071067811865476,0.9747461863861947,8.5,8.470588235294118,0.8355873789073831,2,6.5,6.5,6.363961030678928,2,0.2549019607843137,0.7260465235938335,0.6037546703728304,1,1.75,1
smoothed,gaus4,20.581622850452394,0.6872863247863248,800.0094982197102,-35.60345025895943,195,96,46459.92264868665,,False,"[28, 37, 52, 70, 81, 113, 154, 160, 172]","[67127.19674137498, 1169.240809888077, 43.51002262792463, 16665.65927997848, 3217.196771247427, 46916.6013236989, 361.5239242684911, 107254.3345135222, 2313.0139735987614]",9,13.177167805794825,436668.73907660466,0.02090039310121668,2.14287012245861e-06,0.46831792870674693,9,25629.466636592304,43.51002262792463,118158.40441135962,"[28, 37, 52, 77, 85, 96, 154, 160, 172]","[88218.03702811888, 1169.240809888077, 43.51002262792463, 3217.196771247427, 518.6135082430665, 16665.65927997848, 361.5239242684911, 118158.40441135962, 2313.0139735987614]","[0, 35, 51, 70, 81, 70, 113, 113, 169]","[113, 113, 113, 81, 86, 113, 156, 194, 194]",0.05,30,611636330923.24,108566.5779499447,-108566.5779499447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015067403793,,,25275.756491664768,,,117234.73774469295,,107642.91128327802,0.0,-14.0,,,0.0,-14.0,,,0.0,0.0,-9.5,,14.0,,,,,,,25275.756491664768,222529.86639599738,25275.756491664768,,107642.91128327802,,,,,,,26.510022627924627,,,,,,0.0,,,0.2243306865115729,0.03287053947113018,0.5161185896287076,0.1510706596687561,0.768254067725838,0.3789846517119246,0.8516078828535687,0.08555157548906245,,0.0,0.5178288111073011,0.5178288111073011,0.5178288111073013,0.9231907766813635,0.6488187934905097,0.45454545454545453,,0.5581395348837209,0.39473684210526316,0.28377851265579923,0.28377851265579923,0.375,1.7176679396619075,0.6681311253761153,5,1.372951529291155,0.6255915583401606,5,0,0,0.45628957169498446,0.6549877078866213,6,1,0.11111111111111112,0.3705430260770145,0.7036690584077574,7,0.9574271077563381,0.9316123494459758,5.75,5.63758389261745,0.760449031865845,1,gaus,0.5267857142857143,1.0,0.33125,1,1.0,0.22439595966973352,0.041636135489038974,0.47120781061969624,0.15456143958959817,0.7709337833704143,0.3789846517119246,0.8518858692014087,0.08555157548906243,,0.01204014459170362,0.564685447894542,0.564685447894542,0.5646854478945422,0.6787928650168102,0.6488187934905099,0.6842105263157894,,0.38095238095238093,0.2777777777777778,0.2837785126557992,0.2837785126557992,0.24193548387096775,1.6770905039721036,0.6803962777985775,8,1.3518507649604141,0.6363984453197323,7,0.7071067811865476,0.9747461863861947,7.5,7.466666666666667,0.8534445217645259,1,13.1875,11.5,8.76522484974953,16,0.5171568627450981,1.0,0.33799019607843134,5,2.0,2
raw,gaus6,20.51834858471093,0.66875,778.6393869298324,-33.44113029444749,195,96,46178.468887802475,,False,"[13, 27, 37, 52, 70, 81, 87, 114, 154, 160, 176]","[315.01627248363366, 68213.89516908849, 1680.6593209636121, 1049.7071615664427, 15945.367979912658, 5019.914134344333, 2448.8522529851507, 76888.56251231497, 1248.2208210980752, 89852.07189864595, 8008.135296596694]",11,13.223701670056789,513658.9143173607,0.02191364258675358,4.860457175056514e-07,0.3235654289299466,10,21679.235910811585,315.01627248363366,99010.22523522323,"[13, 27, 37, 52, 76, 84, 95, 154, 160, 176]","[315.01627248363366, 82066.26063294201, 1680.6593209636121, 1049.7071615664427, 5019.914134344333, 2448.8522529851507, 15945.367979912658, 1248.2208210980752, 99010.22523522323, 8008.135296596694]","[0, 0, 35, 50, 70, 81, 70, 114, 114, 168]","[14, 114, 114, 114, 81, 87, 114, 155, 194, 194]",0.05,30,529802219804.7304,90098.65944311046,-90098.65944311046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015067403793,,,21137.360910811585,,,97907.22523522323,,88994.65944311046,0.0,-10.0,,,0.0,-5.5,,,0.0,0.0,-5.5,,14.0,,,,,,,21137.360910811585,203787.35910811584,21137.360910811585,,88994.65944311046,,,,,,,281.01627248363366,,,,,,0.0,,,0.22197595001452597,0.06995033582872755,0.5546588230915426,0.25151150572391545,0.7629142015796543,0.3449999999999999,0.7625999610627894,0.10470718183540377,,0.27789052090057653,0.6590898514029485,0.6590898514029485,0.6590898514029485,0.6161663995480902,0.5242083678308075,0.7222222222222222,,0.42592592592592593,0.5925925925925926,0.20028078220297849,0.20028078220297849,0.3709677419354839,1.7917820082313045,0.7167602257290882,4,1.4125088904189635,0.6483346609723192,6,0,0,0.49231707413087505,0.7117503040444931,5,1,0.11111111111111112,0.37860918933651433,0.7092701134998001,8,1.707825127659933,0.8780124908814334,5.75,5.393258426966292,0.7336491025835739,3,gaus,0.6704545454545454,1.0,0.23068181818181818,1,2.5,0.2219759500145259,0.009201236008460265,0.5938268942721854,0.2329342514211343,0.7629142015796542,0.2970484061393152,0.5872072223274273,0.11449600520750143,,0.19724867489423317,0.44385180340936164,0.44385180340936164,0.4438518034093618,0.6161663995480902,0.5199275682597115,0.6842105263157894,,0.5079365079365079,0.5925925925925927,0.2051606430974115,0.2051606430974115,0.3709677419354839,1.566683135645884,0.6356039649968672,12,1.3230741723402988,0.6228515514763302,12,0.0,1.0,12.0,12.0,0.7857142857142857,3,13.1875,11.5,8.76522484974953,16,0.5171568627450981,1.0,0.33799019607843134,5,3.5,3
smoothed,gaus2,21.591835934511963,0.6626068376068376,1245.5384454114624,-40.22396999027099,195,96,86080.90474237542,,False,"[31, 41, 53, 78, 96, 153, 159]","[679.3225245839567, 46401.22395101801, 2010.1739226148493, 727.7854289332827, 29360.392309538678, 152722.81253577975, 975.2203240272938]",7,13.129255550668255,450348.4803010909,0.022111589237799396,2.9518541633615813e-06,0.527538224761161,7,33268.1329994994,679.3225245839567,152722.81253577975,"[31, 41, 53, 78, 96, 153, 159]","[679.3225245839567, 46401.22395101801, 2010.1739226148493, 727.7854289332827, 29360.392309538678, 152722.81253577975, 975.2203240272938]","[0, 0, 49, 69, 69, 0, 157]","[33, 113, 113, 80, 113, 194, 194]",0.05,30,1767970825920.5042,163366.05995862625,-163366.05995862625,0.49230769230769234,16777458.29409052,0.022792502658562763,0.06433298584898697,32436645.92276245,3116203090936.703,14.0,3796656.012594178,0.010256410256410256,"[0.0, 0.005128205128205128, 0.010256410256410256, 0.015384615384615385, 0.020512820512820513, 0.02564102564102564, 0.03076923076923077, 0.035897435897435895, 0.041025641025641026, 0.046153846153846156, 0.05128205128205128, 0.05641025641025641, 0.06153846153846154, 0.06666666666666667, 0.07179487179487179, 0.07692307692307693, 0.08205128205128205, 0.08717948717948718, 0.09230769230769231, 0.09743589743589744, 0.10256410256410256, 0.1076923076923077, 0.11282051282051282, 0.11794871794871795, 0.12307692307692308, 0.1282051282051282, 0.13333333333333333, 0.13846153846153847, 0.14358974358974358, 0.14871794871794872, 0.15384615384615385, 0.15897435897435896, 0.1641025641025641, 0.16923076923076924, 0.17435897435897435, 0.1794871794871795, 0.18461538461538463, 0.18974358974358974, 0.19487179487179487, 0.2, 0.20512820512820512, 0.21025641025641026, 0.2153846153846154, 0.2205128205128205, 0.22564102564102564, 0.23076923076923078, 0.2358974358974359, 0.24102564102564103]","[16777458.29409052, 3180040.6642715675, 3796656.012594178, 2088513.3078206764, 870464.8858461918, 1028881.9184165628, 359955.0914110098, 562065.212920233, 366885.13798872515, 336191.9113719756, 144619.6293179388, 168270.3669075505, 223161.02607742115, 171904.59880918558, 130855.14388989288, 97004.04456506738, 73373.95068013044, 100941.09769830438, 69574.98643734926, 59385.62002599793, 94541.82201235279, 58509.83143984075, 18843.67339266253, 49010.88261570384, 61970.04988064778, 42184.56211715748, 33535.61324803147, 48899.339051631614, 47190.862705547705, 40032.219303836224, 54456.68764296604, 24227.339943406238, 29093.076408112036, 15760.780609320771, 39385.32595367839, 33049.60893307479, 35350.61944615895, 27510.094580650293, 17725.50409998192, 26641.538370825056, 29278.475440941467, 26013.65323280729, 20901.00204399046, 24858.619273348944, 24921.743572662566, 24253.69837210364, 22835.137575537614, 21696.036560244385]",3.0,0.7,50454.46084822631,15.0,0.5,90815990170.0662,0.017388846618232517,0.011596879146924406,150982820940.88336,1.862265805588242e+19,"[0.015625, 0.015625, 0.03125, 0.015625, 0.015625]",2.0,90815990170.0662,0.015625,"[0.0, 0.015625, 0.03125, 0.046875, 0.0625, 0.078125, 0.09375, 0.109375, 0.125, 0.140625, 0.15625, 0.171875, 0.1875, 0.203125, 0.21875, 0.234375]","[24388444495.71151, 90815990170.0662, 31922997637.623917, 2938589545.613605, 517827458.9121329, 189424102.98133916, 106992167.18640247, 45142431.027729996, 17362788.06784496, 10548575.9963241, 11017083.218977751, 10043188.270957597, 5021229.35710707, 1767758.8537163013, 447882.75845478964, 154579.49397325076]",3.0,0.7,blackman,64.0,32.0,50454.46084822631,15.0,CWT,mdp.39015067403793,90813856838.11899,0.0,32914.422854571865,3116128712509.244,0.0,151799.1458691131,150968276845.55988,162442.3932919596,0.0,-1.5,0.0,3787485.5053697326,0.0,-6.0,,0.0,0.0,0.0,-15.0,0.015625,16.0,,1.862265802545572e+19,16692822.29409052,0.010256410256410256,0.0,0.19999999999999996,32914.422854571865,224741.59766316248,32914.42285457187,0.0,162442.3932919596,0.0,50288.36084822631,0.0,2.0,0.0,50288.36084822631,662.3225245839567,0.06905670116451866,90813856838.11899,0.05775415931071959,0.07831244572761138,32164206.7753684,0.0,0.0,0.06644449944585602,0.5653253785448574,0.04885250576056181,0.22912912205777664,0.07004316440705265,0.897898811274039,0.26989374262101534,0.9600948939627011,0.09069446946482485,,0.4683303457460024,0.7648712041198131,0.7648712041198131,0.7648712041198138,0.9333083946357876,0.8793217570949091,0.6363636363636364,,0.3023255813953488,0.8157894736842106,0.5148038422872885,0.5148038422872885,1.0,2.5074767602653067,0.9753475808719309,2,1.3339750687862542,0.6078317582702822,7,0,0,0.6966383738211595,1.0,1,1,0.11111111111111112,0.38593595545604803,0.7329005574780715,6,2.943920288775949,0.7897199793731465,4.0,2.2105263157894735,0.7520028468294304,2,gaus,0.5267857142857143,1.0,0.33125,1,1.75,0.5650670486412355,0.05747324892703499,0.20919113189030675,0.07386712771555491,0.8989714043333233,0.2698937426210154,0.9601696491107561,0.09069446946482483,,0.4747317252582417,0.7877206502098635,0.7877206502098635,0.7877206502098641,0.6861831735652703,0.8793217570949092,0.7894736842105262,,0.20634920634920634,0.5740740740740741,0.5148038422872885,0.5148038422872885,0.6451612903225806,2.3629061648024092,0.9586319614302781,2,1.3269991789077429,0.6246992909917672,11,6.363961030678928,0.7727156774757526,6.5,3.3846153846153846,0.7702864101664477,4,13.1875,11.5,8.76522484974953,16,0.5171568627450981,1.0,0.33799019607843134,5,4.25,4
raw,fbsp,18.61401202300933,0.6993589743589743,1271.4281798662125,-38.11406801311207,195,96,77910.67276395134,-409988.213628028,True,"[2, 17, 24, 30, 37, 44, 53, 61, 70, 76, 82, 90, 97, 107, 128, 135, 145, 152, 163, 177, 185, 192]","[4482.317877904134, 7664.8497976442595, 5182.20354176189, 2243.075092473635, 7320.1302409130585, 531.4919959509425, 13226.691431790045, 938.4473285385393, 72.11552197689161, 17055.427815099967, 4609.631936055706, 5766.735974033909, 26980.80333339385, 1696.421620086343, 1812.1974641019333, 3139.6097006321943, 4116.975637136551, 8959.595376831523, 13643.352936220457, 213.46917622347246, 4368.574799119873, 2735.756921373657]",22,13.371796103877365,882785.2438253942,0.01800121578178411,1.603247193733429e-08,0.21602312786322378,23,14420.173359140223,114.17994484733208,116084.6888767699,"[7, 17, 24, 30, 37, 44, 53, 61, 68, 76, 82, 90, 97, 107, 113, 128, 135, 145, 152, 160, 166, 174, 180]","[164.78130064428115, 6041.080022152317, 808.9692003909295, 90381.35139981298, 10148.856499417787, 519.2097421609942, 12415.4098732153, 3018.156928191216, 1244.853220341447, 18143.302493309773, 5466.200027437768, 5796.70366399104, 27059.509052177433, 5371.242555136107, 1613.9483745582693, 1199.0066446513083, 2530.1490321077144, 2636.956015140997, 116084.6888767699, 10298.492675549584, 3530.707766269319, 7076.23195195134, 114.17994484733208]","[0, 0, 0, 0, 34, 43, 49, 59, 67, 71, 81, 81, 71, 105, 112, 114, 114, 114, 114, 156, 165, 168, 179]","[8, 18, 25, 114, 114, 114, 114, 114, 71, 81, 84, 91, 114, 114, 114, 129, 136, 147, 194, 194, 194, 194, 194]",0.05,30,1553703015339.6406,153559.0853051414,-153559.0853051414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015067403793,,,13878.298359140223,,,114981.6888767699,,152455.0853051414,0.0,8.5,,,0.0,5.5,,,0.0,0.0,10.0,,1.0,,,,,,,13878.298359140223,318658.9872602251,13878.298359140226,,152455.0853051414,,,,,,,80.17994484733208,,,,,,0.0,,,0.4948173557220163,0.0,0.26411624246605997,0.5208258896451619,0.5215525257902903,0.5041666666666667,0.5072254499104484,0.24613999134093179,0.0,0.07198668194594277,0.34435629636613985,0.34435629636613985,0.34435629636614,1.0,0.6419512244058161,0.0,,1.0,1.0,0.46985894165271497,0.46985894165271497,0.967741935483871,1.7339842472740774,0.6936395916340782,5,1.3311170030811856,0.6109761834144303,9,0,0,0.5545388845199566,0.8017053244768226,4,0,0.0,0.339871569060175,0.636700727695245,11,3.304037933599835,0.7639972904571546,7.25,6.134779240898528,0.6230700738000059,7,fbsp,0.6363636363636364,,,4,6.25,0.49481735572201624,0.0,0.32883773890584017,0.48235641696015774,0.5215525257902902,0.43234946871310503,0.39056708988104777,0.25326892094980513,0.05309068051372062,0.05109666057645068,0.23190034383344782,0.23190034383344782,0.23190034383344799,0.9999999999999999,0.6337936717140173,0.0,,1.0,1.0,0.4726990442999581,0.4726990442999581,0.967741935483871,1.6235641482968044,0.6586806142256579,10,1.2994127854584043,0.6117126963481998,16,4.242640687119285,0.8484771183171684,13.0,12.307692307692307,0.692095702015727,7,11.0,11.0,5.656854249492381,2,0.43137254901960786,0.6453746876389632,0.5044268093945855,2,5.75,5
smoothed,gaus8,20.458378296757218,0.6493589743589744,698.76060110345,-33.98191555715949,195,96,41005.423569028644,,False,"[13, 27, 37, 52, 70, 80, 86, 115, 154, 160, 176]","[127.41230352665298, 61871.550434621226, 1024.6242011292998, 890.7739520138311, 21863.1963467562, 3325.7703055417114, 733.7384532354772, 80997.74647267161, 284.5965105634241, 74049.5889380832, 10055.759579776539]",11,13.142047220430266,500891.7430147755,0.024736697345976593,1.3273784716327274e-06,0.4444906487743482,10,21003.797816037375,127.41230352665298,92169.31403551939,"[13, 27, 37, 52, 77, 85, 95, 154, 160, 176]","[127.41230352665298, 79562.79247231121, 1024.6242011292998, 890.7739520138311, 3325.7703055417114, 733.7384532354772, 21863.1963467562, 284.5965105634241, 92169.31403551939, 10055.759579776539]","[0, 0, 35, 50, 70, 70, 70, 115, 115, 168]","[14, 115, 115, 115, 80, 86, 115, 155, 194, 194]",0.05,30,420140316367.63196,81351.1170776904,-81351.1170776904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015067403793,,,20650.08767110984,,,91245.64736885272,,80427.45041102373,0.0,-13.5,,,0.0,-4.5,,,0.0,0.0,-9.0,,13.0,,,,,,,20650.08767110984,201902.6448270404,20650.08767110983,,80427.45041102373,,,,,,,110.41230352665298,,,,,,0.0,,,0.17738699315572126,0.01676001143368601,0.6168352638945388,0.09167597960835253,0.7524375941425465,0.21133412042502975,0.8079581452644253,0.10969619157783554,,0.06180121356735595,0.36822988369998394,0.36822988369998394,0.3682298836999839,0.8288310547774168,0.4755028688708908,0.36363636363636365,,0.5813953488372093,0.8947368421052633,0.1690427416481579,0.1690427416481579,0.4,1.4427990824324022,0.5612138134376133,9,1.3019974294959111,0.5932610026617331,9,0,0,0.42072323551589724,0.6039334772906223,7,1,0.11111111111111112,0.3424549818822114,0.6503292672900463,10,1.2583057392117916,0.9101210186277292,8.75,8.600682593856655,0.6425605093138647,6,gaus,0.5267857142857143,1.0,0.33125,1,4.75,0.1774968157548446,0.02567162552484655,0.5631604829848609,0.09541098922736807,0.7553133764475959,0.2113341204250298,0.8083179016642731,0.10969619157783553,,0.07309726261176586,0.42962430865615964,0.42962430865615964,0.42962430865615964,0.6098687899471329,0.47550286887089094,0.631578947368421,,0.39682539682539686,0.6296296296296297,0.16904274164815786,0.16904274164815786,0.25806451612903225,1.425783967461026,0.5784411169866756,14,1.2759482904791613,0.6006665302239085,18,2.8284271247461903,0.8989847455447789,16.0,15.75,0.6637780870581038,8,13.1875,11.5,8.76522484974953,16,0.5171568627450981,1.0,0.33799019607843134,5,7.25,6
