signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,scales_used,emd_value,kl_divergence,is_complex,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,fft_frequency_max,fft_amplitude_max,fft_spectral_centroid,fft_spectral_bandwidth,fft_spectral_magnitude,fft_variance_magnitude,fft_num_peaks,fft_peak_amplitude,fft_dominant_frequency,fft_positive_frequencies,fft_positive_amplitudes,fft_snr_threshold,fft_stationarity_threshold,fft_dynamic_cutoff,fft_dynamic_cutoff_percentile,wavelet_type,htid,fft_frequency_max_diff,fft_stationarity_threshold_diff,fft_amplitude_max_diff,fft_spectral_magnitude_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,fft_snr_threshold_diff,lower_envelope_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,max_autocorrelation_diff,prominence_threshold_diff,prominence_min_diff,fft_peak_amplitude_diff,fft_dynamic_cutoff_diff,avg_prominence_diff,fft_num_peaks_diff,prominence_max_diff,upper_envelope_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,fft_dominant_frequency_diff,fft_dynamic_cutoff_percentile_diff,fft_spectral_centroid_diff,relative_num_peaks_diff,fft_variance_magnitude_diff,fft_spectral_bandwidth_diff,distance_factor_diff,emd_value_normalized,smoothness_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,relative_num_peaks_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,reconstruction_signal_num_missing_metrics,reconstruction_signal_missing_metrics_count,reconstruction_signal_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,across_emd_value_normalized,across_wavelet_psnr_normalized,across_wavelet_entropy_normalized,across_wavelet_energy_entropy_normalized,across_wavelet_sparsity_normalized,across_correlation_normalized,across_avg_variance_across_levels_normalized,across_kl_divergence_normalized,across_prominence_min_diff_normalized,across_avg_prominence_diff_normalized,across_relative_prominences_avg_diff_normalized,across_relative_prominences_wasserstein_normalized,across_relative_prominences_total_diff_normalized,across_prominence_max_diff_normalized,across_relative_num_peaks_diff_normalized,across_max_autocorrelation_diff_normalized,across_relative_right_bases_global_alignment_score_normalized,across_relative_left_bases_global_alignment_score_normalized,across_upper_envelope_diff_normalized,across_lower_envelope_diff_normalized,across_relative_peaks_global_alignment_score_normalized,across_reconstruction_signal_weighted_score,across_reconstruction_signal_normalized_weighted_score,across_reconstruction_signal_normalized_weighted_rank,across_wavelet_signal_weighted_score,across_wavelet_signal_normalized_weighted_score,across_wavelet_signal_normalized_weighted_rank,across_rank_variability,across_normalized_rank_stability,across_average_rank,across_harmonic_average_rank,across_stability_score_weighted,across_stability_rank,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,across_normalized_family_mean_rank,across_normalized_family_std_dev,across_final_family_stability_score,across_final_family_stability_rank,across_family_informed_rank,across_top_wavelet_rank
smoothed,morl,20.95815250892208,0.6307589210923102,410.4728502616503,-30.2995114309955,470,127,32273.58179136383,,False,14.489546616269733,296937.75390264497,0.017136604037870262,7.642401208196125e-08,0.21071588866203558,20,27362.253316823462,1267.4993392022752,151775.65091151567,"[18, 51, 66, 94, 112, 140, 162, 178, 195, 210, 234, 259, 283, 302, 329, 352, 376, 403, 434, 456]","[151775.65091151567, 3436.8463687967455, 1267.4993392022752, 11864.60870323172, 18316.867328752647, 8352.609366848994, 84777.0234813416, 2847.4762962180685, 11426.458120754101, 7409.23028255707, 18554.439010084952, 13961.070731639302, 69865.73942707943, 6383.03925214272, 19770.427232194725, 14583.554594306846, 7601.755431298479, 5406.995599605712, 82377.52885258343, 7266.246006314817]","[0, 50, 65, 85, 85, 85, 85, 177, 190, 207, 225, 225, 225, 298, 311, 344, 373, 380, 380, 453]","[380, 85, 85, 98, 120, 143, 380, 225, 225, 225, 238, 263, 380, 380, 380, 380, 380, 406, 469, 469]",0.05,30,898160443535.2771,127022.18414830085,-127022.18414830085,,,,,,,,,,,,,,,,CWT,mdp.39015050659344,,,,,0.0,-11.0,,125692.85081496752,0.0,14.5,26493.44379301394,529000.0663364693,26493.443793013943,,0.0,1139.1660058689417,,,26493.44379301394,,150446.31757818232,125692.85081496752,0.0,2.5,,,,1.0,,,0.0,0.040679924546039095,0.0,0.8623155826856534,0.5000112939451303,0.6928431552223445,0.4064135021097045,1.0,0.005522645267194121,,0.5949024593325261,0.7138635186234807,0.7138635186234807,0.7132441508189524,1.0,0.34509914268676806,0.0,,1.0,0.2647058823529412,0.06379308116026461,0.06379308116026461,1.0,1.845299486262316,0.7421641534947423,3,1.6907950105097007,0.753348924052477,3,0,0,0.5394387362298898,0.80132464542098,2,1,0.11111111111111112,0.4329177074164526,0.7798150874313592,4,0.816496580927726,0.9371925706978672,3.0,2.823529411764706,0.8532116699643182,1,morl,0.09090909090909091,,,5,2.0,0.041665618275976576,0.7945830702521256,0.49719865525634704,0.7019212024079299,0.3421956353162732,1.0,0.005354769561185357,,0.5949024593325261,0.75362394997796,0.75362394997796,0.7462993972987458,0.8049590107791678,0.4196020038029586,0.0,,1.0,0.2571428571428571,0.062313172424882574,0.062313172424882574,0.9999999999999999,1.8174549889514595,0.7565012047368168,5,1.62782961841719,0.7863657200404476,6,0.7071067811865476,0.9738108599560538,5.5,5.454545454545454,0.885053578126175,1,1.5,1.5,0.7071067811865476,2,0.05555555555555555,0.09837387536759296,0.9315989485008331,1,1.0,1
raw,morl,21.010347472331024,0.6507287652873178,440.77675416386415,-28.827331737003774,470,127,31140.310342849738,,False,14.469656263702474,312690.591583474,0.018179444847189613,8.66739778319456e-09,0.16065621627281593,23,27457.512210661633,1452.9675208234348,158337.32687060419,"[22, 38, 57, 77, 92, 115, 140, 156, 171, 187, 202, 220, 237, 258, 284, 303, 330, 351, 377, 404, 420, 435, 457]","[158337.32687060419, 4434.570630004906, 1452.9675208234348, 2517.6536684587772, 19109.502142324673, 22301.99951909362, 15037.270027303199, 18944.955873484047, 8871.997983940437, 76214.33261232683, 5876.999389184801, 4631.750515095868, 18401.479990786815, 20485.0969137535, 71127.73550898788, 14238.302711453442, 27677.098357813753, 21096.992433306015, 22718.181960361275, 18943.99942410776, 3099.8997135127247, 20450.96580633345, 55551.701272156235]","[0, 37, 56, 76, 84, 84, 84, 84, 165, 84, 200, 217, 215, 215, 215, 297, 310, 345, 362, 392, 392, 84, 84]","[84, 84, 84, 84, 97, 121, 142, 165, 176, 392, 215, 221, 239, 273, 392, 392, 392, 392, 392, 405, 421, 449, 469]",0.05,30,854059699349.9233,126042.5093005758,-126042.5093005758,,,,,,,,,,,,,,,,CWT,mdp.39015050659344,,,,,0.0,-3.5,,124507.5093005758,0.0,-3.5,26126.797924947346,603577.7808452175,26126.79792494735,,0.0,996.9675208234348,,,26126.797924947346,,156802.32687060419,124507.5093005758,0.0,-12.5,,,,2.0,,,0.0,0.034627482547219396,0.00035161265606651476,0.8639712362426051,0.47811640561049323,0.7072147225128808,0.47424393486208055,1.0,0.0029440754122226423,,0.5392950623410967,0.9284642124161,0.9284642124161,0.9257812546544116,0.9321163118280376,0.45438347650649447,0.2,,0.47058823529411764,0.6206896551724138,0.060056889076874675,0.060056889076874675,0.4864864864864865,2.000299158690279,0.785168348797688,3,1.712417238477957,0.810547528882582,3,0,0,0.5505318904390839,0.7900524947629001,3,1,0.11111111111111112,0.43962812817489044,0.8408005987709148,3,0.0,1.0,3.0,3.0,0.8928571428571428,1,morl,0.08333333333333333,,,6,2.25,0.03462748254721937,0.8721494516231489,0.4781164056104933,0.7072147225128808,0.4742439348620805,0.7621471247085279,0.00831280932363243,,0.5204619693079715,0.7415228687446045,0.7415228687446045,0.7338385611015403,0.9321163118280378,0.4461622380242052,0.11111111111111112,,0.21052631578947367,0.6857142857142857,0.06005688907687465,0.06005688907687465,0.39999999999999997,1.7484344155213083,0.7277719392150009,8,1.6242250273574383,0.7846244279469242,7,0.7071067811865476,0.9738108599560538,7.5,7.466666666666667,0.848016541089138,2,1.5,1.5,0.7071067811865476,2,0.05555555555555555,0.09837387536759296,0.9315989485008331,1,1.75,2
smoothed,mexh,23.532440859432025,0.5904171553023957,1732.1961255606147,-43.39142065136321,470,127,182677.63901782522,,False,14.757545481733933,865755.3389042655,0.015078762123670552,1.1466074774541379e-07,0.13643650372897986,20,26092.981468545895,19.30383845497272,290668.06527811923,"[53, 70, 88, 103, 125, 144, 167, 186, 203, 223, 245, 260, 284, 305, 323, 339, 354, 376, 403, 419]","[966.1067147974973, 290668.06527811923, 6311.608490253915, 512.204369724961, 455.8694700545748, 789.3762200776255, 564.0524562641222, 705.2988213305798, 19.30383845497272, 3023.996687854502, 193.66013966756873, 3183.4134116200876, 1014.8651845510758, 2010.939572484931, 492.8828131685732, 783.0071652918996, 198271.43069894332, 7931.700350813044, 3772.1921478518634, 189.65553959357203]","[0, 0, 85, 102, 124, 143, 166, 185, 202, 218, 218, 218, 218, 218, 218, 218, 218, 363, 392, 418]","[54, 469, 469, 469, 218, 218, 218, 218, 218, 225, 246, 263, 287, 311, 324, 340, 469, 469, 469, 469]",0.05,30,18252426445025.004,287038.2595671536,-287038.2595671536,0.4978723404255319,86159811.66667016,0.01407480233085022,0.052311618627502984,158435319.60335645,33592599107106.586,36.0,18295456.69553376,0.00425531914893617,"[0.0, 0.002127659574468085, 0.00425531914893617, 0.006382978723404256, 0.00851063829787234, 0.010638297872340425, 0.012765957446808512, 0.014893617021276596, 0.01702127659574468, 0.019148936170212766, 0.02127659574468085, 0.023404255319148935, 0.025531914893617023, 0.027659574468085108, 0.029787234042553193, 0.031914893617021274, 0.03404255319148936, 0.03617021276595745, 0.03829787234042553, 0.04042553191489362, 0.0425531914893617, 0.04468085106382979, 0.04680851063829787, 0.04893617021276596, 0.05106382978723405, 0.05319148936170213, 0.055319148936170216, 0.0574468085106383, 0.059574468085106386, 0.06170212765957447, 0.06382978723404255, 0.06595744680851064, 0.06808510638297872, 0.07021276595744681, 0.0723404255319149, 0.07446808510638298, 0.07659574468085106, 0.07872340425531915, 0.08085106382978724, 0.08297872340425531, 0.0851063829787234, 0.08723404255319149, 0.08936170212765958, 0.09148936170212767, 0.09361702127659574, 0.09574468085106383, 0.09787234042553192, 0.1, 0.1021276595744681, 0.10425531914893617, 0.10638297872340426, 0.10851063829787234, 0.11063829787234043, 0.1127659574468085, 0.1148936170212766, 0.11702127659574468, 0.11914893617021277, 0.12127659574468086, 0.12340425531914893, 0.12553191489361704, 0.1276595744680851, 0.12978723404255318, 0.13191489361702127, 0.13404255319148936, 0.13617021276595745, 0.13829787234042554, 0.14042553191489363, 0.1425531914893617, 0.1446808510638298, 0.14680851063829786, 0.14893617021276595, 0.15106382978723404, 0.15319148936170213, 0.15531914893617021, 0.1574468085106383, 0.1595744680851064, 0.16170212765957448, 0.16382978723404257, 0.16595744680851063, 0.16808510638297872, 0.1702127659574468, 0.1723404255319149, 0.17446808510638298, 0.17659574468085107, 0.17872340425531916, 0.18085106382978725, 0.18297872340425533, 0.1851063829787234, 0.18723404255319148, 0.18936170212765957, 0.19148936170212766, 0.19361702127659575, 0.19574468085106383, 0.19787234042553192, 0.2, 0.2021276595744681, 0.2042553191489362, 0.20638297872340425, 0.20851063829787234, 0.21063829787234042, 0.2127659574468085, 0.2148936170212766, 0.2170212765957447, 0.21914893617021278, 0.22127659574468087, 0.22340425531914895, 0.225531914893617, 0.2276595744680851, 0.2297872340425532, 0.23191489361702128, 0.23404255319148937, 0.23617021276595745, 0.23829787234042554, 0.24042553191489363, 0.24255319148936172, 0.24468085106382978, 0.24680851063829787]","[86159811.66667016, 11117160.06436409, 18295456.69553376, 5675583.457755867, 6118060.549676294, 3985669.8029446807, 3545690.6773286574, 2597408.2830869197, 2018411.5680131451, 1575425.5538643696, 1482857.6657558465, 1081464.0372724463, 845224.9037754855, 378110.77167941775, 545889.457502753, 657689.673465402, 455798.37017378747, 622270.6522012159, 689419.590287944, 679159.1863895033, 360308.3244683304, 296468.6279959522, 371718.8544467084, 393790.92091643426, 185648.50245740337, 210029.72191741058, 239178.47528167538, 275341.4284460614, 145395.49672208526, 79937.61746646752, 210323.0107458075, 134181.02598473712, 195427.54167881486, 160150.00843291308, 58325.66131662367, 164251.4160730662, 92510.43632697243, 164160.36737843673, 106413.76484232862, 241310.76993530683, 224233.63819235214, 65249.80271114664, 61402.37285088674, 135901.78806720913, 26088.936388151487, 71250.79612527844, 31505.76395449897, 121599.02090428233, 87812.35514408637, 82584.01080711429, 56253.024176253886, 69766.24024754835, 139919.39464062778, 19111.979474125244, 58374.70391343438, 88938.82897914578, 11182.722883230956, 149795.57010454359, 11523.191401903228, 116238.39479065812, 75827.89263539341, 76862.50730248411, 78932.30486666573, 56556.83333382106, 33560.2689450815, 30165.51758026996, 56440.10759612224, 73937.72252188624, 62539.909135253176, 41288.18454107392, 28473.93731880145, 22507.888028760193, 28171.02925654505, 35819.48543421654, 31018.251418021893, 60404.29935724312, 29572.499521270558, 88937.21357856931, 44234.9682637208, 44883.315986114576, 24827.315519832693, 64400.87994114742, 54779.937294003044, 20171.380903029516, 15025.402598196022, 8308.833542501268, 11901.155960316739, 49560.660955062616, 21390.078185950868, 36703.22824221621, 26781.289933767832, 20637.0203686295, 36034.420822108776, 10901.25962089056, 24832.541252421168, 17682.942376915234, 31678.85854260147, 39525.50972145464, 37623.042868579694, 14044.032052640898, 18467.62552485226, 39982.63575133605, 42234.06942499376, 18260.885112079493, 25996.273515450066, 17808.53431642791, 18610.456917797375, 12735.95579886902, 20326.453104493987, 47069.24171135066, 37016.81738062033, 47225.37426475792, 12222.965867320165, 13509.275971924593, 50392.739002093775, 49593.917206946164, 6871.824295406147]",3.0,0.7,88052.18205320399,15.0,CWT,mdp.39015050659344,0.0,0.19999999999999996,85843968.66667016,157214782.12736532,0.0,-11.0,0.0,285708.92623382027,0.0,-6.5,25224.171944736372,503614.6293709179,25451.08530581797,,0.0,109.02949487836065,18268898.180129737,87616.81538653732,25224.171944736372,2.0,289338.7319447859,285708.92623382027,0.0,2.5,0.08085106382978723,0.0,0.11566500278971108,1.0,33592173350730.996,0.08457724489363612,0.0,1.0,0.008087043702873012,0.11372799821425605,0.7746315421893781,0.9647863715103394,0.0,0.6470698980240617,0.11568281236912542,,0.05562901597774558,0.6652108380553512,0.6652108380553512,0.673202840102447,0.9437279240134067,0.9999999999999999,0.0,,1.0,0.2647058823529412,0.37823046315448816,0.37823046315448816,0.3,1.9274027951610615,0.7751854235929516,2,1.5454729530465492,0.6885993743137688,5,0,0,0.5270123554055182,0.7828655238578001,3,1,0.11111111111111112,0.44744265269569866,0.8059788854900397,3,1.2583057392117916,0.9032072508298622,3.25,2.9268292682926833,0.8266036254149312,2,mexh,0.18181818181818182,,,4,2.5,0.9757438307850431,0.1047949773947826,0.7543092941100524,0.9630009359561309,0.07544034562977708,0.6470698980240617,0.11216632111177324,,0.0556290159777456,0.7117318598687418,0.7117318598687418,0.7108737741048772,0.7616760586030578,1.0,0.0,,1.0,0.2571428571428571,0.3669018517190587,0.3669018517190587,0.3,1.8703030086494703,0.7784987732117123,4,1.5481258766117192,0.7478627406096395,8,2.8284271247461903,0.8952434398242152,6.0,5.333333333333333,0.8365106088009965,3,4.0,4.0,1.4142135623730951,2,0.14814814814814814,0.1967477507351859,0.8372719710757404,2,2.75,3
smoothed,gaus8,21.22734554870622,0.637627743340593,454.9892523017858,-31.966353839161652,470,127,37296.20642658167,,False,14.417357032271191,376253.2429698372,0.013710580100259792,4.59774413109319e-07,0.16239801673965468,18,28532.74392411459,157.6729644763409,171186.50647981776,"[22, 62, 93, 112, 140, 162, 179, 195, 235, 259, 284, 301, 329, 352, 377, 403, 434, 457]","[171186.50647981776, 579.3424351802569, 11853.592163034835, 12514.27719611143, 4828.828975151163, 52501.79648595063, 2067.5498977306925, 9199.654539069945, 13801.955742881395, 11239.39912659523, 77934.53107308641, 2782.557813186253, 9298.0343067151, 12966.348903960268, 9142.512307592195, 157.6729644763409, 109209.55719595023, 2325.273027572446]","[0, 61, 85, 99, 121, 121, 176, 189, 217, 121, 121, 298, 312, 343, 371, 381, 381, 454]","[381, 121, 121, 121, 143, 217, 217, 217, 239, 263, 381, 381, 381, 381, 381, 404, 469, 469]",0.05,30,1317880588942.1714,146873.12132517662,-146873.12132517662,,,,,,,,,,,,,,,,CWT,mdp.39015050659344,,,,,0.0,1.5,,145543.78799184327,0.0,-3.0,27663.93440030507,495344.39063406264,27672.34670980501,,0.0,29.339631143007523,,,27663.93440030507,,169857.17314648442,145543.78799184327,0.0,-3.0,,,,3.0,,,0.0,0.07271566036917082,0.08107835025219864,0.7670065249294051,0.42603813945438207,0.7212802263945542,0.47561181434599126,0.770423092757229,0.020883294726349658,,0.01391160594661034,0.7587297982166272,0.7587297982166272,0.7585306991376699,0.9253952278593429,0.4366245583175369,0.2222222222222222,,0.6944444444444445,1.0,0.10280089146738589,0.10280089146738589,0.41666666666666663,1.7507674867973213,0.7041441671004417,5,1.5867685818003503,0.7069990131205857,4,0,0,0.5159047336635433,0.7663653905598733,4,1,0.11111111111111112,0.41132408234810447,0.7409184695934677,6,0.9574271077563381,0.9263517609418201,4.75,4.615384615384616,0.7804835727786024,3,gaus,0.7159090909090909,1.0,0.19886363636363633,1,2.5,0.07285842203328693,0.7067602763059286,0.4279419812465547,0.7292222804266189,0.3876149329788409,0.7704230927572289,0.020248490628610442,,0.01391160594661034,0.7922557829136502,0.7922557829136502,0.7863656230986046,0.7475750467426718,0.500715300937936,0.22222222222222224,,0.7105263157894737,0.9714285714285713,0.10009919312079996,0.10009919312079996,0.41666666666666663,1.720039200494405,0.7159526564777672,9,1.495810429776002,0.7225903941952723,9,0.0,1.0,9.0,9.0,0.8333333333333334,4,14.75,14.0,7.187952884282608,16,0.5462962962962963,1.0,0.3175925925925926,5,4.25,4
smoothed,gaus6,21.470684321973135,0.638431898140392,486.29351675693994,-33.06407601217223,470,127,40785.06297348841,,False,14.343393646899552,461356.92723954783,0.021208056773352572,5.276532243500846e-07,0.14797622830500204,17,29019.938754177256,178.92659148626262,183312.7439401988,"[23, 62, 93, 111, 139, 156, 173, 195, 235, 259, 284, 301, 329, 353, 377, 434, 456]","[183312.7439401988, 721.4941089745698, 6029.243283676883, 5564.335355375968, 5961.60844281297, 33421.00564954466, 2056.2366724105723, 8903.201728862918, 11521.084945828254, 9087.517274665483, 57538.64735328662, 3584.6779540316784, 11936.54574118237, 15284.176872684162, 10422.894132757898, 127814.61877323326, 178.92659148626262]","[0, 61, 85, 105, 122, 122, 166, 189, 217, 217, 217, 298, 312, 343, 371, 217, 454]","[217, 217, 217, 122, 143, 217, 217, 217, 239, 263, 371, 371, 371, 371, 381, 469, 469]",0.05,30,1697428577754.6587,159435.731862855,-159435.731862855,,,,,,,,,,,,,,,,CWT,mdp.39015050659344,,,,,0.0,-8.0,,158106.39852952166,0.0,1.0,28151.129230367733,475093.95882101334,28156.225179764868,,0.0,50.59325815292925,,,28151.129230367733,,181983.41060686545,158106.39852952166,0.0,-3.5,,,,4.0,,,0.0,0.09496858484172804,0.09543467286913761,0.7042394238074191,0.35024735871147666,0.7469860991017321,0.4837130801687765,0.7018995950531941,0.03736491612368149,,0.02503781737503281,0.7774045482110031,0.7774045482110031,0.777118477145609,0.8805059537731172,0.49380178678608366,0.3333333333333333,,0.6666666666666667,0.4411764705882353,0.12748687603575404,0.12748687603575404,0.55,1.79935588503552,0.7236860180122194,4,1.5174723970425765,0.6761234747473838,6,0,0,0.4981186128467993,0.7399444904656349,5,1,0.11111111111111112,0.3963011607790876,0.7138576663596841,7,1.2909944487358056,0.9006927347126303,5.5,5.266457680250784,0.7388079058178536,4,gaus,0.7159090909090909,1.0,0.19886363636363633,1,3.25,0.09452582214955091,0.6489233579876913,0.35698357165871514,0.7539012648433749,0.39293231416860525,0.7018995950531941,0.03622910866715658,,0.025037817375032828,0.8083355610552885,0.8083355610552885,0.8028107296132896,0.7130474365660491,0.5513879309408811,0.33333333333333337,,0.6842105263157894,0.42857142857142855,0.12401197152223634,0.12401197152223634,0.55,1.7697899019140846,0.7366609908185273,6,1.4255785868441078,0.6886630635262265,11,3.5355339059327378,0.8690542997802689,8.5,7.764705882352941,0.777119742482727,6,14.75,14.0,7.187952884282608,16,0.5462962962962963,1.0,0.3175925925925926,5,5.75,5
smoothed,gaus4,21.988098159782993,0.6080415479979896,561.2145301006535,-35.70817062895776,470,127,62158.39063726437,,False,14.354660744577656,721382.391017597,0.02406399775897437,6.324498568036447e-07,0.12614670921728188,18,25010.571080329522,38.930259441331145,205613.26137215906,"[33, 51, 88, 108, 134, 149, 168, 184, 209, 235, 267, 284, 303, 330, 353, 377, 404, 434]","[205613.26137215906, 794.4164994502498, 2271.13408554584, 542.8354570895681, 8330.66645856686, 1930.458505925085, 446.5024158667002, 682.8691483742441, 4853.571055273787, 8867.918643943805, 140.10525350235912, 4838.31911574805, 15549.324925704164, 10147.567779645831, 20119.38013383821, 8110.060253831991, 38.930259441331145, 156912.9580820243]","[0, 50, 85, 106, 129, 143, 167, 183, 206, 217, 217, 217, 217, 217, 217, 361, 217, 217]","[217, 217, 217, 217, 217, 217, 217, 217, 217, 239, 268, 287, 312, 336, 361, 381, 405, 469]",0.05,30,3116783512125.9883,184493.4588868626,-184493.4588868626,,,,,,,,,,,,,,,,CWT,mdp.39015050659344,,,,,0.0,-12.0,,183164.12555352924,0.0,-12.0,24141.76155652,431945.27944593143,24263.017692975758,,0.0,89.40307389200223,,,24141.76155652,,204283.92803882572,183164.12555352924,0.0,-3.0,,,,3.0,,,0.0,0.23129377902344742,0.11759908967566732,0.553051665858872,0.3617928298312655,0.8016447713433459,0.17755274261603377,0.5981791024204366,0.0877227976235396,,0.04535464213202446,0.6237207767001103,0.6237207767001103,0.627564237815048,0.7848579738777657,0.5989524391908352,0.2222222222222222,,0.6944444444444445,0.20588235294117646,0.17672621691779244,0.17672621691779244,0.11666666666666664,1.5409587252663899,0.6197608227942109,8,1.3635995177763673,0.607564029447678,9,0,0,0.40806991387716574,0.6061790840790404,9,1,0.11111111111111112,0.3605490417435204,0.6494573395678823,9,0.5,0.9615384615384616,8.75,8.727272727272728,0.6442307692307692,7,gaus,0.7159090909090909,1.0,0.19886363636363633,1,5.5,0.22726399469426062,0.5096109817447073,0.3677929110080691,0.8063764535233029,0.191979616705439,0.5981791024204366,0.08505622646576595,,0.045354642132024475,0.6760070987942346,0.6760070987942346,0.6704960767019353,0.6394776087790249,0.6445764300442497,0.22222222222222224,,0.7105263157894737,0.19999999999999998,0.17170905420832525,0.17170905420832525,0.11666666666666667,1.534344969822866,0.6386589077633954,14,1.311116447957445,0.6333691302763205,16,1.4142135623730951,0.9476217199121075,15.0,14.933333333333334,0.696033082178276,9,14.75,14.0,7.187952884282608,16,0.5462962962962963,1.0,0.3175925925925926,5,8.0,6
