wavelet,wavelet_level,wavelet_mode,wavelet_mse,wavelet_psnr,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,signal_length,signal_type,emd_value,kl_divergence,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,dynamic_cutoff,dominant_frequency,amplitude_max,num_fft_peaks,positive_frequencies,positive_amplitudes,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,max_autocorrelation,upper_envelope,lower_envelope,spectral_magnitude,spectral_centroid,spectral_bandwidth,frequency_max,wavelet_type,htid,max_autocorrelation_diff,frequency_max_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_num_peaks_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,spectral_centroid_diff,lower_envelope_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,spectral_bandwidth_diff,spectral_magnitude_diff,avg_prominence_diff,num_fft_peaks_diff,amplitude_max_diff,prominence_min_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,prominence_max_diff,upper_envelope_diff,dominant_frequency_diff,dynamic_cutoff_diff,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,avg_variance_across_levels_normalized,spectral_centroid_diff_normalized,amplitude_max_diff_normalized,frequency_max_diff_normalized,spectral_bandwidth_diff_normalized,num_fft_peaks_diff_normalized,dominant_frequency_diff_normalized,max_autocorrelation_diff_normalized,relative_left_bases_global_alignment_score_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,top_wavelet_rank
coif8,1,reflect,6.319184755784937e-26,313.79855052722905,11108015.952952288,0.5512820512820513,447.2059074295821,109,raw,1.9205024930194738e-13,-1.2506851110316616e-10,6.234603938045528,80765.13496717242,0.7289383161127277,3.705486030941014e-06,1.0,645.0,,,,[],[],13,595.2307692307694,32.99999999999998,1225.0000000000005,"[5, 17, 23, 30, 41, 50, 58, 65, 74, 80, 87, 96, 107]","[1108.0000000000005, 159.0, 661.0000000000002, 543.0000000000003, 468.0000000000002, 1179.0000000000007, 454.99999999999966, 601.0000000000002, 471.0, 453.9999999999999, 1225.0000000000005, 381.00000000000057, 32.99999999999998]","[1, 8, 6, 29, 34, 34, 55, 61, 70, 70, 34, 95, 106]","[34, 18, 34, 34, 47, 70, 70, 70, 75, 81, 108, 108, 108]",47852172.000000015,1231.0000000000005,-1231.0000000000005,0.0,,,,DWT,uc1.l0063472831,1.4901161193847656e-08,,0.0,50,2.0,0.0,50,,4.547473508864641e-13,77.36410256410272,29.99999999999727,77.36410256410277,,0.0,77.36410256410272,,,22.99999999999998,0.0,50.0,4.547473508864641e-13,4.547473508864641e-13,,0.0,0.8688097740393786,0.9339712249058835,0.9263706260756228,0.09294448396165703,0.0,,,,,,,8.431703204047218e-05,1.0,0.10004215851602025,0.16673693086003374,136,1.488634583499043,0.7388589047032817,50,0,0.5000421585160202,0.5000421585160202,126,0,0.5644192217965085,0.6881635742475819,65,43.06874349997533,0.9443556285530035,94.25,78.93584301274919,0.9112928013566051,1,coif,337.641975308642,401.0,235.42680967988628,81,0.6903092788983343,0.9206723830241559,0.24058178986391923,3,1.5,1
coif8,1,symmetric,5.729787692311859e-26,314.223775756519,10969395.3366563,0.5576923076923077,447.2059074295821,109,raw,1.8386108130379474e-13,-1.2155587647555465e-10,6.204272837784711,84611.92000094081,0.7469973262149231,3.7054860309410154e-06,1.0,644.9999999999999,,,,[],[],13,595.2307692307694,32.99999999999997,1225.0000000000005,"[5, 17, 23, 30, 41, 50, 58, 65, 74, 80, 87, 96, 107]","[1108.0000000000005, 158.99999999999943, 660.9999999999995, 543.0000000000002, 468.0000000000001, 1179.0000000000007, 454.99999999999966, 601.0000000000002, 471.0, 453.9999999999999, 1225.0000000000005, 381.0, 32.99999999999997]","[1, 8, 6, 29, 34, 34, 55, 61, 70, 70, 34, 95, 106]","[34, 18, 34, 34, 47, 70, 70, 70, 75, 81, 108, 108, 108]",47852172.000000015,1231.0000000000005,-1231.0000000000005,0.0,,,,DWT,uc1.l0063472831,1.4901161193847656e-08,,0.0,50,2.0,0.0,50,,4.547473508864641e-13,77.36410256410272,29.99999999999818,77.36410256410262,,0.0,77.36410256410272,,,22.99999999999997,0.0,50.0,4.547473508864641e-13,4.547473508864641e-13,,1.1368683772161603e-13,0.873286587355122,0.898337837360988,0.8810573063134326,0.15079768316228007,0.01219070681602883,,,,,,,8.431703204047218e-05,1.0,0.10004215851602025,0.16673693086003374,143,1.478864880241607,0.7340098757151882,53,0,0.5000421585160202,0.5000421585160202,118,0,0.5631340242015703,0.6865966074675847,66,42.57542327055207,0.9449929931905012,95.0,80.82927123188624,0.911126987551323,2,coif,337.641975308642,401.0,235.42680967988628,81,0.6903092788983343,0.9206723830241559,0.24058178986391923,3,2.25,2
sym20,1,antisymmetric,1.0571257510658707e-17,231.56389453706,10311585.5362055,0.5743243243243243,469.4749998642067,109,raw,2.561813008415235e-09,,6.1296237194324386,343827.89832016255,0.941401816264176,3.705486031027702e-06,1.0,644.9999999999534,,,,[],[],13,595.2307692231846,32.999999999033115,1224.9999999868344,"[5, 17, 23, 30, 41, 50, 58, 65, 74, 80, 87, 96, 107]","[1107.9999999884526, 158.99999999955912, 660.9999999948992, 542.9999999883157, 467.99999999113356, 1178.9999999882182, 454.9999999940211, 600.9999999887024, 470.9999999933663, 453.99999999351246, 1224.9999999868344, 380.99999999535135, 32.999999999033115]","[1, 8, 6, 29, 34, 34, 55, 61, 70, 70, 34, 95, 106]","[34, 18, 34, 34, 47, 70, 70, 70, 75, 81, 108, 108, 108]",47852171.99982473,1230.9999999920128,-1230.9999999920128,0.0,,,,DWT,uc1.l0063472831,0.00017526745796203613,,0.0,50,2.0,0.0,50,,7.987182470969856e-09,77.36410255651788,30.00000009860105,77.3641025620416,,0.0,77.36410255651788,,,22.999999999033115,0.0,50.0,1.3165617929189466e-08,7.987182470969856e-09,,4.661160346586257e-11,0.0030351736773222004,0.8106390416939009,0.6660276330440288,0.3009032810882215,0.8336626544242086,,,,,,,0.9917369308600338,1.0,0.5958684654300169,0.9931141090500283,2,1.1939808157803302,0.5926124299158825,153,0,0.995868465430017,0.995868465430017,2,0,0.5228535567855365,0.6374849731381377,97,74.60339581189764,0.9036131837055585,63.5,3.9337353389437415,0.910785920018154,3,sym,489.1169590643275,493.0,209.7824315643502,171,1.0,0.8203861380425154,0.053884158587245386,6,3.75,3
coif8,1,smooth,4.912161272718773e-26,314.892434890361,9013873.408066384,0.5897435897435898,358.24117657708183,109,raw,1.6853185513809881e-13,-1.2305456653649615e-10,6.0069515677406375,154358.63834956448,0.9024033222403063,3.7054860309410154e-06,1.0,644.9999999999999,,,,[],[],13,595.2307692307694,32.99999999999996,1225.0000000000005,"[5, 17, 23, 30, 41, 50, 58, 65, 74, 80, 87, 96, 107]","[1108.0, 159.0, 661.0000000000002, 543.0000000000002, 468.0000000000001, 1179.0000000000007, 454.99999999999966, 601.0000000000002, 471.00000000000006, 453.9999999999999, 1225.0000000000005, 381.0000000000001, 32.99999999999996]","[1, 8, 6, 29, 34, 34, 55, 61, 70, 70, 34, 95, 106]","[34, 18, 34, 34, 47, 70, 70, 70, 75, 81, 108, 108, 108]",47852172.000000015,1231.0000000000005,-1231.0000000000005,0.0,,,,DWT,uc1.l0063472831,1.4901161193847656e-08,,0.0,50,2.0,0.0,50,,4.547473508864641e-13,77.36410256410272,29.99999999999818,77.36410256410268,,0.0,77.36410256410272,,,22.999999999999957,0.0,50.0,4.547473508864641e-13,4.547473508864641e-13,,1.1368683772161603e-13,0.8803262969205117,0.666522135791641,0.24182201202673045,0.4400636791653963,0.23322250019785848,,,,,,,8.431703204047218e-05,1.0,0.10004215851602025,0.16673693086003374,141,1.2516823238067947,0.6212516093980301,129,0,0.5000421585160202,0.5000421585160202,124,0,0.4923913248204276,0.6003441430261787,132,7.14142842854285,0.9907733482835364,131.5,131.21460984355662,0.9104383537283315,4,coif,337.641975308642,401.0,235.42680967988628,81,0.6903092788983343,0.9206723830241559,0.24058178986391923,3,3.75,4
coif8,1,antireflect,6.795589436057524e-26,313.48288973311423,10597693.109224848,0.5512820512820513,447.2059074295821,109,raw,1.9825120138811057e-13,-1.2535283921977271e-10,6.226104521495861,363044.33782527846,0.9396554806641777,3.7054860309410145e-06,1.0,644.9999999999998,,,,[],[],13,595.2307692307694,32.999999999999936,1225.0000000000007,"[5, 17, 23, 30, 41, 50, 58, 65, 74, 80, 87, 96, 107]","[1108.0000000000002, 158.99999999999966, 661.0000000000002, 543.0, 468.0000000000002, 1179.0000000000007, 454.99999999999966, 601.0000000000002, 471.0, 453.9999999999999, 1225.0000000000007, 381.0000000000002, 32.999999999999936]","[1, 8, 6, 29, 34, 34, 55, 61, 70, 70, 34, 95, 106]","[34, 18, 34, 34, 47, 70, 70, 70, 75, 81, 108, 108, 108]",47852172.000000015,1231.0000000000007,-1231.0000000000007,0.0,,,,DWT,uc1.l0063472831,1.4901161193847656e-08,,0.0,50,2.0,0.0,50,,6.821210263296962e-13,77.36410256410272,29.99999999999818,77.36410256410268,,0.0,77.36410256410272,,,22.999999999999936,0.0,50.0,6.821210263296962e-13,6.821210263296962e-13,,2.2737367544323206e-13,0.8654864659451927,0.9239859951840641,0.7595525667012827,0.09294448396165703,0.8945607753221508,,,,,,,8.431703204047218e-05,1.0,0.10004215851602025,0.16673693086003374,138,1.7560632642233123,0.8715926624141472,11,0,0.5000421585160202,0.5000421585160202,123,0,0.7073060574228696,0.8623771936997812,11,69.26458931758228,0.9105108665147515,70.75,20.284527010510878,0.9095512988904507,5,coif,337.641975308642,401.0,235.42680967988628,81,0.6903092788983343,0.9206723830241559,0.24058178986391923,3,4.5,5
coif8,1,antisymmetric,5.374942135180223e-26,314.5014231271819,10964966.656173892,0.5576923076923077,447.2059074295821,109,raw,1.7949352503811348e-13,-1.2319900655199989e-10,6.206778704230621,380351.7176305362,0.944007437073285,3.705486030941014e-06,1.0,645.0,,,,[],[],13,595.2307692307694,32.99999999999996,1225.0000000000005,"[5, 17, 23, 30, 41, 50, 58, 65, 74, 80, 87, 96, 107]","[1108.0000000000002, 158.99999999999977, 661.0000000000007, 543.0000000000002, 468.0000000000001, 1179.0000000000007, 454.99999999999966, 601.0000000000002, 471.0, 453.9999999999998, 1225.0000000000005, 381.0000000000001, 32.99999999999996]","[1, 8, 6, 29, 34, 34, 55, 61, 70, 70, 34, 95, 106]","[34, 18, 34, 34, 47, 70, 70, 70, 75, 81, 108, 108, 108]",47852172.000000015,1231.0000000000005,-1231.0000000000005,0.0,,,,DWT,uc1.l0063472831,1.4901161193847656e-08,,0.0,50,2.0,0.0,50,,4.547473508864641e-13,77.36410256410272,29.99999999999818,77.3641025641027,,0.0,77.36410256410272,,,22.999999999999957,0.0,50.0,4.547473508864641e-13,4.547473508864641e-13,,0.0,0.8762096863634768,0.9012817632138265,0.8796096268831562,0.15079768316228007,0.9494089644222485,,,,,,,8.431703204047218e-05,1.0,0.10004215851602025,0.16673693086003374,139,1.8562541659003888,0.9213207425588112,4,0,0.5000421585160202,0.5000421585160202,125,0,0.7514615448089976,0.9162134148078516,5,73.8348382088925,0.9046061521848934,68.25,8.598558658872289,0.908213928805625,6,coif,337.641975308642,401.0,235.42680967988628,81,0.6903092788983343,0.9206723830241559,0.24058178986391923,3,5.25,6
sym13,1,antisymmetric,4.232751749428256e-22,275.53893307980405,9557647.106141528,0.582089552238806,450.52604434268216,109,raw,1.625539254679648e-11,-1.1853407145108041e-11,5.957320796342783,275297.62096234027,0.9243509872258456,3.7054860309415765e-06,1.0,644.9999999999989,,,,[],[],13,595.2307692307206,32.99999999999465,1224.9999999999163,"[5, 17, 23, 30, 41, 50, 58, 65, 74, 80, 87, 96, 107]","[1107.999999999925, 158.99999999999477, 660.9999999999684, 542.9999999999264, 467.9999999999404, 1178.999999999924, 454.9999999999634, 600.9999999999244, 470.99999999995947, 453.9999999999595, 1224.9999999999163, 380.99999999997226, 32.99999999999465]","[1, 8, 6, 29, 34, 34, 55, 61, 70, 70, 34, 95, 106]","[34, 18, 34, 34, 47, 70, 70, 70, 75, 81, 108, 108, 108]",47852171.9999989,1230.999999999951,-1230.999999999951,0.0,,,,DWT,uc1.l0063472831,1.1026859283447266e-06,,0.0,50,2.0,0.0,50,,4.9112713895738125e-11,77.36410256405395,30.00000000063119,77.3641025640895,,0.0,77.36410256405395,,,22.99999999999465,0.0,50.0,8.36735125631094e-11,4.9112713895738125e-11,,1.1368683772161603e-12,0.4660087334475695,0.6082152331021756,0.41957473104895027,0.37098523235868197,0.6164858400307245,,,,,,,0.006239460370994941,1.0,0.10311973018549747,0.17186621697582913,122,1.1884886510998671,0.5898864857350622,157,0,0.5031197301854975,0.5031197301854975,104,0,0.49625395399762035,0.6050536224307059,129,22.015146301277824,0.9715566585254809,128.0,125.26042165034963,0.9030909907614484,7,sym,489.1169590643275,493.0,209.7824315643502,171,1.0,0.8203861380425154,0.053884158587245386,6,6.75,7
db23,1,symmetric,3.238284148090669e-26,316.7020115195376,10418301.942292374,0.577922077922078,426.76386957068996,109,raw,1.3500311979441898e-13,-1.177480335456953e-10,6.139963129135592,93197.29125725325,0.7750876226882799,3.7054860309410154e-06,1.0,645.0,,,,[],[],13,595.2307692307693,33.0000000000001,1224.9999999999998,"[5, 17, 23, 30, 41, 50, 58, 65, 74, 80, 87, 96, 107]","[1108.0, 158.9999999999999, 661.0000000000002, 542.9999999999999, 467.99999999999983, 1179.0000000000005, 455.0000000000001, 601.0000000000006, 471.0, 454.0000000000001, 1224.9999999999998, 381.0000000000001, 33.0000000000001]","[1, 8, 6, 29, 34, 34, 55, 61, 70, 70, 34, 95, 106]","[34, 18, 34, 34, 47, 70, 70, 70, 75, 81, 108, 108, 108]",47852172.00000001,1231.0,-1231.0,0.0,,,,DWT,uc1.l0063472831,7.450580596923828e-09,,0.0,50,2.0,0.0,50,,0.0,77.36410256410261,29.99999999999909,77.36410256410268,,0.0,77.36410256410261,,,23.0000000000001,0.0,50.0,2.2737367544323206e-13,0.0,,0.0,0.899377698839639,0.8227859203026491,0.7009118714935314,0.3333733637564548,0.03939829522393559,,,,,,,4.215851602023609e-05,1.0,0.10002107925801013,0.16670179876335023,146,1.45058417879403,0.7199732220411331,60,0,0.5000210792580101,0.5000210792580101,150,0,0.559169429923242,0.6817628079376324,71,47.870484991624366,0.9381518281761959,106.75,90.36044805392919,0.9001159657676845,8,db,392.57201646090533,362.0,206.6830876434207,243,0.8026137903946103,0.8082656817640927,0.19569064219454493,5,7.25,8
sym15,1,antisymmetric,8.432565481445589e-21,262.5455638355905,9666928.714712722,0.5797101449275363,479.67939914895913,109,raw,7.331102901093173e-11,,6.020701443271788,292414.5030571368,0.9270760431923863,3.7054860309434396e-06,1.0,644.9999999999831,,,,[],[],13,595.230769230555,32.99999999997472,1224.999999999638,"[5, 17, 23, 30, 41, 50, 58, 65, 74, 80, 87, 96, 107]","[1107.9999999996828, 158.9999999999825, 660.9999999998572, 542.9999999996608, 467.99999999975773, 1178.9999999996799, 454.99999999981844, 600.9999999996774, 470.9999999998029, 453.9999999998131, 1224.999999999638, 380.9999999998706, 32.99999999997472]","[1, 8, 6, 29, 34, 34, 55, 61, 70, 70, 34, 95, 106]","[34, 18, 34, 34, 47, 70, 70, 70, 75, 81, 108, 108, 108]",47852171.999995485,1230.9999999997779,-1230.9999999997779,0.0,,,,DWT,uc1.l0063472831,4.51505184173584e-06,,0.0,50,2.0,0.0,50,,2.2214408090803772e-10,77.36410256388831,30.000000002784873,77.36410256404133,,0.0,77.36410256388831,,,22.99999999997472,0.0,50.0,3.6197889130562544e-10,2.2214408090803772e-10,,1.693933882052079e-11,0.3292132555640058,0.6826756758637929,0.45529750162688165,0.34951084563398604,0.670730329751478,,,,,,,0.02554806070826307,1.0,0.11277403035413154,0.1879567172568859,65,1.1746110122379263,0.5829985515415007,168,0,0.5127740303541315,0.5127740303541315,56,0,0.4974855216880289,0.6065552013830701,126,52.92998520057731,0.9316150062008045,103.75,84.87046632124353,0.8987855392761128,9,sym,489.1169590643275,493.0,209.7824315643502,171,1.0,0.8203861380425154,0.053884158587245386,6,8.25,9
coif8,1,periodic,5.562728664354082e-26,314.35228229176823,11119301.271107184,0.5576923076923077,443.5442088598896,109,raw,1.8376330019336907e-13,-1.2254863790417447e-10,6.203361790670713,84113.38051258722,0.7563759854532353,3.705486030941014e-06,1.0,644.9999999999999,,,,[],[],13,595.2307692307694,32.99999999999994,1225.0000000000005,"[5, 17, 23, 30, 41, 50, 58, 65, 74, 80, 87, 96, 107]","[1108.0000000000002, 158.9999999999999, 660.9999999999999, 543.0, 468.0000000000001, 1179.0000000000007, 454.99999999999966, 601.0000000000002, 471.00000000000006, 453.9999999999999, 1225.0000000000005, 381.0, 32.99999999999994]","[1, 8, 6, 29, 34, 34, 55, 61, 70, 70, 34, 95, 106]","[34, 18, 34, 34, 47, 70, 70, 70, 75, 81, 108, 108, 108]",47852172.00000001,1231.0000000000005,-1231.0000000000005,0.0,,,,DWT,uc1.l0063472831,7.450580596923828e-09,,0.0,50,2.0,0.0,50,,4.547473508864641e-13,77.36410256410272,29.99999999999818,77.36410256410264,,0.0,77.36410256410272,,,22.999999999999943,0.0,50.0,4.547473508864641e-13,4.547473508864641e-13,,1.1368683772161603e-13,0.8746395168817273,0.8972675268676129,0.9300596533201628,0.15079768316228007,0.010610803419977104,,,,,,,4.215851602023609e-05,1.0,0.10002107925801013,0.16670179876335023,160,1.503010694855827,0.7459942473916122,47,0,0.5000210792580101,0.5000210792580101,143,0,0.572675036730352,0.6982294098779082,61,57.005116729407135,0.9263499783857789,102.75,78.56532587407227,0.8967990202006414,10,coif,337.641975308642,401.0,235.42680967988628,81,0.6903092788983343,0.9206723830241559,0.24058178986391923,3,8.25,10
