wavelet,wavelet_level,wavelet_mode,wavelet_mse,wavelet_psnr,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,signal_length,signal_type,emd_value,kl_divergence,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,fft_frequency_max,fft_amplitude_max,fft_spectral_centroid,fft_spectral_bandwidth,fft_spectral_magnitude,fft_variance_magnitude,fft_num_peaks,fft_peak_amplitude,fft_dominant_frequency,fft_positive_frequencies,fft_positive_amplitudes,fft_snr_threshold,fft_stationarity_threshold,fft_dynamic_cutoff,fft_dynamic_cutoff_percentile,stft_frequency_max,stft_amplitude_max,stft_spectral_centroid,stft_spectral_bandwidth,stft_spectral_magnitude,stft_variance_magnitude,stft_peak_freq_over_time,stft_num_peaks,stft_peak_amplitude,stft_dominant_frequency,stft_positive_frequencies,stft_positive_amplitudes,stft_snr_threshold,stft_stationarity_threshold,stft_window,stft_nperseg,stft_noverlap,stft_dynamic_cutoff,stft_dynamic_cutoff_percentile,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,wavelet_type,htid,fft_frequency_max_diff,fft_snr_threshold_diff,lower_envelope_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,stft_dynamic_cutoff_percentile_diff,prominence_threshold_diff,prominence_min_diff,stft_window_diff,fft_peak_amplitude_diff,avg_prominence_diff,stft_spectral_bandwidth_diff,stft_num_peaks_diff,stft_variance_magnitude_diff,stft_noverlap_diff,fft_spectral_centroid_diff,stft_dominant_frequency_diff,stft_nperseg_diff,fft_variance_magnitude_diff,stft_snr_threshold_diff,stft_dynamic_cutoff_diff,distance_factor_diff,fft_stationarity_threshold_diff,fft_amplitude_max_diff,fft_spectral_magnitude_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,max_autocorrelation_diff,stft_spectral_centroid_diff,stft_amplitude_max_diff,fft_dynamic_cutoff_diff,fft_num_peaks_diff,stft_peak_amplitude_diff,prominence_max_diff,upper_envelope_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,stft_stationarity_threshold_diff,fft_dominant_frequency_diff,fft_dynamic_cutoff_percentile_diff,stft_frequency_max_diff,stft_spectral_magnitude_diff,relative_num_peaks_diff,fft_spectral_bandwidth_diff,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,avg_variance_across_levels_normalized,max_autocorrelation_diff_normalized,relative_left_bases_global_alignment_score_normalized,relative_left_bases_array_alignment_score_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,reconstruction_signal_num_missing_metrics,reconstruction_signal_missing_metrics_count,reconstruction_signal_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank
coif8,1,symmetric,5.729787692311859e-26,314.223775756519,10969395.3366563,0.5576923076923077,447.2059074295821,109,raw,1.8386108130379474e-13,-1.2155587647555465e-10,6.204272837784711,84611.92000094081,0.7469973262149231,3.7054860309410154e-06,1.0,0.48623853211009177,64666.0,0.14081663387696025,0.16163657537147413,186499.13810016814,74924106.46437408,9,13655.685461841545,0.027522935779816515,"[0.0, 0.009174311926605505, 0.01834862385321101, 0.027522935779816515, 0.03669724770642202, 0.045871559633027525, 0.05504587155963303, 0.06422018348623854, 0.07339449541284404, 0.08256880733944955, 0.09174311926605505, 0.10091743119266056, 0.11009174311926606, 0.11926605504587157, 0.12844036697247707, 0.13761467889908258, 0.14678899082568808, 0.1559633027522936, 0.1651376146788991, 0.1743119266055046, 0.1834862385321101, 0.1926605504587156, 0.2018348623853211, 0.21100917431192662, 0.22018348623853212, 0.22935779816513763, 0.23853211009174313]","[64666.0, 2113.595540477726, 1255.5874457079108, 13655.685461841545, 2816.9859944751443, 1418.4366129933958, 8019.181480816187, 3352.361762573351, 1669.6947843488144, 6109.491514234728, 511.04428854071557, 346.5040469381973, 4752.147411642131, 2277.28881987218, 2403.108582729239, 627.0569997386405, 2062.7908955439925, 1323.9420313156922, 2264.3839572281468, 1527.306547609265, 2125.6069724308904, 2000.8175089839128, 858.280262300797, 1260.285838062877, 3490.0528988268434, 1185.6342026970187, 203.33125234533975]",3.0,0.7,250.80000000000013,15,0.5,6126329.75384655,0.1397407947668952,0.1501927967996685,14013558.280152066,100173535993.87991,"[0.03125, 0.03125, 0.03125, 0.03125, 0.03125]",1,6126329.75384655,0.03125,"[0.0, 0.03125, 0.0625, 0.09375, 0.125, 0.15625, 0.1875, 0.21875]","[187134.33991817455, 6126329.75384655, 1609271.145660365, 1003869.5472517948, 848009.9736408876, 322180.0196962117, 313603.03056934726, 278963.5333202356]",3.0,0.3,tukey,32,16,250.80000000000013,15,27,383.925925925926,10.000000000000455,1225.0000000000005,"[2, 5, 9, 15, 19, 23, 27, 30, 33, 38, 41, 46, 50, 54, 58, 62, 65, 68, 74, 77, 80, 87, 92, 96, 99, 102, 107]","[347.0000000000001, 1108.0000000000005, 308.9999999999998, 306.0000000000001, 162.99999999999977, 660.9999999999995, 64.0, 543.0000000000002, 82.0, 98.99999999999977, 468.0000000000001, 243.0000000000001, 1179.0000000000007, 71.00000000000023, 454.99999999999966, 248.0, 601.0000000000002, 64.99999999999989, 471.0, 172.0000000000001, 453.9999999999999, 1225.0000000000005, 326.0, 381.0, 281.9999999999993, 10.000000000000455, 32.99999999999997]","[1, 1, 8, 8, 6, 6, 26, 29, 32, 34, 34, 45, 34, 53, 55, 61, 61, 67, 70, 70, 70, 34, 89, 95, 97, 101, 106]","[3, 34, 13, 16, 22, 34, 34, 34, 34, 39, 47, 47, 70, 55, 70, 64, 70, 70, 75, 79, 81, 108, 95, 108, 108, 108, 108]",0.05,30,47852172.000000015,1231.0000000000005,-1231.0000000000005,DWT,uc1.l0063472831,0.0,0.0,4.547473508864641e-13,1.0,108,0.0,0.0,4.547473508864641e-13,,3.637978807091713e-12,5.684341886080802e-14,0.0,0.0,6.103515625e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.7053025658242404e-13,0.0,0.0,0.0,5.820766091346741e-11,1.0,108.0,5.684341886080802e-14,1.8189894035458565e-12,2.1158383687078534e-13,1.4901161193847656e-08,2.7755575615628914e-17,1.862645149230957e-09,1.7053025658242404e-13,0.0,1.862645149230957e-09,4.547473508864641e-13,4.547473508864641e-13,1.0,108,0.0,0.0,0.0,0.0,3.725290298461914e-09,0.0,0.0,0.873286587355122,0.898337837360988,0.8810573063134326,0.15079768316228007,0.01219070681602883,8.431703204047218e-05,1.0,1.0,0.20004215851602025,0.28577451216574323,123,1.478864880241607,0.7340098757151882,53,0,0,0.6666947723440135,0.6666947723440135,118,0,0,0.5631340242015703,0.6865966074675847,66,35.67445397853577,0.9539089741879383,90.0,79.01375465725411,0.9188149522102482,1,coif,327.320987654321,405.0,210.18568143194798,81,0.6687362767197411,0.8163368598364436,0.28698354834524814,3,1.5
coif8,1,reflect,6.319184755784937e-26,313.79855052722905,11108015.952952288,0.5512820512820513,447.2059074295821,109,raw,1.9205024930194738e-13,-1.2506851110316616e-10,6.234603938045528,80765.13496717242,0.7289383161127277,3.705486030941014e-06,1.0,0.48623853211009177,64666.00000000001,0.14081663387696028,0.16163657537147416,186499.13810016811,74924106.4643741,9,13655.685461841545,0.027522935779816515,"[0.0, 0.009174311926605505, 0.01834862385321101, 0.027522935779816515, 0.03669724770642202, 0.045871559633027525, 0.05504587155963303, 0.06422018348623854, 0.07339449541284404, 0.08256880733944955, 0.09174311926605505, 0.10091743119266056, 0.11009174311926606, 0.11926605504587157, 0.12844036697247707, 0.13761467889908258, 0.14678899082568808, 0.1559633027522936, 0.1651376146788991, 0.1743119266055046, 0.1834862385321101, 0.1926605504587156, 0.2018348623853211, 0.21100917431192662, 0.22018348623853212, 0.22935779816513763, 0.23853211009174313]","[64666.00000000001, 2113.595540477726, 1255.5874457079126, 13655.685461841545, 2816.9859944751424, 1418.4366129933958, 8019.181480816187, 3352.3617625733514, 1669.6947843488142, 6109.491514234726, 511.0442885407158, 346.5040469381987, 4752.147411642127, 2277.2888198721826, 2403.10858272924, 627.0569997386431, 2062.7908955439934, 1323.942031315691, 2264.3839572281477, 1527.306547609264, 2125.60697243089, 2000.8175089839124, 858.2802623007967, 1260.285838062877, 3490.0528988268434, 1185.6342026970174, 203.3312523453408]",3.0,0.7,250.80000000000013,15,0.5,6126329.753846552,0.13974079476689516,0.1501927967996685,14013558.28015207,100173535993.87996,"[0.03125, 0.03125, 0.03125, 0.03125, 0.03125]",1,6126329.753846552,0.03125,"[0.0, 0.03125, 0.0625, 0.09375, 0.125, 0.15625, 0.1875, 0.21875]","[187134.33991817458, 6126329.753846552, 1609271.1456603652, 1003869.5472517947, 848009.9736408882, 322180.01969621173, 313603.03056934715, 278963.53332023544]",3.0,0.3,tukey,32,16,250.80000000000013,15,27,383.92592592592604,10.000000000000455,1225.0000000000005,"[2, 5, 9, 15, 19, 23, 27, 30, 33, 38, 41, 46, 50, 54, 58, 62, 65, 68, 74, 77, 80, 87, 92, 96, 99, 102, 107]","[347.0000000000003, 1108.0000000000005, 309.00000000000017, 306.0000000000002, 163.0000000000001, 661.0000000000002, 64.0, 543.0000000000003, 82.00000000000023, 98.99999999999977, 468.0000000000002, 243.00000000000017, 1179.0000000000007, 71.00000000000023, 454.99999999999966, 247.9999999999999, 601.0000000000002, 64.99999999999989, 471.0, 172.00000000000023, 453.9999999999999, 1225.0000000000005, 326.0, 381.00000000000057, 281.99999999999966, 10.000000000000455, 32.99999999999998]","[1, 1, 8, 8, 6, 6, 26, 29, 32, 34, 34, 45, 34, 53, 55, 61, 61, 67, 70, 70, 70, 34, 89, 95, 97, 101, 106]","[3, 34, 13, 16, 22, 34, 34, 34, 34, 39, 47, 47, 70, 55, 70, 64, 70, 70, 75, 79, 81, 108, 95, 108, 108, 108, 108]",0.05,30,47852172.000000015,1231.0000000000005,-1231.0000000000005,DWT,uc1.l0063472831,0.0,0.0,4.547473508864641e-13,1.0,108,0.0,0.0,4.547473508864641e-13,,3.637978807091713e-12,1.1368683772161603e-13,0.0,0.0,0.0001068115234375,0.0,2.7755575615628914e-17,0.0,0.0,1.4901161193847656e-08,0.0,1.7053025658242404e-13,0.0,0.0,7.275957614183426e-12,2.9103830456733704e-11,1.0,108.0,1.1368683772161603e-13,3.637978807091713e-12,2.4290035003947127e-13,1.4901161193847656e-08,5.551115123125783e-17,3.725290298461914e-09,1.7053025658242404e-13,0.0,3.725290298461914e-09,4.547473508864641e-13,4.547473508864641e-13,1.0,108,0.0,0.0,0.0,0.0,7.450580596923828e-09,0.0,2.7755575615628914e-17,0.8688097740393786,0.9339712249058835,0.9263706260756228,0.09294448396165703,0.0,8.431703204047218e-05,1.0,1.0,0.20004215851602025,0.28577451216574323,120,1.488634583499043,0.7388589047032817,50,0,0,0.6666947723440135,0.6666947723440135,126,0,0,0.5644192217965085,0.6881635742475819,65,38.38728087965249,0.9504040298712501,90.25,77.43765512350785,0.9169009813438938,2,coif,327.320987654321,405.0,210.18568143194798,81,0.6687362767197411,0.8163368598364436,0.28698354834524814,3,2.25
coif8,1,antireflect,6.795589436057524e-26,313.48288973311423,10597693.109224848,0.5512820512820513,447.2059074295821,109,raw,1.9825120138811057e-13,-1.2535283921977271e-10,6.226104521495861,363044.33782527846,0.9396554806641777,3.7054860309410145e-06,1.0,0.48623853211009177,64666.0,0.14081663387696025,0.16163657537147413,186499.13810016814,74924106.46437408,9,13655.68546184155,0.027522935779816515,"[0.0, 0.009174311926605505, 0.01834862385321101, 0.027522935779816515, 0.03669724770642202, 0.045871559633027525, 0.05504587155963303, 0.06422018348623854, 0.07339449541284404, 0.08256880733944955, 0.09174311926605505, 0.10091743119266056, 0.11009174311926606, 0.11926605504587157, 0.12844036697247707, 0.13761467889908258, 0.14678899082568808, 0.1559633027522936, 0.1651376146788991, 0.1743119266055046, 0.1834862385321101, 0.1926605504587156, 0.2018348623853211, 0.21100917431192662, 0.22018348623853212, 0.22935779816513763, 0.23853211009174313]","[64666.0, 2113.595540477726, 1255.5874457079162, 13655.68546184155, 2816.9859944751443, 1418.436612993397, 8019.181480816189, 3352.3617625733514, 1669.6947843488133, 6109.491514234726, 511.0442885407131, 346.50404693819956, 4752.147411642129, 2277.288819872181, 2403.1085827292404, 627.0569997386413, 2062.790895543994, 1323.9420313156916, 2264.3839572281468, 1527.3065476092625, 2125.6069724308913, 2000.8175089839115, 858.2802623007974, 1260.2858380628772, 3490.0528988268416, 1185.6342026970156, 203.3312523453417]",3.0,0.7,250.80000000000007,15,0.5,6126329.753846552,0.1397407947668952,0.1501927967996685,14013558.280152068,100173535993.88,"[0.03125, 0.03125, 0.03125, 0.03125, 0.03125]",1,6126329.753846552,0.03125,"[0.0, 0.03125, 0.0625, 0.09375, 0.125, 0.15625, 0.1875, 0.21875]","[187134.33991817458, 6126329.753846552, 1609271.1456603652, 1003869.547251795, 848009.9736408881, 322180.0196962118, 313603.03056934726, 278963.53332023544]",3.0,0.3,tukey,32,16,250.80000000000007,15,27,383.925925925926,10.000000000000227,1225.0000000000007,"[2, 5, 9, 15, 19, 23, 27, 30, 33, 38, 41, 46, 50, 54, 58, 62, 65, 68, 74, 77, 80, 87, 92, 96, 99, 102, 107]","[346.99999999999994, 1108.0000000000002, 308.99999999999994, 306.0000000000002, 162.99999999999966, 661.0000000000002, 63.999999999999886, 543.0, 82.00000000000023, 98.99999999999983, 468.0000000000002, 243.0000000000001, 1179.0000000000007, 71.00000000000023, 454.99999999999966, 247.9999999999999, 601.0000000000002, 65.0, 471.0, 172.0000000000001, 453.9999999999999, 1225.0000000000007, 325.99999999999966, 381.0000000000002, 281.99999999999955, 10.000000000000227, 32.999999999999936]","[1, 1, 8, 8, 6, 6, 26, 29, 32, 34, 34, 45, 34, 53, 55, 61, 61, 67, 70, 70, 70, 34, 89, 95, 97, 101, 106]","[3, 34, 13, 16, 22, 34, 34, 34, 34, 39, 47, 47, 70, 55, 70, 64, 70, 70, 75, 79, 81, 108, 95, 108, 108, 108, 108]",0.05,30,47852172.000000015,1231.0000000000007,-1231.0000000000007,DWT,uc1.l0063472831,0.0,0.0,6.821210263296962e-13,1.0,108,0.0,0.0,2.2737367544323206e-13,,0.0,5.684341886080802e-14,0.0,0.0,0.000152587890625,0.0,0.0,0.0,0.0,0.0,0.0,1.1368683772161603e-13,0.0,0.0,0.0,5.820766091346741e-11,1.0,108.0,5.684341886080802e-14,1.8189894035458565e-12,2.1500496856148222e-13,1.4901161193847656e-08,2.7755575615628914e-17,3.725290298461914e-09,1.1368683772161603e-13,0.0,3.725290298461914e-09,6.821210263296962e-13,6.821210263296962e-13,1.0,108,0.0,0.0,0.0,0.0,5.587935447692871e-09,0.0,0.0,0.8654864659451927,0.9239859951840641,0.7595525667012827,0.09294448396165703,0.8945607753221508,8.431703204047218e-05,1.0,1.0,0.20004215851602025,0.28577451216574323,118,1.7560632642233123,0.8715926624141472,11,0,0,0.6666947723440135,0.6666947723440135,123,0,0,0.7073060574228696,0.8623771936997812,11,63.25279967453351,0.91827803659621,65.75,20.158969664446477,0.9166648580913866,3,coif,327.320987654321,405.0,210.18568143194798,81,0.6687362767197411,0.8163368598364436,0.28698354834524814,3,3.0
coif8,1,antisymmetric,5.374942135180223e-26,314.5014231271819,10964966.656173892,0.5576923076923077,447.2059074295821,109,raw,1.7949352503811348e-13,-1.2319900655199989e-10,6.206778704230621,380351.7176305362,0.944007437073285,3.705486030941014e-06,1.0,0.48623853211009177,64666.0,0.14081663387696025,0.16163657537147413,186499.13810016814,74924106.46437408,9,13655.68546184155,0.027522935779816515,"[0.0, 0.009174311926605505, 0.01834862385321101, 0.027522935779816515, 0.03669724770642202, 0.045871559633027525, 0.05504587155963303, 0.06422018348623854, 0.07339449541284404, 0.08256880733944955, 0.09174311926605505, 0.10091743119266056, 0.11009174311926606, 0.11926605504587157, 0.12844036697247707, 0.13761467889908258, 0.14678899082568808, 0.1559633027522936, 0.1651376146788991, 0.1743119266055046, 0.1834862385321101, 0.1926605504587156, 0.2018348623853211, 0.21100917431192662, 0.22018348623853212, 0.22935779816513763, 0.23853211009174313]","[64666.0, 2113.5955404777274, 1255.5874457079121, 13655.68546184155, 2816.985994475144, 1418.4366129933958, 8019.181480816189, 3352.361762573352, 1669.6947843488144, 6109.491514234728, 511.04428854071625, 346.5040469381946, 4752.147411642127, 2277.288819872182, 2403.108582729241, 627.0569997386422, 2062.7908955439943, 1323.9420313156897, 2264.3839572281477, 1527.3065476092625, 2125.60697243089, 2000.8175089839133, 858.2802623007962, 1260.285838062876, 3490.0528988268434, 1185.6342026970167, 203.3312523453405]",3.0,0.7,250.8000000000001,15,0.5,6126329.753846551,0.1397407947668952,0.1501927967996685,14013558.28015207,100173535993.87996,"[0.03125, 0.03125, 0.03125, 0.03125, 0.03125]",1,6126329.753846551,0.03125,"[0.0, 0.03125, 0.0625, 0.09375, 0.125, 0.15625, 0.1875, 0.21875]","[187134.33991817414, 6126329.753846551, 1609271.1456603655, 1003869.5472517948, 848009.9736408881, 322180.01969621156, 313603.0305693472, 278963.5333202355]",3.0,0.3,tukey,32,16,250.8000000000001,15,27,383.92592592592604,10.000000000000455,1225.0000000000005,"[2, 5, 9, 15, 19, 23, 27, 30, 33, 38, 41, 46, 50, 54, 58, 62, 65, 68, 74, 77, 80, 87, 92, 96, 99, 102, 107]","[347.00000000000017, 1108.0000000000002, 309.0000000000004, 305.9999999999999, 162.99999999999977, 661.0000000000007, 63.999999999999886, 543.0000000000002, 82.00000000000011, 98.9999999999998, 468.0000000000001, 243.0000000000001, 1179.0000000000007, 71.00000000000023, 454.99999999999966, 248.0, 601.0000000000002, 64.99999999999977, 471.0, 172.00000000000023, 453.9999999999998, 1225.0000000000005, 325.9999999999999, 381.0000000000001, 281.99999999999955, 10.000000000000455, 32.99999999999996]","[1, 1, 8, 8, 6, 6, 26, 29, 32, 34, 34, 45, 34, 53, 55, 61, 61, 67, 70, 70, 70, 34, 89, 95, 97, 101, 106]","[3, 34, 13, 16, 22, 34, 34, 34, 34, 39, 47, 47, 70, 55, 70, 64, 70, 70, 75, 79, 81, 108, 95, 108, 108, 108, 108]",0.05,30,47852172.000000015,1231.0000000000005,-1231.0000000000005,DWT,uc1.l0063472831,0.0,0.0,4.547473508864641e-13,1.0,108,0.0,0.0,4.547473508864641e-13,,0.0,1.1368683772161603e-13,0.0,0.0,0.0001068115234375,0.0,0.0,0.0,0.0,0.0,0.0,1.4210854715202004e-13,0.0,0.0,0.0,5.820766091346741e-11,1.0,108.0,1.1368683772161603e-13,3.637978807091713e-12,2.4053187425360426e-13,1.4901161193847656e-08,2.7755575615628914e-17,2.7939677238464355e-09,1.4210854715202004e-13,0.0,2.7939677238464355e-09,4.547473508864641e-13,4.547473508864641e-13,1.0,108,0.0,0.0,0.0,0.0,7.450580596923828e-09,0.0,0.0,0.8762096863634768,0.9012817632138265,0.8796096268831562,0.15079768316228007,0.9494089644222485,8.431703204047218e-05,1.0,1.0,0.20004215851602025,0.28577451216574323,119,1.8562541659003888,0.9213207425588112,4,0,0,0.6666947723440135,0.6666947723440135,125,0,0,0.7514615448089976,0.9162134148078516,5,67.88409239284267,0.9122944542728131,63.25,8.576267521891102,0.9152880540097916,4,coif,327.320987654321,405.0,210.18568143194798,81,0.6687362767197411,0.8163368598364436,0.28698354834524814,3,3.75
coif8,1,smooth,4.912161272718773e-26,314.892434890361,9013873.408066384,0.5897435897435898,358.24117657708183,109,raw,1.6853185513809881e-13,-1.2305456653649615e-10,6.0069515677406375,154358.63834956448,0.9024033222403063,3.7054860309410154e-06,1.0,0.48623853211009177,64666.0,0.14081663387696025,0.16163657537147413,186499.13810016814,74924106.46437408,9,13655.68546184155,0.027522935779816515,"[0.0, 0.009174311926605505, 0.01834862385321101, 0.027522935779816515, 0.03669724770642202, 0.045871559633027525, 0.05504587155963303, 0.06422018348623854, 0.07339449541284404, 0.08256880733944955, 0.09174311926605505, 0.10091743119266056, 0.11009174311926606, 0.11926605504587157, 0.12844036697247707, 0.13761467889908258, 0.14678899082568808, 0.1559633027522936, 0.1651376146788991, 0.1743119266055046, 0.1834862385321101, 0.1926605504587156, 0.2018348623853211, 0.21100917431192662, 0.22018348623853212, 0.22935779816513763, 0.23853211009174313]","[64666.0, 2113.5955404777264, 1255.5874457079144, 13655.68546184155, 2816.9859944751433, 1418.4366129933976, 8019.181480816187, 3352.36176257335, 1669.6947843488133, 6109.491514234728, 511.04428854071523, 346.5040469381955, 4752.147411642129, 2277.2888198721803, 2403.1085827292404, 627.0569997386422, 2062.7908955439943, 1323.9420313156904, 2264.383957228147, 1527.3065476092625, 2125.606972430889, 2000.817508983912, 858.2802623007965, 1260.285838062876, 3490.0528988268434, 1185.6342026970162, 203.33125234534114]",3.0,0.7,250.80000000000013,15,0.5,6126329.75384655,0.1397407947668952,0.1501927967996685,14013558.280152068,100173535993.87991,"[0.03125, 0.03125, 0.03125, 0.03125, 0.03125]",1,6126329.75384655,0.03125,"[0.0, 0.03125, 0.0625, 0.09375, 0.125, 0.15625, 0.1875, 0.21875]","[187134.3399181742, 6126329.75384655, 1609271.1456603648, 1003869.5472517947, 848009.973640888, 322180.0196962116, 313603.03056934715, 278963.5333202355]",3.0,0.3,tukey,32,16,250.80000000000013,15,27,383.925925925926,10.000000000000341,1225.0000000000005,"[2, 5, 9, 15, 19, 23, 27, 30, 33, 38, 41, 46, 50, 54, 58, 62, 65, 68, 74, 77, 80, 87, 92, 96, 99, 102, 107]","[347.0, 1108.0, 308.9999999999999, 305.9999999999999, 162.99999999999977, 661.0000000000002, 63.99999999999977, 543.0000000000002, 82.0, 98.99999999999977, 468.0000000000001, 243.0000000000001, 1179.0000000000007, 71.00000000000023, 454.99999999999966, 248.0, 601.0000000000002, 65.0, 471.00000000000006, 172.00000000000023, 453.9999999999999, 1225.0000000000005, 326.0, 381.0000000000001, 281.99999999999955, 10.000000000000341, 32.99999999999996]","[1, 1, 8, 8, 6, 6, 26, 29, 32, 34, 34, 45, 34, 53, 55, 61, 61, 67, 70, 70, 70, 34, 89, 95, 97, 101, 106]","[3, 34, 13, 16, 22, 34, 34, 34, 34, 39, 47, 47, 70, 55, 70, 64, 70, 70, 75, 79, 81, 108, 95, 108, 108, 108, 108]",0.05,30,47852172.000000015,1231.0000000000005,-1231.0000000000005,DWT,uc1.l0063472831,0.0,0.0,4.547473508864641e-13,1.0,108,0.0,0.0,3.410605131648481e-13,,0.0,5.684341886080802e-14,0.0,0.0,6.103515625e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.7053025658242404e-13,0.0,0.0,0.0,5.820766091346741e-11,1.0,108.0,5.684341886080802e-14,1.8189894035458565e-12,1.8053048767830692e-13,1.4901161193847656e-08,2.7755575615628914e-17,1.862645149230957e-09,1.7053025658242404e-13,0.0,1.862645149230957e-09,4.547473508864641e-13,4.547473508864641e-13,1.0,108,0.0,0.0,0.0,0.0,5.587935447692871e-09,0.0,0.0,0.8803262969205117,0.666522135791641,0.24182201202673045,0.4400636791653963,0.23322250019785848,8.431703204047218e-05,1.0,1.0,0.20004215851602025,0.28577451216574323,124,1.2516823238067947,0.6212516093980301,129,0,0,0.6666947723440135,0.6666947723440135,124,0,0,0.4923913248204276,0.6003441430261787,132,3.947573094109004,0.9948997763642002,127.25,127.15880758807589,0.9152470458048392,5,coif,327.320987654321,405.0,210.18568143194798,81,0.6687362767197411,0.8163368598364436,0.28698354834524814,3,4.5
