amplitude_max,amplitude_max_diff,avg_prominence,avg_prominence_diff,avg_variance_across_levels,correlation,dominant_frequency,dominant_frequency_diff,dynamic_cutoff,dynamic_cutoff_diff,emd_value,frequency_max,frequency_max_diff,htid,is_complex,kl_divergence,lower_envelope,lower_envelope_diff,max_autocorrelation,max_autocorrelation_diff,num_fft_peaks,num_fft_peaks_diff,positive_amplitudes,positive_amplitudes_dtw,positive_amplitudes_euclidean,positive_amplitudes_wasserstein,positive_frequencies,positive_frequencies_dtw,positive_frequencies_euclidean,positive_frequencies_wasserstein,prominence_max,prominence_max_diff,prominence_min,prominence_min_diff,relative_left_bases,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,relative_num_peaks,relative_num_peaks_diff,relative_peaks,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,relative_prominences,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,relative_right_bases,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,scales_used,signal_length,signal_type,smoothness,spectral_bandwidth,spectral_bandwidth_diff,spectral_centroid,spectral_centroid_diff,spectral_magnitude,spectral_magnitude_diff,upper_envelope,upper_envelope_diff,variance_ratio_across_levels,wavelet,wavelet_adaptive_threshold,wavelet_energy_entropy,wavelet_entropy,wavelet_psnr,wavelet_sparsity,wavelet_type,emd_value_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,positive_amplitudes_dtw_normalized,positive_amplitudes_euclidean_normalized,positive_amplitudes_wasserstein_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,spectral_centroid_diff_normalized,spectral_magnitude_diff_normalized,dynamic_cutoff_diff_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,amplitude_max_diff_normalized,spectral_bandwidth_diff_normalized,num_fft_peaks_diff_normalized,relative_num_peaks_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,smoothness_normalized,across_emd_value_normalized,across_smoothness_normalized,across_wavelet_psnr_normalized,across_wavelet_entropy_normalized,across_wavelet_energy_entropy_normalized,across_wavelet_sparsity_normalized,across_correlation_normalized,across_avg_variance_across_levels_normalized,across_kl_divergence_normalized,across_prominence_min_diff_normalized,across_positive_amplitudes_dtw_normalized,across_positive_amplitudes_euclidean_normalized,across_positive_amplitudes_wasserstein_normalized,across_avg_prominence_diff_normalized,across_relative_prominences_avg_diff_normalized,across_relative_prominences_wasserstein_normalized,across_spectral_centroid_diff_normalized,across_spectral_magnitude_diff_normalized,across_dynamic_cutoff_diff_normalized,across_relative_prominences_total_diff_normalized,across_prominence_max_diff_normalized,across_amplitude_max_diff_normalized,across_spectral_bandwidth_diff_normalized,across_num_fft_peaks_diff_normalized,across_relative_num_peaks_diff_normalized,across_max_autocorrelation_diff_normalized,across_relative_right_bases_global_alignment_score_normalized,across_relative_left_bases_global_alignment_score_normalized,across_upper_envelope_diff_normalized,across_lower_envelope_diff_normalized,across_relative_peaks_global_alignment_score_normalized,across_reconstruction_weighted_score,across_reconstruction_normalized_weighted_score,across_reconstruction_normalized_weighted_rank,across_signal_weighted_score,across_signal_normalized_weighted_score,across_signal_normalized_weighted_rank,across_rank_variability,across_normalized_rank_stability,across_average_rank,across_harmonic_average_rank,across_stability_score_weighted,across_stability_rank,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,across_normalized_family_mean_rank,across_normalized_family_std_dev,across_final_family_stability_score,across_final_family_stability_rank,across_family_informed_rank
700035.9274610815,689695.6164034635,41025.28615312088,40772.68615312088,666988.0889916078,0.7767649421728816,0.013888888888888888,0.0,12378.835239275619,12181.515239275619,45773.19735105425,0.4861111111111111,0.0,mdp.39015056038089,False,,-64862.90406467809,63863.304064678094,178516348318.0614,178483724422.9014,3.0,2.0,"[3311453.223515369, 620503.8371790332, 700035.9274610815, 181282.79103382325, 163951.04935895998, 58631.974352637924, 44722.971367296996, 19616.81705902721, 37085.431940752045, 16952.018818628134, 16106.820099046437, 10128.65601036928, 13043.645286495761, 10205.798200181776, 9626.44246800124, 8889.828275800188, 7756.8455994118185, 6996.4302744763345, 7627.718511692348, 6045.755059676276, 5623.473342010237, 5830.934040245567, 5669.518131894264, 5484.167337110574, 5528.63958976237, 5094.003401305827, 4754.9856711758475, 4995.8817272342085, 4791.812039284602, 4675.867801854602, 4603.905251898537, 4448.453853445475, 4627.597046790499, 4454.026391551865, 4634.332225331542, 4683.230587795165]",4963295.564512598,3405048.413672635,145888.49467943035,"[0.0, 0.013888888888888888, 0.027777777777777776, 0.041666666666666664, 0.05555555555555555, 0.06944444444444445, 0.08333333333333333, 0.09722222222222221, 0.1111111111111111, 0.125, 0.1388888888888889, 0.15277777777777776, 0.16666666666666666, 0.18055555555555555, 0.19444444444444442, 0.20833333333333331, 0.2222222222222222, 0.2361111111111111, 0.25, 0.2638888888888889, 0.2777777777777778, 0.29166666666666663, 0.3055555555555555, 0.3194444444444444, 0.3333333333333333, 0.3472222222222222, 0.3611111111111111, 0.375, 0.38888888888888884, 0.40277777777777773, 0.41666666666666663, 0.4305555555555555, 0.4444444444444444, 0.4583333333333333, 0.4722222222222222, 0.4861111111111111]",0.0,0.0,0.0,64792.82077040177,63793.22077040177,17257.751535839983,17251.551535839983,"[0, 36]",0.0,-3.5,2,7.0,"[22, 52]",0.0,-3.5,"[64792.82077040177, 17257.751535839983]",40772.68615312088,79777.17230624176,40772.68615312088,"[71, 71]",0.0,-8.0,35,72,smoothed,6.168331904419064e-06,0.05491675349251304,0.03228684061461731,0.020479352818448683,0.02232111932070828,5330564.810310452,5251985.8084594915,64862.90406467809,63863.304064678094,0.049015463562785376,mexh,1902.1224080533314,787090258.8180661,10.319092390745567,-33.832587000149566,0.7126984126984127,CWT,1.0,0.03435580313513109,0.9365667373362818,1.0,0.9999999999999999,0.8432644364253776,0.1134951038735145,,0.2731177383359643,1.0,1.0000000000000002,1.0,0.7582075002529959,0.7582075002529959,0.758207500252996,0.20605966025025552,1.0,1.0,0.7787991496582375,1.0,0.17290057557344796,0.2460717199880848,0.6666666666666666,0.0,0.9333687621669005,0.10000000000000009,1.0,0.61974687486326,0.61974687486326,1.0,5.428093388183943,1.0,1,2.3716006666687766,1.0,1,0.0,0.676868205596594,1.0,1,0,0.7409602600962881,1.0,1,0.0,1.0,1.0,1.0,0.95,1,mexh,0.125,,,2,1.25,0.9999999999999999,0.9965336226821464,0.9999999999999999,0.031498439215272844,0.9011174766815805,0.9946747493962582,0.9808306709265175,0.8461934859008043,0.1134951038735145,,0.30733162192963936,1.0,0.9964762465164896,0.9999999999999998,0.758207500252996,0.758207500252996,0.758207500252996,0.20432093491524567,1.0,0.9587107685919495,0.7803512260576981,0.9922074196243943,0.170362117112776,0.17010043322098595,0.6666666666666666,0.0,0.9333687621669003,0.25,0.9999999999999998,0.6076586582091141,0.6076586582091141,1.0,5.383225977374171,0.8429395866863866,2,2.3419629676530613,1.0,1,0.7071067811865476,0.9646446609406726,1.5,1.3333333333333333,0.9448223304703363,1,1.5,1.5,0.7071067811865476,2,0.1,0.12839696652910276,0.8914809100412692,1,1.0
702056.6111800402,691724.0132858817,42599.37297422983,42038.87297422983,668115.3739104061,0.6184261976196114,0.013888888888888888,0.0,12741.869173008537,12704.669173008537,45890.462143887264,0.4861111111111111,0.0,mdp.39015056038089,False,,-65334.90812663743,64188.90812663743,179053139533.4075,179017190305.4075,4.0,2.0,"[3326421.6450207774, 591865.9298955996, 702056.6111800402, 177952.65661262447, 172072.35806923886, 56512.85910169322, 44657.28897195289, 12722.143363211624, 45081.69380234257, 13249.42054768198, 16121.661349743432, 4117.900311264028, 15830.996922527158, 4841.542914123851, 7525.926639215531, 7335.725287564005, 11414.109440429254, 9566.837350089378, 3798.7118850643437, 7823.8623727273825, 8084.153506905203, 5615.1248691462915, 5188.9481268476875, 4486.214226800782, 3272.252535401186, 4249.277962314856, 6852.959069279209, 3251.0791383629175, 5038.499591727628, 4563.568870522726, 4237.023986017226, 3299.7971662282494, 4396.558354559121, 3766.879375461991, 4718.007533306379, 5052.4521984315425]",4900804.556698544,3414611.164890555,144142.00568373676,"[0.0, 0.013888888888888888, 0.027777777777777776, 0.041666666666666664, 0.05555555555555555, 0.06944444444444445, 0.08333333333333333, 0.09722222222222221, 0.1111111111111111, 0.125, 0.1388888888888889, 0.15277777777777776, 0.16666666666666666, 0.18055555555555555, 0.19444444444444442, 0.20833333333333331, 0.2222222222222222, 0.2361111111111111, 0.25, 0.2638888888888889, 0.2777777777777778, 0.29166666666666663, 0.3055555555555555, 0.3194444444444444, 0.3333333333333333, 0.3472222222222222, 0.3611111111111111, 0.375, 0.38888888888888884, 0.40277777777777773, 0.41666666666666663, 0.4305555555555555, 0.4444444444444444, 0.4583333333333333, 0.4722222222222222, 0.4861111111111111]",0.0,0.0,0.0,65369.568878267186,64238.568878267186,19829.17707019247,19645.17707019247,"[0, 36]",0.0,-9.0,2,8.0,"[22, 52]",0.0,-4.5,"[65369.568878267186, 19829.17707019247]",42038.87297422983,79593.74594845966,42038.87297422983,"[71, 71]",0.0,-9.0,35,72,raw,2.090790027428245e-06,0.05379919204059171,0.0947072808361096,0.019961519922646234,0.10316546356200622,5307042.677549225,5189112.204614523,65334.90812663743,64188.90812663743,0.0483588655609579,mexh,1918.0934415677295,790741086.2153224,10.335033803598295,-32.68042384425876,0.7150793650793651,CWT,1.0,0.0322761490477288,0.9067330851836434,0.9999999999999998,1.0,0.8414366986416162,0.10590951987606322,,0.35654399443161205,1.0,1.0,0.9999999999999999,0.7763041832763617,0.7763041832763617,0.7763041832763617,1.0,1.0000000000000002,1.0,0.8022116403252718,1.0,0.17392249477702187,1.0,0.6666666666666666,0.5,0.9401083965675222,0.5,0.09090909090909091,0.5993741973824019,0.5993741973824019,1.0,6.479265483823654,1.0,1,2.0516707194275305,1.0,1,0.0,0.7526374194668674,1.0,1,0,0.6980507789641502,1.0,1,0.0,1.0,1.0,1.0,0.95,1,mexh,0.14285714285714285,,,2,1.25,,0.9999999999999999,0.2887497258712203,0.12340083365265869,0.9224506933915835,1.0,1.0,0.683020887719109,0.11395830387197133,,0.356543994431612,0.9834176094259482,0.9999999999999999,0.9836872321034882,0.7873546880385682,0.7873546880385682,0.7873546880385682,1.0,0.9878467697988387,1.0,0.778433367498101,0.9999999999999998,0.17392249477702193,1.0,0.6666666666666666,0.5,0.936396846267639,0.08333333333333334,0.08333333333333331,0.6127502010715974,0.6127502010715974,0.8333333333333334,6.386253608678822,1.0,1,2.1406824412851853,0.9140547783428086,2,0.7071067811865476,0.9646446609406726,1.5,1.3333333333333333,0.9448223304703363,2,1.5,1.5,0.7071067811865476,2,0.1,0.12839696652910276,0.8914809100412692,1,1.75
841277.154613998,830936.84355638,49035.372427189475,48782.77242718948,491158.42069584026,0.9260150651589939,0.013888888888888888,0.0,4588.282031854553,4390.962031854553,29769.327011075,0.4861111111111111,0.0,mdp.39015056038089,False,,-50138.34764049554,49138.747640495545,82775867140.40454,82743243245.24454,4.0,1.0,"[2084244.8296542636, 120899.47099228874, 841277.154613998, 193306.35399237723, 198009.2315653624, 59439.616399216284, 46507.35685138306, 15640.820519116744, 39760.394337394384, 15257.699456555107, 15655.916165996417, 7769.1524592846645, 12466.264972180215, 9269.304484402124, 8952.866174842879, 8206.950635779296, 6863.215325474777, 6222.32064496737, 6889.885533997111, 5549.418496059608, 5029.100797414838, 5136.958672299378, 5298.910867328128, 5077.31410275356, 5161.623859435401, 4421.166140060502, 4808.202534885932, 4382.473014250663, 4342.769694237336, 4276.994297105943, 4260.415871846661, 4181.842978991129, 4098.544565691332, 4079.4353261275423, 4068.596088104513, 3981.6931669192654]",3415806.918767392,2223770.3154150755,102672.64620559536,"[0.0, 0.013888888888888888, 0.027777777777777776, 0.041666666666666664, 0.05555555555555555, 0.06944444444444445, 0.08333333333333333, 0.09722222222222221, 0.1111111111111111, 0.125, 0.1388888888888889, 0.15277777777777776, 0.16666666666666666, 0.18055555555555555, 0.19444444444444442, 0.20833333333333331, 0.2222222222222222, 0.2361111111111111, 0.25, 0.2638888888888889, 0.2777777777777778, 0.29166666666666663, 0.3055555555555555, 0.3194444444444444, 0.3333333333333333, 0.3472222222222222, 0.3611111111111111, 0.375, 0.38888888888888884, 0.40277777777777773, 0.41666666666666663, 0.4305555555555555, 0.4444444444444444, 0.4583333333333333, 0.4722222222222222, 0.4861111111111111]",0.0,0.0,0.0,58534.89813829406,57535.29813829406,39535.84671608488,39529.646716084884,"[0, 0]",0.0,-8.0,2,7.0,"[20, 59]",0.0,-3.5,"[39535.84671608488, 58534.89813829406]",48782.77242718948,95797.34485437896,48782.77242718947,"[36, 71]",0.0,-3.5,35,72,smoothed,3.3390128986036263e-06,0.06119884477594015,0.026004749331190208,0.027552109458273237,0.015248362680883726,3774794.2652523913,3696215.263401431,50138.34764049554,49138.747640495545,0.0549726266068394,gaus2,1292.8806782995453,375483545.5300588,10.364699253342536,-30.4399807793952,0.638095238095238,CWT,0.5252759199842695,0.3295157126937396,0.9999999999999999,0.39639878459816397,0.387622149837133,0.9999999999999999,0.04124690758780361,,0.7558083078737975,0.5893639416247932,0.5631746213711645,0.5963501016366186,0.9425969480948494,0.9425969480948494,0.9425969480948494,0.10944408432358838,0.6992754285105295,0.3520788465444939,0.9474855344689452,0.8896405828292588,0.42502716500331883,0.0,0.3333333333333333,0.0,0.38992214569500994,1.0,0.10000000000000009,0.3849153134554023,0.3849153134554023,1.0,4.2717990819553835,0.7869796586872252,2,1.7317508577886942,0.730203394748225,2,0.0,0.5612966165641003,0.8292554029323501,2,0,0.5044706172160192,0.6808335674445792,2,0.0,1.0,2.0,2.0,0.9,2,gaus,0.71875,1.0,0.196875,1,1.75,0.35570546302704403,0.5234551154496213,0.5064786630789696,0.30210996977531307,0.9621497761542078,0.39428786173116004,0.3801916932907343,1.0,0.0412469075878036,,0.7653639678041562,0.5893639416247932,0.5611901328372831,0.5963501016366186,0.9425969480948495,0.9425969480948495,0.9425969480948494,0.13471007414865166,0.6992754285105296,0.3438516737119422,0.9478540071147559,0.882707987082161,0.4182781510924923,0.08657803549224827,0.3333333333333333,0.0,0.3899221456950098,1.0,0.24999999999999994,0.37740750681487023,0.37740750681487023,1.0,4.33364654301025,0.6785897974864152,4,1.7370403747178644,0.7417027505172703,3,0.7071067811865476,0.9646446609406726,3.5,3.428571428571429,0.8948223304703362,3,11.0625,10.5,5.507192267087346,16,0.7375,1.0,0.18374999999999997,3,3.0
844732.4777693757,834399.8798752172,51004.53726661924,50444.03726661924,499434.6400400919,0.7433241111737802,0.013888888888888888,0.0,4615.486762908139,4578.286762908139,29752.378274742823,0.4861111111111111,0.0,mdp.39015056038089,False,,-50941.887328092984,49795.887328092984,83579453309.61316,83543504081.61316,6.0,0.0,"[2096785.3931989092, 86698.3753584245, 844732.4777693757, 189246.749695571, 210137.8676919924, 57081.136024897656, 47257.1164310965, 7706.065062739299, 50287.132739513014, 10829.440184585974, 16866.87400042104, 9125.771755358128, 16027.612099712474, 3917.2093695544036, 7890.299244710547, 6612.744011748112, 12163.57513115167, 9833.707851801882, 3233.352179729988, 7187.45519346904, 7850.708698799332, 6053.811939647902, 4536.669305667639, 3872.493736551582, 2239.5191506623223, 5057.54913460836, 3849.206837797214, 4221.461614105779, 3454.243421221038, 3387.1331461114464, 3637.0247329126737, 3488.261931914235, 3395.347959387862, 3370.8992636625853, 3251.768921816802, 2861.741739404015]",3342520.358565301,2235419.3020893023,101117.15898873145,"[0.0, 0.013888888888888888, 0.027777777777777776, 0.041666666666666664, 0.05555555555555555, 0.06944444444444445, 0.08333333333333333, 0.09722222222222221, 0.1111111111111111, 0.125, 0.1388888888888889, 0.15277777777777776, 0.16666666666666666, 0.18055555555555555, 0.19444444444444442, 0.20833333333333331, 0.2222222222222222, 0.2361111111111111, 0.25, 0.2638888888888889, 0.2777777777777778, 0.29166666666666663, 0.3055555555555555, 0.3194444444444444, 0.3333333333333333, 0.3472222222222222, 0.3611111111111111, 0.375, 0.38888888888888884, 0.40277777777777773, 0.41666666666666663, 0.4305555555555555, 0.4444444444444444, 0.4583333333333333, 0.4722222222222222, 0.4861111111111111]",0.0,0.0,0.0,59658.28711708466,58527.28711708466,42350.78741615382,42166.78741615382,"[0, 0]",0.0,-9.0,2,8.0,"[21, 59]",0.0,-9.0,"[42350.78741615382, 59658.28711708466]",50444.03726661924,96404.07453323848,50444.03726661924,"[36, 71]",0.0,-9.0,35,72,raw,1.1979327006342513e-06,0.05870541643560967,0.08980105644109165,0.02696249435379739,0.09616448913085507,3758148.1965290336,3640217.723594331,50941.887328092984,49795.887328092984,0.05558890956760469,gaus2,1320.0884039267694,378763746.63464683,10.392983128816928,-29.31660984455819,0.6448412698412699,CWT,0.5220229135214823,0.3284830749394776,1.0,0.3951496346651753,0.41390728476821226,1.0,0.0359601227866594,,0.8195829542785852,0.5713797224184037,0.563829407989117,0.577273932103256,0.9811634834199658,0.9811634834199658,0.9811634834199658,0.9310956277481313,0.6945693207277109,0.35863603003653977,0.9833450452005832,0.8954382735871784,0.4243567037006788,0.9347701892921914,0.0,0.5,0.3946444192421014,0.5,0.09090909090909091,0.3665333029023516,0.3665333029023516,0.1,5.124989623107307,0.7909831192906857,2,1.6312184993746677,0.7950683722921288,2,0.0,0.5916539896953715,0.7861075923045006,2,0,0.5279318615258581,0.7562943519800457,2,0.0,1.0,2.0,2.0,0.9,2,gaus,0.8392857142857143,1.0,0.11249999999999998,1,1.75,,0.522954106461597,0.13300760534914402,0.39171575019368143,1.0000000000000002,0.39907250121472754,0.4345047923322686,0.8117317545357272,0.04464759602384885,,0.8195829542785851,0.5699168818379526,0.5654826378326813,0.5818213516718274,0.9808386968077445,0.9808386968077445,0.9808386968077445,0.9310956277481313,0.68845131552263,0.3586360300365397,0.9541978157256465,0.9000655411222843,0.42435670370067885,0.9347701892921914,0.0,0.5,0.39446462384500464,0.08333333333333334,0.08333333333333331,0.3876833457153662,0.3876833457153662,0.08333333333333334,5.073037307823518,0.7943682820440042,3,1.647707871423533,0.7035584653478708,5,1.4142135623730951,0.9292893218813453,4.0,3.75,0.8646446609406726,4,11.0625,10.5,5.507192267087346,16,0.7375,1.0,0.18374999999999997,3,3.75
867063.1561036702,856730.5582095118,51777.379975934964,51216.879975934964,520575.0119113493,0.643831376039574,0.013888888888888888,0.0,3.0,34.2,19366.79133268256,0.4861111111111111,0.0,mdp.39015056038089,False,,-39427.2429032911,38281.2429032911,36884504629.64,36848555401.64,6.0,0.0,"[776466.4605400459, 433999.79709057155, 867063.1561036702, 172011.59295915058, 220242.42382373966, 48663.42408630939, 42952.00820655028, 5896.849470943054, 51321.627870823686, 7269.52075250217, 15762.762854697618, 14488.075821386414, 14864.85951096407, 4741.100013175703, 7638.204321957914, 4890.408434619483, 10867.719394788352, 8566.716711040555, 1652.1611495592383, 6045.94265112487, 7481.956928747091, 4883.0579423976715, 3571.2377759419064, 2972.3347834441533, 1383.661016917555, 3398.8395640752474, 2884.2211584973647, 3785.1284999244867, 2476.1190480492, 2805.573309916629, 2663.5270695657223, 2782.7066192181433, 2482.1579179815762, 2483.0832660698643, 2614.6357714637684, 2144.5949703413594]",2363041.5184400966,1239976.8666285267,73563.53262431863,"[0.0, 0.013888888888888888, 0.027777777777777776, 0.041666666666666664, 0.05555555555555555, 0.06944444444444445, 0.08333333333333333, 0.09722222222222221, 0.1111111111111111, 0.125, 0.1388888888888889, 0.15277777777777776, 0.16666666666666666, 0.18055555555555555, 0.19444444444444442, 0.20833333333333331, 0.2222222222222222, 0.2361111111111111, 0.25, 0.2638888888888889, 0.2777777777777778, 0.29166666666666663, 0.3055555555555555, 0.3194444444444444, 0.3333333333333333, 0.3472222222222222, 0.3611111111111111, 0.375, 0.38888888888888884, 0.40277777777777773, 0.41666666666666663, 0.4305555555555555, 0.4444444444444444, 0.4583333333333333, 0.4722222222222222, 0.4861111111111111]",0.0,0.0,0.0,52428.72303003727,51297.72303003727,51126.03692183267,50942.03692183267,"[0, 36]",0.0,-9.0,2,8.0,"[13, 60]",0.0,-9.0,"[51126.03692183267, 52428.72303003727]",51216.879975934964,97949.75995186993,51216.879975934964,"[36, 71]",0.0,-9.0,35,72,raw,9.447301723296264e-07,0.059492484348362094,0.08901398852833922,0.03575650221827561,0.08737048126637684,2766217.647410172,2648287.1744754696,39427.2429032911,38281.2429032911,0.07284760684677795,gaus4,808.0265736363915,165878856.40192732,10.330762694928119,-25.749459631079755,0.6349206349206349,CWT,0.2144230380848161,0.6425951510003409,0.8998589218174644,0.0825996682942475,0.33112582781456923,0.8736896710671398,0.044726721275477645,,1.0,0.301965136271219,0.1956257847413697,0.30655510277442444,1.0,1.0,1.0,0.8445440201913763,0.49896786102804314,0.0,0.9999999999999999,0.7630799460237186,0.4635530015544303,0.9243058715542655,0.0,0.5,0.12786502236953434,0.5,0.09090909090909091,0.18025690234565048,0.18025690234565048,0.1,4.278153827837249,0.6602837680472003,4,1.44093018514438,0.7023203925951808,4,0.0,0.4989947564594899,0.6629948811380573,4,0,0.44128842847915095,0.6321723888539836,4,0.0,1.0,4.0,4.0,0.8,3,gaus,0.8392857142857143,1.0,0.11249999999999998,1,2.5,,0.21595349580244783,0.08884119992655415,0.6762497975292223,0.9167349837681891,0.088549634236327,0.35463258785942453,0.7092016496150717,0.05333414904593798,,1.0,0.31000587617287,0.1986746272869626,0.3244616358659087,0.9986292717857772,0.9986292717857772,0.9986292717857772,0.8445440201913763,0.4967148860866603,0.0,0.9703591027206617,0.773564589992313,0.4635530015544304,0.9243058715542655,0.0,0.5,0.12941256274901267,0.08333333333333334,0.08333333333333331,0.20762629949075428,0.20762629949075428,0.08333333333333334,4.242102854553008,0.6642553074917122,6,1.4466979508466657,0.617728790261973,8,1.4142135623730951,0.9292893218813453,7.0,6.857142857142858,0.7896446609406726,5,11.0625,10.5,5.507192267087346,16,0.7375,1.0,0.18374999999999997,3,4.5
862889.1711676766,852548.8601100586,51529.02596071194,51276.42596071194,495643.5395518421,0.796931881909506,0.013888888888888888,0.0,0.0,197.32000000000005,19082.37042756381,0.4861111111111111,0.0,mdp.39015056038089,False,,-38145.421028439356,37145.82102843936,35576376283.48462,35543752388.324615,4.0,1.0,"[766616.1501298231, 402799.6632411431, 862889.1711676766, 176392.9141173316, 205628.45602819868, 51022.59382324806, 41477.201145164494, 7614.200234803645, 38478.04754266826, 11251.027490766572, 12848.216967281367, 4247.459381452418, 10131.141113623731, 6841.320410855494, 6810.664617951574, 6239.3379356373525, 4989.589114637296, 4431.696904591506, 5482.484713055512, 3916.3095172789162, 3318.2287799707187, 3631.4767184873785, 3939.273471294458, 3714.9570554098536, 3868.500400508719, 3246.469078810168, 3516.142462138229, 3142.665570264459, 3169.447678770567, 3092.958082238447, 3105.7037915946894, 3083.1671784387386, 2998.607570913844, 2973.8961716307854, 3027.127406578688, 2898.146361157331]",2331709.2947105044,1218602.5001044467,72340.42809790101,"[0.0, 0.013888888888888888, 0.027777777777777776, 0.041666666666666664, 0.05555555555555555, 0.06944444444444445, 0.08333333333333333, 0.09722222222222221, 0.1111111111111111, 0.125, 0.1388888888888889, 0.15277777777777776, 0.16666666666666666, 0.18055555555555555, 0.19444444444444442, 0.20833333333333331, 0.2222222222222222, 0.2361111111111111, 0.25, 0.2638888888888889, 0.2777777777777778, 0.29166666666666663, 0.3055555555555555, 0.3194444444444444, 0.3333333333333333, 0.3472222222222222, 0.3611111111111111, 0.375, 0.38888888888888884, 0.40277777777777773, 0.41666666666666663, 0.4305555555555555, 0.4444444444444444, 0.4583333333333333, 0.4722222222222222, 0.4861111111111111]",0.0,0.0,0.0,52251.78456169265,51252.18456169265,50806.26735973122,50800.06735973122,"[0, 36]",0.0,-3.5,2,7.0,"[14, 60]",0.0,-3.5,"[52251.78456169265, 50806.26735973122]",51276.42596071194,100784.65192142388,51276.42596071193,"[36, 71]",0.0,-3.5,35,72,smoothed,2.504869412339418e-06,0.060521242648505516,0.02668235145862484,0.035100745969320515,0.0076997261698364475,2682834.4133753963,2604255.411524436,38145.421028439356,37145.82102843936,0.07426323339064309,gaus4,788.1536714959491,159646611.4703845,10.293690541125555,-26.755971030348146,0.6341269841269841,CWT,0.20826787602369934,0.6500280013553975,0.9012360413107768,0.07988442387181954,0.355048859934853,0.8644428220906906,0.043089837456317524,,1.0,0.3016916692235492,0.19147314637027116,0.3130374469349618,1.0,1.0,1.0,0.00632787361313597,0.4882037125801061,0.003303950832285279,1.0,0.7788369195219415,0.4636062975570278,0.026541913105481513,0.3333333333333333,0.0,0.12200617859440649,1.0,1.0,0.193648588602918,0.193648588602918,1.0,3.586830142181091,0.660790057516148,5,1.4978161184650716,0.6315633738495066,4,0.0,0.5188936190396517,0.7666095330660376,3,0,0.4084689471140612,0.5512697092027317,4,0.816496580927726,0.9183503419072274,4.0,3.8709677419354844,0.7591751709536136,3,gaus,0.71875,1.0,0.196875,1,2.5,0.16575371486893506,0.20754594098221324,0.36097806463852106,0.5959653281393198,0.8671240554092684,0.07945901929536658,0.3482428115015971,0.8669760932372644,0.04308983745631752,,0.9970811395208614,0.3016916692235492,0.19079844220375017,0.3130374469349618,1.0,1.0,1.0,0.06041555054106784,0.4882037125801061,0.012874029980475304,0.9999999999999998,0.7727677702270775,0.4562130057967147,0.09558697086680074,0.3333333333333333,0.0,0.12200617859440645,1.0,0.9999999999999998,0.1898714560529263,0.1898714560529263,1.0,3.6492364386429963,0.5714205326396276,9,1.5047514328002014,0.6425171762251005,7,1.4142135623730951,0.9292893218813453,8.0,7.875,0.7646446609406726,6,11.0625,10.5,5.507192267087346,16,0.7375,1.0,0.18374999999999997,3,5.25
