signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,scales_used,emd_value,kl_divergence,is_complex,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,dynamic_cutoff,dominant_frequency,amplitude_max,num_fft_peaks,positive_frequencies,positive_amplitudes,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,max_autocorrelation,upper_envelope,lower_envelope,spectral_magnitude,spectral_centroid,spectral_bandwidth,frequency_max,wavelet_type,htid,max_autocorrelation_diff,frequency_max_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_num_peaks_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,spectral_centroid_diff,lower_envelope_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,spectral_bandwidth_diff,spectral_magnitude_diff,avg_prominence_diff,num_fft_peaks_diff,amplitude_max_diff,prominence_min_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,prominence_max_diff,upper_envelope_diff,dominant_frequency_diff,dynamic_cutoff_diff,emd_value_normalized,smoothness_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,spectral_centroid_diff_normalized,spectral_magnitude_diff_normalized,dynamic_cutoff_diff_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,amplitude_max_diff_normalized,frequency_max_diff_normalized,spectral_bandwidth_diff_normalized,num_fft_peaks_diff_normalized,relative_num_peaks_diff_normalized,dominant_frequency_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,top_wavelet_rank
smoothed,gaus2,1714320967.9652107,0.7008547008547008,1039.035052097881,-41.52914232363219,195,96,71187.4173744046,,False,13.062801788460535,345195.1137038738,0.02295043232954914,6.231952878502988e-06,0.5514380041041493,63561.784674500646,,,,[],[],2,89083.77027697065,55363.80641212359,122803.73414181771,"[68, 142]","[122803.73414181771, 55363.80641212359]","[0, 120]","[194, 194]",1245753539791.054,126955.76136777776,-126955.76136777776,0.0,,,,CWT,mdp.39015067403801,1245722668882.134,,0.0,-21.0,20.0,0.0,-21.0,,126288.56136777776,88862.07027697065,173290.1405539413,88862.07027697065,,0.0,88862.07027697065,,,55361.20641212359,0.0,-21.0,122136.53414181771,126288.56136777776,,63170.58467450065,0.5440839986480578,0.9474875951163062,0.2698569025757988,0.0,0.40422178496286454,1.0,0.9584502652617064,0.07410068231583032,,0.4364071538525168,0.6572318882046344,0.6572318882046344,0.6572318882046343,,0.0,0.5738165825979593,0.8861559102624338,0.6361277130689196,,,,,0.75,,0.39606950287404424,0.07692307692307693,0.07692307692307693,0.3992980340365274,0.3992980340365274,0.08333333333333334,2.4602861956074977,0.7021276665754845,2,1.6245168911872356,0.9109503111824232,2,0,0.4457365388348212,0.693961755998835,2,0.11111111111111112,0.5192195980545149,1.0,1,0.5,0.95,1.75,1.6,0.8875,1,gaus,5.375,5.5,2.669269563007828,8,0.5375,1.0,0.32375,1,1.0,1
smoothed,mexh,3802815470.7863464,0.6260149572649573,1397.6616825866467,-45.30748140812469,195,96,114450.99400784395,-398029.3889138023,False,13.106692166676773,513583.61184123677,0.019533682973803108,6.466557071906313e-06,0.3836545847748236,110189.1103991078,,,,[],[],2,98353.34689172244,23026.033577465976,173680.6602059789,"[70, 138]","[173680.6602059789, 23026.033577465976]","[0, 122]","[194, 194]",2963766930596.3506,183029.35416253106,-183029.35416253106,0.0,,,,CWT,mdp.39015067403801,2963736059687.4307,,0.0,-21.0,20.0,0.0,-16.5,,182362.15416253105,98131.64689172244,191829.29378344488,98131.64689172244,,0.0,98131.64689172244,,,23023.433577465978,0.0,-21.0,173013.4602059789,182362.15416253105,,109797.9103991078,1.0,1.0,0.0,0.20718674780040502,1.0,0.014074595355383579,0.7208607296431208,0.16080263240949638,0.0,0.16212453172939761,0.754316357763023,0.754316357763023,0.754316357763023,,0.0,1.0,1.0,1.0,,,,,0.75,,1.0,0.07692307692307693,0.07692307692307693,0.7361764426651065,0.7361764426651065,0.8333333333333333,3.5040439406228647,1.0,1,1.5618885568634027,0.8758313777009511,3,0,0.6423070651685444,1.0,1,0.0,0.45588052280093383,0.8780110082691238,4,1.5,0.85,2.25,1.5483870967741935,0.8125,2,mexh,2.0,2.0,,1,0.2,,,2,2.0,2
smoothed,gaus1,3059814017.4419394,0.6249465811965812,1316.1387627183217,-45.096188749562174,195,96,103947.13134261241,,False,13.156193837864805,2143433.7388191395,0.023786842309213612,5.195586628686432e-06,-0.12541025162403205,49601.66127935819,,,,[],[],1,33859.827756055165,33859.827756055165,33859.827756055165,[111],[33859.827756055165],[3],[129],2806271695689.7573,226942.92756096894,-226942.92756096894,0.0,,,,CWT,mdp.39015067403801,2806240824780.8374,,0.0,-21.5,21.0,0.0,-21.5,,226275.72756096892,33638.12775605517,28982.427756055164,33638.12775605517,,0.0,33638.12775605517,,,33857.22775605517,0.0,-21.5,33192.62775605517,226275.72756096892,,49210.46127935819,0.889309219492942,0.7155135484094712,0.015090964866205092,0.44086188756803246,0.7880463276079597,0.0,0.0,1.0,,0.25401464086087544,0.07884655418260308,0.07884655418260308,0.07884655418260303,,0.0,0.44621816249907376,0.0,0.0,,,,,1.0,,0.94463595218689,0.0,0.0,1.0,1.0,0.0,1.6425933483655872,0.46877076206801405,6,1.504955516878443,0.8439060891599637,6,0,0.32542722787297657,0.5066536638322403,5,0.11111111111111112,0.4755471879375207,0.9158883634580972,3,1.4142135623730951,0.8585786437626906,5.0,4.615384615384615,0.6792893218813453,3,gaus,5.375,5.5,2.669269563007828,8,0.5375,1.0,0.32375,1,2.5,3
smoothed,gaus4,575018708.2600515,0.6614850427350427,620.143791823665,-36.333932034502695,195,96,39619.51790505513,,False,13.169893042140087,294807.2120026808,0.01834861029434508,4.7099593097809325e-06,0.5309829818665586,35663.69250156675,,,,[],[],3,50420.78565338234,3911.638952650297,97662.67894255342,"[39, 67, 183]","[97662.67894255342, 3911.638952650297, 49688.03906494332]","[0, 59, 119]","[119, 119, 194]",377955162842.5853,70482.46396603402,-70482.46396603402,0.0,,,,CWT,mdp.39015067403801,377924291933.66534,,0.0,-20.5,19.0,0.0,-20.5,,69815.26396603402,50199.085653382346,146384.95696014704,50199.08565338235,,0.0,50199.085653382346,,,3909.0389526502972,0.0,-16.0,96995.47894255343,69815.26396603402,,35272.492501566754,0.2114182410504352,0.6068136227047894,0.6409097185097922,0.5055296734610004,0.0792166361544616,0.4813511611541169,0.9294849523963272,0.048156337025348564,,0.0,0.2522969586252518,0.2522969586252518,0.2522969586252518,,0.0,0.31882224019278443,0.7209382167928585,0.4563186334150099,,,,,0.5,,0.09101372857072176,0.15384615384615385,0.8461538461538463,0.060018283792166324,0.060018283792166324,0.16666666666666666,1.3779543190986134,0.3932468720280014,7,1.5059855252704908,0.8444836679283634,5,0,0.275379128606542,0.4287343912903733,7,0.11111111111111112,0.4323044872514783,0.8326043332557123,5,1.1547005383792515,0.8845299461620748,6.0,5.833333333333333,0.6422649730810375,4,gaus,5.375,5.5,2.669269563007828,8,0.5375,1.0,0.32375,1,3.25,4
smoothed,gaus7,500784476.81424737,0.656784188034188,622.0959533118121,-35.31878991871748,195,96,33214.067364493676,,False,13.265271858908747,352291.71144279436,0.02130093734558163,2.554693574180392e-06,0.16043842943657208,0.0,0.005128205128205128,3083143.2428355636,7.0,"[0.0, 0.005128205128205128, 0.010256410256410256, 0.015384615384615385, 0.020512820512820513, 0.02564102564102564, 0.03076923076923077, 0.035897435897435895, 0.041025641025641026, 0.046153846153846156, 0.05128205128205128, 0.05641025641025641, 0.06153846153846154, 0.06666666666666667, 0.07179487179487179, 0.07692307692307693, 0.08205128205128205, 0.08717948717948718, 0.09230769230769231, 0.09743589743589744, 0.10256410256410256, 0.1076923076923077, 0.11282051282051282, 0.11794871794871795, 0.12307692307692308, 0.1282051282051282, 0.13333333333333333, 0.13846153846153847, 0.14358974358974358, 0.14871794871794872, 0.15384615384615385, 0.15897435897435896, 0.1641025641025641, 0.16923076923076924, 0.17435897435897435, 0.1794871794871795, 0.18461538461538463, 0.18974358974358974, 0.19487179487179487, 0.2, 0.20512820512820512, 0.21025641025641026, 0.2153846153846154, 0.2205128205128205, 0.22564102564102564, 0.23076923076923078, 0.2358974358974359, 0.24102564102564103, 0.24615384615384617, 0.2512820512820513, 0.2564102564102564, 0.26153846153846155, 0.26666666666666666, 0.2717948717948718, 0.27692307692307694, 0.28205128205128205, 0.28717948717948716, 0.2923076923076923, 0.29743589743589743, 0.30256410256410254, 0.3076923076923077, 0.3128205128205128, 0.31794871794871793, 0.3230769230769231, 0.3282051282051282, 0.3333333333333333, 0.3384615384615385, 0.3435897435897436, 0.3487179487179487, 0.35384615384615387, 0.358974358974359, 0.3641025641025641, 0.36923076923076925, 0.37435897435897436, 0.37948717948717947, 0.38461538461538464, 0.38974358974358975, 0.39487179487179486, 0.4, 0.40512820512820513, 0.41025641025641024, 0.4153846153846154, 0.4205128205128205, 0.4256410256410256, 0.4307692307692308, 0.4358974358974359, 0.441025641025641, 0.4461538461538462, 0.4512820512820513, 0.4564102564102564, 0.46153846153846156, 0.4666666666666667, 0.4717948717948718, 0.47692307692307695, 0.48205128205128206, 0.48717948717948717, 0.49230769230769234]","[694938.5105689777, 2779608.1888395245, 3083143.2428355636, 1812252.3154366557, 832483.4078913991, 1479329.1381460342, 958977.2871851061, 825395.6090587438, 925106.3181124078, 615771.5654238947, 575305.1424423836, 412566.0329573215, 486614.19579406304, 395900.4211264772, 344293.95825683494, 293710.439608209, 290590.4048025633, 292930.5097757714, 261059.20039356052, 240676.66787631557, 272735.5979470056, 201517.4613414043, 195964.11591065698, 188868.4925182194, 177175.0688503082, 182678.01287317762, 174152.26154085126, 159192.8824710452, 149430.53517870998, 155755.36357517572, 152959.44185400076, 136823.5357259479, 138830.1037190908, 138869.67008061588, 131388.12487662767, 128844.15936263528, 125566.07045508147, 122435.34289371518, 119013.42252093654, 116097.8416474643, 114142.39512997484, 110996.27111594276, 108062.27724382277, 105821.42991223905, 101936.63333481415, 101350.47550245671, 100358.66161205193, 99001.25514137883, 96390.80506505081, 95444.70024555697, 95847.55739466129, 91758.7968819086, 91180.8084172676, 89795.4856431458, 86577.2353086132, 87566.36207892638, 86350.49589406702, 85490.52352090599, 83536.96286979642, 84323.28130143843, 81346.2015720395, 81839.25695770835, 80870.08654353739, 79904.46433695366, 78841.84832358584, 79843.5669552026, 78035.49027964525, 77426.95593616196, 76560.47290487737, 75837.41350112621, 73924.86674503704, 73297.20866312494, 74380.59012320639, 73554.06263875311, 72980.36278470542, 72901.48729889694, 73162.51823800291, 72041.23096720582, 71726.74806052736, 71797.58692497155, 70786.33406903732, 71399.17675835338, 70571.67099110615, 69761.54829386316, 70002.7431320546, 69897.0655466156, 70174.63864523826, 69490.1664220476, 68885.37891949543, 68977.99804566316, 71001.57203763833, 69138.93486614789, 69054.93569349077, 69404.42506130693, 67593.46842696855, 68110.08973805113, 68113.68748055481]",2,63233.371757972156,4642.055495534452,121824.68802040986,"[57, 93]","[4642.055495534452, 121824.68802040986]","[4, 4]","[62, 131]",295263581260.8788,74842.71850262888,-74842.71850262888,25387518.729371395,0.09931894966422791,0.12575040078900426,0.49230769230769234,CWT,mdp.39015067403801,295232710351.9588,,0.0,-21.0,20.0,0.0,-21.0,,74175.51850262888,63011.67175797216,121589.34351594432,63011.67175797215,,25387518.729371395,63011.67175797216,,,4639.455495534452,0.0,-21.0,121157.48802040986,74175.51850262888,,391.2,0.14391694724724985,0.12439178148375557,0.7134132977053153,0.9557701967481376,0.05804007196159788,0.4194229415904296,0.40477572612268137,0.07775466622685012,,0.006195249303305672,0.38648896947240424,0.38648896947240424,0.38648896947240413,,1.0,0.0,0.5686748417025926,0.6291255653613632,,,,,0.75,,0.061945289267485104,0.07692307692307693,0.07692307692307693,0.08621378039392964,0.08621378039392964,0.08333333333333334,1.94610828969073,0.5553892367413628,4,1.3762270651733428,0.7717214145807463,8,0,0.3056676601346204,0.47589023492122373,6,0.11111111111111112,0.35663014808019655,0.6868580258073244,7,1.707825127659933,0.8292174872340067,6.25,5.843478260869565,0.6021087436170034,5,gaus,5.375,5.5,2.669269563007828,8,0.5375,1.0,0.32375,1,4.0,5
smoothed,gaus8,473538767.0216289,0.6621260683760684,575.2889970888507,-34.584163048310636,195,96,30863.55665999496,,False,13.221948866874364,315577.4459738052,0.022695765662858962,3.276699159997231e-06,0.4868615825675177,23015.451675119704,,,,[],[],4,32970.51903471401,7495.483842395195,62389.98248102528,"[17, 37, 69, 184]","[7495.483842395195, 62389.98248102528, 10047.894536563, 51948.71527887256]","[0, 0, 59, 119]","[23, 119, 119, 194]",251966915834.94418,77227.8599155693,-77227.8599155693,0.0,,,,CWT,mdp.39015067403801,251936044926.02417,,0.0,-20.0,18.0,0.0,-15.5,,76560.6599155693,32748.819034714008,127004.67613885604,32748.819034714008,,0.0,32748.819034714008,,,7492.883842395195,0.0,-15.5,61722.782481025286,76560.6599155693,,22624.251675119704,0.11914702471842913,0.286001210116266,0.7658818896881259,0.7512618240846747,0.050267774583874686,0.48979591836734704,0.8670068910228986,0.05885077167568421,,0.030397466723133995,0.06953242160963796,0.06953242160963796,0.0695324216096379,,0.0,0.20321469856844368,0.6019289825713576,0.20404795354932592,,,,,0.25,,0.046725281778297684,0.23076923076923078,0.9230769230769231,0.10054321076388215,0.10054321076388215,1.0,1.055258777389495,0.30115455036272076,9,1.5480998360239309,0.8680993315722435,4,0,0.2599896148928928,0.40477464594706003,8,0.11111111111111112,0.41797110747660693,0.8049987116101163,6,2.217355782608345,0.7782644217391654,6.75,6.127659574468085,0.5516322108695827,6,gaus,5.375,5.5,2.669269563007828,8,0.5375,1.0,0.32375,1,4.75,6
smoothed,gaus6,499361369.7474042,0.680982905982906,626.4124020193765,-35.51682250265694,195,96,35350.47756313681,,False,13.274641487100528,320873.6169174035,0.020246839109680895,3.819590516971262e-06,0.4798680018022682,29195.077227775488,,,,[],[],3,44465.641562242796,5604.508001763992,77116.56128003848,"[37, 68, 184]","[77116.56128003848, 5604.508001763992, 50675.855404925926]","[0, 59, 119]","[119, 119, 194]",312313688058.5563,78187.2386052538,-78187.2386052538,0.0,,,,CWT,mdp.39015067403801,312282817149.6363,,0.0,-20.5,19.0,0.0,-20.5,,77520.03860525381,44243.9415622428,128519.5246867284,44243.941562242806,,0.0,44243.9415622428,,,5601.908001763992,0.0,-16.0,76449.36128003849,77520.03860525381,,28803.877227775487,0.16643065671851076,0.40751877692406446,0.6992693951820286,1.0,0.05763410671393012,0.7382125263898671,0.8571036382881018,0.061577729596912295,,0.014358581961598199,0.18992604037727348,0.18992604037727348,0.18992604037727348,,0.0,0.25969775641848736,0.6112312711865869,0.30937259323982036,,,,,0.5,,0.06793888601677783,0.15384615384615385,0.8461538461538463,0.10630695712192414,0.10630695712192414,0.16666666666666666,1.175217380540965,0.3353888822330416,8,1.7833210782689073,1.0,1,0,0.2474438527243738,0.3852423025417654,9,0.11111111111111112,0.4929127981711213,0.9493339620038157,2,4.08248290463863,0.591751709536137,5.0,2.304,0.5458758547680684,7,gaus,5.375,5.5,2.669269563007828,8,0.5375,1.0,0.32375,1,5.5,7
smoothed,gaus3,891603684.0412794,0.6933226495726496,817.5927267827607,-38.46268184788145,195,96,44267.55803735869,,False,13.087400862735926,621870.4319585589,0.03051403217399911,3.228100361578685e-06,0.005290853074980919,7841.841346694132,,,,[],[],1,93267.99151651454,93267.99151651454,93267.99151651454,[93],[93267.99151651454],[4],[131],609106383860.4618,129032.84774622339,-129032.84774622339,0.0,,,,CWT,mdp.39015067403801,609075512951.5417,,0.0,-21.5,21.0,0.0,-21.5,,128365.64774622339,93046.29151651454,88390.59151651454,93046.29151651454,,0.0,93046.29151651454,,,93265.39151651453,0.0,-21.5,92600.79151651454,128365.64774622339,,7450.641346694132,0.2603997639882609,0.2751231446290549,0.4888699417319593,0.11612117291195656,0.16952782994680082,0.9007741027445464,0.1850791627349263,0.2165586880633394,,0.7579029888634594,0.701055130240262,0.701055130240262,0.7010551302402619,,0.0,0.06452475648835246,0.36480999118808544,0.42488778474220695,,,,,1.0,,0.1722699472752584,0.0,0.0,0.41177673423888606,0.41177673423888606,0.0,1.9362774474177793,0.5525836662520831,5,1.117768120470874,0.62679016924754,10,0,0.380740955183728,0.592770928160069,4,0.11111111111111112,0.3210011702883,0.6182377774087734,9,2.943920288775949,0.7056079711224051,7.0,6.050420168067226,0.5028039855612025,8,gaus,5.375,5.5,2.669269563007828,8,0.5375,1.0,0.32375,1,6.25,8
smoothed,gaus5,542745000.6036513,0.6409722222222223,630.3366570145707,-36.22668758304199,195,96,36616.62299828594,,False,13.226141605206301,381526.5350090153,0.018486225075400545,2.75332097298414e-06,0.13067924699707262,0.0,,,,[],[],1,121811.09821967568,121811.09821967568,121811.09821967568,[93],[121811.09821967568],[4],[131],363942988286.54706,90763.95367588532,-90763.95367588532,0.0,,,,CWT,mdp.39015067403801,363912117377.6271,,0.0,-21.5,21.0,0.0,-21.5,,90096.75367588532,121589.39821967568,116933.69821967569,121589.39821967568,,0.0,121589.39821967568,,,121808.49821967568,0.0,-21.5,121143.89821967568,90096.75367588532,,391.2,0.17977342698492074,0.16885135501339688,0.6485693421810522,0.7710538572062042,0.07001001774383743,0.21111893033075388,0.36263526692562864,0.09280745333448216,,1.0,1.0,1.0,1.0,,0.0,0.0,0.5400857419560516,0.6290283709698261,,,,,1.0,,0.0860880512793025,0.0,0.0,0.1818652288074482,0.1818652288074482,0.0,2.300347173625569,0.6564835409046464,3,1.1808856376194934,0.6621834127401187,9,0,0.4412621747880051,0.6869956734357512,3,0.11111111111111112,0.307546900659479,0.5923252932128121,10,3.774917217635375,0.6225082782364625,6.25,4.556962025316456,0.49875413911823124,9,gaus,5.375,5.5,2.669269563007828,8,0.5375,1.0,0.32375,1,7.0,9
smoothed,morl,297325591.98814684,0.6581196581196581,443.7282685462319,-31.306212408043375,195,96,19557.249315513567,,False,13.155304525613804,201280.21222084403,0.03034916043317825,1.998961388125796e-06,0.5807800226760819,13152.80957179529,,,,[],[],5,26331.598183092894,5704.615069160383,48103.19202716839,"[14, 37, 72, 141, 185]","[47276.2681634621, 5704.615069160383, 22138.108206508914, 8435.807449164691, 48103.19202716839]","[0, 31, 59, 119, 119]","[119, 59, 119, 156, 194]",119046554690.26755,60492.38826096739,-60492.38826096739,0.0,,,,CWT,mdp.39015067403801,119015683781.34755,,0.0,-15.0,17.0,0.0,-19.5,,59825.18826096739,26109.898183092893,126780.59091546448,26109.898183092897,,0.0,26109.898183092893,,,5702.015069160383,0.0,-15.0,47435.992027168395,59825.18826096739,,12761.609571795289,0.0,0.0,1.0,0.4366638441573293,0.0,0.43701618578465895,1.0,0.0,,0.015207670396937531,0.0,0.0,0.0,,0.0,0.11306810639556683,0.6005529338400675,0.10186868452678127,,,,,0.0,,0.0,1.0,1.0,0.0,0.0,0.33333333333333337,0.6789738301669557,0.1937686403687803,10,1.3931383963925281,0.7812044692169878,7,0,0.21093538189951244,0.32840271162852924,10,0.11111111111111112,0.35365444818719294,0.6811269249317923,8,1.5,0.85,8.75,8.549618320610687,0.4875,10,morl,10.0,10.0,,1,1.0,,,3,8.25,10
