amplitude_max,amplitude_max_diff,avg_prominence,avg_prominence_diff,avg_variance_across_levels,correlation,dominant_frequency,dominant_frequency_diff,dynamic_cutoff,dynamic_cutoff_diff,emd_value,frequency_max,frequency_max_diff,htid,is_complex,kl_divergence,lower_envelope,lower_envelope_diff,max_autocorrelation,max_autocorrelation_diff,num_fft_peaks,num_fft_peaks_diff,positive_amplitudes,positive_frequencies,prominence_max,prominence_max_diff,prominence_min,prominence_min_diff,relative_left_bases,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,relative_num_peaks,relative_num_peaks_diff,relative_peaks,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,relative_prominences,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,relative_right_bases,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,scales_used,signal_length,signal_type,smoothness,spectral_bandwidth,spectral_bandwidth_diff,spectral_centroid,spectral_centroid_diff,spectral_magnitude,spectral_magnitude_diff,upper_envelope,upper_envelope_diff,variance_ratio_across_levels,wavelet,wavelet_adaptive_threshold,wavelet_energy_entropy,wavelet_entropy,wavelet_psnr,wavelet_sparsity,wavelet_type,emd_value_normalized,smoothness_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,spectral_centroid_diff_normalized,dynamic_cutoff_diff_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,amplitude_max_diff_normalized,frequency_max_diff_normalized,spectral_bandwidth_diff_normalized,num_fft_peaks_diff_normalized,relative_num_peaks_diff_normalized,dominant_frequency_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,top_wavelet_rank
,,44291.283282247176,44014.574191338084,716808.4385633589,0.5316230058650333,,,86032.45547885158,85364.05547885159,77316.83279050632,,,uc1.l0063472831,False,,-110243.58144398285,109349.38144398286,743213635089.8676,743170124645.3876,,,[],[],106539.58059176298,105645.38059176298,12855.668825299625,12851.468825299624,"[0, 0, 73]",0.0,-9.5,3,8.0,"[25, 58, 84]",0.0,-5.0,"[12855.668825299625, 106539.58059176298, 13478.600429678947]",44014.574191338084,129830.04984674153,44014.57419133809,"[36, 108, 108]",0.0,-5.0,53,109,smoothed,5.895157041612389e-06,,,,,0.0,0.0,110243.58144398285,109349.38144398286,0.0377632251683766,mexh,1942.845018134506,1981312182.4339583,11.449846862229517,-39.24540847438314,0.6873809935952917,CWT,1.0,1.0,0.004746858766130013,0.35594069099106707,0.9999999999999999,1.0,0.7031576818311916,0.10927356049432407,,0.18339717233051378,0.7022833289354344,0.7022833289354344,0.7022833289354349,,1.0,0.7022833289354344,0.9999999999999998,,,,,0.0,,1.0,1.0,0.6489274468239501,0.6489274468239501,0.5,2.9977867909383424,1.0,1,2.0057909576854183,1.0,1,0.0,0.6761834909015499,0.8795421442330192,2,0,0.646639849010339,1.0,1,0.5,0.95,1.25,1.1428571428571428,0.9125,1,mexh,1.0,1.0,,1,0.1111111111111111,,,2,1.25,1
,,50833.22654377021,50556.51745286112,449984.92137616465,0.7930895430628244,,,52431.290330295975,51762.89033029597,48692.93739503071,,,uc1.l0063472831,False,,-78380.83655206411,77486.63655206411,302437927957.11786,302394417512.6379,,,[],[],87884.43312197561,86990.23312197562,24462.968883398156,24458.768883398156,"[0, 37, 0]",0.0,-9.5,3,8.0,"[21, 58, 87]",0.0,-0.5,"[40152.277625936855, 24462.968883398156, 87884.43312197561]",50556.51745286112,149455.87963131064,50556.517452861124,"[37, 72, 108]",0.0,-9.5,53,109,smoothed,3.3533094344396176e-06,,,,,0.0,0.0,78380.83655206411,77486.63655206411,0.04405224962496587,gaus2,1380.0063320530926,871018560.4798265,11.507166172672362,-35.301764052810114,0.6686861692920201,CWT,0.5086908694597659,0.4064652736572778,0.3427256847720486,0.567808468745557,0.37206732944525445,0.793893129770992,1.0,0.016735894020211015,,0.45389077791862603,0.9295660533736209,0.9295660533736209,0.9295660533736212,,0.6032716795379689,0.929566053373621,0.7261289829608079,,,,,0.0,,0.36241894412038084,0.0,0.37190915729957175,0.37190915729957175,1.0,2.632233174328065,0.8780588340320711,2,1.6743717624102294,0.8347688257316556,3,0.0,0.5852148394331854,0.7612151459447383,3,0,0.5010483312338884,0.7748491405234712,2,0.5773502691896257,0.9422649730810374,2.5,2.4000000000000004,0.8461324865405186,2,gaus,5.625,5.5,2.669269563007828,8,0.625,1.0,0.26249999999999996,1,1.75,2
,,52860.54685002705,52583.83775911796,401728.57046640787,0.6844638660736536,,,13841.085614204952,13172.685614204953,22692.628315871876,,,uc1.l0063472831,False,,-53023.83748292374,52129.63748292374,89378469300.32335,89334958855.84335,,,[],[],68935.13827469942,68040.93827469942,24699.00417782292,24694.80417782292,"[0, 38, 38]",0.0,-9.5,3,8.0,"[19, 58, 90]",0.0,-5.0,"[64947.4980975588, 24699.00417782292, 68935.13827469942]",52583.83775911796,155537.84055008116,52583.83775911796,"[38, 72, 108]",0.0,-9.5,53,109,smoothed,2.4357298859372666e-06,,,,,0.0,0.0,53023.83748292374,52129.63748292374,0.044800090893850016,gaus4,826.6060558014228,286158349.8751941,11.61643146521515,-29.961672069763377,0.6692054699671109,CWT,0.062413761785664615,0.19220564429114823,0.8003830763260891,0.971682739700344,0.041296417423074494,0.7996183206106866,0.8766775354288279,0.0,,0.45939128514385796,1.0,1.0,1.0,,0.14763786340052895,1.0,0.44793967031110177,,,,,0.0,,0.0542289227165311,0.0,0.15145255403353966,0.15145255403353966,0.5,2.023301635370654,0.6749318001822727,3,1.7336235885962124,0.8643092052806572,2,0.0,0.45477714227993055,0.591548992619953,4,0,0.4680346869457293,0.7237949960276049,3,0.816496580927726,0.9183503419072274,3.0,2.823529411764706,0.8091751709536137,3,gaus,5.625,5.5,2.669269563007828,8,0.625,1.0,0.26249999999999996,1,2.5,3
,,50454.2750854207,50177.565994511606,486486.0923771869,0.6040100978137873,,,3157.078872998552,2488.678872998552,22978.546065472314,,,uc1.l0063472831,False,,-47194.35927007941,46300.15927007941,83759788419.49696,83716277975.01697,,,[],[],62014.2544625563,61120.054462556305,29721.66137658721,29717.46137658721,"[0, 38, 38]",0.0,-9.5,3,8.0,"[19, 57, 92]",0.0,-5.0,"[59626.909417118586, 29721.66137658721, 62014.2544625563]",50177.565994511606,148319.0252562621,50177.565994511606,"[38, 72, 108]",0.0,-9.5,53,109,smoothed,2.0311271131627992e-06,,,,,0.0,0.0,47194.35927007941,46300.15927007941,0.041095470703030754,gaus6,781.5977634211233,271071197.3492614,11.579967786327646,-29.72024048726073,0.6652241647914142,CWT,0.06732133984313667,0.09772877819636772,0.8210742832636678,0.836903054547778,0.032763795250570424,0.7557251908396942,0.7853385697178591,0.029394947553477598,,0.5764380271533345,0.9164003751583915,0.9164003751583915,0.9164003751583916,,0.02149199817519653,0.9164003751583915,0.34633610531589454,,,,,0.0,,0.04610151362688042,0.0,0.10077041447464245,0.10077041447464245,0.5,1.8031649077165912,0.6014987167089957,4,1.6051765135136387,0.8002710887509092,4,0.0,0.41211615183493505,0.5360579321075649,5,0,0.42828124490156894,0.6623180516280265,5,0.5773502691896257,0.9422649730810374,4.5,4.444444444444445,0.7461324865405188,4,gaus,5.625,5.5,2.669269563007828,8,0.625,1.0,0.26249999999999996,1,3.25,4
,,51210.99926672069,50934.2901758116,521384.9268537434,0.6258318987127155,,,4763.8109463045475,4095.4109463045475,22426.236602434517,,,uc1.l0063472831,False,,-42689.73707696164,41795.53707696164,77045088812.07407,77001578367.59407,,,[],[],58210.44339695932,57316.243396959326,37941.58655292172,37937.38655292172,"[0, 37, 37]",0.0,-9.5,3,8.0,"[19, 57, 93]",0.0,-9.5,"[57480.96785028101, 37941.58655292172, 58210.44339695932]",50934.2901758116,150589.19780016207,50934.29017581159,"[37, 72, 108]",0.0,-9.5,53,109,smoothed,1.797862709818313e-06,,,,,0.0,0.0,42689.73707696164,41795.53707696164,0.04136896265676532,gaus8,763.6650303468008,278117269.8487437,11.54302676541629,-29.365298952648327,0.6529340488142634,CWT,0.05784133447261905,0.04326031855548357,0.8514935377260641,0.7003589833088968,0.036748740344405284,0.6202290076335871,0.8101128067383153,0.041498291138672844,,0.7679930991754373,0.942690779507462,0.942690779507462,0.9426907795074619,,0.04046265333125934,0.9426907795074619,0.2904934159537691,,,,,0.0,,0.03638871594693527,0.0,0.061606722233942535,0.061606722233942535,0.0,1.7584801025726366,0.5865927850133104,5,1.4985165225749504,0.7470950633380873,5,0.0,0.38687034206962556,0.5032195769086325,6,0,0.3951928774897555,0.6111483511178366,6,0.5773502691896257,0.9422649730810374,5.5,5.454545454545455,0.6961324865405187,5,gaus,5.625,5.5,2.669269563007828,8,0.625,1.0,0.26249999999999996,1,4.0,5
,,,,3285132.9975905423,0.050490526861045444,,,0.0,668.4,69121.17043148505,,,uc1.l0063472831,False,,-150624.0748027748,149729.87480277478,741691184549.885,741647674105.405,,,[],[],,,,,[],,,0,11.0,[],,,[],,,,[],,,53,109,smoothed,3.835075628049578e-06,,,,,0.0,0.0,150624.0748027748,149729.87480277478,0.0426437225664435,gaus1,1521.4026261483225,1662702918.5795362,11.433296421426725,-39.300796332002115,0.5966764756794184,CWT,0.8593271917682971,0.5189602025737724,0.0,0.29476575558703266,0.8198087767418933,0.0,0.1569291588833005,0.9999999999999999,,,,,,,0.0,,,,,,,1.0,,0.997797778763442,,1.0,1.0,,1.298898889381721,0.4332859472554919,7,1.433545148020404,0.7147031661139019,6,0.6153846153846155,0.7687903249834576,1.0,1,0,0.456223885694287,0.7055301129253365,4,2.6457513110645907,0.735424868893541,4.5,2.564885496183206,0.6427124344467705,6,gaus,5.625,5.5,2.669269563007828,8,0.625,1.0,0.26249999999999996,1,4.75,6
,,39606.86990300366,39330.16081209457,586760.0000672096,-0.08773681219121404,,,0.0,668.4,23487.468055126636,,,uc1.l0063472831,False,,-55212.03669858106,54317.836698581064,91770355662.8726,91726845218.39261,,,[],[],90764.76996520038,89870.56996520038,5948.180728399704,5943.980728399704,"[3, 49, 3]",0.0,-9.5,3,8.0,"[30, 65, 106]",0.0,-9.5,"[90764.76996520038, 22107.6590154109, 5948.180728399704]",39330.16081209457,115776.80970901098,39330.160812094575,"[78, 78, 108]",0.0,-9.5,53,109,smoothed,1.6125978342762316e-06,,,,,0.0,0.0,55212.03669858106,54317.836698581064,0.03883200919355665,gaus7,841.7524311120058,291620990.2150086,11.624092497256973,-30.23199036555323,0.6536264497143847,CWT,0.07605662960000856,0.0,0.7772162158050959,1.0,0.04438584374151329,0.6278625954198475,0.0,0.06417116789452576,,0.022426804412454815,0.5395356265071367,0.5395356265071367,0.5395356265071372,,0.0,0.5395356265071367,0.7684144048234319,,,,,0.0,,0.057688780889066274,0.0,0.17047700424698378,0.17047700424698378,0.0,1.2433203129887707,0.41474607758865895,8,1.2881531455595658,0.6422170469080336,7,0.0,0.25750973112672826,0.3349544378465861,8,0,0.3237115565576239,0.5006056416922864,7,0.5773502691896257,0.9422649730810374,7.5,7.466666666666667,0.5961324865405186,7,gaus,5.625,5.5,2.669269563007828,8,0.625,1.0,0.26249999999999996,1,5.5,7
,,35094.84141986287,34818.132328953776,587241.2773356296,-0.07136544557665973,,,0.0,668.4,24071.658588591607,,,uc1.l0063472831,False,,-63861.17482555716,62966.97482555716,99869575392.07751,99826064947.59752,,,[],[],81070.10285735314,80175.90285735314,5426.8055637144425,5422.605563714443,"[3, 49, 3]",0.0,-9.5,3,8.0,"[30, 66, 106]",0.0,-9.5,"[81070.10285735314, 18787.61583852101, 5426.8055637144425]",34818.132328953776,102240.72425958859,34818.132328953776,"[78, 78, 108]",0.0,-9.5,53,109,smoothed,1.8562094252775345e-06,,,,,0.0,0.0,63861.17482555716,62966.97482555716,0.03635769433854913,gaus5,811.0665243128734,292974567.28660125,11.5803028966569,-30.598873604027492,0.6569153539899601,CWT,0.08608385123078205,0.05688458214050811,0.7457735315857817,0.8381417135653566,0.04515136670639432,0.6641221374045795,0.01858637235012417,0.0643380807506942,,0.01027680850867746,0.3827769868499368,0.3827769868499368,0.3827769868499369,,0.0,0.38277698684993655,0.6260897008787147,,,,,0.0,,0.06940428376997318,0.0,0.24567358438853606,0.24567358438853606,0.0,0.984987250222273,0.3285714825349405,9,1.2308198253008906,0.6136331508449887,8,0.0,0.2098635314872449,0.2729788925111156,9,0,0.3148852044667776,0.48695607755800857,8,0.5773502691896257,0.9422649730810374,8.5,8.470588235294118,0.5461324865405187,8,gaus,5.625,5.5,2.669269563007828,8,0.625,1.0,0.26249999999999996,1,6.25,8
,,49906.15889881799,49629.449807908895,403298.9438344921,0.7308198217763652,,,9625.35960591341,8956.959605913411,19056.373914032105,,,uc1.l0063472831,False,,-35603.709372662124,34709.50937266213,51888660691.67599,51845150247.195984,,,[],[],53161.042810987004,52266.84281098701,47897.362430007954,47893.16243000796,"[0, 37, 72]",0.0,-9.5,3,8.0,"[19, 57, 95]",0.0,-9.5,"[48660.071455458994, 53161.042810987004, 47897.362430007954]",49629.449807908895,146674.67669645397,49629.449807908895,"[72, 72, 108]",0.0,-9.5,53,109,smoothed,1.6742896260721643e-06,,,,,0.0,0.0,35603.709372662124,34709.50937266213,0.052935093219612275,morl,579.3528150538103,213139137.7455114,11.353549656574208,-27.63247832469604,0.6422018348623854,CWT,0.0,0.014405356425721522,1.0,0.0,0.0,0.5019083969465651,0.9293053382031239,0.0005446247336349241,,1.0,0.8973575104896553,0.8973575104896553,0.8973575104896554,,0.09786286627161242,0.8973575104896553,0.21636457424087677,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,1.7134142349417618,0.5715597387115856,6,1.177024950881046,0.5868133697438109,9,0.0,0.3772044217285469,0.49064668150794355,7,0,0.30577046453863066,0.47286053435556485,9,1.5,0.85,7.75,7.522388059701493,0.5375,9,morl,9.0,9.0,,1,1.0,,,3,7.5,9
,,24077.262604847958,23800.553513938867,931093.4300270914,-0.013222787581262803,,,0.0,668.4,27848.191428360675,,,uc1.l0063472831,False,,-86109.55500415082,85215.35500415083,157260972348.6567,157217461904.1767,,,[],[],38423.03554268339,37528.835542683395,4985.811774820671,4981.611774820672,"[3, 48, 3]",0.0,-9.5,3,8.0,"[31, 67, 106]",0.0,-5.0,"[38423.03554268339, 28822.940497039803, 4985.811774820671]",23800.553513938867,69187.98781454387,23800.553513938863,"[78, 78, 108]",0.0,-9.5,53,109,smoothed,2.34265960125042e-06,,,,,0.0,0.0,86109.55500415082,85215.35500415083,0.05353247831121423,gaus3,876.2500080109518,472468346.63996935,11.393955405277769,-32.56854746141834,0.642028734637355,CWT,0.15090539422233656,0.17047324546583503,0.5769682370988176,0.14935064850206275,0.14666506181251726,0.4999999999999994,0.08459558931846523,0.1835902222320801,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,0.0,,0.15242080867787083,0.0,0.4391035052151393,0.4391035052151393,0.5,0.35185180642499114,0.11737052397740981,10,0.89787671394325,0.44764221839914686,10,0.0,0.11774060146985763,0.1531504724287355,10,0,0.2453185498315142,0.37937431509512776,10,0.0,1.0,10.0,10.0,0.5,10,gaus,5.625,5.5,2.669269563007828,8,0.625,1.0,0.26249999999999996,1,7.75,10
