signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,scales_used,emd_value,kl_divergence,is_complex,change_point_indices,change_point_prominences,num_change_points,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,fft_frequency_max,fft_amplitude_max,fft_spectral_centroid,fft_spectral_bandwidth,fft_spectral_magnitude,fft_variance_magnitude,fft_num_peaks,fft_peak_amplitude,fft_dominant_frequency,fft_positive_frequencies,fft_positive_amplitudes,fft_snr_threshold,fft_stationarity_threshold,fft_dynamic_cutoff,fft_dynamic_cutoff_percentile,stft_frequency_max,stft_amplitude_max,stft_spectral_centroid,stft_spectral_bandwidth,stft_spectral_magnitude,stft_variance_magnitude,stft_peak_freq_over_time,stft_num_peaks,stft_peak_amplitude,stft_dominant_frequency,stft_positive_frequencies,stft_positive_amplitudes,stft_snr_threshold,stft_stationarity_threshold,stft_window,stft_nperseg,stft_noverlap,stft_dynamic_cutoff,stft_dynamic_cutoff_percentile,wavelet_type,htid,stft_amplitude_max_diff,stft_frequency_max_diff,avg_prominence_diff,fft_variance_magnitude_diff,stft_noverlap_diff,prominence_max_diff,stft_spectral_magnitude_diff,upper_envelope_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,stft_num_peaks_diff,fft_peak_amplitude_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,stft_window_diff,stft_nperseg_diff,prominence_threshold_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,stft_dominant_frequency_diff,relative_num_peaks_diff,stft_variance_magnitude_diff,fft_amplitude_max_diff,fft_dominant_frequency_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,fft_snr_threshold_diff,stft_stationarity_threshold_diff,stft_dynamic_cutoff_percentile_diff,lower_envelope_diff,fft_stationarity_threshold_diff,stft_dynamic_cutoff_diff,fft_frequency_max_diff,fft_num_peaks_diff,fft_dynamic_cutoff_percentile_diff,fft_dynamic_cutoff_diff,prominence_min_diff,fft_spectral_centroid_diff,stft_peak_amplitude_diff,fft_spectral_bandwidth_diff,stft_spectral_bandwidth_diff,fft_spectral_magnitude_diff,distance_factor_diff,stft_snr_threshold_diff,stft_spectral_centroid_diff,emd_value_normalized,smoothness_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,relative_num_peaks_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,reconstruction_signal_num_missing_metrics,reconstruction_signal_missing_metrics_count,reconstruction_signal_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,top_wavelet_rank
raw,gaus2,19.600668264335212,0.6201550387596899,877.5275409287383,-32.75742797795611,86,42,29451.8981073625,,False,"[24, 45, 67]","[38806.11132665144, 824.3167761134573, 12474.655408120983]",3,10.662039714965442,225248.60870926504,0.06992953087201631,4.310527226302711e-06,0.616071240787124,3,17368.361170295295,824.3167761134573,38806.11132665144,"[24, 45, 67]","[38806.11132665144, 824.3167761134573, 12474.655408120983]","[0, 42, 42]","[85, 47, 85]",0.05,10,85375681128.89589,43334.22043354313,-43334.22043354313,0.4883720930232558,2480494.12407123,0.04246013719234402,0.08936242711172412,4729282.063674998,144822771543.73672,5.0,593157.072448685,0.023255813953488372,"[0.0, 0.011627906976744186, 0.023255813953488372, 0.03488372093023256, 0.046511627906976744, 0.05813953488372093, 0.06976744186046512, 0.08139534883720931, 0.09302325581395349, 0.10465116279069767, 0.11627906976744186, 0.12790697674418605, 0.13953488372093023, 0.1511627906976744, 0.16279069767441862, 0.1744186046511628, 0.18604651162790697, 0.19767441860465115, 0.20930232558139533, 0.22093023255813954, 0.23255813953488372]","[2480494.12407123, 348224.3826918391, 593157.072448685, 209534.83499569513, 174358.20442759703, 124268.51590977873, 107031.87615357946, 77364.04755934582, 51814.45082750425, 45866.58910149487, 35286.44574815367, 37146.04388842385, 17656.438752810485, 29862.83532980414, 16779.985852823895, 21431.7580786637, 19733.012695507343, 19688.12881052881, 16435.041889342243, 20457.26032337409, 16570.26883808611]",3.0,0.7,21632.459584319964,15.0,0.5,4320798504.866671,0.05881455740084932,0.07729276651812635,11822945613.129408,7.655063523116773e+17,[0.015625],3.0,4320798504.866671,0.015625,"[0.0, 0.015625, 0.03125, 0.046875, 0.0625, 0.078125, 0.09375, 0.109375, 0.125, 0.140625, 0.15625, 0.171875, 0.1875, 0.203125, 0.21875, 0.234375]","[3.8236423815263704e-22, 4320798504.866671, 2708762724.775433, 1453962227.6416993, 783251893.0795139, 711216128.3588697, 304960849.58758754, 225129010.82475567, 216530434.7337111, 92715084.45876804, 115464094.79130132, 91880831.34354757, 78744363.4789622, 64583612.06506277, 73778778.01731473, 54813613.05130555]",3.0,0.3,boxcar,64.0,32.0,21632.459584319964,15.0,CWT,inu.32000013032919,4320345303.555761,0.0,17178.682598866722,144783603060.63815,16.0,38095.11132665144,11819850371.848158,42620.22043354313,0.0,-17.5,1.0,589203.9556074627,0.0,-22.0,,32.0,0.0,0.0,-22.0,0.015625,25.0,7.655063486010308e+17,2437951.12407123,0.0,17178.682598866722,46794.08351088588,17178.682598866722,0.0,0.39999999999999997,0.0,42620.22043354313,0.19999999999999996,21309.709584319964,0.0,3.0,0.0,21309.709584319964,816.3167761134573,0.07671925435458465,4320345303.555761,0.06427416462132371,0.07597586504633862,4631361.947990234,20.0,0.0,0.1455665327740254,0.6089235601490444,0.03452034322052376,0.19100214540815863,0.3767394997726148,0.8844879839048089,0.15404699738903405,1.0,0.09804272329998294,,0.7152200221377643,1.0,1.0,1.0,0.9114810759548999,0.7241604154153531,0.8571428571428571,0.12790697674418602,0.1527777777777778,0.4368023844238823,0.4368023844238823,0.2325581395348837,2.5245449523123247,1.0,1,1.4390840883700842,0.7030583120225362,4,0,0,0.6329043361296239,1.0,1,1,0.11111111111111112,0.41291485108746534,0.8496819120513859,4,1.7320508075688772,0.8762820851736516,2.5,1.6,0.8488553283011115,2,gaus,7.625,7.0,4.718883039751796,8,0.6354166666666666,1.0,0.25520833333333337,1,1.75,1
raw,mexh,20.44915216824157,0.6666666666666666,1406.9284127314368,-36.82784378585466,86,42,46576.87410530776,,False,"[31, 35, 44, 46, 49, 58]","[53171.21557618639, 430.4176876341953, 828.4784133583162, 47.754028227303934, 371.18559449893655, 1316.587402619094]",6,10.698926087434282,400123.9437342138,0.050857449375883164,4.668875415779974e-06,0.4837027828924744,6,9360.93978375404,47.754028227303934,53171.21557618639,"[31, 35, 44, 46, 49, 58]","[53171.21557618639, 430.4176876341953, 828.4784133583162, 47.754028227303934, 371.18559449893655, 1316.587402619094]","[0, 33, 42, 45, 48, 52]","[85, 85, 52, 52, 52, 85]",0.05,30,215383856261.1296,63286.31646268179,-63286.31646268179,0.4883720930232558,4009515.2433399516,0.029100803891081075,0.0755524411615982,6668910.489959188,378262201573.38477,4.0,33370.57322468848,0.12790697674418605,"[0.0, 0.011627906976744186, 0.023255813953488372, 0.03488372093023256, 0.046511627906976744, 0.05813953488372093, 0.06976744186046512, 0.08139534883720931, 0.09302325581395349, 0.10465116279069767, 0.11627906976744186, 0.12790697674418605, 0.13953488372093023, 0.1511627906976744, 0.16279069767441862, 0.1744186046511628, 0.18604651162790697, 0.19767441860465115, 0.20930232558139533, 0.22093023255813954, 0.23255813953488372]","[4009515.2433399516, 905246.4182898295, 547986.6676836861, 204408.74762169356, 155984.6046925103, 109804.60169599997, 92132.70330394986, 67134.18739907777, 47566.40882568152, 41888.162200863706, 32907.64671385142, 33370.57322468848, 19485.960632384118, 26169.041574347862, 16968.750801035803, 20044.388212631115, 18036.291551866587, 18015.836709908137, 15051.859292607594, 19420.850444064024, 15917.487575869098]",3.0,0.5,26965.97747140937,15.0,0.5,11837938109.918444,0.0483869986748283,0.070360322560757,23051558913.8678,4.547976991022418e+18,[0.015625],3.0,11837938109.918444,0.015625,"[0.0, 0.015625, 0.03125, 0.046875, 0.0625, 0.078125, 0.09375, 0.109375, 0.125, 0.140625, 0.15625, 0.171875, 0.1875, 0.203125, 0.21875, 0.234375]","[1.7391472378927407e-22, 11837938109.918444, 4383460778.006534, 2058928190.6558194, 1114159016.2462487, 885546131.981259, 455625112.1802881, 334415964.195423, 301226625.2167125, 168149024.65482712, 169416948.4648381, 139292667.5544209, 117396910.93545961, 100086813.9467564, 107223735.94416443, 84021091.72635137]",3.0,0.3,boxcar,64.0,32.0,26965.97747140937,15.0,CWT,inu.32000013032919,11837484908.607534,0.0,9171.26121232547,378223033090.2862,16.0,52460.21557618639,23048463672.58655,62572.31646268179,0.0,-7.0,1.0,29417.45638346616,0.0,-20.5,,32.0,0.0,0.0,-25.0,0.015625,22.0,4.5479769873117716e+18,3966972.2433399516,0.10465116279069768,9171.26121232547,50854.63870252424,9171.261212325468,0.0,0.39999999999999997,0.0,62572.31646268179,0.0,26643.22747140937,0.0,4.0,0.0,26643.22747140937,39.754028227303934,0.09007858765584759,11837484908.607534,0.07808415057144963,0.08290830900370796,6570990.374274424,0.0,0.0,0.15599409150004642,1.0,0.0387445825221691,0.005550485515809778,0.4170159935605056,1.0,0.3733681462140992,0.6928807660555887,0.1922345195263246,,0.03432380129917246,0.5300761942556392,0.5300761942556392,0.5287422222888547,1.0,1.0,0.6428571428571428,0.05813953488372092,0.19444444444444448,0.6975564296498415,0.6975564296498415,0.4767441860465116,2.143738187774704,0.8491582555545999,3,1.5268550355647945,0.7459384289510912,3,0,0,0.5325430483025674,0.8414273973207512,3,1,0.11111111111111112,0.4594187561187565,0.9453760408548897,2,0.5,0.9642857142857143,2.75,2.6666666666666665,0.8839285714285714,1,mexh,1.0,1.0,,1,0.08333333333333333,,,5,2.0,2
raw,gaus4,18.215643308185744,0.6295681063122923,485.6015058279681,-26.43848380938076,86,42,13060.785995501245,,False,"[22, 42, 47, 73, 76]","[23680.169553399104, 6868.429244386445, 688.1058848197745, 49.41362700321406, 20603.688696939647]",5,10.825262301653835,150157.41052713656,0.05604671409927662,3.2011859094383272e-06,0.48324885489036246,4,13299.781698710509,49.41362700321406,31857.9185860794,"[22, 45, 73, 76]","[31857.9185860794, 688.1058848197745, 49.41362700321406, 20603.688696939647]","[0, 42, 42, 42]","[42, 47, 74, 85]",0.05,30,20292299855.898468,23994.34163280737,-23994.34163280737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,inu.32000013032919,,,13110.103127281938,,,31146.9185860794,,23280.34163280737,0.0,-21.5,,,0.0,-21.5,,,0.0,0.0,-17.0,,24.0,,,,13110.103127281938,47888.126794842035,13110.645011067421,,,,23280.34163280737,,,,,,,41.41362700321406,,,,,,0.0,,,0.2346060854457978,0.02144333229304187,0.4788986995035443,0.5549634090049982,0.6959316373549098,0.1984334203655352,0.6918275693764713,0.05759691179343854,,0.03577895033600371,0.7612312057819224,0.7612312057819224,0.7605853044659385,0.9353309018491498,0.5907408059311063,0.7857142857142857,0.2441860465116279,0.16666666666666669,0.18404940929251068,0.18404940929251068,0.1395348837209302,1.9155815798645976,0.7587829157528152,5,1.3687447288179104,0.6686943219019117,5,0,0,0.4624249229453811,0.7306395240917938,6,1,0.11111111111111112,0.3611570775866616,0.743176554261845,6,0.5773502691896257,0.9587606950578839,5.5,5.454545454545455,0.7829517761003706,3,gaus,7.625,7.0,4.718883039751796,8,0.6354166666666666,1.0,0.25520833333333337,1,2.5,3
raw,gaus6,18.037728616411577,0.6154485049833887,377.9291481277285,-25.784020185179056,86,42,12439.820831399733,,False,"[14, 21, 42, 47, 77]","[18837.579593191003, 95.46961248602383, 16151.229445770387, 608.2345994373463, 17895.12727628613]",5,10.679175798727808,174625.8859479962,0.06048381740946547,2.7110424840056814e-06,0.36285878307684427,4,13641.555982025322,95.46961248602383,35967.39243989179,"[14, 21, 45, 77]","[35967.39243989179, 95.46961248602383, 608.2345994373463, 17895.12727628613]","[0, 19, 42, 42]","[42, 42, 47, 85]",0.05,20,17175783433.849846,21364.79747093321,-21364.79747093321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,inu.32000013032919,,,13451.877410596751,,,35256.39243989179,,20650.79747093321,0.0,-21.5,,,0.0,-21.5,,,0.0,0.0,-21.5,,24.0,,,,13451.877410596751,49255.22392810129,13451.87741059675,,,,20650.79747093321,,,,,,,87.46961248602383,,,,,,10.0,,,0.22042534465658903,0.015665479405949152,0.5087166274930756,0.3954505121332572,0.671710453375848,0.13185378590078317,0.4125004002157667,0.070776184047482,,0.07616119445935896,0.7812885830782883,0.7812885830782883,0.7806677273237536,0.965133222366907,0.6696511668311167,0.7857142857142857,0.13953488372093023,0.16666666666666669,0.14968388316895823,0.14968388316895823,0.1395348837209302,1.975900420317162,0.7826758713515326,4,1.155689854534772,0.5646072838391601,8,0,0,0.46541741360820355,0.7353677120532198,5,1,0.11111111111111112,0.2978317928480383,0.6128679715692975,7,1.8257418583505538,0.8695898672606748,6.0,5.5721393034825875,0.7205092193446231,4,gaus,7.625,7.0,4.718883039751796,8,0.6354166666666666,1.0,0.25520833333333337,1,3.25,4
raw,gaus8,18.03332930171018,0.6154485049833887,335.80654905602074,-25.047057483365705,86,42,11421.507766791054,,False,"[14, 21, 42, 47, 77]","[16723.41696655538, 120.47390768223522, 17412.00126107768, 577.854088560809, 16479.385411979616]",5,10.54271341934393,183407.35162535886,0.06488701192944216,2.4264333925917463e-06,0.34767626101052673,4,12444.659351907232,120.47390768223522,32600.923999406266,"[14, 21, 45, 77]","[32600.923999406266, 120.47390768223522, 577.854088560809, 16479.385411979616]","[0, 19, 42, 42]","[42, 42, 47, 85]",0.05,20,14442736132.41632,19698.998047569807,-19698.998047569807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,inu.32000013032919,,,12254.980780478661,,,31889.923999406266,,18984.998047569807,0.0,-21.5,,,0.0,-21.5,,,0.0,0.0,-21.5,,24.0,,,,12254.980780478661,44467.63740762893,12254.98078047866,,,,18984.998047569807,,,,,,,112.47390768223522,,,,,,10.0,,,0.19717052386100595,0.01231048293921635,0.5422932847143916,0.24644626455704255,0.6711115336930396,0.13185378590078317,0.37727414903391293,0.07550607934994275,,0.09808515379191357,0.7110474664495257,0.7110474664495257,0.710227217347914,0.8607652264737036,0.6050080399863594,0.7857142857142857,0.13953488372093023,0.16666666666666669,0.1279135419705839,0.1279135419705839,0.1395348837209302,1.8259870872985884,0.7232935526167197,6,1.0808527777075985,0.5280459533818098,10,0,0,0.4319548645219102,0.6824962950379319,7,1,0.11111111111111112,0.2761902074506113,0.5683346649762295,9,1.8257418583505538,0.8695898672606748,8.0,7.682926829268294,0.6490806479160517,5,gaus,7.625,7.0,4.718883039751796,8,0.6354166666666666,1.0,0.25520833333333337,1,4.0,5
raw,morl,17.475259234097802,0.6334440753045404,243.2755843971263,-20.92179180516073,86,42,6922.66354313986,,False,"[11, 14, 22, 29, 33, 41, 48, 79]","[11043.604310592329, 365.410280676997, 859.5201799913548, 118.85559603174215, 785.9348345687247, 11531.641273229143, 961.1517546318628, 12627.63605366392]",8,10.317010835700996,105381.69449107668,0.10705439137102574,1.6343957072597638e-06,0.4187796769832894,7,5612.969576553388,118.85559603174215,23572.278336309115,"[11, 14, 22, 29, 35, 45, 79]","[23572.278336309115, 365.410280676997, 859.5201799913548, 118.85559603174215, 785.9348345687247, 961.1517546318628, 12627.63605366392]","[0, 13, 20, 28, 33, 41, 0]","[41, 41, 41, 41, 41, 48, 85]",0.05,30,5682253602.973032,13727.786100668322,-13727.786100668322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,inu.32000013032919,,,5423.291005124816,,,22861.278336309115,,13013.786100668322,0.0,-20.0,,,0.0,-15.5,,,0.0,0.0,-11.0,,21.0,,,,5423.291005124816,33979.78703587371,5423.291005124816,,,,13013.786100668322,,,,,,,110.85559603174215,,,,,,0.0,,,0.09443216191289894,0.002973874531499398,0.7302439520726285,0.0,0.5951362578681257,0.216710182767624,0.5422471871104437,0.03347970212430256,,0.09666620562583267,0.3101226863080607,0.3101226863080607,0.30816433266490384,0.6321331339052997,0.43163944997760156,0.5714285714285714,0.38372093023255816,0.33333333333333337,0.04987574244404691,0.04987574244404691,0.17441860465116277,1.1945199380493772,0.47316247506516845,10,1.0819111399119077,0.5285630116627563,9,0,0,0.3042917849436233,0.48078638045750705,10,1,0.11111111111111112,0.2713473592428848,0.5583692192818481,11,0.816496580927726,0.9416788156480196,10.0,9.949748743718592,0.6136965506811527,6,morl,6.0,6.0,,1,0.5,,,6,6.0,6
raw,fbsp,14.576020811347721,0.636766334440753,854.7621739118802,-31.813973619726017,86,42,25352.77270896475,-158983.79396987942,True,"[6, 21, 34, 46, 84]","[6637.0492549320625, 394.6695461437848, 565.6991065891998, 27.25503660890263, 34.879867460658716]",5,10.921889752307969,401472.25301780395,0.05166153103776604,8.90693408793067e-06,0.33898749519970073,10,4890.749018285218,9.283766705031667,25790.673648974665,"[11, 14, 21, 24, 34, 43, 46, 50, 73, 76]","[81.8340330529827, 550.003269366076, 25790.673648974665, 70.68333174238796, 181.4299250157419, 104.57555715396029, 989.2724787874704, 9.283766705031667, 20934.369354928203, 195.36481712565728]","[0, 0, 0, 23, 33, 41, 41, 41, 41, 75]","[12, 15, 41, 41, 41, 45, 47, 51, 85, 85]",0.05,30,68722513762.6402,43510.846619373086,-43510.846619373086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,inu.32000013032919,,,4701.070446856646,,,25079.673648974665,,42796.846619373086,0.0,-5.0,,,0.0,8.5,,,0.0,0.0,13.0,,18.0,,,,4701.070446856646,43596.490182852176,4701.739945902073,,,,42796.846619373086,,,,,,,1.2837667050316668,,,,,,0.0,,,0.5153134220968586,0.08870318293171217,0.23398674084603158,0.6604716131337327,0.20043592965840656,0.23237597911227165,0.35711460995499517,0.19296074929035553,0.0,0.000592778588529061,0.26773842588951524,0.26773842588951524,0.26569915789016785,0.8417744699434373,0.47423720846654555,0.3571428571428571,0.9418604651162791,1.0,0.43911071295140797,0.43911071295140797,0.5232558139534884,1.5158751130223416,0.6004547915195153,8,1.0650313327553087,0.5203164548265775,11,0,0,0.4848550857319292,0.7660795764126775,4,0,0.0,0.27570691411381815,0.5673401606482631,10,3.095695936834452,0.778878861654682,8.25,7.068273092369478,0.5947965736844838,7,fbsp,7.0,7.0,,1,0.5833333333333334,,,4,6.25,7
raw,cmor,16.172408306610325,0.6802325581395349,547.583326000291,-27.117149650189262,86,42,15258.967276641171,-140851.84453165045,True,"[6, 21, 45, 83]","[4573.334375163147, 269.71630548818575, 277.9445076767415, 457.5614428861554]",4,11.066255092273042,112627.4678975729,0.05194012455661363,8.621353088646391e-05,0.3547386930101288,4,6454.416568923696,49.09137448666661,13640.3940537276,"[23, 45, 72, 76]","[13640.3940537276, 342.3918592996297, 11785.788988180888, 49.09137448666661]","[0, 42, 42, 74]","[42, 48, 85, 85]",0.05,20,23890735774.12084,23282.526361593573,-23282.526361593573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,inu.32000013032919,,,6264.737997495125,,,12929.3940537276,,22568.526361593573,0.0,-21.5,,,0.0,-17.0,,,0.0,0.0,-26.0,,24.0,,,,6264.737997495125,20506.666275694784,6265.302899317506,,,,22568.526361593573,,,,,,,41.09137448666661,,,,,,10.0,,,0.2848050994285538,0.9999999999999999,0.4479780976215583,0.8181051598643523,0.41776702715826775,0.43733681462141005,0.39366029373938777,0.0373824389631459,0.17604575006802453,0.035496396838208245,0.359503873321824,0.359503873321824,0.35771894393221415,0.33842301375310013,0.24092681837670266,0.7857142857142857,0.03488372093023255,0.2916666666666667,0.17474669186615396,0.17474669186615396,0.1395348837209302,1.0680882488251744,0.4230814934972232,12,1.6899346008695983,0.8256102457928872,2,0,0,0.2744054883590247,0.4335655053923097,12,0,0.0,0.4458978534960777,0.9175531946607121,3,5.5,0.6071428571428572,7.25,4.0,0.5446428571428572,8,cmor,8.0,8.0,,1,0.6666666666666666,,,3,6.75,8
raw,gaus5,18.207671079183804,0.6243078626799557,416.1845307772183,-26.93527934690932,86,42,13188.98605677711,,False,"[5, 32, 37, 58]","[8907.438863942003, 1149.1085951652476, 15379.075532315484, 15354.085095777755]",4,10.684394830708417,236727.06482707267,0.05039475486127129,1.5265420732125188e-06,0.24157306010316903,2,16480.113817339727,1149.1085951652476,31811.119039514208,"[32, 37]","[1149.1085951652476, 31811.119039514208]","[5, 5]","[34, 58]",0.05,20,21582275842.109543,33036.00321312094,-33036.00321312094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,inu.32000013032919,,,16290.435245911156,,,31100.119039514208,,32322.003213120937,0.0,-27.0,,,0.0,-27.0,,,0.0,0.0,-27.0,,26.0,,,,16290.435245911156,27649.227634679453,16290.435245911158,,,,32322.003213120937,,,,,,,1141.1085951652476,,,,,,10.0,,,0.23753374055950163,0.0017024866100695535,0.45626426572333845,0.4011492104621145,0.6948463035724457,0.17362924281984368,0.13109515518590178,0.10422527842982611,,1.0,0.9478722854220201,0.9478722854220201,0.9477243105607991,0.4941287772716915,0.5898421582597042,0.9285714285714286,0.011627906976744179,0.013888888888888923,0.3022149308090329,0.3022149308090329,0.011627906976744179,2.1922179369212462,0.8683616169770763,2,1.057107055176383,0.5164450832620795,12,0,0,0.5414654841640089,0.8555250031548407,2,1,0.11111111111111112,0.2695001548648246,0.5545681059439135,12,5.773502691896258,0.5876069505788387,7.0,3.428571428571429,0.5438034752894194,9,gaus,7.625,7.0,4.718883039751796,8,0.6354166666666666,1.0,0.25520833333333337,1,7.0,9
raw,cgau8,13.391163461539474,0.6760797342192691,409.1700133414058,-23.52576369128226,86,42,10419.354599651997,-126417.80105322764,True,"[6, 24, 32, 41, 48, 54, 67, 84]","[2460.8528975096033, 1443.9823074306678, 778.3755080136089, 3583.119212636997, 497.77940216370007, 701.5823513733994, 22.843367494493577, 45.2574140357392]",8,10.868906528093552,165211.4117911316,0.07939131671941643,6.266368314314496e-06,0.298475407190431,6,5499.334290228807,1.4978706650890672,21507.883406695935,"[11, 14, 21, 45, 77, 79]","[21507.883406695935, 38.95845385125358, 263.4882419362457, 428.4695501772021, 10755.70821804712, 1.4978706650890672]","[0, 13, 19, 42, 42, 78]","[42, 42, 42, 47, 85, 85]",0.05,30,10754398133.227816,16955.76081789999,-16955.76081789999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,inu.32000013032919,,,5309.655718800235,,,20796.883406695935,,16241.76081789999,0.0,-20.5,,,0.0,-20.5,,,0.0,0.0,-20.5,,22.0,,,,5309.655718800235,27685.005741372843,5321.550240481723,,,,16241.76081789999,,,,,,,6.502129334910933,,,,,,0.0,,,0.17428474038095165,0.057575966311027384,0.6116047438479624,0.602618851853478,0.03913026359752103,0.4177545691906009,0.2631190944614327,0.06570533611323764,0.3161879901139806,0.005168279284798669,0.3034538820028132,0.3034538820028132,0.3021766214737676,0.4949087296081088,0.39199881598626907,0.6428571428571428,0.1627906976744186,0.19444444444444448,0.0920621605615231,0.0920621605615231,0.16279069767441856,1.0799789473406833,0.42779152985629765,11,1.1825024119935714,0.5777064429086912,7,0,0,0.2623472928443368,0.414513344068172,14,0,0.0,0.28310906176335465,0.5825720442958982,8,3.1622776601683795,0.7741230242736872,10.0,9.29811320754717,0.5299186549939865,10,cgau,10.0,10.0,,1,0.8333333333333334,,,2,8.0,10
