signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,scales_used,emd_value,kl_divergence,is_complex,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,fft_frequency_max,fft_amplitude_max,fft_spectral_centroid,fft_spectral_bandwidth,fft_spectral_magnitude,fft_variance_magnitude,fft_num_peaks,fft_peak_amplitude,fft_dominant_frequency,fft_positive_frequencies,fft_positive_amplitudes,fft_snr_threshold,fft_stationarity_threshold,fft_dynamic_cutoff,fft_dynamic_cutoff_percentile,stft_frequency_max,stft_amplitude_max,stft_spectral_centroid,stft_spectral_bandwidth,stft_spectral_magnitude,stft_variance_magnitude,stft_peak_freq_over_time,stft_num_peaks,stft_peak_amplitude,stft_dominant_frequency,stft_positive_frequencies,stft_positive_amplitudes,stft_snr_threshold,stft_stationarity_threshold,stft_window,stft_nperseg,stft_noverlap,stft_dynamic_cutoff,stft_dynamic_cutoff_percentile,wavelet_type,htid,fft_frequency_max_diff,fft_snr_threshold_diff,lower_envelope_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,stft_dynamic_cutoff_percentile_diff,prominence_threshold_diff,prominence_min_diff,stft_window_diff,fft_peak_amplitude_diff,avg_prominence_diff,stft_spectral_bandwidth_diff,stft_num_peaks_diff,stft_variance_magnitude_diff,stft_noverlap_diff,fft_spectral_centroid_diff,stft_dominant_frequency_diff,stft_nperseg_diff,fft_variance_magnitude_diff,stft_snr_threshold_diff,stft_dynamic_cutoff_diff,distance_factor_diff,fft_stationarity_threshold_diff,fft_amplitude_max_diff,fft_spectral_magnitude_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,max_autocorrelation_diff,stft_spectral_centroid_diff,stft_amplitude_max_diff,fft_dynamic_cutoff_diff,fft_num_peaks_diff,stft_peak_amplitude_diff,prominence_max_diff,upper_envelope_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,stft_stationarity_threshold_diff,fft_dominant_frequency_diff,fft_dynamic_cutoff_percentile_diff,stft_frequency_max_diff,stft_spectral_magnitude_diff,relative_num_peaks_diff,fft_spectral_bandwidth_diff,emd_value_normalized,smoothness_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,relative_num_peaks_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,reconstruction_signal_num_missing_metrics,reconstruction_signal_missing_metrics_count,reconstruction_signal_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank
smoothed,fbsp,15.939863763418337,0.6939903846153846,744.0036556955376,-35.3872865274991,130,64,31602.977969409076,-176785.7134238571,True,12.278401391559926,273619.34336823865,0.02644674569057583,5.329460647359698e-05,0.2766750327362034,7,12182.163437917927,235.39521856173087,44399.2544700441,"[16, 20, 59, 63, 87, 97, 118]","[235.39521856173087, 44399.2544700441, 458.3281619329791, 368.0177863758081, 3334.4326356200327, 34915.83706489987, 1563.8787279909739]","[0, 0, 57, 62, 57, 57, 112]","[17, 57, 64, 64, 92, 129, 129]",0.05,30,154132896854.83728,52068.7468011999,-52068.7468011999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,txu.059172014879442,,,51488.08013453324,0.0,0.5,,0.0,235.06188522839753,,,11973.718993473482,,,,,,,,,,,0.0,,,,0.0,-8.5,11973.718993473482,80897.81073209216,11973.718993473483,,,,,,,43818.587803377435,51488.08013453324,0.0,-13.0,,,,,,14.0,,0.5381244872434242,1.0000000000000002,0.24626278182310535,0.8895395942526092,0.4682162436467797,0.5198738170347004,0.5017591336544068,0.23783485194575582,0.0,0.3364051342327955,0.6555078684266457,0.6555078684266457,0.6553911001180304,0.9774022289323989,0.6089674950646963,0.5555555555555556,,0.28888888888888886,0.611111111111111,0.44616008205612134,0.44616008205612134,0.689655172413793,2.1126457428872123,0.8685526284241502,5,1.7918600552705302,0.7555296377966947,3,0,0,0.5772260489402335,0.8935061323161306,3,0,0.0,0.4890678788445313,0.8358107942986608,3,1.0,0.9285714285714286,3.5,3.3333333333333335,0.8392857142857143,1,fbsp,1.0,1.0,,1,0.07142857142857142,,,4,1.75
smoothed,mexh,20.553684592424577,0.6807692307692308,1100.6841430988843,-39.56496179325497,130,64,52440.359633386295,,False,11.995214001909064,207717.22668858207,0.031071465531908562,9.796237489644885e-06,0.36259875026488064,5,15358.550600578898,33.9755228341528,69262.7473947248,"[28, 32, 37, 49, 86]","[6713.316879210201, 33.9755228341528, 715.3746191991086, 67.33858692622744, 69262.7473947248]","[0, 31, 31, 48, 0]","[55, 33, 55, 55, 129]",0.05,30,400900226684.0653,77476.28688853688,-77476.28688853688,0.49230769230769234,6855129.478171377,0.016120160908973523,0.05117827439219945,10614156.324430037,735717993863.0804,9.0,146329.75344194204,0.046153846153846156,"[0.0, 0.007692307692307693, 0.015384615384615385, 0.023076923076923078, 0.03076923076923077, 0.038461538461538464, 0.046153846153846156, 0.05384615384615385, 0.06153846153846154, 0.06923076923076923, 0.07692307692307693, 0.08461538461538462, 0.09230769230769231, 0.1, 0.1076923076923077, 0.11538461538461539, 0.12307692307692308, 0.13076923076923078, 0.13846153846153847, 0.14615384615384616, 0.15384615384615385, 0.16153846153846155, 0.16923076923076924, 0.17692307692307693, 0.18461538461538463, 0.19230769230769232, 0.2, 0.2076923076923077, 0.2153846153846154, 0.2230769230769231, 0.23076923076923078, 0.23846153846153847]","[6855129.478171377, 1182905.259313889, 969468.9022105698, 286631.2925823713, 265336.1677837367, 140345.8882054916, 146329.75344194204, 89650.97864962019, 91693.41982569937, 36721.2804295847, 60229.37417114449, 27337.837118489864, 41504.26537188172, 27012.158542948982, 33269.758129917514, 20472.025850642025, 17892.532924938463, 23179.69010683982, 15036.216108489165, 11917.616667257375, 13343.745281328802, 13450.281346813874, 12525.306749747553, 10299.775044711307, 7870.905356191825, 7937.246132744898, 8348.561273349571, 7618.256058280333, 7300.533012210189, 8176.564799729455, 7077.248550792824, 9636.614702799485]",3.0,0.7,35886.97813086143,15.0,0.5,25820292891.55047,0.03610058960921497,0.05929188181147072,36161866060.256,2.5620692353894856e+18,"[0.015625, 0.015625, 0.015625]",1.0,25820292891.55047,0.015625,"[0.0, 0.015625, 0.03125, 0.046875, 0.0625, 0.078125, 0.09375, 0.109375, 0.125, 0.140625, 0.15625, 0.171875, 0.1875, 0.203125, 0.21875, 0.234375]","[1.584050873039048e-21, 25820292891.55047, 4046686530.477486, 1637121600.3523495, 1198911288.66249, 562301117.6814891, 542885216.4252274, 320736592.8174486, 279288598.16364926, 198186687.8659153, 160694160.536718, 157513979.44185537, 120787566.01039076, 106629477.63431436, 98212684.52731726, 89548087.66276619]",3.0,0.5,boxcar,64.0,32.0,35886.97813086143,15.0,CWT,txu.059172014879442,0.0,0.0,76895.62022187021,0.0,-18.5,0.0,0.0,33.642189500819455,,141684.67047227695,15150.106156134452,0.05849335867538515,1.0,2.562069232000688e+18,0.0,0.08860344298579054,0.0625,0.0,735694742668.392,0.0,35710.41146419477,0.0,0.0,6815687.8115047105,10505676.493408611,0.0,-9.5,15150.106156134452,72415.41966956116,15166.771587869436,,0.07706432286115396,25819844438.737816,35710.41146419477,1.0,25819844438.737816,68682.08072805814,76895.62022187021,0.0,-18.5,0.0,0.03076923076923077,0.0,0.0,36158610202.72608,16.0,0.08556663650711967,1.0,0.139628338573875,0.0,0.4550239292193109,1.0,0.45047318611987386,0.6593209122149465,0.16590090158941778,,0.0367937170782065,0.8644755141448036,0.8644755141448036,0.8654177089998816,0.8719500621521146,1.0,0.7777777777777777,,0.044444444444444425,0.5555555555555556,0.7419918607459621,0.7419918607459621,0.034482758620689724,2.40012817452,0.9867426384914244,2,1.5796784661515133,0.6660642363538266,6,0,0,0.6166130645341834,0.9544745172866937,2,1,0.11111111111111112,0.47823785290912235,0.8173024175049628,4,1.9148542155126762,0.8632246988919516,3.5,2.8235294117647056,0.8066123494459758,2,mexh,2.0,2.0,,1,0.14285714285714285,,,5,2.75
smoothed,gaus4,18.69493098248047,0.6754807692307693,456.582314557396,-31.109363707223725,130,64,18777.89608277786,,False,12.072653622445799,133850.00120389406,0.03544652312764921,4.269806645804222e-06,0.47928159595367537,6,13729.723596149403,306.0378206068053,43525.327545235545,"[16, 20, 60, 88, 98, 118]","[496.5479227095784, 43525.327545235545, 306.0378206068053, 2229.775326806044, 33752.489521400035, 2068.1634401384035]","[0, 0, 57, 57, 57, 112]","[18, 57, 63, 92, 129, 129]",0.05,30,57806882426.76656,34626.69339006911,-34626.69339006911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,txu.059172014879442,,,34046.02672340244,0.0,4.5,,0.0,305.70448727347195,,,13521.279151704957,,,,,,,,,,,0.0,,,,0.0,-9.0,13521.279151704957,78001.00824356309,13521.279151704959,,,,,,,42944.66087856888,34046.02672340244,0.0,-18.0,,,,,,15.0,,0.25384734685906785,0.030318849553126574,0.4984348888274414,0.5738453508190885,0.7857621668754559,0.42271293375394337,0.8732869418865041,0.08527281862806696,,0.44148587141571083,0.7573185062085765,0.7573185062085765,0.7571836019529415,0.941389494209607,0.5952230933600157,0.6666666666666666,,0.06666666666666668,0.5833333333333333,0.24307416083426683,0.24307416083426683,0.8275862068965517,2.1767118119002364,0.8948915225910535,4,1.6166236287748013,0.6816419960415933,5,0,0,0.573360022382265,0.8875217897113853,4,1,0.11111111111111112,0.4348796065947812,0.7432037251577875,6,0.9574271077563381,0.9316123494459758,4.75,4.615384615384616,0.7961633175801308,3,gaus,7.875,7.5,3.8706773124535783,8,0.5625,1.0,0.30624999999999997,1,2.5
smoothed,gaus2,19.740041256681167,0.6450721153846154,736.701968334888,-35.789021655655155,130,64,32934.50756686204,,False,12.034648304805675,133539.05101348157,0.03339075261918579,5.938057362824329e-06,0.5483824725241664,5,17418.57398657845,40.58001978268476,53727.230711659606,"[22, 26, 60, 88, 97]","[111.18667522901524, 30965.875096745418, 40.58001978268476, 53727.230711659606, 2247.9974294755157]","[0, 0, 56, 0, 92]","[25, 56, 61, 129, 129]",0.05,30,169082041426.41736,53796.840410216355,-53796.840410216355,0.49230769230769234,4300143.697385518,0.02127886137303304,0.05470806093780095,7596890.330860553,297662436649.9793,12.0,1120579.0808413646,0.015384615384615385,"[0.0, 0.007692307692307693, 0.015384615384615385, 0.023076923076923078, 0.03076923076923077, 0.038461538461538464, 0.046153846153846156, 0.05384615384615385, 0.06153846153846154, 0.06923076923076923, 0.07692307692307693, 0.08461538461538462, 0.09230769230769231, 0.1, 0.1076923076923077, 0.11538461538461539, 0.12307692307692308, 0.13076923076923078, 0.13846153846153847, 0.14615384615384616, 0.15384615384615385, 0.16153846153846155, 0.16923076923076924, 0.17692307692307693, 0.18461538461538463, 0.19230769230769232, 0.2, 0.2076923076923077, 0.2153846153846154, 0.2230769230769231, 0.23076923076923078, 0.23846153846153847]","[4300143.697385518, 477810.1430106987, 1120579.0808413646, 278985.64784600656, 303404.16130552493, 149653.34255920784, 173125.61884668906, 101562.07382810021, 112252.83840032209, 33134.99740417766, 70743.57882159615, 39379.14810678784, 47076.09105250145, 28328.556178302246, 37639.938725019274, 22095.311209110805, 17970.509905180912, 24711.373954349172, 15227.796616578305, 10119.973885580843, 14223.16366255454, 19048.794762905, 12888.81571496362, 11616.834687585204, 5860.264891443837, 7366.474115848036, 7011.453803446581, 7486.1156657874735, 5969.046936370715, 6991.3002051740805, 5565.964535118597, 8130.405891872902]",3.0,0.7,16034.620700988255,15.0,0.5,29580911168.571213,0.020788556625093903,0.02798463428050658,32764130068.948807,2.9026880698627267e+18,"[0.015625, 0.015625, 0.015625]",4.0,29580911168.571213,0.015625,"[0.0, 0.015625, 0.03125, 0.046875, 0.0625, 0.078125, 0.09375, 0.109375, 0.125, 0.140625, 0.15625, 0.171875, 0.1875, 0.203125, 0.21875, 0.234375]","[8.778971238601852e-22, 29580911168.571213, 1507797869.182539, 520489923.6923264, 429150613.70382375, 131816992.70287302, 167012963.65298063, 60138517.787252694, 52663951.229170986, 34024904.47162066, 26668652.12255113, 39411375.832946636, 17221387.29722324, 18576955.17340764, 17832512.880532518, 17941785.822076015]",3.0,0.3,boxcar,64.0,32.0,16034.620700988255,15.0,CWT,txu.059172014879442,0.0,0.0,53216.17374354969,0.0,-14.0,0.0,0.0,40.246686449351415,,1115933.9978716995,17210.129542134004,0.08980060620634929,2.0,2.902688066473929e+18,0.0,0.08344474252173102,0.0625,0.0,297639185455.29083,0.0,15858.054034321587,0.0,0.0,4260702.030718851,7488410.499839126,0.0,-5.0,17210.129542134004,82715.53659955891,17212.837730276275,,0.09237635584527502,29580462715.75856,15858.054034321587,2.0,29580462715.75856,53146.56404499294,53216.17374354969,0.0,-14.0,0.2,0.0,0.0,0.0,32760874211.41889,16.0,0.08203684996151817,0.5676387959743207,0.06331584862698719,0.22258157064168244,0.5155309396810785,0.9062203918511094,0.26309148264984217,1.0,0.08493340804935742,,0.04661789382117579,1.0,1.0,0.9999999999999999,1.0,0.7556702100366215,0.7777777777777777,,0.24444444444444444,0.8055555555555556,0.46628107780543737,0.46628107780543737,0.18965517241379315,2.432375049880708,1.0,1,1.5729209578111754,0.6632149637146121,7,0,0,0.6460236008050202,1.0,1,1,0.11111111111111112,0.44735849912874165,0.764529994029542,5,3.0,0.7857142857142857,3.5,1.7073170731707317,0.7678571428571428,4,gaus,7.875,7.5,3.8706773124535783,8,0.5625,1.0,0.30624999999999997,1,3.25
smoothed,gaus6,18.649500872542546,0.6605769230769231,403.25647989936897,-30.697857502378888,130,64,17639.576111423197,,False,11.97895031368017,161710.9853164071,0.035109325893040715,3.591313335994582e-06,0.4410827983022159,7,10851.152069969417,154.40528054720562,42023.70295096514,"[16, 20, 59, 88, 99, 105, 118]","[42023.70295096514, 403.7186451561356, 355.71952649102604, 2716.1890718222476, 25370.975529639963, 154.40528054720562, 4933.353485164205]","[0, 18, 57, 64, 64, 104, 112]","[64, 64, 64, 92, 129, 112, 129]",0.05,30,52292370545.023026,33824.467097400644,-33824.467097400644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,txu.059172014879442,,,33243.80043073398,0.0,9.5,,0.0,154.07194721387228,,,10642.707625524972,,,,,,,,,,,0.0,,,,0.0,-13.0,10642.707625524972,71580.73115645259,10642.707625524974,,,,,,,41443.036284298476,33243.80043073398,0.0,-17.5,,,,,,14.0,,0.22861566809400488,0.01689865863877766,0.5226920788424779,0.4300693317869006,0.7805259439249576,0.3444794952681386,0.8032402694432481,0.11568383953305862,,0.21593275432902706,0.5679435074904622,0.5679435074904622,0.5678423373810662,0.8615733049801044,0.5716067805455298,0.5555555555555556,,0.08888888888888888,0.3611111111111111,0.2337334678645389,0.2337334678645389,1.0,1.85320428413816,0.761890845833601,7,1.4979286248790287,0.6315947878135428,8,0,0,0.485488723625107,0.75150307669895,7,1,0.11111111111111112,0.3997201051358899,0.6831165836531571,9,0.9574271077563381,0.9316123494459758,7.75,7.665399239543728,0.6890204604372736,5,gaus,7.875,7.5,3.8706773124535783,8,0.5625,1.0,0.30624999999999997,1,4.0
smoothed,gaus8,18.62793744261691,0.6538461538461539,359.05426047638696,-29.88097334563441,130,64,15758.845813723912,,False,11.8530564641116,163760.59240125524,0.03804665181987424,3.2830266358212763e-06,0.45702541252275675,7,10639.607534174682,160.88098353198257,41381.99240194415,"[16, 20, 59, 88, 98, 105, 119]","[41381.99240194415, 396.66850076186165, 543.3249792468778, 4058.025178521455, 5709.066469528432, 160.88098353198257, 22227.294225688]","[0, 18, 57, 65, 65, 104, 65]","[65, 65, 65, 92, 111, 111, 129]",0.05,30,43316631671.03445,31647.181613796034,-31647.181613796034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,txu.059172014879442,,,31066.514947129366,0.0,9.5,,0.0,160.54765019864922,,,10431.163089730237,,,,,,,,,,,0.0,,,,0.0,-13.0,10431.163089730237,70099.91940588945,10431.163089730237,,,,,,,40801.32573527749,31066.514947129366,0.0,-4.0,,,,,,14.0,,0.18692793186040732,0.010800932525839024,0.5708452147542322,0.23690095011449844,0.7780405674461783,0.30914826498422704,0.8324748826995308,0.11792104133657788,,0.22556535029404803,0.5540264497308742,0.5540264497308742,0.5539277587241308,0.843164013715479,0.5615144864263073,0.5555555555555556,,0.6888888888888889,0.3611111111111111,0.20838232268809798,0.20838232268809798,1.0,1.8791782039123328,0.7725692647622308,6,1.413114222556886,0.5958331810530656,10,0,0,0.5262120591294553,0.8145399927707505,6,1,0.11111111111111112,0.37482691765963083,0.6405744423734768,10,2.309401076758503,0.8350427802315354,8.0,7.5,0.631807104401482,6,gaus,7.875,7.5,3.8706773124535783,8,0.5625,1.0,0.30624999999999997,1,4.75
smoothed,morl,18.111391816211285,0.6695913461538462,271.6699986835637,-26.32255810097782,130,64,10079.435324537688,,False,11.698660737864094,98789.28922915504,0.05674559472972013,3.085553767206406e-06,0.5402653569350236,8,8491.659944772078,158.9585841712642,35008.98304757396,"[16, 20, 60, 76, 84, 98, 105, 121]","[35008.98304757396, 408.2658819111748, 1146.2728446431574, 158.9585841712642, 11526.113181147277, 2997.562636933054, 196.81061871786778, 16490.312763078877]","[0, 18, 57, 65, 65, 93, 104, 65]","[65, 65, 65, 77, 109, 109, 109, 129]",0.05,30,19240141920.63835,22345.170879760968,-22345.170879760968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,txu.059172014879442,,,21764.5042130943,0.0,1.0,,0.0,158.62525083793085,,,8283.215500327633,,,,,,,,,,,0.0,,,,0.0,-12.5,8283.215500327633,63555.94622484329,8283.215500327635,,,,,,,34428.316380907294,21764.5042130943,0.0,-3.5,,,,,,13.0,,0.06103972411198344,0.0068950375687329285,0.7806042748262043,0.0,0.7185041043458164,0.39179810725552056,0.9851153184965495,0.047003099206030866,,0.22270578487408577,0.41271762058064054,0.41271762058064054,0.412644101495955,0.7618100480463363,0.46128505288031635,0.4444444444444444,,0.711111111111111,0.3888888888888889,0.1000746954490058,0.1000746954490058,0.7068965517241379,1.5189700550249308,0.6244801989312571,10,1.4175616555560862,0.5977084209375239,9,0,0,0.427947551293714,0.6624333085671201,9,1,0.11111111111111112,0.3683144026707992,0.6294446369596405,11,0.9574271077563381,0.9316123494459758,9.75,9.682151589242054,0.6175918890087022,7,morl,7.0,7.0,,1,0.5,,,6,6.75
smoothed,cgau8,11.87756243960414,0.6891826923076924,412.55865393204516,-28.69511353942704,130,64,14815.252012722278,-145796.0882922305,True,12.22391656159038,147252.15802273457,0.04554630417332391,2.6560864505122304e-05,0.34496391826080947,7,7717.387767090631,121.3455958242157,29078.902040558023,"[16, 20, 59, 87, 98, 105, 120]","[29078.902040558023, 329.78668826388457, 633.5371568559494, 6099.033367589995, 3152.939614813192, 121.3455958242157, 14606.169905729164]","[0, 18, 56, 65, 92, 104, 65]","[65, 65, 65, 110, 110, 110, 129]",0.05,30,33610025921.54461,23461.736101686463,-23461.736101686463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,txu.059172014879442,,,22881.069435019795,0.0,5.0,,0.0,121.01226249088236,,,7508.943322646187,,,,,,,,,,,0.0,,,,0.0,-13.0,7508.943322646187,49644.381036301085,7508.943322646188,,,,,,,28498.235373891355,22881.069435019795,0.0,-4.0,,,,,,14.0,,0.1660124983525118,0.47122261062156945,0.6407484782085776,0.8059394305672438,0.0,0.4946372239747636,0.6269832111110525,0.09990163681854444,0.5446739089542662,0.1667565357136658,0.3617799275887008,0.3617799275887008,0.36171548224445665,0.5888629766813877,0.3680216309762723,0.5555555555555556,,0.6888888888888889,0.3611111111111111,0.11307538242972076,0.11307538242972076,0.8448275862068966,1.3954697582049769,0.5737066569044997,11,1.6850677272444436,0.7105011386816601,4,0,0,0.40712086561792304,0.6301950348417663,11,0,0.0,0.42779099984539215,0.7310893862409169,7,3.4034296427770228,0.7568978826587841,8.25,6.96045197740113,0.5838060841865349,8,cgau,8.0,8.0,,1,0.5714285714285714,,,2,6.5
smoothed,gaus5,18.6957180484376,0.6457932692307692,424.9637652310585,-31.365817402776553,130,64,18406.842168069183,,False,12.032158186893744,190216.65670155536,0.0324579003624951,3.0762426376919915e-06,0.05739602841520806,4,14965.75010470505,681.5099802039713,57659.58446050884,"[40, 77, 91, 128]","[57659.58446050884, 746.573050180672, 681.5099802039713, 775.3329279267127]","[3, 70, 70, 3]","[70, 80, 93, 129]",0.05,10,59973620660.81421,40753.562173353675,-40753.562173353675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,txu.059172014879442,,,40172.89550668701,0.0,-19.0,,0.0,681.1766468706379,,,14757.305660260605,,,,,,,,,,,20.0,,,,0.0,-19.0,14757.305660260605,55485.667085486864,14757.305660260605,,,,,,,57078.91779384218,40172.89550668701,0.0,-19.0,,,,,,17.0,,0.2456226706554985,0.006710869008918048,0.48331762947668894,0.5117101648865232,0.7858528832050864,0.2668769716088324,0.0996583992411274,0.14679855410680642,,0.9999999999999999,0.8386340185536555,0.8386340185536555,0.8384846292318631,0.6614812120503063,0.8175150257011928,0.8888888888888888,,0.0222222222222222,0.027777777777777846,0.31441213703062,0.31441213703062,0.017241379310344862,2.283992605007374,0.9389968891184725,3,1.2198057336138497,0.5143255364105221,12,0,0,0.5483086205292622,0.8487439465771934,5,1,0.11111111111111112,0.3127629622181296,0.5345079306707775,12,4.69041575982343,0.664970302869755,8.0,5.7142857142857135,0.5467708657205919,9,gaus,7.875,7.5,3.8706773124535783,8,0.5625,1.0,0.30624999999999997,1,7.0
smoothed,cmor,16.53642888447685,0.7185096153846153,460.1983269369507,-30.6983304525247,130,64,18504.16835231823,-155536.24844041865,True,12.345374226338015,77772.38347141744,0.025968048204627128,4.0526142911982234e-05,0.2905755222576562,6,7713.181878662098,33.18987615525839,23965.814506740713,"[16, 21, 60, 88, 98, 117]","[33.18987615525839, 23965.814506740713, 231.75987606556748, 1789.6058532349452, 19322.98124803302, 935.7399117430941]","[0, 0, 57, 57, 57, 112]","[17, 57, 62, 92, 129, 129]",0.05,30,53019517336.13691,28005.20976098509,-28005.20976098509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,txu.059172014879442,,,27424.543094318422,0.0,-4.5,,0.0,32.856542821925046,,,7504.737434217654,,,,,,,,,,,0.0,,,,0.0,-9.0,7504.737434217654,41901.75793863925,7504.737434217655,,,,,,,23385.147840074045,27424.543094318422,0.0,-13.5,,,,,,15.0,,0.24777997534855314,0.7474474453877028,0.5226641996965026,0.9923010409351187,0.5369756629530862,0.6485804416403782,0.5272490206711233,0.024062575720726495,0.3734807732122029,0.035625069126495185,0.36150323127995243,0.36150323127995243,0.36143883522475817,0.4926075251002746,0.28760720841871706,0.6666666666666666,,0.26666666666666666,0.5833333333333333,0.16597715448008343,0.16597715448008343,0.5172413793103449,1.2476342811536123,0.5129284158768199,12,2.006154222480653,0.845885798177626,2,0,0,0.35551228794727735,0.5503085142776021,12,0,0.0,0.5133934595072659,0.877382902742036,2,5.773502691896258,0.5876069505788387,7.0,3.428571428571429,0.5438034752894194,10,cmor,10.0,10.0,,1,0.7142857142857143,,,3,8.25
