signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,scales_used,emd_value,kl_divergence,is_complex,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,wavelet_type,htid,avg_prominence_diff,prominence_max_diff,upper_envelope_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,lower_envelope_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,max_autocorrelation_diff,prominence_threshold_diff,relative_num_peaks_diff,prominence_min_diff,distance_factor_diff,emd_value_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,relative_num_peaks_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,reconstruction_signal_num_missing_metrics,reconstruction_signal_missing_metrics_count,reconstruction_signal_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,smoothness_normalized,across_emd_value_normalized,across_smoothness_normalized,across_wavelet_psnr_normalized,across_wavelet_entropy_normalized,across_wavelet_energy_entropy_normalized,across_wavelet_sparsity_normalized,across_correlation_normalized,across_avg_variance_across_levels_normalized,across_kl_divergence_normalized,across_prominence_min_diff_normalized,across_avg_prominence_diff_normalized,across_relative_prominences_avg_diff_normalized,across_relative_prominences_wasserstein_normalized,across_relative_prominences_total_diff_normalized,across_prominence_max_diff_normalized,across_relative_num_peaks_diff_normalized,across_max_autocorrelation_diff_normalized,across_relative_right_bases_global_alignment_score_normalized,across_relative_left_bases_global_alignment_score_normalized,across_upper_envelope_diff_normalized,across_lower_envelope_diff_normalized,across_relative_peaks_global_alignment_score_normalized,across_reconstruction_signal_weighted_score,across_reconstruction_signal_normalized_weighted_score,across_reconstruction_signal_normalized_weighted_rank,across_wavelet_signal_weighted_score,across_wavelet_signal_normalized_weighted_score,across_wavelet_signal_normalized_weighted_rank,across_rank_variability,across_normalized_rank_stability,across_average_rank,across_harmonic_average_rank,across_stability_score_weighted,across_stability_rank,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,across_normalized_family_mean_rank,across_normalized_family_std_dev,across_final_family_stability_score,across_final_family_stability_rank,across_family_informed_rank
smoothed,gaus6,19.800704290911785,0.7065179154731394,540.3618719718988,-31.070508168342528,201,99,28542.01117493367,,False,13.28032736300443,264311.34395456396,0.020600566386294424,1.8020585367853156e-06,0.5845219618116891,6,26203.61458961621,3577.286291100325,70216.31698586972,"[8, 32, 59, 69, 78, 164]","[5755.612632007615, 5097.559131843864, 70216.31698586972, 4589.849292718565, 3577.286291100325, 67985.06320415718]","[1, 18, 18, 65, 74, 120]","[18, 37, 120, 120, 120, 200]",0.05,30,261441533507.64413,87686.04788563192,-87686.04788563192,CWT,mdp.39015067403850,25846.691333910043,69339.5285015586,86727.38121896525,0.0,-19.0,0.0,-14.5,25840.94792294954,149243.0208710306,25840.94792294955,86727.38121896525,0.0,-19.0,,0.0,16.0,3569.9529577669914,0.0,0.4721344502630763,0.6519622944663902,0.6312009515340699,0.9937053593889484,0.4827386132869159,0.9395092567625816,0.7095943624000414,,0.737013864419088,0.9037406606714198,0.9037406606714197,0.9037406606714198,0.8282351199620721,0.518455582533791,1.0,,0.12903225806451613,0.0,0.9996114933955984,0.9996114933955984,0.0,2.520563928342626,0.8673372201112977,2,2.2071065112387656,0.978830195014887,3,0,0,0.6602651494820768,0.8320526072381891,2,1,0.11111111111111112,0.6083412517233155,0.9997343858287356,2,0.5,0.9642857142857143,2.25,2.181818181818182,0.9017857142857143,2,gaus,0.4642857142857143,1.0,0.37499999999999994,1,1.75,0.030329170128946044,0.4721344502630764,0.035677056744457265,0.6311693191275711,0.6149918755637382,0.9929922025154053,0.4606866002214838,0.9399705732432883,0.5471720554569657,,0.7373475916762081,0.9137200723183706,0.9138011443874869,0.9138011443874868,0.4402318033365517,0.5103043285620539,1.0,,0.11594202898550729,0.0,0.9792265280180299,0.9792265280180299,0.05555555555555558,2.333264976997042,0.8782436559560227,2,2.11416877418707,0.9018028948535958,2,0.0,1.0,2.0,2.0,0.9642857142857143,1,12.3125,12.5,7.7090314999140235,16,0.45601851851851855,0.7787297785671297,0.44716810346689806,2,1.25
smoothed,gaus8,19.86125136510966,0.6847077742600131,559.5915413714358,-31.08708405368274,201,99,28741.31554503674,,False,13.311085304250621,281554.93208041287,0.01975879655218626,1.4777489385666434e-06,0.5968439519257921,6,28240.39430065126,4847.818159231501,76517.1979930393,"[7, 32, 60, 69, 78, 164]","[5217.3814501149245, 6336.464706966867, 70860.84896267952, 5662.654531875465, 4847.818159231501, 76517.1979930393]","[2, 19, 19, 65, 74, 120]","[19, 37, 120, 120, 120, 200]",0.05,30,262475009615.66235,87703.19167467579,-87703.19167467579,CWT,mdp.39015067403850,27883.471044945094,75640.40950872817,86744.52500800912,0.0,-14.5,0.0,-10.0,27877.727633984592,161463.6991372409,27877.7276339846,86744.52500800912,0.0,-14.5,,0.0,16.0,4840.484825898168,0.0,0.4805639243543883,0.6505731067945145,0.6568223764660809,1.0,0.35683202785030427,0.9604106527695482,0.7834320050539597,,1.0,1.0000000000000002,0.9999999999999999,1.0,0.9575236918466974,0.6089175152498342,1.0,,0.27419354838709675,0.40909090909090906,1.0000000000000002,1.0000000000000002,0.2727272727272727,2.9060945038415213,1.0,1,2.2103441181390604,0.9802660420741295,2,0,0,0.7935377447751507,1.0,1,1,0.11111111111111112,0.6085028787111564,1.0,1,0.5,0.9642857142857143,1.25,1.1428571428571428,0.9375,1,gaus,0.4642857142857143,1.0,0.37499999999999994,1,1.0,0.023833380844900255,0.4805639243543884,0.02921709275648019,0.6298244366942767,0.6399553489793872,0.9992823256241854,0.34053156146179375,0.9607125703417319,0.6041086615545554,,1.0,1.0,1.0,0.9999999999999999,0.5089525563929814,0.599344002143112,1.0,,0.24637681159420297,0.25,0.9796071118507028,0.9796071118507028,0.3055555555555556,2.656739916278858,1.0,1,2.1125889217948455,0.901129005674007,3,1.4142135623730951,0.9494923727723894,2.0,1.5,0.939031900671909,2,12.3125,12.5,7.7090314999140235,16,0.45601851851851855,0.7787297785671297,0.44716810346689806,2,2.0
smoothed,cgau8,14.865776690236622,0.7961204080607066,716.7628620531442,-36.83412752303234,201,99,32853.51539439617,-164377.76859531805,True,13.723062280928296,288494.48198602133,0.01966794950207387,1.3041083276614596e-05,0.4385238304449937,6,21579.71076743076,3435.9497469870803,60786.03351116424,"[7, 32, 60, 69, 78, 164]","[3435.9497469870803, 5941.237042916714, 5253.307170244105, 4109.657526675441, 49952.07960659698, 60786.03351116424]","[2, 19, 19, 65, 19, 120]","[19, 37, 65, 74, 120, 200]",0.05,30,259836410590.0454,63080.583921066,-63080.583921066,CWT,mdp.39015067403850,21222.787511724593,59909.245026853125,62121.91725439933,0.0,-14.5,0.0,-5.5,21217.04410076409,121499.59793791788,21217.044100764095,62121.91725439933,0.0,-14.5,,0.0,16.0,3428.616413653747,0.0,0.6544872661784825,0.16892631849383222,1.0,0.4806566927219143,1.0,0.6918573164741538,0.8131473985306364,0.3454404367137236,0.7077587528512248,0.6852124002851848,0.6852124002851846,0.6852124002851845,0.5347237900606079,0.3830647271579594,1.0,,0.41935483870967744,0.40909090909090906,0.44201099853744596,0.44201099853744596,0.2727272727272727,2.002107473461809,0.6889340559349512,5,2.254841056681131,1.0,1,0,0,0.555531624044008,0.7000695653127604,5,0,0.0,0.6011064101543508,0.9878448092596182,3,1.9148542155126762,0.8632246988919516,3.5,2.307692307692308,0.8066123494459758,5,cgau,0.35714285714285715,,,2,4.25,0.2554422622764149,0.6544872661784825,0.259548614903911,0.16353876647689447,0.9743202605589598,0.48031173772998403,0.9543189368770766,0.6942072842661131,0.6270223623798437,0.8362766451530345,0.7081296046058729,0.7178471042092021,0.7181122263492358,0.7181122263492357,0.2842217296896527,0.3770421131021542,1.0,,0.3768115942028986,0.25,0.43299711768351257,0.43299711768351257,0.3055555555555556,1.886283387454773,0.7099992648496738,5,2.3443801148257535,1.0,1,2.8284271247461903,0.8989847455447789,3.0,1.6666666666666667,0.8959209442009609,3,10.0,10.0,9.899494936611665,2,0.37037037037037035,1.0,0.4407407407407407,3,3.0
raw,gaus8,19.868159510297104,0.6986280717624002,575.9162768824804,-30.440165493751113,201,99,28292.060301759222,,False,13.34104733930269,284174.5910507307,0.019078564753859745,3.407715181305843e-07,0.4348435651005972,11,15315.948839917466,130.74064694509434,71323.18599050438,"[7, 31, 45, 59, 69, 78, 120, 158, 164, 177, 187]","[5153.396608208532, 7195.388921735092, 337.1890123995954, 71323.18599050438, 6749.71571709511, 5675.005261913684, 670.3373916176934, 645.6376296354792, 70310.59619955262, 130.74064694509434, 284.2438594848418]","[1, 19, 19, 19, 65, 75, 119, 119, 119, 176, 186]","[19, 36, 46, 119, 119, 119, 121, 159, 200, 200, 200]",0.05,30,258718509241.44846,88402.5846758787,-88402.5846758787,CWT,mdp.39015067403850,14776.5348616178,70373.19415364905,87410.5846758787,0.0,-10.5,0.0,-1.5,14748.588839917466,154291.43723909213,14748.588839917462,87410.5846758787,0.0,-10.5,,0.0,15.0,112.74064694509434,0.0,0.47052501759978327,0.6678272421952137,0.6151950993833183,1.0,0.31832901554404147,0.9466864379561301,0.6081415035729457,,0.4269191315378996,0.97307124222633,0.97307124222633,0.9725478558005427,0.46457002757082877,0.5225890892761637,0.9285714285714285,,0.4067796610169492,0.4242424242424242,0.994287682849133,0.994287682849133,0.5277777777777778,2.4550638086105447,1.0,1,2.0987141831179694,1.0,1,0,0,0.7173929371620784,1.0,1,1,0.125,0.6547077594644903,0.998426747594269,2,0.5,0.9642857142857143,1.25,1.1428571428571428,0.9375,1,gaus,0.49038461538461536,1.0,0.3567307692307692,1,1.0,,0.4615629088140094,0.006569495425094362,0.6823120950707184,0.6642728564326429,1.0,0.41722037652270216,0.6880121767884984,0.6127585138831096,,0.022650729440336168,0.444777704776661,0.4443597738651273,0.44435977386512693,0.4686206510746388,0.5249113735370914,0.9285714285714285,,0.4927536231884059,0.4722222222222222,0.9943933146287498,0.9943933146287498,0.5277777777777778,1.8748494442667305,0.7056955153113834,6,2.0691598334082077,0.8826042416598464,4,1.4142135623730951,0.9494923727723894,5.0,4.800000000000001,0.8854604721004804,4,12.3125,12.5,7.7090314999140235,16,0.45601851851851855,0.7787297785671297,0.44716810346689806,2,3.5
smoothed,gaus4,19.67705765141513,0.7097844112769486,476.033012180277,-30.706536851559306,201,99,27330.072089292476,,False,13.178800913524343,231808.2687181685,0.022221516534369108,2.3125539071832796e-06,0.5717026225197964,6,23349.118044782383,2430.313733038878,65954.89693039858,"[8, 32, 59, 68, 78, 165]","[6337.300893782507, 3998.055690497389, 65954.89693039858, 3648.16863420781, 2430.313733038878, 57725.97238676915]","[1, 17, 17, 65, 74, 120]","[17, 37, 120, 120, 120, 200]",0.05,30,240453922022.9848,84445.89186431217,-84445.89186431217,CWT,mdp.39015067403850,22992.194789076217,65078.10844608746,83487.2251976455,0.0,-19.0,0.0,-14.5,22986.451378115715,132116.04160202763,22986.45137811572,83487.2251976455,0.0,-19.0,,0.0,16.0,2422.9803997055446,0.0,0.4208761205165812,0.6824659119693997,0.5466292214840378,0.980850714161136,0.501595590368436,0.9177642233218514,0.5704150664818816,,0.49960314830252844,0.768835570036073,0.7688355700360727,0.7688355700360728,0.647040374289936,0.45727425028927116,1.0,,0.12903225806451613,0.0,0.9261842008435317,0.9261842008435317,0.0,2.177367175956692,0.7492416963999154,3,2.1075585586281407,0.934681649681431,4,0,0,0.5743187618951278,0.7237447313333044,3,1,0.11111111111111112,0.5770883235657233,0.9483740237811678,4,0.5773502691896257,0.9587606950578839,3.5,3.428571428571429,0.854380347528942,3,gaus,0.4642857142857143,1.0,0.37499999999999994,1,2.5,0.040554184666906634,0.42087612051658124,0.04584567872454516,0.6607000874767749,0.5325919255054691,0.9801467827370831,0.4786821705426354,0.9183913724864177,0.4398501466878265,,0.5002381478184521,0.7928008810472803,0.7929955736222967,0.7929955736222966,0.3439213623521062,0.4500849004695099,1.0,,0.11594202898550729,0.0,0.9072966300300832,0.9072966300300832,0.05555555555555558,2.046336150265601,0.7702433112578764,3,2.027575422266431,0.864866328392796,6,2.1213203435596424,0.9242385591585842,4.5,4.0,0.8817621367221493,5,12.3125,12.5,7.7090314999140235,16,0.45601851851851855,0.7787297785671297,0.44716810346689806,2,4.25
raw,gaus6,19.81396833674504,0.717071209608523,555.980433373611,-30.4652963670083,201,99,28257.834504244027,,False,13.311433356034058,268522.5081422446,0.019691482517739153,4.6824423274464796e-07,0.4253207004045035,10,15606.517639506288,164.40360102590785,70524.5241356118,"[7, 31, 59, 68, 77, 120, 158, 164, 178, 189]","[6080.229918340647, 6100.8290437119, 70524.5241356118, 5693.735815308413, 4933.943721943106, 426.8816636378324, 472.4864769395863, 61471.4192877825, 196.72273076118836, 164.40360102590785]","[2, 19, 19, 65, 75, 119, 119, 119, 177, 188]","[19, 36, 119, 119, 119, 121, 159, 200, 200, 200]",0.05,30,260175517679.84363,88655.14356826508,-88655.14356826508,CWT,mdp.39015067403850,15067.103661206622,69574.53229875647,87663.14356826508,0.0,-11.0,0.0,-2.0,15039.157639506288,141881.17639506288,15044.964536650437,87663.14356826508,0.0,-20.0,,0.0,16.0,146.40360102590785,0.0,0.4690427693870825,0.6656952849135932,0.5876465512562448,0.9938919603211024,0.43717616580310836,0.9246293915044054,0.5558436982196499,,0.558082171586284,1.0,0.9999999999999999,1.0,0.39425121712316175,0.511247786882718,1.0,,0.38983050847457634,0.39393939393939387,1.0,1.0,0.0,2.3985511437202223,0.9769811828547519,2,2.09795895976382,0.9996401494971424,2,0,0,0.6872792565005111,0.9580234497698104,2,1,0.125,0.6557394030578838,1.0,1,0.5,0.9642857142857143,1.75,1.6,0.9196428571428572,2,gaus,0.49038461538461536,1.0,0.3567307692307692,1,1.75,,0.46011534660922876,0.009108640582621553,0.6802731047372764,0.6402378315218158,0.994370179607065,0.5188261351052045,0.6719820363593826,0.5610768990902246,,0.029609748873374128,0.45708647576413375,0.45665697903933333,0.45690273359284395,0.39883381500462384,0.5136252389821997,1.0,,0.4782608695652175,0.4444444444444445,1.0,1.0,0.0,1.7685768395752832,0.6656943830815124,7,2.0669890927862857,0.881678307930843,5,1.4142135623730951,0.9494923727723894,6.0,5.833333333333333,0.8676033292433376,6,12.3125,12.5,7.7090314999140235,16,0.45601851851851855,0.7787297785671297,0.44716810346689806,2,5.0
smoothed,morl,19.74627812957394,0.6504849489924117,492.9964161075274,-30.0379685887952,201,99,25629.01625921834,,False,13.260856886872949,250440.35032397768,0.0198687127090195,7.87109306645585e-07,0.6201830410964304,9,19273.036932048228,16.643826315852493,83132.27475342489,"[7, 31, 37, 60, 69, 81, 158, 164, 181]","[4091.386541167587, 9176.559829993126, 16.643826315852493, 6728.162362258299, 5338.641595833273, 63837.05011252455, 998.0404633788858, 83132.27475342489, 138.57290353757003]","[1, 20, 36, 20, 20, 20, 119, 119, 180]","[20, 38, 38, 65, 74, 119, 159, 200, 200]",0.05,30,206383585482.80264,78722.15165749154,-78722.15165749154,CWT,mdp.39015067403850,18916.11367634206,82255.48626911377,77763.48499082487,0.0,-13.0,0.0,-13.0,18910.37026538156,165478.66572176738,18911.394757247584,77763.48499082487,0.0,-13.0,,0.0,13.0,9.310492982519165,0.0,0.34893085388710593,0.7384971144890043,0.6149820070149848,0.9880470657389331,0.15926892950391636,0.9999999999999998,0.6501982863934077,,0.0,0.576197714878873,0.5761977148788728,0.5762461329329394,1.0,0.70389036557482,0.75,,0.17741935483870966,0.5454545454545454,0.7964747844163991,0.7964747844163991,0.36363636363636365,2.1341422281177733,0.734367800254494,4,2.0760789926113388,0.9207207694129405,5,0,0,0.5718326467523268,0.7206117799908256,4,1,0.11111111111111112,0.5581849953294951,0.917308717605022,5,0.5773502691896257,0.9587606950578839,4.5,4.444444444444445,0.8186660618146562,4,morl,0.2857142857142857,,,6,4.5,0.010000150053053027,0.348930853887106,0.015460154400707204,0.7149442918492734,0.5991894293139122,0.9873379696777534,0.15199335548172754,1.0,0.5013714196053723,,0.0012689918287250301,0.6201342044667092,0.6204911415534442,0.62053449922534,0.5315299879540385,0.6928236718572627,0.7857142857142856,,0.1594202898550725,0.3333333333333333,0.7802323632240598,0.7802323632240598,0.3888888888888889,1.9243372806998729,0.7243227946057967,4,1.992893487126581,0.8500726799905924,8,2.8284271247461903,0.8989847455447789,6.0,5.333333333333333,0.8423495156295323,7,8.0,8.0,1.4142135623730951,2,0.2962962962962963,0.14285714285714288,0.7497354497354497,1,5.5
raw,gaus4,19.697720006196914,0.7140559827126991,492.1128433874406,-30.15947025209293,201,99,27243.26581402374,,False,13.219298829988139,237484.81243698814,0.021144327252371097,6.391935593640592e-07,0.41492674093741816,11,12647.707614497163,21.171982511274564,65854.65923131332,"[7, 17, 31, 38, 59, 68, 77, 158, 165, 178, 188]","[6552.019038184237, 268.2962308063943, 5015.436146173934, 21.171982511274564, 65854.65923131332, 4753.554155033373, 3981.744298751706, 616.3436113665666, 50890.10066484986, 732.6942978034949, 438.76410267464416]","[2, 16, 18, 36, 18, 65, 75, 119, 119, 177, 187]","[18, 18, 36, 39, 119, 119, 119, 159, 200, 200, 200]",0.05,30,242499958358.14157,85833.02164628558,-85833.02164628558,CWT,mdp.39015067403850,12108.293636197497,64904.66739445799,84841.02164628558,0.0,-1.5,0.0,3.0,12080.347614497163,124940.78375946879,12080.347614497161,84841.02164628558,0.0,-19.5,,0.0,15.0,3.171982511274564,0.0,0.42510390639715373,0.6916397957123611,0.5019379722408166,0.9807892838324412,0.4177461139896369,0.9005546982162724,0.45213843559749295,,0.0,0.7257892844155112,0.7257892844155112,0.725398903688016,0.2982638504092291,0.44493392740421306,0.9285714285714285,,0.5593220338983051,0.9696969696969696,0.9361699154425409,0.9361699154425409,0.02777777777777779,1.9290461241831032,0.7857417462704793,4,1.9920543765045529,0.9491784982102914,4,0,0,0.6064902742635035,0.8454087611493741,4,1,0.125,0.6180228865694536,0.9424824613062014,3,0.5,0.9642857142857143,3.75,3.6923076923076925,0.8482142857142858,3,gaus,0.49038461538461536,1.0,0.3567307692307692,1,2.5,,0.41720469450639047,0.012513801884649107,0.7050862692319987,0.5654604667690464,0.9822933564075129,0.5022148394241415,0.6544855544509227,0.4585935272044189,,0.0,0.33174846616085857,0.3314367420403069,0.3314367420403066,0.30357260988735396,0.4476339520061011,0.9285714285714285,,0.6231884057971016,0.9722222222222223,0.9373502570179162,0.9373502570179162,0.02777777777777779,1.585455158612395,0.596767169002019,9,1.9719617904765838,0.8411442231598822,11,1.4142135623730951,0.9494923727723894,10.0,9.9,0.7961747578147661,8,12.3125,12.5,7.7090314999140235,16,0.45601851851851855,0.7787297785671297,0.44716810346689806,2,6.5
raw,morl,19.75827070973467,0.6619428111965425,507.6910453095443,-29.35159128798094,201,99,25080.888793300946,,False,13.28775641810127,253991.89685746012,0.01914685777728043,1.0799323235183087e-07,0.45786105472332367,19,10145.027697763606,59.01999707448704,76326.7382714365,"[6, 18, 24, 32, 38, 44, 58, 68, 74, 82, 92, 101, 121, 147, 157, 163, 178, 185, 193]","[4157.12251140155, 673.8579485685113, 62.28441990420106, 12213.827750657858, 1061.2416213095676, 3040.055455590893, 8210.035114284663, 7450.885376912527, 979.2809576304862, 67073.62949854835, 674.8185430308095, 1455.8247031716755, 59.01999707448704, 1265.9155776036896, 2616.706660211443, 76326.7382714365, 2409.48539202346, 2420.170143361772, 604.6263147860618]","[2, 17, 19, 19, 37, 19, 19, 19, 73, 19, 91, 100, 120, 120, 120, 120, 176, 184, 192]","[19, 19, 25, 39, 39, 45, 65, 73, 75, 120, 120, 120, 122, 148, 160, 200, 200, 200, 200]",0.05,30,201621590385.45697,79290.02433115884,-79290.02433115884,CWT,mdp.39015067403850,9605.61371946394,75376.74643458116,78298.02433115884,0.0,-6.5,0.0,16.0,9577.667697763605,178571.52625750852,9577.667697763605,78298.02433115884,0.0,-2.0,,0.0,7.0,41.01999707448704,0.0,0.3314558482992051,0.7601755534068968,0.565620967658579,0.9876141240333729,0.08193005181347113,0.9999999999999999,0.5072930302300205,,0.14746954880991556,0.49385088855843984,0.4938508885584397,0.49358526067815944,0.6021454579986212,0.5936414365390722,0.3571428571428571,,1.0,0.6666666666666666,0.7881819533948827,0.7881819533948827,1.0,1.9113170141320959,0.7785203005431517,5,1.967848865197272,0.9376450023669843,5,0,0,0.6187264093118281,0.8624651530016961,3,1,0.125,0.5986199393487923,0.9128930434213217,5,1.0,0.9285714285714286,4.5,4.285714285714286,0.8035714285714286,4,morl,0.3076923076923077,,,6,4.5,,0.32574808940332833,0.0019327552497392774,0.770633430349629,0.6210213759756472,0.9885838565616741,0.21511627906976713,0.7267582477191683,0.5130982716119464,,0.007824181686936915,0.22573256220416324,0.22552045486498762,0.2255204548649875,0.605155298765691,0.595618098728857,0.3571428571428571,,1.0,0.6944444444444444,0.792098878283142,0.792098878283142,1.0,1.6349071334484404,0.6153809499495007,8,1.947476047234711,0.8306997806878504,12,2.8284271247461903,0.8989847455447789,10.0,9.600000000000001,0.7709209442009608,9,8.0,8.0,1.4142135623730951,2,0.2962962962962963,0.14285714285714288,0.7497354497354497,1,7.0
smoothed,fbsp,10.31371573841467,0.7568722046333987,690.0148667586997,-38.84976827696836,201,99,41022.73176910004,-171097.27110688816,True,13.656814607496706,332130.8872689317,0.01883992477368478,2.8784054899091493e-07,0.4160198248156271,13,11768.881911434435,87.89511805360598,62740.10612814847,"[1, 8, 15, 32, 59, 69, 79, 147, 158, 164, 177, 183, 193]","[236.70723607639593, 7504.903554109336, 87.89511805360598, 5873.656649994702, 62740.10612814847, 6008.823166463866, 4940.7848171483565, 1833.2429706575167, 1710.4885754490024, 58719.30974517352, 1370.5141628560832, 848.0686025418636, 1120.964121974931]","[0, 2, 14, 18, 18, 65, 75, 119, 119, 119, 175, 182, 192]","[2, 18, 18, 37, 119, 119, 119, 149, 159, 199, 199, 199, 199]",0.05,30,412480367984.4475,78582.33796911825,-78582.33796911825,CWT,mdp.39015067403850,11411.958655728267,61863.317643837356,77623.67130245158,0.0,-8.0,0.0,-2.0,11406.215244767769,145016.798181981,11406.215244767769,77623.67130245158,0.0,-11.0,,0.0,9.0,80.56178472027266,0.0,1.0,0.0,0.9448155590726333,0.007411897479162488,0.7734261676820421,0.6536844946290814,0.9999999999999998,0.0,0.014748234451467791,0.2215471846374603,0.2215471846374603,0.22154718463746012,0.7835238294730322,0.4111194048131555,0.41666666666666674,,0.532258064516129,1.0,0.793306375077028,0.793306375077028,0.4848484848484848,1.5353232737710363,0.5283115438061344,7,1.7469579932003472,0.7747588185979148,11,0,0,0.4912015824029477,0.6190021654762369,6,0,0.0,0.48659312431810203,0.7996562404909799,9,2.217355782608345,0.841617444099404,8.25,7.819464033850494,0.6261658649068449,8,fbsp,0.5714285714285714,,,4,7.0,0.0,1.0,0.005515156742646748,0.0,0.9205529416958074,0.007406578150265464,0.7380952380952379,0.65632557724109,0.7711054152210014,0.7498724882652735,0.015998510891185782,0.30225105344039177,0.30290668624330797,0.3029066862433078,0.4164664116415029,0.40465570995821004,0.49999999999999994,,0.4782608695652175,0.6111111111111112,0.7771285669019574,0.7771285669019574,0.5,1.4075685666737305,0.5298104485309313,14,1.9317937944748718,0.8240104845875016,13,0.7071067811865476,0.9747461863861947,13.5,13.481481481481481,0.7463016646216687,10,15.0,15.0,7.0710678118654755,2,0.5555555555555556,0.7142857142857143,0.39682539682539675,4,8.5
