signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,scales_used,emd_value,kl_divergence,is_complex,change_point_indices,change_point_prominences,num_change_points,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,fft_frequency_max,fft_amplitude_max,fft_spectral_centroid,fft_spectral_bandwidth,fft_spectral_magnitude,fft_variance_magnitude,fft_num_peaks,fft_peak_amplitude,fft_dominant_frequency,fft_positive_frequencies,fft_positive_amplitudes,fft_snr_threshold,fft_stationarity_threshold,fft_dynamic_cutoff,fft_dynamic_cutoff_percentile,stft_frequency_max,stft_amplitude_max,stft_spectral_centroid,stft_spectral_bandwidth,stft_spectral_magnitude,stft_variance_magnitude,stft_peak_freq_over_time,stft_num_peaks,stft_peak_amplitude,stft_dominant_frequency,stft_positive_frequencies,stft_positive_amplitudes,stft_snr_threshold,stft_stationarity_threshold,stft_window,stft_nperseg,stft_noverlap,stft_dynamic_cutoff,stft_dynamic_cutoff_percentile,wavelet_type,htid,stft_amplitude_max_diff,stft_frequency_max_diff,avg_prominence_diff,fft_variance_magnitude_diff,stft_noverlap_diff,prominence_max_diff,stft_spectral_magnitude_diff,upper_envelope_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,stft_num_peaks_diff,fft_peak_amplitude_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,stft_window_diff,stft_nperseg_diff,prominence_threshold_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,stft_dominant_frequency_diff,relative_num_peaks_diff,max_autocorrelation_diff,stft_variance_magnitude_diff,fft_amplitude_max_diff,fft_dominant_frequency_diff,fft_snr_threshold_diff,stft_stationarity_threshold_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,stft_dynamic_cutoff_percentile_diff,lower_envelope_diff,fft_stationarity_threshold_diff,stft_dynamic_cutoff_diff,fft_frequency_max_diff,fft_num_peaks_diff,fft_dynamic_cutoff_percentile_diff,fft_dynamic_cutoff_diff,prominence_min_diff,fft_spectral_centroid_diff,stft_peak_amplitude_diff,fft_spectral_bandwidth_diff,stft_spectral_bandwidth_diff,fft_spectral_magnitude_diff,distance_factor_diff,stft_snr_threshold_diff,stft_spectral_centroid_diff,emd_value_normalized,smoothness_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,relative_num_peaks_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_right_bases_array_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,relative_left_bases_array_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_array_alignment_score_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,reconstruction_signal_num_missing_metrics,reconstruction_signal_missing_metrics_count,reconstruction_signal_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,top_wavelet_rank
raw,gaus8,19.88948679346953,0.684744094488189,356.0124052621787,-30.98971192145221,400,127,23891.956633842503,,False,"[20, 40, 59, 81, 107, 120, 133, 148, 168, 188, 209, 223, 237, 269, 297, 310, 329, 359, 375]","[1.0888872124305635, 2021.8075769052302, 43859.865849845344, 385.73067886139324, 34202.89868399793, 604.5376032736312, 13532.421735954074, 6062.247483024653, 10839.220973937594, 19840.090598725918, 8968.711833304913, 6.011604078250457, 33867.861430428304, 41203.92979857698, 8078.829241459691, 3241.778114498251, 1984.281110265813, 8016.805339183469, 64332.2029354936]",19,14.617563173226852,120070.05137239675,0.014413017465473497,5.625577003016497e-07,0.21905855272778485,18,16535.21792408556,1.0888872124305635,71304.71011119761,"[20, 40, 59, 81, 118, 132, 148, 161, 188, 209, 223, 237, 273, 292, 305, 329, 359, 375]","[1.0888872124305635, 2021.8075769052302, 63001.755667643854, 385.73067886139324, 13532.421735954074, 549.6540176970229, 18533.160453535857, 1126.1653236115453, 24006.41416813723, 8968.711833304913, 6.011604078250457, 71304.71011119761, 2567.724556431225, 8078.829241459691, 3241.778114498251, 2370.3774638506284, 8016.805339183469, 69920.77585997742]","[0, 0, 0, 80, 107, 131, 107, 159, 107, 200, 220, 107, 269, 269, 269, 269, 269, 269]","[21, 43, 269, 107, 133, 133, 168, 168, 200, 220, 224, 269, 278, 297, 310, 332, 367, 399]",0.05,30,336892615325.5753,65314.77468426588,-65314.77468426588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,uc1.b4952554,,,16010.354287721922,,,70489.71011119761,,64498.77468426588,0.0,0.5,,,0.0,9.5,,,0.0,0.0,-8.5,,4.0,,,,,,,16010.354287721922,286086.92263354006,16050.985707142472,,64498.77468426588,,,,,,,80.91111278756944,,,,,,0.0,,,0.11443768900246815,0.04451682753689557,0.7086032080888943,0.49920121210251267,0.7107342943969525,0.5364435094666501,0.6731197346434379,0.04650477498578594,,0.1967334280694319,0.8576595560905373,0.8576595560905373,0.8589816044996519,0.8572877280366186,0.47304228555705774,0.4444444444444444,,0.7647058823529413,0.0,0.8474576271186443,0.0,0.15959662658823331,0.15959662658823331,0.0,0.5333333333333334,2.005974696248782,0.8589125923117162,6,1.580243240703228,0.7201354505280632,5,0,0,0.46736657991797775,0.7358539197192074,5,1,0.11111111111111112,0.4111396007223941,0.7228148344462919,7,0.9574271077563381,0.9316123494459758,5.75,5.63758389261745,0.760449031865845,2,gaus,8.0,7.0,4.503966505838413,8,0.7272727272727273,1.0,0.1909090909090909,1,1.75,1
raw,morl,19.657139728297764,0.6826771653543308,305.5914506582654,-28.573483914755826,400,127,18276.751641253886,,False,"[20, 40, 60, 75, 92, 106, 132, 149, 170, 188, 201, 217, 230, 244, 269, 283, 300, 314, 330, 343, 359, 375, 390]","[4108.714105804842, 4428.734991467412, 29776.787574434326, 8894.926857432167, 917.5161438742307, 33512.467815884105, 13986.520832365275, 15700.512113969346, 10935.140441640156, 18591.96599610931, 11777.551938323766, 2032.159998051221, 1825.7481794335508, 41445.618620941954, 31549.090464502002, 6372.08974278166, 15148.652631543959, 634.1103585233395, 1283.9352246290546, 17.89251602343211, 10498.165968450638, 49245.232073822765, 1168.9669706336354]",23,14.542038551610013,96559.79352789473,0.020079347924441597,3.8572702722520595e-08,0.3095253010727178,22,15331.509180140001,17.89251602343211,74771.32710189284,"[20, 40, 60, 75, 88, 107, 123, 149, 162, 188, 209, 230, 244, 261, 275, 292, 305, 327, 343, 359, 375, 390]","[4108.714105804842, 4428.734991467412, 46217.94449690773, 8894.926857432167, 1718.7962238119328, 218.16092085377022, 13986.520832365275, 29080.77949034518, 479.24362509338926, 31340.364779124808, 9133.36627728107, 1825.7481794335508, 74771.32710189284, 381.5925707360602, 3435.8682686319953, 15148.652631543959, 13298.702611647412, 5936.095640140482, 17.89251602343211, 10498.165968450638, 61202.63690345845, 1168.9669706336354]","[0, 0, 0, 74, 87, 106, 106, 106, 161, 106, 201, 201, 106, 260, 273, 269, 300, 269, 269, 106, 106, 389]","[22, 51, 106, 106, 106, 108, 132, 170, 170, 201, 220, 231, 269, 269, 276, 300, 309, 334, 344, 364, 399, 399]",0.05,30,193642943086.31268,51268.82606678765,-51268.82606678765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,uc1.b4952554,,,14806.645543776365,,,73956.32710189284,,50452.82606678765,0.22727272727272727,14.5,,,0.13636363636363635,2.5,,,0.0,0.045454545454545456,-6.5,,0.0,,,,,,,14806.645543776365,325746.20196308004,14812.473496865145,,50452.82606678765,,,,,,,64.10748397656789,,,,,,0.0,,,0.047913574419742325,0.0,0.8480375895496257,0.41586558608870255,0.6820247407969783,0.523450068060884,0.9999999999999999,0.02697164212354231,,0.1552681245938828,0.77965804790188,0.77965804790188,0.7785466349809192,0.9907575626119358,0.5026393455454542,0.0,,1.0,1.0,0.6101694915254239,0.75,0.09016387875913559,0.09016387875913559,1.0,1.0,2.2667202113484604,0.9705578721483585,2,1.692310473572309,0.7712058080229605,4,0,0,0.6351350008386433,1.0,1,1,0.11111111111111112,0.43747734457437887,0.7691186006819248,3,1.2909944487358056,0.9077861108045853,2.5,1.92,0.8646073411165783,1,morl,1.0,1.0,,1,0.09090909090909091,,,6,2.25,2
raw,gaus2,20.9290957301547,0.6361220472440945,566.1372443523214,-36.62765605556233,400,127,51356.6704309152,,False,"[28, 41, 62, 81, 103, 116, 135, 149, 188, 209, 224, 245, 275, 292, 305, 328, 352, 372]","[30.555476796937, 230.14125460563082, 68719.64060641856, 870.2364022949914, 104.18677890951949, 10915.318706217367, 5.215125574919512, 19102.20861995359, 18043.10614217066, 7476.252429854889, 1527.5716043433495, 30314.167351827055, 705.8495241170567, 3784.3826183098354, 1505.812796907856, 1949.5991314793791, 92331.85588918388, 730.2989712503186]",18,14.649742622443725,101536.91663917906,0.017936077957863544,9.283511449470334e-07,0.28155326259739394,18,14748.685496411785,5.215125574919512,99461.79539438026,"[28, 41, 62, 81, 103, 116, 135, 149, 188, 209, 224, 245, 275, 292, 305, 328, 352, 372]","[30.555476796937, 230.14125460563082, 68719.64060641856, 870.2364022949914, 104.18677890951949, 10915.318706217367, 5.215125574919512, 19102.20861995359, 18043.10614217066, 7476.252429854889, 1527.5716043433495, 30314.167351827055, 705.8495241170567, 3784.3826183098354, 1505.812796907856, 1949.5991314793791, 99461.79539438026, 730.2989712503186]","[0, 0, 0, 79, 102, 107, 133, 133, 169, 201, 221, 133, 267, 267, 267, 267, 0, 370]","[29, 42, 267, 267, 107, 133, 136, 201, 201, 221, 226, 267, 276, 296, 309, 333, 399, 399]",0.05,30,1237150899622.3389,93508.29214792473,-93508.29214792473,0.4975,20247723.033111975,0.0314336276295017,0.0789520884144973,44460071.079349674,2212658758181.686,34.0,4551395.887977313,0.0075,"[0.0, 0.0025, 0.005, 0.0075, 0.01, 0.0125, 0.015, 0.0175, 0.02, 0.0225, 0.025, 0.0275, 0.03, 0.0325, 0.035, 0.0375, 0.04, 0.0425, 0.045, 0.0475, 0.05, 0.0525, 0.055, 0.0575, 0.06, 0.0625, 0.065, 0.0675, 0.07, 0.0725, 0.075, 0.0775, 0.08, 0.0825, 0.085, 0.08750000000000001, 0.09, 0.0925, 0.095, 0.0975, 0.1, 0.10250000000000001, 0.105, 0.1075, 0.11, 0.1125, 0.115, 0.11750000000000001, 0.12, 0.1225, 0.125, 0.1275, 0.13, 0.1325, 0.135, 0.1375, 0.14, 0.14250000000000002, 0.145, 0.1475, 0.15, 0.1525, 0.155, 0.1575, 0.16, 0.1625, 0.165, 0.1675, 0.17, 0.17250000000000001, 0.17500000000000002, 0.1775, 0.18, 0.1825, 0.185, 0.1875, 0.19, 0.1925, 0.195, 0.1975, 0.2, 0.2025, 0.20500000000000002, 0.20750000000000002, 0.21, 0.2125, 0.215, 0.2175, 0.22, 0.2225, 0.225, 0.2275, 0.23, 0.2325, 0.23500000000000001, 0.23750000000000002, 0.24, 0.2425, 0.245, 0.2475]","[20247723.033111975, 831088.8858002615, 1374563.905941927, 4551395.887977313, 3458696.4088737955, 1087433.0822362872, 1274701.1809932298, 1088774.9334204576, 703343.2020226107, 892295.1312042936, 288016.53101497394, 161998.40490052107, 969114.6687864511, 295358.60819056554, 376151.7781120431, 131044.19796813627, 175761.36114395293, 99008.25570157245, 330909.3425756905, 159290.6549165669, 126661.3593222172, 54914.36983249034, 142824.04742665341, 207301.161185858, 262888.7933479013, 57641.68047670104, 242024.5004913847, 105463.89618059246, 90212.54871696587, 30522.749514788433, 141543.8913642391, 65858.58068155473, 88417.38554385213, 3208.3159275449543, 84653.286837288, 91909.29827266326, 137011.56221137202, 101393.96275783007, 67800.46612023964, 57139.49524639771, 59867.380469787066, 46125.38469932506, 86926.16979783279, 26484.82003503542, 26249.224413576452, 17829.605604107375, 47332.82334497773, 23878.80147314155, 50252.669493762485, 19393.9113685769, 48983.40148184393, 54548.09898114247, 47326.08844375059, 56029.58275820108, 55989.46307097664, 59740.66459178363, 23309.652871571125, 52267.519995286086, 37435.60587553738, 20639.524895468374, 52331.396599570755, 46088.15414550622, 32377.074525150503, 39114.089839082524, 35793.766403736794, 41119.643192475305, 26365.765805196956, 45560.587509619174, 37156.41029746334, 28666.989955393885, 11908.03127566346, 47504.248587229624, 35752.0872333678, 38544.82213432508, 33105.07298276926, 20660.479021530744, 47527.00513095893, 24209.493499552605, 23447.556143551315, 34330.876973919636, 32075.10848540655, 26744.66189013038, 30177.352645211864, 23968.94476515911, 22949.26865612156, 23321.578929851687, 30259.181091606864, 20832.61166203037, 29165.08493139268, 21184.00924714282, 22574.068850804793, 23312.45331377403, 19082.09226748111, 23074.757825702694, 19072.354167704278, 22122.979756230627, 24839.759432095605, 26197.724851587773, 15712.213393951786, 17830.52277910538]",3.0,0.3,31580.040491218522,15.0,0.5,38207156407.42609,0.02088065258206067,0.01760304375485128,73794216646.13905,7.897636135485129e+17,"[0.015625, 0.015625, 0.015625, 0.03125, 0.03125, 0.015625, 0.015625, 0.015625, 0.015625, 0.015625, 0.015625]",1.0,38207156407.42609,0.015625,"[0.0, 0.015625, 0.03125, 0.046875, 0.0625, 0.078125, 0.09375, 0.109375, 0.125, 0.140625, 0.15625, 0.171875, 0.1875, 0.203125, 0.21875, 0.234375]","[9741380720.343637, 38207156407.42609, 21262767568.50541, 3287252316.767813, 509393718.79470587, 338240031.85959214, 166883654.69017997, 75073605.30165103, 38113262.32860618, 32843613.35697024, 30805596.700437568, 27249060.517899238, 18115280.417276952, 7293370.786145653, 2074426.4045449183, 770311.4868838041]",3.0,0.7,nuttall,64.0,32.0,31580.040491218522,15.0,CWT,uc1.b4952554,38205811705.33038,0.0,14223.821860048149,2212600013710.7505,0.0,98646.79539438026,73768610825.76543,92692.29214792473,0.0,-5.5,2.0,4538708.528597762,0.0,5.0,,0.0,0.0,0.0,-13.0,0.015625,4.0,,7.897636075759201e+17,20138648.033111975,0.0225,0.0,0.19999999999999996,14223.821860048149,253929.33893541212,14312.336153030405,0.0,92692.29214792473,0.0,31543.790491218522,0.0,1.0,0.0,31543.790491218522,76.78487442508049,0.16197515743800203,38205811705.33038,0.08170653131537273,0.12405831876113813,43705034.8575813,0.0,0.0,0.18704145374512027,0.4398159735049463,0.07559398387656042,0.38325177152283907,0.534708765637475,0.8391917314156231,0.2307882687786164,0.8989296340737777,0.03110680761800308,,0.18655135800364714,0.7418905010866463,0.7418905010866463,0.7460652983637218,0.749064193744251,0.7134400406195864,0.4444444444444444,,0.23529411764705882,0.0,0.6949152542372883,0.0,0.298964457254621,0.298964457254621,0.0,0.33333333333333337,1.9132225792788449,0.8191982522564677,8,1.5358541828428633,0.6999068342255725,6,0,0,0.4123211971383911,0.6491867029748873,7,1,0.11111111111111112,0.4236178114979245,0.7447524824861628,4,1.707825127659933,0.8780124908814334,6.25,5.843478260869565,0.7157919597264311,4,gaus,8.0,7.0,4.503966505838413,8,0.7272727272727273,1.0,0.1909090909090909,1,3.25,3
raw,mexh,21.982201764238567,0.6305708661417323,827.4524628763251,-41.168855960453214,400,127,88633.3176305644,,False,"[29, 62, 75, 88, 102, 122, 149, 162, 184, 209, 235, 253, 272, 292, 305, 326, 349, 365]","[488.4312990552571, 1780.4441018462385, 18682.48098026948, 1299.2614830244274, 1921.3011870453338, 5718.430973856914, 12883.265620250822, 3534.175292049942, 15419.605413814992, 8046.204660709045, 121570.64089574461, 1785.4524267022061, 4274.633497749048, 8990.857346658042, 7683.023274736814, 6763.205449005778, 19291.204603791324, 782.9480596646899]",18,14.35944916367054,237173.55599878557,0.030156362238535482,6.453603522973713e-08,0.26970831402847256,18,14020.591677730232,488.4312990552571,133025.7245289138,"[29, 62, 75, 88, 102, 122, 149, 162, 184, 209, 235, 253, 272, 292, 305, 326, 349, 365]","[488.4312990552571, 1780.4441018462385, 18682.48098026948, 1299.2614830244274, 1921.3011870453338, 5718.430973856914, 12883.265620250822, 3534.175292049942, 15419.605413814992, 8046.204660709045, 133025.7245289138, 1785.4524267022061, 4274.633497749048, 8990.857346658042, 7683.023274736814, 6763.205449005778, 19291.204603791324, 782.9480596646899]","[0, 0, 0, 87, 100, 108, 0, 161, 0, 201, 0, 252, 269, 276, 276, 276, 276, 364]","[30, 63, 108, 108, 108, 133, 170, 170, 201, 221, 399, 399, 276, 298, 309, 334, 399, 399]",0.05,30,3506368662487.424,124210.82790764055,-124210.82790764055,0.4975,35046610.877735645,0.02929508538912507,0.08636609910766531,66053716.49596065,6467953500530.875,33.0,4065916.958666606,0.0075,"[0.0, 0.0025, 0.005, 0.0075, 0.01, 0.0125, 0.015, 0.0175, 0.02, 0.0225, 0.025, 0.0275, 0.03, 0.0325, 0.035, 0.0375, 0.04, 0.0425, 0.045, 0.0475, 0.05, 0.0525, 0.055, 0.0575, 0.06, 0.0625, 0.065, 0.0675, 0.07, 0.0725, 0.075, 0.0775, 0.08, 0.0825, 0.085, 0.08750000000000001, 0.09, 0.0925, 0.095, 0.0975, 0.1, 0.10250000000000001, 0.105, 0.1075, 0.11, 0.1125, 0.115, 0.11750000000000001, 0.12, 0.1225, 0.125, 0.1275, 0.13, 0.1325, 0.135, 0.1375, 0.14, 0.14250000000000002, 0.145, 0.1475, 0.15, 0.1525, 0.155, 0.1575, 0.16, 0.1625, 0.165, 0.1675, 0.17, 0.17250000000000001, 0.17500000000000002, 0.1775, 0.18, 0.1825, 0.185, 0.1875, 0.19, 0.1925, 0.195, 0.1975, 0.2, 0.2025, 0.20500000000000002, 0.20750000000000002, 0.21, 0.2125, 0.215, 0.2175, 0.22, 0.2225, 0.225, 0.2275, 0.23, 0.2325, 0.23500000000000001, 0.23750000000000002, 0.24, 0.2425, 0.245, 0.2475]","[35046610.877735645, 6843817.250154918, 3160978.565867115, 4065916.958666606, 2916630.191542065, 1018348.5985155274, 1113306.2510500704, 836368.3266408014, 593879.3362345666, 729828.4671422689, 279338.2967447174, 188181.47987654436, 743471.1927154898, 254349.14122022258, 285322.3633704652, 126725.01320162295, 167793.0676779229, 95650.83892768998, 272604.3902615143, 140047.52122734263, 120517.27080464164, 55473.57786183158, 129954.28718461213, 173323.46527678543, 214108.70113245567, 53869.473391532316, 202799.6259533573, 98786.0950774754, 74003.18521990348, 27065.681621654334, 120914.50178351456, 64044.43562690163, 81543.1653212961, 13073.913661459987, 80681.59830246748, 86007.39034556849, 115547.76658296213, 100194.86305174502, 67595.33387891743, 55342.91897725565, 56327.385835990935, 45898.15266501102, 77246.93286228267, 31530.29218608128, 25235.30797451314, 19334.666369046245, 47819.14443676939, 19410.851823509656, 57701.25020118041, 18514.236565847787, 49568.48158751568, 55324.155448903846, 48580.26315081925, 59327.2453263127, 48771.415883207184, 53268.72268307627, 16265.895739569945, 53588.886321098646, 37581.26780582252, 25859.647660560346, 41070.82206835228, 43684.354149846295, 29488.058715086638, 32526.39435280509, 35576.533635711676, 40684.7849496857, 26440.698003379544, 44917.146085493136, 36700.96946471762, 26685.34454361794, 11088.780264997904, 33432.953491984954, 28523.264754657634, 39806.672433413994, 29940.82619568577, 23366.735905742516, 41367.288772034175, 27043.75565347763, 24268.572031512587, 30109.872857878243, 32302.37304918964, 23325.17150912332, 49948.51534461682, 21818.49829155974, 28804.85940335843, 23433.072322319345, 54834.56050281468, 18331.512347401815, 35150.43229162987, 28579.181592266425, 24007.748829317345, 27437.465839441375, 35198.905255910235, 74739.6802466881, 43514.183954794484, 36310.57281505957, 47361.62316966293, 45247.82514719167, 5640.763518697968, 18739.329582924624]",3.0,0.3,61383.028893608694,15.0,,,,,,,,,,,,,,,,,,,,CWT,uc1.b4952554,,,13495.728041366596,6467894756059.939,,132210.7245289138,,123394.82790764055,0.0,-4.0,,4053229.5992870545,0.0,14.0,,,0.0,0.0,-13.0,,4.0,,,34937535.877735645,0.0225,0.0,,13495.728041366596,240823.65019914418,13495.728041366598,,123394.82790764055,0.0,,0.0,0.0,0.0,61346.778893608694,406.4312990552571,0.16411369967837866,,0.07429252062220472,,65298680.27419228,0.0,,,0.8814375977986875,0.0022057982591997607,0.12119065888233871,0.21439220400926584,0.9693169133697657,0.19589159757455754,0.8561307051614542,0.14379840441471767,,0.9999999999999999,0.6947093069268001,0.6947093069268001,0.6930308203623138,0.7049581449910558,1.0,0.4444444444444444,,0.23529411764705882,0.0,1.0000000000000002,0.0,0.45073501267766475,0.45073501267766475,0.0,0.38333333333333336,2.3354817640405185,1.0,1,1.4079902556965769,0.6416377371587172,8,0,0,0.5167966333324758,0.8136799777214113,2,1,0.11111111111111112,0.41748992937819285,0.7339791974703247,6,3.304037933599835,0.7639972904571546,4.25,2.2325581395348837,0.730212930942863,3,mexh,3.0,3.0,,1,0.2727272727272727,,,5,3.5,4
raw,gaus6,19.941770142618974,0.6819094488188976,354.6623782693001,-31.674197383433533,400,127,24992.644260076348,,False,"[40, 59, 81, 107, 120, 133, 149, 168, 189, 209, 222, 237, 269, 297, 329, 359, 375]","[1410.06013510919, 51263.46447257254, 124.19440241936536, 14470.532408737887, 291.15656132865115, 29728.14234477907, 3167.1292723251454, 13124.100325017898, 14612.78586300815, 4614.4940696604735, 209.69188363021385, 26580.562947838476, 41797.211333379026, 5984.333932115482, 1744.5379258215871, 8451.685758400694, 69638.34774476403]",17,14.581892964488963,122813.68292150895,0.01317581183036172,7.44943752456161e-07,0.18144969476234496,17,17184.025487109986,94.81811379975625,73429.39863219095,"[40, 59, 81, 116, 129, 149, 167, 189, 209, 224, 237, 273, 292, 305, 329, 359, 375]","[1410.06013510919, 73333.52834548101, 124.19440241936536, 14470.532408737887, 94.81811379975625, 18455.61171262163, 96.64796525537713, 22532.318453026088, 8592.051373428867, 2255.398143012627, 57468.67297870624, 1652.8397054990346, 5984.333932115482, 2031.803295243939, 1744.5379258215871, 8451.685758400694, 73429.39863219095]","[0, 0, 80, 107, 128, 133, 166, 133, 200, 220, 133, 269, 269, 269, 269, 269, 269]","[43, 269, 269, 133, 133, 168, 168, 200, 220, 226, 269, 277, 297, 309, 331, 367, 399]",0.05,30,394418326691.51807,71533.87318847749,-71533.87318847749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,uc1.b4952554,,,16659.16185074635,,,72614.39863219095,,70717.87318847749,0.0,0.0,,,0.0,4.5,,,0.0,0.0,-9.0,,5.0,,,,,,,16659.16185074635,280581.43328086974,16712.677237602802,,70717.87318847749,,,,,,,12.818113799756247,,,,,,0.0,,,0.12747768840836932,0.060012020083265186,0.669103290553909,0.4598418732329161,0.7171945938359942,0.5186239326815986,0.5372289936097594,0.04878427867852765,,0.02870443270496914,0.8997029230550642,0.8997029230550642,0.9019550508990721,0.8387594853257191,0.4911823148078478,0.5555555555555556,,0.7058823529411765,0.0,0.6779661016949153,0.0,0.19033923500343977,0.19033923500343977,0.0,0.5166666666666667,2.024066594001575,0.8666591301059113,5,1.4880820024022454,0.6781364891304701,7,0,0,0.45978375178086206,0.72391499629804,6,1,0.11111111111111112,0.38672777832998695,0.6798969853018737,9,1.707825127659933,0.8780124908814334,6.75,6.445012787723785,0.697934816869288,5,gaus,8.0,7.0,4.503966505838413,8,0.7272727272727273,1.0,0.1909090909090909,1,4.0,5
raw,gaus4,20.011940176027224,0.6543700787401575,334.0975675595549,-32.32255242658788,400,127,25067.332356894047,,False,"[28, 41, 59, 81, 107, 133, 149, 168, 189, 221, 245, 269, 296, 309, 329, 359, 374]","[1516.50531971881, 409.46227235539845, 62025.47248446971, 174.49131677291007, 11272.534830521987, 19079.49022120795, 7919.741979177688, 11219.691458236628, 11371.500720260652, 3958.5195020183264, 22534.91386250521, 35617.13717909022, 4079.1491485066545, 1078.4970683002684, 1249.1930072510731, 77865.70392201214, 5153.5237491205335]",17,14.502528204822102,116423.14394967249,0.012553266567872543,9.576652539117946e-07,0.1580848059138129,16,18058.58827278096,174.49131677291007,88878.24643688161,"[28, 41, 59, 81, 116, 149, 189, 209, 224, 245, 274, 292, 305, 329, 359, 374]","[1516.50531971881, 409.46227235539845, 88878.24643688161, 174.49131677291007, 11272.534830521987, 20355.586718780636, 21100.873294047073, 7808.221639289157, 1854.8669322514058, 42089.41630303732, 447.5124704896625, 4079.1491485066545, 1078.4970683002684, 1249.1930072510731, 81469.33185717087, 5153.5237491205335]","[0, 0, 0, 80, 107, 133, 133, 201, 221, 133, 269, 269, 269, 269, 269, 367]","[31, 42, 269, 269, 133, 168, 201, 221, 226, 269, 276, 296, 309, 331, 399, 399]",0.05,30,458736411326.4055,79667.5178895915,-79667.5178895915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,uc1.b4952554,,,17533.724636417322,,,88063.24643688161,,78851.5178895915,0.0,4.0,,,0.0,4.0,,,0.0,0.0,-14.0,,6.0,,,,,,,17533.724636417322,277390.41236449534,17534.764705163703,,78851.5178895915,,,,,,,92.49131677291007,,,,,,0.0,,,0.12836252867995765,0.07808445810618753,0.6316883677243466,0.3722689494806074,0.7258650297365158,0.34550179433238476,0.4528054766097421,0.0434747985518595,,0.22530920047917083,0.9563754500522551,0.9563754500522551,0.9553453847579418,0.8280203836316136,0.6230804957878404,0.6666666666666667,,0.11764705882352941,0.0,0.6610169491525425,0.0,0.2305459392171505,0.2305459392171505,0.0,0.65,2.2203235284633482,0.9506918712232033,3,1.3267269340766077,0.6046050847044273,9,0,0,0.47339526118920794,0.7453458879830723,4,1,0.11111111111111112,0.34170086984714454,0.6007362395516009,10,3.5118845842842465,0.7491511011225538,6.5,5.034965034965035,0.6424326934184197,6,gaus,8.0,7.0,4.503966505838413,8,0.7272727272727273,1.0,0.1909090909090909,1,4.75,6
