wavelet,wavelet_level,wavelet_mode,wavelet_mse,wavelet_psnr,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,signal_length,signal_type,emd_value,kl_divergence,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,fft_frequency_max,fft_amplitude_max,fft_spectral_centroid,fft_spectral_bandwidth,fft_spectral_magnitude,fft_variance_magnitude,fft_num_peaks,fft_peak_amplitude,fft_dominant_frequency,fft_positive_frequencies,fft_positive_amplitudes,fft_snr_threshold,fft_stationarity_threshold,fft_dynamic_cutoff,fft_dynamic_cutoff_percentile,stft_frequency_max,stft_amplitude_max,stft_spectral_centroid,stft_spectral_bandwidth,stft_spectral_magnitude,stft_variance_magnitude,stft_peak_freq_over_time,stft_num_peaks,stft_peak_amplitude,stft_dominant_frequency,stft_positive_frequencies,stft_positive_amplitudes,stft_snr_threshold,stft_stationarity_threshold,stft_window,stft_nperseg,stft_noverlap,stft_dynamic_cutoff,stft_dynamic_cutoff_percentile,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,wavelet_type,htid,fft_frequency_max_diff,fft_snr_threshold_diff,lower_envelope_diff,stft_dynamic_cutoff_percentile_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,prominence_threshold_diff,prominence_min_diff,stft_window_diff,fft_peak_amplitude_diff,avg_prominence_diff,stft_spectral_bandwidth_diff,stft_num_peaks_diff,stft_variance_magnitude_diff,stft_noverlap_diff,fft_spectral_centroid_diff,stft_dominant_frequency_diff,stft_nperseg_diff,fft_variance_magnitude_diff,stft_snr_threshold_diff,stft_dynamic_cutoff_diff,distance_factor_diff,fft_stationarity_threshold_diff,fft_amplitude_max_diff,fft_spectral_magnitude_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,max_autocorrelation_diff,stft_spectral_centroid_diff,stft_amplitude_max_diff,fft_dynamic_cutoff_diff,fft_num_peaks_diff,stft_peak_amplitude_diff,prominence_max_diff,upper_envelope_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,stft_stationarity_threshold_diff,fft_dominant_frequency_diff,fft_dynamic_cutoff_percentile_diff,stft_frequency_max_diff,stft_spectral_magnitude_diff,relative_num_peaks_diff,fft_spectral_bandwidth_diff,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,avg_variance_across_levels_normalized,max_autocorrelation_diff_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,reconstruction_signal_num_missing_metrics,reconstruction_signal_missing_metrics_count,reconstruction_signal_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,kl_divergence_normalized,across_smoothness_normalized,across_wavelet_psnr_normalized,across_wavelet_entropy_normalized,across_wavelet_energy_entropy_normalized,across_wavelet_sparsity_normalized,across_avg_variance_across_levels_normalized,across_prominence_min_diff_normalized,across_avg_prominence_diff_normalized,across_relative_prominences_avg_diff_normalized,across_relative_prominences_wasserstein_normalized,across_relative_prominences_total_diff_normalized,across_relative_num_peaks_diff_normalized,across_max_autocorrelation_diff_normalized,across_relative_right_bases_global_alignment_score_normalized,across_relative_right_bases_array_alignment_score_normalized,across_relative_left_bases_global_alignment_score_normalized,across_relative_left_bases_array_alignment_score_normalized,across_relative_peaks_array_alignment_score_normalized,across_relative_peaks_global_alignment_score_normalized,across_reconstruction_signal_weighted_score,across_reconstruction_signal_normalized_weighted_score,across_reconstruction_signal_normalized_weighted_rank,across_wavelet_signal_weighted_score,across_wavelet_signal_normalized_weighted_score,across_wavelet_signal_normalized_weighted_rank,across_rank_variability,across_normalized_rank_stability,across_average_rank,across_harmonic_average_rank,across_stability_score_weighted,across_stability_rank,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,across_normalized_family_mean_rank,across_normalized_family_std_dev,across_final_family_stability_score,across_final_family_stability_rank,across_family_informed_rank,across_top_wavelet_rank
db9,1,periodization,5.156468303739574e-29,339.3884603782087,74297.23173172932,0.6794871794871795,12.474866555966058,77,smoothed,2.6777536212895386e-15,,3.10755612822082,2863.3248710643584,0.5187689488548367,5.6821195254701876e-05,0.9999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,31.419607843137236,0.2666666666666493,307.2666666666666,"[7, 11, 14, 16, 19, 21, 24, 29, 31, 33, 35, 37, 43, 45, 51, 63, 68]","[307.2666666666666, 7.266666666666708, 0.2666666666666512, 3.4000000000000346, 23.866666666666617, 0.9333333333332812, 32.60000000000002, 14.999999999999996, 2.8666666666666716, 4.799999999999953, 0.9999999999999418, 21.599999999999966, 44.599999999999966, 0.2666666666666493, 17.666666666666686, 46.400000000000034, 4.333333333333296]","[2, 10, 13, 10, 10, 20, 22, 28, 30, 32, 34, 28, 28, 44, 48, 48, 67]","[70, 13, 15, 17, 28, 22, 28, 36, 36, 36, 36, 39, 48, 48, 58, 70, 70]",0.05,30,230882.81777777773,362.0,-362.0,DWT,inu.32000013032836,,,0.0,,0.0,-12.5,0.0,0.8000000000000136,,,28.772984749455333,,,,,,,,,,,0.0,,,,0.0,-12.5,28.772984749455333,7.600000000000136,28.89150326797387,6599064.484444444,,,,,,5.684341886080802e-14,0.0,0.0,-12.5,,,,,,8.0,,0.9249290307228694,0.39084166359839195,0.10344942736512944,0.8358445678033306,0.193691987795862,,0.0,,276,1.2139175861551594,0.6618985932595189,176,,,,,,0,0,0.48975133545711663,0.6513607399930735,180,56.61566332149905,0.9149914965142657,210.66666666666666,201.87661618027334,0.7993375900989748,118,db,0.400821202812638,0.5883648501506041,0.5429157029859721,1,88.75,,0.9999999999933068,0.9355844564498915,0.25015947154077517,0.00023576319746965516,0.7677119628339144,0.0005434270480635097,0.9999999999359936,0.999999999997586,0.999999999997586,0.999999999997668,0.9999999998446379,1.0,0.9999999999998757,0.0,0.0,0.0,0.0,0.0,0.0,2.599999999900907,0.9999999999691773,101,1.2938504471898404,0.8015091506322408,64,26.16295090390226,0.9806200363674799,82.5,78.35151515151514,0.9597544626281844,1,469.4558404558405,474.0,340.7887618264724,351,0.5404737691077253,0.8154261662467039,0.3770405117505811,1,1.0,1
db15,1,antireflect,1.919366600245459e-28,333.6804045717148,81648.8935522809,0.6132075471698113,16.759541254570358,77,smoothed,5.651143333948342e-15,,4.342653976571775,3316.5983035829386,0.5003735197510436,5.682119525470192e-05,0.9999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,31.419607843137236,0.2666666666666486,307.2666666666666,"[7, 11, 14, 16, 19, 21, 24, 29, 31, 33, 35, 37, 43, 45, 51, 63, 68]","[307.2666666666666, 7.266666666666722, 0.2666666666666486, 3.4000000000000314, 23.86666666666661, 0.9333333333332794, 32.60000000000002, 15.000000000000004, 2.866666666666674, 4.799999999999955, 0.9999999999999463, 21.59999999999996, 44.599999999999966, 0.2666666666666544, 17.666666666666686, 46.400000000000034, 4.3333333333333135]","[4, 10, 13, 10, 10, 20, 22, 28, 30, 32, 34, 28, 28, 44, 48, 48, 67]","[70, 13, 15, 17, 28, 22, 28, 36, 36, 36, 36, 39, 48, 48, 58, 70, 70]",0.05,30,230882.81777777773,362.0,-362.0,DWT,inu.32000013032836,,,0.0,,0.0,-12.5,0.0,0.8000000000000143,,,28.772984749455333,,,,,,,,,,,0.0,,,,0.0,-12.5,28.772984749455333,7.600000000000136,28.89150326797387,6599064.484444444,,,,,,5.684341886080802e-14,0.0,0.0,-12.5,,,,,,8.0,,0.8686530736081907,0.922769530034693,0.16302485469710465,0.4586656292550084,0.2930854667486325,,0.0,,261,1.3647894749322695,0.7441627371214333,109,,,,,,0,0,0.5412397108687259,0.7198393818692499,114,86.35006272918008,0.8703452511573873,161.33333333333334,137.7558509960498,0.8140515044575725,103,db,0.400821202812638,0.5883648501506041,0.5429157029859721,1,77.5,,0.9999999999933086,0.8872961980025753,0.5906216237596578,0.0003715367207858672,0.4674906317796331,0.0008222878593893384,0.9999999999359944,0.999999999997586,0.999999999997586,0.999999999997668,0.9999999998446379,1.0,0.9999999999998757,0.0,0.0,0.0,0.0,0.0,0.0,2.599999999900907,0.9999999999691773,104,1.3151994668953686,0.8147343535049327,39,45.96194077712559,0.9659541179428699,71.5,56.72727272727273,0.9564955774899535,2,469.4558404558405,474.0,340.7887618264724,351,0.5404737691077253,0.8154261662467039,0.3770405117505811,1,1.75,2
bior3.9,1,periodization,1.4022172097304997e-28,335.04383097349483,118363.35996040523,0.6666666666666666,8.478545979735005,77,smoothed,4.464568559228293e-15,,2.5354974425455588,3750.852803024987,0.7889954490510898,5.682119525470189e-05,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,31.419607843137236,0.2666666666666516,307.2666666666666,"[7, 11, 14, 16, 19, 21, 24, 29, 31, 33, 35, 37, 43, 45, 51, 63, 68]","[307.2666666666666, 7.266666666666706, 0.2666666666666516, 3.4000000000000314, 23.866666666666614, 0.9333333333332821, 32.600000000000016, 15.000000000000004, 2.8666666666666747, 4.7999999999999545, 0.9999999999999434, 21.599999999999966, 44.599999999999966, 0.2666666666666524, 17.66666666666668, 46.400000000000034, 4.3333333333333]","[3, 10, 13, 10, 10, 20, 22, 28, 30, 32, 34, 28, 28, 44, 48, 48, 67]","[70, 13, 15, 17, 28, 22, 28, 36, 36, 36, 36, 39, 48, 48, 58, 70, 70]",0.05,30,230882.81777777767,361.99999999999994,-361.99999999999994,DWT,inu.32000013032836,,,5.684341886080802e-14,,0.0,-12.5,0.0,0.8000000000000113,,,28.772984749455333,,,,,,,,,,,0.0,,,,0.0,-12.5,28.772984749455333,7.600000000000136,28.891503267973874,6599064.484444444,,,,,,5.684341886080802e-14,5.684341886080802e-14,0.0,-12.5,,,,,,8.0,,0.8820951506159701,0.1444693162140326,0.4605467047113302,0.762886597938144,0.38830848745516794,,0.0,,96,1.2922431349895882,0.7046062458885515,136,,,,,,0,0,0.527661251386929,0.7017802674254391,131,21.79449471770337,0.9672755334569019,121.0,118.09537838335483,0.8927969258876101,42,bior,0.5135631808151685,1.0,0.34050577342938204,5,32.75,,0.9999999999933074,0.8988303330382116,0.09246805334217245,0.001049594632395779,0.7096399535423925,0.0010894479295558992,0.9999999999359908,0.999999999997586,0.999999999997586,0.9999999999976681,0.9999999998446379,1.0,0.9999999999998757,0.0,0.0,0.0,0.0,0.0,0.0,2.599999999900906,0.999999999969177,129,1.1703487843969826,0.7250028487935949,140,7.7781745930520225,0.9942383891903318,134.5,134.275092936803,0.9473043797803511,3,690.8666666666667,699.5,403.44564823290256,270,0.7953789879824646,0.9653491402248374,0.1536299663448235,4,3.25,3
db12,1,constant,4.301921203009761e-29,340.17535939069387,70647.02147068817,0.62,8.504838438131051,77,smoothed,3.0372529887959636e-15,,3.2681182160464086,2249.989050666666,0.5571188613371872,5.682119525470189e-05,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,31.419607843137243,0.26666666666664796,307.26666666666665,"[7, 11, 14, 16, 19, 21, 24, 29, 31, 33, 35, 37, 43, 45, 51, 63, 68]","[307.26666666666665, 7.266666666666714, 0.26666666666664884, 3.4000000000000306, 23.866666666666614, 0.9333333333332794, 32.60000000000002, 15.0, 2.8666666666666742, 4.799999999999956, 0.9999999999999414, 21.599999999999966, 44.599999999999966, 0.26666666666664796, 17.666666666666686, 46.40000000000004, 4.333333333333286]","[3, 10, 13, 10, 10, 20, 22, 28, 30, 32, 34, 28, 28, 44, 48, 48, 67]","[70, 13, 15, 17, 28, 22, 28, 36, 36, 36, 36, 39, 48, 48, 58, 70, 70]",0.05,30,230882.8177777778,362.0,-362.0,DWT,inu.32000013032836,,,0.0,,0.0,-12.5,0.0,0.8000000000000149,,,28.772984749455325,,,,,,,,,,,0.0,,,,0.0,-12.5,28.772984749455325,7.600000000000023,28.89150326797387,6599064.484444444,,,,,,0.0,0.0,0.0,-12.5,,,,,,8.0,,0.9326871004722606,0.45999201384930966,0.0738693349368883,0.49731958762886574,0.059200141192477906,,0.0,,191,1.049150826204993,0.572058156090826,295,,,,,,0,0,0.4046136356159604,0.5381290831195223,315,66.57326790837296,0.9000401382757163,267.0,254.23651729653594,0.7495696186874077,187,db,0.400821202812638,0.5883648501506041,0.5429157029859721,1,140.5,,0.9999999999933074,0.9422413610378936,0.29441937698781623,0.00016834960853102238,0.4982578397212544,0.00016609338537573997,0.9999999999359953,0.9999999999975858,0.9999999999975858,0.999999999997668,0.9999999998446231,1.0,0.9999999999998757,0.0,0.0,0.0,0.0,0.0,0.0,2.5999999999009,0.9999999999691745,137,1.2120082531615541,0.7508098850687719,106,21.920310216782973,0.9837627331727533,121.5,119.52263374485597,0.9468813665863767,4,469.4558404558405,474.0,340.7887618264724,351,0.5404737691077253,0.8154261662467039,0.3770405117505811,1,3.25,4
db12,1,smooth,4.301921203009761e-29,340.17535939069387,70647.02147068817,0.62,8.504838438131051,77,smoothed,3.0372529887959636e-15,,3.2681182160464086,2249.989050666666,0.5571188613371872,5.682119525470189e-05,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,31.419607843137243,0.26666666666664796,307.26666666666665,"[7, 11, 14, 16, 19, 21, 24, 29, 31, 33, 35, 37, 43, 45, 51, 63, 68]","[307.26666666666665, 7.266666666666714, 0.26666666666664884, 3.4000000000000306, 23.866666666666614, 0.9333333333332794, 32.60000000000002, 15.0, 2.8666666666666742, 4.799999999999956, 0.9999999999999414, 21.599999999999966, 44.599999999999966, 0.26666666666664796, 17.666666666666686, 46.40000000000004, 4.333333333333286]","[3, 10, 13, 10, 10, 20, 22, 28, 30, 32, 34, 28, 28, 44, 48, 48, 67]","[70, 13, 15, 17, 28, 22, 28, 36, 36, 36, 36, 39, 48, 48, 58, 70, 70]",0.05,30,230882.8177777778,362.0,-362.0,DWT,inu.32000013032836,,,0.0,,0.0,-12.5,0.0,0.8000000000000149,,,28.772984749455325,,,,,,,,,,,0.0,,,,0.0,-12.5,28.772984749455325,7.600000000000023,28.89150326797387,6599064.484444444,,,,,,0.0,0.0,0.0,-12.5,,,,,,8.0,,0.9326871004722606,0.45999201384930966,0.0738693349368883,0.49731958762886574,0.059200141192477906,,0.0,,194,1.049150826204993,0.572058156090826,293,,,,,,0,0,0.4046136356159604,0.5381290831195223,314,64.08587988004847,0.9037749551350623,267.0,255.2687070938215,0.7514370271170807,183,db,0.400821202812638,0.5883648501506041,0.5429157029859721,1,137.5,,0.9999999999933074,0.9422413610378936,0.29441937698781623,0.00016834960853102238,0.4982578397212544,0.00016609338537573997,0.9999999999359953,0.9999999999975858,0.9999999999975858,0.999999999997668,0.9999999998446231,1.0,0.9999999999998757,0.0,0.0,0.0,0.0,0.0,0.0,2.5999999999009,0.9999999999691745,141,1.2120082531615541,0.7508098850687719,108,23.33452377915607,0.9827151675709955,124.5,122.3132530120482,0.9452464726743867,5,469.4558404558405,474.0,340.7887618264724,351,0.5404737691077253,0.8154261662467039,0.3770405117505811,1,4.0,5
db15,1,zero,1.0029194644092507e-28,336.49932330280615,64827.04862300281,0.5849056603773585,8.600419344736926,77,smoothed,5.049351989918569e-15,,3.5615198081970494,2125.7731766939596,0.5332048287787648,5.6821195254701876e-05,0.9999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,31.419607843137236,0.2666666666666495,307.2666666666666,"[7, 11, 14, 16, 19, 21, 24, 29, 31, 33, 35, 37, 43, 45, 51, 63, 68]","[307.2666666666666, 7.266666666666726, 0.2666666666666495, 3.400000000000036, 23.86666666666661, 0.9333333333332803, 32.60000000000002, 15.000000000000004, 2.866666666666674, 4.799999999999955, 0.9999999999999463, 21.59999999999996, 44.599999999999966, 0.2666666666666544, 17.666666666666686, 46.40000000000003, 4.333333333333308]","[4, 10, 13, 10, 10, 20, 22, 28, 30, 32, 34, 28, 28, 44, 48, 48, 67]","[70, 13, 15, 17, 28, 22, 28, 36, 36, 36, 36, 39, 48, 48, 58, 70, 70]",0.05,30,230882.81777777773,362.0,-362.0,DWT,inu.32000013032836,,,0.0,,0.0,-12.5,0.0,0.8000000000000134,,,28.772984749455333,,,,,,,,,,,0.0,,,,0.0,-12.5,28.772984749455333,7.600000000000136,28.89150326797387,6599064.484444444,,,,,,5.684341886080802e-14,0.0,0.0,-12.5,,,,,,8.0,,0.8964449093923088,0.5863532435527534,0.026706206664030174,0.29760746936393667,0.03196217185748912,,0.0,,253,0.9762245272323474,0.532294489057628,423,,,,,,0,0,0.3678148001661037,0.4891872733598207,444,104.73935904583975,0.8427336951263668,373.3333333333333,350.10378644424964,0.6410865672829031,359,db,0.400821202812638,0.5883648501506041,0.5429157029859721,1,269.5,,0.9999999999933068,0.9111433152774377,0.3752972909615353,6.08639490402782e-05,0.3392939320228781,8.967386260974163e-05,0.9999999999359933,0.999999999997586,0.999999999997586,0.999999999997668,0.9999999998446379,1.0,0.9999999999998757,0.0,0.0,0.0,0.0,0.0,0.0,2.599999999900907,0.9999999999691773,103,1.1701185089739379,0.7248601987221458,141,26.870057685088806,0.9800962535666009,122.0,119.04098360655739,0.9448629415981153,6,469.4558404558405,474.0,340.7887618264724,351,0.5404737691077253,0.8154261662467039,0.3770405117505811,1,4.75,6
db15,1,constant,1.0029194644092507e-28,336.49932330280615,64827.04862300281,0.5849056603773585,8.600419344736926,77,smoothed,5.049351989918569e-15,,3.5615198081970494,2125.7731766939596,0.5332048287787648,5.6821195254701876e-05,0.9999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,31.419607843137236,0.2666666666666495,307.2666666666666,"[7, 11, 14, 16, 19, 21, 24, 29, 31, 33, 35, 37, 43, 45, 51, 63, 68]","[307.2666666666666, 7.266666666666726, 0.2666666666666495, 3.400000000000036, 23.86666666666661, 0.9333333333332803, 32.60000000000002, 15.000000000000004, 2.866666666666674, 4.799999999999955, 0.9999999999999463, 21.59999999999996, 44.599999999999966, 0.2666666666666544, 17.666666666666686, 46.40000000000003, 4.333333333333308]","[4, 10, 13, 10, 10, 20, 22, 28, 30, 32, 34, 28, 28, 44, 48, 48, 67]","[70, 13, 15, 17, 28, 22, 28, 36, 36, 36, 36, 39, 48, 48, 58, 70, 70]",0.05,30,230882.81777777773,362.0,-362.0,DWT,inu.32000013032836,,,0.0,,0.0,-12.5,0.0,0.8000000000000134,,,28.772984749455333,,,,,,,,,,,0.0,,,,0.0,-12.5,28.772984749455333,7.600000000000136,28.89150326797387,6599064.484444444,,,,,,5.684341886080802e-14,0.0,0.0,-12.5,,,,,,8.0,,0.8964449093923088,0.5863532435527534,0.026706206664030174,0.29760746936393667,0.03196217185748912,,0.0,,254,0.9762245272323474,0.532294489057628,422,,,,,,0,0,0.3678148001661037,0.4891872733598207,443,103.59054010864119,0.8444586484855238,373.0,350.3030866383381,0.6421992942127319,358,db,0.400821202812638,0.5883648501506041,0.5429157029859721,1,268.75,,0.9999999999933068,0.9111433152774377,0.3752972909615353,6.08639490402782e-05,0.3392939320228781,8.967386260974163e-05,0.9999999999359933,0.999999999997586,0.999999999997586,0.999999999997668,0.9999999998446379,1.0,0.9999999999998757,0.0,0.0,0.0,0.0,0.0,0.0,2.599999999900907,0.9999999999691773,102,1.1701185089739379,0.7248601987221458,142,28.284271247461902,0.979048687964843,122.0,118.72131147540983,0.9443391587972363,7,469.4558404558405,474.0,340.7887618264724,351,0.5404737691077253,0.8154261662467039,0.3770405117505811,1,5.5,7
db18,1,periodic,8.19755822978247e-29,337.3751388007304,82743.07106218363,0.5892857142857143,20.559660759651397,77,smoothed,4.985910674225703e-15,,4.5190824550593955,3308.4376567708864,0.5420315655976387,5.6821195254701876e-05,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,31.419607843137243,0.2666666666666462,307.26666666666665,"[7, 11, 14, 16, 19, 21, 24, 29, 31, 33, 35, 37, 43, 45, 51, 63, 68]","[307.26666666666665, 7.26666666666671, 0.2666666666666462, 3.40000000000003, 23.86666666666664, 0.9333333333332856, 32.60000000000003, 15.0, 2.8666666666666747, 4.799999999999953, 0.9999999999999454, 21.599999999999966, 44.599999999999966, 0.26666666666664907, 17.666666666666682, 46.40000000000004, 4.333333333333268]","[6, 10, 13, 10, 10, 20, 22, 28, 30, 32, 34, 28, 28, 44, 48, 48, 67]","[70, 13, 15, 17, 28, 22, 28, 36, 36, 36, 36, 39, 48, 48, 58, 70, 70]",0.05,30,230882.81777777776,362.0,-362.0,DWT,inu.32000013032836,,,0.0,,0.0,-12.5,0.0,0.8000000000000167,,,28.772984749455325,,,,,,,,,,,0.0,,,,0.0,-12.5,28.772984749455325,7.600000000000023,28.891503267973867,6599064.484444444,,,,,,0.0,0.0,0.0,-12.5,,,,,,8.0,,0.9050796104310552,0.9987531650688106,0.17189170607311108,0.3225331369661265,0.2912960058648393,,0.0,,337,1.3739018589619805,0.7491313398003101,102,,,,,,0,0,0.5379107248807887,0.7154118885281536,117,131.56113914577256,0.8024607520333745,185.33333333333334,140.72423807690961,0.7620912368775481,166,db,0.400821202812638,0.5883648501506041,0.5429157029859721,1,124.75,,0.9999999999933068,0.9185524238337724,0.6392551952445382,0.00039174444242473863,0.3591338974614237,0.0008172673035224134,0.9999999999359975,0.9999999999975858,0.9999999999975858,0.9999999999976679,0.9999999998446231,1.0,0.9999999999998757,0.0,0.0,0.0,0.0,0.0,0.0,2.5999999999009002,0.9999999999691748,132,1.3149353900477154,0.8145707642660652,40,65.05382386916237,0.951811982319139,86.0,61.3953488372093,0.9440541393077176,8,469.4558404558405,474.0,340.7887618264724,351,0.5404737691077253,0.8154261662467039,0.3770405117505811,1,6.25,8
db15,1,smooth,1.0029194644092507e-28,336.49932330280615,64827.04862300281,0.5849056603773585,8.600419344736926,77,smoothed,5.049351989918569e-15,,3.5615198081970494,2125.7731766939596,0.5332048287787648,5.6821195254701876e-05,0.9999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,31.419607843137236,0.2666666666666495,307.2666666666666,"[7, 11, 14, 16, 19, 21, 24, 29, 31, 33, 35, 37, 43, 45, 51, 63, 68]","[307.2666666666666, 7.266666666666726, 0.2666666666666495, 3.400000000000036, 23.86666666666661, 0.9333333333332803, 32.60000000000002, 15.000000000000004, 2.866666666666674, 4.799999999999955, 0.9999999999999463, 21.59999999999996, 44.599999999999966, 0.2666666666666544, 17.666666666666686, 46.40000000000003, 4.333333333333308]","[4, 10, 13, 10, 10, 20, 22, 28, 30, 32, 34, 28, 28, 44, 48, 48, 67]","[70, 13, 15, 17, 28, 22, 28, 36, 36, 36, 36, 39, 48, 48, 58, 70, 70]",0.05,30,230882.81777777773,362.0,-362.0,DWT,inu.32000013032836,,,0.0,,0.0,-12.5,0.0,0.8000000000000134,,,28.772984749455333,,,,,,,,,,,0.0,,,,0.0,-12.5,28.772984749455333,7.600000000000136,28.89150326797387,6599064.484444444,,,,,,5.684341886080802e-14,0.0,0.0,-12.5,,,,,,8.0,,0.8964449093923088,0.5863532435527534,0.026706206664030174,0.29760746936393667,0.03196217185748912,,0.0,,257,0.9762245272323474,0.532294489057628,424,,,,,,0,0,0.3678148001661037,0.4891872733598207,445,103.01617995894301,0.8453210511126982,375.3333333333333,353.0769174759049,0.6408787437745673,361,db,0.400821202812638,0.5883648501506041,0.5429157029859721,1,271.0,,0.9999999999933068,0.9111433152774377,0.3752972909615353,6.08639490402782e-05,0.3392939320228781,8.967386260974163e-05,0.9999999999359933,0.999999999997586,0.999999999997586,0.999999999997668,0.9999999998446379,1.0,0.9999999999998757,0.0,0.0,0.0,0.0,0.0,0.0,2.599999999900907,0.9999999999691773,100,1.1701185089739379,0.7248601987221458,143,30.405591591021544,0.9774773395622063,121.5,117.6954732510288,0.9437386697811032,9,469.4558404558405,474.0,340.7887618264724,351,0.5404737691077253,0.8154261662467039,0.3770405117505811,1,7.0,9
db12,1,zero,4.301921203009761e-29,340.17535939069387,70647.02147068817,0.62,8.504838438131051,77,smoothed,3.0372529887959636e-15,,3.2681182160464086,2249.989050666666,0.5571188613371872,5.682119525470189e-05,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,31.419607843137243,0.26666666666664796,307.26666666666665,"[7, 11, 14, 16, 19, 21, 24, 29, 31, 33, 35, 37, 43, 45, 51, 63, 68]","[307.26666666666665, 7.266666666666714, 0.26666666666664884, 3.4000000000000306, 23.866666666666614, 0.9333333333332794, 32.60000000000002, 15.0, 2.8666666666666742, 4.799999999999956, 0.9999999999999414, 21.599999999999966, 44.599999999999966, 0.26666666666664796, 17.666666666666686, 46.40000000000004, 4.333333333333286]","[3, 10, 13, 10, 10, 20, 22, 28, 30, 32, 34, 28, 28, 44, 48, 48, 67]","[70, 13, 15, 17, 28, 22, 28, 36, 36, 36, 36, 39, 48, 48, 58, 70, 70]",0.05,30,230882.8177777778,362.0,-362.0,DWT,inu.32000013032836,,,0.0,,0.0,-12.5,0.0,0.8000000000000149,,,28.772984749455325,,,,,,,,,,,0.0,,,,0.0,-12.5,28.772984749455325,7.600000000000023,28.89150326797387,6599064.484444444,,,,,,0.0,0.0,0.0,-12.5,,,,,,8.0,,0.9326871004722606,0.45999201384930966,0.0738693349368883,0.49731958762886574,0.059200141192477906,,0.0,,190,1.049150826204993,0.572058156090826,294,,,,,,0,0,0.4046136356159604,0.5381290831195223,313,66.21429855653032,0.900579131296501,265.6666666666667,252.96375245958566,0.7508401161988011,185,db,0.400821202812638,0.5883648501506041,0.5429157029859721,1,139.0,,0.9999999999933074,0.9422413610378936,0.29441937698781623,0.00016834960853102238,0.4982578397212544,0.00016609338537573997,0.9999999999359953,0.9999999999975858,0.9999999999975858,0.999999999997668,0.9999999998446231,1.0,0.9999999999998757,0.0,0.0,0.0,0.0,0.0,0.0,2.5999999999009,0.9999999999691745,145,1.2120082531615541,0.7508098850687719,107,26.870057685088806,0.9800962535666009,126.0,123.13492063492063,0.9433814601166337,10,469.4558404558405,474.0,340.7887618264724,351,0.5404737691077253,0.8154261662467039,0.3770405117505811,1,7.75,10
