signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,scales_used,emd_value,kl_divergence,is_complex,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,fft_frequency_max,fft_amplitude_max,fft_spectral_centroid,fft_spectral_bandwidth,fft_spectral_magnitude,fft_variance_magnitude,fft_num_peaks,fft_peak_amplitude,fft_dominant_frequency,fft_positive_frequencies,fft_positive_amplitudes,fft_snr_threshold,fft_stationarity_threshold,fft_dynamic_cutoff,fft_dynamic_cutoff_percentile,wavelet_type,htid,fft_frequency_max_diff,fft_stationarity_threshold_diff,fft_amplitude_max_diff,fft_spectral_magnitude_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,fft_snr_threshold_diff,lower_envelope_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,max_autocorrelation_diff,prominence_threshold_diff,prominence_min_diff,fft_peak_amplitude_diff,fft_dynamic_cutoff_diff,avg_prominence_diff,fft_num_peaks_diff,prominence_max_diff,upper_envelope_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,fft_dominant_frequency_diff,fft_dynamic_cutoff_percentile_diff,fft_spectral_centroid_diff,relative_num_peaks_diff,fft_variance_magnitude_diff,fft_spectral_bandwidth_diff,distance_factor_diff,emd_value_normalized,smoothness_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,relative_num_peaks_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,reconstruction_signal_num_missing_metrics,reconstruction_signal_missing_metrics_count,reconstruction_signal_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,across_emd_value_normalized,across_smoothness_normalized,across_wavelet_psnr_normalized,across_wavelet_entropy_normalized,across_wavelet_energy_entropy_normalized,across_wavelet_sparsity_normalized,across_correlation_normalized,across_avg_variance_across_levels_normalized,across_kl_divergence_normalized,across_prominence_min_diff_normalized,across_avg_prominence_diff_normalized,across_relative_prominences_avg_diff_normalized,across_relative_prominences_wasserstein_normalized,across_relative_prominences_total_diff_normalized,across_prominence_max_diff_normalized,across_relative_num_peaks_diff_normalized,across_max_autocorrelation_diff_normalized,across_relative_right_bases_global_alignment_score_normalized,across_relative_left_bases_global_alignment_score_normalized,across_upper_envelope_diff_normalized,across_lower_envelope_diff_normalized,across_relative_peaks_global_alignment_score_normalized,across_reconstruction_signal_weighted_score,across_reconstruction_signal_normalized_weighted_score,across_reconstruction_signal_normalized_weighted_rank,across_wavelet_signal_weighted_score,across_wavelet_signal_normalized_weighted_score,across_wavelet_signal_normalized_weighted_rank,across_rank_variability,across_normalized_rank_stability,across_average_rank,across_harmonic_average_rank,across_stability_score_weighted,across_stability_rank,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,across_normalized_family_mean_rank,across_normalized_family_std_dev,across_final_family_stability_score,across_final_family_stability_rank,across_family_informed_rank,across_top_wavelet_rank
smoothed,gaus7,21.408449816631187,0.6413037656007284,741.9261517254713,-36.22055433800229,294,127,62173.79896576989,,False,14.02387384510841,744714.8606367169,0.02150118279137062,1.197250147587026e-06,0.10861830946867795,9,26743.69598352641,94.6081840705665,187295.8654896759,"[48, 57, 71, 94, 115, 177, 202, 228, 292]","[5919.544492454734, 94.6081840705665, 28107.26794577094, 1818.3591889993768, 187295.8654896759, 3420.2573745460104, 2110.702816541205, 10427.508879444988, 1499.1494802339585]","[2, 55, 2, 85, 2, 172, 194, 194, 2]","[59, 59, 85, 97, 194, 194, 204, 235, 293]",0.05,30,1598982787929.623,169915.19901195896,-169915.19901195896,,,,,,,,,,,,,,,,CWT,uc1.c2693406,,,,,0.0,-15.0,,168775.5323452923,0.0,-15.0,26273.07098352641,229398.2638517377,26273.070983526413,,0.0,82.94151740389987,,,26273.07098352641,,186156.19882300924,168775.5323452923,0.0,-10.5,,,,15.0,,,0.0,0.14759609107722554,0.13795373780401965,0.6220725033766847,0.3229491572043274,0.7353187574786006,0.2837243401759527,0.26011594959670997,0.07246342637223463,,0.07428909967843435,0.5716814024299406,0.5716814024299406,0.5716619223039037,0.5593456130855041,0.5089945851902524,0.5,,0.2105263157894737,0.3018867924528302,0.22534845334594306,0.22534845334594306,0.21052631578947367,1.4544502025110462,0.5572897281634865,9,1.2345638944898072,0.5695186637678659,12,0,0,0.37760752965346994,0.5102259623085302,9,1,0.11111111111111112,0.3172186898301638,0.6056150941953814,12,1.7320508075688772,0.8762820851736516,10.5,10.285714285714286,0.5631410425868257,10,gaus,0.5178571428571429,1.0,0.33749999999999997,1,7.75,0.14759609107722554,0.08919695057873817,0.6069045351896233,0.3229491572043274,0.74048660448316,0.2837243401759528,0.2686796095442736,0.07246342637223463,,0.07428909967843433,0.584113020535252,0.584113020535252,0.5821868988241277,0.52273092347783,0.5089945851902524,0.6315789473684211,,0.1839080459770115,0.23880597014925375,0.2255172146116578,0.2255172146116578,0.18181818181818182,1.4847468689742556,0.570988001735774,17,1.216845464891291,0.5719501759531149,22,3.5355339059327378,0.8737309319309736,19.5,19.17948717948718,0.5886511802512011,14,13.6875,13.5,7.171413156879658,16,0.5165094339622641,1.0,0.3384433962264151,4,11.5,9
smoothed,cmor,19.8759961850073,0.6416251539986073,895.5961813232199,-38.24363348047653,294,127,87519.19518219861,-862823.0716371415,True,14.382397934818346,367943.58188183606,0.018883869472358678,1.5127932603290143e-06,0.16024642346718013,13,16766.92728233763,35.50153255614714,109743.99006477738,"[29, 40, 57, 68, 93, 103, 143, 158, 183, 200, 222, 239, 249]","[754.6065627469507, 76560.53922621415, 196.62851303892967, 1214.9733078206918, 1090.8632153383078, 12303.89498618825, 35.50153255614714, 2432.7810926587845, 1065.5412809409245, 96.3857976472209, 109743.99006477738, 2418.727617671393, 10055.621472790095]","[0, 0, 56, 67, 82, 82, 129, 129, 129, 129, 0, 231, 231]","[30, 129, 129, 129, 95, 129, 144, 161, 186, 201, 293, 242, 293]",0.05,30,2579733983101.9976,134715.83767504772,-134715.83767504772,,,,,,,,,,,,,,,,CWT,uc1.c2693406,,,,,0.0,-4.0,,133576.17100838106,0.0,0.5,16296.30228233763,206675.05467038922,16299.057173828367,,0.0,23.83486588948051,,,16296.30228233763,,108604.3233981107,133576.17100838106,0.0,5.0,,,,11.0,,,0.0,0.2551623832269116,0.18865752685972859,0.5172200149727225,0.6984204776568652,0.565181327985139,0.2849811478843735,0.4003975180593789,0.02006907341278389,0.22250226541408813,0.019069605243336625,0.33922953225819896,0.33922953225819896,0.3392821578587417,0.5022260266919208,0.2944260228764032,0.2142857142857143,,0.618421052631579,0.7169811320754716,0.14930791727393927,0.14930791727393927,0.618421052631579,1.112031154690587,0.42608783637756664,12,1.4464588867388772,0.6672682848149514,6,0,0,0.3583489719465852,0.4842036630506549,11,0,0.0,0.350287970607999,0.6687490022383299,7,2.943920288775949,0.7897199793731465,9.0,8.268456375838927,0.5734314182580018,9,cmor,0.6428571428571429,,,3,7.5,0.25516238322691154,0.11335895262514131,0.5046086606848652,0.6984204776568653,0.5736710734249457,0.28498114788437356,0.407337513260324,0.020069073412783897,0.21585704237647507,0.019069605243336632,0.35840788724170036,0.35840788724170036,0.3555170903504631,0.4693503776298282,0.2944260228764032,0.4210526315789474,,0.5402298850574712,0.5671641791044777,0.1494932443067638,0.1494932443067638,0.5340909090909092,1.1550848798649374,0.4442101351895312,22,1.420665283481023,0.6677509858904257,9,9.192388155425117,0.6717004230205315,15.5,12.774193548387096,0.5590644972245514,16,21.0,21.0,7.0710678118654755,2,0.7924528301886793,0.9860075911373312,0.14948074152672514,7,13.75,10
smoothed,gaus1,23.71309829716595,0.5687503347795811,1804.4979788380779,-48.22314889579204,294,127,238963.7398394341,,False,13.92506982093359,7414692.08524557,0.02026549762353572,2.3980817494656963e-06,0.012887301854649667,2,2207.291442660313,1085.4841808205238,3329.098704500102,"[121, 291]","[3329.098704500102, 1085.4841808205238]","[2, 2]","[132, 293]",0.05,10,25363166355800.977,528503.4087932997,-528503.4087932997,,,,,,,,,,,,,,,,CWT,uc1.c2693406,,,,,0.0,-23.0,,527363.7421266331,0.0,-23.0,1736.666442660313,6880.417114679374,1736.666442660313,,0.0,1073.8175141538572,,,1736.666442660313,,2189.432037833435,527363.7421266331,0.0,-18.5,,,,22.0,,,20.0,0.897895603728593,0.3309121950620322,0.0,0.21947472274454463,0.9911874899952868,0.0,0.0,1.0000000000000002,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.9999999999999999,0.9999999999999999,0.0,1.0999999999999999,0.4214779577337777,13,1.3739734460071034,0.633829909099902,7,0,0,0.33333333333333326,0.45040235539155693,12,1,0.11111111111111112,0.42437819588575154,0.8101976627336059,4,4.242640687119285,0.6969542366343369,9.0,7.231788079470198,0.527048546888597,11,gaus,0.5178571428571429,1.0,0.33749999999999997,1,8.5,0.8978956037285929,0.1811479216199043,0.0,0.2194747227445447,0.9913595524466968,0.0,0.01157432700826,1.0,,1.0,0.02902423143855659,0.02902423143855659,0.02457165745533224,0.0,0.0,1.0,,0.0,0.0,1.0000000000000002,1.0000000000000002,0.0,1.1247860360997337,0.4325581313241518,23,1.333759926003474,0.6269031248146621,12,7.7781745930520225,0.722208050248142,17.5,15.77142857142857,0.548604025124071,18,13.6875,13.5,7.171413156879658,16,0.5165094339622641,1.0,0.3384433962264151,4,14.5,11
smoothed,fbsp,18.58172730975635,0.6096470084096631,1278.0061464777532,-42.63919172989085,294,127,138923.249118183,-931285.1356012729,True,14.18429771061711,1336242.1745075167,0.0190454952469763,5.237326848686829e-07,0.14152326342527377,16,24173.085896968623,69.24912743129244,182254.98575225292,"[27, 40, 54, 78, 91, 104, 147, 156, 176, 185, 201, 211, 224, 238, 250, 266]","[3675.02406818053, 149312.53447396276, 69.24912743129244, 331.2776409403741, 2368.488229442184, 15080.993240580778, 688.5780006092173, 5474.434439069402, 3131.8151196249237, 1154.5798611427163, 473.4062489799544, 1102.4846797615464, 182254.98575225292, 3934.056117532018, 17644.15621648889, 73.3111354985158]","[0, 0, 53, 77, 81, 81, 130, 130, 130, 130, 130, 130, 0, 231, 231, 265]","[29, 130, 130, 81, 94, 130, 149, 159, 178, 187, 202, 213, 293, 244, 293, 293]",0.05,30,7060925373803.101,256606.68561296837,-256606.68561296837,,,,,,,,,,,,,,,,CWT,uc1.c2693406,,,,,0.0,2.0,,255467.01894630172,0.0,-2.5,23702.460896968623,375474.374351498,23702.460896968623,,0.0,57.58246076462581,,,23702.460896968623,,181115.31908558626,255467.01894630172,0.0,11.0,,,,8.0,,,0.0,0.4733220614635545,0.029727996293601372,0.28940627763569093,0.49095616801184383,0.42148785826804974,0.15992878089652288,0.3495237972542301,0.15472206076316877,0.0,0.05059778489248156,0.5117879499505321,0.5117879499505321,0.5117705107025053,0.9265387743656626,0.4950476069627136,0.0,,0.7763157894736843,0.9433962264150944,0.412626485209181,0.412626485209181,0.5394736842105263,1.631492981827659,0.6251257545797392,6,1.0464506526140767,0.4827398403887962,13,0,0,0.5076641039451745,0.6859593244939525,4,0,0.0,0.2632305556207402,0.5025441528136546,14,4.9916597106239795,0.6434528778125729,9.25,7.079416531604538,0.4913692960491436,13,fbsp,0.9285714285714286,,,4,10.75,0.4733220614635544,0.03762387021239433,0.2823496963071703,0.49095616801184383,0.43278318924908415,0.15992878089652293,0.35705262153590095,0.15472206076316877,0.0,0.050597784892481554,0.5259579294822602,0.5259579294822602,0.5237671184731153,0.8658876691469513,0.4950476069627136,0.26315789473684215,,0.6781609195402298,0.746268656716418,0.4127544471273255,0.4127544471273255,0.46590909090909094,1.6743415793070178,0.6439002988112791,9,1.0532446611957877,0.49505338736371635,25,11.313708498984761,0.5959389821791157,17.0,13.235294117647058,0.4943980625181293,20,21.5,21.5,2.1213203435596424,2,0.8113207547169812,0.29580227734119935,0.3433347884957534,3,15.75,12
smoothed,gaus3,22.123960765295013,0.6408216830039102,846.8945445089022,-40.199262751053865,294,127,83539.7495212426,,False,13.715501284270148,1490306.5336290435,0.025356006204521088,1.6617558677242191e-06,0.07067286584019693,7,21421.09822356211,30.503415724499064,134538.7185945941,"[49, 79, 96, 115, 177, 229, 291]","[311.6528034489602, 7441.812616061224, 30.503415724499064, 134538.7185945941, 5213.855823317448, 919.1552602448137, 1491.9890515437]","[2, 2, 2, 2, 172, 193, 2]","[50, 84, 97, 193, 193, 231, 293]",0.05,20,3997338272448.403,267681.7366104403,-267681.7366104403,,,,,,,,,,,,,,,,CWT,uc1.c2693406,,,,,0.0,-20.5,,266542.0699437736,0.0,-20.5,20950.47322356211,138652.68756493475,20954.25059470602,,0.0,18.836749057832435,,,20950.47322356211,,133399.05192792744,266542.0699437736,0.0,-16.0,,,,17.0,,,10.0,0.2382735482327783,0.2125939346517463,0.4158633299520478,0.0,0.8147568501346852,0.28183912861332183,0.15701231214116518,0.17614647091715077,,0.014400190253657685,0.44766852405899066,0.44766852405899066,0.447741276848368,0.33123743773128944,0.3630274490115716,0.6428571428571428,,0.06578947368421051,0.09433962264150941,0.43655171518173264,0.43655171518173264,0.06578947368421051,1.2153103455223966,0.4656604749486468,11,1.0381558325725837,0.4789133435607983,14,0,0,0.3161352120994505,0.42716413245540585,13,1,0.11111111111111112,0.28150514127480636,0.5374329070613764,13,1.2583057392117916,0.9101210186277292,12.75,12.650868878357029,0.49970336645672175,12,gaus,0.5178571428571429,1.0,0.33749999999999997,1,9.25,0.23827354823277827,0.12476542825201861,0.4057233515337145,0.0,0.8183736846637478,0.2818391286133219,0.16676932730438035,0.17614647091715077,,0.014400190253657671,0.4636995206475021,0.4636995206475021,0.46131118902036916,0.3095546790124533,0.36302744901157163,0.736842105263158,,0.05747126436781608,0.07462686567164184,0.43667446488270656,0.43667446488270656,0.05681818181818182,1.2512042676086501,0.48117469681461467,20,1.011434516931483,0.4754014923133201,27,4.949747468305833,0.8232233047033631,23.5,22.97872340425532,0.4919687952088244,22,13.6875,13.5,7.171413156879658,16,0.5165094339622641,1.0,0.3384433962264151,4,17.5,13
raw,shan,14.605957392750954,0.7945256842894638,660.6871550767607,-28.446406654049483,294,127,27457.240905649287,-614121.2237344221,True,14.624207426914232,265201.3362905431,0.014944281562479497,9.412962743731579e-08,0.1392063779043875,21,15025.723915253338,201.44167312645777,71428.78766911812,"[13, 22, 31, 40, 54, 70, 93, 105, 125, 137, 147, 156, 171, 189, 200, 211, 221, 238, 247, 259, 278]","[968.7961034017717, 71428.78766911812, 4890.092735736944, 5343.79665565168, 1125.9106516069078, 2574.334704047036, 2089.127699433105, 60111.93658988755, 4252.761947602405, 201.44167312645777, 29502.00037707433, 2008.7254835852373, 12100.803870220821, 587.7056461771281, 9378.297104835267, 13434.554474268245, 29713.067817490228, 3860.495321680187, 2502.8111777825943, 13778.633909570724, 45686.12060802334]","[0, 0, 30, 38, 53, 64, 76, 76, 124, 130, 130, 154, 163, 188, 191, 191, 191, 231, 231, 231, 76]","[14, 76, 76, 76, 76, 76, 94, 231, 130, 138, 231, 163, 231, 191, 209, 213, 231, 239, 248, 264, 293]",0.05,30,308591252723.09326,65573.28156354651,-65573.28156354651,,,,,,,,,,,,,,,,CWT,uc1.c2693406,,,,,0.0,-5.5,,64360.28156354651,0.0,12.5,14365.043915253338,299023.2022203201,14365.043915253338,,0.0,166.44167312645777,,,14365.043915253338,,70229.78766911812,64360.28156354651,0.0,-5.5,,,,4.0,,,0.0,0.0,0.004727985201317366,1.0,1.0,0.0,1.0,0.479241451660397,0.0,1.0,0.2572573702044615,0.49937085934192665,0.49937085934192665,0.49571901550428543,0.684101996482257,0.1864698304768626,0.0625,,0.2823529411764706,0.5076923076923077,0.0,0.0,0.8023255813953488,1.2252709859632873,0.5217226350008264,12,2.093114976224554,1.0,1,0,0,0.3564300634679872,0.5163475473492789,11,0,0.0,0.49821882631796816,0.9943271044860705,2,5.802298395176403,0.5855501146302569,6.5,2.3891402714932126,0.5606322001722712,8,shan,0.6666666666666666,,,7,7.75,0.00025842885098265045,0.0047279852013173695,1.0,0.9516601675439671,0.0,0.8829074151654795,0.3508301496190403,0.00578158977776163,1.0,0.15229785615699654,0.31471689467462716,0.31471689467462716,0.3115646331681322,0.686291324875669,0.1882523305482895,0.052631578947368474,,0.29885057471264365,0.5223880597014925,0.0,0.0,0.8068181818181819,1.0298008426982916,0.3960297459757157,25,1.973133669812586,0.9274260226043934,2,16.263455967290593,0.4191622868824788,13.5,3.7037037037037033,0.4685097148698108,25,26.5,26.5,2.1213203435596424,2,1.0,0.29580227734119935,0.21125931679764018,6,20.25,14
