wavelet,wavelet_level,wavelet_mode,wavelet_mse,wavelet_psnr,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,signal_length,signal_type,emd_value,kl_divergence,change_point_indices,change_point_prominences,num_change_points,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,fft_frequency_max,fft_amplitude_max,fft_spectral_centroid,fft_spectral_bandwidth,fft_spectral_magnitude,fft_variance_magnitude,fft_num_peaks,fft_peak_amplitude,fft_dominant_frequency,fft_positive_frequencies,fft_positive_amplitudes,fft_snr_threshold,fft_stationarity_threshold,fft_dynamic_cutoff,fft_dynamic_cutoff_percentile,stft_frequency_max,stft_amplitude_max,stft_spectral_centroid,stft_spectral_bandwidth,stft_spectral_magnitude,stft_variance_magnitude,stft_peak_freq_over_time,stft_num_peaks,stft_peak_amplitude,stft_dominant_frequency,stft_positive_frequencies,stft_positive_amplitudes,stft_snr_threshold,stft_stationarity_threshold,stft_window,stft_nperseg,stft_noverlap,stft_dynamic_cutoff,stft_dynamic_cutoff_percentile,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,wavelet_type,htid,stft_amplitude_max_diff,stft_frequency_max_diff,avg_prominence_diff,fft_variance_magnitude_diff,stft_noverlap_diff,prominence_max_diff,stft_spectral_magnitude_diff,upper_envelope_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,stft_num_peaks_diff,fft_peak_amplitude_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,stft_window_diff,stft_nperseg_diff,prominence_threshold_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,stft_dominant_frequency_diff,relative_num_peaks_diff,max_autocorrelation_diff,stft_variance_magnitude_diff,fft_amplitude_max_diff,fft_dominant_frequency_diff,fft_snr_threshold_diff,stft_stationarity_threshold_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,stft_dynamic_cutoff_percentile_diff,lower_envelope_diff,fft_stationarity_threshold_diff,stft_dynamic_cutoff_diff,fft_frequency_max_diff,fft_num_peaks_diff,fft_dynamic_cutoff_percentile_diff,fft_dynamic_cutoff_diff,prominence_min_diff,fft_spectral_centroid_diff,stft_peak_amplitude_diff,fft_spectral_bandwidth_diff,stft_spectral_bandwidth_diff,fft_spectral_magnitude_diff,distance_factor_diff,stft_snr_threshold_diff,stft_spectral_centroid_diff,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,avg_variance_across_levels_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,relative_prominences_total_diff_normalized,relative_num_peaks_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_right_bases_array_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,relative_left_bases_array_alignment_score_normalized,relative_peaks_array_alignment_score_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,reconstruction_signal_num_missing_metrics,reconstruction_signal_missing_metrics_count,reconstruction_signal_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank
db23,1,smooth,8.12404956762176e-27,314.58121696982107,91781970.11061767,0.5608108108108109,242.65695204309435,103,raw,7.090768102130223e-14,-1.0886902490625607e-10,"[3, 7, 11, 15, 18, 23, 26, 31, 34, 43, 48, 53, 56, 64, 67, 70, 74, 79, 83, 88, 91, 94, 97]","[262.00000000000006, 229.00000000000014, 281.9999999999999, 10.999999999999943, 429.0, 81.00000000000007, 209.99999999999994, 350.0000000000001, 267.9999999999999, 50.000000000000114, 436.00000000000017, 65.00000000000017, 348.99999999999994, 107.99999999999989, 229.99999999999997, 55.000000000000114, 101.99999999999989, 394.0, 289.00000000000006, 228.0, 9.0, 480.99999999999983, 307.0]",23,3.9751274746264045,1659425.3664993155,0.9976371717462376,1.4193512665321043e-05,1.0,0.48543689320388345,27828.0,0.15109944024051897,0.15408723673351368,89172.4000854721,14130784.892913094,7,4038.3637260153123,0.04854368932038834,"[0.0, 0.009708737864077669, 0.019417475728155338, 0.029126213592233007, 0.038834951456310676, 0.04854368932038834, 0.058252427184466014, 0.06796116504854369, 0.07766990291262135, 0.08737864077669902, 0.09708737864077668, 0.10679611650485436, 0.11650485436893203, 0.1262135922330097, 0.13592233009708737, 0.14563106796116504, 0.1553398058252427, 0.16504854368932037, 0.17475728155339804, 0.1844660194174757, 0.19417475728155337, 0.20388349514563106, 0.21359223300970873, 0.2233009708737864, 0.23300970873786406]","[27828.0, 611.5615945816445, 963.4705452467846, 2683.9032534917337, 1027.396765552845, 4038.3637260153123, 505.38509743631647, 2064.087321028576, 3087.2068588179804, 1138.204461730461, 1253.7419695659082, 336.6633667187902, 1022.3557994217321, 2129.7766287434392, 1736.4808283652578, 1446.123128832866, 95.20715386361975, 1269.8596342966018, 2793.954570976282, 603.6500055383682, 1420.6467426358902, 700.4553943764595, 1258.0036224543178, 1266.717736901888, 1698.8170955156093]",3.0,0.7,84.4,15,0.5,820024.248213055,0.20525325698567706,0.13716429507747618,2907703.3125,1274907185.9872444,"[0.25, 0.0625, 0.0625, 0.0625, 0.125, 0.125, 0.0625, 0.0625, 0.1875, 0.3125, 0.375]",1,820024.248213055,0.0625,"[0.0, 0.0625, 0.125, 0.1875]","[1.7276684913064335e-25, 820024.248213055, 615771.9433556874, 338568.06924639444]",3.0,0.5,boxcar,16,8,84.4,15,23,227.1739130434783,9.0,480.99999999999983,"[3, 7, 11, 15, 18, 23, 26, 31, 34, 43, 48, 53, 56, 64, 67, 70, 74, 79, 83, 88, 91, 94, 97]","[262.00000000000006, 229.00000000000014, 281.9999999999999, 10.999999999999943, 429.0, 81.00000000000007, 209.99999999999994, 350.0000000000001, 267.9999999999999, 50.000000000000114, 436.00000000000017, 65.00000000000017, 348.99999999999994, 107.99999999999989, 229.99999999999997, 55.000000000000114, 101.99999999999989, 394.0, 289.00000000000006, 228.0, 9.0, 480.99999999999983, 307.0]","[1, 4, 1, 14, 1, 22, 22, 22, 33, 39, 39, 49, 55, 61, 61, 69, 71, 61, 82, 84, 89, 39, 95]","[4, 9, 14, 17, 39, 25, 30, 39, 39, 44, 61, 61, 61, 65, 71, 71, 78, 89, 89, 89, 92, 102, 102]",0.05,30,9532662.000000002,482.9999999999999,-482.9999999999999,DWT,inu.32000013032935,1.1641532182693481e-10,0.0,5.684341886080802e-14,0.0,0.0,1.7053025658242404e-13,0.0,1.1368683772161603e-13,1.0,92,0.0,0.0,1.0,92,,0.0,0.0,1.0,92,0.0,0.0,1.862645149230957e-09,4.76837158203125e-07,0.0,0.0,0.0,0.0,5.684341886080802e-14,9.094947017729282e-13,7.970435905482866e-14,0.0,1.1368683772161603e-13,0.0,1.4210854715202004e-14,0.0,0.0,0.0,1.4210854715202004e-14,0.0,2.7755575615628914e-17,1.1641532182693481e-10,2.7755575615628914e-17,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.8764648589311588,0.08077590223630327,0.7131861385296778,0.22667775467775492,0.721836594656573,5.784949706272344e-15,5.784949706272344e-15,6.5970808656651795e-15,8.268133649056911e-14,0.0,3.350532734704818e-05,1.0,1.0,1.0,1.0,1.0,1.0,0.8000167526637203,0.4018982923787817,385,1.302265675475417,0.8261711638587484,23,0,0,0.5000027921106207,0.8571476425401278,118,0,0,0.5237882498062937,0.8134803012078131,18,172.25755909877125,0.7721460858481861,136.0,36.32869631730015,0.7961259529770031,1,db,269.14102564102564,239.0,149.40224740129338,234,0.4534163067556169,0.6450091979176157,0.4891058258957834,2,1.25
coif8,1,antireflect,1.0952799464642883e-26,313.2836912528039,1938341.622346683,0.6066666666666667,235.50436791947257,103,raw,8.06388397264633e-14,-1.0891365587184596e-10,"[3, 7, 11, 15, 18, 23, 26, 31, 34, 43, 48, 53, 56, 64, 67, 70, 74, 79, 83, 88, 91, 94, 97]","[261.99999999999994, 228.9999999999999, 281.99999999999994, 11.000000000000057, 429.00000000000017, 81.00000000000006, 210.00000000000023, 350.0000000000001, 268.0, 49.99999999999994, 436.0000000000001, 65.0, 349.0, 108.00000000000006, 230.00000000000014, 55.0, 102.00000000000028, 394.0000000000001, 289.0000000000001, 227.99999999999997, 9.000000000000057, 481.0000000000001, 307.0000000000001]",23,6.043593363169687,54745.46802933656,0.875124954965527,1.4193512665321043e-05,1.0,0.48543689320388345,27828.0,0.15109944024051897,0.15408723673351368,89172.4000854721,14130784.892913094,7,4038.3637260153123,0.04854368932038834,"[0.0, 0.009708737864077669, 0.019417475728155338, 0.029126213592233007, 0.038834951456310676, 0.04854368932038834, 0.058252427184466014, 0.06796116504854369, 0.07766990291262135, 0.08737864077669902, 0.09708737864077668, 0.10679611650485436, 0.11650485436893203, 0.1262135922330097, 0.13592233009708737, 0.14563106796116504, 0.1553398058252427, 0.16504854368932037, 0.17475728155339804, 0.1844660194174757, 0.19417475728155337, 0.20388349514563106, 0.21359223300970873, 0.2233009708737864, 0.23300970873786406]","[27828.0, 611.5615945816454, 963.4705452467845, 2683.9032534917314, 1027.396765552848, 4038.3637260153123, 505.38509743631624, 2064.087321028576, 3087.206858817981, 1138.2044617304584, 1253.7419695659094, 336.66336671879105, 1022.3557994217323, 2129.7766287434406, 1736.480828365257, 1446.123128832865, 95.20715386361921, 1269.8596342966023, 2793.9545709762833, 603.6500055383701, 1420.6467426358904, 700.4553943764603, 1258.0036224543176, 1266.717736901889, 1698.8170955156106]",3.0,0.7,84.39999999999996,15,0.5,820024.2482130552,0.20525325698567704,0.13716429507747618,2907703.312500001,1274907185.987245,"[0.25, 0.0625, 0.0625, 0.0625, 0.125, 0.125, 0.0625, 0.0625, 0.1875, 0.3125, 0.375]",1,820024.2482130552,0.0625,"[0.0, 0.0625, 0.125, 0.1875]","[1.1566594136712563e-25, 820024.2482130552, 615771.9433556877, 338568.0692463949]",3.0,0.5,boxcar,16,8,84.39999999999996,15,23,227.17391304347834,9.000000000000057,481.0000000000001,"[3, 7, 11, 15, 18, 23, 26, 31, 34, 43, 48, 53, 56, 64, 67, 70, 74, 79, 83, 88, 91, 94, 97]","[261.99999999999994, 228.9999999999999, 281.99999999999994, 11.000000000000057, 429.00000000000017, 81.00000000000006, 210.00000000000023, 350.0000000000001, 268.0, 49.99999999999994, 436.0000000000001, 65.0, 349.0, 108.00000000000006, 230.00000000000014, 55.0, 102.00000000000028, 394.0000000000001, 289.0000000000001, 227.99999999999997, 9.000000000000057, 481.0000000000001, 307.0000000000001]","[1, 4, 1, 14, 1, 22, 22, 22, 33, 39, 39, 49, 55, 61, 61, 69, 71, 61, 82, 84, 89, 39, 95]","[4, 9, 14, 17, 39, 25, 30, 39, 39, 44, 61, 61, 61, 65, 71, 71, 78, 89, 89, 89, 92, 102, 102]",0.05,30,9532662.000000002,483.0000000000001,-483.0000000000001,DWT,inu.32000013032935,3.4924596548080444e-10,0.0,8.526512829121202e-14,0.0,0.0,1.1368683772161603e-13,9.313225746154785e-10,1.1368683772161603e-13,1.0,92,0.0,0.0,1.0,92,,0.0,0.0,1.0,92,0.0,0.0,1.862645149230957e-09,2.384185791015625e-07,0.0,0.0,0.0,0.0,8.526512829121202e-14,1.8189894035458565e-12,8.897230778213428e-14,0.0,1.1368683772161603e-13,0.0,2.842170943040401e-14,0.0,0.0,0.0,2.842170943040401e-14,5.684341886080802e-14,2.7755575615628914e-17,3.4924596548080444e-10,2.7755575615628914e-17,2.7755575615628914e-17,0.0,0.0,0.0,2.7755575615628914e-17,0.8634597706244229,0.9419638024683905,0.002329633683834169,0.5048041025641027,0.015820152726676667,8.677424559408513e-15,8.677424559408513e-15,7.539520989331631e-15,1.6536267298113823e-13,0.0,3.350532734704818e-05,1.0,1.0,1.0,1.0,1.0,1.0,0.8000167526637636,0.4018982923788035,382,1.1984722825670777,0.7603235339666177,79,0,0,0.5000027921106281,0.8571476425401404,116,0,0,0.4656754924134853,0.7232270673763919,75,147.16204220744788,0.8053412140113123,163.0,107.44008664001691,0.7948663742014234,2,coif,318.80555555555554,290.0,179.55466340866695,72,0.5370851107849028,0.7751851892596705,0.3914848656726668,3,2.25
coif8,1,symmetric,1.1642422816813653e-26,313.0185089403444,2261331.627395051,0.5866666666666667,254.16440895957464,103,raw,8.112604439358039e-14,-1.0882272860612916e-10,"[3, 7, 11, 15, 18, 23, 26, 31, 34, 43, 48, 53, 56, 64, 67, 70, 74, 79, 83, 88, 91, 94, 97]","[262.00000000000006, 228.99999999999994, 282.0, 11.000000000000114, 429.0, 81.0, 210.00000000000006, 350.0, 268.0, 49.99999999999994, 436.0000000000001, 65.0, 349.0, 108.00000000000003, 230.0000000000001, 55.000000000000085, 102.00000000000023, 394.0000000000001, 289.0, 228.00000000000006, 8.99999999999983, 481.0000000000001, 307.0000000000001]",23,6.163366668162714,20738.210516411786,0.696848839076792,1.4193512665321043e-05,1.0,0.48543689320388345,27828.0,0.1510994402405189,0.15408723673351366,89172.40008547211,14130784.892913094,7,4038.3637260153123,0.04854368932038834,"[0.0, 0.009708737864077669, 0.019417475728155338, 0.029126213592233007, 0.038834951456310676, 0.04854368932038834, 0.058252427184466014, 0.06796116504854369, 0.07766990291262135, 0.08737864077669902, 0.09708737864077668, 0.10679611650485436, 0.11650485436893203, 0.1262135922330097, 0.13592233009708737, 0.14563106796116504, 0.1553398058252427, 0.16504854368932037, 0.17475728155339804, 0.1844660194174757, 0.19417475728155337, 0.20388349514563106, 0.21359223300970873, 0.2233009708737864, 0.23300970873786406]","[27828.0, 611.5615945816452, 963.4705452467845, 2683.9032534917324, 1027.3967655528481, 4038.3637260153123, 505.38509743631624, 2064.087321028576, 3087.206858817981, 1138.2044617304596, 1253.7419695659087, 336.6633667187907, 1022.3557994217327, 2129.7766287434392, 1736.4808283652574, 1446.1231288328647, 95.20715386361893, 1269.8596342966027, 2793.9545709762833, 603.6500055383692, 1420.6467426358904, 700.4553943764605, 1258.0036224543164, 1266.7177369018893, 1698.817095515611]",3.0,0.7,84.39999999999996,15,0.5,820024.2482130552,0.20525325698567704,0.1371642950774762,2907703.312500001,1274907185.987245,"[0.25, 0.0625, 0.0625, 0.0625, 0.125, 0.125, 0.0625, 0.0625, 0.1875, 0.3125, 0.375]",1,820024.2482130552,0.0625,"[0.0, 0.0625, 0.125, 0.1875]","[1.3227619658745926e-25, 820024.2482130552, 615771.9433556875, 338568.06924639497]",3.0,0.5,boxcar,16,8,84.39999999999996,15,23,227.17391304347825,8.99999999999983,481.0000000000001,"[3, 7, 11, 15, 18, 23, 26, 31, 34, 43, 48, 53, 56, 64, 67, 70, 74, 79, 83, 88, 91, 94, 97]","[262.00000000000006, 228.99999999999994, 282.0, 11.000000000000114, 429.0, 81.0, 210.00000000000006, 350.0, 268.0, 49.99999999999994, 436.0000000000001, 65.0, 349.0, 108.00000000000003, 230.0000000000001, 55.000000000000085, 102.00000000000023, 394.0000000000001, 289.0, 228.00000000000006, 8.99999999999983, 481.0000000000001, 307.0000000000001]","[1, 4, 1, 14, 1, 22, 22, 22, 33, 39, 39, 49, 55, 61, 61, 69, 71, 61, 82, 84, 89, 39, 95]","[4, 9, 14, 17, 39, 25, 30, 39, 39, 44, 61, 61, 61, 65, 71, 71, 78, 89, 89, 89, 92, 102, 102]",0.05,30,9532662.000000004,483.0000000000001,-483.0000000000001,DWT,inu.32000013032935,3.4924596548080444e-10,0.0,0.0,0.0,0.0,1.1368683772161603e-13,9.313225746154785e-10,1.1368683772161603e-13,1.0,92,0.0,0.0,1.0,92,,0.0,0.0,1.0,92,0.0,0.0,3.725290298461914e-09,2.384185791015625e-07,0.0,0.0,0.0,0.0,0.0,0.0,6.425777784265255e-14,0.0,1.1368683772161603e-13,0.0,2.842170943040401e-14,0.0,0.0,0.0,2.842170943040401e-14,1.7053025658242404e-13,2.7755575615628914e-17,3.4924596548080444e-10,0.0,0.0,1.4551915228366852e-11,0.0,0.0,2.7755575615628914e-17,0.8608018507499341,0.9918303831077475,0.004885179914013401,0.3834994871794872,0.0008578646267500098,0.0,0.0,5.0263473262210894e-15,0.0,0.0,6.701065469409636e-05,1.0,1.0,1.0,1.0,1.0,1.0,0.8000335053273486,0.4019067082861769,377,1.1685818326833357,0.7413607153699457,134,0,0,0.500005584221225,0.8571524290154433,110,0,0,0.4483749531155865,0.6963581028199761,142,124.90896685186377,0.834776498873196,190.75,152.39042048137836,0.7912308420291906,3,coif,318.80555555555554,290.0,179.55466340866695,72,0.5370851107849028,0.7751851892596705,0.3914848656726668,3,3.0
db12,1,periodic,3.977850261686302e-27,317.68245830564615,1951121.6604598437,0.6111111111111112,254.93939256425747,103,raw,4.778917283473877e-14,-1.0644007897298109e-10,"[3, 7, 11, 15, 18, 23, 26, 31, 34, 43, 48, 53, 56, 64, 67, 70, 74, 79, 83, 88, 91, 94, 97]","[262.00000000000006, 229.00000000000009, 282.0, 11.000000000000057, 429.0, 80.99999999999997, 210.00000000000003, 350.0000000000001, 268.0000000000001, 50.00000000000006, 435.99999999999994, 65.00000000000006, 349.00000000000006, 108.0, 230.0, 54.999999999999915, 102.00000000000006, 394.0, 289.00000000000006, 228.00000000000017, 9.000000000000114, 481.0000000000001, 307.0000000000001]",23,5.871399133113585,20804.321795149954,0.727560708893876,1.4193512665321043e-05,1.0,0.48543689320388345,27828.0,0.15109944024051897,0.15408723673351368,89172.4000854721,14130784.892913094,7,4038.363726015313,0.04854368932038834,"[0.0, 0.009708737864077669, 0.019417475728155338, 0.029126213592233007, 0.038834951456310676, 0.04854368932038834, 0.058252427184466014, 0.06796116504854369, 0.07766990291262135, 0.08737864077669902, 0.09708737864077668, 0.10679611650485436, 0.11650485436893203, 0.1262135922330097, 0.13592233009708737, 0.14563106796116504, 0.1553398058252427, 0.16504854368932037, 0.17475728155339804, 0.1844660194174757, 0.19417475728155337, 0.20388349514563106, 0.21359223300970873, 0.2233009708737864, 0.23300970873786406]","[27828.0, 611.5615945816448, 963.4705452467841, 2683.9032534917314, 1027.3967655528465, 4038.363726015313, 505.3850974363171, 2064.0873210285768, 3087.2068588179795, 1138.2044617304598, 1253.7419695659084, 336.6633667187901, 1022.3557994217325, 2129.7766287434397, 1736.4808283652574, 1446.1231288328656, 95.20715386362035, 1269.859634296602, 2793.9545709762815, 603.6500055383688, 1420.6467426358909, 700.455394376459, 1258.0036224543185, 1266.717736901888, 1698.8170955156102]",3.0,0.7,84.40000000000003,15,0.5,820024.248213055,0.20525325698567704,0.1371642950774762,2907703.3125000005,1274907185.9872448,"[0.25, 0.0625, 0.0625, 0.0625, 0.125, 0.125, 0.0625, 0.0625, 0.1875, 0.3125, 0.375]",1,820024.248213055,0.0625,"[0.0, 0.0625, 0.125, 0.1875]","[1.3353837403581288e-25, 820024.248213055, 615771.9433556878, 338568.06924639456]",3.0,0.5,boxcar,16,8,84.40000000000003,15,23,227.1739130434783,9.000000000000114,481.0000000000001,"[3, 7, 11, 15, 18, 23, 26, 31, 34, 43, 48, 53, 56, 64, 67, 70, 74, 79, 83, 88, 91, 94, 97]","[262.00000000000006, 229.00000000000009, 282.0, 11.000000000000057, 429.0, 80.99999999999997, 210.00000000000003, 350.0000000000001, 268.0000000000001, 50.00000000000006, 435.99999999999994, 65.00000000000006, 349.00000000000006, 108.0, 230.0, 54.999999999999915, 102.00000000000006, 394.0, 289.00000000000006, 228.00000000000017, 9.000000000000114, 481.0000000000001, 307.0000000000001]","[1, 4, 1, 14, 1, 22, 22, 22, 33, 39, 39, 49, 55, 61, 61, 69, 71, 61, 82, 84, 89, 39, 95]","[4, 9, 14, 17, 39, 25, 30, 39, 39, 44, 61, 61, 61, 65, 71, 71, 78, 89, 89, 89, 92, 102, 102]",0.05,30,9532662.000000002,483.0000000000001,-483.0000000000001,DWT,inu.32000013032935,1.1641532182693481e-10,0.0,5.684341886080802e-14,0.0,0.0,1.1368683772161603e-13,4.656612873077393e-10,1.1368683772161603e-13,1.0,92,0.0,9.094947017729282e-13,1.0,92,,0.0,0.0,1.0,92,0.0,0.0,1.862645149230957e-09,0.0,0.0,0.0,0.0,0.0,5.684341886080802e-14,9.094947017729282e-13,6.178632484870436e-14,0.0,1.1368683772161603e-13,0.0,4.263256414560601e-14,0.0,0.0,0.0,4.263256414560601e-14,1.1368683772161603e-13,2.7755575615628914e-17,1.1641532182693481e-10,2.7755575615628914e-17,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.907548572266431,0.8702722226190708,0.002430751296488295,0.5317606837606841,0.0008869518296436593,5.784949706272344e-15,5.784949706272344e-15,4.7750299599100365e-15,8.268133649056911e-14,0.0,3.350532734704818e-05,1.0,1.0,1.0,1.0,1.0,1.0,0.8000167526637196,0.4018982923787814,388,1.1939396845537693,0.7574480056881104,84,0,0,0.5000027921106205,0.8571476425401273,125,0,0,0.46257983635446365,0.7184192939598251,84,146.4476584540247,0.8062861660661049,170.25,116.32355880421439,0.7905438766838462,4,db,269.14102564102564,239.0,149.40224740129338,234,0.4534163067556169,0.6450091979176157,0.4891058258957834,2,3.5
db12,1,antisymmetric,4.287236913407739e-27,317.35716778145706,2007000.9594296808,0.6190476190476191,287.14376571269446,103,raw,4.690961750649205e-14,-1.0677647654944252e-10,"[3, 7, 11, 15, 18, 23, 26, 31, 34, 43, 48, 53, 56, 64, 67, 70, 74, 79, 83, 88, 91, 94, 97]","[262.0000000000001, 229.0, 282.00000000000006, 11.000000000000057, 429.0, 80.99999999999997, 210.00000000000003, 350.0000000000001, 268.0000000000001, 50.00000000000006, 435.99999999999994, 65.00000000000006, 349.00000000000006, 108.0, 230.0, 54.999999999999915, 102.00000000000006, 394.0, 289.00000000000006, 228.00000000000014, 9.000000000000114, 481.00000000000006, 307.0]",23,5.902023805402588,63687.78391461343,0.9018393193617131,1.419351266532104e-05,1.0,0.48543689320388345,27828.0,0.15109944024051897,0.15408723673351368,89172.4000854721,14130784.892913094,7,4038.3637260153123,0.04854368932038834,"[0.0, 0.009708737864077669, 0.019417475728155338, 0.029126213592233007, 0.038834951456310676, 0.04854368932038834, 0.058252427184466014, 0.06796116504854369, 0.07766990291262135, 0.08737864077669902, 0.09708737864077668, 0.10679611650485436, 0.11650485436893203, 0.1262135922330097, 0.13592233009708737, 0.14563106796116504, 0.1553398058252427, 0.16504854368932037, 0.17475728155339804, 0.1844660194174757, 0.19417475728155337, 0.20388349514563106, 0.21359223300970873, 0.2233009708737864, 0.23300970873786406]","[27828.0, 611.561594581645, 963.4705452467841, 2683.903253491733, 1027.3967655528465, 4038.3637260153123, 505.3850974363171, 2064.087321028576, 3087.2068588179795, 1138.2044617304598, 1253.7419695659087, 336.6633667187901, 1022.3557994217325, 2129.7766287434397, 1736.4808283652578, 1446.123128832866, 95.20715386361987, 1269.8596342966018, 2793.9545709762815, 603.6500055383684, 1420.6467426358915, 700.4553943764587, 1258.003622454318, 1266.7177369018884, 1698.8170955156097]",3.0,0.7,84.40000000000002,15,0.5,820024.248213055,0.20525325698567706,0.1371642950774762,2907703.3125,1274907185.9872448,"[0.25, 0.0625, 0.0625, 0.0625, 0.125, 0.125, 0.0625, 0.0625, 0.1875, 0.3125, 0.375]",1,820024.248213055,0.0625,"[0.0, 0.0625, 0.125, 0.1875]","[1.372744192829396e-25, 820024.248213055, 615771.9433556877, 338568.0692463946]",3.0,0.5,boxcar,16,8,84.40000000000002,15,23,227.1739130434783,9.000000000000114,481.00000000000006,"[3, 7, 11, 15, 18, 23, 26, 31, 34, 43, 48, 53, 56, 64, 67, 70, 74, 79, 83, 88, 91, 94, 97]","[262.0000000000001, 229.0, 282.00000000000006, 11.000000000000057, 429.0, 80.99999999999997, 210.00000000000003, 350.0000000000001, 268.0000000000001, 50.00000000000006, 435.99999999999994, 65.00000000000006, 349.00000000000006, 108.0, 230.0, 54.999999999999915, 102.00000000000006, 394.0, 289.00000000000006, 228.00000000000014, 9.000000000000114, 481.00000000000006, 307.0]","[1, 4, 1, 14, 1, 22, 22, 22, 33, 39, 39, 49, 55, 61, 61, 69, 71, 61, 82, 84, 89, 39, 95]","[4, 9, 14, 17, 39, 25, 30, 39, 39, 44, 61, 61, 61, 65, 71, 71, 78, 89, 89, 89, 92, 102, 102]",0.05,30,9532662.000000002,483.00000000000006,-483.00000000000006,DWT,inu.32000013032935,1.1641532182693481e-10,0.0,5.684341886080802e-14,0.0,0.0,5.684341886080802e-14,0.0,5.684341886080802e-14,1.0,92,0.0,0.0,1.0,92,,0.0,0.0,1.0,92,0.0,0.0,1.862645149230957e-09,0.0,0.0,0.0,0.0,0.0,5.684341886080802e-14,9.094947017729282e-13,5.437196586685985e-14,0.0,5.684341886080802e-14,0.0,2.842170943040401e-14,0.0,0.0,0.0,2.842170943040401e-14,1.1368683772161603e-13,2.7755575615628914e-17,1.1641532182693481e-10,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.9042881883395917,0.8830225403158425,0.0028728768409181935,0.579897435897436,0.019754533689481806,5.784949706272344e-15,5.784949706272344e-15,4.0210778609768715e-15,8.268133649056911e-14,0.0,3.350532734704818e-05,1.0,1.0,1.0,1.0,1.0,1.0,0.8000167526637194,0.4018982923787813,392,1.2253814094169024,0.7773949695934734,58,0,0,0.5000027921106205,0.8571476425401273,128,0,0,0.47796711501665406,0.7423168290525202,57,159.01231608484503,0.7896662485650198,158.75,88.59601140818442,0.7898397380391236,5,db,269.14102564102564,239.0,149.40224740129338,234,0.4534163067556169,0.6450091979176157,0.4891058258957834,2,4.25
