signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,scales_used,emd_value,kl_divergence,is_complex,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,fft_frequency_max,fft_amplitude_max,fft_spectral_centroid,fft_spectral_bandwidth,fft_spectral_magnitude,fft_variance_magnitude,fft_num_peaks,fft_peak_amplitude,fft_dominant_frequency,fft_positive_frequencies,fft_positive_amplitudes,fft_snr_threshold,fft_stationarity_threshold,fft_dynamic_cutoff,fft_dynamic_cutoff_percentile,stft_frequency_max,stft_amplitude_max,stft_spectral_centroid,stft_spectral_bandwidth,stft_spectral_magnitude,stft_variance_magnitude,stft_peak_freq_over_time,stft_num_peaks,stft_peak_amplitude,stft_dominant_frequency,stft_positive_frequencies,stft_positive_amplitudes,stft_snr_threshold,stft_stationarity_threshold,stft_window,stft_nperseg,stft_noverlap,stft_dynamic_cutoff,stft_dynamic_cutoff_percentile,wavelet_type,htid,fft_frequency_max_diff,fft_snr_threshold_diff,lower_envelope_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,stft_dynamic_cutoff_percentile_diff,prominence_threshold_diff,prominence_min_diff,stft_window_diff,fft_peak_amplitude_diff,avg_prominence_diff,stft_spectral_bandwidth_diff,stft_num_peaks_diff,stft_variance_magnitude_diff,stft_noverlap_diff,fft_spectral_centroid_diff,stft_dominant_frequency_diff,stft_nperseg_diff,fft_variance_magnitude_diff,stft_snr_threshold_diff,stft_dynamic_cutoff_diff,distance_factor_diff,fft_stationarity_threshold_diff,fft_amplitude_max_diff,fft_spectral_magnitude_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,max_autocorrelation_diff,stft_spectral_centroid_diff,stft_amplitude_max_diff,fft_dynamic_cutoff_diff,fft_num_peaks_diff,stft_peak_amplitude_diff,prominence_max_diff,upper_envelope_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,stft_stationarity_threshold_diff,fft_dominant_frequency_diff,fft_dynamic_cutoff_percentile_diff,stft_frequency_max_diff,stft_spectral_magnitude_diff,relative_num_peaks_diff,fft_spectral_bandwidth_diff,emd_value_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,relative_num_peaks_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,reconstruction_signal_num_missing_metrics,reconstruction_signal_missing_metrics_count,reconstruction_signal_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,top_wavelet_rank
raw,fbsp,17.799243443088166,0.7515491452991453,1307.9378353109987,-38.77635821735747,195,96,75630.74858481523,-375721.6713750735,True,13.560340185269823,776252.6969728904,0.017047111995340446,1.692119871661345e-08,0.22842828475184473,20,15578.709972420638,287.787186862648,99238.16180129956,"[13, 20, 27, 33, 40, 47, 56, 70, 76, 86, 95, 102, 129, 139, 150, 156, 163, 171, 178, 185]","[6675.804463858534, 4189.349318134606, 2293.898596363564, 93381.62602860163, 2726.162944896336, 9261.35356826229, 12129.015798729291, 8940.012284139688, 4494.5783606707555, 8025.242249705123, 34219.84594028418, 4677.461603098018, 509.10364245428536, 287.787186862648, 5526.019751791027, 650.5271178752155, 8617.416113210638, 99238.16180129956, 1315.8700181303575, 4414.962660045014]","[0, 0, 0, 0, 39, 43, 43, 69, 75, 78, 78, 101, 121, 121, 121, 121, 121, 121, 176, 184]","[18, 22, 29, 121, 43, 52, 121, 78, 78, 91, 121, 121, 130, 140, 151, 157, 165, 194, 194, 194]",0.05,30,1278943248145.5828,123939.51195994052,-123939.51195994052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015067403900,,,123011.51195994052,0.0,-5.0,,0.0,249.787186862648,,,14977.959972420638,,,,,,,,,,,0.0,,,,0.0,-5.0,14977.959972420638,297156.19944841275,14977.959972420636,,,,,,,98311.16180129956,123011.51195994052,0.0,4.0,,,,,,4.0,,0.5080700740911481,0.32684698953469904,0.8084115564990015,0.43523900635394314,0.999623352165725,0.47622055056731427,0.2589813422989955,0.2843530987027957,0.23465097377659597,0.31470789025906054,0.31470789025906054,0.3134091543302561,1.0,0.4717813954214963,0.0,,0.8958333333333333,0.7391304347826088,0.3848608690625056,0.3848608690625056,0.41463414634146345,1.4895010240031292,0.6445424397281837,7,1.7780258348685685,0.8423936147769405,4,0,0,0.45571474638574044,0.6957434506655854,5,0,0.0,0.5122182462767028,0.8964272408613768,3,1.707825127659933,0.8780124908814334,4.75,4.318766066838046,0.7693633882978596,1,fbsp,1.0,1.0,,1,0.07142857142857142,,,4,1.75,1
raw,gaus4,20.414264949226897,0.6756944444444445,748.2884976888779,-34.56372988971438,195,96,43163.2938347558,,False,13.263888383389153,387113.71476553427,0.016317878044252852,7.199648628979439e-07,0.3937601116471271,10,22019.50422531858,44.29051643732373,94792.64882643006,"[15, 35, 46, 57, 79, 87, 96, 121, 164, 171]","[1492.7903256756108, 94792.64882643006, 2115.4518096893516, 3559.5132695006178, 44.29051643732373, 4699.308667882851, 21177.59408429073, 53.36397645869147, 110.4684512539825, 92149.61232556659]","[0, 0, 44, 53, 78, 80, 80, 120, 120, 120]","[17, 120, 120, 120, 80, 91, 120, 122, 165, 194]",0.05,30,486257542683.37683,84435.17415893199,-84435.17415893199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015067403900,,,83507.17415893199,0.0,-1.0,,0.0,6.290516437323731,,,21418.75422531858,,,,,,,,,,,0.0,,,,0.0,-5.5,21418.75422531858,205777.0422531858,21548.75384619169,,,,,,,93865.64882643006,83507.17415893199,0.0,-14.5,,,,,,14.0,,0.1653765338056274,0.661719965723794,0.21885732927460574,0.7731836851653482,0.46478342749529195,0.8507722291547974,0.08059603265193777,,0.0,0.6858149105328847,0.6858149105328847,0.6904441248509294,0.6629408293583073,0.43859181102823547,0.625,,0.12499999999999997,0.7173913043478262,0.16771880694454905,0.16771880694454905,0.5121951219512195,1.673154181571127,0.7240135191937949,4,1.5011261225167525,0.7112039857826106,7,0,0,0.4565525522076154,0.6970225357031489,4,1,0.125,0.45307702903877184,0.7929248791724839,6,1.5,0.8928571428571429,5.25,4.9411764705882355,0.7589285714285714,2,gaus,7.0,7.0,3.927922024247863,8,0.5,1.0,0.35,1,1.75,2
raw,gaus6,20.369833480964356,0.6754807692307693,740.2914582905676,-34.18453306919579,195,96,39884.78528211294,,False,13.278976013252073,453714.72581373196,0.016905028616592578,5.817956075504291e-07,0.3710110702519917,10,21312.127985010295,78.26750543885282,91282.81381237172,"[14, 21, 35, 46, 57, 79, 87, 97, 121, 171]","[4512.564854483651, 827.7189286704597, 76648.60487059844, 1984.038730622815, 3813.877156814029, 557.0424480275869, 3741.012519651654, 29675.33902342376, 78.26750543885282, 91282.81381237172]","[0, 0, 0, 45, 51, 78, 80, 80, 120, 120]","[18, 24, 120, 120, 120, 80, 91, 120, 122, 194]",0.05,30,444383070470.03143,86038.43779244143,-86038.43779244143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015067403900,,,85110.43779244143,0.0,-1.0,,0.0,40.26750543885282,,,20711.377985010295,,,,,,,,,,,0.0,,,,0.0,-5.5,20711.377985010295,198703.27985010296,20717.280109375763,,,,,,,90355.81381237172,85110.43779244143,0.0,-10.0,,,,,,14.0,,0.13077192092757345,0.6918633246845758,0.2488621256970009,0.7674417139288382,0.46327683615819215,0.7992353181993471,0.11112662074991751,,0.032742679977016666,0.6450571594783164,0.6450571594783164,0.6427338052348328,0.6368487032971575,0.412387868746652,0.625,,0.3125,0.7173913043478262,0.1765314080632566,0.1765314080632566,0.5121951219512195,1.6403362453227786,0.7098124193922616,5,1.51195700094492,0.7163354426216435,6,0,0,0.4612480515531541,0.7041911931652399,3,1,0.125,0.4526896943350636,0.7922470091780841,7,1.707825127659933,0.8780124908814334,5.25,4.7457627118644075,0.7515062454407166,3,gaus,7.0,7.0,3.927922024247863,8,0.5,1.0,0.35,1,2.5,3
raw,gaus2,21.378639648268756,0.6873397435897436,1212.6100095722036,-39.15994402336877,195,96,76556.65619906574,,False,13.227027001125855,385596.88116449956,0.020028167263407948,9.267800775259842e-07,0.42438944253143007,9,27472.38279682308,23.230312765721465,135053.42751065898,"[40, 48, 57, 68, 87, 96, 154, 164, 170]","[2469.7839059657126, 1362.3910504232917, 135053.42751065898, 105.75486980655114, 4307.422976978443, 15533.29151754384, 23.230312765721465, 87805.7414563101, 590.401570955044]","[0, 0, 0, 67, 79, 79, 122, 122, 169]","[43, 50, 194, 194, 91, 122, 155, 194, 194]",0.05,30,1397164987350.661,129362.83824266848,-129362.83824266848,0.49230769230769234,14965212.790426627,0.01468421293881484,0.042358414301338784,27635913.669256225,2477615614813.5396,16.0,2861296.466118526,0.010256410256410256,"[0.0, 0.005128205128205128, 0.010256410256410256, 0.015384615384615385, 0.020512820512820513, 0.02564102564102564, 0.03076923076923077, 0.035897435897435895, 0.041025641025641026, 0.046153846153846156, 0.05128205128205128, 0.05641025641025641, 0.06153846153846154, 0.06666666666666667, 0.07179487179487179, 0.07692307692307693, 0.08205128205128205, 0.08717948717948718, 0.09230769230769231, 0.09743589743589744, 0.10256410256410256, 0.1076923076923077, 0.11282051282051282, 0.11794871794871795, 0.12307692307692308, 0.1282051282051282, 0.13333333333333333, 0.13846153846153847, 0.14358974358974358, 0.14871794871794872, 0.15384615384615385, 0.15897435897435896, 0.1641025641025641, 0.16923076923076924, 0.17435897435897435, 0.1794871794871795, 0.18461538461538463, 0.18974358974358974, 0.19487179487179487, 0.2, 0.20512820512820512, 0.21025641025641026, 0.2153846153846154, 0.2205128205128205, 0.22564102564102564, 0.23076923076923078, 0.2358974358974359, 0.24102564102564103]","[14965212.790426627, 2677201.011681888, 2861296.466118526, 2641380.0908797747, 410512.6200568686, 1051939.0229514474, 173009.06688767343, 509765.9901997165, 426020.336141757, 155390.10158986732, 211687.04478284973, 110266.1898616999, 100723.06974326097, 163585.19125302904, 61968.55016837274, 125119.36254648089, 30176.02410938991, 40501.58239210012, 54356.785624883174, 66052.60494246411, 9821.9210894839, 60855.148086200395, 62413.18167844296, 44102.943621519385, 48670.92552831331, 9293.3739202906, 28194.863928964533, 14502.574933439986, 7197.331570166338, 25439.621737251353, 36859.654125192596, 19530.36772310996, 14996.457615114616, 17303.242423886717, 7838.429079172555, 17069.101342275953, 20404.978110859593, 10649.667005853167, 10595.851768005168, 10327.140250035007, 16443.18615014479, 4772.050897151671, 9564.52463442076, 9834.545340476123, 9050.763119045443, 9830.099878475912, 5487.094402629501, 11939.861259516261]",3.0,0.7,29429.89346488539,15.0,0.5,211352130621.7943,0.030139309208859995,0.04767859641531623,284003893167.6255,6.269540937601092e+19,"[0.015625, 0.015625, 0.015625, 0.015625, 0.015625]",1.0,211352130621.7943,0.015625,"[0.0, 0.015625, 0.03125, 0.046875, 0.0625, 0.078125, 0.09375, 0.109375, 0.125, 0.140625, 0.15625, 0.171875, 0.1875, 0.203125, 0.21875, 0.234375]","[1.7749641584162868e-20, 211352130621.7943, 33960942736.49562, 13355226024.29886, 7807710117.993857, 3571018242.7115664, 2550037849.049511, 1533382905.3656797, 1314492574.8364944, 1065124378.8889617, 748134474.1457573, 739660147.4067183, 616053713.8886436, 506110688.77788085, 463508779.20076436, 410560620.9240387]",3.0,0.5,boxcar,64.0,32.0,29429.89346488539,15.0,CWT,mdp.39015067403900,0.0,0.0,128434.83824266848,0.0,-1.5,0.0,0.0,14.769687234278535,,2850540.1816174826,26871.63279682308,0.11010837335278363,2.0,6.269540931757429e+19,0.0,0.14695142178199005,0.0,0.0,2477557307249.168,0.0,29365.69346488539,0.0,0.0,14889705.790426627,27251448.814482357,0.0,-10.5,26871.63279682308,232833.44517140771,26943.552756251465,,0.15089506097356528,211349695563.66766,29365.69346488539,0.0,211349695563.66766,134126.42751065898,128434.83824266848,0.0,-1.5,0.19999999999999996,0.005128205128205129,0.0,0.0,283978083541.06506,15.0,0.1119649550528709,0.5178430162804106,0.2963547384998764,0.14555103261256153,0.8978118372308235,0.5468926553672314,0.9201615748855103,0.07990070053674131,,0.008171141235106559,1.0,1.0,1.0,0.7627404883623816,0.7391732106175226,0.6875,,0.6666666666666667,0.5,0.4146710701219952,0.4146710701219952,0.5,2.3109432865759487,1.0,1,1.4736291552215348,0.6981764643478987,9,0,0,0.6411328039271389,0.9788227238132827,2,1,0.125,0.4801093650590222,0.8402338584382871,5,3.593976442141304,0.7432873969899069,4.25,2.208588957055215,0.7198579842092392,4,gaus,7.0,7.0,3.927922024247863,8,0.5,1.0,0.35,1,3.25,4
raw,gaus8,20.36142543017897,0.6663995726495726,705.0543486436128,-33.57424594531498,195,96,36527.94704902476,,False,13.243438643459358,465721.17745931196,0.018265611853032444,5.076926667557222e-07,0.38834205325130516,12,18103.53301586939,11.357652019883972,92050.92665360947,"[14, 21, 29, 35, 46, 57, 68, 79, 87, 97, 121, 171]","[7518.601016410597, 2104.138222609239, 972.3112660140469, 63496.69625328056, 2476.380217998052, 5878.8568322630235, 181.43736919440323, 562.1250028217983, 2091.919057438762, 39897.646646772846, 11.357652019883972, 92050.92665360947]","[0, 18, 0, 0, 45, 52, 67, 78, 78, 78, 120, 122]","[18, 24, 33, 122, 52, 122, 78, 80, 90, 122, 122, 194]",0.05,30,386083425510.8647,84272.4961508598,-84272.4961508598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015067403900,,,83344.4961508598,0.0,4.5,,0.0,26.64234798011603,,,17502.78301586939,,,,,,,,,,,0.0,,,,0.0,-9.0,17502.78301586939,202824.3961904327,17524.817179000343,,,,,,,91123.92665360947,83344.4961508598,0.0,-9.0,,,,,,12.0,,0.09534053934504655,0.7403766635335768,0.17818889499703944,0.7663551240038882,0.3992467043314496,0.8384978661059608,0.11663050160608408,,0.019612494418555226,0.46018366849112785,0.46018366849112785,0.45954891312503987,0.6520497633465713,0.41812249287482833,0.5,,0.35416666666666663,0.5652173913043479,0.1668246206323529,0.1668246206323529,0.6463414634146342,1.4428812982014247,0.6243689780631944,9,1.4868501982415214,0.7044403340860745,8,0,0,0.405756313616467,0.6194715005467762,8,1,0.125,0.4415551848461493,0.7727606326344021,9,0.5773502691896257,0.9587606950578839,8.5,8.470588235294118,0.6758089189575134,6,gaus,7.0,7.0,3.927922024247863,8,0.5,1.0,0.35,1,4.75,5
raw,morl,20.025533657023324,0.666826923076923,575.5571495160112,-31.276549704011522,195,96,27854.855064125164,,False,13.168875893569929,338192.61270805565,0.02186619384721369,2.0003971393019128e-07,0.45963112861971633,14,16511.775088816543,432.95193141025084,84227.56515617493,"[12, 21, 28, 35, 46, 58, 68, 75, 88, 99, 122, 132, 164, 176]","[50131.265999190204, 1811.0997514086303, 8990.261829398672, 2262.0289317045863, 4030.0749737611404, 11855.738895532131, 3090.134136275168, 1271.6280936996955, 1031.0940915840147, 59987.00386424722, 432.95193141025084, 815.4912375799177, 1228.512351465055, 84227.56515617493]","[0, 18, 24, 33, 44, 44, 66, 74, 78, 78, 121, 121, 121, 121]","[78, 24, 78, 78, 50, 78, 78, 78, 89, 121, 123, 133, 165, 194]",0.05,30,228134887437.27457,69487.18394535527,-69487.18394535527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015067403900,,,68559.18394535527,0.0,19.0,,0.0,394.95193141025084,,,15911.025088816543,,,,,,,,,,,0.0,,,,0.0,1.0,15911.025088816543,216746.85124343162,15911.025088816545,,,,,,,83300.56515617493,68559.18394535527,0.0,-12.5,,,,,,10.0,,0.003796172211624177,0.9230266195372376,0.029905821283482126,0.7229471301774483,0.4022598870056492,1.0,0.05817009657815608,,0.37454220352781453,0.36846942982560316,0.36846942982560316,0.36694883087656954,0.7034038280752968,0.3597143590720667,0.375,,0.2083333333333333,1.0,0.08555473079055725,0.08555473079055725,1.0,1.480143287439915,0.6404931250532748,8,1.5155532925498174,0.7180392947397796,5,0,0,0.44133257300978346,0.6737860683073916,6,1,0.125,0.44233653239908544,0.7741280599685973,8,1.5,0.8928571428571429,6.75,6.486486486486486,0.7053571428571428,5,morl,5.0,5.0,,1,0.35714285714285715,,,6,5.25,6
raw,gaus7,20.39101462271128,0.6755341880341881,766.9444987055956,-34.21282726453411,195,96,39912.85799248822,,False,13.318711577914483,508510.55275208695,0.017241040054124114,3.134630973082754e-07,0.020861770862995378,11,18718.2915403885,155.48088046391786,136585.2695523724,"[4, 17, 24, 42, 52, 62, 72, 89, 107, 144, 191]","[155.48088046391786, 1244.458249847452, 931.9671923319329, 3306.8430705551946, 812.6160701321205, 48273.846683838325, 4824.836272802713, 5676.4133097634, 136585.2695523724, 509.2306250377151, 3580.245037128363]","[3, 3, 3, 3, 3, 3, 67, 84, 3, 143, 143]","[5, 18, 25, 45, 53, 84, 84, 93, 143, 145, 194]",0.05,30,442760545112.3497,94205.75887701246,-94205.75887701246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015067403900,,,93277.75887701246,0.0,-14.0,,0.0,117.48088046391786,,,18117.5415403885,,,,,,,,,,,0.0,,,,0.0,-18.5,18117.5415403885,191483.20694427352,18118.761527048144,,,,,,,135658.2695523724,93277.75887701246,0.0,-5.0,,,,,,13.0,,0.1310682280011637,0.6896141442051003,0.3278843140232558,0.7701789970172254,0.4636534839924671,0.005988123722709737,0.13624559109906764,,0.10715106349438186,0.49560495277133465,0.49560495277133465,0.4936296945434049,0.6102168994995784,0.7506097312188567,0.5625,,0.5208333333333334,0.15217391304347827,0.22142442591908157,0.22142442591908157,0.1951219512195122,1.5779053996825703,0.682797110966969,6,1.2444754899693478,0.5896079719078301,11,0,0,0.4021912786444481,0.6140287323395863,9,1,0.125,0.3544118402944271,0.6202520711300682,12,2.6457513110645907,0.8110177634953863,9.5,8.849162011173183,0.5662231674619789,8,gaus,7.0,7.0,3.927922024247863,8,0.5,1.0,0.35,1,6.25,7
raw,mexh,22.169373339516874,0.6713141025641025,1681.8989817633187,-42.88802139958225,195,96,122237.14973360441,-412999.82804791944,False,13.176919186184723,555947.4547358685,0.019488362780593606,3.790434715619865e-07,0.2826503522578705,10,22271.486866307114,69.82618823740631,169989.35387401527,"[47, 59, 68, 86, 96, 123, 133, 151, 158, 171]","[69.82618823740631, 169989.35387401527, 2703.3495683498622, 3830.995720274659, 12140.374253379938, 997.7370709245588, 1785.232120257322, 29339.72740545246, 1694.9663078405574, 163.30615433909406]","[0, 0, 66, 80, 80, 122, 122, 122, 156, 170]","[48, 194, 194, 91, 194, 125, 136, 194, 194, 194]",0.05,30,3285159404970.7856,181634.64441137048,-181634.64441137048,0.49230769230769234,23911751.19805286,0.011580271450593219,0.04236223796300463,37374281.23604704,6100911262155.541,13.0,841735.0243431379,0.02564102564102564,"[0.0, 0.005128205128205128, 0.010256410256410256, 0.015384615384615385, 0.020512820512820513, 0.02564102564102564, 0.03076923076923077, 0.035897435897435895, 0.041025641025641026, 0.046153846153846156, 0.05128205128205128, 0.05641025641025641, 0.06153846153846154, 0.06666666666666667, 0.07179487179487179, 0.07692307692307693, 0.08205128205128205, 0.08717948717948718, 0.09230769230769231, 0.09743589743589744, 0.10256410256410256, 0.1076923076923077, 0.11282051282051282, 0.11794871794871795, 0.12307692307692308, 0.1282051282051282, 0.13333333333333333, 0.13846153846153847, 0.14358974358974358, 0.14871794871794872, 0.15384615384615385, 0.15897435897435896, 0.1641025641025641, 0.16923076923076924, 0.17435897435897435, 0.1794871794871795, 0.18461538461538463, 0.18974358974358974, 0.19487179487179487, 0.2, 0.20512820512820512, 0.21025641025641026, 0.2153846153846154, 0.2205128205128205, 0.22564102564102564, 0.23076923076923078, 0.2358974358974359, 0.24102564102564103]","[23911751.19805286, 4705907.739590301, 2498101.005380991, 2165350.363320529, 406743.32949333824, 841735.0243431379, 210399.6127973901, 422090.0338351295, 359773.4259821529, 132782.7106003684, 162816.90736835272, 103926.83800926978, 98856.17920871344, 93405.68940131899, 70390.02768644763, 94534.89849801415, 10514.06504463553, 44004.08559083665, 46825.3913271746, 44757.35197340769, 10179.037250537021, 70013.09640953202, 52144.99611210757, 52453.24941884336, 29751.90788509665, 20754.876569451906, 12531.001352791789, 12612.170976399491, 6649.843147530871, 21383.228366555682, 37524.24366635925, 17256.324669008434, 15550.640972713445, 3601.6861175276563, 8358.268864217625, 8403.420179893184, 25024.93318031883, 13783.141990927348, 4448.013828491878, 14646.9277311329, 18106.811699561615, 10623.194895831222, 8064.483559786333, 9326.888033662468, 4729.831394658368, 19751.667683037806, 8890.963965681387, 25129.41559769954]",3.0,0.7,85161.92419616663,15.0,0.5,113305349317.46378,0.01629901612601137,0.012677454682242115,137442503793.65424,2.4921461844514402e+19,"[0.015625, 0.015625, 0.015625, 0.015625, 0.015625]",4.0,113305349317.46378,0.015625,"[0.0, 0.015625, 0.03125, 0.046875, 0.0625, 0.078125, 0.09375, 0.109375, 0.125, 0.140625, 0.15625, 0.171875, 0.1875, 0.203125, 0.21875, 0.234375]","[12473027733.710215, 113305349317.46378, 8902024565.97983, 1717304129.668438, 471376130.6870952, 200968496.98037902, 73231629.72046866, 82146919.04256971, 50236929.218989566, 22339093.59354084, 6673506.262977054, 11869504.209760364, 6831517.417449132, 7967591.4607605105, 6464891.612035252, 14741140.055275671]",3.0,0.7,cosine,64.0,32.0,85161.92419616663,15.0,CWT,mdp.39015067403900,0.0,0.0,180706.64441137048,0.0,-1.0,0.0,0.0,31.826188237406313,,830978.7398420942,21670.736866307114,0.14510951508585773,1.0,2.492146178607777e+19,0.0,0.15005536327021168,0.0,0.0,6100852954591.17,0.0,85097.72419616663,0.0,0.0,23836244.19805286,36989816.38127317,0.0,-10.0,21670.736866307114,208296.86866307113,21708.662580144926,,0.1647353540564139,113302914259.33714,85097.72419616663,3.0,113302914259.33714,169062.35387401527,180706.64441137048,0.0,6.5,0.0,0.010256410256410255,0.0,0.0,137416694167.09384,14.0,0.11196113139120505,1.0,0.0,0.04590153165451594,1.0,0.43389830508474514,0.5990581601325254,0.15799115460204488,0.0,0.02460801719983502,0.7003336986491033,0.7003336986491033,0.6996197565858899,0.6722354062174748,1.0,0.625,,1.0,0.5217391304347826,0.7019916129767169,0.7019916129767169,0.5121951219512195,2.2589958370583263,0.9775211058534494,2,1.299329813754984,0.6155968699281689,10,0,0,0.6550040046367369,1.0,1,0,0.0,0.4046061439342289,0.7080965425948329,11,5.228129047119374,0.6265622109200447,6.0,2.3655913978494625,0.598995391174308,7,mexh,7.0,7.0,,1,0.5,,,5,6.5,8
raw,gaus1,21.95015445411496,0.6097756410256411,1333.3825215670574,-42.67126231909106,195,96,104898.40863908781,,False,13.153838032425334,2392749.295403334,0.023667607252899497,5.926743246623524e-07,0.06572197271011128,4,10116.75786645784,1081.9877674069703,36046.33963813429,"[78, 112, 133, 191]","[1081.9877674069703, 36046.33963813429, 1941.7885525204474, 1396.9155077696487]","[3, 3, 130, 3]","[79, 142, 142, 194]",0.05,10,3106082646681.5396,235850.8744391866,-235850.8744391866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015067403900,,,234922.8744391866,0.0,-22.0,,0.0,1043.9877674069703,,,9516.00786645784,,,,,,,,,,,20.0,,,,0.0,-22.0,9516.00786645784,26049.03146583136,9516.00786645784,,,,,,,35119.33963813429,234922.8744391866,0.0,-17.5,,,,,,20.0,,0.8169898251798421,0.017230753048823155,0.0,0.9716698865983957,0.0,0.10761685558359269,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,1.0,0.0,1.0999999999999999,0.47599610357804795,11,1.1843170849158815,0.5611061046692414,13,0,0,0.3333333333333333,0.508902741011788,11,1,0.125,0.40996533148723624,0.7174755948763984,10,1.2583057392117916,0.9101210186277292,11.25,11.15009746588694,0.5532747950281502,9,gaus,7.0,7.0,3.927922024247863,8,0.5,1.0,0.35,1,7.0,9
raw,cgau8,14.829208195755221,0.6846688034188034,822.8822253765236,-32.90567164568613,195,96,37028.285326331395,-308274.7301421325,True,13.656678633325367,440720.6467809671,0.02047661458913238,2.237466085929138e-06,0.29547380932770156,11,14983.830144363228,174.25510472834867,66621.20842229496,"[13, 21, 29, 35, 47, 57, 68, 87, 99, 165, 171]","[41203.337456083, 1834.7833019721547, 5906.841750540509, 405.0490680734183, 2205.3857514096962, 6255.897963047046, 918.0223228327677, 521.5401927294552, 38775.81025428414, 174.25510472834867, 66621.20842229496]","[0, 18, 24, 33, 45, 52, 66, 78, 78, 122, 122]","[122, 24, 122, 122, 52, 78, 78, 90, 122, 166, 194]",0.05,30,333160733622.5111,61422.803286981754,-61422.803286981754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015067403900,,,60494.803286981754,0.0,-0.5,,0.0,136.25510472834867,,,14383.080144363228,,,,,,,,,,,0.0,,,,0.0,-9.5,14383.080144363228,150404.1315879955,14384.34751950148,,,,,,,65694.20842229496,60494.803286981754,0.0,-14.0,,,,,,13.0,,0.1006216030105085,0.7935234042633756,1.0,0.051415161937255816,0.5280602636534839,0.6281091145736319,0.1051700013470252,0.7988298982378504,0.12524326162527966,0.2804319808380973,0.2804319808380973,0.27934741719671397,0.45869351610118236,0.22826773728054717,0.5625,,0.14583333333333331,0.5434782608695652,0.04122754184527935,0.04122754184527935,0.524390243902439,1.0484172437792108,0.45367502087540074,12,1.8560758155546024,0.8793721580995344,3,0,0,0.29258940130631783,0.4466986449473495,12,0,0.0,0.5007161808778914,0.87629760896206,4,4.924428900898052,0.648255078507282,7.75,5.333333333333333,0.5473418249679267,10,cgau,10.0,10.0,,1,0.7142857142857143,,,2,8.0,10
