amplitude_max,amplitude_max_diff,avg_prominence,avg_prominence_diff,avg_variance_across_levels,correlation,dominant_frequency,dominant_frequency_diff,dynamic_cutoff,dynamic_cutoff_diff,emd_value,frequency_max,frequency_max_diff,htid,is_complex,kl_divergence,lower_envelope,lower_envelope_diff,max_autocorrelation,max_autocorrelation_diff,num_fft_peaks,num_fft_peaks_diff,positive_amplitudes,positive_amplitudes_dtw,positive_amplitudes_euclidean,positive_amplitudes_wasserstein,positive_frequencies,positive_frequencies_dtw,positive_frequencies_euclidean,positive_frequencies_wasserstein,prominence_max,prominence_max_diff,prominence_min,prominence_min_diff,relative_left_bases,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,relative_num_peaks,relative_num_peaks_diff,relative_peaks,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,relative_prominences,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,relative_right_bases,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,scales_used,signal_length,signal_type,smoothness,spectral_bandwidth,spectral_bandwidth_diff,spectral_centroid,spectral_centroid_diff,spectral_magnitude,spectral_magnitude_diff,upper_envelope,upper_envelope_diff,variance_ratio_across_levels,wavelet,wavelet_adaptive_threshold,wavelet_energy_entropy,wavelet_entropy,wavelet_psnr,wavelet_sparsity,wavelet_type,emd_value_normalized,smoothness_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,positive_amplitudes_dtw_normalized,positive_amplitudes_euclidean_normalized,positive_amplitudes_wasserstein_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,spectral_centroid_diff_normalized,spectral_magnitude_diff_normalized,dynamic_cutoff_diff_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,amplitude_max_diff_normalized,spectral_bandwidth_diff_normalized,num_fft_peaks_diff_normalized,relative_num_peaks_diff_normalized,dominant_frequency_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,frequency_max_diff_normalized,across_emd_value_normalized,across_smoothness_normalized,across_wavelet_psnr_normalized,across_wavelet_entropy_normalized,across_wavelet_energy_entropy_normalized,across_wavelet_sparsity_normalized,across_correlation_normalized,across_avg_variance_across_levels_normalized,across_kl_divergence_normalized,across_prominence_min_diff_normalized,across_positive_amplitudes_dtw_normalized,across_positive_amplitudes_euclidean_normalized,across_positive_amplitudes_wasserstein_normalized,across_avg_prominence_diff_normalized,across_relative_prominences_avg_diff_normalized,across_relative_prominences_wasserstein_normalized,across_spectral_centroid_diff_normalized,across_spectral_magnitude_diff_normalized,across_dynamic_cutoff_diff_normalized,across_relative_prominences_total_diff_normalized,across_prominence_max_diff_normalized,across_amplitude_max_diff_normalized,across_spectral_bandwidth_diff_normalized,across_num_fft_peaks_diff_normalized,across_relative_num_peaks_diff_normalized,across_dominant_frequency_diff_normalized,across_max_autocorrelation_diff_normalized,across_relative_right_bases_global_alignment_score_normalized,across_relative_left_bases_global_alignment_score_normalized,across_upper_envelope_diff_normalized,across_lower_envelope_diff_normalized,across_relative_peaks_global_alignment_score_normalized,across_reconstruction_weighted_score,across_reconstruction_normalized_weighted_score,across_reconstruction_normalized_weighted_rank,across_signal_weighted_score,across_signal_normalized_weighted_score,across_signal_normalized_weighted_rank,across_rank_variability,across_normalized_rank_stability,across_average_rank,across_harmonic_average_rank,across_stability_score_weighted,across_stability_rank,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,across_normalized_family_mean_rank,across_normalized_family_std_dev,across_final_family_stability_score,across_final_family_stability_rank,across_family_informed_rank
,,30885.965782719875,30781.788004942096,140108.44811673346,0.5912895819263302,,,29114.70605818258,28777.60605818258,25113.811496632683,0.48717948717948717,,inu.32000013032836,False,,-33768.44277701378,33373.44277701378,56752905741.56532,56744822659.40532,0.0,,"[1970313.7351120496, 422127.00935260195, 255445.3975798524, 126549.98322761267, 78820.57784954915, 49902.315576825626, 34686.30488343196, 32879.229640756595, 24080.960473657196, 16611.417836943536, 13929.555188683373, 12027.487347554486, 8866.226444002872, 9118.36131658842, 7635.84276434114, 6745.056985429738, 6279.7794509013665, 5744.236671399987, 4603.329630490664, 4836.047689943562, 4627.458319675123, 4131.420466941742, 4172.50679325147, 4195.650841147578, 4082.0747414124003, 3448.304693959487, 3778.357425950731, 3825.002652045067, 3824.8597101421137, 3648.2575809840564, 3609.7918770541496, 3488.621813284487, 3473.443011712291, 3455.158123801307, 3531.725420415597, 3427.1835330789995, 3463.191230669266, 3391.2675530973556, 3364.534125751855]",,,,"[0.0, 0.01282051282051282, 0.02564102564102564, 0.038461538461538464, 0.05128205128205128, 0.0641025641025641, 0.07692307692307693, 0.08974358974358974, 0.10256410256410256, 0.11538461538461538, 0.1282051282051282, 0.14102564102564102, 0.15384615384615385, 0.16666666666666666, 0.1794871794871795, 0.1923076923076923, 0.20512820512820512, 0.21794871794871795, 0.23076923076923075, 0.24358974358974358, 0.2564102564102564, 0.2692307692307692, 0.28205128205128205, 0.2948717948717949, 0.3076923076923077, 0.3205128205128205, 0.3333333333333333, 0.34615384615384615, 0.358974358974359, 0.3717948717948718, 0.3846153846153846, 0.3974358974358974, 0.41025641025641024, 0.4230769230769231, 0.4358974358974359, 0.4487179487179487, 0.4615384615384615, 0.47435897435897434, 0.48717948717948717]",,,,30885.965782719875,30490.965782719875,30885.965782719875,30882.565782719874,[0],0.0,-8.5,1,8.0,[26],0.0,-8.5,[30885.965782719875],30781.788004942096,29948.365782719877,30781.788004942096,[77],0.0,-8.5,38,78,smoothed,3.065310679862554e-05,0.06266427395927177,,0.02335808139806926,,3162141.6649369914,3162141.6649369914,33768.44277701378,33373.44277701378,0.05596989232694157,mexh,860.7941479115713,227278262.48878217,10.421703935940318,-36.587253284400475,0.6751012145748988,CWT,1.0,0.9999999999999999,0.010774083281896774,0.8076550269040097,1.0,0.9999999999999999,0.7209779815501043,0.15503951393928822,,1.0,,,,1.0,1.0,1.0,,1.0,1.0,0.8498857212162222,1.0,,,,0.6666666666666666,,0.9853962962245633,0.0,0.0,0.6366608303385402,0.6366608303385402,0.0,4.2389720075224755,1.0,1,2.2606989616168995,1.0,1,0.0,0.7183513563189688,1.0,1,0,0.7118058257094122,1.0,1,0.0,1.0,1.0,1.0,0.95,1,mexh,0.125,,,2,1.25,,0.9923584978145776,1.0,0.009620021376639643,0.7590650979544245,1.0,0.8678160919540231,0.7209779815501041,0.15608690151624643,,1.0,,,,1.0,1.0,1.0,,0.9999999999999999,1.0,0.8498857212162222,1.0,,,,0.5,,0.985431282324975,0.07999999999999999,0.13333333333333336,0.6403012768994325,0.6403012768994325,0.125,4.220112345863705,0.7658279980070923,2,2.180964501155719,1.0,1,0.7071067811865476,0.9646446609406726,1.5,1.3333333333333333,0.9448223304703363,1,1.5,1.5,0.7071067811865476,2,0.08333333333333333,0.1402228978616276,0.8995997973081784,1,1.0
37951.269840679204,36141.68815688439,12743.047644205108,12558.047644205108,126537.92089347466,0.31123925353542276,0.07692307692307693,0.025641025641025633,13314.512639304821,13119.612639304822,25277.633701396328,0.48717948717948717,0.0,inu.32000013032836,False,,-32970.22845242564,32502.22845242564,56039611276.64843,56030741719.64843,2.0,4.0,"[1990695.2009821753, 344914.12408938824, 236681.99265091118, 119848.95943753456, 75597.16772301466, 49598.53723801287, 36751.08042056361, 37951.269840679204, 28225.1880620085, 23115.66782085178, 18764.636035468662, 17868.049024253785, 10108.911660919517, 16716.61651706647, 13147.32060088049, 10840.750005350685, 7611.925995832032, 7668.629970298472, 11283.770011235802, 8416.315535502848, 8067.903325187295, 8097.405244411562, 7000.802869267875, 6778.583245876914, 6007.116793167041, 7780.443629940875, 7402.02178038943, 6477.981316286361, 6024.497655147622, 6151.987863608921, 5803.81388845136, 5835.333486324196, 5944.955872658816, 5781.558865591577, 5579.522982531083, 5741.526426431731, 5693.174339696499, 5766.133642571755, 5832.275658731816]",2949210.7615023176,2016360.8285815702,80325.83883219553,"[0.0, 0.01282051282051282, 0.02564102564102564, 0.038461538461538464, 0.05128205128205128, 0.0641025641025641, 0.07692307692307693, 0.08974358974358974, 0.10256410256410256, 0.11538461538461538, 0.1282051282051282, 0.14102564102564102, 0.15384615384615385, 0.16666666666666666, 0.1794871794871795, 0.1923076923076923, 0.20512820512820512, 0.21794871794871795, 0.23076923076923075, 0.24358974358974358, 0.2564102564102564, 0.2692307692307692, 0.28205128205128205, 0.2948717948717949, 0.3076923076923077, 0.3205128205128205, 0.3333333333333333, 0.34615384615384615, 0.358974358974359, 0.3717948717948718, 0.3846153846153846, 0.3974358974358974, 0.41025641025641024, 0.4230769230769231, 0.4358974358974359, 0.4487179487179487, 0.4615384615384615, 0.47435897435897434, 0.48717948717948717]",0.0,0.0,0.0,24260.263606113203,23801.263606113203,1225.8316822970119,1184.8316822970119,"[0, 56]",0.0,-1.0,2,9.0,"[26, 60]",0.0,-5.5,"[24260.263606113203, 1225.8316822970119]",12558.047644205108,23451.095288410215,12558.047644205108,"[77, 77]",0.0,-1.0,38,78,raw,1.1301396624538923e-05,0.07831045645788727,0.06220730782035745,0.03134756850156062,0.0810114729271794,3187573.1525082216,3132707.714455625,32970.22845242564,32502.22845242564,0.058268052711444356,mexh,890.7171577887851,226240022.78581044,10.452342592699473,-35.056238404934895,0.6906207827260459,CWT,1.0,1.0,0.0,0.771671711500879,0.9999999999999999,1.0,0.38145120623854134,0.1445961239475116,,0.023341740436278513,1.0,1.0,1.0,0.5103335908147741,0.5103335908147741,0.5103335908147741,1.0,1.0,0.8100570379317021,0.7729638915650283,0.9999999999999998,0.0,1.0,1.0,0.6666666666666666,0.0,0.9999999999999999,0.37999999999999995,0.6333333333333333,0.6198905567635449,0.6198905567635449,0.3125,6.086269441317965,1.0,1,2.0962547878248605,1.0,1,0.0,0.6682454154741054,1.0,1,0,0.6622148802108665,1.0,1,0.0,1.0,1.0,1.0,0.95,1,mexh,0.1,,,2,1.25,,1.0,0.29570900373420894,0.09906347682431493,0.8261698534801791,0.9951627711287996,0.9999999999999999,0.2968052499644532,0.13476279012735543,,0.02050773781095333,1.0,1.0,1.0,0.3275595786858483,0.3275595786858483,0.3275595786858483,1.0,0.9906917672893212,0.45315300723011714,0.6237835343201634,0.7260823191625481,0.0,1.0,1.0,0.6666666666666666,0.0,0.9726575594174004,0.37999999999999995,0.6333333333333334,0.6170329955917109,0.6170329955917109,0.3125,5.510522410835941,1.0,1,1.9314443155560643,0.8855918170756878,2,0.7071067811865476,0.9646446609406726,1.5,1.3333333333333333,0.9448223304703363,2,1.5,1.5,0.7071067811865476,2,0.08333333333333333,0.1402228978616276,0.8995997973081784,1,1.75
,,15102.274716357735,14998.096938579958,79352.13256329516,0.7755074773178653,,,16712.99648632712,16375.89648632712,15881.841136529092,,,inu.32000013032836,False,,-22622.005856948912,22227.005856948912,22700332499.22653,22692249417.06653,,,[],,,,[],,,,23197.03014891174,22802.03014891174,7007.519283803729,7004.11928380373,"[0, 45]",0.0,-8.0,2,7.0,"[22, 64]",0.0,-8.0,"[23197.03014891174, 7007.519283803729]",14998.096938579958,29266.94943271547,14998.096938579958,"[77, 77]",0.0,-8.0,38,78,smoothed,1.7876983341112503e-05,,,,,0.0,0.0,22622.005856948912,22227.005856948912,0.07517683797684119,gaus2,545.5166138918155,97954334.22555275,10.38283683576782,-32.54724528113978,0.6190958164642375,CWT,0.5618224855098274,0.4454695365957728,0.27510969381759837,0.717079140172691,0.3966152928917616,0.37121212121212127,1.0,0.05945130521825911,,0.21243979423836024,,,,0.35371830646341695,0.35371830646341695,0.35371830646341684,,0.0,0.5643098237442381,0.8261727286514735,0.6851675364134824,,,,0.3333333333333333,,0.3747894441905271,0.5,0.5,0.33595026715444043,0.33595026715444043,0.05,1.9850116207835533,0.46827665227818294,2,1.5963660100266177,0.7061382506606997,2,0.0,0.38528454095136977,0.5363455328123474,4,0,0.47834494692725393,0.6720160606307451,3,0.9574271077563381,0.9042572892243662,2.75,2.5263157894736845,0.8146286446121831,2,gaus,0.71875,1.0,0.196875,1,1.75,,0.5617323700300881,0.5350225567993604,0.2456414217526009,0.6739384138581604,0.39747108712815676,0.3908045977011493,1.0,0.0606171810606093,,0.21243979423836024,,,,0.41759530917023324,0.41759530917023324,0.41759530917023324,,0.0,0.5668769680029218,0.8261727286514735,0.6851675364134824,,,,0.33333333333333337,,0.37628726143062413,0.09999999999999999,0.16666666666666669,0.3426036581677227,0.3426036581677227,0.15625,1.995111427041058,0.3620548612810017,4,1.592684793098257,0.7302662616719687,4,0.0,1.0,4.0,4.0,0.9,3,10.6875,10.5,5.042734046791152,16,0.59375,1.0,0.284375,2,2.75
,,12622.690446104996,12437.690446104996,69817.604119482,0.5031245197733278,,,16356.957745630016,16162.057745630016,15851.283735237464,,,inu.32000013032836,False,,-22204.922540547115,21736.922540547115,22291023092.701107,22282153535.701107,,,[],,,,[],,,,16014.061858998812,15555.061858998812,9231.319033211179,9190.319033211179,"[0, 45]",0.0,-5.5,2,9.0,"[20, 67]",0.0,-10.0,"[16014.061858998812, 9231.319033211179]",12437.690446104996,23210.380892209992,12437.690446104996,"[77, 77]",0.0,-1.0,38,78,raw,6.782597316511785e-06,,,,,0.0,54865.4380525967,22204.922540547115,21736.922540547115,0.07148834299715409,gaus2,557.1291243215542,95635353.21313587,10.450747928949518,-30.989791397525725,0.6190958164642375,CWT,0.5603070171660629,0.44385083340764897,0.26368782698181076,0.767084092697117,0.3885462853383332,0.39080459770114934,0.9999999999999999,0.048964941248018826,,0.4135925392032487,,,,0.5034144493113288,0.5034144493113288,0.5034144493113288,,0.0,1.0,0.7610708744327334,0.4280993051434119,,,,0.6666666666666666,,0.3793229417126764,0.37999999999999995,0.33333333333333326,0.3310406007747516,0.3310406007747516,0.03125,2.338063567095482,0.3841538054860057,3,1.6131830559585922,0.7695548581823307,2,0.3478260869565216,0.4203193763172113,0.628989539747166,4,0,0.4829056993175176,0.729228100648762,2,0.9574271077563381,0.9042572892243662,2.75,2.5263157894736845,0.8146286446121831,2,gaus,0.55,1.0,0.31499999999999995,1,1.75,,0.5603070171660629,0.13125068775357424,0.3366294708690592,0.822677222522898,0.38666679802909704,0.3908045977011493,0.5874405011310242,0.0456350552204315,,0.2845451518694577,,,,0.32311850109164597,0.32311850109164597,0.32311850109164597,,0.01735072108279182,0.5594087650755322,0.615406778042908,0.3884319427099034,,,,0.6666666666666666,,0.36895132671728065,0.37999999999999995,0.33333333333333337,0.32951457532275336,0.32951457532275336,0.03125,1.8287358655949075,0.3318625221446999,5,1.4236690658943663,0.6527703982068241,7,1.4142135623730951,0.9292893218813453,6.0,5.833333333333333,0.8146446609406726,4,10.6875,10.5,5.042734046791152,16,0.59375,1.0,0.284375,2,3.5
,,15040.65047911445,14855.65047911445,60919.76261628217,0.41270248011403476,,,6947.8851986563095,6752.98519865631,7227.419183991227,,,inu.32000013032836,False,,-15940.862047682673,15472.862047682673,6193840058.536623,6184970501.536623,,,[],,,,[],,,,18686.515478569436,18227.515478569436,11394.785479659464,11353.785479659464,"[0, 0]",0.0,-1.0,2,9.0,"[15, 69]",0.0,-5.5,"[18686.515478569436, 11394.785479659464]",14855.65047911445,28046.3009582289,14855.65047911445,"[44, 77]",0.0,-1.0,38,78,raw,5.504009583821995e-06,,,,,0.0,54865.4380525967,15940.862047682673,15472.862047682673,0.06099399702644107,gaus4,299.5251098555975,27144615.202359132,10.531709876759846,-25.36212989329759,0.6298920377867746,CWT,0.1580460421644684,0.2864892305837602,0.6286122512606269,1.0,0.06789223588028492,0.48275862068965497,0.7085214271148768,0.03396306617362235,,0.5190570127353403,,,,0.6424190778849499,0.6424190778849499,0.6424190778849499,,0.0,0.4125819702803658,0.9999999999999999,0.6134425854650789,,,,0.6666666666666666,,0.08327641799142144,0.37999999999999995,0.6333333333333333,0.16296608320079622,0.16296608320079622,0.3125,2.284231194065809,0.3753089172422779,4,1.5345712961122486,0.7320538061618778,3,0.3478260869565216,0.4408785214207507,0.6597554000545699,3,0,0.4207853592334118,0.6354211779406449,4,0.5773502691896257,0.9422649730810374,3.5,3.428571428571429,0.7961324865405187,3,gaus,0.55,1.0,0.31499999999999995,1,2.5,,0.1580460421644684,0.0847174449565038,0.6654032129007044,1.0,0.06756382559675447,0.4827586206896549,0.4504845340439537,0.03165339038063559,,0.3559007184805668,,,,0.41233915673820737,0.41233915673820737,0.41233915673820737,,0.01735072108279182,0.23080197048696938,0.7836946927201596,0.4978586822407446,,,,0.6666666666666666,,0.08099943748055925,0.37999999999999995,0.6333333333333334,0.1622148448626744,0.1622148448626744,0.3125,1.7803492186675178,0.32308174904916875,7,1.3918115047207893,0.6381633006787831,8,0.7071067811865476,0.9646446609406726,7.5,7.466666666666667,0.7948223304703363,5,10.6875,10.5,5.042734046791152,16,0.59375,1.0,0.284375,2,4.25
,,16950.152504851598,16845.97472707382,57022.05378215611,0.596563255742155,,,6028.42274008767,5691.322740087669,6922.5145421495645,,,inu.32000013032836,False,,-15128.131233763592,14733.131233763592,5758225294.456648,5750142212.296648,,,[],,,,[],,,,17216.070774834614,16821.070774834614,16684.234234868578,16680.834234868576,"[0, 0]",0.0,-8.0,2,7.0,"[15, 68]",0.0,-3.5,"[16684.234234868578, 17216.070774834614]",16845.97472707382,32962.7050097032,16845.974727073815,"[44, 77]",0.0,-8.0,38,78,smoothed,1.3303845457433781e-05,,,,,0.0,0.0,15128.131233763592,14733.131233763592,0.059809857585026716,gaus4,288.5596233171545,25930136.06972541,10.50424126024137,-26.505534945077688,0.6261808367071525,CWT,0.13658547699468346,0.24697863454077434,0.6704156410023218,0.9999999999999999,0.06057307477646111,0.4507575757575762,0.728965648055632,0.02431928294460514,,0.5315977268242715,,,,0.429381824050986,0.429381824050986,0.42938182405098574,,0.0,0.18894513779148706,0.9547834150808086,0.44027015867083935,,,,0.3333333333333333,,0.0709954644079529,0.5,0.5,0.13377918104596798,0.13377918104596798,0.5,1.7602650534204334,0.41525753184891734,4,1.5292221581533865,0.6764377673087684,4,0.0,0.3717086046902392,0.51744679176911,5,0,0.4148244167590068,0.5827774960194759,4,0.5,0.95,4.25,4.2105263157894735,0.7625,3,gaus,0.71875,1.0,0.196875,1,2.5,,0.14382373640109522,0.3685866290605378,0.5986043201014136,0.9398382634528438,0.06190548532424207,0.4511494252873565,0.7289656480556319,0.025528707383948766,,0.5315977268242715,,,,0.4857804179368741,0.4857804179368741,0.48578041793687393,,0.0,0.19372398052530596,0.9547834150808086,0.44027015867083935,,,,0.33333333333333337,,0.07322108103679646,0.09999999999999999,0.16666666666666669,0.14245820842491141,0.14245820842491141,0.4375,1.7321642952173077,0.3143375829143103,8,1.496015088378656,0.6859419708967752,5,2.1213203435596424,0.8939339828220179,6.5,6.153846153846153,0.784466991411009,6,10.6875,10.5,5.042734046791152,16,0.59375,1.0,0.284375,2,5.0
,,17599.82420215359,17495.646424375813,67669.04141176629,0.4593492835705296,,,3560.7516060657,3223.6516060657,6890.079250691046,,,inu.32000013032836,False,,-14559.563631320232,14164.563631320232,5007808090.267926,4999725008.107926,,,[],,,,[],,,,19150.039449561384,18755.039449561384,16049.6089547458,16046.2089547458,"[0, 0]",0.0,-8.0,2,7.0,"[15, 69]",0.0,1.0,"[19150.039449561384, 16049.6089547458]",17495.646424375813,34262.048404307185,17495.646424375816,"[44, 77]",0.0,-8.0,38,78,smoothed,1.1504468881912789e-05,,,,,0.0,0.0,14559.563631320232,14164.563631320232,0.06385535583973485,gaus6,230.91601855481258,22367405.392034587,10.37610314642253,-25.976387803915454,0.6069500674763832,CWT,0.13504599898092406,0.16887911322818067,0.7050374616792731,0.7013869511306459,0.04395049583586118,0.234848484848485,0.5211371990687266,0.041070240709551405,,0.5106664817276645,,,,0.4559833916443824,0.4559833916443824,0.45598339164438245,,0.0,0.1022522455661104,1.0,0.5194587682992204,,,,0.3333333333333333,,0.05753950959652182,0.5,0.5,0.1184402628638534,0.1184402628638534,0.9500000000000001,1.8739196972080447,0.4420693729240459,3,1.2056911040042542,0.5333266942989696,5,0.0,0.40520540261224697,0.5640768950289613,3,0,0.31891949318520596,0.4480428252569567,5,1.1547005383792515,0.8845299461620748,4.0,3.75,0.7422649730810373,4,gaus,0.71875,1.0,0.196875,1,3.25,,0.1423107891731985,0.3030996664287805,0.6295176373921834,0.6591902941591109,0.04530648256494704,0.2873563218390803,0.5211371990687266,0.042258901166017035,,0.5106664817276645,,,,0.5097527475027002,0.5097527475027002,0.5097527475027003,,0.0,0.10754189430996522,1.0,0.5194587682992204,,,,0.33333333333333337,,0.05979736266301228,0.09999999999999999,0.16666666666666669,0.1272729772564924,0.1272729772564924,0.71875,1.8100356208094255,0.32846897006537074,6,1.2038830763074624,0.551995722841665,10,2.8284271247461903,0.8585786437626906,8.0,7.5,0.7292893218813452,7,10.6875,10.5,5.042734046791152,16,0.59375,1.0,0.284375,2,5.75
,,14402.101650923858,14217.101650923858,75184.37278425295,0.35660083676301313,,,4551.942889588306,4357.042889588306,7243.039085279825,,,inu.32000013032836,False,,-15112.068346146212,14644.068346146212,5396440101.034612,5387570544.034612,,,[],,,,[],,,,18590.82590658789,18131.82590658789,10213.377395259826,10172.377395259826,"[0, 44]",0.0,-1.0,2,9.0,"[15, 70]",0.0,-10.0,"[18590.82590658789, 10213.377395259826]",14217.101650923858,26769.203301847716,14217.101650923858,"[44, 77]",0.0,-1.0,38,78,raw,4.940312105689482e-06,,,,,0.0,54865.4380525967,15112.068346146212,14644.068346146212,0.06286978943785737,gaus6,258.22036047628586,24617898.096232112,10.417034660445854,-24.833006956830303,0.6305668016194332,CWT,0.15877463393263014,0.2171124202180708,0.662923107167289,0.6700958564447901,0.0560628689403774,0.48850574712643713,0.5276758390029375,0.058013382157325405,,0.46146583453504414,,,,0.6057099340293834,0.6057099340293834,0.6057099340293834,,0.0,0.26300083956973963,0.9369022187841163,0.606806204936804,,,,0.6666666666666666,,0.06861127534298911,0.37999999999999995,0.6333333333333333,0.14072825492427293,0.14072825492427293,0.03125,2.051780262273492,0.33711623878241986,6,1.3032773305528473,0.6217170441886831,5,0.3478260869565216,0.3923835413258666,0.5871847860676741,7,0,0.3548954818737322,0.5359219378470086,5,0.9574271077563381,0.9042572892243662,5.75,5.63758389261745,0.6646286446121832,4,gaus,0.55,1.0,0.31499999999999995,1,3.25,,0.15877463393263014,0.06420209748100866,0.6963151161284344,0.7488384554158346,0.05579168001213669,0.4885057471264371,0.36551128140262795,0.054068152249251586,,0.31693545354674973,,,,0.3887772515223467,0.3887772515223467,0.3887772515223467,,0.01735072108279182,0.14712497487753623,0.7392522498142485,0.49394056078398196,,,,0.6666666666666666,,0.06673527562362702,0.37999999999999995,0.6333333333333334,0.14007952815683977,0.14007952815683977,0.03125,1.609198936896245,0.2920229366515054,11,1.2502312291264646,0.5732469411876957,9,1.4142135623730951,0.9292893218813453,10.0,9.9,0.7146446609406727,8,10.6875,10.5,5.042734046791152,16,0.59375,1.0,0.284375,2,6.5
,,20099.988283948485,19914.988283948485,90271.4305735891,0.23390314014696628,,,0.0,194.9,7401.863116552091,,,inu.32000013032836,False,,-19387.7701979235,18919.7701979235,6099200055.660814,6090330498.660814,,,[],,,,[],,,,20099.988283948485,19640.988283948485,20099.988283948485,20058.988283948485,[3],0.0,-10.5,1,10.0,[28],0.0,-10.5,[20099.988283948485],19914.988283948485,18064.988283948485,19914.988283948485,[58],0.0,-10.5,38,78,raw,3.7782434182239863e-06,,,,,0.0,54865.4380525967,19387.7701979235,18919.7701979235,0.05526477202686181,gaus5,266.03168295238123,25891573.209371865,10.436895027983073,-25.54526078700167,0.6224696356275303,CWT,0.16618299584434792,0.07409134581254165,0.6167371703051683,0.7272312842526442,0.06202585159443988,0.4195402298850572,0.13215556937958395,0.0834503553956582,,0.9434174793613133,,,,0.9332722610594149,0.9332722610594149,0.9332722610594149,,0.0,0.003153998830912469,0.5068515863119789,0.7114714846294782,,,,0.8333333333333333,,0.08153587470525217,0.0,0.0,0.25545200748798985,0.25545200748798985,0.0,2.209990887329208,0.3631109185416938,5,1.0908116344678296,0.5203621433822412,7,0.3478260869565216,0.4086409993406069,0.6115133600290921,5,0,0.2851768503086801,0.43064095783814516,8,1.5,0.85,6.25,5.989304812834224,0.6125,6,gaus,0.55,1.0,0.31499999999999995,1,4.75,,0.16618299584434792,0.02190947805555346,0.6547045187522638,0.7923366126200838,0.06172581835434647,0.4195402298850571,0.1796696241836113,0.0777752710323038,,0.643016185228115,,,,0.5990243913667164,0.5990243913667164,0.5990243913667164,,0.01735072108279182,0.0017643745910504022,0.4363493535158485,0.5557349796535286,,,,0.8333333333333333,,0.07930648489577351,0.0,0.0,0.25427442907531667,0.25427442907531667,0.0,1.7140579417397146,0.31105180488317685,9,1.147075718948933,0.5259488260084397,12,2.1213203435596424,0.8939339828220179,10.5,10.285714285714286,0.6844669914110089,9,10.6875,10.5,5.042734046791152,16,0.59375,1.0,0.284375,2,7.25
