wavelet,wavelet_level,wavelet_mode,wavelet_mse,wavelet_psnr,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,signal_length,signal_type,emd_value,kl_divergence,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,wavelet_type,htid,avg_prominence_diff,prominence_max_diff,upper_envelope_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,lower_envelope_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,max_autocorrelation_diff,prominence_threshold_diff,relative_num_peaks_diff,prominence_min_diff,distance_factor_diff,emd_value_normalized,wavelet_mse_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,max_autocorrelation_diff_normalized,relative_left_bases_global_alignment_score_normalized,relative_left_bases_array_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,reconstruction_signal_num_missing_metrics,reconstruction_signal_missing_metrics_count,reconstruction_signal_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,top_wavelet_rank
db19,1,periodization,3.80310669507509e-27,325.3000266212906,8503718.689713806,0.6701244813278008,188.60147958603693,1927,raw,4.322410215025486e-14,,9.686819019349501,42724.86115210979,0.6062869351453255,4.844406472127047e-06,1.0,22,767.125513833714,473.1010536821865,1074.0258303747648,"[36, 155, 233, 299, 396, 490, 555, 631, 731, 806, 871, 936, 1004, 1093, 1178, 1270, 1366, 1469, 1578, 1692, 1767, 1871]","[582.0529052066111, 684.6885699484499, 817.4418263824564, 799.8425288372475, 780.2620371188941, 625.7226693282057, 522.9811941731446, 720.1609834367075, 846.8648469380577, 473.1010536821865, 624.0634420284757, 570.1797892635625, 1074.0258303747648, 751.2808429457491, 866.9811941731443, 790.6404214728748, 765.9811941731446, 1005.4829503101223, 876.1421776098521, 903.520561963833, 938.4418263824566, 856.9024585917685]","[33, 33, 207, 263, 367, 452, 538, 617, 662, 791, 822, 921, 921, 1081, 1161, 1264, 1349, 1427, 1547, 1684, 1741, 1836]","[137, 207, 662, 662, 662, 617, 578, 662, 921, 822, 921, 939, 1925, 1117, 1427, 1427, 1427, 1925, 1684, 1741, 1925, 1925]",0.05,30,82238169.04409139,732.7245095405124,-732.7245095405124,DWT,uiug.30112070958894,2.2737367544323206e-13,4.547473508864641e-13,348.2754904594876,0.8181818181818182,70.0,0.5,38.5,1.874486166286033,41.23869565829227,2.2722018099246384,348.2754904594876,1.0,88,232592246.9559086,0.0,0.0,0.0,0.0,7.829877305784226e-14,8.698912838152334e-27,0.9622896332398682,0.9800497625040453,0.00013101894785182787,0.6251710111667377,0.0015706003127966609,,0.0,1.2094565298074346e-13,0.9999999949796707,0.9999999908298935,0.9999999949796818,1.4075759637322663e-13,0.9999999947877192,1.0,0.9999999999999999,0.9999999962862633,0.9999999962862633,2.199999989141182,0.9999999930646633,148,1.3181608152617068,0.8047758224418557,133,0,0,0.7272727243772502,0.9999999944833433,148,0,0,0.36703028945305405,0.7436944171049701,132,8.958236433584458,0.9906098150591358,140.25,139.82069633536028,0.9217986182213918,1,db,287.7573099415205,251.5,227.08866882664552,342,0.3034347732248019,1.0,0.4875956587426386,2,1.25,1
db25,1,symmetric,3.834273474267967e-27,325.26458086617794,8657273.636283727,0.6761133603238867,184.59255948124203,1927,raw,4.466311423797189e-14,,9.689459717757698,42451.10034867095,0.6071857421492628,4.844406472127047e-06,1.0,22,767.125513833714,473.1010536821864,1074.025830374765,"[36, 155, 233, 299, 396, 490, 555, 631, 731, 806, 871, 936, 1004, 1093, 1178, 1270, 1366, 1469, 1578, 1692, 1767, 1871]","[582.0529052066108, 684.6885699484496, 817.4418263824566, 799.8425288372475, 780.2620371188937, 625.7226693282057, 522.9811941731446, 720.1609834367074, 846.864846938058, 473.1010536821864, 624.063442028476, 570.1797892635626, 1074.025830374765, 751.2808429457489, 866.9811941731448, 790.6404214728743, 765.9811941731447, 1005.4829503101222, 876.1421776098521, 903.5205619638327, 938.4418263824566, 856.9024585917684]","[33, 33, 207, 263, 367, 452, 538, 617, 662, 791, 822, 921, 921, 1081, 1161, 1264, 1349, 1427, 1547, 1684, 1741, 1836]","[137, 207, 662, 662, 662, 617, 578, 662, 921, 822, 921, 939, 1925, 1117, 1427, 1427, 1427, 1925, 1684, 1741, 1925, 1925]",0.05,30,82238169.0440914,732.7245095405125,-732.7245095405125,DWT,uiug.30112070958894,2.2737367544323206e-13,2.2737367544323206e-13,348.2754904594875,0.8181818181818182,70.0,0.5,38.5,1.874486166286033,41.23869565829227,2.2722018099246535,348.2754904594875,1.0,88,232592246.9559086,0.0,0.0,1.1368683772161603e-13,0.0,8.16016802646535e-14,8.777736486183574e-27,0.9621585296619152,0.9805739389396555,0.0003868350116927357,0.7472802558853014,0.0013728099373452843,,7.23908112354758e-14,1.2094565298074346e-13,0.9999999949796707,0.999999990829914,0.9999999949796818,7.037879818661332e-14,0.9999999947877192,1.0,0.9999999999999999,0.9999999962862143,0.9999999962862143,2.199999989141155,0.9999999930646509,157,1.3672367311019065,0.834738107828516,55,0,0,0.7272727243772433,0.9999999944833339,150,0,0,0.3845389099194275,0.7791712256034068,51,58.1169797334078,0.9390807340320673,103.25,78.70025778607777,0.9154261112508344,2,db,287.7573099415205,251.5,227.08866882664552,342,0.3034347732248019,1.0,0.4875956587426386,2,2.0,2
db25,1,periodic,3.81734182557054e-27,325.28380120936754,8681820.80065932,0.6740890688259109,184.02205596309014,1927,raw,4.460227378576617e-14,,9.687653094184475,42561.57900130251,0.6125373639370243,4.844406472127047e-06,1.0,22,767.125513833714,473.1010536821864,1074.025830374765,"[36, 155, 233, 299, 396, 490, 555, 631, 731, 806, 871, 936, 1004, 1093, 1178, 1270, 1366, 1469, 1578, 1692, 1767, 1871]","[582.0529052066108, 684.6885699484499, 817.4418263824566, 799.8425288372475, 780.2620371188937, 625.7226693282057, 522.9811941731446, 720.1609834367074, 846.864846938058, 473.1010536821864, 624.063442028476, 570.1797892635626, 1074.025830374765, 751.2808429457489, 866.9811941731448, 790.6404214728743, 765.9811941731447, 1005.4829503101222, 876.1421776098521, 903.5205619638327, 938.4418263824566, 856.9024585917684]","[33, 33, 207, 263, 367, 452, 538, 617, 662, 791, 822, 921, 921, 1081, 1161, 1264, 1349, 1427, 1547, 1684, 1741, 1836]","[137, 207, 662, 662, 662, 617, 578, 662, 921, 822, 921, 939, 1925, 1117, 1427, 1427, 1427, 1925, 1684, 1741, 1925, 1925]",0.05,30,82238169.0440914,732.7245095405125,-732.7245095405125,DWT,uiug.30112070958894,2.2737367544323206e-13,2.2737367544323206e-13,348.2754904594875,0.8181818181818182,70.0,0.5,38.5,1.874486166286033,41.23869565829227,2.2722018099246433,348.2754904594875,1.0,88,232592246.9559086,0.0,0.0,1.1368683772161603e-13,0.0,8.146203559469472e-14,8.73491479103005e-27,0.9622296201423869,0.9802153256644089,0.00042772955211159674,0.7060063036031493,0.001452630035434089,,7.23908112354758e-14,1.2094565298074346e-13,0.9999999949796707,0.9999999908299001,0.9999999949796818,7.037879818661332e-14,0.9999999947877192,1.0,0.9999999999999999,0.9999999962862143,0.9999999962862143,2.199999989141151,0.9999999930646492,160,1.3506428731491502,0.824607071063657,68,0,0,0.7272727243772421,0.9999999944833321,154,0,0,0.37861880128536757,0.767175616885755,65,52.32192019921797,0.9451552199169623,111.75,93.3837513397642,0.9140084275685441,3,db,287.7573099415205,251.5,227.08866882664552,342,0.3034347732248019,1.0,0.4875956587426386,2,2.75,3
db25,1,antisymmetric,3.828011711732284e-27,325.2716791389663,8652471.961336467,0.673582995951417,184.16978147802993,1927,raw,4.458936823529829e-14,,9.694836867338434,42448.861257061915,0.6062998252402826,4.844406472127047e-06,1.0,22,767.125513833714,473.1010536821864,1074.025830374765,"[36, 155, 233, 299, 396, 490, 555, 631, 731, 806, 871, 936, 1004, 1093, 1178, 1270, 1366, 1469, 1578, 1692, 1767, 1871]","[582.0529052066108, 684.6885699484499, 817.4418263824566, 799.8425288372475, 780.2620371188937, 625.7226693282057, 522.9811941731446, 720.1609834367074, 846.864846938058, 473.1010536821864, 624.063442028476, 570.1797892635626, 1074.025830374765, 751.2808429457489, 866.9811941731448, 790.6404214728743, 765.9811941731447, 1005.4829503101222, 876.1421776098521, 903.5205619638327, 938.4418263824566, 856.9024585917684]","[33, 33, 207, 263, 367, 452, 538, 617, 662, 791, 822, 921, 921, 1081, 1161, 1264, 1349, 1427, 1547, 1684, 1741, 1836]","[137, 207, 662, 662, 662, 617, 578, 662, 921, 822, 921, 939, 1925, 1117, 1427, 1427, 1427, 1925, 1684, 1741, 1925, 1925]",0.05,30,82238169.0440914,732.7245095405125,-732.7245095405125,DWT,uiug.30112070958894,2.2737367544323206e-13,2.2737367544323206e-13,348.2754904594875,0.8181818181818182,70.0,0.5,38.5,1.874486166286033,41.23869565829227,2.2722018099246433,348.2754904594875,1.0,88,232592246.9559086,0.0,0.0,1.1368683772161603e-13,0.0,8.14324139980368e-14,8.761899913430472e-27,0.9621847841162746,0.9816412986548824,0.000378835623771408,0.6956878155326125,0.0013711922084211345,,7.23908112354758e-14,1.2094565298074346e-13,0.9999999949796707,0.9999999908299001,0.9999999949796818,7.037879818661332e-14,0.9999999947877192,1.0,0.9999999999999999,0.9999999962862143,0.9999999962862143,2.199999989141151,0.9999999930646492,164,1.3471445407055294,0.822471236545673,81,0,0,0.7272727243772421,0.9999999944833321,155,0,0,0.3773234180194348,0.7645508490380631,69,49.168926501738206,0.9484602447570878,117.25,101.55478725371884,0.912778340407894,4,db,287.7573099415205,251.5,227.08866882664552,342,0.3034347732248019,1.0,0.4875956587426386,2,3.5,4
db25,1,antireflect,3.80309566080578e-27,325.3000392218554,9453444.340002121,0.6756072874493927,186.41776327556565,1927,raw,4.448243653142158e-14,,9.588839729144123,45801.58085284404,0.636325122120857,4.844406472127047e-06,1.0,22,767.125513833714,473.1010536821864,1074.025830374765,"[36, 155, 233, 299, 396, 490, 555, 631, 731, 806, 871, 936, 1004, 1093, 1178, 1270, 1366, 1469, 1578, 1692, 1767, 1871]","[582.0529052066108, 684.6885699484499, 817.4418263824566, 799.8425288372475, 780.2620371188937, 625.7226693282057, 522.9811941731446, 720.1609834367074, 846.864846938058, 473.1010536821864, 624.063442028476, 570.1797892635626, 1074.025830374765, 751.2808429457489, 866.9811941731448, 790.6404214728743, 765.9811941731447, 1005.4829503101222, 876.1421776098521, 903.5205619638327, 938.4418263824566, 856.9024585917684]","[33, 33, 207, 263, 367, 452, 538, 617, 662, 791, 822, 921, 921, 1081, 1161, 1264, 1349, 1427, 1547, 1684, 1741, 1836]","[137, 207, 662, 662, 662, 617, 578, 662, 921, 822, 921, 939, 1925, 1117, 1427, 1427, 1427, 1925, 1684, 1741, 1925, 1925]",0.05,30,82238169.0440914,732.7245095405125,-732.7245095405125,DWT,uiug.30112070958894,2.2737367544323206e-13,2.2737367544323206e-13,348.2754904594875,0.8181818181818182,70.0,0.5,38.5,1.874486166286033,41.23869565829227,2.2722018099246433,348.2754904594875,1.0,88,232592246.9559086,0.0,0.0,1.1368683772161603e-13,0.0,8.118697791144262e-14,8.698884931471475e-27,0.9622896798457063,0.9606009549673528,0.001713221820586204,0.7369617678147623,0.003793510010323276,,7.23908112354758e-14,1.2094565298074346e-13,0.9999999949796707,0.9999999908299001,0.9999999949796818,7.037879818661332e-14,0.9999999947877192,1.0,0.9999999999999999,0.9999999962862143,0.9999999962862143,2.199999989141151,0.9999999930646492,165,1.3548330074314519,0.8271652708858174,60,0,0,0.7272727243772421,0.9999999944833321,156,0,0,0.38076559063697324,0.7715255446747358,62,57.56952318718646,0.9396545878541023,110.75,88.36544850498339,0.9117822205517891,5,db,287.7573099415205,251.5,227.08866882664552,342,0.3034347732248019,1.0,0.4875956587426386,2,4.25,5
db25,1,reflect,3.833919776384152e-27,325.2649815056358,8640345.333713999,0.6761133603238867,184.7108365024927,1927,raw,4.469629993917501e-14,,9.69459575802474,42388.49573748864,0.6066589869551147,4.844406472127047e-06,1.0,22,767.125513833714,473.1010536821864,1074.025830374765,"[36, 155, 233, 299, 396, 490, 555, 631, 731, 806, 871, 936, 1004, 1093, 1178, 1270, 1366, 1469, 1578, 1692, 1767, 1871]","[582.0529052066108, 684.6885699484499, 817.4418263824566, 799.8425288372475, 780.2620371188937, 625.7226693282057, 522.9811941731446, 720.1609834367074, 846.864846938058, 473.1010536821864, 624.063442028476, 570.1797892635626, 1074.025830374765, 751.2808429457489, 866.9811941731448, 790.6404214728743, 765.9811941731447, 1005.4829503101222, 876.1421776098521, 903.5205619638327, 938.4418263824566, 856.9024585917684]","[33, 33, 207, 263, 367, 452, 538, 617, 662, 791, 822, 921, 921, 1081, 1161, 1264, 1349, 1427, 1547, 1684, 1741, 1836]","[137, 207, 662, 662, 662, 617, 578, 662, 921, 822, 921, 939, 1925, 1117, 1427, 1427, 1427, 1925, 1684, 1741, 1925, 1925]",0.05,30,82238169.0440914,732.7245095405125,-732.7245095405125,DWT,uiug.30112070958894,2.2737367544323206e-13,2.2737367544323206e-13,348.2754904594875,0.8181818181818182,70.0,0.5,38.5,1.874486166286033,41.23869565829227,2.2722018099246433,348.2754904594875,1.0,88,232592246.9559086,0.0,0.0,1.1368683772161603e-13,0.0,8.1677850084631e-14,8.776841951739362e-27,0.9621600115111867,0.9815934386568407,0.00035863317366908125,0.7472802558853014,0.0013275785185475866,,7.23908112354758e-14,1.2094565298074346e-13,0.9999999949796707,0.9999999908299001,0.9999999949796818,7.037879818661332e-14,0.9999999947877192,1.0,0.9999999999999999,0.9999999962862143,0.9999999962862143,2.199999989141151,0.9999999930646492,163,1.367715176583531,0.835030212821708,52,0,0,0.7272727243772421,0.9999999944833321,159,0,0,0.38467427396366105,0.7794455067373242,50,63.53476738500478,0.933401711336473,106.0,77.43677052024083,0.9111453001126809,6,db,287.7573099415205,251.5,227.08866882664552,342,0.3034347732248019,1.0,0.4875956587426386,2,5.0,6
db25,1,constant,3.790984783265532e-27,325.31389130515765,8645154.712882785,0.6796558704453441,184.34416836917157,1927,raw,4.4358911976943306e-14,,9.680306078822781,42337.149613636444,0.6132650237083102,4.844406472127047e-06,1.0,22,767.125513833714,473.1010536821864,1074.025830374765,"[36, 155, 233, 299, 396, 490, 555, 631, 731, 806, 871, 936, 1004, 1093, 1178, 1270, 1366, 1469, 1578, 1692, 1767, 1871]","[582.0529052066108, 684.6885699484499, 817.4418263824566, 799.8425288372475, 780.2620371188937, 625.7226693282057, 522.9811941731446, 720.1609834367074, 846.864846938058, 473.1010536821864, 624.063442028476, 570.1797892635626, 1074.025830374765, 751.2808429457489, 866.9811941731448, 790.6404214728743, 765.9811941731447, 1005.4829503101222, 876.1421776098521, 903.5205619638327, 938.4418263824566, 856.9024585917684]","[33, 33, 207, 263, 367, 452, 538, 617, 662, 791, 822, 921, 921, 1081, 1161, 1264, 1349, 1427, 1547, 1684, 1741, 1836]","[137, 207, 662, 662, 662, 617, 578, 662, 921, 822, 921, 939, 1925, 1117, 1427, 1427, 1427, 1925, 1684, 1741, 1925, 1925]",0.05,30,82238169.0440914,732.7245095405125,-732.7245095405125,DWT,uiug.30112070958894,2.2737367544323206e-13,2.2737367544323206e-13,348.2754904594875,0.8181818181818182,70.0,0.5,38.5,1.874486166286033,41.23869565829227,2.2722018099246433,348.2754904594875,1.0,88,232592246.9559086,0.0,0.0,1.1368683772161603e-13,0.0,8.090345691485967e-14,8.66825540948352e-27,0.962340914688278,0.9787569492316018,0.0003666453964984975,0.8195096723790642,0.0012904812826134134,,7.23908112354758e-14,1.2094565298074346e-13,0.9999999949796707,0.9999999908299001,0.9999999949796818,7.037879818661332e-14,0.9999999947877192,1.0,0.9999999999999999,0.9999999962862143,0.9999999962862143,2.199999989141151,0.9999999930646492,161,1.3952864075917126,0.8518632576622486,30,0,0,0.7272727243772421,0.9999999944833321,158,0,0,0.39460923756830535,0.7995762076065234,29,75.06663706334525,0.9213137976275207,94.5,49.77824662106691,0.9111285969269679,7,db,287.7573099415205,251.5,227.08866882664552,342,0.3034347732248019,1.0,0.4875956587426386,2,5.75,7
db29,1,zero,4.225095205500813e-27,324.84304672218974,8497017.384574678,0.671875,176.90747762334854,1927,raw,4.694716621452808e-14,,9.67847484852567,41450.308301289304,0.6003252634956441,4.844406472127047e-06,1.0,22,767.125513833714,473.10105368218643,1074.025830374765,"[36, 155, 233, 299, 396, 490, 555, 631, 731, 806, 871, 936, 1004, 1093, 1178, 1270, 1366, 1469, 1578, 1692, 1767, 1871]","[582.0529052066111, 684.68856994845, 817.4418263824564, 799.8425288372474, 780.2620371188941, 625.7226693282057, 522.9811941731448, 720.1609834367073, 846.8648469380577, 473.10105368218643, 624.0634420284757, 570.1797892635625, 1074.025830374765, 751.2808429457491, 866.9811941731446, 790.6404214728747, 765.9811941731447, 1005.482950310122, 876.1421776098518, 903.5205619638326, 938.4418263824564, 856.9024585917684]","[33, 33, 207, 263, 367, 452, 538, 617, 662, 791, 822, 921, 921, 1081, 1161, 1264, 1349, 1427, 1547, 1684, 1741, 1836]","[137, 207, 662, 662, 662, 617, 578, 662, 921, 822, 921, 939, 1925, 1117, 1427, 1427, 1427, 1925, 1684, 1741, 1925, 1925]",0.05,30,82238169.04409139,732.7245095405125,-732.7245095405125,DWT,uiug.30112070958894,2.2737367544323206e-13,2.2737367544323206e-13,348.2754904594875,0.8181818181818182,70.0,0.5,38.5,1.874486166286033,41.23869565829227,2.272201809924656,348.2754904594875,1.0,88,232592246.9559086,0.0,0.0,5.684341886080802e-14,0.0,8.684417391602184e-14,9.766160551275892e-27,0.9605993970004577,0.9783934515421492,0.00011985485615968562,0.6608629182945477,0.0006497442818027034,,3.61954056177379e-14,1.2094565298074346e-13,0.9999999949796707,0.9999999908299176,0.9999999949796818,7.037879818661332e-14,0.9999999947877192,1.0,0.9999999999999999,0.9999999962862143,0.9999999962862143,2.199999989141145,0.9999999930646465,171,1.3302213564299954,0.8121391364058476,118,0,0,0.7272727243772404,0.9999999944833299,169,0,0,0.37151790942502916,0.7527874484300415,115,30.923292192132454,0.9675856475973454,143.25,138.2392535577069,0.9087142074464715,8,db,287.7573099415205,251.5,227.08866882664552,342,0.3034347732248019,1.0,0.4875956587426386,2,6.5,8
db29,1,reflect,4.253998545071246e-27,324.8134383468778,8649737.38786676,0.6834677419354839,186.3244909007656,1927,raw,4.710111099510921e-14,,9.715236051663515,42351.667282155024,0.5999025114147347,4.844406472127047e-06,1.0,22,767.125513833714,473.10105368218643,1074.025830374765,"[36, 155, 233, 299, 396, 490, 555, 631, 731, 806, 871, 936, 1004, 1093, 1178, 1270, 1366, 1469, 1578, 1692, 1767, 1871]","[582.0529052066111, 684.6885699484499, 817.4418263824564, 799.8425288372474, 780.2620371188941, 625.7226693282057, 522.9811941731448, 720.1609834367073, 846.8648469380577, 473.10105368218643, 624.0634420284757, 570.1797892635625, 1074.025830374765, 751.2808429457491, 866.9811941731446, 790.6404214728747, 765.9811941731447, 1005.482950310122, 876.1421776098518, 903.5205619638326, 938.4418263824564, 856.9024585917684]","[33, 33, 207, 263, 367, 452, 538, 617, 662, 791, 822, 921, 921, 1081, 1161, 1264, 1349, 1427, 1547, 1684, 1741, 1836]","[137, 207, 662, 662, 662, 617, 578, 662, 921, 822, 921, 939, 1925, 1117, 1427, 1427, 1427, 1925, 1684, 1741, 1925, 1925]",0.05,30,82238169.04409139,732.7245095405125,-732.7245095405125,DWT,uiug.30112070958894,2.2737367544323206e-13,2.2737367544323206e-13,348.2754904594875,0.8181818181818182,70.0,0.5,38.5,1.874486166286033,41.23869565829227,2.2722018099246615,348.2754904594875,1.0,88,232592246.9559086,0.0,0.0,5.684341886080802e-14,0.0,8.719751724758416e-14,9.839259752548121e-27,0.9604898841990395,0.985690519760816,0.000374279939718691,0.8972311873619846,0.0013009702023962998,,3.61954056177379e-14,1.2094565298074346e-13,0.9999999949796707,0.9999999908299249,0.9999999949796818,7.037879818661332e-14,0.9999999947877192,1.0,0.9999999999999999,0.9999999962862143,0.9999999962862143,2.1999999891411472,0.9999999930646475,167,1.4287391933954698,0.87228716413594,19,0,0,0.727272724377241,0.9999999944833307,164,0,0,0.4064409773520061,0.8235502475553503,19,84.59068112583876,0.9113305229288902,92.25,34.08643248996971,0.9073162048606715,9,db,287.7573099415205,251.5,227.08866882664552,342,0.3034347732248019,1.0,0.4875956587426386,2,7.25,9
db29,1,constant,4.246407140490853e-27,324.8211954025234,8646785.184782362,0.688508064516129,186.01922975297518,1927,raw,4.7158264147181264e-14,,9.703821832259255,42271.945345962304,0.608478673207821,4.844406472127047e-06,1.0,22,767.125513833714,473.10105368218643,1074.025830374765,"[36, 155, 233, 299, 396, 490, 555, 631, 731, 806, 871, 936, 1004, 1093, 1178, 1270, 1366, 1469, 1578, 1692, 1767, 1871]","[582.0529052066111, 684.6885699484499, 817.4418263824564, 799.8425288372474, 780.2620371188941, 625.7226693282057, 522.9811941731448, 720.1609834367073, 846.8648469380577, 473.10105368218643, 624.0634420284757, 570.1797892635625, 1074.025830374765, 751.2808429457491, 866.9811941731446, 790.6404214728747, 765.9811941731447, 1005.482950310122, 876.1421776098518, 903.5205619638326, 938.4418263824564, 856.9024585917684]","[33, 33, 207, 263, 367, 452, 538, 617, 662, 791, 822, 921, 921, 1081, 1161, 1264, 1349, 1427, 1547, 1684, 1741, 1836]","[137, 207, 662, 662, 662, 617, 578, 662, 921, 822, 921, 939, 1925, 1117, 1427, 1427, 1427, 1925, 1684, 1741, 1925, 1925]",0.05,30,82238169.04409139,732.7245095405125,-732.7245095405125,DWT,uiug.30112070958894,2.2737367544323206e-13,2.2737367544323206e-13,348.2754904594875,0.8181818181818182,70.0,0.5,38.5,1.874486166286033,41.23869565829227,2.2722018099246615,348.2754904594875,1.0,88,232592246.9559086,0.0,0.0,5.684341886080802e-14,0.0,8.732869860421212e-14,9.820060392902885e-27,0.9605185753003094,0.9834248067115613,0.00036936169390779615,1.0,0.0012433716291411203,,3.61954056177379e-14,1.2094565298074346e-13,0.9999999949796707,0.9999999908299249,0.9999999949796818,7.037879818661332e-14,0.9999999947877192,1.0,0.9999999999999999,0.9999999962862143,0.9999999962862143,2.1999999891411472,0.9999999930646475,166,1.4687055780346026,0.896687813658813,12,0,0,0.727272724377241,0.9999999944833307,165,0,0,0.4207937307621439,0.8526324865092803,14,88.05064830350011,0.907703722952306,89.25,23.974116506978852,0.9070751319164045,10,db,287.7573099415205,251.5,227.08866882664552,342,0.3034347732248019,1.0,0.4875956587426386,2,8.0,10
