signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,scales_used,emd_value,kl_divergence,is_complex,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,dynamic_cutoff,dominant_frequency,amplitude_max,num_fft_peaks,positive_frequencies,positive_amplitudes,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,max_autocorrelation,upper_envelope,lower_envelope,spectral_magnitude,spectral_centroid,spectral_bandwidth,frequency_max,wavelet_type,htid,max_autocorrelation_diff,frequency_max_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_num_peaks_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,spectral_centroid_diff,lower_envelope_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,spectral_bandwidth_diff,spectral_magnitude_diff,avg_prominence_diff,num_fft_peaks_diff,amplitude_max_diff,prominence_min_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,prominence_max_diff,upper_envelope_diff,dominant_frequency_diff,dynamic_cutoff_diff,emd_value_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,spectral_centroid_diff_normalized,dynamic_cutoff_diff_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,amplitude_max_diff_normalized,frequency_max_diff_normalized,spectral_bandwidth_diff_normalized,num_fft_peaks_diff_normalized,relative_num_peaks_diff_normalized,dominant_frequency_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,across_emd_value_normalized,across_smoothness_normalized,across_wavelet_psnr_normalized,across_wavelet_entropy_normalized,across_wavelet_energy_entropy_normalized,across_wavelet_sparsity_normalized,across_correlation_normalized,across_avg_variance_across_levels_normalized,across_kl_divergence_normalized,across_prominence_min_diff_normalized,across_avg_prominence_diff_normalized,across_relative_prominences_avg_diff_normalized,across_relative_prominences_wasserstein_normalized,across_spectral_centroid_diff_normalized,across_dynamic_cutoff_diff_normalized,across_relative_prominences_total_diff_normalized,across_prominence_max_diff_normalized,across_amplitude_max_diff_normalized,across_frequency_max_diff_normalized,across_spectral_bandwidth_diff_normalized,across_num_fft_peaks_diff_normalized,across_relative_num_peaks_diff_normalized,across_dominant_frequency_diff_normalized,across_max_autocorrelation_diff_normalized,across_relative_right_bases_global_alignment_score_normalized,across_relative_left_bases_global_alignment_score_normalized,across_upper_envelope_diff_normalized,across_lower_envelope_diff_normalized,across_relative_peaks_global_alignment_score_normalized,across_reconstruction_weighted_score,across_reconstruction_normalized_weighted_score,across_reconstruction_normalized_weighted_rank,across_signal_weighted_score,across_signal_normalized_weighted_score,across_signal_normalized_weighted_rank,across_rank_variability,across_normalized_rank_stability,across_average_rank,across_harmonic_average_rank,across_stability_score_weighted,across_stability_rank,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,across_normalized_family_mean_rank,across_normalized_family_std_dev,across_final_family_stability_score,across_final_family_stability_rank,across_family_informed_rank,across_top_wavelet_rank
raw,morl,2198522322.032925,0.6541703343743595,525.5007341576373,-30.652726081553347,653,127,33629.33652790466,,False,15.071975573387853,394911.1425884609,0.02601574297482656,2.669684569383664e-08,0.5039338509186466,5883.94087797209,,,,[],[],12,90798.07206285372,36800.28613076294,142110.04131112655,"[24, 57, 121, 174, 233, 298, 351, 403, 461, 524, 583, 635]","[142110.04131112655, 36800.28613076294, 79289.72117981821, 101316.00542831121, 59012.42258092078, 128481.87632849702, 88059.36983927454, 102774.58307613837, 104440.82012726803, 77089.12536331726, 48580.21953827083, 121622.39385053907]","[0, 46, 91, 140, 208, 140, 320, 320, 320, 488, 543, 140]","[140, 140, 140, 261, 261, 320, 373, 432, 488, 543, 596, 652]",1156517223805.049,124643.71273920295,-124643.71273920295,0.0,,,,CWT,mdp.39015056038253,1156204283848.049,,0.0,-59.0,80.0,0.0,-54.5,,123415.71273920295,90232.05032372329,1037502.8647542447,90232.0503237233,,0.0,90232.05032372329,,,36799.28613076294,0.0,-68.0,140890.04131112655,123415.71273920295,,5207.94087797209,0.0,1.0,0.9439418957849202,0.0,0.8186046511627908,1.0,0.0,,1.0,0.6387721794428196,0.6387721794428196,0.6387721794428202,,0.03431489354322838,1.0,0.0003180412927213383,,,,,0.0,,0.0,1.0,0.9999999999999999,0.0,0.0,1.0,1.7922114289165127,0.5669864937186516,3,1.7994128083575762,1.0,1,0,0.49649639094031506,0.8026760682075228,2,0,0.5375066495639588,0.9901856326510297,2,0.816496580927726,0.9183503419072274,2.0,1.7142857142857144,0.8591751709536137,1,morl,0.16,,,3,1.5,0.003060044374566695,0.0,1.0,0.9443275359981513,0.006523078683615749,0.8160957765214509,0.8141066360585703,0.007464237392585296,,1.0,0.6387721794428197,0.6387721794428197,0.6387721794428199,,0.03413276129775476,1.0,0.010511647463132934,,,,,0.7391304347826086,,0.0011086707020994124,1.0,1.0,0.009105268939162747,0.009105268939162747,1.0,2.0970657827187402,0.6632437815670342,5,1.731409980642296,0.9464922275048742,3,1.4142135623730951,0.9292893218813453,4.0,3.75,0.8646446609406726,1,4.5,4.5,4.949747468305833,2,0.4,0.8108168543989819,0.4767549436803054,1,1.0,1
raw,gaus8,2927617789.423311,0.6555570293376421,619.1317753548961,-32.85246293937519,653,127,42820.607122874455,,False,15.125327992787893,521341.55834432563,0.018849177071735328,3.037346665430652e-07,0.40164717498390345,8947.74357311235,,,,[],[],11,90174.76890772308,32852.610696977805,172743.82357752274,"[29, 115, 185, 233, 294, 354, 406, 461, 528, 586, 635]","[172743.82357752274, 40118.39735795426, 73606.06981468771, 61389.885351777746, 127309.96330584644, 70852.71258620909, 126475.10491272982, 88435.37324863605, 60720.27800745609, 32852.610696977805, 137418.23912515605]","[0, 92, 139, 206, 139, 320, 139, 432, 488, 488, 139]","[139, 139, 261, 261, 320, 373, 488, 488, 543, 596, 652]",1913740361221.7327,145580.08624499073,-145580.08624499073,0.0,,,,CWT,mdp.39015056038253,1913427421264.7327,,0.0,-68.5,81.0,0.0,-68.5,,144352.08624499073,89608.74716859264,939848.4579849538,89608.74716859263,,0.0,89608.74716859264,,,32851.610696977805,0.0,-82.0,171523.82357752274,144352.08624499073,,8271.74357311235,0.09608470000089447,0.8357364512598755,1.0,0.040823269655179684,0.8391771019677993,0.8103500155181174,0.04169770021175599,,0.8610528198292502,0.629303115655487,0.629303115655487,0.629303115655487,,0.05750823891247754,0.8604081176805138,0.1502183776193691,,,,,0.16666666666666663,,0.031830187587947034,0.6724137931034482,0.3,0.04593629500030272,0.04593629500030272,0.5942028985507246,1.6757942546261446,0.5301565949720324,5,1.7271688426628526,0.9598513663128447,2,0,0.40529164549410474,0.6552271283713568,4,0,0.5234098912305176,0.964216823558062,3,1.2909944487358056,0.8709005551264195,3.5,3.116883116883117,0.7604502775632098,3,gaus,1.0,1.0,0.0,1,2.5,0.0988507209297415,0.07408208224583993,0.8526518546213049,1.0,0.04703483777746447,0.835217825074826,0.6628390627042282,0.04882612901644561,,0.8610528198292502,0.6293031156554871,0.6293031156554871,0.6293031156554869,,0.05720300396622401,0.8615610931797936,0.15888347266680106,,,,,0.7826086956521738,,0.032797510995274316,0.6724137931034483,0.29999999999999993,0.054623301619418974,0.054623301619418974,0.5942028985507247,1.9308859483718868,0.6106857060595036,6,1.7057415793323896,0.9324603444708571,5,0.7071067811865476,0.9646446609406726,5.5,5.454545454545454,0.8448223304703363,2,11.25,12.5,6.104643041707408,16,1.0,1.0,0.0,3,2.25,2
smoothed,gaus2,7812901244.441057,0.6466821815726327,774.1699891130318,-40.913575897437894,653,127,87112.25864334189,,False,14.786427637810412,875687.645496571,0.015102142477531494,3.193437701715314e-06,0.31048494575730357,59468.39599014242,,,,[],[],9,87322.6560310292,22102.62008979988,318236.8476592725,"[65, 170, 231, 295, 355, 416, 462, 529, 615]","[318236.8476592725, 34215.574194729845, 25747.70815484902, 44824.3772822692, 30498.451850292746, 54945.923412113305, 75207.62934515403, 22102.62008979988, 180124.77229078222]","[0, 143, 208, 262, 319, 319, 319, 319, 319]","[319, 319, 319, 319, 373, 431, 489, 541, 652]",8610123128620.143,278532.53402338375,-278532.53402338375,0.0,,,,CWT,mdp.39015056038253,8609840562522.862,,0.0,-61.5,66.0,0.0,-57.0,,277502.9340233838,87075.28269769586,767350.9042792628,87075.28269769587,,0.0,87075.28269769586,,,22101.420089799878,0.0,-70.5,317207.2476592725,277502.9340233838,,58790.995990142415,0.5608124371072993,0.34566723456752774,0.6684974999988043,0.3184827280561109,0.712836714333223,0.5280229777091727,0.16475095902279058,,0.5782600567004005,0.7868603861936186,0.7868603861936186,0.7868603861936186,,0.43759965131858586,0.6352981808551115,0.8684643719991821,,,,,0.6000000000000001,,0.31303401736298264,0.894736842105263,0.39999999999999997,0.34505686499947347,0.34505686499947347,0.962962962962963,2.708939498155216,0.8114061172370661,2,1.4313784463262387,0.8281855189403727,6,0,0.6243607837060211,0.8881855653672545,2,0,0.4712957929707041,0.8655388148729815,6,2.309401076758503,0.7690598923241497,4.0,2.9999999999999996,0.6845299461620749,3,gaus,1.0,1.0,0.0,1,2.5,0.560454720186773,0.8468112975618574,0.31268270338616805,0.6463624700647913,0.3184827280561109,0.712836714333223,0.5280229777091726,0.16475095902279058,,0.48267605197697366,0.5908153645822006,0.5908153645822006,0.5908153645822009,,0.43760981493326623,0.6170214604667178,0.8644873496206509,,,,,0.13043478260869562,,0.3130340173629826,0.9137931034482758,0.875,0.3441082326608546,0.3441082326608546,0.9275362318840581,2.3468167277383403,0.7422330829946645,4,1.6544562868428156,0.904424736920132,7,2.1213203435596424,0.8939339828220179,5.5,5.090909090909091,0.8094669914110089,3,11.25,12.5,6.104643041707408,16,1.0,1.0,0.0,3,3.0,3
smoothed,gaus4,4037699952.157604,0.6675067224560176,648.4068477905805,-37.169287544451414,653,127,54426.925928952915,,False,14.843837550236682,659677.3924044954,0.015195526108850515,2.3399434548132026e-06,0.38457669981626924,5627.937370625729,,,,[],[],10,87945.15479127706,22550.59680160538,235057.53142260542,"[58, 185, 234, 295, 354, 405, 458, 529, 587, 633]","[235057.53142260542, 57792.14610347753, 48898.40543304304, 98755.82484104147, 47767.15109207692, 129231.04532016843, 58398.057290445395, 31880.50538498661, 22550.59680160538, 149120.28422332037]","[0, 140, 206, 140, 319, 319, 432, 489, 319, 319]","[319, 206, 262, 319, 373, 489, 489, 541, 596, 652]",3635866625329.218,183473.56284794124,-183473.56284794124,0.0,,,,CWT,mdp.39015056038253,3635584059231.938,,0.0,-61.0,65.0,0.0,-56.5,,182443.96284794123,87697.78145794373,860898.5479127706,87697.78145794373,,0.0,87697.78145794373,,,22549.39680160538,0.0,-70.0,234027.9314226054,182443.96284794123,,4950.53737062573,0.21995113092583024,0.6229338533065064,0.7304554250064504,0.10871589761457198,1.0,0.6375942365231431,0.09408289529285999,,0.5995583377432606,0.8000174823331111,0.8000174823331111,0.8000174823331108,,0.032177038635492906,0.7718434035392121,0.4637398413320217,,,,,0.4,,0.1048676102351809,0.9473684210526315,0.6,0.13781821977303135,0.13781821977303135,1.0,2.156061312308208,0.6458030307197423,3,1.5520021652985654,0.8979775558052657,3,0,0.5425173956487999,0.7717591052335866,3,0,0.4876762055241947,0.8956215847176087,4,0.5,0.95,3.25,3.2,0.8125,1,gaus,1.0,1.0,0.0,1,1.0,0.2198108340350785,0.618580253867054,0.5634917683949294,0.7062688682908174,0.10871589761457198,1.0,0.6375942365231431,0.09408289529285999,,0.49844358452405974,0.60027220820605,0.60027220820605,0.60027220820605,,0.032194528986772414,0.7496384508174453,0.4616162035798495,,,,,0.08695652173913043,,0.10486761023518087,0.9310344827586207,0.8999999999999999,0.13743932912227502,0.13743932912227502,0.9420289855072465,1.8252040452741607,0.5772614493521795,8,1.6897756230866934,0.9237323980802348,6,1.4142135623730951,0.9292893218813453,7.0,6.857142857142858,0.7896446609406726,4,11.25,12.5,6.104643041707408,16,1.0,1.0,0.0,3,3.75,4
raw,gaus6,3287962554.7454247,0.6445719935850285,620.9877197767811,-34.05198973409054,653,127,47203.730006119455,,False,15.053460967040273,572989.7602999525,0.015417225789610687,3.567302930120722e-07,0.3502236682701586,9123.050774768424,,,,[],[],11,85774.388886603,19035.519544689923,192610.78943614606,"[29, 111, 186, 233, 288, 354, 406, 456, 528, 587, 635]","[192610.78943614606, 19035.519544689923, 61140.824597674335, 57133.91311055345, 120682.447424896, 62005.02551775647, 140783.9670495731, 71901.27006094056, 48392.070917413366, 27188.20805978455, 142644.24203320523]","[0, 94, 139, 139, 139, 320, 139, 432, 488, 139, 139]","[139, 139, 206, 261, 320, 373, 488, 488, 541, 596, 652]",2520302972263.327,155987.21063225972,-155987.21063225972,0.0,,,,CWT,mdp.39015056038253,2519990032306.327,,0.0,-73.0,81.0,0.0,-77.5,,154759.21063225972,85208.36714747257,891444.277752633,85208.36714747257,,0.0,85208.36714747257,,,19034.519544689923,0.0,-82.0,191390.78943614606,154759.21063225972,,8447.050774768424,0.14190546470932763,0.7461627700224222,0.9244883500262618,0.06099957328278205,0.6762075134168146,0.7150055616961203,0.05873166493255979,,0.3747296947460369,0.5624536560217456,0.5624536560217456,0.5624536560217458,,0.05883533496868745,0.7912168660586144,0.24743343379819627,,,,,0.16666666666666663,,0.057327297672506786,0.5172413793103449,0.3,0.06877046615350046,0.06877046615350046,0.33333333333333337,1.4385993228181526,0.4551172773202349,6,1.5629911590989716,0.8686117781531189,3,0,0.333691850494759,0.539473130994469,6,0,0.47478584258375545,0.8746424259010158,5,1.4142135623730951,0.8585786437626906,5.0,4.615384615384615,0.6792893218813453,5,gaus,1.0,1.0,0.0,1,4.0,0.14453127206489028,0.08825352767055483,0.7723022219346152,0.9250078169116489,0.06705718186871154,0.683737944795477,0.5867909459492996,0.06572291227136261,,0.3747296947460369,0.5624536560217457,0.5624536560217457,0.5624536560217457,,0.058523056230082596,0.7929413348034826,0.25510724157882303,,,,,0.7826086956521738,,0.05818139687953673,0.5172413793103448,0.29999999999999993,0.07724956150326395,0.07724956150326395,0.33333333333333337,1.693337821049221,0.5355558176373132,10,1.5637499936780386,0.85483925316637,10,0.0,1.0,10.0,10.0,0.75,5,11.25,12.5,6.104643041707408,16,1.0,1.0,0.0,3,4.5,5
smoothed,mexh,14011752696.696648,0.5949886049848669,1006.2490890381754,-43.65401682746967,653,127,129226.13709432448,,False,14.986046765017159,1099467.0025629208,0.012543116398002133,1.4196091374729213e-06,0.240011815591426,134155.6279143576,,,,[],[],7,97406.8831239612,13196.731365632793,345270.15740166215,"[68, 287, 356, 417, 463, 530, 582]","[345270.15740166215, 22846.506131840775, 13196.731365632793, 28897.46800744375, 37668.871772260114, 16669.252143617603, 217299.19504527125]","[0, 263, 318, 318, 318, 318, 318]","[318, 318, 372, 430, 487, 541, 652]",16161800100762.037,325702.44198067085,-325702.44198067085,0.0,,,,CWT,mdp.39015056038253,16161517534664.758,,0.0,-62.5,68.0,0.0,-58.0,,324672.84198067087,97159.50979062787,663295.1818677285,97159.50979062788,,0.0,97159.50979062787,,,13195.531365632793,0.0,-71.5,344240.55740166217,324672.84198067087,,133478.22791435762,1.0,0.14273607144870382,0.8839304520948622,0.6629182484018573,0.0,0.42380315348027664,0.2379606962470087,,0.15484491929454558,1.0000000000000002,1.0000000000000002,1.0000000000000002,,1.0,0.4834150201856465,1.0,,,,,1.0,,0.6290622443031314,0.7894736842105262,0.0,0.4478922702184343,0.4478922702184343,0.888888888888889,3.3385741623189578,1.0,1,1.4237715330084961,0.8237842123049693,7,0,0.7029620926656865,1.0,1,0,0.478764088810387,0.8792544050110876,5,3.0,0.7,3.5,1.7073170731707317,0.675,5,mexh,0.8695652173913043,,,2,4.25,0.9993621451721515,0.37247565204094724,0.12911579758822367,0.8546620898096772,0.6629182484018573,0.0,0.4238031534802766,0.23796069624700872,,0.16921357364171835,0.7440123904642626,0.7440123904642626,0.7440123904642628,,1.0,0.46950778509237034,0.9954206269056538,,,,,0.21739130434782605,,0.6290622443031314,0.8793103448275862,0.825,0.4466609221861403,0.4466609221861403,0.8985507246376812,2.883132621684811,0.9118549348921305,2,1.5125165267135452,0.826831976546634,12,7.0710678118654755,0.6464466094067263,7.0,3.4285714285714284,0.6482233047033632,10,10.5,10.5,0.7071067811865476,2,0.9333333333333333,0.11583097919985455,0.3119173729067103,2,8.0,6
raw,gaus1,20058323203.9517,0.6563890463156118,671.89095599407,-44.044235486369416,653,127,124343.63861213936,,False,14.173593713738045,3426982.8183356947,0.021537632728105605,3.981452674708841e-07,-0.035410648445204605,16602.598224803878,,,,[],[],8,48750.756319873944,21311.606192794396,142045.04607528052,"[133, 200, 252, 309, 367, 425, 482, 537]","[40886.99200701153, 142045.04607528052, 29521.6134690628, 44850.21648302616, 27522.562302842467, 42191.15000965553, 41676.86401931814, 21311.606192794396]","[4, 4, 220, 279, 342, 384, 4, 4]","[155, 384, 384, 384, 384, 439, 497, 546]",24945982344752.61,580413.4587679112,-580413.4587679112,0.0,,,,CWT,mdp.39015056038253,24945669404795.61,,0.0,-88.0,84.0,0.0,-79.0,,579185.4587679112,48184.73458074351,337932.05055899156,48184.734580743505,,0.0,48184.73458074351,,,21310.606192794396,0.0,-88.0,140825.04607528052,579185.4587679112,,15926.598224803878,0.9483189958877336,0.0,0.0,1.0000000000000002,0.8515205724508047,0.0,1.0,,0.454841605383831,0.0,0.0,0.0,,0.1154563854983194,0.0,0.0,,,,,0.6666666666666665,,1.0,0.0,0.0,1.0,1.0,0.2898550724637681,1.4188183555237293,0.44885934306779635,7,1.5251039277466423,0.8475564476717764,5,0,0.3233442664294705,0.5227443928917764,7,0,0.5428342240483627,1.0,1,2.8284271247461903,0.717157287525381,5.0,2.692307692307692,0.6085786437626906,7,gaus,1.0,1.0,0.0,1,5.5,0.9484771420536393,0.0993282160819137,0.10297721856837971,0.006879294593187479,0.9988923679648963,0.8466910542068513,0.016492158168683047,0.999410829502215,,0.45484160538383106,0.0,0.0,0.0,,0.11484358071958431,0.008259617107540529,0.010196849189509472,,,,,0.9130434782608695,,0.9966680027235783,0.0,0.0,1.0,1.0,0.2898550724637681,1.524624912282357,0.4821966009013275,15,1.6240513866118356,0.8878036003502665,9,4.242640687119285,0.7878679656440357,12.0,11.250000000000002,0.5939339828220178,12,11.25,12.5,6.104643041707408,16,1.0,1.0,0.0,3,9.75,7
raw,gaus7,3149896297.9514117,0.6475986060701064,633.0382864034261,-33.69708512907722,653,127,44001.00045292209,,False,15.10205906890867,573180.4975735273,0.01651006422869102,2.4173677343242645e-07,0.0333232924891366,1.0,,,,[],[],11,83558.60288212774,14800.99687267287,193748.62043037036,"[42, 85, 129, 200, 252, 310, 367, 425, 482, 536, 592]","[14800.99687267287, 193748.62043037036, 41409.71851942857, 58796.27508042738, 61936.74739559113, 149627.47780605752, 55241.86683387313, 88167.6194323833, 165722.16653459362, 42165.275269104386, 47527.867528902796]","[4, 4, 106, 159, 159, 159, 342, 383, 159, 519, 575]","[47, 575, 159, 218, 277, 383, 383, 441, 575, 575, 603]",2301845372788.9873,196107.33589077776,-196107.33589077776,0.0,,,,CWT,mdp.39015056038253,2301532432831.9873,,0.0,-86.5,81.0,0.0,-82.0,,194879.33589077776,82992.58114299731,867070.6317034052,82992.58114299731,,0.0,82992.58114299731,,,14799.99687267287,0.0,-86.5,192528.62043037036,194879.33589077776,,675.0,0.10842442363635735,0.7726649808102278,0.9755510289043556,0.053269013591392037,0.7211091234347038,0.12743977367973874,0.058794571517222824,,0.22568629071883986,0.5287919958123452,0.5287919958123452,0.5287919958123454,,0.0,0.7563760099870731,0.25300118404313426,,,,,0.16666666666666663,,0.048144342176715524,0.05172413793103453,0.07500000000000001,0.1567976456846116,0.1567976456846116,0.2028985507246377,1.2550173004287666,0.39703901406127107,9,1.373473724277584,0.7632899565337815,8,0,0.2628191757895973,0.42489465486909356,9,0,0.402464702224857,0.7414136478414084,8,0.5773502691896257,0.9422649730810374,8.5,8.470588235294118,0.5461324865405187,8,gaus,1.0,1.0,0.0,1,6.25,0.11115268446330998,0.057503360241703425,0.7960753087695798,0.975719220579023,0.059385611842020326,0.7254738942467575,0.11813996671465327,0.06578531224364037,,0.22568629071883986,0.5287919958123452,0.5287919958123452,0.5287919958123453,,0.0,0.758388250862791,0.2606182183141886,,,,,0.7826086956521738,,0.049039219840163815,0.051724137931034586,0.07499999999999996,0.1644752298907884,0.1644752298907884,0.2028985507246377,1.5097272221105502,0.4774848744273238,17,1.4095540841657939,0.7705465486665128,16,0.7071067811865476,0.9646446609406726,16.5,16.484848484848484,0.5698223304703363,14,11.25,12.5,6.104643041707408,16,1.0,1.0,0.0,3,11.25,8
smoothed,gaus5,3574335503.442125,0.6465977740531285,605.5657403681462,-36.500054148930424,653,127,49933.83674948636,,False,14.936342286853346,643270.3511237999,0.014051864765798927,1.92915699983904e-06,0.05647021088403028,0.0,,,,[],[],10,80177.87431182808,29138.136369030235,213506.46131914237,"[84, 128, 200, 252, 309, 366, 425, 480, 535, 592]","[213506.46131914237, 38610.57065817551, 55749.34475531747, 54020.54575439338, 109338.66480197565, 45890.65109668783, 73890.24010526633, 151545.75127842024, 30088.37697987192, 29138.136369030235]","[5, 104, 160, 160, 160, 341, 383, 383, 519, 553]","[553, 553, 218, 278, 383, 383, 441, 553, 553, 602]",3091066750902.93,235281.7501414127,-235281.7501414127,0.0,,,,CWT,mdp.39015056038253,3090784184805.6504,,0.0,-70.0,65.0,0.0,-70.0,,234252.15014141268,79930.50097849475,783225.7431182809,79930.50097849476,,0.0,79930.50097849475,,,29136.936369030234,0.0,-70.0,212476.86131914236,234252.15014141268,,677.4,0.1730946323279568,0.6724909555460573,0.8302883857605379,0.08296932565163806,0.7116727635517125,0.15237099577322155,0.0887153082350847,,0.912751558262481,0.6358487119891801,0.6358487119891801,0.6358487119891801,,0.0,0.658469618639692,0.35887907632907234,,,,,0.4,,0.08206841755423101,0.0,0.6,0.25076556617888535,0.25076556617888535,0.0,1.7161040910020586,0.5140230552224908,7,1.2931554457561167,0.7482106613124194,9,0,0.3872318527936278,0.5508573745779303,7,0,0.38737176669231566,0.7114116121103619,9,1.1547005383792515,0.8845299461620748,8.0,7.875,0.5422649730810374,8,gaus,1.0,1.0,0.0,1,6.25,0.17298422308105177,0.5087327397276946,0.6083199937823731,0.8027961987700021,0.08296932565163805,0.7116727635517124,0.15237099577322155,0.0887153082350847,,0.7303066296273628,0.4822736489037319,0.4822736489037319,0.48227364890373214,,1.8071849891679315e-05,0.6395262854667068,0.35723563514280726,,,,,0.08695652173913043,,0.08206841755423099,0.6206896551724138,0.8999999999999999,0.25007616002697547,0.25007616002697547,0.5507246376811594,1.5895894436683013,0.5027430815216366,11,1.3934934743468752,0.7617668589728241,17,4.242640687119285,0.7878679656440357,14.0,13.357142857142858,0.5439339828220179,15,11.25,12.5,6.104643041707408,16,1.0,1.0,0.0,3,12.0,9
smoothed,gaus3,5230099851.359273,0.6456451749044386,729.5483071930646,-38.7921134970525,653,127,63126.36514432371,,False,14.777269494121056,931579.1316412598,0.018902764133924346,2.4043391532792185e-06,0.029568833565705183,3859.939750058422,,,,[],[],10,68379.00156183154,15361.660234698138,224285.75860985185,"[87, 129, 200, 251, 309, 365, 425, 480, 536, 593]","[25287.203667728507, 224285.75860985185, 48878.9828975478, 35428.79472084941, 68781.99466138132, 34723.52750941036, 64644.91750155599, 134157.73124721783, 32239.44456807425, 15361.660234698138]","[5, 5, 160, 219, 279, 341, 383, 383, 519, 551]","[101, 551, 551, 279, 551, 383, 441, 551, 551, 601]",5240487811971.32,313100.32126749516,-313100.32126749516,0.0,,,,CWT,mdp.39015056038253,5240205245874.04,,0.0,-70.0,65.0,0.0,-70.0,,312070.7212674952,68131.6282284982,665237.0156183154,68131.6282284982,,0.0,68131.6282284982,,,15360.460234698137,0.0,-70.0,223256.15860985185,312070.7212674952,,3182.5397500584218,0.3106738486631405,0.5027626959968201,0.6586138482750166,0.17497089386751466,0.6985367475889593,0.11258765126969394,0.18303593877858856,,0.25777273289744185,0.38646845129993795,0.38646845129993795,0.3864684512999376,,0.018863886538975267,0.4862493847039895,0.4113277647084203,,,,,0.4,,0.1720189979859827,0.0,0.6,0.420418309672843,0.420418309672843,0.0,1.357550766876998,0.4066259130017497,9,1.2093162783231965,0.6997019076937162,10,0,0.3104624814343078,0.44164896610144383,10,0,0.37731166063424776,0.6929361400079876,10,0.5,0.95,9.75,9.72972972972973,0.4875,10,gaus,1.0,1.0,0.0,1,7.75,0.3104756838488845,0.6358001677958238,0.4547876779316008,0.6368060819833713,0.17497089386751463,0.6985367475889593,0.11258765126969394,0.18303593877858856,,0.24541304005490686,0.3030281601416548,0.3030281601416548,0.30302816014165485,,0.01888161748354105,0.47226060854961527,0.40944414140975705,,,,,0.08695652173913043,,0.17201899798598264,0.6206896551724138,0.8999999999999999,0.41926249321255094,0.41926249321255094,0.5507246376811594,1.3473534378925551,0.4261305470812004,19,1.3603079852327125,0.7436256862502026,18,0.7071067811865476,0.9646446609406726,18.5,18.486486486486488,0.5198223304703362,17,11.25,12.5,6.104643041707408,16,1.0,1.0,0.0,3,13.5,10
