signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,scales_used,emd_value,kl_divergence,is_complex,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,dynamic_cutoff,dominant_frequency,amplitude_max,num_fft_peaks,positive_frequencies,positive_amplitudes,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,max_autocorrelation,upper_envelope,lower_envelope,spectral_magnitude,spectral_centroid,spectral_bandwidth,frequency_max,wavelet_type,htid,max_autocorrelation_diff,frequency_max_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_num_peaks_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,spectral_centroid_diff,lower_envelope_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,spectral_bandwidth_diff,spectral_magnitude_diff,avg_prominence_diff,num_fft_peaks_diff,amplitude_max_diff,prominence_min_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,prominence_max_diff,upper_envelope_diff,dominant_frequency_diff,dynamic_cutoff_diff,emd_value_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,spectral_centroid_diff_normalized,dynamic_cutoff_diff_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,amplitude_max_diff_normalized,frequency_max_diff_normalized,spectral_bandwidth_diff_normalized,num_fft_peaks_diff_normalized,relative_num_peaks_diff_normalized,dominant_frequency_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,across_emd_value_normalized,across_smoothness_normalized,across_wavelet_psnr_normalized,across_wavelet_entropy_normalized,across_wavelet_energy_entropy_normalized,across_wavelet_sparsity_normalized,across_correlation_normalized,across_avg_variance_across_levels_normalized,across_kl_divergence_normalized,across_prominence_min_diff_normalized,across_avg_prominence_diff_normalized,across_relative_prominences_avg_diff_normalized,across_relative_prominences_wasserstein_normalized,across_spectral_centroid_diff_normalized,across_dynamic_cutoff_diff_normalized,across_relative_prominences_total_diff_normalized,across_prominence_max_diff_normalized,across_amplitude_max_diff_normalized,across_frequency_max_diff_normalized,across_spectral_bandwidth_diff_normalized,across_num_fft_peaks_diff_normalized,across_relative_num_peaks_diff_normalized,across_dominant_frequency_diff_normalized,across_max_autocorrelation_diff_normalized,across_relative_right_bases_global_alignment_score_normalized,across_relative_left_bases_global_alignment_score_normalized,across_upper_envelope_diff_normalized,across_lower_envelope_diff_normalized,across_relative_peaks_global_alignment_score_normalized,across_reconstruction_weighted_score,across_reconstruction_normalized_weighted_score,across_reconstruction_normalized_weighted_rank,across_signal_weighted_score,across_signal_normalized_weighted_score,across_signal_normalized_weighted_rank,across_rank_variability,across_normalized_rank_stability,across_average_rank,across_harmonic_average_rank,across_stability_score_weighted,across_stability_rank,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,across_normalized_family_mean_rank,across_normalized_family_std_dev,across_final_family_stability_score,across_final_family_stability_rank,across_family_informed_rank
raw,morl,2198522322.032925,0.6541703343743595,525.5007341576373,-30.652726081553347,653,127,33629.33652790466,,False,15.071975573387853,394911.1425884609,0.02601574297482656,2.669684569383664e-08,0.5039338509186466,5883.94087797209,,,,[],[],12,90798.07206285372,36800.28613076294,142110.04131112655,"[24, 57, 121, 174, 233, 298, 351, 403, 461, 524, 583, 635]","[142110.04131112655, 36800.28613076294, 79289.72117981821, 101316.00542831121, 59012.42258092078, 128481.87632849702, 88059.36983927454, 102774.58307613837, 104440.82012726803, 77089.12536331726, 48580.21953827083, 121622.39385053907]","[0, 46, 91, 140, 208, 140, 320, 320, 320, 488, 543, 140]","[140, 140, 140, 261, 261, 320, 373, 432, 488, 543, 596, 652]",1156517223805.049,124643.71273920295,-124643.71273920295,0.0,,,,CWT,mdp.39015056038253,1156204283848.049,,0.0,-59.0,80.0,0.0,-54.5,,123415.71273920295,90232.05032372329,1037502.8647542447,90232.0503237233,,0.0,90232.05032372329,,,36799.28613076294,0.0,-68.0,140890.04131112655,123415.71273920295,,5207.94087797209,0.0,1.0,0.9439418957849202,0.0,0.8186046511627908,1.0,0.0,,1.0,0.6387721794428196,0.6387721794428196,0.6387721794428202,,0.03431489354322838,1.0,0.0003180412927213383,,,,,0.0,,0.0,1.0,0.9999999999999999,0.0,0.0,1.0,1.7922114289165127,0.5669864937186516,3,1.7994128083575762,1.0,1,0,0.49649639094031506,0.8026760682075228,2,0,0.5375066495639588,0.9901856326510297,2,0.816496580927726,0.9183503419072274,2.0,1.7142857142857144,0.8591751709536137,1,morl,0.16,,,3,1.5,0.003060044374566695,0.0,1.0,0.9443275359981513,0.006523078683615749,0.8160957765214509,0.8141066360585703,0.007464237392585296,,1.0,0.6387721794428197,0.6387721794428197,0.6387721794428199,,0.03413276129775476,1.0,0.010511647463132934,,,,,0.7391304347826086,,0.0011086707020994124,1.0,1.0,0.009105268939162747,0.009105268939162747,1.0,2.0970657827187402,0.6632437815670342,5,1.731409980642296,0.9464922275048742,3,1.4142135623730951,0.9292893218813453,4.0,3.75,0.8646446609406726,1,4.5,4.5,4.949747468305833,2,0.4,0.8108168543989819,0.4767549436803054,1,1.0
raw,gaus8,2927617789.423311,0.6555570293376421,619.1317753548961,-32.85246293937519,653,127,42820.607122874455,,False,15.125327992787893,521341.55834432563,0.018849177071735328,3.037346665430652e-07,0.40164717498390345,8947.74357311235,,,,[],[],11,90174.76890772308,32852.610696977805,172743.82357752274,"[29, 115, 185, 233, 294, 354, 406, 461, 528, 586, 635]","[172743.82357752274, 40118.39735795426, 73606.06981468771, 61389.885351777746, 127309.96330584644, 70852.71258620909, 126475.10491272982, 88435.37324863605, 60720.27800745609, 32852.610696977805, 137418.23912515605]","[0, 92, 139, 206, 139, 320, 139, 432, 488, 488, 139]","[139, 139, 261, 261, 320, 373, 488, 488, 543, 596, 652]",1913740361221.7327,145580.08624499073,-145580.08624499073,0.0,,,,CWT,mdp.39015056038253,1913427421264.7327,,0.0,-68.5,81.0,0.0,-68.5,,144352.08624499073,89608.74716859264,939848.4579849538,89608.74716859263,,0.0,89608.74716859264,,,32851.610696977805,0.0,-82.0,171523.82357752274,144352.08624499073,,8271.74357311235,0.09608470000089447,0.8357364512598755,1.0,0.040823269655179684,0.8391771019677993,0.8103500155181174,0.04169770021175599,,0.8610528198292502,0.629303115655487,0.629303115655487,0.629303115655487,,0.05750823891247754,0.8604081176805138,0.1502183776193691,,,,,0.16666666666666663,,0.031830187587947034,0.6724137931034482,0.3,0.04593629500030272,0.04593629500030272,0.5942028985507246,1.6757942546261446,0.5301565949720324,5,1.7271688426628526,0.9598513663128447,2,0,0.40529164549410474,0.6552271283713568,4,0,0.5234098912305176,0.964216823558062,3,1.2909944487358056,0.8709005551264195,3.5,3.116883116883117,0.7604502775632098,3,gaus,1.0,1.0,0.0,1,2.5,0.0988507209297415,0.07408208224583993,0.8526518546213049,1.0,0.04703483777746447,0.835217825074826,0.6628390627042282,0.04882612901644561,,0.8610528198292502,0.6293031156554871,0.6293031156554871,0.6293031156554869,,0.05720300396622401,0.8615610931797936,0.15888347266680106,,,,,0.7826086956521738,,0.032797510995274316,0.6724137931034483,0.29999999999999993,0.054623301619418974,0.054623301619418974,0.5942028985507247,1.9308859483718868,0.6106857060595036,6,1.7057415793323896,0.9324603444708571,5,0.7071067811865476,0.9646446609406726,5.5,5.454545454545454,0.8448223304703363,2,11.25,12.5,6.104643041707408,16,1.0,1.0,0.0,3,2.25
smoothed,gaus2,7812901244.441057,0.6466821815726327,774.1699891130318,-40.913575897437894,653,127,87112.25864334189,,False,14.786427637810412,875687.645496571,0.015102142477531494,3.193437701715314e-06,0.31048494575730357,59468.39599014242,,,,[],[],9,87322.6560310292,22102.62008979988,318236.8476592725,"[65, 170, 231, 295, 355, 416, 462, 529, 615]","[318236.8476592725, 34215.574194729845, 25747.70815484902, 44824.3772822692, 30498.451850292746, 54945.923412113305, 75207.62934515403, 22102.62008979988, 180124.77229078222]","[0, 143, 208, 262, 319, 319, 319, 319, 319]","[319, 319, 319, 319, 373, 431, 489, 541, 652]",8610123128620.143,278532.53402338375,-278532.53402338375,0.0,,,,CWT,mdp.39015056038253,8609840562522.862,,0.0,-61.5,66.0,0.0,-57.0,,277502.9340233838,87075.28269769586,767350.9042792628,87075.28269769587,,0.0,87075.28269769586,,,22101.420089799878,0.0,-70.5,317207.2476592725,277502.9340233838,,58790.995990142415,0.5608124371072993,0.34566723456752774,0.6684974999988043,0.3184827280561109,0.712836714333223,0.5280229777091727,0.16475095902279058,,0.5782600567004005,0.7868603861936186,0.7868603861936186,0.7868603861936186,,0.43759965131858586,0.6352981808551115,0.8684643719991821,,,,,0.6000000000000001,,0.31303401736298264,0.894736842105263,0.39999999999999997,0.34505686499947347,0.34505686499947347,0.962962962962963,2.708939498155216,0.8114061172370661,2,1.4313784463262387,0.8281855189403727,6,0,0.6243607837060211,0.8881855653672545,2,0,0.4712957929707041,0.8655388148729815,6,2.309401076758503,0.7690598923241497,4.0,2.9999999999999996,0.6845299461620749,3,gaus,1.0,1.0,0.0,1,2.5,0.560454720186773,0.8468112975618574,0.31268270338616805,0.6463624700647913,0.3184827280561109,0.712836714333223,0.5280229777091726,0.16475095902279058,,0.48267605197697366,0.5908153645822006,0.5908153645822006,0.5908153645822009,,0.43760981493326623,0.6170214604667178,0.8644873496206509,,,,,0.13043478260869562,,0.3130340173629826,0.9137931034482758,0.875,0.3441082326608546,0.3441082326608546,0.9275362318840581,2.3468167277383403,0.7422330829946645,4,1.6544562868428156,0.904424736920132,7,2.1213203435596424,0.8939339828220179,5.5,5.090909090909091,0.8094669914110089,3,11.25,12.5,6.104643041707408,16,1.0,1.0,0.0,3,3.0
smoothed,gaus4,4037699952.157604,0.6675067224560176,648.4068477905805,-37.169287544451414,653,127,54426.925928952915,,False,14.843837550236682,659677.3924044954,0.015195526108850515,2.3399434548132026e-06,0.38457669981626924,5627.937370625729,,,,[],[],10,87945.15479127706,22550.59680160538,235057.53142260542,"[58, 185, 234, 295, 354, 405, 458, 529, 587, 633]","[235057.53142260542, 57792.14610347753, 48898.40543304304, 98755.82484104147, 47767.15109207692, 129231.04532016843, 58398.057290445395, 31880.50538498661, 22550.59680160538, 149120.28422332037]","[0, 140, 206, 140, 319, 319, 432, 489, 319, 319]","[319, 206, 262, 319, 373, 489, 489, 541, 596, 652]",3635866625329.218,183473.56284794124,-183473.56284794124,0.0,,,,CWT,mdp.39015056038253,3635584059231.938,,0.0,-61.0,65.0,0.0,-56.5,,182443.96284794123,87697.78145794373,860898.5479127706,87697.78145794373,,0.0,87697.78145794373,,,22549.39680160538,0.0,-70.0,234027.9314226054,182443.96284794123,,4950.53737062573,0.21995113092583024,0.6229338533065064,0.7304554250064504,0.10871589761457198,1.0,0.6375942365231431,0.09408289529285999,,0.5995583377432606,0.8000174823331111,0.8000174823331111,0.8000174823331108,,0.032177038635492906,0.7718434035392121,0.4637398413320217,,,,,0.4,,0.1048676102351809,0.9473684210526315,0.6,0.13781821977303135,0.13781821977303135,1.0,2.156061312308208,0.6458030307197423,3,1.5520021652985654,0.8979775558052657,3,0,0.5425173956487999,0.7717591052335866,3,0,0.4876762055241947,0.8956215847176087,4,0.5,0.95,3.25,3.2,0.8125,1,gaus,1.0,1.0,0.0,1,1.0,0.2198108340350785,0.618580253867054,0.5634917683949294,0.7062688682908174,0.10871589761457198,1.0,0.6375942365231431,0.09408289529285999,,0.49844358452405974,0.60027220820605,0.60027220820605,0.60027220820605,,0.032194528986772414,0.7496384508174453,0.4616162035798495,,,,,0.08695652173913043,,0.10486761023518087,0.9310344827586207,0.8999999999999999,0.13743932912227502,0.13743932912227502,0.9420289855072465,1.8252040452741607,0.5772614493521795,8,1.6897756230866934,0.9237323980802348,6,1.4142135623730951,0.9292893218813453,7.0,6.857142857142858,0.7896446609406726,4,11.25,12.5,6.104643041707408,16,1.0,1.0,0.0,3,3.75
raw,gaus6,3287962554.7454247,0.6445719935850285,620.9877197767811,-34.05198973409054,653,127,47203.730006119455,,False,15.053460967040273,572989.7602999525,0.015417225789610687,3.567302930120722e-07,0.3502236682701586,9123.050774768424,,,,[],[],11,85774.388886603,19035.519544689923,192610.78943614606,"[29, 111, 186, 233, 288, 354, 406, 456, 528, 587, 635]","[192610.78943614606, 19035.519544689923, 61140.824597674335, 57133.91311055345, 120682.447424896, 62005.02551775647, 140783.9670495731, 71901.27006094056, 48392.070917413366, 27188.20805978455, 142644.24203320523]","[0, 94, 139, 139, 139, 320, 139, 432, 488, 139, 139]","[139, 139, 206, 261, 320, 373, 488, 488, 541, 596, 652]",2520302972263.327,155987.21063225972,-155987.21063225972,0.0,,,,CWT,mdp.39015056038253,2519990032306.327,,0.0,-73.0,81.0,0.0,-77.5,,154759.21063225972,85208.36714747257,891444.277752633,85208.36714747257,,0.0,85208.36714747257,,,19034.519544689923,0.0,-82.0,191390.78943614606,154759.21063225972,,8447.050774768424,0.14190546470932763,0.7461627700224222,0.9244883500262618,0.06099957328278205,0.6762075134168146,0.7150055616961203,0.05873166493255979,,0.3747296947460369,0.5624536560217456,0.5624536560217456,0.5624536560217458,,0.05883533496868745,0.7912168660586144,0.24743343379819627,,,,,0.16666666666666663,,0.057327297672506786,0.5172413793103449,0.3,0.06877046615350046,0.06877046615350046,0.33333333333333337,1.4385993228181526,0.4551172773202349,6,1.5629911590989716,0.8686117781531189,3,0,0.333691850494759,0.539473130994469,6,0,0.47478584258375545,0.8746424259010158,5,1.4142135623730951,0.8585786437626906,5.0,4.615384615384615,0.6792893218813453,5,gaus,1.0,1.0,0.0,1,4.0,0.14453127206489028,0.08825352767055483,0.7723022219346152,0.9250078169116489,0.06705718186871154,0.683737944795477,0.5867909459492996,0.06572291227136261,,0.3747296947460369,0.5624536560217457,0.5624536560217457,0.5624536560217457,,0.058523056230082596,0.7929413348034826,0.25510724157882303,,,,,0.7826086956521738,,0.05818139687953673,0.5172413793103448,0.29999999999999993,0.07724956150326395,0.07724956150326395,0.33333333333333337,1.693337821049221,0.5355558176373132,10,1.5637499936780386,0.85483925316637,10,0.0,1.0,10.0,10.0,0.75,5,11.25,12.5,6.104643041707408,16,1.0,1.0,0.0,3,4.5
smoothed,gaus8,2844971827.230285,0.6527836394110766,596.3199646104304,-34.323374740635906,653,127,42620.168806081245,,False,15.093596244438368,505229.3300311238,0.018958777519492157,1.6480837399885344e-06,0.5122773502513076,8866.170170757325,,,,[],[],11,87910.88413133372,30600.335023955704,173157.66735984228,"[27, 114, 185, 233, 295, 352, 405, 462, 527, 587, 635]","[173157.66735984228, 37813.096016247255, 69753.2721872859, 59624.92635703487, 124684.196416497, 68321.16100274681, 124313.93911216747, 85021.35224983693, 57726.97332138989, 30600.335023955704, 136002.80639766683]","[0, 93, 139, 207, 139, 319, 139, 432, 489, 489, 139]","[139, 139, 262, 262, 319, 373, 489, 489, 542, 596, 652]",1890326546392.1243,142782.42257981058,-142782.42257981058,0.0,,,,CWT,mdp.39015056038253,1890043980294.8442,,0.0,-65.0,64.0,0.0,-60.5,,141752.82257981057,87663.51079800038,948466.7254446709,87663.51079800038,,0.0,87663.51079800038,,,30599.135023955703,0.0,-69.5,172128.06735984227,141752.82257981057,,8188.770170757325,0.09682352840649833,0.8336752668812695,1.0,0.04244266369301022,0.7969737279680744,0.8264454953068696,0.043554990443300225,,0.9822692744124575,0.7992931397376996,0.7992931397376996,0.7992931397376992,,0.056561169751150636,0.8996608005008957,0.1625544677965844,,,,,0.2,,0.03181894326565156,0.5263157894736842,0.8,0.04910721567092677,0.04910721567092677,0.7037037037037037,1.9623575047012882,0.5877831101820556,4,1.717263235984514,0.9935964509604672,2,0,0.489926999961363,0.6969465424565384,4,0,0.5199879532427175,0.9549623898847437,2,1.1547005383792515,0.8845299461620748,3.0,2.6666666666666665,0.7922649730810374,2,gaus,1.0,1.0,0.0,1,1.75,0.09676176905145495,0.4335715494991458,0.7541236487767147,0.9668883878637503,0.04244266369301021,0.7969737279680744,0.8264454953068696,0.04355499044330023,,0.781771949752871,0.5997515770134011,0.5997515770134011,0.5997515770134011,,0.05657821943607289,0.8737787038875838,0.161810070240391,,,,,0.04347826086956519,,0.031818943265651545,0.7931034482758621,0.9249999999999999,0.04897220982820852,0.04897220982820852,0.8260869565217392,1.7103088970638156,0.5409232985842336,9,1.7830293960968868,0.9747104866476283,2,4.949747468305833,0.7525126265847084,5.5,3.2727272727272725,0.7387563132923542,6,11.25,12.5,6.104643041707408,16,1.0,1.0,0.0,3,5.25
raw,gaus4,4103112743.602439,0.6663973664853915,657.6771124185116,-35.67159457582154,653,127,54583.68907951698,,False,14.870981786322414,672616.1667765268,0.015028607933945287,4.1087300035093803e-07,0.29941670296196066,6543.232764252567,,,,[],[],10,90041.16416214968,24245.494727496698,234739.39370126196,"[57, 186, 233, 288, 354, 406, 456, 529, 587, 634]","[234739.39370126196, 59560.380602976875, 51721.75636007376, 101747.70097965072, 51427.512309760365, 130837.8039589921, 62101.55705529569, 35139.75436539227, 24245.494727496698, 148890.28756059642]","[0, 141, 207, 141, 319, 319, 432, 488, 319, 319]","[319, 207, 261, 319, 373, 488, 488, 541, 596, 652]",3657888001538.53,184438.2044823241,-184438.2044823241,0.0,,,,CWT,mdp.39015056038253,3657575061581.53,,0.0,-78.0,82.0,0.0,-78.0,,183210.2044823241,89475.14242301925,848337.6416214968,89475.14242301925,,0.0,89475.14242301925,,,24244.494727496698,0.0,-87.0,233519.39370126196,183210.2044823241,,5867.232764252567,0.2190548801529724,0.6252201045788592,0.7327550220010961,0.10664119013206455,0.9999999999999999,0.6208042388530691,0.09158920167005202,,0.5581063103145772,0.6272734261733929,0.6272734261733929,0.6272734261733931,,0.03930581036757265,0.7295981774906477,0.4535814012086873,,,,,0.33333333333333326,,0.10514615461156063,0.3448275862068966,0.05,0.1311945171089851,0.1311945171089851,0.31884057971014496,1.684855763229307,0.5330233064034032,4,1.545504009069036,0.858893524537987,4,0,0.3626391904272552,0.5862717330106432,5,0,0.4851520910554448,0.8937389530034886,4,0.5,0.95,4.25,4.2105263157894735,0.7625,2,gaus,1.0,1.0,0.0,1,1.75,0.2214446068738056,0.10273171150045579,0.6638138957846764,0.7345934789333005,0.11235052074308254,0.9847023611573005,0.5116546070133026,0.09831583386323499,,0.5581063103145774,0.6272734261733929,0.6272734261733929,0.6272734261733929,,0.03909718796595022,0.7318315930097561,0.45915314925490536,,,,,0.826086956521739,,0.10578790615181183,0.3448275862068966,0.050000000000000044,0.13910522468652692,0.13910522468652692,0.31884057971014496,1.8892406418876635,0.5975144499240355,7,1.5568823536348113,0.8510849904585829,11,2.8284271247461903,0.8585786437626906,9.0,8.555555555555555,0.7042893218813453,7,11.25,12.5,6.104643041707408,16,1.0,1.0,0.0,3,6.0
smoothed,morl,2081125615.298035,0.6443911203289482,483.6170587178141,-32.077277594638225,653,127,33335.72031293767,,False,15.011746723461137,372095.2944781526,0.026841731156139026,6.726226153911899e-07,0.6296343818008027,5478.019872223256,,,,[],[],12,86313.5405788911,30973.273672415115,139749.3403176279,"[24, 64, 119, 174, 231, 296, 351, 404, 463, 526, 583, 637]","[139749.3403176279, 30973.273672415115, 74534.23198537849, 95423.9681949237, 54748.25360105069, 123324.95236941366, 82322.5532935923, 99252.48381468534, 99836.10452706569, 72016.25144306588, 43402.769634813696, 120178.30409266087]","[0, 45, 91, 139, 207, 139, 319, 319, 319, 488, 542, 139]","[139, 139, 139, 261, 261, 319, 374, 432, 488, 542, 597, 652]",1129994523320.5996,120257.27340279185,-120257.27340279185,0.0,,,,CWT,mdp.39015056038253,1129711957223.3196,,0.0,-64.5,63.0,0.0,-64.5,,119227.67340279184,86066.16724555776,1017209.4869466932,86066.16724555778,,0.0,86066.16724555776,,,30972.073672415114,0.0,-69.0,138719.7403176279,119227.67340279184,,4800.619872223257,0.0,1.0,0.911666360941903,0.0,0.6812437645493855,1.0,0.0,,1.0,0.7655317830421172,0.7655317830421172,0.7655317830421172,,0.03104814884800488,0.9999999999999999,0.0,,,,,0.0,,0.0,0.5789473684210525,1.0,0.0,0.0,0.40740740740740744,1.7438788974854946,0.5223424170617209,6,1.7283306862907057,1.0,1,0,0.4509998767002013,0.6415706926528214,6,0,0.5132728750701842,0.9426300905306622,3,2.449489742783178,0.7550510257216823,4.0,2.4000000000000004,0.6775255128608411,4,morl,0.6956521739130435,,,3,3.75,0.0,0.17272560782041696,0.904577212177407,0.8814796180007284,0.0,0.6812437645493854,1.0,0.0,,0.7948983514668135,0.5754851380200139,0.5754851380200139,0.5754851380200141,,0.031065659600411175,0.9712312722762826,0.0,,,,,0.0,,0.0,0.8103448275862069,0.95,0.0,0.0,0.7101449275362319,1.5756180638622703,0.49832432134128224,12,1.7078013244726877,0.9335863243298907,4,5.656854249492381,0.717157287525381,8.0,6.0,0.6585786437626905,8,4.5,4.5,4.949747468305833,2,0.4,0.8108168543989819,0.4767549436803054,1,6.25
smoothed,gaus6,3212667799.415456,0.639230203422122,597.3129059955171,-35.53668116213886,653,127,47021.11093292481,,False,15.023773412562877,558241.5225170673,0.015427555273627516,1.904066260439724e-06,0.44770696414398975,9326.120950336292,,,,[],[],11,83526.94620511647,18237.799315403623,192483.6322204805,"[29, 112, 185, 233, 295, 352, 405, 458, 528, 587, 634]","[192483.6322204805, 18237.799315403623, 58784.94344106308, 53874.32749207936, 117667.25240285251, 58463.9713078274, 139002.23253369366, 68048.5249205147, 45010.68890632749, 25484.208753290644, 141738.82696274846]","[0, 94, 139, 139, 139, 319, 139, 432, 489, 139, 139]","[139, 139, 206, 262, 319, 373, 489, 489, 541, 596, 652]",2497507640598.5024,153501.1337498825,-153501.1337498825,0.0,,,,CWT,mdp.39015056038253,2497225074501.2227,,0.0,-60.5,64.0,0.0,-60.5,,152471.53374988248,83279.57287178314,900243.4082562813,83279.57287178315,,0.0,83279.57287178314,,,18236.599315403622,0.0,-69.5,191454.0322204805,152471.53374988248,,8648.720950336292,0.1427190649425104,0.7438292568334346,0.9246458042116145,0.06287347325250545,0.6100764881942138,0.7309549973730205,0.06089800515410254,,0.39451381082609693,0.7066344929287632,0.7066344929287632,0.7066344929287632,,0.06002463294488604,0.829272457959084,0.2565885667985173,,,,,0.2,,0.05722871189604838,0.9999999999999999,0.8,0.07247514353708795,0.07247514353708795,0.7037037037037037,1.7856131698385598,0.5348430446721847,5,1.5436447086034086,0.8931419900414631,4,0,0.46901326071348604,0.6671956647547687,5,0,0.46799958428020033,0.8594852990001376,7,1.2583057392117916,0.8741694260788209,5.25,5.045045045045045,0.6745847130394105,6,gaus,1.0,1.0,0.0,1,4.75,0.14262803089791082,0.5020232795749573,0.6728509954823808,0.8940292909791487,0.06287347325250543,0.6100764881942138,0.7309549973730204,0.06089800515410255,,0.3466451250492253,0.533151901524262,0.533151901524262,0.5331519015242622,,0.06004162003862135,0.8054153444072814,0.2554135520194034,,,,,0.04347826086956519,,0.05722871189604837,0.9482758620689655,0.9249999999999999,0.07227589445127297,0.07227589445127297,0.8260869565217392,1.57172650270686,0.497093528412332,13,1.636329168835651,0.8945153702809954,8,3.5355339059327378,0.8232233047033631,10.5,9.904761904761905,0.6491116523516816,9,11.25,12.5,6.104643041707408,16,1.0,1.0,0.0,3,7.5
smoothed,mexh,14011752696.696648,0.5949886049848669,1006.2490890381754,-43.65401682746967,653,127,129226.13709432448,,False,14.986046765017159,1099467.0025629208,0.012543116398002133,1.4196091374729213e-06,0.240011815591426,134155.6279143576,,,,[],[],7,97406.8831239612,13196.731365632793,345270.15740166215,"[68, 287, 356, 417, 463, 530, 582]","[345270.15740166215, 22846.506131840775, 13196.731365632793, 28897.46800744375, 37668.871772260114, 16669.252143617603, 217299.19504527125]","[0, 263, 318, 318, 318, 318, 318]","[318, 318, 372, 430, 487, 541, 652]",16161800100762.037,325702.44198067085,-325702.44198067085,0.0,,,,CWT,mdp.39015056038253,16161517534664.758,,0.0,-62.5,68.0,0.0,-58.0,,324672.84198067087,97159.50979062787,663295.1818677285,97159.50979062788,,0.0,97159.50979062787,,,13195.531365632793,0.0,-71.5,344240.55740166217,324672.84198067087,,133478.22791435762,1.0,0.14273607144870382,0.8839304520948622,0.6629182484018573,0.0,0.42380315348027664,0.2379606962470087,,0.15484491929454558,1.0000000000000002,1.0000000000000002,1.0000000000000002,,1.0,0.4834150201856465,1.0,,,,,1.0,,0.6290622443031314,0.7894736842105262,0.0,0.4478922702184343,0.4478922702184343,0.888888888888889,3.3385741623189578,1.0,1,1.4237715330084961,0.8237842123049693,7,0,0.7029620926656865,1.0,1,0,0.478764088810387,0.8792544050110876,5,3.0,0.7,3.5,1.7073170731707317,0.675,5,mexh,0.8695652173913043,,,2,4.25,0.9993621451721515,0.37247565204094724,0.12911579758822367,0.8546620898096772,0.6629182484018573,0.0,0.4238031534802766,0.23796069624700872,,0.16921357364171835,0.7440123904642626,0.7440123904642626,0.7440123904642628,,1.0,0.46950778509237034,0.9954206269056538,,,,,0.21739130434782605,,0.6290622443031314,0.8793103448275862,0.825,0.4466609221861403,0.4466609221861403,0.8985507246376812,2.883132621684811,0.9118549348921305,2,1.5125165267135452,0.826831976546634,12,7.0710678118654755,0.6464466094067263,7.0,3.4285714285714284,0.6482233047033632,10,10.5,10.5,0.7071067811865476,2,0.9333333333333333,0.11583097919985455,0.3119173729067103,2,8.0
