wavelet,wavelet_level,wavelet_mode,wavelet_mse,wavelet_psnr,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,signal_length,signal_type,emd_value,kl_divergence,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,dynamic_cutoff,dominant_frequency,amplitude_max,num_fft_peaks,positive_frequencies,positive_amplitudes,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,max_autocorrelation,upper_envelope,lower_envelope,spectral_magnitude,spectral_centroid,spectral_bandwidth,frequency_max,wavelet_type,htid,positive_frequencies_dtw,positive_frequencies_euclidean,positive_frequencies_wasserstein,max_autocorrelation_diff,frequency_max_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_num_peaks_diff,positive_amplitudes_dtw,positive_amplitudes_euclidean,positive_amplitudes_wasserstein,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,spectral_centroid_diff,lower_envelope_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,spectral_bandwidth_diff,spectral_magnitude_diff,avg_prominence_diff,num_fft_peaks_diff,amplitude_max_diff,prominence_min_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,prominence_max_diff,upper_envelope_diff,dominant_frequency_diff,dynamic_cutoff_diff,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,avg_variance_across_levels_normalized,max_autocorrelation_diff_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,spectral_centroid_diff_normalized,amplitude_max_diff_normalized,frequency_max_diff_normalized,spectral_bandwidth_diff_normalized,num_fft_peaks_diff_normalized,dominant_frequency_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,across_smoothness_normalized,across_wavelet_psnr_normalized,across_wavelet_entropy_normalized,across_wavelet_energy_entropy_normalized,across_wavelet_sparsity_normalized,across_avg_variance_across_levels_normalized,across_prominence_min_diff_normalized,across_avg_prominence_diff_normalized,across_relative_prominences_avg_diff_normalized,across_relative_prominences_wasserstein_normalized,across_relative_prominences_total_diff_normalized,across_relative_num_peaks_diff_normalized,across_max_autocorrelation_diff_normalized,across_relative_right_bases_global_alignment_score_normalized,across_relative_left_bases_global_alignment_score_normalized,across_relative_peaks_global_alignment_score_normalized,across_reconstruction_weighted_score,across_reconstruction_normalized_weighted_score,across_reconstruction_normalized_weighted_rank,across_signal_weighted_score,across_signal_normalized_weighted_score,across_signal_normalized_weighted_rank,across_rank_variability,across_normalized_rank_stability,across_average_rank,across_harmonic_average_rank,across_stability_score_weighted,across_stability_rank,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,across_normalized_family_mean_rank,across_normalized_family_std_dev,across_final_family_stability_score,across_final_family_stability_rank,across_family_informed_rank,across_top_wavelet_rank
sym17,1,antisymmetric,6.053944675353696e-20,248.33031608347412,3510123.5334784845,0.5714285714285714,350.5224959497969,66,raw,1.9390353296075497e-10,,5.539233408296667,178297.96446217265,0.9573155493626463,9.719536693960127e-06,1.0,127.49999999973656,0.030303030303030304,3682.6408945134704,5,"[0.0, 0.015151515151515152, 0.030303030303030304, 0.045454545454545456, 0.06060606060606061, 0.07575757575757576, 0.09090909090909091, 0.10606060606060606, 0.12121212121212122, 0.13636363636363635, 0.15151515151515152, 0.16666666666666669, 0.18181818181818182, 0.19696969696969696, 0.21212121212121213, 0.2272727272727273, 0.24242424242424243, 0.25757575757575757, 0.2727272727272727, 0.2878787878787879, 0.30303030303030304, 0.3181818181818182, 0.33333333333333337, 0.3484848484848485, 0.36363636363636365, 0.3787878787878788, 0.3939393939393939, 0.4090909090909091, 0.42424242424242425, 0.4393939393939394, 0.4545454545454546, 0.4696969696969697, 0.48484848484848486]","[26809.000000000957, 1204.6194396485992, 1441.5514467240203, 3682.6408945134704, 1219.62425444578, 2296.3467473550395, 1243.3273386158785, 2826.0716297297645, 885.4657404855001, 1214.4700797472206, 1925.2913119769353, 1357.404508614128, 825.3326698431515, 2711.577164075874, 440.51790098371873, 2264.5173450102234, 1300.3725293362313, 420.9887283719949, 888.3736547014872, 1009.8328722836866, 362.02286230696967, 1382.4342556397282, 1530.6786076798617, 1722.431490714845, 685.4522079772734, 657.838352102516, 1050.0548728908382, 773.3835985287641, 1196.5195098260965, 516.797477286723, 837.8768605012405, 1164.8888096722656, 371.27810121832437]",13,340.00000000050693,73.00000000030008,635.0000000008669,"[4, 7, 10, 13, 21, 25, 35, 39, 44, 51, 56, 60, 63]","[73.00000000030008, 301.0000000004444, 352.0000000006213, 450.00000000076767, 635.0000000008669, 339.0000000007927, 359.00000000045407, 198.00000000023306, 591.0000000005991, 260.0000000005841, 174.00000000030735, 488.00000000073476, 199.9999999998845]","[0, 0, 0, 0, 0, 23, 28, 38, 28, 48, 53, 0, 62]","[5, 8, 11, 17, 48, 48, 41, 41, 48, 53, 57, 62, 65]",13094789.000005316,642.0000000003888,-642.0000000003888,68218.98326280911,0.12695900572720337,0.1469234118559402,0.48484848484848486,DWT,inu.32000013032927,0.0,0.0,0.0,5.315989255905151e-06,0.0,0.0,22.5,5.0,5.007075287721818e-08,1.1403309537587132e-08,1.5172955417338842e-09,0.0,22.5,7.55506768257419e-14,3.888089850079268e-10,46.99999999949307,1324.0000000065902,71.96153846127518,2.0816681711721685e-15,4.700268618762493e-08,46.99999999949307,0.0,3.346940502524376e-10,61.000000000300076,0.0,22.5,8.668621376273222e-10,3.888089850079268e-10,0.0,2.6344082471041474e-10,0.15065919819821816,0.9233021112669861,0.6386167223792965,0.23974928179681354,0.8759721202293366,0.19873267878281456,0.09936633939140728,0.19873267878281456,19,1.3176434965525323,0.7215414315536165,55,0,0.19873267878281456,0.19873267878281456,19,0,0.5656598867741303,0.7620314321720555,33,17.0,0.9726247987117552,31.5,26.016597510373444,0.960950080515298,1,sym,0.9549116669499367,1.0,0.03156183313504433,6,2.25,,,,,,,,,7.19757586864489e-13,0.15065919819821816,0.9233021112669861,0.6863278441510604,0.29101283880171164,0.884926087198152,0.9999999999857387,0.999999999951161,0.999999999951161,0.9999999999812177,0.9999999999868127,1.0,0.19873267878281453,0.75,0.5,0.0,2.324366339345597,0.852978473174823,19,1.365586067028116,0.7389298859025708,126,75.66042558696059,0.9390817829412555,72.5,33.02068965517242,0.9403540959794845,1,790.8888888888889,915.5,358.0386585148251,288,1.0,0.9648950424173064,0.010531487274808082,6,2.25,1
sym13,1,antisymmetric,3.028428445962595e-22,271.3385273928771,3197218.0989144417,0.5777777777777777,369.00093040635045,66,raw,1.4233328320670172e-11,7.53650475347819e-11,5.424763493795403,153643.62175244337,0.9470680439124834,9.719536693986397e-06,0.9999999999999996,127.500000000023,0.030303030303030304,3682.6408945130493,5,"[0.0, 0.015151515151515152, 0.030303030303030304, 0.045454545454545456, 0.06060606060606061, 0.07575757575757576, 0.09090909090909091, 0.10606060606060606, 0.12121212121212122, 0.13636363636363635, 0.15151515151515152, 0.16666666666666669, 0.18181818181818182, 0.19696969696969696, 0.21212121212121213, 0.2272727272727273, 0.24242424242424243, 0.25757575757575757, 0.2727272727272727, 0.2878787878787879, 0.30303030303030304, 0.3181818181818182, 0.33333333333333337, 0.3484848484848485, 0.36363636363636365, 0.3787878787878788, 0.3939393939393939, 0.4090909090909091, 0.42424242424242425, 0.4393939393939394, 0.4545454545454546, 0.4696969696969697, 0.48484848484848486]","[26808.99999999986, 1204.6194396495985, 1441.5514467246442, 3682.6408945130493, 1219.6242544458657, 2296.3467473542305, 1243.3273386137807, 2826.071629726778, 885.4657404846183, 1214.4700797447283, 1925.291311973134, 1357.404508611782, 825.3326698416079, 2711.57716407023, 440.5179009828199, 2264.5173450055963, 1300.3725293335926, 420.98872837113, 888.3736546996714, 1009.8328722815694, 362.02286230627186, 1382.4342556370254, 1530.6786076768153, 1722.4314907115277, 685.4522079760717, 657.838352101611, 1050.0548728896233, 773.383598528129, 1196.5195098253896, 516.7974772864322, 837.8768605010124, 1164.8888096721623, 371.27810121827997]",13,339.99999999996487,72.99999999998204,634.9999999999366,"[4, 7, 10, 13, 21, 25, 35, 39, 44, 51, 56, 60, 63]","[72.99999999998204, 300.99999999996464, 351.99999999995964, 449.99999999994816, 634.9999999999366, 338.99999999995595, 358.9999999999653, 197.99999999998295, 590.9999999999474, 259.99999999996686, 173.99999999997885, 487.9999999999569, 199.99999999999858]","[0, 0, 0, 0, 0, 23, 28, 38, 28, 48, 53, 0, 62]","[5, 8, 11, 17, 48, 48, 41, 41, 48, 53, 57, 62, 65]",13094788.999999553,641.9999999999688,-641.9999999999688,68218.98326275864,0.1269590057271225,0.14692341185594213,0.48484848484848486,DWT,inu.32000013032927,0.0,0.0,0.0,4.470348358154297e-07,0.0,0.0,22.5,5.0,3.84108034268138e-09,8.039335107991551e-10,1.1639637402064787e-10,0.0,22.5,5.329070518200751e-15,3.115019353572279e-11,47.00000000003513,1323.9999999995434,71.96153846156876,1.6653345369377348e-16,3.4633558243513107e-09,47.00000000003513,0.0,8.640199666842818e-11,60.99999999998204,0.0,22.5,6.343725544866174e-11,3.115019353572279e-11,0.0,2.2993162929196842e-11,0.4064240854933674,0.7896768785971511,0.4327192613761335,0.2721105017265891,0.729685876472052,0.016711928138709004,0.008355964069354502,0.016711928138709004,146,1.2557710725621192,0.6876600990865723,83,0,0.016711928138709004,0.016711928138709004,146,0,0.5261233207330587,0.7087695574167875,47,49.02040391510457,0.9210621515054677,105.5,85.06399820775148,0.8755874364612685,8,sym,0.9549116669499367,1.0,0.03156183313504433,6,7.5,,,,,,,,,9.53570555850547e-13,0.4064240854933674,0.7896768785971511,0.5076137074541469,0.32119194801077794,0.7492007124730304,0.9999999999805249,0.9999999999713924,0.9999999999713924,0.9999999999869729,0.9999999999813287,1.0,0.016711928138709004,0.75,0.5,0.0,2.2333559640331035,0.8195801703070512,146,1.3206568085154788,0.7146182934895923,159,9.192388155425117,0.9925987212919283,152.5,152.22295081967212,0.9349064459921799,2,790.8888888888889,915.5,358.0386585148251,288,1.0,0.9648950424173064,0.010531487274808082,6,3.0,2
sym15,1,antisymmetric,6.627357692948973e-21,257.9372964509365,3385411.700988632,0.574468085106383,327.7299096278979,66,raw,6.5454416297791e-11,4.154853127953762e-10,5.4401916531613645,167624.25447459493,0.9522048699565864,9.71953669399283e-06,0.9999999999999999,127.50000000009751,0.030303030303030304,3682.640894512879,5,"[0.0, 0.015151515151515152, 0.030303030303030304, 0.045454545454545456, 0.06060606060606061, 0.07575757575757576, 0.09090909090909091, 0.10606060606060606, 0.12121212121212122, 0.13636363636363635, 0.15151515151515152, 0.16666666666666669, 0.18181818181818182, 0.19696969696969696, 0.21212121212121213, 0.2272727272727273, 0.24242424242424243, 0.25757575757575757, 0.2727272727272727, 0.2878787878787879, 0.30303030303030304, 0.3181818181818182, 0.33333333333333337, 0.3484848484848485, 0.36363636363636365, 0.3787878787878788, 0.3939393939393939, 0.4090909090909091, 0.42424242424242425, 0.4393939393939394, 0.4545454545454546, 0.4696969696969697, 0.48484848484848486]","[26808.999999999534, 1204.619439649915, 1441.551446724823, 3682.640894512879, 1219.6242544458642, 2296.346747353977, 1243.32733861326, 2826.0716297260446, 885.4657404844063, 1214.4700797441462, 1925.29131197224, 1357.4045086112278, 825.3326698412345, 2711.5771640688495, 440.51790098259755, 2264.5173450044613, 1300.3725293329458, 420.98872837092034, 888.3736546992249, 1009.8328722810526, 362.0228623061001, 1382.4342556363688, 1530.6786076760873, 1722.4314907107491, 685.4522079757896, 657.8383521013967, 1050.054872889327, 773.3835985279645, 1196.519509825192, 516.7974772863445, 837.8768605009349, 1164.8888096721262, 371.2781012182639]",13,339.99999999983277,72.9999999999082,634.9999999997088,"[4, 7, 10, 13, 21, 25, 35, 39, 44, 51, 56, 60, 63]","[72.9999999999082, 300.9999999998486, 351.9999999997998, 449.99999999975205, 634.9999999997088, 338.9999999997551, 358.9999999998437, 197.99999999992002, 590.9999999997872, 259.99999999981696, 173.99999999989706, 487.99999999976535, 200.00000000002285]","[0, 0, 0, 0, 0, 23, 28, 38, 28, 48, 53, 0, 62]","[5, 8, 11, 17, 48, 48, 41, 41, 48, 53, 57, 62, 65]",13094788.999998085,641.9999999998571,-641.9999999998571,68218.98326274626,0.12695900572710264,0.14692341185594235,0.48484848484848486,DWT,inu.32000013032927,0.0,0.0,0.0,1.914799213409424e-06,0.0,0.0,22.5,5.0,1.7223896975337993e-08,3.76507551245274e-09,5.219362719799392e-10,0.0,22.5,2.5174307083375425e-14,1.4290435501607135e-10,47.00000000016723,1323.9999999978263,71.9615384616817,5.551115123125783e-17,1.58470356836915e-08,47.00000000016723,0.0,2.5647750589996576e-10,60.9999999999082,0.0,22.5,2.9115199140505865e-10,1.4290435501607135e-10,0.0,9.751488505571615e-11,0.2574527345530653,0.8076867757297389,0.5565540707590453,0.2552413551674513,0.8126397913402286,0.07158275886080356,0.03579137943040178,0.07158275886080356,94,1.2637445225793034,0.6920263594254825,80,0,0.07158275886080356,0.07158275886080356,94,0,0.5379149455099059,0.7246547013459068,42,24.569628948493843,0.9604353801151468,77.5,69.46118319771278,0.9178183341799566,3,sym,0.9549116669499367,1.0,0.03156183313504433,6,3.75,,,,,,,,,1.0107470416187425e-12,0.25745273455306517,0.807686775729739,0.6150993993323675,0.30546028469966935,0.8261659204872559,0.9999999999793144,0.999999999976323,0.999999999976323,0.9999999999891869,0.9999999999799924,1.0,0.07158275886080358,0.75,0.5,0.0,2.2607913793967422,0.8296482126425732,94,1.3185152103379656,0.7134594570492038,162,48.08326112068523,0.9612856190654708,128.0,118.96874999999999,0.92911301887251,3,790.8888888888889,915.5,358.0386585148251,288,1.0,0.9648950424173064,0.010531487274808082,6,3.75,3
sym9,1,antisymmetric,2.8116181844784146e-25,301.66113712632296,2976688.423089922,0.5853658536585366,348.6914952928276,66,raw,4.277891172612477e-13,-5.6284532590211886e-11,5.245991407919296,122493.87909560285,0.9399548607275658,9.719536693984618e-06,1.0,127.49999999999984,0.030303030303030304,3682.640894513132,5,"[0.0, 0.015151515151515152, 0.030303030303030304, 0.045454545454545456, 0.06060606060606061, 0.07575757575757576, 0.09090909090909091, 0.10606060606060606, 0.12121212121212122, 0.13636363636363635, 0.15151515151515152, 0.16666666666666669, 0.18181818181818182, 0.19696969696969696, 0.21212121212121213, 0.2272727272727273, 0.24242424242424243, 0.25757575757575757, 0.2727272727272727, 0.2878787878787879, 0.30303030303030304, 0.3181818181818182, 0.33333333333333337, 0.3484848484848485, 0.36363636363636365, 0.3787878787878788, 0.3939393939393939, 0.4090909090909091, 0.42424242424242425, 0.4393939393939394, 0.4545454545454546, 0.4696969696969697, 0.48484848484848486]","[26808.999999999993, 1204.6194396494789, 1441.5514467245798, 3682.640894513132, 1219.6242544458778, 2296.346747354344, 1243.3273386139556, 2826.07162972704, 885.4657404846928, 1214.4700797448897, 1925.2913119733748, 1357.404508611931, 825.3326698417007, 2711.577164070561, 440.51790098287285, 2264.5173450058724, 1300.3725293337513, 420.98872837118336, 888.3736546997787, 1009.8328722816962, 362.02286230631256, 1382.4342556371867, 1530.678607677002, 1722.431490711741, 685.4522079761523, 657.8383521016771, 1050.0548728897231, 773.3835985281888, 1196.5195098254676, 516.7974772864684, 837.8768605010445, 1164.888809672178, 371.2781012182872]",13,340.00000000000057,73.00000000000028,635.0000000000008,"[4, 7, 10, 13, 21, 25, 35, 39, 44, 51, 56, 60, 63]","[73.00000000000028, 300.9999999999999, 352.0000000000005, 450.0000000000007, 635.0000000000008, 339.0000000000019, 359.0000000000002, 198.00000000000034, 590.9999999999992, 260.00000000000176, 174.00000000000063, 488.0000000000023, 199.99999999999864]","[0, 0, 0, 0, 0, 23, 28, 38, 28, 48, 53, 0, 62]","[5, 8, 11, 17, 48, 48, 41, 41, 48, 53, 57, 62, 65]",13094788.999999993,642.0000000000007,-642.0000000000007,68218.98326276214,0.12695900572712787,0.14692341185594227,0.48484848484848486,DWT,inu.32000013032927,0.0,0.0,0.0,7.450580596923828e-09,0.0,0.0,22.5,5.0,9.470113582210615e-11,2.3045362382706357e-11,2.869731388548671e-12,0.0,22.5,5.551115123125783e-17,6.821210263296962e-13,46.99999999999943,1324.0000000000073,71.96153846153814,2.7755575615628914e-17,2.9103830456733704e-11,46.99999999999943,0.0,3.637978807091713e-12,61.000000000000284,0.0,22.5,7.958078640513122e-13,6.821210263296962e-13,0.0,1.5631940186722204e-13,0.743497609231394,0.5809891926305224,0.28760672796366,0.3107861060329065,0.544859255826553,0.00027853213564515007,0.00013926606782257503,0.00027853213564515007,190,1.2226546705797114,0.6695255610595493,91,0,0.00027853213564515007,0.00027853213564515007,190,0,0.4935477783370072,0.664885259084428,81,60.18305409332431,0.9030868694149367,138.0,118.12998186495719,0.8404323235963572,18,sym,0.9549116669499367,1.0,0.03156183313504433,6,15.0,,,,,,,,,9.376943665984072e-13,0.743497609231394,0.5809891926305224,0.3816594533008437,0.35725966389478425,0.5777173132006429,0.9999999999808241,0.9999999999700601,0.9999999999700601,0.9999999999863727,0.9999999999816898,1.0,0.00027853213564515007,0.75,0.5,0.0,2.2251392660308627,0.8165648682878079,191,1.3014136793429716,0.7042056775533486,173,12.727922061357855,0.9897520756349776,182.0,181.55494505494508,0.9216071167224807,4,790.8888888888889,915.5,358.0386585148251,288,1.0,0.9648950424173064,0.010531487274808082,6,4.5,4
sym11,1,antisymmetric,2.6224810704398955e-23,281.963576940798,3112835.347009459,0.5813953488372093,301.8946940568923,66,raw,4.114392328519347e-12,-9.362632891205023e-11,5.289879762029738,139651.85499567297,0.9450293916054794,9.71953669398413e-06,0.9999999999999997,127.499999999994,0.030303030303030304,3682.6408945131484,5,"[0.0, 0.015151515151515152, 0.030303030303030304, 0.045454545454545456, 0.06060606060606061, 0.07575757575757576, 0.09090909090909091, 0.10606060606060606, 0.12121212121212122, 0.13636363636363635, 0.15151515151515152, 0.16666666666666669, 0.18181818181818182, 0.19696969696969696, 0.21212121212121213, 0.2272727272727273, 0.24242424242424243, 0.25757575757575757, 0.2727272727272727, 0.2878787878787879, 0.30303030303030304, 0.3181818181818182, 0.33333333333333337, 0.3484848484848485, 0.36363636363636365, 0.3787878787878788, 0.3939393939393939, 0.4090909090909091, 0.42424242424242425, 0.4393939393939394, 0.4545454545454546, 0.4696969696969697, 0.48484848484848486]","[26809.000000000025, 1204.619439649453, 1441.5514467245666, 3682.6408945131484, 1219.6242544458792, 2296.3467473543683, 1243.3273386139986, 2826.071629727102, 885.4657404847102, 1214.4700797449332, 1925.2913119734403, 1357.4045086119718, 825.332669841727, 2711.577164070662, 440.5179009828883, 2264.517345005956, 1300.3725293337982, 420.98872837119825, 888.3736546998125, 1009.8328722817339, 362.02286230632546, 1382.4342556372324, 1530.6786076770547, 1722.431490711799, 685.4522079761731, 657.8383521016946, 1050.0548728897486, 773.3835985282041, 1196.519509825486, 516.7974772864774, 837.8768605010512, 1164.8888096721828, 371.2781012182885]",13,340.00000000001035,73.00000000000534,635.000000000018,"[4, 7, 10, 13, 21, 25, 35, 39, 44, 51, 56, 60, 63]","[73.00000000000534, 301.00000000000904, 352.0000000000123, 450.0000000000148, 635.000000000018, 339.0000000000159, 359.0000000000099, 198.00000000000512, 591.0000000000124, 260.00000000001245, 174.00000000000682, 488.0000000000162, 199.9999999999975]","[0, 0, 0, 0, 0, 23, 28, 38, 28, 48, 53, 0, 62]","[5, 8, 11, 17, 48, 48, 41, 41, 48, 53, 57, 62, 65]",13094789.000000114,642.0000000000093,-642.0000000000093,68218.9832627631,0.12695900572712937,0.1469234118559423,0.48484848484848486,DWT,inu.32000013032927,0.0,0.0,0.0,1.1362135410308838e-07,0.0,0.0,22.5,5.0,1.0562644092715345e-09,2.357887077383007e-10,3.200801240216771e-11,0.0,22.5,1.5543122344752192e-15,9.322320693172514e-12,46.999999999989654,1324.0000000001346,71.96153846153298,0.0,9.89530235528946e-10,46.999999999989654,0.0,1.2732925824820995e-11,61.00000000000534,0.0,22.5,1.7962520360015333e-11,9.322320693172514e-12,0.0,5.9969806898152456e-12,0.5245347271067282,0.6322217942713597,0.37719387750447775,0.2905488712214618,0.6466658979443639,0.004247615068588538,0.002123807534294269,0.004247615068588538,172,1.194314579818286,0.6540065305237027,108,0,0.004247615068588538,0.004247615068588538,172,0,0.49423303360967835,0.6658084040148826,78,47.226405043506475,0.9239510385772842,132.5,118.66732186732186,0.8552927495623941,12,sym,0.9549116669499367,1.0,0.03156183313504433,6,10.5,,,,,,,,,9.333644968023691e-13,0.5245347271067282,0.6322217942713597,0.4594189847264333,0.33838702186245573,0.6721742101449133,0.999999999980907,0.9999999999696951,0.9999999999696951,0.9999999999862714,0.9999999999817888,1.0,0.004247615068588538,0.75,0.5,0.0,2.227123807497159,0.8172931403855489,172,1.2647657185661612,0.6843751636595562,206,24.041630560342615,0.9806428095327354,189.0,187.47089947089947,0.9142344482446285,5,790.8888888888889,915.5,358.0386585148251,288,1.0,0.9648950424173064,0.010531487274808082,6,5.25,5
rbio3.1,1,reflect,9.930207967907501e-27,316.181117121369,2780695.910809505,0.6617647058823529,553.9253729722988,66,raw,8.087133656345306e-14,-6.10206329909609e-11,5.344740604672378,57475.230441717125,0.6730951550510296,9.719536693984642e-06,0.9999999999999997,127.49999999999994,0.030303030303030304,3682.640894513136,5,"[0.0, 0.015151515151515152, 0.030303030303030304, 0.045454545454545456, 0.06060606060606061, 0.07575757575757576, 0.09090909090909091, 0.10606060606060606, 0.12121212121212122, 0.13636363636363635, 0.15151515151515152, 0.16666666666666669, 0.18181818181818182, 0.19696969696969696, 0.21212121212121213, 0.2272727272727273, 0.24242424242424243, 0.25757575757575757, 0.2727272727272727, 0.2878787878787879, 0.30303030303030304, 0.3181818181818182, 0.33333333333333337, 0.3484848484848485, 0.36363636363636365, 0.3787878787878788, 0.3939393939393939, 0.4090909090909091, 0.42424242424242425, 0.4393939393939394, 0.4545454545454546, 0.4696969696969697, 0.48484848484848486]","[26808.999999999996, 1204.619439649478, 1441.5514467245798, 3682.640894513136, 1219.6242544458798, 2296.3467473543487, 1243.3273386139574, 2826.0716297270433, 885.4657404846955, 1214.4700797448882, 1925.2913119733707, 1357.4045086119318, 825.3326698416993, 2711.5771640705498, 440.5179009828698, 2264.5173450058596, 1300.3725293337434, 420.9887283711815, 888.3736546997739, 1009.832872281691, 362.02286230631205, 1382.4342556371823, 1530.6786076770002, 1722.4314907117405, 685.4522079761524, 657.8383521016787, 1050.0548728897252, 773.3835985281903, 1196.5195098254699, 516.7974772864698, 837.8768605010442, 1164.8888096721796, 371.2781012182875]",13,339.99999999999994,73.0,634.9999999999999,"[4, 7, 10, 13, 21, 25, 35, 39, 44, 51, 56, 60, 63]","[73.0, 301.0, 352.0, 449.99999999999994, 634.9999999999999, 338.9999999999998, 358.99999999999994, 198.00000000000006, 590.9999999999999, 259.99999999999983, 174.0, 487.9999999999999, 200.00000000000017]","[0, 0, 0, 0, 0, 23, 28, 38, 28, 48, 53, 0, 62]","[5, 8, 11, 17, 48, 48, 41, 41, 48, 53, 57, 62, 65]",13094788.999999998,641.9999999999999,-641.9999999999999,68218.9832627621,0.12695900572712782,0.1469234118559423,0.48484848484848486,DWT,inu.32000013032927,0.0,0.0,0.0,1.862645149230957e-09,0.0,0.0,22.5,5.0,1.972466634470038e-11,5.23175660963017e-12,5.977171619606177e-13,0.0,22.5,0.0,1.1368683772161603e-13,47.00000000000006,1323.999999999999,71.96153846153851,0.0,0.0,47.00000000000006,0.0,4.547473508864641e-13,61.0,0.0,22.5,1.1368683772161603e-13,1.1368683772161603e-13,0.0,5.684341886080802e-14,0.9049052474445856,0.6962630132634906,0.1586400939696131,0.7001828153564897,0.15907189180170977,6.963303391128752e-05,3.481651695564376e-05,6.963303391128752e-05,235,1.3140965849465829,0.7195991431543288,58,0,6.963303391128752e-05,6.963303391128752e-05,302,0,0.5238126123671779,0.7056566755480981,50,126.86837010592252,0.7957031077199315,161.25,89.26985944572036,0.7680206359855696,61,rbio,0.9388476573565236,0.7828732131959959,0.10794467589163467,5,47.0,,,,,,,,,9.379164112033322e-13,0.9049052474445856,0.6962630132634907,0.26971945877804165,0.7203994293865905,0.21978116553821925,0.9999999999808195,0.9999999999700834,0.9999999999700834,0.9999999999863798,0.9999999999816834,1.0,6.963303391128752e-05,0.75,0.5,0.0,2.225034816480007,0.8165265381774013,206,1.4020066224577228,0.7586373488870725,95,78.48885271170677,0.936804466415695,150.5,130.03322259136212,0.9078144715331293,6,560.1037037037037,476.0,371.06487521984525,270,0.708195185913646,1.0,0.20426336986044774,4,5.5,6
