wavelet,wavelet_level,wavelet_mode,wavelet_mse,wavelet_psnr,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,signal_length,signal_type,emd_value,kl_divergence,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,fft_frequency_max,fft_amplitude_max,fft_spectral_centroid,fft_spectral_bandwidth,fft_spectral_magnitude,fft_variance_magnitude,fft_num_peaks,fft_peak_amplitude,fft_dominant_frequency,fft_positive_frequencies,fft_positive_amplitudes,fft_snr_threshold,fft_stationarity_threshold,fft_dynamic_cutoff,fft_dynamic_cutoff_percentile,stft_frequency_max,stft_amplitude_max,stft_spectral_centroid,stft_spectral_bandwidth,stft_spectral_magnitude,stft_variance_magnitude,stft_peak_freq_over_time,stft_num_peaks,stft_peak_amplitude,stft_dominant_frequency,stft_positive_frequencies,stft_positive_amplitudes,stft_snr_threshold,stft_stationarity_threshold,stft_window,stft_nperseg,stft_noverlap,stft_dynamic_cutoff,stft_dynamic_cutoff_percentile,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,wavelet_type,htid,fft_frequency_max_diff,fft_snr_threshold_diff,lower_envelope_diff,stft_dynamic_cutoff_percentile_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,prominence_threshold_diff,prominence_min_diff,stft_window_diff,fft_peak_amplitude_diff,avg_prominence_diff,stft_spectral_bandwidth_diff,stft_num_peaks_diff,stft_variance_magnitude_diff,stft_noverlap_diff,fft_spectral_centroid_diff,stft_dominant_frequency_diff,stft_nperseg_diff,fft_variance_magnitude_diff,stft_snr_threshold_diff,stft_dynamic_cutoff_diff,distance_factor_diff,fft_stationarity_threshold_diff,fft_amplitude_max_diff,fft_spectral_magnitude_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,max_autocorrelation_diff,stft_spectral_centroid_diff,stft_amplitude_max_diff,fft_dynamic_cutoff_diff,fft_num_peaks_diff,stft_peak_amplitude_diff,prominence_max_diff,upper_envelope_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,stft_stationarity_threshold_diff,fft_dominant_frequency_diff,fft_dynamic_cutoff_percentile_diff,stft_frequency_max_diff,stft_spectral_magnitude_diff,relative_num_peaks_diff,fft_spectral_bandwidth_diff,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,avg_variance_across_levels_normalized,max_autocorrelation_diff_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,reconstruction_signal_num_missing_metrics,reconstruction_signal_missing_metrics_count,reconstruction_signal_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,kl_divergence_normalized,across_smoothness_normalized,across_wavelet_psnr_normalized,across_wavelet_entropy_normalized,across_wavelet_energy_entropy_normalized,across_wavelet_sparsity_normalized,across_avg_variance_across_levels_normalized,across_prominence_min_diff_normalized,across_avg_prominence_diff_normalized,across_relative_prominences_avg_diff_normalized,across_relative_prominences_wasserstein_normalized,across_relative_prominences_total_diff_normalized,across_relative_num_peaks_diff_normalized,across_max_autocorrelation_diff_normalized,across_relative_right_bases_global_alignment_score_normalized,across_relative_right_bases_array_alignment_score_normalized,across_relative_left_bases_global_alignment_score_normalized,across_relative_left_bases_array_alignment_score_normalized,across_relative_peaks_array_alignment_score_normalized,across_relative_peaks_global_alignment_score_normalized,across_reconstruction_signal_weighted_score,across_reconstruction_signal_normalized_weighted_score,across_reconstruction_signal_normalized_weighted_rank,across_wavelet_signal_weighted_score,across_wavelet_signal_normalized_weighted_score,across_wavelet_signal_normalized_weighted_rank,across_rank_variability,across_normalized_rank_stability,across_average_rank,across_harmonic_average_rank,across_stability_score_weighted,across_stability_rank,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,across_normalized_family_mean_rank,across_normalized_family_std_dev,across_final_family_stability_score,across_final_family_stability_rank,across_family_informed_rank
db15,1,periodic,3.354297250607836e-28,333.1804875414494,121646.83376606488,0.6595744680851063,32.64785267080199,65,smoothed,9.851948316981389e-15,,4.470086353434689,5733.9027655560185,0.5555613639530482,3.215677636027809e-05,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,48.59583333333334,0.19999999999998685,410.7333333333334,"[7, 11, 13, 15, 17, 22, 24, 27, 29, 31, 35, 43, 45, 48, 52, 55]","[410.7333333333334, 3.7333333333333627, 16.99999999999994, 10.466666666666647, 16.399999999999977, 0.19999999999998685, 42.8, 14.399999999999974, 27.533333333333356, 2.9999999999999964, 77.66666666666669, 24.400000000000027, 5.399999999999978, 31.73333333333336, 18.266666666666687, 73.80000000000003]","[6, 9, 12, 14, 14, 20, 20, 26, 28, 30, 20, 41, 44, 41, 50, 41]","[58, 12, 20, 16, 20, 23, 32, 32, 32, 32, 58, 46, 46, 50, 54, 58]",0.05,30,365110.58666666667,424.5333333333333,-424.5333333333333,DWT,inu.32000013032927,,,5.684341886080802e-14,,0.0,-11.5,0.0,0.13333333333332753,,,36.900462962962955,,,,,,,,,,,10.0,,,,0.0,-11.5,36.900462962962955,8.066666666666833,38.60416666666666,8863708.000000002,,,,,,5.684341886080802e-14,5.684341886080802e-14,0.0,-11.5,,,,,,7.0,,0.8454624761667301,0.9831485833738871,0.11781773739837911,0.5893951208644312,0.23620573253419588,,0.0,,310,1.388000987445622,0.737239753746908,51,,,,,,0,0,0.5544059300675247,0.7099632878389706,54,148.67526133601828,0.753440694301794,138.33333333333334,72.5475866757308,0.7620160906555957,150,db,0.46769477062545634,0.7080530142446911,0.46019775628877313,1,112.75,,0.9999999999954453,0.8591161534267705,0.6497031580941208,0.006113233054049094,0.617694180979236,0.010343973834271963,0.9999999997818811,0.9999999999973364,0.9999999999973364,0.9999999999978767,0.9999999997323802,1.0,0.9999999999998505,0.0,0.0,0.0,0.0,0.0,0.0,2.599999999798445,0.9999999999250108,126,1.394593149554184,0.7584047874330754,203,54.44722215136416,0.9555169753665326,164.5,155.48936170212767,0.9105607752649656,1,469.95286195286195,480.0,322.27394832734734,297,0.6591204234963001,0.7130709214717414,0.3246944271110675,2,1.25
db14,1,symmetric,2.5831022785431677e-28,334.31508697857214,135719.51880174177,0.6630434782608695,40.20126005462597,65,smoothed,7.607589771816073e-15,,4.365385282913849,6395.89220474539,0.5437666352747036,3.215677636027809e-05,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,48.59583333333333,0.19999999999998153,410.73333333333335,"[7, 11, 13, 15, 17, 22, 24, 27, 29, 31, 35, 43, 45, 48, 52, 55]","[410.73333333333335, 3.733333333333338, 16.999999999999943, 10.466666666666642, 16.399999999999984, 0.19999999999998153, 42.80000000000002, 14.399999999999986, 27.533333333333367, 3.0000000000000098, 77.66666666666669, 24.400000000000034, 5.399999999999976, 31.73333333333334, 18.26666666666666, 73.80000000000004]","[4, 9, 12, 14, 14, 20, 20, 26, 28, 30, 20, 41, 44, 41, 50, 41]","[58, 12, 20, 16, 20, 23, 32, 32, 32, 32, 58, 46, 46, 50, 54, 58]",0.05,30,365110.5866666668,424.5333333333334,-424.5333333333334,DWT,inu.32000013032927,,,5.684341886080802e-14,,0.0,-11.5,0.0,0.13333333333333286,,,36.90046296296296,,,,,,,,,,,10.0,,,,0.0,-11.5,36.90046296296296,8.06666666666672,38.60416666666667,8863708.000000002,,,,,,0.0,5.684341886080802e-14,0.0,-11.5,,,,,,7.0,,0.8563281785563414,0.9342436155153688,0.1862740648000162,0.6064193034372864,0.3135327482685368,,0.0,,228,1.4420365679738267,0.765940870275289,41,,,,,,0,0,0.5793595821155101,0.7419185319854745,44,107.10897877084503,0.8223731695342537,104.33333333333333,58.24848942598187,0.8246746997477792,96,db,0.46769477062545634,0.7080530142446911,0.46019775628877313,1,72.25,,0.9999999999954453,0.8690218508289105,0.6173848365285926,0.00966524052483797,0.6335450497642743,0.013730295659981906,0.9999999997819211,0.9999999999973366,0.9999999999973366,0.999999999997877,0.9999999997323661,1.0,0.9999999999998505,0.0,0.0,0.0,0.0,0.0,0.0,2.5999999997984498,0.9999999999250127,107,1.3938482871923976,0.7579997179105856,206,70.0035713374682,0.9428075397569704,156.5,140.84345047923324,0.9074740313163937,2,469.95286195286195,480.0,322.27394832734734,297,0.6591204234963001,0.7130709214717414,0.3246944271110675,2,2.0
db14,1,antisymmetric,3.2281477725815797e-28,333.3469689347439,135732.22127888617,0.6630434782608695,40.20126005462597,65,smoothed,9.144821652066288e-15,,4.36497674906492,6183.798232174595,0.5644728330606208,3.21567763602781e-05,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,48.59583333333333,0.19999999999998153,410.7333333333333,"[7, 11, 13, 15, 17, 22, 24, 27, 29, 31, 35, 43, 45, 48, 52, 55]","[410.7333333333333, 3.7333333333333663, 16.999999999999947, 10.466666666666637, 16.399999999999977, 0.19999999999998153, 42.80000000000002, 14.399999999999986, 27.533333333333367, 3.0000000000000098, 77.66666666666669, 24.400000000000034, 5.399999999999977, 31.733333333333345, 18.266666666666666, 73.80000000000004]","[5, 9, 12, 14, 14, 20, 20, 26, 28, 30, 20, 41, 44, 41, 50, 41]","[58, 12, 20, 16, 20, 23, 32, 32, 32, 32, 58, 46, 46, 50, 54, 58]",0.05,30,365110.5866666666,424.5333333333333,-424.5333333333333,DWT,inu.32000013032927,,,5.684341886080802e-14,,0.0,-11.5,0.0,0.13333333333333286,,,36.90046296296296,,,,,,,,,,,10.0,,,,0.0,-11.5,36.90046296296296,8.06666666666672,38.604166666666664,8863708.000000002,,,,,,5.684341886080802e-14,5.684341886080802e-14,0.0,-11.5,,,,,,7.0,,0.8470568161723391,0.9340527928747635,0.18633585577537054,0.6064193034372864,0.28875804193149335,,0.0,,233,1.4264993521759826,0.7576882441948166,45,,,,,,0,0,0.5725245620382506,0.7331657155682593,47,107.96913139102924,0.8209467141110627,108.33333333333333,62.773767568256126,0.8206447224507774,102,db,0.46769477062545634,0.7080530142446911,0.46019775628877313,1,76.75,,0.9999999999954459,0.8605696305316457,0.6172587334406834,0.009668446685822896,0.6335450497642743,0.01264535622454696,0.9999999997819211,0.9999999999973366,0.9999999999973366,0.999999999997877,0.9999999997323661,1.0,0.9999999999998505,0.0,0.0,0.0,0.0,0.0,0.0,2.5999999997984498,0.9999999999250127,103,1.388281530776403,0.7549724158492541,217,80.61017305526642,0.9341420154777236,160.0,139.69375,0.9017115306146788,3,469.95286195286195,480.0,322.27394832734734,297,0.6591204234963001,0.7130709214717414,0.3246944271110675,2,2.75
db14,1,reflect,4.1322904590792765e-28,332.27459459843425,124827.3693596735,0.6630434782608695,40.86892158145115,65,smoothed,9.56329033057885e-15,,4.407518246386562,5722.679321070167,0.5934141738257365,3.21567763602781e-05,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,48.59583333333333,0.19999999999998153,410.73333333333335,"[7, 11, 13, 15, 17, 22, 24, 27, 29, 31, 35, 43, 45, 48, 52, 55]","[410.73333333333335, 3.733333333333327, 16.999999999999954, 10.466666666666637, 16.399999999999974, 0.19999999999998153, 42.80000000000002, 14.399999999999986, 27.533333333333367, 3.0000000000000098, 77.66666666666669, 24.400000000000034, 5.39999999999998, 31.73333333333334, 18.266666666666662, 73.80000000000004]","[0, 9, 12, 14, 14, 20, 20, 26, 28, 30, 20, 41, 44, 41, 50, 41]","[58, 12, 20, 16, 20, 23, 32, 32, 32, 32, 58, 46, 46, 50, 54, 58]",0.05,30,365110.58666666667,424.5333333333333,-424.5333333333333,DWT,inu.32000013032927,,,5.684341886080802e-14,,0.0,-11.5,0.0,0.13333333333333286,,,36.90046296296296,,,,,,,,,,,10.0,,,,0.0,-11.5,36.90046296296296,8.06666666666672,38.60416666666667,8863708.000000002,,,,,,0.0,5.684341886080802e-14,0.0,-11.5,,,,,,7.0,,0.8367870240260054,0.9539235597047364,0.13328939652786653,0.6064193034372864,0.2348947214863253,,0.0,,232,1.3822043025013495,0.7341608318876889,52,,,,,,0,0,0.553062801036444,0.708243298475253,56,102.78780731844284,0.8295392913458659,113.33333333333333,72.46681922196797,0.820795074086421,101,db,0.46769477062545634,0.7080530142446911,0.46019775628877313,1,76.0,,0.9999999999954459,0.8512071935959793,0.6303901157988632,0.0069160141978724665,0.6335450497642743,0.010286561747655243,0.9999999997819211,0.9999999999973366,0.9999999999973366,0.999999999997877,0.9999999997323661,1.0,0.9999999999998505,0.0,0.0,0.0,0.0,0.0,0.0,2.5999999997984498,0.9999999999250127,110,1.3869100257593607,0.754226566802709,224,80.61017305526642,0.9341420154777236,167.0,147.54491017964074,0.8988520534904958,4,469.95286195286195,480.0,322.27394832734734,297,0.6591204234963001,0.7130709214717414,0.3246944271110675,2,3.5
db8,1,antisymmetric,1.8206530432450365e-28,335.8342310896743,155226.7732688561,0.7375,24.353946990273748,65,smoothed,6.54177566817592e-15,,3.4494808757352677,6394.3340929011465,0.546499933698668,3.215677636027808e-05,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,48.59583333333334,0.1999999999999904,410.73333333333335,"[7, 11, 13, 15, 17, 22, 24, 27, 29, 31, 35, 43, 45, 48, 52, 55]","[410.73333333333335, 3.7333333333333716, 16.99999999999994, 10.46666666666664, 16.399999999999977, 0.1999999999999904, 42.80000000000001, 14.399999999999974, 27.53333333333336, 3.0000000000000053, 77.66666666666669, 24.400000000000038, 5.399999999999975, 31.73333333333335, 18.266666666666683, 73.80000000000001]","[5, 9, 12, 14, 14, 20, 20, 26, 28, 30, 20, 41, 44, 41, 50, 41]","[58, 12, 20, 16, 20, 23, 32, 32, 32, 32, 58, 46, 46, 50, 54, 58]",0.05,30,365110.5866666668,424.5333333333334,-424.5333333333334,DWT,inu.32000013032927,,,5.684341886080802e-14,,0.0,-11.5,0.0,0.13333333333332398,,,36.900462962962955,,,,,,,,,,,10.0,,,,0.0,-11.5,36.900462962962955,8.066666666666833,38.60416666666667,8863708.000000002,,,,,,0.0,5.684341886080802e-14,0.0,-11.5,,,,,,7.0,,0.8708765444889262,0.5064325590312029,0.2811667590600207,0.971815008726004,0.31335074515494754,,0.0,,296,1.4303918872913481,0.7597557727166692,44,,,,,,0,0,0.5887283232922204,0.7539159907570996,40,146.66060593538174,0.7567817480341927,126.66666666666667,58.70192307692307,0.7733604704792301,133,db,0.46769477062545634,0.7080530142446911,0.46019775628877313,1,100.0,,0.999999999995445,0.8822848416100285,0.33467050507779733,0.014588957173516381,0.9737575301204822,0.013722325339259683,0.9999999997818545,0.9999999999973364,0.9999999999973364,0.999999999997877,0.9999999997323802,1.0,0.9999999999998505,0.0,0.0,0.0,0.0,0.0,0.0,2.599999999798437,0.9999999999250077,244,1.3989925782742043,0.7607972757400061,193,36.062445840513924,0.9705372174505605,218.5,215.52402745995423,0.8960120727775678,5,469.95286195286195,480.0,322.27394832734734,297,0.6591204234963001,0.7130709214717414,0.3246944271110675,2,4.25
db8,1,symmetric,1.6061781661126313e-28,336.3785658241695,155225.38344151844,0.7375,24.353946990273748,65,smoothed,5.917488721252081e-15,,3.4495117610371144,6623.753850146214,0.5274273816450283,3.215677636027808e-05,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,48.59583333333334,0.1999999999999904,410.73333333333335,"[7, 11, 13, 15, 17, 22, 24, 27, 29, 31, 35, 43, 45, 48, 52, 55]","[410.73333333333335, 3.7333333333333716, 16.99999999999994, 10.46666666666664, 16.399999999999977, 0.1999999999999904, 42.80000000000001, 14.399999999999974, 27.53333333333336, 3.0000000000000053, 77.66666666666669, 24.400000000000038, 5.399999999999975, 31.73333333333335, 18.266666666666683, 73.80000000000001]","[5, 9, 12, 14, 14, 20, 20, 26, 28, 30, 20, 41, 44, 41, 50, 41]","[58, 12, 20, 16, 20, 23, 32, 32, 32, 32, 58, 46, 46, 50, 54, 58]",0.05,30,365110.5866666668,424.5333333333334,-424.5333333333334,DWT,inu.32000013032927,,,5.684341886080802e-14,,0.0,-11.5,0.0,0.13333333333332398,,,36.900462962962955,,,,,,,,,,,10.0,,,,0.0,-11.5,36.900462962962955,8.066666666666833,38.60416666666667,8863708.000000002,,,,,,0.0,5.684341886080802e-14,0.0,-11.5,,,,,,7.0,,0.8760894672454825,0.5064469852895648,0.28115999826952354,0.971815008726004,0.3401492771677568,,0.0,,291,1.444242886484338,0.7671127611673625,40,,,,,,0,0,0.5951321473396664,0.7621166244965569,34,146.6776511038179,0.7567534807565208,121.66666666666667,51.85987595003057,0.7774922738221521,126,db,0.46769477062545634,0.7080530142446911,0.46019775628877313,1,94.75,,0.999999999995445,0.8870371929588514,0.3346800385153425,0.01458860637499615,0.9737575301204822,0.01489589259761262,0.9999999997818545,0.9999999999973364,0.9999999999973364,0.999999999997877,0.9999999997323802,1.0,0.9999999999998505,0.0,0.0,0.0,0.0,0.0,0.0,2.599999999798437,0.9999999999250077,248,1.4023180073063517,0.7626057037385631,186,43.840620433565945,0.9641824996457795,217.0,212.57142857142856,0.8934474589732165,6,469.95286195286195,480.0,322.27394832734734,297,0.6591204234963001,0.7130709214717414,0.3246944271110675,2,5.0
db14,1,antireflect,1.6954351227180347e-28,336.14369124582794,124766.96610708846,0.6413043478260869,39.125264096874204,65,smoothed,7.355654546997287e-15,,4.409652051881848,5927.873394388775,0.5709508504132682,3.2156776360278096e-05,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,48.59583333333333,0.19999999999998153,410.73333333333335,"[7, 11, 13, 15, 17, 22, 24, 27, 29, 31, 35, 43, 45, 48, 52, 55]","[410.73333333333335, 3.7333333333333627, 16.99999999999994, 10.466666666666642, 16.399999999999984, 0.19999999999998153, 42.80000000000002, 14.399999999999986, 27.533333333333367, 3.0000000000000098, 77.66666666666669, 24.400000000000034, 5.399999999999978, 31.73333333333335, 18.266666666666666, 73.80000000000004]","[4, 9, 12, 14, 14, 20, 20, 26, 28, 30, 20, 41, 44, 41, 50, 41]","[58, 12, 20, 16, 20, 23, 32, 32, 32, 32, 58, 46, 46, 50, 54, 58]",0.05,30,365110.58666666667,424.5333333333333,-424.5333333333333,DWT,inu.32000013032927,,,5.684341886080802e-14,,0.0,-11.5,0.0,0.13333333333333286,,,36.90046296296296,,,,,,,,,,,10.0,,,,0.0,-11.5,36.90046296296296,8.06666666666672,38.604166666666664,8863708.000000002,,,,,,0.0,5.684341886080802e-14,0.0,-11.5,,,,,,7.0,,0.8738401471915109,0.9549202418651399,0.13299556597423717,0.4997344259807268,0.2588634502858832,,0.0,,234,1.3717011427412389,0.7285820556583156,57,,,,,,0,0,0.5440707662594997,0.6967282438404222,64,100.23139893932107,0.8337787745616566,118.33333333333333,80.12314623615543,0.8187688787125585,104,db,0.46769477062545634,0.7080530142446911,0.46019775628877313,1,78.25,,0.9999999999954456,0.8849866045094097,0.6310487624756533,0.006900768151798298,0.5342129387113671,0.011336205635986779,0.9999999997819211,0.9999999999973366,0.9999999999973366,0.999999999997877,0.9999999997323661,1.0,0.9999999999998505,0.0,0.0,0.0,0.0,0.0,0.0,2.5999999997984498,0.9999999999250127,115,1.3681863857569465,0.7440443152833008,266,106.77312395916867,0.9127670555889145,190.5,160.57742782152232,0.8785649003434768,7,469.95286195286195,480.0,322.27394832734734,297,0.6591204234963001,0.7130709214717414,0.3246944271110675,2,5.75
db14,1,periodic,3.6992342666167353e-28,332.75538464998874,121300.6881394838,0.6521739130434783,36.6169901926839,65,smoothed,9.308793052626309e-15,,4.32729678567033,5666.009553498418,0.5593411164500772,3.21567763602781e-05,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,48.59583333333333,0.19999999999998153,410.73333333333323,"[7, 11, 13, 15, 17, 22, 24, 27, 29, 31, 35, 43, 45, 48, 52, 55]","[410.73333333333323, 3.7333333333333876, 16.999999999999957, 10.466666666666644, 16.39999999999998, 0.19999999999998153, 42.80000000000002, 14.399999999999986, 27.533333333333367, 3.0000000000000098, 77.66666666666669, 24.400000000000034, 5.399999999999978, 31.733333333333345, 18.26666666666666, 73.80000000000005]","[4, 9, 12, 14, 14, 20, 20, 26, 28, 30, 20, 41, 44, 41, 50, 41]","[58, 12, 20, 16, 20, 23, 32, 32, 32, 32, 58, 46, 46, 50, 54, 58]",0.05,30,365110.58666666655,424.53333333333336,-424.53333333333336,DWT,inu.32000013032927,,,0.0,,0.0,-11.5,0.0,0.13333333333333286,,,36.90046296296296,,,,,,,,,,,10.0,,,,0.0,-11.5,36.90046296296296,8.06666666666672,38.60416666666667,8863708.000000002,,,,,,1.1368683772161603e-13,0.0,0.0,-11.5,,,,,,7.0,,0.8413913993157771,0.9164528066515496,0.11613391812140347,0.553076864709007,0.22827512342438627,,0.0,,229,1.3336689972293003,0.7083811985657794,80,,,,,,0,0,0.5310660224444248,0.6800745787626884,86,84.34650753489046,0.8601218780515912,131.66666666666666,105.28266583507818,0.8208845985061715,100,db,0.46769477062545634,0.7080530142446911,0.46019775628877313,1,75.25,,0.9999999999954459,0.8554047637769902,0.6056279720023723,0.006025864378598644,0.583878994237821,0.009996674840968167,0.9999999997819211,0.9999999999973366,0.9999999999973366,0.999999999997877,0.9999999997323661,1.0,0.9999999999998505,0.0,0.0,0.0,0.0,0.0,0.0,2.5999999997984498,0.9999999999250127,108,1.3566200440868288,0.737754331069261,289,127.9863273947651,0.8954360070304207,198.5,157.23929471032744,0.8666314022080208,8,469.95286195286195,480.0,322.27394832734734,297,0.6591204234963001,0.7130709214717414,0.3246944271110675,2,6.5
db13,1,reflect,3.1922944236993356e-28,333.39547361077064,134152.4226005705,0.6777777777777778,37.048550192173494,65,smoothed,7.961153104273618e-15,,4.120651823467795,5864.078616487944,0.5993134114690295,3.2156776360278076e-05,0.9999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,48.595833333333346,0.19999999999999485,410.73333333333346,"[7, 11, 13, 15, 17, 22, 24, 27, 29, 31, 35, 43, 45, 48, 52, 55]","[410.73333333333346, 3.7333333333333485, 16.999999999999925, 10.466666666666644, 16.399999999999977, 0.19999999999999485, 42.80000000000001, 14.399999999999991, 27.533333333333367, 3.0000000000000018, 77.66666666666669, 24.40000000000004, 5.399999999999976, 31.73333333333334, 18.266666666666648, 73.79999999999998]","[5, 9, 12, 14, 14, 20, 20, 26, 28, 30, 20, 41, 44, 41, 50, 41]","[58, 12, 20, 16, 20, 23, 32, 32, 32, 32, 58, 46, 46, 50, 54, 58]",0.05,30,365110.58666666684,424.5333333333334,-424.5333333333334,DWT,inu.32000013032927,,,5.684341886080802e-14,,0.0,-11.5,0.0,0.13333333333331954,,,36.90046296296295,,,,,,,,,,,10.0,,,,0.0,-11.5,36.90046296296295,8.066666666666947,38.604166666666664,8863708.000000002,,,,,,1.1368683772161603e-13,5.684341886080802e-14,0.0,-11.5,,,,,,7.0,,0.8475213302175313,0.8199307254123878,0.17865095305230977,0.6787279426022885,0.25141157945158854,,0.0,,223,1.3798594461844185,0.7329153563373815,53,,,,,,0,0,0.5552485061472212,0.711042277170349,53,98.14954576223639,0.8372312673926428,109.66666666666667,71.0561122244489,0.827681415896432,92,db,0.46769477062545634,0.7080530142446911,0.46019775628877313,1,69.25,,0.9999999999954446,0.8609931038981828,0.5418423936397454,0.009269698565368745,0.7008701472556896,0.011009871655438014,0.9999999997818212,0.9999999999973361,0.9999999999973361,0.999999999997877,0.9999999997323943,1.0,0.9999999999998505,0.0,0.0,0.0,0.0,0.0,0.0,2.5999999997984338,0.9999999999250064,319,1.376903916004551,0.7487850647101064,244,53.033008588991066,0.9566723786037654,281.5,276.5044404973357,0.8633443592365233,9,469.95286195286195,480.0,322.27394832734734,297,0.6591204234963001,0.7130709214717414,0.3246944271110675,2,7.25
db15,1,symmetric,2.6778490243808184e-28,334.1586421227528,135860.23594977017,0.6382978723404256,33.58065665299457,65,smoothed,9.626487641211356e-15,,4.321026330156714,6198.353421270447,0.5441791588499895,3.21567763602781e-05,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,48.59583333333333,0.19999999999998685,410.7333333333333,"[7, 11, 13, 15, 17, 22, 24, 27, 29, 31, 35, 43, 45, 48, 52, 55]","[410.7333333333333, 3.733333333333375, 16.999999999999943, 10.466666666666645, 16.399999999999977, 0.19999999999998685, 42.8, 14.399999999999974, 27.533333333333356, 2.9999999999999964, 77.66666666666667, 24.400000000000027, 5.399999999999977, 31.733333333333356, 18.266666666666683, 73.80000000000003]","[5, 9, 12, 14, 14, 20, 20, 26, 28, 30, 20, 41, 44, 41, 50, 41]","[58, 12, 20, 16, 20, 23, 32, 32, 32, 32, 58, 46, 46, 50, 54, 58]",0.05,30,365110.5866666666,424.5333333333333,-424.5333333333333,DWT,inu.32000013032927,,,5.684341886080802e-14,,0.0,-11.5,0.0,0.13333333333332753,,,36.90046296296296,,,,,,,,,,,10.0,,,,0.0,-11.5,36.90046296296296,8.06666666666672,38.604166666666664,8863708.000000002,,,,,,5.684341886080802e-14,5.684341886080802e-14,0.0,-11.5,,,,,,7.0,,0.8548299553172839,0.9135239309120162,0.1869585808772279,0.4849801344175859,0.2904582342149375,,0.0,,309,1.3733145765380017,0.7294390345407308,55,,,,,,0,0,0.5461501671478103,0.699391091063612,60,145.22511261256895,0.7591623339758392,141.33333333333334,78.77172653534183,0.7623893483035635,147,db,0.46769477062545634,0.7080530142446911,0.46019775628877313,1,110.5,,0.9999999999954459,0.8676559983957399,0.6036924559981587,0.009700758150635536,0.5204755190976674,0.012719811422160054,0.9999999997818811,0.9999999999973366,0.9999999999973366,0.999999999997877,0.9999999997323661,1.0,0.9999999999998505,0.0,0.0,0.0,0.0,0.0,0.0,2.5999999997984378,0.999999999925008,211,1.340568338318406,0.729025125347054,332,85.55992052357225,0.9300981041474083,271.5,258.0184162062615,0.8541421893286061,10,469.95286195286195,480.0,322.27394832734734,297,0.6591204234963001,0.7130709214717414,0.3246944271110675,2,8.0
