amplitude_max,amplitude_max_diff,avg_prominence,avg_prominence_diff,avg_variance_across_levels,correlation,dominant_frequency,dominant_frequency_diff,dynamic_cutoff,dynamic_cutoff_diff,emd_value,frequency_max,frequency_max_diff,htid,is_complex,kl_divergence,lower_envelope,lower_envelope_diff,max_autocorrelation,max_autocorrelation_diff,num_fft_peaks,num_fft_peaks_diff,positive_amplitudes,positive_amplitudes_dtw,positive_amplitudes_euclidean,positive_amplitudes_wasserstein,positive_frequencies,positive_frequencies_dtw,positive_frequencies_euclidean,positive_frequencies_wasserstein,prominence_max,prominence_max_diff,prominence_min,prominence_min_diff,relative_left_bases,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,relative_num_peaks,relative_num_peaks_diff,relative_peaks,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,relative_prominences,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,relative_right_bases,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,scales_used,signal_length,signal_type,smoothness,spectral_bandwidth,spectral_bandwidth_diff,spectral_centroid,spectral_centroid_diff,spectral_magnitude,spectral_magnitude_diff,upper_envelope,upper_envelope_diff,variance_ratio_across_levels,wavelet,wavelet_adaptive_threshold,wavelet_energy_entropy,wavelet_entropy,wavelet_psnr,wavelet_sparsity,wavelet_type,emd_value_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,positive_amplitudes_dtw_normalized,positive_amplitudes_euclidean_normalized,positive_amplitudes_wasserstein_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,spectral_centroid_diff_normalized,spectral_magnitude_diff_normalized,dynamic_cutoff_diff_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,amplitude_max_diff_normalized,spectral_bandwidth_diff_normalized,num_fft_peaks_diff_normalized,relative_num_peaks_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,top_wavelet_rank
938134.7144723386,926065.1349149204,38323.55950888176,37780.87200888176,709306.9603141866,0.33936554932667323,0.018518518518518517,0.0,44568.11523772616,44533.61523772616,81083.22765249592,0.4907407407407407,0.0,uc1.l0082987033,False,,-107709.88620759678,106693.88620759678,785388181286.6355,785335496377.6355,7.0,1.0,"[8812836.99193435, 1382776.7347747295, 746214.4605527609, 938134.7144723386, 235453.66371918816, 145313.0278183622, 272026.02351593244, 123820.14443291695, 83203.10313431527, 146519.52799742031, 44605.06168352266, 58596.47601823243, 92191.73623057264, 51429.99520959214, 41611.574717461626, 45989.13543839027, 34716.24941290206, 31987.817743046817, 21715.897673325526, 27459.282184495587, 26832.28083087209, 22843.602992288572, 22485.648397382392, 23306.77864424529, 26625.352117036175, 18477.439503681962, 18606.683185495393, 21472.894086314904, 19887.79373608416, 14410.398585830138, 18964.428106285628, 17851.3367807198, 17318.135576188073, 16694.16242741368, 16536.13953107631, 16328.670418657764, 15281.015106599672, 15360.577535819717, 14139.45387822713, 16811.335889363294, 16217.925182879819, 12936.650823135393, 17617.696928323556, 15613.132225414216, 14489.854743523945, 18610.776070247754, 15952.467558303983, 15766.981994846992, 18371.381709111334, 12281.559904611882, 13086.125725597693, 13346.355576822147, 13011.384137822017, 10170.481576485561]",13054695.548513336,8945022.733787933,254373.1925719637,"[0.0, 0.009259259259259259, 0.018518518518518517, 0.027777777777777776, 0.037037037037037035, 0.046296296296296294, 0.05555555555555555, 0.06481481481481481, 0.07407407407407407, 0.08333333333333333, 0.09259259259259259, 0.10185185185185185, 0.1111111111111111, 0.12037037037037036, 0.12962962962962962, 0.1388888888888889, 0.14814814814814814, 0.15740740740740738, 0.16666666666666666, 0.17592592592592593, 0.18518518518518517, 0.19444444444444442, 0.2037037037037037, 0.21296296296296297, 0.2222222222222222, 0.23148148148148145, 0.24074074074074073, 0.25, 0.25925925925925924, 0.2685185185185185, 0.2777777777777778, 0.28703703703703703, 0.2962962962962963, 0.3055555555555555, 0.31481481481481477, 0.32407407407407407, 0.3333333333333333, 0.34259259259259256, 0.35185185185185186, 0.3611111111111111, 0.37037037037037035, 0.3796296296296296, 0.38888888888888884, 0.39814814814814814, 0.4074074074074074, 0.41666666666666663, 0.42592592592592593, 0.4351851851851852, 0.4444444444444444, 0.45370370370370366, 0.4629629629629629, 0.4722222222222222, 0.48148148148148145, 0.4907407407407407]",0.0,0.0,0.0,84497.78946590226,83489.78946590226,12416.491387744842,12397.491387744842,"[0, 0, 73]",0.0,-10.0,3,13.0,"[25, 59, 86]",0.0,-14.5,"[12416.491387744842, 84497.78946590226, 18056.397672998166]",37780.87200888176,106287.67852664526,37780.87200888176,"[36, 107, 107]",0.0,-14.5,53,108,raw,1.4380318026172746e-06,0.07028060706064497,0.08119849421119495,0.025551101892158316,0.10355831801257914,13924308.520150565,13736152.39888605,107709.88620759678,106693.88620759678,0.03819629549942451,mexh,2089.8540832281874,2102784485.0426471,11.473921974060517,-38.457261320897,0.70020964360587,CWT,1.0,0.0,0.37816055111100516,1.0000000000000002,1.0,0.5701793912195995,0.09449485983596523,,0.08632641297925875,1.0,1.0,0.9999999999999999,0.6386890269590041,0.6386890269590041,0.6386890269590041,1.0000000000000002,0.9999999999999998,1.0,0.7473941211530417,0.8842697112353928,0.0,1.0,0.0,0.0,0.9999999999999999,0.05263157894736842,1.0,0.5677679187918869,0.5677679187918869,0.1,5.518920289762589,1.0,1,1.6549499759777286,0.9954964281475726,2,0.0,0.6328283973989024,1.0,1,0,0.5775478288809387,1.0,1,0.5,0.95,1.25,1.1428571428571428,0.9125,1,mexh,1.0,1.0,,1,0.16326530612244897,,,2,1.25,1
1153413.4253780404,1141343.8458206223,45036.99227034345,44494.30477034345,449819.5766446029,0.5821846523289413,0.018518518518518517,0.0,30887.121640837424,30852.621640837424,51126.137629943725,0.4907407407407407,0.0,uc1.l0082987033,False,,-83592.25292010004,82576.25292010004,323213045132.7315,323160360223.7315,7.0,1.0,"[5535495.876009991, 300280.7729063525, 661539.15753022, 1153413.4253780404, 239964.20910389835, 135277.88179094502, 330571.5941988209, 132147.5588128719, 83921.98442346265, 176182.51770955368, 35959.171540588846, 60391.94817134314, 99082.22903733951, 52080.47480939287, 41810.91540895022, 49751.3371843831, 35468.735001592955, 29893.01318398755, 15399.219048822446, 24952.414725795978, 25178.017030596875, 20527.136005924574, 20883.90277129435, 21897.716324938334, 27148.255079845778, 17517.78517909321, 16962.729599582493, 20354.843976218734, 18549.460750110542, 16932.90377821323, 16108.803699230677, 15799.52079888819, 14640.258882688824, 15023.831791014645, 15086.671064181264, 14910.895710165794, 16486.48316945172, 14287.147403606608, 16454.858852907644, 11391.942320815406, 14042.72812194332, 13539.109264140741, 14224.472731054508, 12673.174697557968, 12602.2341580193, 14559.204718280933, 12898.828242062153, 11438.257584379879, 12437.301960012479, 13624.701896074888, 12646.022484077526, 12456.38671717225, 12450.693331438806, 12602.48039416608]",8894348.75000026,5655484.714459173,176736.42731853673,"[0.0, 0.009259259259259259, 0.018518518518518517, 0.027777777777777776, 0.037037037037037035, 0.046296296296296294, 0.05555555555555555, 0.06481481481481481, 0.07407407407407407, 0.08333333333333333, 0.09259259259259259, 0.10185185185185185, 0.1111111111111111, 0.12037037037037036, 0.12962962962962962, 0.1388888888888889, 0.14814814814814814, 0.15740740740740738, 0.16666666666666666, 0.17592592592592593, 0.18518518518518517, 0.19444444444444442, 0.2037037037037037, 0.21296296296296297, 0.2222222222222222, 0.23148148148148145, 0.24074074074074073, 0.25, 0.25925925925925924, 0.2685185185185185, 0.2777777777777778, 0.28703703703703703, 0.2962962962962963, 0.3055555555555555, 0.31481481481481477, 0.32407407407407407, 0.3333333333333333, 0.34259259259259256, 0.35185185185185186, 0.3611111111111111, 0.37037037037037035, 0.3796296296296296, 0.38888888888888884, 0.39814814814814814, 0.4074074074074074, 0.41666666666666663, 0.42592592592592593, 0.4351851851851852, 0.4444444444444444, 0.45370370370370366, 0.4629629629629629, 0.4722222222222222, 0.48148148148148145, 0.4907407407407407]",0.0,0.0,0.0,71854.72295878896,70846.72295878896,24366.52308867916,24347.52308867916,"[0, 38, 0]",0.0,-14.5,3,13.0,"[22, 59, 90]",0.0,-10.0,"[38889.73076356223, 24366.52308867916, 71854.72295878896]",44494.30477034345,126427.97681103036,44494.30477034345,"[38, 72, 107]",0.0,-14.5,53,108,raw,1.2771606184942387e-06,0.07866197887882106,0.07281712239301885,0.03475895972054656,0.0943504601841909,9731923.196465502,9543767.075200986,83592.25292010004,82576.25292010004,0.03994546254032621,gaus2,1445.2022169876946,921409954.4094532,11.553946713190959,-34.561959222439434,0.6556603773584906,CWT,0.5185241196484849,0.33688417888254774,0.6313479921032765,0.36916733780032346,0.5805921052631584,1.0,0.003157386360436526,,0.44572514483974796,0.546226889825622,0.542849471262744,0.544758778202052,0.788754556096259,0.788754556096259,0.788754556096259,0.9047824142512202,0.6905531092734347,0.6925903700408507,0.9050652820380132,0.7342896546692295,0.299957630243595,0.8595185874559986,0.0,0.0,0.36673222467206845,0.05263157894736842,0.1,0.3645291319322448,0.3645291319322448,1.0,4.6627919420325075,0.8448739422241393,2,1.4914452048253122,0.8971439594748233,5,0.0,0.5355001394488733,0.8462011844757997,2,0,0.49138187429403263,0.8508072400620709,4,1.5,0.85,3.25,2.7586206896551726,0.7625,2,gaus,6.125,6.5,2.9001231500945415,8,1.0,1.0,0.0,1,1.75,2
1276420.563863731,1264350.9843063129,47514.884142464754,46972.196642464754,574258.7334857224,0.46692058594747243,0.018518518518518517,0.0,5.0,29.500000000000007,25384.96388257946,0.4907407407407407,0.0,uc1.l0082987033,False,,-56387.001867887135,55371.001867887135,99488769338.63995,99436084429.63995,7.0,1.0,"[1226343.943620984, 1624567.5757018342, 289000.95009877515, 1276420.563863731, 208366.37911816017, 89720.29088504773, 366493.17769567965, 118569.87835956717, 69573.09807163748, 194666.3346666544, 18390.1419403581, 52706.51207131044, 103829.75055306418, 45546.185357385795, 33621.661568387346, 51412.5438347128, 26046.76221821846, 22776.758918843563, 5638.372236367297, 17046.830089659084, 18213.60255778927, 13764.779383592486, 15273.88796810346, 15262.859282327123, 23496.66745703747, 10957.225057532001, 11498.688211526698, 19675.84879112512, 14507.735604246613, 11483.863846209892, 7590.098895781885, 10251.089369718182, 9731.733544622735, 9359.806458551675, 9942.927755201714, 9767.299097006771, 11675.630943041018, 10120.548194407907, 11159.509000003616, 7474.323058939798, 9899.426760759932, 8524.591072185387, 9173.116274811073, 8888.55177699538, 9325.975637801903, 10650.847958964749, 8842.858132893884, 8776.199747617364, 10170.91471866544, 6794.236272564158, 8501.686347418186, 7587.325829702335, 7102.859235617734, 8621.223514268791]",5379939.029250054,2431165.4151213355,111604.62087709065,"[0.0, 0.009259259259259259, 0.018518518518518517, 0.027777777777777776, 0.037037037037037035, 0.046296296296296294, 0.05555555555555555, 0.06481481481481481, 0.07407407407407407, 0.08333333333333333, 0.09259259259259259, 0.10185185185185185, 0.1111111111111111, 0.12037037037037036, 0.12962962962962962, 0.1388888888888889, 0.14814814814814814, 0.15740740740740738, 0.16666666666666666, 0.17592592592592593, 0.18518518518518517, 0.19444444444444442, 0.2037037037037037, 0.21296296296296297, 0.2222222222222222, 0.23148148148148145, 0.24074074074074073, 0.25, 0.25925925925925924, 0.2685185185185185, 0.2777777777777778, 0.28703703703703703, 0.2962962962962963, 0.3055555555555555, 0.31481481481481477, 0.32407407407407407, 0.3333333333333333, 0.34259259259259256, 0.35185185185185186, 0.3611111111111111, 0.37037037037037035, 0.3796296296296296, 0.38888888888888884, 0.39814814814814814, 0.4074074074074074, 0.41666666666666663, 0.42592592592592593, 0.4351851851851852, 0.4444444444444444, 0.45370370370370366, 0.4629629629629629, 0.4722222222222222, 0.48148148148148145, 0.4907407407407407]",0.0,0.0,0.0,61372.01245667611,60364.01245667611,28052.79516728355,28033.79516728355,"[0, 38, 72]",0.0,-14.5,3,13.0,"[13, 59, 95]",0.0,-14.5,"[61372.01245667611, 28052.79516728355, 53119.84480343461]",46972.196642464754,133861.65242739426,46972.196642464754,"[72, 72, 107]",0.0,-14.5,53,108,raw,7.490413089560921e-07,0.0790810696754229,0.07239803159641701,0.0454550953648048,0.08365432453993266,6214805.648627411,6026649.527362895,56387.001867887135,55371.001867887135,0.03492228759937726,gaus6,887.9313041253968,315857336.56705326,11.648752597256188,-29.4441594180315,0.6811670160726765,CWT,0.10480722384975086,0.7794957507747331,0.93130097462233,0.04581317693928082,0.8207236842105269,0.7959679836963869,0.04695896941453086,,0.5565902490921127,0.1629067709398942,0.09476245604994954,0.16284328950898658,0.8441429346124425,0.8441429346124425,0.8441429346124425,0.7941746885598242,0.4309488492953274,0.0,0.9632608582665501,0.6099371083001155,0.471349077210106,0.8524941446358938,0.0,0.0,0.060187446867754756,0.05263157894736842,0.1,0.13527105531449346,0.13527105531449346,0.1,3.376945117027257,0.6118851042823316,5,1.6531569483291482,0.9944178743268282,3,0.0,0.3734117014609181,0.5900678651522944,6,0,0.5035811090725058,0.8719297067538953,3,1.5,0.85,4.25,3.8709677419354844,0.7124999999999999,3,gaus,6.125,6.5,2.9001231500945415,8,1.0,1.0,0.0,1,2.5,3
1311277.9321195143,1299208.3525620962,48195.27166488223,47652.58416488223,599741.8541035226,0.4949926091854934,0.018518518518518517,0.0,5.0,29.500000000000007,23747.72542900867,0.4907407407407407,0.0,uc1.l0082987033,False,,-51745.61677414445,50729.61677414445,87890283609.90192,87837598700.90192,7.0,1.0,"[944137.3449393916, 1511504.8600796051, 145036.92331870226, 1311277.9321195143, 200399.07248048374, 76812.28548039585, 380169.0258602026, 116713.38538380504, 66564.54414542645, 202387.42184227676, 15870.275342909128, 51940.98583261558, 107019.08601945316, 44643.47089358916, 32591.169128522764, 53202.786951068825, 24363.113966796645, 21687.487392763218, 3949.0482382047812, 15732.837215785683, 17134.918446428448, 12849.161429481688, 14461.74003805203, 14301.397205451845, 22502.330342806505, 9870.21329164328, 10591.053580670468, 19916.00333338901, 14053.74578690393, 10203.064058160922, 6177.344601735539, 9106.649304405037, 9053.903109800347, 8509.064242767725, 9482.106691169993, 9010.709046317465, 11037.392667996137, 9419.315759633722, 10639.486167992896, 6495.42087730471, 9266.137737523364, 7815.0428630520455, 7805.526010617127, 8153.138950945974, 8641.470454232154, 9722.561450840612, 8163.02626529092, 8851.738925185395, 8996.601263565057, 5754.804973868539, 7738.732488314247, 6879.531413029294, 6230.051730269372, 7633.513668456786]",4828843.251232462,2239600.008155276,101561.36728785743,"[0.0, 0.009259259259259259, 0.018518518518518517, 0.027777777777777776, 0.037037037037037035, 0.046296296296296294, 0.05555555555555555, 0.06481481481481481, 0.07407407407407407, 0.08333333333333333, 0.09259259259259259, 0.10185185185185185, 0.1111111111111111, 0.12037037037037036, 0.12962962962962962, 0.1388888888888889, 0.14814814814814814, 0.15740740740740738, 0.16666666666666666, 0.17592592592592593, 0.18518518518518517, 0.19444444444444442, 0.2037037037037037, 0.21296296296296297, 0.2222222222222222, 0.23148148148148145, 0.24074074074074073, 0.25, 0.25925925925925924, 0.2685185185185185, 0.2777777777777778, 0.28703703703703703, 0.2962962962962963, 0.3055555555555555, 0.31481481481481477, 0.32407407407407407, 0.3333333333333333, 0.34259259259259256, 0.35185185185185186, 0.3611111111111111, 0.37037037037037035, 0.3796296296296296, 0.38888888888888884, 0.39814814814814814, 0.4074074074074074, 0.41666666666666663, 0.42592592592592593, 0.4351851851851852, 0.4444444444444444, 0.45370370370370366, 0.4629629629629629, 0.4722222222222222, 0.48148148148148145, 0.4907407407407407]",0.0,0.0,0.0,59182.55712995237,58174.55712995237,34649.25645186989,34630.25645186989,"[0, 38, 72]",0.0,-14.5,3,13.0,"[13, 59, 95]",0.0,-14.5,"[59182.55712995237, 34649.25645186989, 50754.00141282443]",47652.58416488223,135902.8149946467,47652.58416488223,"[72, 72, 107]",0.0,-14.5,53,108,raw,6.635552566463227e-07,0.0790036149613082,0.07247548631053172,0.047562043718647404,0.08154737618609005,5672469.954808815,5484313.8335443,51745.61677414445,50729.61677414445,0.036039394759066874,gaus8,854.5836611444612,316832645.840603,11.606810730652274,-28.908771551598072,0.6712089447938504,CWT,0.07849322522088167,0.8257986297834046,0.7986025867078799,0.04633397447600412,0.7269736842105261,0.8456590251699692,0.055928823056686366,,0.7549796659387463,0.10279821333493971,0.0681404116875708,0.10395233726664876,0.8593516537875391,0.8593516537875391,0.8593516537875391,0.7723869351768665,0.3909181552572414,0.0,0.9792403868211574,0.5839644035321415,0.5199174355700416,0.853792374553749,0.0,0.0,0.044295317066629245,0.05263157894736842,0.1,0.09615820105736664,0.09615820105736664,0.1,3.3584366763416216,0.6085314699274437,6,1.5929200390031217,0.9581837712136622,4,0.0,0.37260857175592965,0.5887987537971632,7,0,0.48254142123219324,0.8355003639562967,5,1.2909944487358056,0.8709005551264195,5.5,5.266457680250784,0.6604502775632097,4,gaus,6.125,6.5,2.9001231500945415,8,1.0,1.0,0.0,1,3.25,4
1263519.064631711,1251449.4850742929,47692.066639342076,47149.379139342076,440849.5242145539,0.5800694446104442,0.018518518518518517,0.0,5.0,29.500000000000007,18863.932262909282,0.4907407407407407,0.0,uc1.l0082987033,False,,-40334.86065558654,39318.86065558654,55562420115.429306,55509735206.429306,7.0,1.0,"[611382.0216997496, 919416.7666588493, 353846.2559293817, 1263519.064631711, 173301.5219711214, 47143.28615235879, 373920.24426445295, 105240.05339158826, 56846.71838256105, 194893.54466868425, 13390.503524428217, 47624.53713222286, 103532.7286430674, 40982.57271684347, 29263.781950033062, 53854.82202382736, 18967.595861485566, 16435.15079061749, 2275.548429311599, 11888.456032118569, 13254.865017107908, 10226.765246940704, 12729.348703196654, 11810.618797236039, 17898.56528370987, 6926.8578011250875, 7899.65832556792, 20637.52519297963, 8411.01405655763, 10021.315301868675, 6351.682286741181, 7228.137109375731, 7475.272102350292, 7702.827935909377, 7461.933314857335, 6996.673656262669, 8858.266671056066, 6909.227323353349, 7322.164558899194, 3765.069497620639, 6690.3275408362615, 9252.200236901554, 4007.560173459744, 5026.934310668031, 5646.230923440809, 2342.326118076096, 7700.164189528691, 6959.2907400290715, 5127.71719558205, 6051.810572992458, 6392.194543002438, 5175.7508796003685, 6752.303823588705, 10419.370848575854]",3886354.134641726,1749279.0726898229,83833.35229386846,"[0.0, 0.009259259259259259, 0.018518518518518517, 0.027777777777777776, 0.037037037037037035, 0.046296296296296294, 0.05555555555555555, 0.06481481481481481, 0.07407407407407407, 0.08333333333333333, 0.09259259259259259, 0.10185185185185185, 0.1111111111111111, 0.12037037037037036, 0.12962962962962962, 0.1388888888888889, 0.14814814814814814, 0.15740740740740738, 0.16666666666666666, 0.17592592592592593, 0.18518518518518517, 0.19444444444444442, 0.2037037037037037, 0.21296296296296297, 0.2222222222222222, 0.23148148148148145, 0.24074074074074073, 0.25, 0.25925925925925924, 0.2685185185185185, 0.2777777777777778, 0.28703703703703703, 0.2962962962962963, 0.3055555555555555, 0.31481481481481477, 0.32407407407407407, 0.3333333333333333, 0.34259259259259256, 0.35185185185185186, 0.3611111111111111, 0.37037037037037035, 0.3796296296296296, 0.38888888888888884, 0.39814814814814814, 0.4074074074074074, 0.41666666666666663, 0.42592592592592593, 0.4351851851851852, 0.4444444444444444, 0.45370370370370366, 0.4629629629629629, 0.4722222222222222, 0.48148148148148145, 0.4907407407407407]",0.0,0.0,0.0,50389.493076225124,49381.493076225124,42796.19883045927,42777.19883045927,"[0, 37, 73]",0.0,-10.0,3,13.0,"[12, 58, 96]",0.0,-14.5,"[49890.50801134183, 50389.493076225124, 42796.19883045927]",47149.379139342076,134393.19991802622,47149.379139342076,"[73, 73, 107]",0.0,-5.5,53,108,raw,5.132408409865393e-07,0.07726415575618972,0.0742149455156502,0.04999869369302065,0.0791107262117168,4715157.145133411,4527001.023868895,40334.86065558654,39318.86065558654,0.04891137623145999,morl,655.8580658246402,230061968.56131893,11.460817058362924,-26.894527471600878,0.6586303284416491,CWT,0.0,1.0000000000000002,0.3366983719655721,0.0,0.6085526315789471,0.996255814068908,0.0,,1.0,0.0,0.0,0.0,0.8481034993626234,0.8481034993626234,0.8481034993626234,0.7471897685612674,0.3202573143433207,0.0,0.9674221526391569,0.4796555126925711,0.4533728308829835,0.882947707534894,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1,3.315460501043917,0.6007444077773663,7,1.4102725642419283,0.8483164571714226,6,0.0,0.4315979902155485,0.6820142585091538,5,0,0.42021525965906115,0.7275852122468777,6,0.816496580927726,0.9183503419072274,6.0,5.91549295774648,0.6591751709536138,5,morl,5.0,5.0,,1,0.8163265306122449,,,3,4.5,5
1626642.9146429417,1614573.3350855235,54487.41097719902,53944.72347719902,651281.7367457972,0.017253380905595656,0.018518518518518517,0.0,5.0,29.500000000000007,23406.90377426897,0.4907407407407407,0.0,uc1.l0082987033,False,,-64351.85768388827,63335.85768388827,98838347609.27834,98785662700.27834,6.0,2.0,"[161286.8331731304, 973641.0442692629, 625274.8532755724, 1626642.9146429417, 514305.6181389872, 343476.89417872054, 575827.6817084542, 283350.95124836714, 249522.2806003167, 313388.01522287575, 174547.33224704192, 190532.50071612498, 217468.241538526, 157338.9305001058, 122984.93795477707, 157304.72954725657, 118893.36720928541, 118269.08500339166, 100533.74209570706, 95517.97923550844, 95514.46228191612, 96339.11346817217, 94637.51933516188, 82992.27001470483, 95244.54791139407, 77998.73265091758, 77202.19580098269, 94166.24803632006, 74591.83126154939, 70086.7713801948, 73107.89993375719, 67279.85142592591, 68385.52136139538, 56888.43123394335, 66890.40859625279, 63696.249575976784, 58662.359098305635, 57555.16420173884, 60470.911650657865, 60343.52235121823, 59104.47381566086, 57294.81880855499, 60613.37585044652, 54773.86304332323, 54120.33584240509, 54390.78443542648, 54214.715221902916, 54667.3103916582, 50928.19270302122, 52618.16927712307, 55699.7966693554, 52933.45752229297, 51847.27081213442, 51157.75169164798]",9138261.717006346,2291659.6829601876,170155.0025721718,"[0.0, 0.009259259259259259, 0.018518518518518517, 0.027777777777777776, 0.037037037037037035, 0.046296296296296294, 0.05555555555555555, 0.06481481481481481, 0.07407407407407407, 0.08333333333333333, 0.09259259259259259, 0.10185185185185185, 0.1111111111111111, 0.12037037037037036, 0.12962962962962962, 0.1388888888888889, 0.14814814814814814, 0.15740740740740738, 0.16666666666666666, 0.17592592592592593, 0.18518518518518517, 0.19444444444444442, 0.2037037037037037, 0.21296296296296297, 0.2222222222222222, 0.23148148148148145, 0.24074074074074073, 0.25, 0.25925925925925924, 0.2685185185185185, 0.2777777777777778, 0.28703703703703703, 0.2962962962962963, 0.3055555555555555, 0.31481481481481477, 0.32407407407407407, 0.3333333333333333, 0.34259259259259256, 0.35185185185185186, 0.3611111111111111, 0.37037037037037035, 0.3796296296296296, 0.38888888888888884, 0.39814814814814814, 0.4074074074074074, 0.41666666666666663, 0.42592592592592593, 0.4351851851851852, 0.4444444444444444, 0.45370370370370366, 0.4629629629629629, 0.4722222222222222, 0.48148148148148145, 0.4907407407407407]",0.0,0.0,0.0,94253.65815430268,93245.65815430268,14721.16380009535,14702.16380009535,"[4, 52]",0.0,-15.0,2,14.0,"[33, 62]",0.0,-15.0,"[94253.65815430268, 14721.16380009535]",53944.72347719902,100291.82195439804,53944.72347719902,"[82, 82]",0.0,-15.0,53,108,raw,4.363719563650728e-07,0.128361778367181,0.023117322904658927,0.11775066066854453,0.011358759236192922,9376526.260161793,9188370.138897277,64351.85768388827,63335.85768388827,0.03515053231738738,gaus7,921.0398942686618,320012009.405341,11.670466239776598,-29.529643730480664,0.6757512229210343,CWT,0.07301547667670988,0.7721026624650538,1.0,0.04803169719613874,0.7697368421052638,0.0,0.07407044750562261,,0.1556397305571415,0.5728307166243325,0.07537519898083674,0.5061670641742169,1.0,1.0,1.0,0.04657309469699755,0.6643206739360593,0.0,0.7004547137571264,1.0,0.9593298253115231,0.026492898255898623,1.0,1.0,0.05929624548248461,0.0,0.0,0.20239072722671428,0.20239072722671428,0.0,4.0310018555639635,0.7303968247269916,3,1.346705004924469,0.810078879501316,7,0.0,0.4623300734650023,0.7305773182197658,3,0,0.3909938751355413,0.6769896025635386,8,2.6299556396765835,0.7370044360323417,5.25,4.280254777070064,0.6060022180161708,6,gaus,6.125,6.5,2.9001231500945415,8,1.0,1.0,0.0,1,4.75,6
,,49079.18896750037,48536.50146750037,464988.4903874574,0.49973063787521993,,,13084.83284904954,13050.33284904954,23955.270651538107,,,uc1.l0082987033,False,,-60764.89676311422,59748.89676311422,106146836065.88194,106094151156.88194,,,[],,,,[],,,,64842.99181855595,63834.99181855595,25275.30441566007,25256.30441566007,"[0, 38, 72]",0.0,-14.5,3,13.0,"[14, 59, 92]",0.0,-14.5,"[64842.99181855595, 25275.30441566007, 57119.27066828508]",48536.50146750037,138554.5669025011,48536.50146750037,"[72, 72, 107]",0.0,-14.5,53,108,raw,9.296268658249516e-07,,,,,0.0,188156.12126451553,60764.89676311422,59748.89676311422,0.03931578991099863,gaus4,905.6804982621718,325062883.34201133,11.65263903398259,-29.69042137471296,0.6844863731656184,CWT,0.08182893034627547,0.758197850131932,0.943597134285309,0.05072877265297707,0.8519736842105264,0.8540459368694915,0.00849672208091519,,0.4730568594853162,,,,0.879109879190855,0.879109879190855,0.879109879190855,,0.0,0.2925759287539273,1.0,0.6511120622356843,,,,0.0,0.0693102636844115,0.05263157894736842,0.1,0.17216348322806693,0.17216348322806693,0.1,2.0437436276403393,0.3703158444653413,8,1.662436879916558,1.0,1,0.3181818181818181,0.3654471288999363,0.5774821901198237,8,0,0.5069812900824896,0.8778169784913236,2,3.774917217635375,0.6225082782364625,4.75,2.2857142857142856,0.5737541391182313,7,gaus,6.125,6.5,2.9001231500945415,8,1.0,1.0,0.0,1,5.5,7
