signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,scales_used,emd_value,kl_divergence,is_complex,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,wavelet_type,htid,avg_prominence_diff,prominence_max_diff,upper_envelope_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,lower_envelope_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,max_autocorrelation_diff,prominence_threshold_diff,relative_num_peaks_diff,prominence_min_diff,distance_factor_diff,emd_value_normalized,smoothness_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,relative_num_peaks_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,reconstruction_signal_num_missing_metrics,reconstruction_signal_missing_metrics_count,reconstruction_signal_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,across_emd_value_normalized,across_smoothness_normalized,across_wavelet_psnr_normalized,across_wavelet_entropy_normalized,across_wavelet_energy_entropy_normalized,across_wavelet_sparsity_normalized,across_correlation_normalized,across_avg_variance_across_levels_normalized,across_kl_divergence_normalized,across_prominence_min_diff_normalized,across_avg_prominence_diff_normalized,across_relative_prominences_avg_diff_normalized,across_relative_prominences_wasserstein_normalized,across_relative_prominences_total_diff_normalized,across_prominence_max_diff_normalized,across_relative_num_peaks_diff_normalized,across_max_autocorrelation_diff_normalized,across_relative_right_bases_global_alignment_score_normalized,across_relative_left_bases_global_alignment_score_normalized,across_upper_envelope_diff_normalized,across_lower_envelope_diff_normalized,across_relative_peaks_global_alignment_score_normalized,across_reconstruction_signal_weighted_score,across_reconstruction_signal_normalized_weighted_score,across_reconstruction_signal_normalized_weighted_rank,across_wavelet_signal_weighted_score,across_wavelet_signal_normalized_weighted_score,across_wavelet_signal_normalized_weighted_rank,across_rank_variability,across_normalized_rank_stability,across_average_rank,across_harmonic_average_rank,across_stability_score_weighted,across_stability_rank,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,across_normalized_family_mean_rank,across_normalized_family_std_dev,across_final_family_stability_score,across_final_family_stability_rank,across_family_informed_rank
smoothed,mexh,14.846415893009679,0.8202614379084967,277.3305442636034,-6.160869416420148,36,17,2403.009595223779,,False,8.666038018355263,39699.51251800397,0.08288434234748154,7.202361521134245e-06,0.49205236282441545,1,3983.0415407529745,3983.0415407529745,3983.0415407529745,[7],[3983.0415407529745],[0],[28],0.05,10,292524609.1729319,5178.825478541559,-5178.825478541559,CWT,uc1.l0082986993,3804.8415407529747,3299.708207419641,4495.492145208226,0.0,-4.5,0.0,-4.5,3804.8415407529747,3092.0415407529745,3804.8415407529747,4495.492145208226,0.0,-4.5,,0.0,4.0,3978.574874086308,0.0,0.8503759710410467,0.5795949945660723,0.46438409795727964,0.7677176266762428,1.0,0.6082474226804122,0.7444541572256661,0.9999999999999999,,0.7580970040694519,0.7042187773952773,0.7042187773952773,0.7040751229463131,0.23966871303175452,0.3818159585337441,1.0,,0.0,0.0,0.8973553037602121,0.8973553037602121,0.0,1.9308673618287302,0.7288941494685579,3,2.532561193757056,1.0,1,0,0,0.5239004134076869,0.7576222380972419,2,1,0.11111111111111112,0.7462912282127843,1.0,1,0.9574271077563381,0.9263517609418201,1.75,1.411764705882353,0.8958681881632178,1,mexh,0.07692307692307693,,,5,2.0,0.8552598587326155,0.58837371678797,0.46438409795727953,0.7186035115078213,1.0000000000000002,0.6082474226804123,0.744454157225666,1.0,,0.7580970040694519,0.7263803106232133,0.7263803106232133,0.7256509936835523,0.22254826790240834,0.5262254713306503,0.5,,0.21621621621621623,0.27586206896551724,0.8973553037602122,0.8973553037602122,0.12307692307692308,1.8881047899540016,0.7719805227084976,2,2.5121029191468853,1.0,1,0.7071067811865476,0.9738108599560538,1.5,1.3333333333333333,0.9591276522002491,1,12.0,12.0,15.556349186104045,2,0.5106382978723404,1.0,0.3425531914893617,5,2.0
smoothed,gaus2,14.814926043173577,0.6666666666666666,233.83795309851232,-5.485248025123561,36,17,2029.7274442552816,,False,8.518567259870892,37814.24403639943,0.08705336695233425,3.6862243752607205e-06,0.5460106564181623,1,5251.964924737641,5251.964924737641,5251.964924737641,[7],[5251.964924737641],[0],[28],0.05,10,253133274.34920442,5478.488676845831,-5478.488676845831,CWT,uc1.l0082986993,5073.764924737641,4568.631591404308,4795.155343512498,0.0,-4.5,0.0,-4.5,5073.764924737641,4360.964924737641,5073.764924737641,4795.155343512498,0.0,-4.5,,0.0,4.0,5247.498258070975,0.0,0.6086248129606798,0.2414954518154154,0.5236594721840158,0.43547920448367083,0.9967212447794751,0.12371134020618543,0.8490231331575188,0.93288617550633,,1.0,0.9999999999999999,0.9999999999999999,0.9999999999999998,0.5168053508975773,0.7812680750903787,1.0,,0.0,0.0,1.0,1.0,0.0,2.6490367129939782,1.0,1,2.047580246922825,0.808501785453499,3,0,0,0.6915061188323296,1.0,1,1,0.11111111111111112,0.5833945488311059,0.7817250515301073,2,0.9574271077563381,0.9263517609418201,1.75,1.4117647058823528,0.8958681881632178,2,gaus,0.49038461538461536,1.0,0.3567307692307692,1,1.75,0.6213997159763653,0.279618910551638,0.5236594721840157,0.49018421887292163,0.9967212447794753,0.12371134020618549,0.8490231331575187,0.9340004742702548,,1.0000000000000002,1.0,1.0,0.9999999999999999,0.3356372549855551,0.8083029181852938,0.5,,0.21621621621621623,0.27586206896551724,1.0,1.0,0.12307692307692308,2.445793299718983,1.0,1,2.0906479821485924,0.8322302268008113,5,2.8284271247461903,0.8952434398242152,3.0,1.6666666666666667,0.892066164356552,2,13.1875,12.5,7.88431988189216,16,0.5611702127659575,0.5068232775936242,0.4551338677857425,3,2.25
raw,gaus8,14.567176142936274,0.7303921568627451,194.75451001849876,-3.0828993611012665,36,17,1302.0251947895797,,False,8.394186854459479,29067.124799050973,0.09762091888147387,1.2700370325361505e-06,0.4870397265022586,6,1610.5914704636482,29.42017589554962,4484.474691934395,"[3, 9, 17, 20, 24, 26]","[3187.8650358105224, 1828.0317951565162, 47.16586360506187, 86.59126037984458, 4484.474691934395, 29.42017589554962]","[0, 7, 15, 15, 15, 25]","[32, 15, 18, 21, 32, 32]",0.05,20,128854349.67184046,4634.739603089306,-4634.739603089306,CWT,uc1.l0082986993,1346.227834100012,3702.474691934395,3790.739603089306,0.0,-3.5,0.0,-8.0,1346.227834100012,6755.54882278189,1374.1623037900451,3790.739603089306,0.0,1.0,,0.0,6.0,6.420175895549619,0.0,0.2623102059719422,0.06745157353262957,0.8398006772447942,0.29752986140090704,0.9805303020426147,0.33644859813084116,0.886458536498638,0.6648101193572077,,0.012944024079005814,0.7090919591297077,0.7090919591297077,0.7282483990463602,0.5490473559682238,0.6157591209303451,0.75,,0.02702702702702702,0.3448275862068966,0.6742407370963599,0.6742407370963599,0.2923076923076924,1.895559435488194,0.806093246584996,7,1.9969259235146837,0.8605936922659875,4,0,0,0.5072355498348071,0.768093703858637,7,1,0.11111111111111112,0.5363619287168913,0.7973951839177392,4,1.7320508075688772,0.8762820851736516,5.5,5.090909090909091,0.7417124711582543,2,gaus,0.5384615384615384,1.0,0.3230769230769231,1,1.75,0.16549644949937903,0.06745157353262957,0.7344285773624953,0.2975298614009071,0.9709252729658442,0.324742268041237,0.7347398721359036,0.6277811072148056,,0.0008597004470626279,0.19622606553443075,0.19622606553443075,0.20012325753233717,0.5490473559682237,0.6157591209303451,0.8333333333333333,,0.02702702702702703,0.3448275862068966,0.6559539204092836,0.6559539204092836,0.2923076923076923,1.4517956664457405,0.5935888640354641,12,1.8196744194672543,0.7243630050337344,13,0.7071067811865476,0.9738108599560538,12.5,12.48,0.7554239484965454,3,13.1875,12.5,7.88431988189216,16,0.5611702127659575,0.5068232775936242,0.4551338677857425,3,3.0
raw,morl,14.505110876072099,0.7107843137254902,190.66036759560387,-1.9274595661835547,36,17,1115.6172968738265,,False,8.456088656785703,27515.907144443394,0.08296089840355445,8.625188880973008e-07,0.526511678757898,5,1983.9257908325046,254.77402895596015,3941.104859115134,"[3, 9, 16, 20, 24]","[3255.2141069343916, 2144.4013921518317, 254.77402895596015, 324.13456700520504, 3941.104859115134]","[0, 7, 15, 15, 7]","[33, 15, 18, 21, 33]",0.05,10,101272603.5632066,4337.46817136553,-4337.46817136553,CWT,uc1.l0082986993,1719.5621544688684,3159.104859115134,3493.46817136553,0.0,-8.5,0.0,-8.5,1719.5621544688684,7011.628954162523,1719.562154468868,3493.46817136553,0.0,-4.0,,0.0,7.0,231.77402895596015,10.0,0.07720876360149007,0.031667080350482116,1.0,0.3934103332008808,0.968169489085404,0.2242990654205612,1.0,0.6073019257209218,,0.7460277948120794,1.0000000000000002,1.0000000000000002,1.0,0.5718697288832973,0.49496981475632973,1.0,,0.0,0.0,0.5576491035339859,0.5576491035339859,0.1384615384615385,2.3079800593693394,0.9814765521352865,2,2.0460930607853274,0.8817827247201404,3,0,0,0.5888855903317679,0.8917342531969924,4,1,0.11111111111111112,0.5322015266169119,0.7912100234504014,5,1.2909944487358056,0.9077861108045853,3.5,3.116883116883117,0.8288930554022926,1,morl,0.07692307692307693,,,6,2.25,0.048712463165273334,0.031667080350482116,0.8358006285179108,0.3934103332008809,0.9644629741996278,0.26288659793814445,0.8112349084037208,0.5734760411159053,,0.04382034951999717,0.2767286569929035,0.2767286569929035,0.2748008204266541,0.5718697288832972,0.4949698147563298,1.0,,0.0,0.0,0.5541284844440997,0.5541284844440997,0.13846153846153847,1.4443870184694987,0.5905597249920735,13,1.8635699128488357,0.7418366097363986,11,1.4142135623730951,0.9476217199121075,12.0,11.916666666666666,0.7515886377338316,4,7.0,7.0,4.242640687119285,2,0.2978723404255319,0.2727272727272727,0.7096711798839458,1,3.25
smoothed,gaus4,14.506300565505798,0.673202614379085,191.55594210404738,-2.842369526273236,36,17,1304.5398091878224,,False,8.429008495474992,27480.87739708385,0.1068936753716272,2.95367190217812e-06,0.6068977331915433,3,1870.8211842319686,25.367001960940556,5549.452135009969,"[7, 16, 20]","[5549.452135009969, 37.64441572499534, 25.367001960940556]","[0, 15, 19]","[28, 28, 28]",0.05,10,142195968.68780404,4682.19454522861,-4682.19454522861,CWT,uc1.l0082986993,1692.6211842319685,4866.118801676636,3998.8612118952765,0.0,-3.5,0.0,-3.5,1692.6211842319685,4721.4635526959055,1692.6211842319685,3998.8612118952765,0.0,-3.5,,0.0,2.0,20.90033529427386,0.0,0.13896680721821852,0.17105574883603708,0.7555313668179402,0.23371132261871438,0.9645868458745275,0.14432989690721665,0.9670198087680018,0.5650278243872746,,0.003620146021880405,0.2118682325574057,0.2118682325574057,0.21148545425334025,0.5955393225215116,0.8749158849515657,0.3333333333333333,,0.6666666666666666,0.6666666666666666,0.7272425519052794,0.7272425519052794,0.06896551724137931,1.4982370142306025,0.565578048383208,9,1.816025683178659,0.7170708007590465,7,0,0,0.4416178800484762,0.6386319195471296,7,1,0.11111111111111112,0.48697314712293577,0.6525242810224869,7,1.0,0.9230769230769231,7.5,7.411764705882353,0.6730769230769231,4,gaus,0.49038461538461536,1.0,0.3567307692307692,1,3.25,0.1670718478424934,0.2152928938176196,0.7555313668179401,0.35146553441769024,0.9645868458745277,0.14432989690721668,0.9670198087680016,0.572249718852142,,0.00362014602188041,0.27091933863628087,0.27091933863628087,0.2689760176789229,0.3677656129267915,0.8744333353599076,0.16666666666666669,,0.2702702702702703,0.3448275862068966,0.7272425519052796,0.7272425519052796,0.15384615384615385,1.3152726302810849,0.5377693325238102,14,1.899494202545851,0.7561370945705213,10,2.8284271247461903,0.8952434398242152,12.0,11.666666666666666,0.7253994976898854,5,13.1875,12.5,7.88431988189216,16,0.5611702127659575,0.5068232775936242,0.4551338677857425,3,4.5
smoothed,gaus6,14.274761708403387,0.6552287581699346,162.74190981534613,-1.0655038912849568,36,17,1089.9645032263247,,False,8.361823362821273,21627.111062198324,0.09494664308027205,2.7075841350644366e-06,0.6239157332763275,2,3143.6650298021123,968.3221673945019,5319.007892209723,"[7, 22]","[5319.007892209723, 968.3221673945019]","[0, 14]","[28, 28]",0.05,10,96719336.18690768,4053.503071522762,-4053.503071522762,CWT,uc1.l0082986993,2965.4650298021124,4635.67455887639,3370.1697381894287,0.0,-4.0,0.0,-4.0,2965.4650298021124,5396.3300596042245,2965.4650298021124,3370.1697381894287,0.0,-4.0,,0.0,3.0,963.8555007278352,0.0,0.0,0.14739280336893232,0.9114239670543375,0.0823492309262378,0.9404787843743887,0.08762886597938144,1.0,0.3566391252391866,,0.18338173165069444,0.5085632998714015,0.5085632998714015,0.5083246198506213,0.7429321731012781,0.8023729389418626,0.6666666666666666,,0.3333333333333333,0.3333333333333333,0.5118946356037355,0.5118946356037355,0.034482758620689655,1.8302901806937715,0.6909266948683214,5,1.680193425381023,0.6634364569443848,9,0,0,0.4704786188707295,0.6803679765916968,4,1,0.11111111111111112,0.4351835415622524,0.5831283085082328,9,2.6299556396765835,0.7976957200248782,6.75,5.950413223140496,0.6392324753970544,6,gaus,0.49038461538461536,1.0,0.3567307692307692,1,4.75,0.032641065245666706,0.1936837307787186,0.9114239670543374,0.2474016465387184,0.9404787843743889,0.08762886597938149,0.9999999999999998,0.367320921916876,,0.18338173165069446,0.545384402520915,0.545384402520915,0.5441726517984771,0.4279110642959228,0.823206346818391,0.33333333333333337,,0.24324324324324326,0.3103448275862069,0.5118946356037355,0.5118946356037355,0.13846153846153847,1.5921979644545377,0.6509944910869934,7,1.7906719496549746,0.7128179088550599,14,4.949747468305833,0.8166760196923766,10.5,9.333333333333334,0.7138935654017439,6,13.1875,12.5,7.88431988189216,16,0.5611702127659575,0.5068232775936242,0.4551338677857425,3,5.25
smoothed,gaus1,14.771220790362339,0.7532679738562091,243.47970139458678,-6.29470460959949,36,17,2634.040461052366,,False,8.539971414882285,30091.789844427833,0.07185946340612047,4.219119608067352e-06,0.10790901988065191,3,1992.6437105279913,8.66178144413334,5946.801784620558,"[13, 17, 22]","[22.467565519283653, 5946.801784620558, 8.66178144413334]","[2, 2, 21]","[16, 33, 33]",0.05,10,281543833.9318331,3568.703238496942,-3568.703238496942,CWT,uc1.l0082986993,1814.4437105279912,5263.4684512872245,2885.3699051636086,0.0,-3.5,0.0,-3.5,1814.4437105279912,5086.931131583974,1814.4437105279917,2885.3699051636086,0.0,1.0,,0.0,2.0,4.195114777466642,0.0,0.9999999999999999,0.29273680761900606,0.4526421204790524,0.4837008503369671,0.9921706093663167,0.3969072164948453,0.0,0.6579739068520104,,0.00043552278796499255,0.24026460086727439,0.24026460086727439,0.23989561405614504,0.6753585277945272,0.9999999999999999,0.3333333333333333,,0.6666666666666666,0.6666666666666666,0.34583443241686385,0.34583443241686385,0.37931034482758624,1.5347998740697906,0.5793803711897743,8,1.8192944937635174,0.7183615141257823,6,0,0,0.4278220618917638,0.6186815275245574,9,1,0.11111111111111112,0.5289608833379691,0.7087861458652313,5,1.8257418583505538,0.8595583185884189,7.0,6.635944700460828,0.6605483900634402,5,gaus,0.49038461538461536,1.0,0.3567307692307692,1,4.0,1.0,0.326412865827976,0.4526421204790524,0.5233373808787182,0.992170609366317,0.39690721649484534,0.0,0.663652606519331,,0.00043552278796500817,0.2971880970380222,0.2971880970380222,0.2953147938872405,0.40033681370204743,0.9627628405809228,0.16666666666666669,,0.2702702702702703,0.3448275862068966,0.3458344324168639,0.3458344324168639,0.2923076923076923,1.2735595441095275,0.5207142992238375,16,1.851487056364012,0.7370267524679205,12,2.8284271247461903,0.8952434398242152,14.0,13.714285714285715,0.6883624606528483,7,13.1875,12.5,7.88431988189216,16,0.5611702127659575,0.5068232775936242,0.4551338677857425,3,6.0
smoothed,gaus3,14.64591542903749,0.7271241830065359,221.85109604372082,-4.625751260122655,36,17,2177.418139449737,,False,8.49882795155062,31000.264087988995,0.07973221160046629,1.8846430436698543e-06,0.15245195139061066,3,2052.6522055390365,26.835428779827453,5557.171474987149,"[11, 17, 24]","[5557.171474987149, 26.835428779827453, 573.9497128501325]","[4, 16, 19]","[31, 19, 31]",0.05,10,189555227.52552918,3088.267771196166,-3088.267771196166,CWT,uc1.l0082986993,1874.4522055390364,4873.838141653816,2404.9344378628325,0.0,-3.5,0.0,-3.5,1874.4522055390364,5266.956616617109,1874.4522055390364,2404.9344378628325,0.0,10.0,,0.0,2.0,22.368762113160756,0.0,0.7042747027513311,0.06826164460916448,0.5990670792379091,0.3910083092438195,0.9791236875886022,0.31443298969072153,0.0863223875845256,0.6903147546062206,,0.0039000816360213186,0.2542523531973637,0.2542523531973637,0.2538901599305827,0.714676628699546,0.8773459029741053,0.3333333333333333,,0.6666666666666666,0.6666666666666666,0.18126917087334887,0.18126917087334887,0.9999999999999999,1.5650740852412313,0.590808756090195,7,1.712695202919692,0.6762700175386118,8,0,0,0.44896020733736225,0.6492497970885233,5,1,0.11111111111111112,0.47354513885848115,0.6345312941604921,8,1.4142135623730951,0.8912143413559157,7.0,6.746987951807229,0.6763764014471887,3,gaus,0.49038461538461536,1.0,0.3567307692307692,1,2.5,0.7139274914736191,0.12142061740282489,0.599067079237909,0.4596097586208808,0.9791236875886025,0.3144329896907216,0.08632238758452548,0.6954564953541431,,0.003900081636021316,0.31012781110754317,0.31012781110754317,0.3082889979917687,0.4163810445898245,0.8761493189564336,0.16666666666666669,,0.2702702702702703,0.3448275862068966,0.18126917087334887,0.18126917087334887,0.5692307692307692,1.240528866835869,0.5072092016027696,18,1.7678961523621763,0.7037514820302653,15,2.1213203435596424,0.9214325798681614,16.5,16.363636363636363,0.6551607343785251,8,13.1875,12.5,7.88431988189216,16,0.5611702127659575,0.5068232775936242,0.4551338677857425,3,6.75
raw,fbsp,10.32801861276137,0.7679738562091504,238.94773136517574,-9.139973171395816,36,17,2023.292720062468,-11461.2085832482,True,8.61730369633963,38108.48790962575,0.08871665648548735,1.1890011511955224e-05,0.43362564573301526,6,1459.32940895366,16.895481423901458,3307.1194264182495,"[3, 9, 11, 16, 20, 23]","[2801.112206392534, 1775.0444872983508, 16.895481423901458, 399.85282961935127, 455.9520225695737, 3307.1194264182495]","[0, 7, 10, 15, 15, 15]","[33, 15, 15, 17, 21, 33]",0.05,20,232032259.79638153,5287.176653048658,-5287.176653048658,CWT,uc1.l0082986993,1194.9657725900238,2525.1194264182495,4443.176653048658,0.0,-8.0,0.0,-8.0,1194.9657725900238,5847.97645372196,1197.3036424184202,4443.176653048658,0.0,-8.0,,0.0,6.0,6.104518576098542,0.0,0.9785226666870821,1.0,0.0,0.6431183137895755,0.1362669003993907,0.551401869158879,0.7328124015711878,1.0,0.0,0.011917180051889686,0.5912261547525565,0.5912261547525565,0.5891006134413576,0.4681626932556959,0.35403696218598546,0.75,,0.02702702702702702,0.03448275862068966,0.9301304504478267,0.9301304504478267,0.015384615384615385,1.6274209404411741,0.6920664184305942,10,1.8969351153926346,0.8175017288931251,6,0,0,0.44106875503066884,0.6678990339264596,10,0,0.0,0.5602357946229016,0.8328878329588288,2,3.8297084310253524,0.7264493977839034,7.0,4.615384615384615,0.6132246988919516,6,fbsp,0.46153846153846156,,,4,5.5,0.6173683806595704,1.0000000000000002,0.20301361411636976,0.6431183137895756,0.5295398756066853,0.44329896907216515,0.6312255584988924,0.9443013710768955,0.0,0.0007995246695284147,0.16360921978375342,0.16360921978375342,0.1618853318875303,0.4681626932556958,0.35403696218598546,0.8333333333333333,,0.02702702702702703,0.03448275862068967,0.8794354930135441,0.8794354930135441,0.015384615384615385,1.2524062487386558,0.5120654508631433,17,2.000878136825005,0.7964952875037885,8,6.363961030678928,0.7642977396044841,12.5,10.879999999999999,0.6506673883207605,9,14.0,14.0,7.0710678118654755,2,0.5957446808510638,0.4545454545454546,0.4466150870406189,4,7.75
smoothed,morl,14.101688194213883,0.6633986928104575,146.204929558186,-0.055913257822733375,36,17,1142.7480863851504,,False,8.359568387827853,18185.155228449188,0.11279897283337606,1.8964584089601498e-06,0.5595584931419895,3,2488.1215112559944,39.51914673087026,4490.706267628259,"[7, 23, 34]","[4490.706267628259, 2934.1391194088537, 39.51914673087026]","[1, 13, 28]","[28, 28, 35]",0.05,10,76522409.6615251,3359.7847527570175,-3359.7847527570175,CWT,uc1.l0082986993,2309.9215112559946,3807.372934294926,2676.451419423684,0.0,-3.5,0.0,-3.5,2309.9215112559946,6573.364533767984,2309.9215112559946,2676.451419423684,0.0,-3.5,,0.0,2.0,35.052480064203564,0.0,0.034184576795782434,0.0693977691220462,1.0,0.07726897405635164,0.9224581938940608,0.11340206185567,0.8752782890927453,0.2341086623394949,,0.006318060066098391,0.35575859484871,0.35575859484871,0.3554457009359665,1.0,0.541626828292236,0.3333333333333333,,0.6666666666666666,0.6666666666666666,0.2742728438434254,0.2742728438434254,0.06896551724137931,1.4829666070082759,0.5598135351367804,10,1.6200538930657191,0.6396899301226235,11,0,0,0.4082571375488848,0.5903883225766156,11,1,0.11111111111111112,0.41020676033896336,0.549660433931838,11,0.5,0.9615384615384616,10.75,10.73170731707317,0.5673076923076923,9,morl,0.6923076923076923,,,6,8.25,0.06570982103986253,0.12245813404949438,1.0,0.24390888771520583,0.922458193894061,0.11340206185567006,0.8752782890927452,0.2468248467812898,,0.0063180600660983875,0.40402865466299537,0.40402865466299537,0.40244012863734,0.5328107281567412,0.6390776512356828,0.16666666666666669,,0.2702702702702703,0.3448275862068966,0.27427284384342543,0.27427284384342543,0.15384615384615385,1.219643659726025,0.49866996522811624,19,1.7338360064233227,0.6901930622381254,16,2.1213203435596424,0.9214325798681614,17.5,17.37142857142857,0.6366422158600067,10,7.0,7.0,4.242640687119285,2,0.2978723404255319,0.2727272727272727,0.7096711798839458,1,7.75
