signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,scales_used,emd_value,kl_divergence,is_complex,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,wavelet_type,htid,avg_prominence_diff,prominence_max_diff,upper_envelope_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,lower_envelope_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,max_autocorrelation_diff,prominence_threshold_diff,relative_num_peaks_diff,prominence_min_diff,distance_factor_diff,emd_value_normalized,smoothness_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,relative_num_peaks_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_right_bases_array_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_array_alignment_score_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,reconstruction_signal_num_missing_metrics,reconstruction_signal_missing_metrics_count,reconstruction_signal_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,relative_left_bases_array_alignment_score_normalized,across_emd_value_normalized,across_smoothness_normalized,across_wavelet_psnr_normalized,across_wavelet_entropy_normalized,across_wavelet_energy_entropy_normalized,across_wavelet_sparsity_normalized,across_correlation_normalized,across_avg_variance_across_levels_normalized,across_kl_divergence_normalized,across_prominence_min_diff_normalized,across_avg_prominence_diff_normalized,across_relative_prominences_avg_diff_normalized,across_relative_prominences_wasserstein_normalized,across_relative_prominences_total_diff_normalized,across_prominence_max_diff_normalized,across_relative_num_peaks_diff_normalized,across_max_autocorrelation_diff_normalized,across_relative_right_bases_global_alignment_score_normalized,across_relative_right_bases_array_alignment_score_normalized,across_relative_left_bases_global_alignment_score_normalized,across_relative_left_bases_array_alignment_score_normalized,across_upper_envelope_diff_normalized,across_lower_envelope_diff_normalized,across_relative_peaks_array_alignment_score_normalized,across_relative_peaks_global_alignment_score_normalized,across_reconstruction_signal_weighted_score,across_reconstruction_signal_normalized_weighted_score,across_reconstruction_signal_normalized_weighted_rank,across_wavelet_signal_weighted_score,across_wavelet_signal_normalized_weighted_score,across_wavelet_signal_normalized_weighted_rank,across_rank_variability,across_normalized_rank_stability,across_average_rank,across_harmonic_average_rank,across_stability_score_weighted,across_stability_rank,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,across_normalized_family_mean_rank,across_normalized_family_std_dev,across_final_family_stability_score,across_final_family_stability_rank,across_family_informed_rank
smoothed,morl,2292959970.4676156,0.6311800605960639,375.178781198541,-29.249569399221652,907,127,26184.78069432961,,False,15.285429300342251,301456.36132810265,0.03208579764710406,2.1067261179641493e-07,0.5086795897012429,23,54417.94632941936,363.5464542585196,136323.22736086714,"[17, 57, 90, 127, 157, 194, 258, 302, 339, 401, 444, 475, 513, 549, 584, 615, 645, 682, 720, 750, 826, 858, 890]","[131237.03559249206, 12331.010654518625, 41062.86891160058, 46767.95310580955, 76074.84388944662, 50796.32747662951, 64561.5717575013, 49238.325283398044, 39755.671550098064, 84537.08330677531, 42569.57964732057, 55853.31610866247, 44898.98073369647, 99171.17474989226, 363.5464542585196, 60065.96586328927, 819.0920035648815, 116288.02645084712, 34000.377363597596, 37625.47804183771, 26661.430839778997, 609.8784307623428, 136323.22736086714]","[0, 49, 70, 105, 105, 176, 211, 282, 318, 318, 422, 457, 492, 318, 583, 594, 630, 630, 697, 731, 799, 799, 799]","[799, 105, 105, 140, 318, 211, 318, 318, 353, 492, 457, 492, 526, 630, 594, 630, 646, 799, 731, 799, 835, 859, 906]",0.05,30,1287096565042.5603,137211.75572430334,-137211.75572430334,CWT,mdp.39015056038071,53592.93183666574,135032.22736086714,135920.75572430334,0.08695652173913043,-2.5,0.0,-4.0,53592.93183666574,1232637.432243312,53592.931836665724,135920.75572430334,0.043478260869565216,5.0,,0.0,0.0,233.5464542585196,0.0,0.007168849986801146,0.0,0.8938427373124777,0.6474429371171755,0.12157368460738605,0.10485609230379173,0.9999999999999998,0.0,,0.029286486315812862,0.8588939276286258,0.8588939276286258,0.8588939276286252,1.0,0.31299635859482133,0.0,,0.5675675675675675,,0.631578947368421,0.07728611716348785,0.07728611716348785,1.0,0.8297872340425531,2.055075205225422,0.8095290290206851,4,1.3649070451673242,0.6300254316598872,4,0,0,0.5787479007930022,0.9412937091171937,2,1,0.11111111111111112,0.3413049821103984,0.6079558349469513,5,1.2583057392117916,0.9032072508298622,3.75,3.3333333333333335,0.8073728561841619,1,morl,0.1,,,5,2.0,1.0,0.007168849986801146,0.0033896664746937296,0.8695490634856033,0.5778426889503602,0.12077622469636876,0.08076960640687622,1.0,0.0,,0.029286486315812862,0.867999591675858,0.867999591675858,0.8679733477893439,0.933832960556968,0.3102988307270593,0.0,,0.5675675675675675,0.0,0.641025641025641,1.0,0.07721611856258387,0.07721611856258387,1.0,0.8297872340425533,2.029746815971941,0.8338684413750433,5,1.3065142924159256,0.6246095757412785,8,2.1213203435596424,0.9184107560169368,6.5,6.153846153846153,0.8342053780084684,1,2.0,2.0,1.4142135623730951,2,0.08888888888888889,0.16666666666666669,0.8877777777777778,1,1.0
smoothed,cgau8,44849129.140565455,0.6723124603911832,540.8518603603193,-30.45787562681006,907,127,33250.47963574522,-2043141.893160342,True,15.730511764569059,356165.151837248,0.027188886454926304,5.478691420293572e-05,0.3339865307611553,20,46132.19971020533,7247.007401733283,109873.39722620363,"[16, 56, 90, 126, 163, 195, 258, 303, 338, 401, 443, 475, 514, 548, 614, 682, 721, 776, 826, 890]","[103827.3182574331, 7247.007401733283, 24163.719541272258, 34100.08433473733, 43523.94657177657, 40543.123930316244, 58129.5217738226, 35674.008971210285, 26934.348806093443, 69874.098190916, 27094.91141709293, 40048.71699217549, 30591.38117049984, 80207.21280694808, 40182.89176025332, 95223.55189961156, 22398.878597920106, 18089.701085651755, 14916.173468438774, 109873.39722620363]","[0, 50, 70, 105, 105, 176, 105, 283, 318, 318, 422, 456, 491, 318, 595, 629, 698, 765, 798, 798]","[798, 105, 105, 140, 176, 211, 318, 318, 353, 491, 491, 491, 525, 629, 629, 798, 798, 798, 835, 906]",0.05,30,1717983814592.7932,136748.8870677769,-136748.8870677769,CWT,mdp.39015056038071,45307.185217451704,108582.39722620363,135457.8870677769,0.0,-4.0,0.0,-13.0,45307.185217451704,903668.6608707731,45307.185217451704,135457.8870677769,0.0,8.0,,0.0,3.0,7117.007401733283,0.0,0.10701043389037196,1.0,0.8076465419062521,0.9433472662343945,0.002371037969842227,0.7055914796500566,0.6525378622022073,0.0267964643683546,0.8072778387947082,0.914326733557139,0.6258470600106658,0.6258470600106658,0.6258470600106657,0.5316193702568458,0.13998052118419246,0.75,,0.08108108108108109,,0.5526315789473684,0.07625578903605229,0.07625578903605229,0.0,0.9574468085106382,1.7587232631166536,0.692790965453133,5,2.1664316654191116,1.0,1,0,0,0.4255099179743835,0.6920626552726206,5,0,0.0,0.5613976583351319,1.0,1,2.309401076758503,0.822353763326269,3.0,1.6666666666666667,0.7957922662785191,2,cgau,0.2,,,2,2.0,0.0,0.10701043389037197,1.0,0.785695586959225,0.8417620907629223,0.002359099589153535,0.5435101084090244,0.6550732625370986,0.02659563676381427,0.783639891256828,0.9143267335571388,0.6499913857407489,0.6499913857407489,0.6499217981806191,0.4964436904163812,0.13877411303767778,0.6000000000000001,,0.08108108108108111,0.0,0.5641025641025641,0.0,0.07618672361086004,0.07618672361086004,0.0,0.9574468085106383,1.7033607083576423,0.6997812376404842,8,2.0291086371053906,0.9700626256539167,2,4.242640687119285,0.8368215120338737,5.0,3.2,0.8222569098630907,2,8.0,8.0,8.48528137423857,2,0.35555555555555557,1.0,0.451111111111111,4,2.5
raw,morl,2352986646.711944,0.6326993028848241,396.42260896980054,-28.856952309459235,907,127,26089.709489457236,,False,15.333223919386892,310379.3863566859,0.030192616370292264,2.5048150346283846e-08,0.43856115533084555,26,50274.15070792685,162.78963778316393,139176.18356909422,"[16, 57, 89, 126, 158, 190, 227, 259, 301, 339, 369, 400, 445, 475, 514, 550, 581, 614, 650, 681, 721, 751, 782, 826, 858, 891]","[132435.3867381636, 13902.642693967822, 42339.537028286184, 44466.512145029265, 80851.23127016152, 54533.02900389601, 404.77193582610926, 67397.66415365011, 52585.667139638914, 42800.8712573657, 3377.0302451661773, 90455.8487229491, 47727.76798632385, 59078.54073562773, 43532.89500047795, 97459.75928343159, 4925.438681836422, 50670.53572945287, 162.78963778316393, 126676.83198539792, 36331.51442831087, 42446.48839613945, 1995.6893612847887, 27382.390826508497, 4010.900450328445, 139176.18356909422]","[0, 49, 69, 104, 104, 176, 212, 212, 282, 318, 318, 318, 423, 458, 491, 318, 580, 593, 629, 629, 698, 730, 781, 799, 799, 799]","[799, 104, 104, 141, 318, 212, 228, 318, 318, 352, 370, 491, 491, 491, 525, 629, 593, 629, 651, 799, 730, 799, 799, 836, 859, 906]",0.05,30,1303063955174.9023,139763.26656390974,-139763.26656390974,CWT,mdp.39015056038071,49285.15070792685,137868.18356909422,138404.26656390974,0.0,-9.0,0.0,0.0,49285.15070792685,1282402.9184060981,49293.76834668253,138404.26656390974,0.0,9.0,,0.0,1.0,78.21036221683607,0.0,0.003871464679573361,0.0,0.8936410380928628,0.606183341036112,0.1239380734361751,0.015874707010441053,0.9999999999999999,0.0,,0.033604738569381516,0.775884765060644,0.775884765060644,0.7759697644698756,1.0,0.3112635970200492,0.2,,0.9545454545454545,0.0,0.631578947368421,0.07753915876070125,0.07753915876070125,0.0,0.9999999999999998,1.833663112153856,0.8946221138026303,2,1.3087566522999097,0.6152488967906549,5,0,0,0.4724150249725623,1.0,1,1,0.11111111111111112,0.3248830224763399,0.6080417249119064,5,2.0615528128088303,0.8414190143993208,3.25,2.1052631578947367,0.7957095071996604,1,morl,0.12121212121212122,,,5,2.0,,0.005825450026403639,0.0,0.8967957226259403,0.6061833410361118,0.12393807343617512,0.09786111924992735,0.8615530408012237,0.004337758709086308,,0.009314165072891045,0.7546565607340587,0.7546565607340587,0.7548345681363146,0.9999999999999998,0.3286897461136238,0.2,,0.7837837837837838,0.0,0.3076923076923077,0.0,0.08273931285278999,0.08273931285278999,0.0,1.0,1.768626763748734,0.7265940910739339,7,1.2903865433237236,0.6168993298016687,9,1.4142135623730951,0.9456071706779579,8.0,7.875,0.8189574314928251,3,2.0,2.0,1.4142135623730951,2,0.08888888888888889,0.16666666666666669,0.8877777777777778,1,2.5
smoothed,gaus8,2897141041.1068387,0.6363368029933414,437.55551662463245,-31.274080261766684,907,127,32553.181933723416,,False,15.282585725889135,378079.39958243456,0.02412666633111174,7.746904897583431e-07,0.40262966499818936,20,59434.830589877805,7913.337080683163,154875.71037770185,"[17, 56, 86, 126, 163, 195, 258, 303, 339, 400, 443, 475, 514, 548, 614, 682, 720, 750, 828, 885]","[143653.49046567964, 7913.337080683163, 21509.952763832505, 44159.61209111349, 52710.77895988613, 49355.993822369084, 76977.15249967208, 44654.72878908003, 31081.700750524877, 103722.22112748965, 28891.87911026218, 48926.17487497043, 36470.508988615205, 110793.61528620531, 47842.9146202877, 133461.07426130248, 24389.39722108374, 15450.610002763264, 11855.758704033336, 154875.71037770185]","[0, 50, 71, 105, 105, 105, 105, 283, 318, 318, 422, 456, 491, 318, 595, 629, 698, 731, 798, 798]","[798, 318, 105, 140, 176, 211, 318, 318, 353, 491, 491, 491, 525, 629, 629, 798, 798, 798, 835, 906]",0.05,30,2045578371874.9744,164566.48851437875,-164566.48851437875,CWT,mdp.39015056038071,58609.81609712418,153584.71037770185,163275.48851437875,0.0,-4.0,0.0,-13.0,58609.81609712418,1169721.2784642228,58609.81609712418,163275.48851437875,0.0,8.0,,0.0,3.0,7783.337080683163,0.0,0.09715729584990104,0.010334494672375884,0.749421455748579,0.6455524425269067,0.15360946386904697,0.1801698998351719,0.7890681302726779,0.037530102480222996,,1.0,1.0,1.0,0.9999999999999999,0.9104209569646498,0.4343534096179002,0.75,,0.08108108108108109,,0.5526315789473684,0.13817671801688325,0.13817671801688325,0.0,0.9574468085106382,2.482518498203001,0.9779062022967296,2,1.2841886168390366,0.5927667312740286,6,0,0,0.5687348050825289,0.925008096697447,3,1,0.11111111111111112,0.3272998551013047,0.583008942488178,8,2.753785273643051,0.7881703635659192,4.75,3.5555555555555554,0.7113928740906519,4,gaus,0.8125,1.0,0.13124999999999998,1,3.25,0.0,0.09715729584990106,0.013689130656945759,0.729052995341821,0.5761565419349308,0.15260089459879367,0.1387830842855749,0.7906072813771277,0.03724883102307669,,1.0,1.0,1.0,0.9999999999999999,0.8501810975954069,0.43060997812188556,0.6000000000000001,,0.08108108108108111,0.0,0.5641025641025641,0.0,0.13805157035396956,0.13805157035396956,0.0,0.9574468085106383,2.3916238922207262,0.9825361821821331,2,1.2217201220983207,0.584071748443977,10,5.656854249492381,0.7824286827118315,6.0,3.3333333333333335,0.7758297259713003,4,15.375,16.5,7.144928271158499,16,0.6833333333333333,0.8420378719379418,0.26905530508528414,5,4.25
smoothed,gaus6,3088733399.38871,0.6490203057583623,453.4992192915205,-32.07101425052542,907,127,35041.23615815485,,False,15.21691966929813,396945.6909786948,0.020452177608518328,8.757172480864374e-07,0.3486929912244195,19,57463.88446277702,6946.381054520255,161901.90215050738,"[20, 56, 126, 163, 195, 258, 303, 339, 400, 441, 475, 514, 548, 614, 682, 720, 750, 829, 884]","[149505.96137655398, 7509.34780622385, 33498.35751421735, 50000.0958479921, 44892.93802846543, 65016.94379389333, 43952.72797513163, 25569.73362719964, 113286.50223181932, 21468.426608298927, 42209.403606006024, 32884.07875389378, 104625.40956923572, 44100.14384121186, 127068.6877955993, 8047.867536568014, 9328.895675425527, 6946.381054520255, 161901.90215050738]","[0, 50, 105, 140, 140, 140, 283, 318, 318, 422, 456, 491, 491, 595, 629, 714, 731, 798, 798]","[798, 629, 140, 176, 211, 318, 318, 353, 629, 491, 491, 525, 629, 629, 798, 798, 798, 834, 906]",0.05,30,2456497543336.793,180736.97117169504,-180736.97117169504,CWT,mdp.39015056038071,56638.8699700234,160610.90215050738,179445.97117169504,0.0,4.5,0.0,-9.0,56638.8699700234,1072838.4714594302,56638.86997002341,179445.97117169504,0.0,9.0,,0.0,4.0,6816.381054520255,0.0,0.13231464923629305,0.012185607086545798,0.6925710677819367,0.6018956553400884,0.16376835628791286,0.36541143654114333,0.6817888136882476,0.04677084606928796,,0.8756737334609762,0.9445647034270332,0.9445647034270332,0.9445647034270332,0.7724807203675379,0.48031372192200356,1.0,,0.29729729729729726,,1.0,0.17417160097368672,0.17417160097368672,0.0,0.9999999999999998,2.538605944386598,1.0,1,1.2793131618994857,0.5905162772129227,7,0,0,0.6148430560911636,1.0,1,1,0.11111111111111112,0.3315327484483764,0.5905488623368369,7,3.4641016151377544,0.7335306449894035,4.0,1.75,0.7129191686485479,3,gaus,0.8125,1.0,0.13124999999999998,1,2.5,0.0,0.13231464923629305,0.015533968417424472,0.6737477391131682,0.5372187095829102,0.1626928419544046,0.2814728000781325,0.6841107724301538,0.04642031934123528,,0.8756737334609761,0.9481419781570932,0.9481419781570932,0.9481316679159557,0.7213679580739972,0.4761741860629607,0.8,,0.2972972972972973,0.0,1.0,0.0,0.17401385248232998,0.17401385248232998,0.0,1.0,2.4341331500984764,1.0,1,1.2033605612724823,0.5752945329440853,12,7.7781745930520225,0.7008394387287684,6.5,1.8461538461538463,0.7254197193643842,5,15.375,16.5,7.144928271158499,16,0.6833333333333333,0.8420378719379418,0.26905530508528414,5,5.0
smoothed,fbsp,228176952.9729405,0.6924706352169044,728.0676645172875,-36.50814161477699,907,127,63967.7496256723,-2461679.286874378,True,15.304240657988304,628755.3965037323,0.015393871266782428,2.44586663409322e-07,0.19461617663650413,23,43333.003999480025,28.74596222470427,162520.09646442442,"[20, 59, 124, 157, 192, 225, 258, 304, 334, 367, 399, 442, 473, 514, 549, 582, 616, 683, 721, 753, 784, 829, 885]","[152625.35892594408, 11115.913440107877, 27886.531720285842, 44554.48358410614, 38244.26600455111, 901.5914038386727, 36650.28234327357, 44324.99708753087, 107.26526106464735, 28.74596222470427, 107987.75450394506, 19448.11186549463, 35392.961164915316, 32413.683479468436, 86595.8938622924, 856.247827082374, 45006.165363816595, 117271.08103398824, 21780.515873871118, 715.5999322994176, 1217.3094822974144, 9014.235401217491, 162520.09646442442]","[0, 49, 106, 141, 177, 211, 211, 283, 318, 318, 318, 422, 457, 492, 492, 581, 594, 492, 699, 752, 783, 799, 492]","[492, 492, 318, 318, 318, 226, 318, 318, 335, 368, 492, 492, 492, 525, 629, 629, 629, 799, 799, 799, 799, 835, 906]",0.05,30,6843442632658.053,294534.0836793636,-294534.0836793636,CWT,mdp.39015056038071,42507.9895067264,161229.09646442442,293243.0836793636,0.08695652173913043,-2.5,0.0,-11.5,42507.9895067264,977683.7586547071,42522.97403803457,293243.0836793636,0.0,-5.5,,0.0,0.0,101.25403777529573,0.0,0.5410596220055817,0.0006214068727373352,0.37604245227138333,0.6599492985477682,0.012091716061595315,1.0,0.37533210781448006,0.16031165836895062,0.0,0.012277003166871938,0.5471162199049082,0.5471162199049082,0.54753767837384,0.6370009174654148,0.4843575061867908,0.0,,0.16216216216216217,,0.631578947368421,0.42747967051868896,0.42747967051868896,0.0,0.38297872340425526,1.4838550720726462,0.5845157163339069,9,1.33840779380438,0.6177936812724049,5,0,0,0.41479176564106796,0.6746303166829068,6,0,0.0,0.3472675846602774,0.6185768314212893,4,2.160246899469287,0.8338271615792856,6.0,5.49618320610687,0.6861443500204121,5,fbsp,0.5,,,3,4.5,1.0,0.5410596220055817,0.004008966985387401,0.3658220272467235,0.5889972112159205,0.01201572036216536,0.7702900673893939,0.3798902538993484,0.15911019365750365,0.0,0.012277003166871938,0.576341096514989,0.576341096514989,0.576651205920168,0.594852452634233,0.4801831193767833,0.0,,0.1621621621621622,0.0,0.641025641025641,1.0,0.4270924990582843,0.4270924990582843,0.0,0.3829787234042554,1.487752431263559,0.6112042109131828,14,1.207236464812866,0.5771474988703106,11,2.1213203435596424,0.9184107560169368,12.5,12.32,0.718820762623853,6,8.5,8.5,3.5355339059327378,2,0.37777777777777777,0.41666666666666674,0.6105555555555555,2,5.0
raw,gaus8,2917529784.689341,0.6341838196355555,443.22256177462117,-30.85087944631695,907,127,32263.11595425799,,False,15.29461156988736,381059.928875694,0.023169359305718323,2.6970343870551684e-07,0.34118028779361337,20,58558.956170098834,232.04840473460695,156805.3565210164,"[17, 56, 87, 125, 163, 195, 259, 303, 339, 401, 440, 475, 514, 547, 614, 682, 720, 750, 829, 885]","[141834.18568274676, 8018.701901353026, 232.04840473460695, 40184.332438979785, 55060.46722497838, 50490.88619858197, 78859.09770846316, 45886.026974151886, 33580.27513723391, 107617.71311831794, 29900.485462902652, 50113.05791587305, 32912.860080661674, 105713.9539853379, 36503.289699194174, 140581.9416037902, 25534.71493814508, 18317.517677806478, 13032.21072770755, 156805.3565210164]","[0, 49, 86, 105, 105, 105, 105, 283, 318, 318, 422, 457, 491, 491, 593, 628, 698, 731, 798, 798]","[798, 318, 105, 140, 176, 211, 318, 318, 352, 628, 491, 491, 524, 628, 628, 798, 798, 798, 834, 906]",0.05,30,2056286018018.375,165661.37687933218,-165661.37687933218,CWT,mdp.39015056038071,57569.956170098834,155497.3565210164,164302.37687933218,0.0,-15.0,0.0,-10.5,57569.956170098834,1146454.1234019767,57574.83132962537,164302.37687933218,0.0,-6.0,,0.0,5.0,8.951595265393053,0.0,0.09169347705704303,0.054413795234451084,0.7510376855485966,0.5832874756593509,0.15367485249944723,0.034093330492221824,0.7768263940276194,0.034509694604217274,,0.0,1.0,1.0,1.0,0.8176969833360168,0.4285548218964661,1.0,,0.0,0.0,0.0,0.13546168515199977,0.13546168515199977,0.0,0.3617021276595744,2.049651002208956,1.0,1,1.2011077247456285,0.5646429389893483,6,0,0,0.419919807371147,0.8888790262238924,3,1,0.11111111111111112,0.3043865325848128,0.5696810836777491,7,2.753785273643051,0.7881703635659192,4.25,2.4347826086956523,0.7306236433214212,2,gaus,1.0,1.0,0.0,1,1.75,,0.09305852981606744,0.004467621467177238,0.7584220897270124,0.5832874756593507,0.15367485249944723,0.11456196894227955,0.6692771419491452,0.038697758584986225,,0.00040922659876175063,0.9726400036673928,0.9726400036673928,0.9727628610014204,0.8192456263393859,0.44301331258949594,1.0,,0.21621621621621623,0.0,0.0,0.0,0.14033531474660074,0.14033531474660074,0.0,0.3617021276595745,2.0567612709971077,0.8449666243253366,4,1.1818070110911443,0.5649903564703708,13,6.363961030678928,0.7552322680508105,8.5,6.117647058823529,0.7141545955638668,7,15.375,16.5,7.144928271158499,16,0.6833333333333333,0.8420378719379418,0.26905530508528414,5,6.5
smoothed,gaus4,3695713732.0131125,0.656512340588077,470.21078452417265,-33.354534100162965,907,127,41710.54585886853,,False,15.121291509880015,456799.6620588086,0.015222509722187031,1.0482191808734325e-06,0.27211650660481607,19,53757.94911206741,4528.123976857896,170302.227589701,"[21, 56, 113, 155, 190, 258, 304, 340, 400, 441, 474, 514, 548, 614, 682, 720, 750, 830, 884]","[160411.54014794473, 9452.12164199978, 20099.39998342665, 39053.721052201334, 39173.058090140126, 44198.7281069077, 42990.706524884634, 18720.600606414348, 125984.81454370855, 14293.998999618285, 32998.45862059521, 30263.303990541903, 92498.26281014972, 40898.43498954661, 116893.21543742355, 7583.401565273874, 11056.914451944927, 4528.123976857896, 170302.227589701]","[0, 49, 105, 141, 176, 211, 283, 283, 283, 422, 457, 491, 491, 595, 629, 714, 731, 798, 798]","[798, 798, 283, 283, 283, 283, 318, 352, 798, 491, 491, 525, 629, 629, 798, 798, 798, 834, 906]",0.05,30,3300411587137.6035,197343.32573547267,-197343.32573547267,CWT,mdp.39015056038071,52932.93461931378,169011.227589701,196052.32573547267,0.0,-9.0,0.0,-4.5,52932.93461931378,1002425.6997959473,52932.9346193138,196052.32573547267,0.0,9.0,,0.0,4.0,4398.123976857896,0.0,0.22655507040109518,0.015346358500673984,0.6010094046529332,0.5383191529351041,0.1959525621445313,0.47483200202865383,0.5294792187197812,0.0760874291709503,,0.5647465911064393,0.8403306899134186,0.8403306899134186,0.840330689913419,0.6722281091664734,0.5352626321034407,1.0,,0.5405405405405406,,0.2894736842105263,0.21113671831308212,0.21113671831308212,0.0,0.9999999999999998,2.2969230786893053,0.9047970141913103,3,1.2324713889698624,0.5688946522720956,8,0,0,0.5389655045352745,0.8765903740732193,4,1,0.11111111111111112,0.32664209426365975,0.5818372937862657,9,2.943920288775949,0.7735445931710809,6.0,4.88135593220339,0.6560030658163096,6,gaus,0.8125,1.0,0.13124999999999998,1,4.75,0.0,0.22655507040109518,0.018684005938449346,0.584674622443456,0.48051432633135066,0.19466496035029934,0.3657583748412926,0.5329125670379379,0.07551718766722118,,0.5647465911064392,0.8506342514247567,0.8506342514247567,0.8506045550184776,0.6277487653525404,0.5306495245479633,0.8,,0.5405405405405406,0.0,0.3076923076923077,0.0,0.21094549024491424,0.21094549024491424,0.0,1.0,2.203386520563831,0.9052037767427349,3,1.1516413915273427,0.5505689797222619,14,7.7781745930520225,0.7008394387287684,8.5,4.9411764705882355,0.6869581809028458,8,15.375,16.5,7.144928271158499,16,0.6833333333333333,0.8420378719379418,0.26905530508528414,5,7.25
raw,gaus6,3119833222.4569426,0.642318276918803,452.45266652380406,-31.656236182058926,907,127,34725.5847386916,,False,15.227126849737322,401293.286647298,0.019583228335186706,3.223126636631314e-07,0.29486218215590226,21,52155.072061665436,136.23792842504372,163446.65421712314,"[20, 56, 125, 163, 195, 229, 259, 303, 339, 370, 401, 440, 475, 515, 549, 614, 682, 720, 750, 829, 884]","[147289.15930598576, 7563.747840067364, 38407.555746179474, 51049.997122698755, 45592.68891529455, 136.23792842504372, 58889.50130061428, 45581.49030550495, 28245.3815165028, 261.3916555086107, 112000.86399865011, 22243.090355080916, 43392.067719624996, 29573.807888093852, 104885.05442654493, 33863.824760299096, 132856.14041374868, 9463.708854974378, 12120.323693745067, 8393.825330307474, 163446.65421712314]","[0, 51, 105, 141, 176, 176, 176, 284, 318, 318, 318, 422, 457, 491, 491, 593, 628, 713, 731, 798, 798]","[798, 318, 141, 176, 211, 231, 318, 318, 352, 371, 628, 491, 491, 525, 628, 628, 798, 798, 798, 834, 906]",0.05,30,2474099581163.4253,181824.96943642374,-181824.96943642374,CWT,mdp.39015056038071,51166.072061665436,162138.65421712314,180465.96943642374,0.0,-14.5,0.0,-10.0,51166.072061665436,1070531.513294974,51198.62162510033,180465.96943642374,0.0,-7.0,,0.0,4.0,104.76207157495628,0.0,0.12672421175736065,0.06611461565605378,0.6934395073664679,0.543271235063518,0.16433099589743225,0.13392286383976126,0.6706763984648317,0.04438860855466045,,0.046487775487659186,0.8267662411580997,0.8267662411580997,0.8275023671675328,0.7158871743186556,0.47274100939769836,0.8,,0.045454545454545456,0.0,0.05263157894736842,0.1716124353443333,0.1716124353443333,0.0,0.31914893617021267,1.814854253161562,0.8854454983827256,3,1.1673116164680815,0.5487553266535956,7,0,0,0.37690076713918147,0.7978170617267555,7,1,0.11111111111111112,0.29980299901945523,0.5611026740273198,8,2.217355782608345,0.8294341705685888,6.25,5.3759999999999994,0.674332469899679,3,gaus,1.0,1.0,0.0,1,2.5,,0.12785434913832328,0.005428312341134899,0.7025323156002302,0.5432712350635178,0.16433099589743225,0.20607481199335922,0.577823290490989,0.04853382019040456,,0.012728048233455993,0.8041459198320906,0.8041459198320906,0.8049635701713369,0.7183006798530696,0.4860815178148654,0.8,,0.24324324324324326,0.0,0.025641025641025633,0.0,0.17628227366331523,0.17628227366331523,0.0,0.3191489361702128,1.811217259842455,0.7440912834900505,6,1.1482780723543518,0.5489610666868524,15,6.363961030678928,0.7552322680508105,10.5,8.571428571428571,0.6756930571023283,9,15.375,16.5,7.144928271158499,16,0.6833333333333333,0.8420378719379418,0.26905530508528414,5,8.0
