wavelet,wavelet_level,wavelet_mode,wavelet_mse,wavelet_psnr,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,signal_length,signal_type,emd_value,kl_divergence,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,dynamic_cutoff,dominant_frequency,amplitude_max,num_fft_peaks,positive_frequencies,positive_amplitudes,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,max_autocorrelation,upper_envelope,lower_envelope,spectral_magnitude,spectral_centroid,spectral_bandwidth,frequency_max,wavelet_type,htid,positive_frequencies_dtw,positive_frequencies_euclidean,positive_frequencies_wasserstein,max_autocorrelation_diff,frequency_max_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_num_peaks_diff,positive_amplitudes_dtw,positive_amplitudes_euclidean,positive_amplitudes_wasserstein,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,spectral_centroid_diff,lower_envelope_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,spectral_bandwidth_diff,spectral_magnitude_diff,avg_prominence_diff,num_fft_peaks_diff,amplitude_max_diff,prominence_min_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,prominence_max_diff,upper_envelope_diff,dominant_frequency_diff,dynamic_cutoff_diff,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,avg_variance_across_levels_normalized,max_autocorrelation_diff_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,top_wavelet_rank
db17,1,antireflect,6.041665702258389e-27,315.5933501494966,2157333.234262317,0.5272727272727272,224.83404684792305,78,raw,5.970722491920009e-14,-7.515088551457478e-11,5.741624200537417,91391.5955050849,0.9711301165136312,3.0355219979486266e-05,0.9999999999999999,194.90000000000003,0.10256410256410256,1809.5816837948119,6,"[0.0, 0.01282051282051282, 0.02564102564102564, 0.038461538461538464, 0.05128205128205128, 0.0641025641025641, 0.07692307692307693, 0.08974358974358974, 0.10256410256410256, 0.11538461538461538, 0.1282051282051282, 0.14102564102564102, 0.15384615384615385, 0.16666666666666666, 0.1794871794871795, 0.1923076923076923, 0.20512820512820512, 0.21794871794871795, 0.23076923076923075, 0.24358974358974358, 0.2564102564102564, 0.2692307692307692, 0.28205128205128205, 0.2948717948717949, 0.3076923076923077, 0.3205128205128205, 0.3333333333333333, 0.34615384615384615, 0.358974358974359, 0.3717948717948718, 0.3846153846153846, 0.3974358974358974, 0.41025641025641024, 0.4230769230769231, 0.4358974358974359, 0.4487179487179487, 0.4615384615384615, 0.47435897435897434, 0.48717948717948717]","[25075.0, 270.37095539481317, 1437.2402378267382, 1158.8021662923386, 1059.584020716949, 707.1587203367396, 665.7353861184788, 1644.3090535491683, 1223.8585615149664, 1809.5816837948119, 774.410458755053, 1265.8785581667953, 1111.9419814702417, 1458.6953074580058, 1140.788571750859, 409.91288884146553, 1417.3067317947377, 665.6093505693179, 901.9278972969221, 466.97866197763597, 709.330991920041, 324.6038269941227, 242.0999276950622, 235.4103674261169, 425.4070382134417, 896.6360032658233, 1147.5765769655636, 619.9530188989243, 765.934813088375, 707.2020371388315, 885.5694021373251, 93.351956776201, 1090.1408906733957, 567.8368625679684, 71.26441091958465, 522.7801867031623, 340.796389986557, 373.11771412223146, 181.3344434779354]",18,144.55555555555554,14.000000000000057,458.9999999999999,"[1, 5, 10, 14, 19, 25, 29, 32, 37, 40, 45, 49, 52, 60, 64, 69, 73, 76]","[115.99999999999993, 127.0, 310.0000000000001, 458.9999999999999, 79.99999999999994, 225.0, 24.000000000000057, 283.0, 37.00000000000006, 217.00000000000006, 40.99999999999994, 14.000000000000057, 357.00000000000006, 63.0, 42.0, 138.0, 24.000000000000057, 45.00000000000006]","[0, 0, 0, 0, 17, 17, 28, 30, 36, 36, 44, 44, 36, 56, 62, 56, 72, 75]","[2, 9, 12, 56, 21, 56, 30, 56, 38, 44, 47, 50, 56, 62, 65, 77, 75, 77]",8869556.999999998,467.99999999999983,-467.99999999999983,54865.438052596684,0.11235904142874005,0.14051776427824475,0.48717948717948717,DWT,inu.32000013032836,0.0,0.0,0.0,1.862645149230957e-09,0.0,0.0,37,7.0,1.6129320101754274e-11,3.634118734218388e-12,4.1357231030139174e-13,0.0,37,2.7755575615628914e-17,1.7053025658242404e-13,40.44444444444446,567.0,40.44444444444443,2.7755575615628914e-17,1.4551915228366852e-11,40.44444444444446,0.0,9.094947017729282e-13,26.999999999999943,0.0,37,1.1368683772161603e-13,1.7053025658242404e-13,0.0,2.842170943040401e-14,0.9123482910365135,0.9584028675555846,0.009855278461130726,0.07823883433639506,0.05117672446419764,5.640794223826716e-05,2.820397111913358e-05,5.640794223826716e-05,229,1.0833042711505025,0.7147124938170023,120,0,5.640794223826716e-05,5.640794223826716e-05,251,0,0.4020043991707643,0.6548091646696916,138,65.12807894193308,0.9047835103188113,184.5,167.15010574499982,0.817523334106774,1,db,388.6611111111111,427.5,175.26452996098698,180,0.8632202046965918,0.9243504644944851,0.11844071736404022,5,2.0,1
rbio1.5,1,reflect,2.9541424996338033e-27,318.7006026550678,1774480.9615498357,0.5697674418604651,297.60630049396644,78,raw,4.864484883280686e-14,-8.193234979359018e-11,5.4191391161714435,10424.3829819229,0.6985945090817017,3.0355219979486253e-05,0.9999999999999999,194.90000000000006,0.10256410256410256,1809.5816837948128,6,"[0.0, 0.01282051282051282, 0.02564102564102564, 0.038461538461538464, 0.05128205128205128, 0.0641025641025641, 0.07692307692307693, 0.08974358974358974, 0.10256410256410256, 0.11538461538461538, 0.1282051282051282, 0.14102564102564102, 0.15384615384615385, 0.16666666666666666, 0.1794871794871795, 0.1923076923076923, 0.20512820512820512, 0.21794871794871795, 0.23076923076923075, 0.24358974358974358, 0.2564102564102564, 0.2692307692307692, 0.28205128205128205, 0.2948717948717949, 0.3076923076923077, 0.3205128205128205, 0.3333333333333333, 0.34615384615384615, 0.358974358974359, 0.3717948717948718, 0.3846153846153846, 0.3974358974358974, 0.41025641025641024, 0.4230769230769231, 0.4358974358974359, 0.4487179487179487, 0.4615384615384615, 0.47435897435897434, 0.48717948717948717]","[25075.0, 270.37095539481317, 1437.2402378267377, 1158.8021662923393, 1059.5840207169492, 707.1587203367402, 665.7353861184789, 1644.3090535491679, 1223.8585615149666, 1809.5816837948128, 774.4104587550538, 1265.878558166795, 1111.9419814702424, 1458.6953074580042, 1140.7885717508589, 409.9128888414656, 1417.3067317947377, 665.6093505693177, 901.9278972969228, 466.9786619776366, 709.3309919200412, 324.60382699412145, 242.09992769506258, 235.41036742611757, 425.407038213442, 896.6360032658241, 1147.5765769655636, 619.9530188989252, 765.9348130883748, 707.2020371388314, 885.5694021373255, 93.35195677620085, 1090.1408906733968, 567.8368625679688, 71.26441091958439, 522.7801867031628, 340.79638998655753, 373.117714122231, 181.33444347793431]",18,144.55555555555554,14.0,459.0000000000001,"[1, 5, 10, 14, 19, 25, 29, 32, 37, 40, 45, 49, 52, 60, 64, 69, 73, 76]","[116.00000000000001, 126.99999999999994, 310.0000000000001, 459.0000000000001, 80.0, 225.00000000000003, 24.0, 283.0, 37.0, 217.00000000000003, 41.0, 14.0, 357.00000000000006, 63.0, 42.0, 138.0, 24.0, 45.0]","[0, 0, 0, 0, 17, 17, 28, 30, 36, 36, 44, 44, 36, 56, 62, 56, 72, 75]","[2, 9, 12, 56, 21, 56, 30, 56, 38, 44, 47, 50, 56, 62, 65, 77, 75, 77]",8869557.000000002,468.00000000000006,-468.00000000000006,54865.438052596706,0.11235904142874004,0.14051776427824472,0.48717948717948717,DWT,inu.32000013032836,0.0,0.0,0.0,1.862645149230957e-09,0.0,0.0,37,7.0,9.492850949754938e-12,1.937372656154736e-12,2.4340643460910093e-13,0.0,37,1.3877787807814457e-17,5.684341886080802e-14,40.44444444444446,567.0,40.444444444444436,0.0,7.275957614183426e-12,40.44444444444446,0.0,0.0,27.0,0.0,37,1.1368683772161603e-13,5.684341886080802e-14,0.0,5.684341886080802e-14,0.9450089889386954,0.8026665330035742,0.002572396001674617,0.2707236042460093,0.0011625245994476806,5.640794223826716e-05,2.820397111913358e-05,5.640794223826716e-05,241,1.0783793094040244,0.7114632389349548,134,0,5.640794223826716e-05,5.640794223826716e-05,258,0,0.4044268093578803,0.6587549334085033,122,70.66057363669408,0.896695067782611,188.75,168.88501023043608,0.8103723876924751,2,rbio,230.17777777777778,164.0,189.60831058470535,135,0.511227140482128,1.0,0.3421410016625104,3,2.25,2
rbio1.1,1,periodization,2.740680622328047e-27,319.0263327697212,1667075.5094484352,0.5769230769230769,348.5785408342358,78,raw,4.64956685297464e-14,-8.179767974070316e-11,5.320429068587638,10160.693622616702,0.6061656491041557,3.035521997948626e-05,0.9999999999999999,194.90000000000006,0.10256410256410256,1809.5816837948128,6,"[0.0, 0.01282051282051282, 0.02564102564102564, 0.038461538461538464, 0.05128205128205128, 0.0641025641025641, 0.07692307692307693, 0.08974358974358974, 0.10256410256410256, 0.11538461538461538, 0.1282051282051282, 0.14102564102564102, 0.15384615384615385, 0.16666666666666666, 0.1794871794871795, 0.1923076923076923, 0.20512820512820512, 0.21794871794871795, 0.23076923076923075, 0.24358974358974358, 0.2564102564102564, 0.2692307692307692, 0.28205128205128205, 0.2948717948717949, 0.3076923076923077, 0.3205128205128205, 0.3333333333333333, 0.34615384615384615, 0.358974358974359, 0.3717948717948718, 0.3846153846153846, 0.3974358974358974, 0.41025641025641024, 0.4230769230769231, 0.4358974358974359, 0.4487179487179487, 0.4615384615384615, 0.47435897435897434, 0.48717948717948717]","[25075.0, 270.3709553948134, 1437.240237826738, 1158.8021662923388, 1059.5840207169495, 707.1587203367401, 665.7353861184788, 1644.3090535491679, 1223.8585615149666, 1809.5816837948128, 774.4104587550537, 1265.8785581667953, 1111.9419814702424, 1458.6953074580038, 1140.7885717508589, 409.91288884146553, 1417.306731794738, 665.6093505693177, 901.9278972969228, 466.97866197763665, 709.3309919200415, 324.6038269941215, 242.0999276950626, 235.41036742611757, 425.4070382134419, 896.636003265824, 1147.5765769655632, 619.9530188989252, 765.9348130883747, 707.2020371388315, 885.569402137325, 93.35195677620058, 1090.1408906733966, 567.8368625679689, 71.26441091958439, 522.7801867031625, 340.79638998655724, 373.1177141222313, 181.33444347793434]",18,144.55555555555554,14.0,459.00000000000006,"[1, 5, 10, 14, 19, 25, 29, 32, 37, 40, 45, 49, 52, 60, 64, 69, 73, 76]","[115.99999999999999, 126.99999999999994, 310.00000000000006, 459.00000000000006, 80.0, 225.00000000000003, 24.0, 283.0, 37.0, 217.00000000000006, 41.0, 14.0, 357.00000000000006, 63.0, 42.0, 138.0, 24.0, 45.0]","[0, 0, 0, 0, 17, 17, 28, 30, 36, 36, 44, 44, 36, 56, 62, 56, 72, 75]","[2, 9, 12, 56, 21, 56, 30, 56, 38, 44, 47, 50, 56, 62, 65, 77, 75, 77]",8869557.000000002,468.00000000000006,-468.00000000000006,54865.438052596706,0.11235904142874001,0.1405177642782447,0.48717948717948717,DWT,inu.32000013032836,0.0,0.0,0.0,1.862645149230957e-09,0.0,0.0,37,7.0,7.37543359718984e-12,1.5523692082080853e-12,1.8911368197922665e-13,0.0,37,1.3877787807814457e-17,5.684341886080802e-14,40.44444444444446,567.0,40.444444444444436,2.7755575615628914e-17,7.275957614183426e-12,40.44444444444446,0.0,0.0,27.0,0.0,37,5.684341886080802e-14,5.684341886080802e-14,0.0,5.684341886080802e-14,0.9484327766267775,0.7549969143470082,0.0005292547200067264,0.30313588850174195,0.0009996412308893848,5.640794223826716e-05,2.820397111913358e-05,5.640794223826716e-05,243,1.0684769624026265,0.70493014264014,161,0,5.640794223826716e-05,5.640794223826716e-05,261,0,0.40161889508528476,0.6541812322174341,141,59.33801479658719,0.9132485163792585,201.5,188.23509332392004,0.8093289365522024,3,rbio,230.17777777777778,164.0,189.60831058470535,135,0.511227140482128,1.0,0.3421410016625104,3,3.0,3
haar,1,periodization,2.740680622328047e-27,319.0263327697212,1667075.5094484352,0.5769230769230769,348.5785408342358,78,raw,4.64956685297464e-14,-8.179767974070316e-11,5.320429068587638,10160.693622616702,0.6061656491041557,3.035521997948626e-05,0.9999999999999999,194.90000000000006,0.10256410256410256,1809.5816837948128,6,"[0.0, 0.01282051282051282, 0.02564102564102564, 0.038461538461538464, 0.05128205128205128, 0.0641025641025641, 0.07692307692307693, 0.08974358974358974, 0.10256410256410256, 0.11538461538461538, 0.1282051282051282, 0.14102564102564102, 0.15384615384615385, 0.16666666666666666, 0.1794871794871795, 0.1923076923076923, 0.20512820512820512, 0.21794871794871795, 0.23076923076923075, 0.24358974358974358, 0.2564102564102564, 0.2692307692307692, 0.28205128205128205, 0.2948717948717949, 0.3076923076923077, 0.3205128205128205, 0.3333333333333333, 0.34615384615384615, 0.358974358974359, 0.3717948717948718, 0.3846153846153846, 0.3974358974358974, 0.41025641025641024, 0.4230769230769231, 0.4358974358974359, 0.4487179487179487, 0.4615384615384615, 0.47435897435897434, 0.48717948717948717]","[25075.0, 270.3709553948134, 1437.240237826738, 1158.8021662923388, 1059.5840207169495, 707.1587203367401, 665.7353861184788, 1644.3090535491679, 1223.8585615149666, 1809.5816837948128, 774.4104587550537, 1265.8785581667953, 1111.9419814702424, 1458.6953074580038, 1140.7885717508589, 409.91288884146553, 1417.306731794738, 665.6093505693177, 901.9278972969228, 466.97866197763665, 709.3309919200415, 324.6038269941215, 242.0999276950626, 235.41036742611757, 425.4070382134419, 896.636003265824, 1147.5765769655632, 619.9530188989252, 765.9348130883747, 707.2020371388315, 885.569402137325, 93.35195677620058, 1090.1408906733966, 567.8368625679689, 71.26441091958439, 522.7801867031625, 340.79638998655724, 373.1177141222313, 181.33444347793434]",18,144.55555555555554,14.0,459.00000000000006,"[1, 5, 10, 14, 19, 25, 29, 32, 37, 40, 45, 49, 52, 60, 64, 69, 73, 76]","[115.99999999999999, 126.99999999999994, 310.00000000000006, 459.00000000000006, 80.0, 225.00000000000003, 24.0, 283.0, 37.0, 217.00000000000006, 41.0, 14.0, 357.00000000000006, 63.0, 42.0, 138.0, 24.0, 45.0]","[0, 0, 0, 0, 17, 17, 28, 30, 36, 36, 44, 44, 36, 56, 62, 56, 72, 75]","[2, 9, 12, 56, 21, 56, 30, 56, 38, 44, 47, 50, 56, 62, 65, 77, 75, 77]",8869557.000000002,468.00000000000006,-468.00000000000006,54865.438052596706,0.11235904142874001,0.1405177642782447,0.48717948717948717,DWT,inu.32000013032836,0.0,0.0,0.0,1.862645149230957e-09,0.0,0.0,37,7.0,7.37543359718984e-12,1.5523692082080853e-12,1.8911368197922665e-13,0.0,37,1.3877787807814457e-17,5.684341886080802e-14,40.44444444444446,567.0,40.444444444444436,2.7755575615628914e-17,7.275957614183426e-12,40.44444444444446,0.0,0.0,27.0,0.0,37,5.684341886080802e-14,5.684341886080802e-14,0.0,5.684341886080802e-14,0.9484327766267775,0.7549969143470082,0.0005292547200067264,0.30313588850174195,0.0009996412308893848,5.640794223826716e-05,2.820397111913358e-05,5.640794223826716e-05,240,1.0684769624026265,0.70493014264014,164,0,5.640794223826716e-05,5.640794223826716e-05,264,0,0.40161889508528476,0.6541812322174341,142,58.682762943360686,0.9142064869249112,202.5,189.62414641819495,0.8090769276729819,4,haar,25.666666666666668,26.0,11.412712210513329,9,0.05700592269326683,0.060190991498839545,0.9420385566650613,1,3.25,4
rbio3.1,1,zero,6.790191036899302e-27,315.0860971314844,1689418.7725949613,0.5875,390.7748905141696,78,raw,6.759265511974285e-14,-7.344491681493576e-11,5.427290563615788,16173.36546875,0.5500874561908734,3.0355219979486273e-05,0.9999999999999998,194.89999999999995,0.10256410256410256,1809.581683794813,6,"[0.0, 0.01282051282051282, 0.02564102564102564, 0.038461538461538464, 0.05128205128205128, 0.0641025641025641, 0.07692307692307693, 0.08974358974358974, 0.10256410256410256, 0.11538461538461538, 0.1282051282051282, 0.14102564102564102, 0.15384615384615385, 0.16666666666666666, 0.1794871794871795, 0.1923076923076923, 0.20512820512820512, 0.21794871794871795, 0.23076923076923075, 0.24358974358974358, 0.2564102564102564, 0.2692307692307692, 0.28205128205128205, 0.2948717948717949, 0.3076923076923077, 0.3205128205128205, 0.3333333333333333, 0.34615384615384615, 0.358974358974359, 0.3717948717948718, 0.3846153846153846, 0.3974358974358974, 0.41025641025641024, 0.4230769230769231, 0.4358974358974359, 0.4487179487179487, 0.4615384615384615, 0.47435897435897434, 0.48717948717948717]","[25075.0, 270.3709553948135, 1437.240237826738, 1158.8021662923395, 1059.5840207169495, 707.1587203367407, 665.7353861184787, 1644.3090535491672, 1223.8585615149666, 1809.581683794813, 774.4104587550534, 1265.8785581667948, 1111.9419814702426, 1458.695307458003, 1140.788571750858, 409.9128888414654, 1417.3067317947377, 665.6093505693183, 901.9278972969228, 466.9786619776357, 709.3309919200411, 324.6038269941224, 242.09992769506295, 235.410367426118, 425.4070382134413, 896.6360032658235, 1147.5765769655623, 619.9530188989254, 765.9348130883743, 707.2020371388312, 885.5694021373245, 93.35195677620085, 1090.1408906733964, 567.8368625679686, 71.26441091958456, 522.7801867031626, 340.7963899865573, 373.11771412223095, 181.33444347793454]",18,144.55555555555554,14.0,458.99999999999994,"[1, 5, 10, 14, 19, 25, 29, 32, 37, 40, 45, 49, 52, 60, 64, 69, 73, 76]","[115.99999999999997, 127.00000000000006, 310.0, 458.99999999999994, 80.0, 224.9999999999999, 23.99999999999983, 283.0, 37.0, 216.99999999999994, 41.00000000000006, 14.0, 356.99999999999994, 63.0, 41.999999999999886, 138.00000000000006, 23.999999999999943, 45.0]","[0, 0, 0, 0, 17, 17, 28, 30, 36, 36, 44, 44, 36, 56, 62, 56, 72, 75]","[2, 9, 12, 56, 21, 56, 30, 56, 38, 44, 47, 50, 56, 62, 65, 77, 75, 77]",8869556.999999998,467.99999999999994,-467.99999999999994,54865.4380525967,0.11235904142874001,0.14051776427824472,0.48717948717948717,DWT,inu.32000013032836,0.0,0.0,0.0,1.862645149230957e-09,0.0,0.0,37,7.0,1.3102408047416247e-11,2.5195328427801106e-12,3.359591807029807e-13,0.0,37,1.3877787807814457e-17,5.684341886080802e-14,40.44444444444446,566.9999999999995,40.444444444444464,0.0,0.0,40.44444444444446,0.0,2.2737367544323206e-13,27.0,0.0,37,5.684341886080802e-14,5.684341886080802e-14,0.0,5.684341886080802e-14,0.9070164946821582,0.8066030764526191,0.0009542838261524574,0.3510452961672475,0.004713724525378995,5.640794223826716e-05,2.820397111913358e-05,5.640794223826716e-05,247,1.0902921852257315,0.7193227862604925,104,0,5.640794223826716e-05,5.640794223826716e-05,252,0,0.41406657513071127,0.6744567689763217,78,92.14617011393727,0.8652833770264075,170.25,131.35109469796888,0.8081899341272388,5,rbio,230.17777777777778,164.0,189.60831058470535,135,0.511227140482128,1.0,0.3421410016625104,3,4.5,5
rbio1.5,1,antisymmetric,2.9204844343443736e-27,318.75036810277675,1731774.6278214033,0.5813953488372093,297.60630049396644,78,raw,4.809827749760679e-14,-8.190947919928291e-11,5.408993415996343,35523.96281755777,0.9119929250189155,3.0355219979486253e-05,0.9999999999999999,194.90000000000006,0.10256410256410256,1809.5816837948128,6,"[0.0, 0.01282051282051282, 0.02564102564102564, 0.038461538461538464, 0.05128205128205128, 0.0641025641025641, 0.07692307692307693, 0.08974358974358974, 0.10256410256410256, 0.11538461538461538, 0.1282051282051282, 0.14102564102564102, 0.15384615384615385, 0.16666666666666666, 0.1794871794871795, 0.1923076923076923, 0.20512820512820512, 0.21794871794871795, 0.23076923076923075, 0.24358974358974358, 0.2564102564102564, 0.2692307692307692, 0.28205128205128205, 0.2948717948717949, 0.3076923076923077, 0.3205128205128205, 0.3333333333333333, 0.34615384615384615, 0.358974358974359, 0.3717948717948718, 0.3846153846153846, 0.3974358974358974, 0.41025641025641024, 0.4230769230769231, 0.4358974358974359, 0.4487179487179487, 0.4615384615384615, 0.47435897435897434, 0.48717948717948717]","[25075.0, 270.3709553948131, 1437.240237826738, 1158.8021662923393, 1059.5840207169492, 707.1587203367403, 665.7353861184788, 1644.3090535491679, 1223.8585615149664, 1809.5816837948128, 774.4104587550538, 1265.878558166795, 1111.9419814702424, 1458.6953074580042, 1140.7885717508589, 409.9128888414656, 1417.306731794738, 665.6093505693178, 901.9278972969227, 466.97866197763665, 709.3309919200412, 324.6038269941215, 242.09992769506255, 235.41036742611746, 425.4070382134419, 896.6360032658243, 1147.5765769655636, 619.9530188989253, 765.9348130883748, 707.2020371388314, 885.5694021373256, 93.35195677620095, 1090.1408906733968, 567.8368625679688, 71.26441091958446, 522.7801867031628, 340.7963899865574, 373.1177141222309, 181.33444347793457]",18,144.55555555555554,14.0,459.0000000000001,"[1, 5, 10, 14, 19, 25, 29, 32, 37, 40, 45, 49, 52, 60, 64, 69, 73, 76]","[116.0, 126.99999999999994, 310.0000000000001, 459.0000000000001, 80.0, 225.00000000000003, 24.0, 283.0, 37.0, 217.00000000000003, 41.0, 14.0, 357.00000000000006, 63.0, 42.0, 138.0, 24.0, 45.0]","[0, 0, 0, 0, 17, 17, 28, 30, 36, 36, 44, 44, 36, 56, 62, 56, 72, 75]","[2, 9, 12, 56, 21, 56, 30, 56, 38, 44, 47, 50, 56, 62, 65, 77, 75, 77]",8869557.000000002,468.00000000000006,-468.00000000000006,54865.438052596706,0.11235904142874004,0.14051776427824472,0.48717948717948717,DWT,inu.32000013032836,0.0,0.0,0.0,1.862645149230957e-09,0.0,0.0,37,7.0,9.72022462519817e-12,1.899369913940475e-12,2.4923652885123517e-13,0.0,37,1.3877787807814457e-17,5.684341886080802e-14,40.44444444444446,567.0,40.444444444444436,0.0,7.275957614183426e-12,40.44444444444446,0.0,0.0,27.0,0.0,37,1.1368683772161603e-13,5.684341886080802e-14,0.0,5.684341886080802e-14,0.9455320794344545,0.797766913661984,0.0017600063908858711,0.32339356616157544,0.016666768395188842,5.640794223826716e-05,2.820397111913358e-05,5.640794223826716e-05,226,1.1031068415098133,0.7277772853279401,78,0,5.640794223826716e-05,5.640794223826716e-05,270,0,0.4170238668088178,0.6792737851518162,67,103.00283167628614,0.8494110648007512,160.25,111.500220804273,0.8075637195348786,6,rbio,230.17777777777778,164.0,189.60831058470535,135,0.511227140482128,1.0,0.3421410016625104,3,5.25,6
rbio3.1,1,constant,6.790191036899302e-27,315.0860971314844,1683639.9222462382,0.5875,390.7748905141696,78,raw,6.759265511974285e-14,-7.344491681493576e-11,5.410262872804335,13454.254218749998,0.5085163292971913,3.0355219979486273e-05,0.9999999999999998,194.89999999999995,0.10256410256410256,1809.581683794813,6,"[0.0, 0.01282051282051282, 0.02564102564102564, 0.038461538461538464, 0.05128205128205128, 0.0641025641025641, 0.07692307692307693, 0.08974358974358974, 0.10256410256410256, 0.11538461538461538, 0.1282051282051282, 0.14102564102564102, 0.15384615384615385, 0.16666666666666666, 0.1794871794871795, 0.1923076923076923, 0.20512820512820512, 0.21794871794871795, 0.23076923076923075, 0.24358974358974358, 0.2564102564102564, 0.2692307692307692, 0.28205128205128205, 0.2948717948717949, 0.3076923076923077, 0.3205128205128205, 0.3333333333333333, 0.34615384615384615, 0.358974358974359, 0.3717948717948718, 0.3846153846153846, 0.3974358974358974, 0.41025641025641024, 0.4230769230769231, 0.4358974358974359, 0.4487179487179487, 0.4615384615384615, 0.47435897435897434, 0.48717948717948717]","[25075.0, 270.3709553948135, 1437.240237826738, 1158.8021662923395, 1059.5840207169495, 707.1587203367407, 665.7353861184787, 1644.3090535491672, 1223.8585615149666, 1809.581683794813, 774.4104587550534, 1265.8785581667948, 1111.9419814702426, 1458.695307458003, 1140.788571750858, 409.9128888414654, 1417.3067317947377, 665.6093505693183, 901.9278972969228, 466.9786619776357, 709.3309919200411, 324.6038269941224, 242.09992769506295, 235.410367426118, 425.4070382134413, 896.6360032658235, 1147.5765769655623, 619.9530188989254, 765.9348130883743, 707.2020371388312, 885.5694021373245, 93.35195677620085, 1090.1408906733964, 567.8368625679686, 71.26441091958456, 522.7801867031626, 340.7963899865573, 373.11771412223095, 181.33444347793454]",18,144.55555555555554,14.0,458.99999999999994,"[1, 5, 10, 14, 19, 25, 29, 32, 37, 40, 45, 49, 52, 60, 64, 69, 73, 76]","[115.99999999999997, 127.00000000000006, 310.0, 458.99999999999994, 80.0, 224.9999999999999, 23.99999999999983, 283.0, 37.0, 216.99999999999994, 41.00000000000006, 14.0, 356.99999999999994, 63.0, 41.999999999999886, 138.00000000000006, 23.999999999999943, 45.0]","[0, 0, 0, 0, 17, 17, 28, 30, 36, 36, 44, 44, 36, 56, 62, 56, 72, 75]","[2, 9, 12, 56, 21, 56, 30, 56, 38, 44, 47, 50, 56, 62, 65, 77, 75, 77]",8869556.999999998,467.99999999999994,-467.99999999999994,54865.4380525967,0.11235904142874001,0.14051776427824472,0.48717948717948717,DWT,inu.32000013032836,0.0,0.0,0.0,1.862645149230957e-09,0.0,0.0,37,7.0,1.3102408047416247e-11,2.5195328427801106e-12,3.359591807029807e-13,0.0,37,1.3877787807814457e-17,5.684341886080802e-14,40.44444444444446,566.9999999999995,40.444444444444464,0.0,0.0,40.44444444444446,0.0,2.2737367544323206e-13,27.0,0.0,37,5.684341886080802e-14,5.684341886080802e-14,0.0,5.684341886080802e-14,0.9070164946821582,0.7983799669774186,0.0008443545117922313,0.3510452961672475,0.00303410422879182,5.640794223826716e-05,2.820397111913358e-05,5.640794223826716e-05,248,1.0854538177123159,0.7161306621236202,111,0,5.640794223826716e-05,5.640794223826716e-05,254,0,0.41206404331348173,0.6711949236105261,87,88.33647793144875,0.8708531024394024,175.0,140.48629700644852,0.8075025746115141,7,rbio,230.17777777777778,164.0,189.60831058470535,135,0.511227140482128,1.0,0.3421410016625104,3,6.0,7
